[00:00] 歡迎收聽趙華與古惑仔第1013集1013
[03:13] 一直來上節目
[03:15] 為什麼這麼厲害呢
[03:16] 今天來的是
[03:17] 古奇雙分析師紀委名小明同學
[03:20] 哈嘍各位聽眾朋友大家好
[03:22] 小明同學現在身份換了兩個
[03:26] 一個是人夫了
[03:28] 那另外一個他也換了公司了
[03:30] 是的
[03:31] 現在去永城投僱了
[03:32] 沒錯沒錯
[03:33] 也跟大家就是講一下
[03:34] 雖然我們之前不太會跟大家分享說
[03:36] 誰在哪一家投僱啊
[03:38] 但是畢竟換了一個新公司
[03:39] 也跟這個各位聽眾朋友講一下
[03:42] 小明同學換新公司了
[03:43] 那因為我看到也有人在說
[03:45] 小明同學怎麼不見了
[03:46] 因為員工司離職了的關係
[03:49] 我們先來講一下
[03:50] 這幾天的盤面好了
[03:52] 因為昨天爆出一個史上最大量
[03:54] 那今天稍微量能小了些
[03:57] 但體感溫度又變得相對比較不好
[04:00] 說實話到了三萬點
[04:01] 大家的謹慎心都比較高
[04:03] 那我們也看到每天盤面上
[04:05] 不是沒有大漲的股票
[04:06] 可是大漲的股票
[04:07] 現在大家似乎都是比較陌生
[04:10] 今天又來了一掛低價股
[04:12] 昨天也是
[04:13] 都是大家比較陌生的標的
[04:15] 那這樣該怎麼做呢
[04:16] 這幾天的話
[04:18] 因為剛好啦
[04:19] 那個結完婚回來
[04:20] 我一直講這叫雙喜臨門
[04:22] 因為回來第一天就突破三萬點
[04:24] 然後行情很熱
[04:25] 然後又看到爆天亮
[04:27] 我覺得這個代表的是市場的參與度真的是越來越高
[04:30] 那當然你說這個大家會把它當成是一種警訊
[04:34] 或者是擔心會不會爆料以後失控
[04:36] 我覺得你在前幾天的這樣子比較熱的行情裡面
[04:40] 後面這兩個交易日可能稍作休息
[04:42] 今天早上很多的股票其實是先開高走低
[04:45] 或者有些是先開低走高
[04:47] 可是大概到了十點多以後
[04:49] 盤市整個就開始往下走
[04:51] 我會認為
[04:52] 我自己觀察到的
[04:53] 這兩天交易上面
[04:54] 很多的中小型股
[04:55] 那種漲停滿天飛
[04:57] 可是我們又覺得
[04:58] 好像過去沒有看到
[04:59] 他們的影子
[05:00] 可是我們這幾天動起來
[05:02] 那這個地方我的解讀
[05:03] 我會比較偏向像是
[05:05] 可能過去有法人主導的盤面
[05:08] 變成是由散戶資金開始進來
[05:10] 然後大家會覺得
[05:11] 哇高價股什麼臺光電臺積電
[05:14] 我怎麼好像在現在
[05:15] 有點買不太下去
[05:16] 那我們就去看看一些
[05:17] 相對比較低價的同板股
[05:19] 然後呢又跟現在可能跟一些AI
[05:21] 或者是跟我們說之前的PCB記憶體
[05:24] 有插到邊的
[05:26] 然後呢他們就開始各種的利多小故事小作文
[05:30] 然後就帶動整個股價往上走
[05:32] 當然這種脫離基本面
[05:34] 或者是他真的是被題材所帶動的股價
[05:36] 我自己是不太喜歡去參與
[05:39] 我必須講
[05:40] 因為我覺得今天看到1013級的股後載
[05:43] 我也有點shock到你知道嗎
[05:45] 為什麼
[05:45] 因為我之前上次錄的時候還是在九字頭
[05:47] 可是我們不是已經在有一天做PK了嗎
[05:50] 就是股貨載1000幾啊
[05:51] 你PK的公司今天有點慘喲
[05:54] 金雞
[05:54] 不要在那邊偷雙我
[05:57] 聽哪壺
[05:58] 不要這樣講
[05:59] 不會啊
[06:00] 我有在檢視大家的股票
[06:01] 我每天都有關心一下
[06:03] 那目前狀況怎麼樣
[06:04] 目前狀況
[06:05] 你還記得嗎
[06:06] 浩遠哥壓群聯
[06:07] 是不是還不錯
[06:08] 還不錯
[06:08] 對不對
[06:09] 小哥這個那個了
[06:11] 因為那天錄的時候
[06:12] 我覺得他就是有點故意設飛一標
[06:14] 他就說今天有一檔很強
[06:15] 叫太緊KY
[06:17] 事實上他根本不知道那檔做什麼
[06:19] 然後而且他講的時候
[06:20] 後來他也還連連兩天
[06:21] 但是我們後來公告影片之後
[06:24] 大家可以去看這家很奇妙的公司
[06:26] 最近是大漲欸
[06:27] 已經創了波段高了
[06:29] 果然籌碼還是有用啦
[06:30] 然後你覺得超級奇妙的
[06:32] 然後艾倫是壓其宏
[06:34] 最近因為黃仁勳一番話
[06:36] 好像讓大家懷疑
[06:37] 是不是新的Rubin的體系架構等等
[06:40] 未來的這個對水冷散熱的需求會下降
[06:43] 所以現在大家有點問號嘛
[06:45] 然後朱老師的吻帽
[06:47] 今天創新高咯
[06:48] 對
[06:48] 那還有誰
[06:49] 還有誰啊
[06:50] 雲翔哥的臉帽不行啦
[06:51] 雲翔哥不行
[06:52] 開玩笑的
[06:53] 雲翔哥fans很多
[06:55] 不能得罪他
[06:56] 對
[06:56] 開玩笑的
[06:57] 他是看高做低
[06:58] 選臉帽
[06:59] 但是像最近
[07:00] 昨天剛好婉婷來嘛
[07:02] 我們也講了一下
[07:03] 有關臺光店的小作文
[07:05] 然後有澄清這樣子
[07:06] 今天其實還蠻多
[07:07] 外資機構有出來澄清
[07:08] 對
[07:09] 就是臺光店沒有在這個M9
[07:11] 要被降規到什麼
[07:12] M8.5 M7這個事情啦
[07:14] 婉婷寫準講清楚
[07:15] 有興趣的朋友
[07:16] 昨天那一集
[07:17] PCB女王講市場小作文的
[07:19] 可以聽聽看這樣
[07:20] 還有誰呢
[07:22] 大概就這些
[07:23] 所以你說
[07:24] 那天到現在
[07:26] 1013集
[07:27] 還好啊
[07:28] 那天就1000集了
[07:28] 真的哦
[07:29] 時間過好快
[07:30] 剛好幫大家
[07:32] 複習一下我們來賓的PK
[07:34] 有點老是寫紅海
[07:35] 前幾天本來還溫溫長
[07:37] 今天也是一個重見
[07:39] 因為今天有一個傳言
[07:40] 說H200
[07:41] 可能中國大陸現在要巨買嘛
[07:44] 就叫大家不準買嘛
[07:45] 所以今天AI現金又不行了
[07:47] 鴻海廣達又通通不行了
[07:49] 所以你看
[07:49] 我覺得聽這些東西
[07:51] 就是很多的這種故事跟訊息
[07:52] 真的是你事前沒辦法知道啦
[07:54] 但目前看起來好像
[07:56] 我還要努力空間啦
[07:57] 我們祝福金居
[07:59] 我剛才聽到其實特別想要聊的
[08:02] 因為剛剛其實你也提到
[08:03] 昨天的這種鬼故事
[08:04] 然後像臺光店這種往下殺
[08:06] 然後像什麼散熱也是往下殺
[08:09] 可是你會看到今天
[08:10] 其實很多的券商
[08:11] 開始報告丟出來
[08:12] 而且我覺得
[08:13] 我必須要講
[08:14] 昨天婉婷
[08:15] 如果她能夠在第一時間
[08:16] 做出這樣子的判斷
[08:17] 我個人非常非常的欣慰
[08:18] 你有聽到她講對不對
[08:20] 對我後來我就複習
[08:21] 她打臺秀也有講
[08:21] 對而且她的這個判斷很精確
[08:24] 她沒有跟著股價下跌
[08:25] 然後就開始附和市場
[08:27] 講這種鬼故事
[08:28] 因為她實在太熟了
[08:29] 她說這個
[08:30] 例如說她就知道
[08:32] 有四塊主要的板
[08:33] 對
[08:33] 然後這四塊主要的板
[08:34] 將來可能用什麼規格
[08:35] 這都是研究很透徹
[08:36] 才有辦法講出來
[08:37] 沒錯沒錯
[08:38] 我覺得這是在產業研究上面
[08:39] 可以得到的價值
[08:40] 因為你不是所有的伺服器用板
[08:42] 都用同一塊
[08:43] 你交換器的板子
[08:44] 你中介板
[08:44] 它其實用的
[08:45] 對 規格是不同的
[08:47] 那當然我昨天看到小作文
[08:48] 第一個直覺是
[08:49] 怎麼會這樣
[08:50] PCB是不是2026年要完蛋了
[08:52] 但想一想
[08:52] 如果臺光電
[08:53] 它真的因為板材的規格被降
[08:55] 那我昨天自己的判斷
[08:57] 我會覺得
[08:57] 那這樣的話
[08:58] 原本你說做石英部的這些富橋
[09:00] 然後這些什麼臺波
[09:03] 南亞應該要跟著下去
[09:04] 但昨天其實沒有
[09:05] 所以是那種半信半疑
[09:07] 但聽完婉婷講以後
[09:08] 我就覺得好有信心喔
[09:09] 所以我覺得PCB還是可以做啦
[09:11] 那當然我們在做這些訊息上面的解讀
[09:14] 這幾天盤勢是真的比較有亂流那我會建議投資朋友在面對這種亂流因為外資跟投信其實近期的這種動向相對比較不明朗
[09:25] 那一方面可能也是因為指數的位階是真的比較高
[09:28] 然後再加上了這個每個月的月初
[09:31] 我們還是要講一下總經的經濟資料真的在月初
[09:34] 他的公佈頻率是比較高的
[09:36] 不管你是在看ISM製造業指數
[09:38] 服務業指數
[09:39] 非農ADP這些全部都是在月初的時候公佈
[09:44] 當然昨天公佈的是ISM的製造業指數吧
[09:47] 然後資料開啟還是優於市場預期
[09:49] 所以也就哭應了
[09:52] 我覺得大概從去年的10月11月
[09:55] 有跟大家強調過
[09:56] 美國的經濟一直都很有韌性
[09:58] 臺灣就更不用講了
[09:59] 你在AI的帶動之下
[10:00] 臺灣經濟真的超級好
[10:02] 好到我覺得有一點誇張啦
[10:05] 這個是遠遠超乎我預期
[10:06] 所以我們把這個主題拉回來的話
[10:09] 面對現在的亂流
[10:10] 那我們當然了在操作上面
[10:12] 本來就不能期待股價每天漲
[10:14] 所以外資跟法人的動向
[10:16] 相對的比較在休息
[10:18] 我會認為大家在操作上面
[10:20] 真的不要被盤面上的訊息
[10:22] 就是那種一兩天的股價波動影響
[10:24] 大漲我倒認為不用去硬追
[10:26] 特別是那些你跟基本面
[10:28] 或者是那種真的是很插邊的
[10:30] 無關的忽然冒出頭的
[10:31] 我會建議大家
[10:32] 你可能再多觀察個一兩天
[10:34] 然後如果真的是有故事
[10:36] 真的有這個新的基本面出來
[10:38] 我覺得你在上車都還很有機會
[10:41] 那如果你是那種
[10:42] 在右上角的股票
[10:43] 然後這幾天被殺下來
[10:45] 但如果你真的有在聽
[10:47] 其他達人分享的一些
[10:49] 產業上面的資訊
[10:50] 或者是一些技術面上面的分析
[10:51] 籌碼的追蹤
[10:52] 那你對這間公司有信心
[10:54] 我認為整個臺股的行情
[10:56] 沒有結束
[10:57] 而且即便今天的震盪
[10:59] 臺股都還是維持在多頭架構
[11:01] 所以我會認為這一些
[11:02] 我們所謂的盤中的震盪
[11:05] 或者是這幾天的休息迴盪
[11:07] 其實是給大家上車的機會
[11:08] 對啦
[11:09] 因為這個開工以來
[11:10] 我剛剛很習慣性
[11:12] 會想要講開春
[11:13] 但是要農曆年後
[11:14] 我們才開春
[11:14] 現在是冬天
[11:16] 好
[11:17] 那這個我們可以看一下
[11:19] 大漲
[11:20] 每天大漲
[11:21] 那大家也會覺得怕
[11:22] 然後再來是
[11:23] 如果今天再度來看
[11:24] 這個上市上櫃的
[11:25] 漲幅培養榜
[11:26] 我就講了
[11:27] 例如說
[11:27] 你看像宏光
[11:28] 對不對
[11:29] 這個我記得以前
[11:30] 好像做什麼scanner
[11:30] 還是什麼的
[11:31] 五塊多
[11:32] 就已經是全額交割了吧
[11:34] 照理來說
[11:34] 有沒有還是要查一下
[11:36] 那這個漲停
[11:37] 我想大部分的人
[11:38] 手上不可能會有
[11:39] 合同
[11:39] 對不對
[11:40] 化學股
[11:40] 八塊多的股價
[11:41] 無敵
[11:42] 這個以前是不是說什麼啊
[11:44] 翻譯機吧
[11:44] 翻譯機之類的14.95元
[11:47] 那當然彩晶這種低價面板
[11:49] 是漲了好幾天了
[11:50] 面板股它可能在這一次的
[11:52] 消費線電子展
[11:53] 有受到一些激勵
[11:54] 或者是說大尺寸面板
[11:56] 好像真的有一點點
[11:58] 報價稍微回暖
[11:59] 但是無論如何
[12:00] 像彩晶是中小型面板嘛
[12:02] 它就真的是跟漲而已啦
[12:04] 坦白講就是這樣子
[12:05] 那當然旺宏原金
[12:07] 這個就是比較正宗的
[12:09] 最近的標狗
[12:10] 對
[12:10] 那到底有沒有漲到這個Northresh呢
[12:14] 當然以望虹位元組來看
[12:16] 是開始轉虧為盈啦
[12:18] 那市場似乎這樣就OK了
[12:20] 現在對記憶體的包容度是極大無比
[12:23] 繼續漲停
[12:24] 那元金當然這個低軌位新加太陽能
[12:26] 這件事情在他身上反應特別大
[12:29] 那今天可能大家會覺得
[12:31] 比較有指標線的是像雷虎
[12:33] 對不對
[12:34] 那你說雷虎今天有沒有什麼特別大利多
[12:36] 也沒有就一直在講地緣政治風險
[12:38] 還有一個我自己比較關注的是保瑞
[12:40] 就是生技股之前的股王
[12:43] 現在應該不是生技的股王
[12:44] 我不太確定
[12:45] 因為寶瑞他其實前三季
[12:48] 我記得也賺了快要兩個股本
[12:50] 所以是一家獲利很好的公司
[12:52] 可是風一直不在生技身上
[12:53] 所以也不時會有聽眾朋友問說
[12:56] 趙華可以講一下生技嗎
[12:57] 寶瑞以前不是都800塊900塊
[12:59] 甚至是千元候選人的
[13:01] 怎麼跌到400多
[13:02] 我說真的
[13:03] 我覺得是資金面不青睞的問題
[13:06] 因為生技股就這樣
[13:07] 你可以無限上綱
[13:09] 說什麼生技股
[13:10] 有的新藥股
[13:11] 沒有本益比的
[13:12] 沒有營收嘛
[13:13] 有一家不是沒有營收
[13:14] 還擠到950嗎
[13:15] 當然寶瑞不一樣
[13:17] 寶瑞是有獲利的公司
[13:19] CDMO的公司
[13:21] 他們號稱是
[13:22] 生技業的臺積電
[13:23] 帶工作很大這樣子
[13:25] 購品也做很多
[13:26] 那可是你說
[13:27] 它到底是800塊合理
[13:28] 還是400塊合理
[13:30] 你說前三季賺
[13:31] 17 8塊的公司
[13:32] 到底多少錢合理
[13:33] 那現在市場不青睞的時候
[13:35] 似乎也沒有到不合理
[13:37] 不過它今天就幾乎是
[13:38] 一根漲停板
[13:39] 那我會覺得至少長在這樣的公司上面
[13:41] 是比較舒服的
[13:44] 例如美食這類的公司
[13:46] 對不對
[13:46] 時間的時的那一家
[13:48] 也是有EPS的公司
[13:49] 那今天還有像臺灣精銳
[13:52] 這個是機器人的代表股
[13:53] 不過他是單打獨鬥
[13:54] 並不是整個機器人轉搶
[13:56] 那還有剛剛講到群一鎮
[13:58] 還有上市櫃的上櫃裡面的洪遠鎮
[14:00] 這個可能就是呼應成交量大
[14:02] 所以這樣念下來
[14:04] 上櫃有更多你不認識的
[14:05] 什麼利凱KY特生KY
[14:09] 這個我都不認識
[14:10] 大拓KY
[14:11] 好陌生的名字
[14:14] 安利KY
[14:15] 對今天很多這一種
[14:17] 都是十幾二十塊的公司在漲
[14:19] 所以你看剛才趙華唸了一堆
[14:21] 說真的有好多公司
[14:23] 我也沒有聽過
[14:24] 那市場的資金只有一套
[14:25] 所以今天會去漲到包含軍工
[14:28] 那他當然也有跟地緣政治上面的新聞有關
[14:31] 所以我一直強調新聞題材
[14:34] 這些都是股價的催化劑
[14:35] 你有一些基本面
[14:36] 有一些故事
[14:37] 但是你市場的資金
[14:38] 要跑到上面去
[14:39] 第一個
[14:40] 你一定要有當天
[14:41] 或者是很即時性的新聞
[14:43] 來去幫他點火
[14:44] 第二個就是
[14:45] 你要去看資金的主流在哪裡
[14:47] 因為今天大部分
[14:48] 我有去在盤中看到
[14:49] 說你扣除掉臺積電以後的加權指數
[14:52] 基本上是下跌的
[14:54] 而且跌幅
[14:55] 我記得我看到的時候
[14:56] 已經是0.6個百分點左右
[14:58] 所以你會感覺到
[15:00] 那種體感溫度很不舒服
[15:02] 就是因為其實下跌的股票
[15:04] 比上漲的股票多
[15:05] 但是呢
[15:06] 這也就造就了
[15:07] 另一批的標股
[15:07] 因為你資金會輪動
[15:08] 所以你有一批的股票呢
[15:10] 他的資金是流出來的
[15:12] 可是錢會留在股市裡面
[15:13] 他就會去找
[15:14] 另外呢
[15:15] 還沒有漲的
[15:16] 或者是前面
[15:17] 還沒有輪動到的地方
[15:18] 去做所謂的輪動
[15:20] 所以我們講輪動盤
[15:21] 輪動盤就是這樣子的架構
[15:23] 可能在前面
[15:24] 幾個交易日裡面
[15:25] 大家看到的是那種
[15:26] 百花齊放
[15:27] 全面起漲
[15:28] 雨露均霑的盤面
[15:29] 可是當你今天看到
[15:30] 指數好像開始有點
[15:32] 那種卡卡的感覺
[15:33] 我們第一個直覺
[15:34] 一定要知道
[15:35] 他就是在做所謂的輪動
[15:36] 所以今天資金輪動到軍工
[15:38] 那像以雷虎無人機為主
[15:40] 但是其實軍工裡面
[15:41] 也有很多有基本面的
[15:42] 像隆德造船
[15:43] 像是長榮航太
[15:45] 我覺得這些公司
[15:46] 他們只要是有EPS的
[15:48] 那你又剛好遇到了這一種
[15:49] 而資金重新回頭看有族群性
[15:51] 我反而就會覺得說
[15:53] 那你可能在接下來幾個交易日
[15:55] 你想做動能的投資朋友
[15:57] 你就可以往這個地方去走
[15:58] 那當然你看像彩金
[15:59] 因為剛才趙華也講了
[16:00] 彩金就是做中小尺寸的面板
[16:03] 而且今天友達群上是很慘的
[16:04] 今天友達群眾真的很慘
[16:06] 所以你看到彩金漲停以後
[16:08] 我相信會有一批投資朋友會覺得
[16:10] 那我接下來我就要趕快去追彩金
[16:11] 追彩金
[16:12] 可是就是
[16:13] 因為說真的
[16:15] 我不知道唱衰面板股
[16:17] 可是你真的有去看面板的報價
[16:19] 現在大概只有大尺寸面板的報價
[16:22] 有稍稍的上來
[16:24] 零點幾%的
[16:25] 對
[16:25] 不是什麼一天幾%
[16:27] 是零點幾%
[16:28] 零點幾%的
[16:29] 然後你更不用講說
[16:30] 你的手機面板
[16:32] 然後那種所謂的螢幕面板
[16:34] 電腦螢幕的那種螢幕面板
[16:35] 它的價格基本上是持平
[16:37] 甚至呢
[16:38] 還有一點點的往下掉
[16:39] 所以你希望面板股
[16:41] 要複製記憶體的這種走勢
[16:44] 現階段啊
[16:44] 我覺得以產業基本面來講
[16:46] 我還看不到
[16:46] 這個是我必須很誠實跟大家講
[16:48] 但是你以技術現行來講
[16:49] 它就真的很強啊
[16:50] 那你要不要去做這種
[16:52] 短線上面的一些動能的一些操作
[16:55] 我覺得可以去考慮斟酌
[16:57] 就是你要去評估你的風險
[16:59] 可是就是
[16:59] 大家不能覺得好像前面南亞科
[17:02] 然後華邦電
[17:04] 哇 這樣子接棒噴出去
[17:05] 那是不是呢
[17:06] 現在面板股呢
[17:07] 又能夠重新複製一樣的走勢
[17:09] 我給大家的一個小小忠告
[17:12] 就是你不能把過去很輝煌的期待
[17:15] 放到其他呢
[17:16] 產業基本面不同的股票身上
[17:19] 當然我還是希望啦
[17:20] 就是我們
[17:20] 我再補充一個
[17:22] 以群創跟友達來講
[17:23] 過去我們一直講
[17:24] 它是景氣迴圈股
[17:25] 現在呢
[17:26] 那個道歉表說
[17:27] 到底是不是景氣迴圈股
[17:28] 我們也不管
[17:28] 我們就以估值來講
[17:30] 過去面板股
[17:31] 通常給到的大概就是
[17:32] 0.9倍到1倍的股價淨值比
[17:35] 那大家可以去看一下
[17:36] 群創跟友達的股價淨值
[17:38] 我認為
[17:38] 我記得群創大概在27還是29塊
[17:42] 那友達是19.99
[17:43] 這個數字我記得很清楚
[17:44] 所以以股價淨值比
[17:46] 假設你給他1倍
[17:47] 大概上方是20到25%的空間
[17:51] 就是一個資訊提供給大家參考
[17:52] 就是你要理解到
[17:54] 自己現在在交易的
[17:55] 到底是交易什麼樣的評價
[17:57] 市場的共識在哪裡
[17:58] 產生的基本面又是什麼
[18:00] 所以我反而會覺得
[18:01] 在近期的操作難度真的很高
[18:03] 因為你除了要看農產業以外
[18:05] 你還要先去判斷市場的資金情緒
[18:08] 然後再來決定你的資金要往哪裡打
[18:10] 那說真的
[18:12] 如果是看不懂的盤面
[18:13] 我就寧願少做
[18:14] 當然對我現在來講
[18:15] 我覺得有很多可用之兵
[18:17] 就像剛剛其實軍工
[18:19] 我們也有稍微就是做一點佈局
[18:21] 然後機體
[18:22] 當然南亞科這個還抱在手上
[18:25] PCB我也還蠻看好的
[18:26] 就是在目前即便面臨逆風
[18:28] 那散熱我們手上也有跟大家分享過
[18:31] 那像面板
[18:32] 我覺得短線上面的動能很強
[18:33] 我也蠻想進去摻一腳啦可是就是要去找找看有沒有比較好的買點出現儘量選那種風險報酬比比較高的股票在農曆年前呢儘量就是我們說的以相對比較防守
[18:46] 防禦型的角度
[18:48] 來去做一些呢
[18:49] 進可攻退可鎖的操作
[18:51] 簡單來說啦
[18:53] 就是小明還是比較喜歡正規軍
[18:55] 沒錯
[18:56] 就是例如說
[18:57] 大家也知道我的個性
[18:58] 我一定會把盤面上
[18:59] 今天有什麼熱鬧的事情
[19:00] 跟大家說
[19:01] 可是我不一定自己做得到
[19:03] 那我可能還會建議一些做法
[19:04] 因為我知道有人做得到
[19:06] 例如說我常常講
[19:07] 這個低價在亂飆的時候
[19:09] 渾水摸魚鴿一根兩根
[19:11] 開開心心走人就好了
[19:13] 後面飆上去沒有就算了
[19:16] 總比這個在群創套了四五年
[19:18] 說我這個最近終於解套
[19:20] 就今天又跌了六七趴
[19:21] 你又覺得哇
[19:22] 怎麼又住回套房的
[19:23] 這種感覺來得好
[19:24] 不過先回應
[19:25] 剛剛在這些所有的低價裡面
[19:27] 例如說有答群創彩金
[19:29] 那如果今天是面板漲價題材
[19:32] 我覺得三家都沒什麼資格長
[19:34] 有達可報還比較有資格一點
[19:35] 因為它是大尺寸面板比較多
[19:37] 但是如果你是走
[19:39] 大家要轉型到擅出型風裝
[19:41] 我看到昨天那個群創道歉表
[19:43] 你越寫越誇張
[19:44] 說群創是半導體公司
[19:45] 沒有到這樣
[19:46] 我必須非常持平跟大家說
[19:48] 如果你要說誰轉型認真積極
[19:50] 我覺得群創真的認真積極
[19:52] 然後大家還記得群創賣場
[19:54] 賣給臺積電這個南科廠的時候
[19:56] 它其實是要跟臺積電合作
[19:58] 擅出型風裝相關的內容的
[20:00] 可是有達賣場給美光
[20:02] 它就是賣場
[20:03] 所以大家想法是不一樣的
[20:05] 我不是說友達就多不好
[20:06] 友達也有非常多的轉投資
[20:08] 可是如果根據
[20:09] 近兩三年的轉型動作的話
[20:11] 我覺得群創是有真的長遠想象的
[20:14] 可是兩家都還是一個體型
[20:16] 非常巨大的公司
[20:17] 所以兩家也各自有做了減資
[20:19] 這不是壞事
[20:20] 如果有一天
[20:22] 他能夠狠下心
[20:23] 假如跟長榮一樣
[20:25] 我一下子減資60%
[20:27] 我只是隨口說說
[20:29] 不是說他們要這樣做
[20:30] 搞不好也是一種想法
[20:33] 也是一種想法
[20:34] 你真的不需要這麼多股本了
[20:36] 你真的不是需要再做
[20:38] 原本那樣的資本投資
[20:40] 不斷地從幾代廠
[20:41] 要在幾代廠
[20:42] 不斷地幾代競爭
[20:44] 就每一家都賠錢
[20:45] 如果不是要這樣子的話
[20:47] 確實你處理那一些
[20:48] 先知的產能
[20:49] 然後把自己的規模縮小
[20:51] 而是專精在有毛利率提升
[20:53] 或是比較先進的技術上
[20:55] 我想這個中長線
[20:56] 是有一個對的發展的
[20:58] 那當然短線上
[20:59] 不可能這漲了七八天
[21:01] 都是說他已經轉型成功了
[21:03] 不是嗎
[21:03] 他肯定就是市場的資金
[21:05] 集中在這裡
[21:05] 所以才說渾水摸魚
[21:07] 但如果今天很有耐心的人
[21:09] 因為我剛好就突然想到
[21:10] 我一個好朋友
[21:11] 他在
[21:12] 我剛剛看一下我跟他對話
[21:13] 他在2024年的8月
[21:16] 8月問我能不能買群創
[21:18] 那時候十幾塊錢
[21:19] 我就跟他
[21:20] 他就問我說
[21:20] 因為他聽說群創
[21:21] 有很多轉型計劃
[21:22] 所以我就看我們對話很長
[21:24] 我們分享了很多
[21:25] 可是我跟他講說
[21:26] 雖然我必須說
[21:27] 十幾塊錢有點接近底價了
[21:28] 對
[21:29] 因為景氣迴圈股
[21:30] 你說你要哈在破10塊錢
[21:31] 我覺得真的有點困難
[21:32] 我說可是我不知道你這筆錢
[21:34] 因為那筆錢不小
[21:35] 你這筆錢如果要壓在他的上面
[21:38] 我真的不知道你的效率如何
[21:40] 你要做多久
[21:41] 他就討論了很多
[21:43] 他對於一家公司
[21:44] 如果能夠在底部
[21:45] 然後開始進行轉型
[21:46] 他願意花多少時間去等他什麼的
[21:48] 講很多
[21:49] 我等一下想說我要去問他
[21:51] 他到底那時候
[21:51] 有沒有買了那麼多群眾
[21:53] 八位數以上的群眾
[21:55] 太多了吧
[21:55] 我想問他
[21:57] 我剛才突然想到
[21:58] 我把那個對話拉出來看
[21:59] 我等下去問問看他怎麼想
[22:01] 但是你要想2024年的8月
[22:04] 他會歷經多長的寂寞
[22:07] 而且4月份還有大跌
[22:08] 對4月份還有大跌
