[00:00] 欢迎收听赵华仪古货载第1154集
[02:26] 以及到底谈到这边
[02:27] 我们应对的策略该如何
[02:29] 先来欢迎今天的来宾
[02:30] 今天是型男鼓声威良哥
[02:33] 赵华好大家好
[02:34] 我们刚刚在录音前已经先讨论了
[02:36] 就是云云众生反映给我们的一个心态
[02:40] 因为威良哥也要带蛮多的客户
[02:42] 所以可以了解大家的一些心情心声
[02:44] 那我是面对很多的散户观众跟听众
[02:47] 那我就跟威良哥开玩笑说
[02:49] 上礼拜在给大家送信息的时候
[02:51] 其实我们也送得很小心
[02:53] 对
[02:54] 像大家知道赵华是跌2000点
[02:56] 跌1000多点
[02:57] 我才去加码
[02:58] 而且如果是那么多普罗大众在听
[03:00] 就会建议说ETF为主
[03:02] 是执行为主
[03:03] 我买个股我不太敢跟大家讲
[03:05] 我很怕害到人
[03:06] 但是像理财达人秀
[03:08] 或是有些来宾
[03:09] 他可能还是会分享个股的时候
[03:10] 通常大家就是会采以那一种
[03:12] 会害死人的那种心情在听
[03:15] 但是我昨天看留言变了
[03:18] 都V转了
[03:20] 我要怎么上车
[03:21] 出现这种话了
[03:22] 我就想哇靠
[03:23] 好这些
[03:24] 对
[03:25] 但是我想呢
[03:28] 还是有绝大多数
[03:29] 我们的听众
[03:30] 是比较冷静理性的
[03:32] 在这段时间
[03:32] 做了不错的判断
[03:34] 我觉得很赞
[03:35] 就像今天
[03:35] 我也没有做什么事
[03:37] 我今天就是在
[03:38] 看着
[03:39] 继续看着我的资产回血
[03:41] 我虽然有想要买一些股票
[03:42] 但我觉得今天我没有很急
[03:44] 因为我自己的经验值
[03:46] 是谈到一定程度的时候
[03:48] 先享受回血
[03:49] 然后如果他还有在回撤
[03:51] 所谓第二只脚的时候
[03:52] 我可能再会进行
[03:53] 比较积极的布局
[03:54] 好那魏朗怎么看
[03:56] 现在的盘式呢
[03:57] 好那我想呢
[03:59] 因为当然台股这一次
[04:00] 返台来得蛮突然的
[04:02] 不过我一直强调一件事情
[04:04] 台股不会也无法走自己的路
[04:06] 所以呢我始终会把呢
[04:08] 美韩日台
[04:11] 这四个呢
[04:12] 算是AI世界队
[04:13] 连成一气
[04:14] 一并去做观察
[04:15] 尤其大家也很清楚嘛
[04:17] 我们现在的看盘的习惯
[04:19] 除了早上起床
[04:19] 你会看美股可能四大指数
[04:21] 尤其是费办或纳斯达克之外
[04:24] 那些重要的龙头指标股也会看
[04:26] 接着呢
[04:27] 马上呢
[04:28] 你就去看一下日韩股市开盘的走势
[04:30] 所以其实这段期间呢
[04:32] 我想台股确实比起像韩国股市或日本股市
[04:36] 我觉得我们反弹确实是比较快
[04:40] 那弹上来之后呢
[04:41] 现在变成说
[04:42] 我们应该要先稍微缓一下步调
[04:44] 等一等
[04:45] 等韩国股市日本股市
[04:48] 费城半导体指数
[04:49] 都能够继续的跟上来
[04:51] 那至少到昨天晚上
[04:52] 以及今天的上午盘
[04:54] 我觉得看到是一些更正向的讯号
[04:57] 因为费半呢
[04:59] 我原本推估啦
[05:00] 就是也许他可能还要一个多星期
[05:02] 慢慢才有机会去突破月均线
[05:04] 结果昨天真帅气
[05:06] 直接呢跳空就站上了月线了
[05:09] 而且大涨了6%
[05:11] 那我想这是一个好的开始
[05:12] 那所以呢
[05:13] 我们现在等于是大盘加选指数
[05:16] 应该先是在越际线附近
[05:18] 过关了之后
[05:19] 先不要急着冲
[05:20] 因为现在如果多涨了
[05:22] 恐怕以后万一是要还回去
[05:24] 那就不妙
[05:25] 所以在越际线附近
[05:26] 先稍微整理一下
[05:28] 重整兵队
[05:29] 后面就等待像费办跟上来
[05:32] 然后韩国股市
[05:33] 因为韩国股市还没有做出突破
[05:36] 也必须要跟上来
[05:37] 这是我会去观察的大盘的一个方向
[05:40] 大致上如果以节奏来讲的话
[05:42] 因为我觉得现在其实还是要持续针对
[05:46] 我们的年限来做乖离的收敛
[05:49] 因为毕竟真的上半年
[05:50] 其实在没有很大的一些利空的前提之下
[05:54] 那一度涨多又快速拉回
[05:56] 那这一次的拉回
[05:57] 我觉得就是来一个技术面的总调整
[06:00] 那我始终在观察
[06:01] 就是我们跟年限之间的一个乖离率
[06:03] 那因为年限呢
[06:05] 每个星期大概稳定往上增加个300多点
[06:08] 所以看起来年限一度是超过了52%
[06:12] 创下的优势也还最大
[06:13] 那现在已经慢慢收敛到二十几趴
[06:15] 那我觉得到了八月底以后呢
[06:17] 这个年线的一个乖离的幅度
[06:20] 就渴望呢
[06:20] 再进一步往这个十五趴来做靠拢
[06:22] 那那个时候我想
[06:23] 搭配接下来的
[06:26] 像是第三季末到第四季初
[06:29] 我们的产业的景气会更畅旺
[06:33] 那进入到基本面的一个
[06:34] 拉货的效应
[06:35] 然后再配合呢
[06:37] 因为在今年美国
[06:38] 还有台湾也都有选举
[06:40] 那往往呢
[06:41] 通常在选举年度靠近的时候呢
[06:43] 股市的行情会转去热络
[06:45] 在这样年底呢
[06:46] 一般来说也会有更多的新的展望
[06:48] 所以那个时候
[06:50] 我觉得就会是天使地利人和
[06:52] 所以大致上来讲
[06:53] 我觉得集团算是这个第一阶段的反弹
[06:56] 第一部曲
[06:57] 如果真的没有增加新的资金投入
[07:01] 感觉好像没有跟上的朋友
[07:03] 那我觉得其实当然
[07:04] 接下来是会有呢
[07:05] 第二个阶段
[07:06] 就是大盘可能不一定是用呢
[07:08] 所谓在蹲下去的第二只脚
[07:10] 或许呢
[07:11] 用时间来换取空间
[07:13] 横向或者是一个区间盘整
[07:15] 对
[07:16] 那看个股的一个轮动发挥
[07:19] 但是我觉得接下来应该
[07:21] 靠近这一季的季末
[07:23] 就大概九月
[07:23] 或者说接下来十月份
[07:25] 如果那时候再来发动
[07:26] 另外一次算是波段的行情的话
[07:28] 应该是可以期待的
[07:30] 好
[07:30] 我觉得投资在人性上面
[07:33] 有一个很麻烦的地方
[07:34] 有时候不能健忘
[07:36] 就是说曾经学到的经验
[07:39] 要往对的方法去
[07:40] 这件事情不要忘记
[07:41] 因为我们很容易回到自己的惯性
[07:43] 可是有时候要健忘
[07:44] 为什么
[07:44] 因为前一阵子
[07:45] 可能因为一些事情受伤
[07:47] 受伤你会开始害怕这个东西
[07:49] 就是一朝被蛇咬
[07:51] 十年怕草绳
[07:52] 可是如果校正回一个比较对的方式
[07:55] 或一个比较安稳的方式
[07:56] 我们还是希望大家能够藉由投资理财
[07:59] 是安稳的让财富成长
[08:00] 而不是说因为之前
[08:02] 明明是有一些比较不理想的投资方式
[08:05] 就在这一波受伤之后
[08:06] 就再也不敢回来
[08:07] 或者回不来
[08:08] 对
[08:08] 希望不要是这个样子
[08:10] 为什么会这么提
[08:11] 是我刚刚讲到
[08:12] 其实在反弹的过程中
[08:14] 我也会产生
[08:15] 要不要赶快进去
[08:17] 感觉上他今天弹完
[08:18] 明天可能还有一根
[08:19] 可是如果明天再弹
[08:20] 我就不敢了
[08:21] 要不要赶快
[08:21] 等那一种心情会跑出来
[08:23] 那下跌的时候也一样
[08:25] 其实像我每天做节目
[08:26] 魏廊哥也是每天
[08:27] 要跟他的粉丝观众
[08:29] 甚至他的会员
[08:30] 在沟通的时候
[08:31] 也有这样的压力
[08:32] 就是我们也许
[08:33] 我们两个今天
[08:33] 什么都觉得不用做
[08:35] 也觉得跌到这边
[08:36] 真的叫做差不多
[08:38] 也会再超跌一点点
[08:39] 我们观测的指标
[08:40] 它没有改变
[08:41] 就是刚刚讲到的
[08:42] 财报还是很好
[08:43] 展望还是很好
[08:44] 等等的
[08:45] 可是你的心里面
[08:46] 还是会很担心说
[08:47] 如果就有那个
[08:48] 万一我们没有猜到的
[08:50] 黑天鹅呢
[08:51] 会不会害到大家什么的
[08:52] 我们自己也会有
[08:53] 那个不确定性
[08:54] 但是我们还是用
[08:56] 按部就班的方式
[08:57] 例如跌下来
[08:58] 我有跟大家开一个玩笑
[08:59] 这个玩笑
[09:00] 我觉得其实蛮认真的想
[09:01] 跌2000点
[09:02] 跌20次
[09:03] 台股就不见了
[09:04] 会有这个事吗
[09:05] 你光这样想
[09:06] 你就知道
[09:06] 跌两天点价嘛
[09:07] 没有那么可怕
[09:08] 对不对
[09:08] 是要有资金
[09:10] 那反弹上来也一样
[09:12] 你今天没追到
[09:13] 明天没追到
[09:14] 可是你本来的资产回血了
[09:16] 就是之前有整理股票嘛
[09:18] 你之前抱不住的
[09:19] 现在谈
[09:20] 你也不要去懊恼说
[09:21] 哎呀
[09:22] 早知道当时
[09:23] 我就应该抱住
[09:24] 我凹到底
[09:24] 我不就上来了吗
[09:26] No
[09:26] 那个时候会卖掉
[09:28] 不外乎是
[09:28] 第一被迫卖掉
[09:30] 对不对
[09:30] 因为没有钱了
[09:31] 融资什么的
[09:32] 第二扛不住
[09:33] 情绪扛不住卖掉
[09:35] 你满仓扛不住卖掉
[09:37] 所以那些都是压力测试下没有过的
[09:41] 对
[09:41] 所以没有什么早知道我就如何
[09:43] 就算我那时候整理的股票
[09:45] 这两天是两根三根涨停板
[09:47] 我也不会去留恋
[09:48] 我只会去看
[09:49] 我那时候不是有换到ETF吗
[09:51] 那ETF也有帮我赚绩效回来
[09:53] 我回血
[09:54] 我先享受回血
[09:56] 然后才去想下一步
[09:57] 那刚刚魏朗也讲了
[09:58] 也可能打第二只脚
[09:59] 也可能不打
[10:00] 对不对
[10:01] 那如果真的不打
[10:02] 是时间换空间也好
[10:03] 我们可能就可以
[10:04] 慢慢地挑
[10:05] 那可是如果
[10:06] 它直接V上去呢
[10:07] 你还是有原本的资产以及我强调每一个月你本来就有定期定额在投资一些事情你就继续投你不要下来也觉得还会再更低不投上去觉得我现在扣贵了不投
[10:18] 我觉得这样就无解了
[10:20] 其实我们始终都是在这个市场当中学习
[10:23] 所以你刚才提到说
[10:24] 经过了七月份这一次的下杀八千多点
[10:27] 那我个人有没有一些新的学习跟体悟
[10:31] 我觉得有
[10:32] 像我自己就觉得说
[10:34] 因为可能以前就是在券商跟投信的法人研究部
[10:38] 所以很容易就是执着在基本面
[10:41] 但是我这一次看到很多手上所报的一些
[10:46] 基优的AI股
[10:47] 真的是前景都没有什么问题
[10:49] 基本面也没有下修
[10:50] 可是股价却硬生真的可能也是
[10:52] 跌了40%或腰斩
[10:55] 所以我发现我现在最新的体悟就是
[10:58] 基本面是能够让我们赚到破段
[11:02] 但是技术面能够让我们避开损失
[11:06] 所以其实两者应该是要相辅相成
[11:09] 也就是说
[11:10] 我从过去可能比较多的比重偏向法人思维
[11:14] 举例来讲
[11:15] 大家也会说像摇尺金母的0098EA
[11:18] 国巨跌下来一张不卖
[11:20] 但具体原因我们不清楚
[11:21] 但是对我来看
[11:23] 这种情况并不陌生也不奇怪
[11:26] 因为法人对于很多他们真的看到股票
[11:28] 真的有一些明星进言
[11:30] 他不要说报个一季
[11:32] 咬个三年的都会有
[11:34] 对所以他们其实是可以长报
[11:36] 因为他对基本面
[11:37] 真的有一种很坚定的信仰
[11:39] 不过对于一般投资人来说的话
[11:41] 光是这个股价腰斩的一个过程
[11:43] 就已经睡不好了
[11:44] 哪有办法去期望说
[11:46] 2027或2028年
[11:47] 他的股价会涨到哪里去
[11:48] 所以我想其实这一次
[11:50] 也让我自己重新去思考跟调整
[11:53] 就是说我认为基本面
[11:54] 还是最重要一件事情
[11:55] 因为唯有你对基本面掌握透彻
[11:57] 你才能够赚到那种
[11:58] 真的是50% 100%
[12:00] 甚至500%的那种非常大的波段
[12:03] 因为这个绝对不是靠技术面
[12:05] 我觉得就能够实现目标
[12:07] 因为股价如果动不动一涨
[12:09] 很多技术指标
[12:10] 它可能会显示出在高档了
[12:12] 在过热了
[12:13] 或者是中间又出现死亡交叉
[12:15] 结果又往上喷
[12:16] 会怪力太大等等
[12:17] 所以唯有基本面才能够真正去决定到股价的高度
[12:21] 可是跌下来之后
[12:22] 如果还是信奉那些基本面
[12:25] 对于大部分的投资人
[12:26] 如果我们都不是呢
[12:28] 这个明星操盘手出身的话
[12:30] 那我觉得大家其实忍受不住
[12:32] 扛不住那个动辄30%
[12:34] 40% 50%的回档幅度
[12:36] 所以这个时候呢
[12:37] 就要好好把这个朱家宏老师的
[12:40] 技术面的操作的心法
[12:41] 再重复的复习一次
[12:43] 所以基本面才能让你赚到大波段
[12:45] 但是技术面能够让你避开大损失
[12:48] 好
[12:48] 这个完全认同
[12:50] 因为大家知道我跟朱老师
[12:51] 真的算是
[12:52] 有真的相当深的一段历史
[12:55] 因为他的第一个
[12:56] 他人生第一个采访是我做的
[12:58] 他人生第一个采访是
[13:00] 反正因缘际会下
[13:02] 那时候还在平面媒体
[13:03] 对然后去他的教室上课
[13:04] 那时候是为了采访素材去上课
[13:06] 一堂课只收200块钱
[13:08] 有多佛
[13:09] 上两三个小时
[13:11] 对他就是这样起家
[13:12] 所以当时就是佛心的
[13:13] 这个上校退伍周老师
[13:15] 竟然在这边教技术形态
[13:17] 然后还做成当时的封面
[13:18] 就杂志的封面人物这样子
[13:21] 好我也是因此才接触到技术形态
[13:23] 在这之前
[13:24] 因为我自己跑公司跑产业
[13:26] 我都会觉得
[13:26] 我知道公司的状况
[13:28] 我知道法人朋友
[13:29] 研究员会写报告
[13:30] 我知道投信的经理人
[13:31] 想买这家公司
[13:32] 其实顺风球就打得蛮好
[13:34] 不需要学这些嘛
[13:35] 但大多数人
[13:36] 不会有这个环境
[13:37] 所以后来法人跟朱老师
[13:39] 熟起来是
[13:39] 我到了电视台
[13:40] 我没有办法
[13:41] 天天跑出去看公司了
[13:43] 所以我也必须承认说
[13:44] 到后来我就会很依赖
[13:45] 各种方式
[13:47] 还有朋友们给我的消息
[13:48] 因为我不是第一线
[13:50] 可以亲自去拜访公司的
[13:51] 那个人
[13:51] 我真的很想回到那个角色
[13:53] 因为很快乐那段时间
[13:55] 然后每次像什么婉婷来
[13:57] 她还是在线上
[13:58] 你就会觉得
[13:59] 好棒
[14:00] 就是她可以去拜访这些公司
[14:02] 我也好想去
[14:02] 要离题了
[14:04] 但是呢
[14:04] 我跟朱老师那么的要好
[14:06] 但技术形态
[14:07] 我确实是拿来做辅助的
[14:08] 为什么
[14:09] 因为朱老师的核心信仰
[14:11] 就是这个图怎么样
[14:12] 它就怎么样
[14:13] 包括下来就卖
[14:14] 上去就算比你卖掉的贵很多
[14:17] 他还是会买
[14:18] 只要他是锁定了那一个族群
[14:20] 或是什么的
[14:20] 所以这个信念要很强
[14:22] 那像我的话
[14:24] 我就很容易是
[14:24] 下来啊他本来就很投机
[14:26] 下来不知道去哪里
[14:28] 对
[14:28] 我所以就很难判断了
[14:30] 上去也一样啊
[14:31] 上去我也是会觉得说
[14:32] 有基本面的
[14:33] 我比较敢抱着
[14:34] 没有基本面的
[14:35] 我可能抱个几只
[14:36] 我觉得啊
[14:37] 管他的事
[14:37] 吃一下就丢掉了
[14:38] 所以我就没有办法
[14:40] 从技术形态
[14:41] 转到大破段
[14:42] 但技术形态
[14:43] 对我来说
[14:43] 确实有一个优势是
[14:44] 假如我真的抱了一段
[14:46] 很大的获利
[14:47] 而他回档
[14:48] 例如说破十日线好了
[14:49] 破月线我觉得突太多
[14:51] 当然破月线也可以
[14:52] 我可能就会觉得
[14:53] 无论如何
[14:54] 我总是要有一个停利的标准
[14:56] 对
[14:56] 然后我就会参考这个东西
[14:58] 做加减码
[14:59] 我觉得他对我的好处是这个
[15:01] 可是能够支撑我说
[15:03] 他都破月线了
[15:05] 他都要季线了
[15:06] 请问到季线生命线
[15:09] 是该狠狠的把它砍掉
[15:11] 还是该摊平
[15:12] 其实如果我真的非常相信
[15:14] 他的基本面
[15:16] 以及假设我买的商品是基金
[15:19] 是ETF
[15:19] 我就会选择摊平
[15:21] 对
[15:21] 昨天有人问我说
[15:23] 赵华我看你买了好多988A
[15:25] 之前有聊嘛
[15:26] 是一个全球型的
[15:27] 他就是投资在
[15:28] 美国 台湾 韩国 日本
[15:30] 我不确定有没有
[15:31] 比较积极型的科技股票
[15:33] 例如记忆体
[15:34] 例如细光纸
[15:35] 然后那一档
[15:36] 我那时候会买的原因是
[15:37] 你要我自己买很多记忆体
[15:39] 买很多细光纸
[15:40] 我做不到
[15:42] 臣妾做不到
[15:43] 那既然他那么积极
[15:45] 那我就决定
[15:46] 我要一档有配这样子的ETF
[15:48] 我现在不是帮他做广告
[15:49] 我只是在解释
[15:50] 因为刚好真的有人传讯息
[15:51] 因为他说他听完我讲
[15:52] 他自己他太太也买了
[15:54] 可是哇波动超级喜
[15:56] 上一次赚是赚十几趴获利出场
[15:59] 这一次一回跌就二三十趴
[16:01] 那我怎么办
[16:02] 我说这一档我必须承认
[16:04] 我选择加码
[16:05] 就是每一次我跟大家讲
[16:07] 在大跌的时候
[16:08] 这一档我选择加码
[16:09] 不见得加在最低点
[16:10] 可他每次一跌
[16:11] 他可能跌七趴八趴
[16:12] 我会加码
[16:13] 那加码理由也很简单
[16:15] 我虽然觉得我不确定
[16:18] 这个记忆体西光子
[16:19] 他们一下修那种波动幅度
[16:21] 波动到哪里
[16:22] 可是它毕竟是一个大部队
[16:24] 它不止这些
[16:25] 例如说它可能还会换一些
[16:28] 反正它会看科技股票
[16:30] 现在流行什么
[16:31] 可能会去换这样子
[16:32] 我就相信经理人
[16:34] 那它不会跌到没有
[16:36] 就对我来说
[16:36] 我是这样相信的
[16:37] 科技不会跌到没有
[16:39] 很小族群的可能
[16:41] 只是为了一个疫苗
[16:42] 只是为一个什么
[16:43] 很小很小族群的
[16:44] 有可能会
[16:45] 只是为了一个电池
[16:46] 有没有
[16:46] 这都跌得很惨
[16:47] 但是我觉得整体科技不会
[16:49] 所以我是选择加码
[16:50] 但是这种大波动的
[16:52] ETF他上去
[16:54] 我常常讲
[16:54] 例如说你的总报酬
[16:56] 超过20%的时候
[16:57] 你确实也可以考虑
[16:58] 要不要把那个20%
[16:59] 先停利回来
[17:01] 那现在很多ETF的设计呢
[17:03] 又是那一种
[17:04] 啊没关系啊
[17:05] 我把资本利的配息
[17:06] 配给你啦
[17:07] 他就等于自动在帮你做停利
[17:09] 我觉得这也是一个想法
[17:10] 好
[17:11] 也论总之总而言之
[17:12] 像我今天在这个电梯里面
[17:15] 遇到我们有一个
[17:15] 很厉害的大哥
[17:16] 我不讲好了
[17:17] 我怕人家认出他是谁
[17:18] 他很猛
[17:19] 他听了我们那么多财经节目
[17:21] 他手上有几百张的00878
[17:23] 大哥厉害了
[17:25] 他说他虽然听了那么多
[17:27] 然后他也知道高股息
[17:29] 去年表现的不好
[17:30] 可是呢他现在一季
[17:31] 他可以领超过20万的股息
[17:34] 他觉得很好
[17:35] 他觉得每一季有这钱
[17:37] 我说那大哥你来做兴趣
[17:38] 他说不是他为了他女儿
[17:40] 他希望他自己这些钱
[17:42] 将来也帮女儿存
[17:44] 这样女儿一毕业
[17:45] 就赢在起跑点
[17:46] 可能光股息
[17:47] 那找自己喜欢的工作
[17:48] 念自己喜欢的学系
[17:50] 学自己喜欢的手艺
[17:51] 他真的太疼他女儿
[17:53] 然后我听完就觉得超级感动
[17:54] 然后我就说
[17:55] 那你有没有觉得很放心
[17:55] 他说有
[17:56] 他说不长的时候
[17:57] 他也不觉得怎么样
[17:58] 反正有股息
[17:58] 那长
[17:59] 现在最近在跌嘛
[18:00] 他说他也觉得很安心
[18:02] 因为高股息跌得比较少
[18:03] 对
[18:04] 所以我觉得
[18:05] 我要讲的是
[18:05] 大家都有各式各样
[18:07] 自己的方式
[18:08] 可是你的核心信仰
[18:09] 才是支撑你可以抱一整个波段
[18:11] 最大的原因
[18:13] 那这一次的下跌
[18:15] 然后急速反弹
[18:17] 其实我想聊一件事情就是
[18:18] 很多人都误以为
[18:20] 一定要拿出新的资金进场抄底
[18:23] 好像才有跟上这个反弹
[18:25] 才会成为有收获的赢家
[18:27] 其实不然
[18:28] 如果大家回头
[18:30] 看看自己手上有没有股票
[18:31] 当然有
[18:32] 就是因为有库存
[18:33] 就是有持股
[18:35] 所以才会下跌的时候
[18:36] 觉得心情比较沮丧
[18:38] 比较沉闷一点
[18:39] 但是事实上
[18:41] 就是因为你有部位
[18:42] 尤其是如果是有精选好的股票
[18:44] 有好的部位
[18:44] 其实这连续四天谈上来之后
[18:47] 我相信呢
[18:47] 大家好好比较一下
[18:49] 你今天的收盘后
[18:51] 你的库存市值
[18:52] 你的身价
[18:53] 跟7月30号比起来
[18:55] 有没有发现
[18:56] 增加了多少钱
[18:57] 或增加了多少百分比
[18:58] 其实这个就告诉我们
[19:00] 第一件事情就是
[19:01] 其实选对好的股票
[19:03] 包括一些
[19:04] 你能够安心睡好觉的
[19:05] 好的ETF
[19:06] 其实有的时候
[19:08] 当然能够完美操作
[19:10] 我高档出一下
[19:11] 低档再接回来
[19:13] 这当然是100分
[19:14] 非常漂亮
[19:14] 但是如果没有办法
[19:16] 做到这种神人等级的操作的话
[19:18] 我觉得有时候真的是
[19:20] 留在场内或者耐心等待
[19:22] 本身都是一个蛮好的策略
[19:24] 像我有一个客户
[19:26] 他大概总部位差不多是1100万
[19:29] 那原本大概就是规划了
[19:31] 留了140万左右的现金
[19:34] 那也不多
[19:35] 他压蛮重
[19:36] 对大家可以算一下就发现
[19:37] 这等于说他的持股比重
[19:39] 是已经拉高到将近九成了
[19:41] 但是他这几天就一直觉得
[19:43] 很formal
[19:44] 好像没有参与到行情
[19:46] 因为他100多万
[19:47] 没有再打进去了
[19:48] 好像感觉没有收获
[19:50] 可是很多人可能
[19:51] 会跟他一样
[19:52] 忘了看看自己的库存
[19:53] 我帮他算一下
[19:54] 发现其实光这4天
[19:56] 他库存回升了
[19:58] 大概差不多300万
[19:59] 其实蛮多的
[20:00] 因为真的很厉害
[20:02] 他报的股票
[20:02] 这几天
[20:03] 不是4天4根涨停的
[20:05] 也是4天有3根涨停的
[20:07] 那都是很热门题材股
[20:08] 对
[20:09] 所以就原本
[20:10] 如果有选到对的主流股
[20:12] 整个产业方向没有改变的话
[20:14] 其實這一波反彈上來自然就成為贏家
[20:17] 所以反過來講
[20:18] 如果想要做特技表演
[20:20] 就是前面先快速的減碼那你說像這一次比方說CCL的台药或者说矽光子的联亚你真的要早买点切入很难耶中间你怎么接怎么套
[20:31] 前面呢
[20:32] 如果你没有先等个止跌讯号呢
[20:35] 一接它就跌
[20:36] 然后你说反弹之后切入呢
[20:38] 它一反弹不啰嗦
[20:39] 从跳空掌停板开始
[20:41] 对
[20:41] 所以有时候真的是
[20:43] 留着好的部位在手上
[20:45] 就成为赢家
[20:45] 所以我也希望跟大家分享
[20:47] 我现在心情超级愉快的
[20:49] 因为我上个礼拜就体感很穷
[20:51] 但是这个礼拜我去麦当劳都点大薯
[20:54] 还加玉米浓汤
[20:55] 突然觉得我的身价突然增加了很多很多
[20:58] 这就是因为手上有很多的部位
[21:01] 部位其实都是精挑细选过
[21:03] 没有跑现在当然也成为大赢家
[21:06] 好 这个身价回来很多
[21:09] 不要体重回来很多就好了
[21:12] 大薯加玉米浓汤
[21:14] 我想要在我们这边有一家
[21:16] 比较蛮有名的卤肉饭
[21:17] 加个鱼松和卤蛋
[21:18] 结果他居然说他放暑假
[21:20] 要到9月1号才开幕
[21:21] 这才叫真正的财富
[21:24] 该不会老板也是1200国际卖了
[21:26] 这才叫真正的财富自由
[21:29] 可以一整个
[21:30] 两个月他都不要做生意
[21:32] 这我们真的最羡慕
[21:33] 这叫实践自由
[21:34] 在我们这边寸土寸金
[21:36] 台北车站
[21:37] 好猛哦
[21:38] 那位卖汤圆的
[21:40] 不是说他后来有澄清
[21:41] 说没有就纯粹太累了
[21:42] 请不到人手
[21:43] 年纪也比较大了
[21:44] 不是国际的问题
[21:46] 这个我也很希望
[21:48] 哪一天我们都能达到人生的自由
[21:50] 但是回过头来
[21:51] 我们刚刚讲到的这些股票
[21:52] 到底有什么样的利多
[21:54] 例如说CCL
[21:55] 那个时候讲的
[21:56] 当然还是在涨价题材
[21:58] 到了第三季
[21:59] 这个我们昨天讨论蛮多
[22:00] 就是到第三季会不会涨价比较趋缓
[22:02] 如果它能够在前一波的下修中
[22:05] 又把这个因子也给先叠完的话
[22:07] 我觉得那就是一个非常好的事情
[22:09] 因为所有的
[22:11] 不管大家对它下一季展望如何
[22:13] 这些科技大厂
[22:15] 所有的资本支出
[22:17] 所有的展望都是上调
[22:19] 那现在现阶段
[22:20] 可能陆陆续续的杂音
[22:22] 我自己就有听到
[22:23] 拉货比较慢
[22:25] 要跟这些零组件厂商谈一下
[22:27] 你不能一直涨
[22:28] 好 大家卡一下卡一下
[22:30] 但是后面请问
[22:31] 订单来了要不要出
[22:32] 你不可能一季不出
[22:34] 两季不出
[22:34] 三季不出吧
[22:35] 那你说好
[22:36] 辉达每次在机柜的
[22:38] 新的机种交接的时候
[22:40] 中间可能会有一些些的断链
[22:41] 或是空窗起
[22:43] 他也不可能无止境地说
[22:44] 你永远都用旧的
[22:45] 过渡型产品
[22:46] 你新的都不出来
[22:48] 好中间都会有
[22:49] 我们遇到的锻炼期
[22:50] 那我当然个人私心是希望
[22:52] 他就在前一波的下杀里面
[22:54] 把他反应掉了
[22:55] 那接下来也许陆续有杂音
[22:57] 可是不会像这一次
[22:58] 可能一下子都回的这么快了
[23:00] 每一战也是一样的
[23:02] 大家会觉得
[23:02] 怎么打不完五个月了
[23:04] 可是每一次
