[00:00] 歡迎收聽趙華語古惑仔第1015集1015
[08:26] 從剛提到的所謂的臺積電
[08:29] 跟臺積電供應鏈的一些個股
[08:31] 有一些所謂的輪動在創高
[08:33] 那在所謂的IC封測
[08:36] 有日月光也創下歷史的新高
[08:38] 然後有一些所謂的封測股當中
[08:41] 跟機體漲價有關的
[08:43] 力晨 華東 南茂
[08:44] 媒體點名
[08:46] 那間力晨就漲0.8
[08:47] 也創下這個歷史的新高
[08:48] 那到IC設計的族群
[08:50] 有很多黨
[08:51] 像剛剛提到
[08:52] 股王姓華
[08:54] 盤中最高到8200塊
[08:56] 對 那我們在
[08:58] 禮貝爾的講場裡面說
[08:59] 應該我覺得臺股
[09:00] 今年如果要36000的話
[09:01] 應該會有一個
[09:02] 1萬塊的股票出來
[09:03] 對 就是浩海哥
[09:04] 在演講的時候還講說
[09:06] 大家有沒有想過
[09:07] 臺股會不會有
[09:07] 1萬塊的股王
[09:09] 對 以前真的想不到
[09:10] 你不要說三萬點想不到
[09:12] 你會以回個股來說
[09:13] 你會覺得當年的大立光的六千多
[09:15] 真的已經很離譜了
[09:16] 對
[09:17] 但你有沒有想到會有一萬塊嗎
[09:19] 但信華八千多就告訴你
[09:20] 你今天指數創新高
[09:21] 是不是股王也要創新高
[09:23] 不要說不可能
[09:24] 不見得是信華會一萬塊
[09:26] 但未來會有一萬塊的股王
[09:28] 對我覺得一定會有
[09:29] 因為臺股當然我們講三萬點四萬點
[09:31] 應該都不會是臺股的歷史新高
[09:33] 所以我覺得這個股王的價格越來越高
[09:36] 應該是必然的事情
[09:38] 只是說你會發現到
[09:39] 今天既然臺股有一個8200多塊的信花
[09:42] 收盤已經收在8000塊以上了
[09:44] 那我們看到股後是維影
[09:46] 那維影的股價在4000塊上下
[09:49] 所以股王跟股後的差距有拉大
[09:52] 那我覺得這是接下來
[09:53] 所謂的比價效應可以觀察的
[09:55] 因為維影當然最近是有一點落難
[09:57] 就是毛利率的問題嘛
[09:58] 但我覺得畢竟他EPS擺在那裡
[10:01] 所以如果說接下來所謂的一個
[10:04] 3000到4000
[10:06] 2000到3000的股價也越來越多
[10:08] 越來越強的話
[10:08] 我覺得其實臺股目前
[10:10] 整個多方的氣勢還是相當的強
[10:12] 所以剛剛提到了
[10:13] 從所謂的半導體的封測材料
[10:16] 到IC設計
[10:17] 到剛剛提到的晶圓代工
[10:19] 到成熟製成
[10:20] 你看到今天的世界先進
[10:22] 也是拉了兩根掌停板
[10:24] 那聯電低檔上來之後
[10:26] 大家覺得好像有隔衝的麥鴉
[10:27] 但股價也沒有轉弱
[10:29] 那甚至說最近的細晶圓
[10:31] 也非常強勢的在做一個補漲
[10:33] 所以我們會跟大家講
[10:34] 只要臺積電好
[10:35] 那法說會交出比市場預期更好的成績單
[10:39] 不敢說臺建本人要真的是連續的往上創高
[10:43] 但最少對於整個臺股的半導體供應鏈
[10:45] 都有一些推升的效果
[10:47] 那這個情況當然就會讓指數有越跌越高的跡象
[10:50] 那我覺得這一塊是在今天看起來
[10:52] 比較整齊的所謂的半導體族群
[10:55] 那另外一塊當然就跟所謂的報價上漲有關的
[10:58] 那今天就是所謂的被動元件
[11:00] 在所謂的機體族群
[11:02] 那這兩個區塊
[11:03] 我覺得目前機體還是盤面上
[11:05] 我覺得主流中的主流
[11:06] 因為國際股市當中
[11:08] 還是以記憶體為最強
[11:09] 像剛剛習早曉提到
[11:11] 禮拜五的廢辦指數
[11:13] 是大漲了2.7個百分點
[11:14] 創下歷史的新高
[11:16] 因為英特爾
[11:17] 因為所謂的美光
[11:19] 股價非常強勁的上漲
[11:21] 那當中最強的
[11:22] 還是在SANDISK
[11:23] 那上個禮拜開始
[11:25] 從黃仁勳一席話
[11:27] 他背板股其實是這個
[11:29] 記憶體
[11:29] 對 隱藏背板是記憶體
[11:31] 然後SSD的這個隱藏背板
[11:35] 是群聯
[11:35] 那被點名到的
[11:37] 真的記憶體是真的
[11:38] 漲得非常多啦
[11:39] 所以SanDisk
[11:40] 在上個禮拜
[11:41] 曾經這個黃雲君
[11:42] 講完話之後
[11:43] 漲了28%
[11:44] 然後到禮拜五
[11:45] 又再漲了13到14個百分點
[11:47] 那也是因為
[11:48] 就是他要上調
[11:50] 所謂的一個
[11:51] Netflash的價格
[11:52] 而且媒體傳聞是說
[11:54] 要做一個全額付款
[11:56] 就是你只能現金付錢
[11:57] 不像有時候廠商
[11:58] 不是會跟你押
[11:59] 什麼30天票期
[12:00] 6天票期
[12:01] 最猛的就是
[12:02] 鴻海的單子
[12:03] 180天票期
[12:04] 沒有現在現金來
[12:05] 對
[12:06] 所以我覺得那表哥
[12:07] 這個很明顯
[12:07] 就是所謂的賣方市場
[12:09] 是的
[12:10] 所以這個訊息出來之後
[12:11] 但NetFlash相關的
[12:13] 像今天的所謂的一個群聯
[12:14] 是盤中掌銀敗
[12:15] 來到1790塊
[12:17] 特地使行告
[12:18] 目前啊
[12:19] 我們不是在這個
[12:20] 股貨在1000級的時候
[12:22] 有一個PK嗎
[12:23] 目前是不是領先啊
[12:24] 還有另外一個比較猛的
[12:26] 我記得是朱老師的
[12:27] 文貌
[12:28] 文貌也很強
[12:28] 我覺得現在應該是
[12:30] 我們兩個在PK
[12:31] 剩兩個在PK
[12:32] 所以這個到時候
[12:33] 還不知道結果
[12:34] 還不知道
[12:34] 2月11號
[12:35] 對但我覺得
[12:36] 其實這就代表說
[12:37] 都跟什麼主流族群有關
[12:39] 那群聯
[12:40] 但我覺得他今天
[12:41] 能夠在處置期間
[12:42] 創造歷史新高
[12:43] 有他的這個
[12:44] 示範的意義存在
[12:46] 因為當初也是群聯先上1000
[12:48] 你後面才看到
[12:49] 這個南亞科能夠佔為200
[12:52] 然後華邦電能夠佔為80
[12:54] 就我覺得有一個
[12:55] 天花板頂高的比價效應
[12:57] 所以群聯
[12:57] 我覺得這段時間裡面
[12:58] 還是重點指標
[12:59] 那群聯因為也被處置
[13:01] 但他是五分鐘一盤那預計到1月21號會恢復到正常交易那1月21號當天又有海力士的財報所以下禮拜我覺得記憶體也是一個重點的觀察
[13:15] 因為這一次幾乎每一個所謂的國際大廠
[13:18] 跟國內的一些財報都是交出量人的成績單
[13:21] 所以大家可以從每一次的財報成績好
[13:24] 股價續漲代表這個族群就沒有太大問題
[13:26] 所以記憶體目前來看
[13:28] 我覺得唯一的問題是在於說
[13:29] 因為有八檔股票被關
[13:32] 那現在這個風險值比較高
[13:34] 還有這個4967的失權
[13:36] 對也有可能會在近期被關
[13:39] 那你看到這個立成啊
[13:41] 南茂啊
[13:42] 華東這樣的漲法
[13:43] 也很有可能被關
[13:44] 對所以記憶體的部分
[13:46] 但被關不會說
[13:48] 造成整個族群的大幅下跌
[13:50] 禮拜五的一個跌停板
[13:51] 但有一部分是流動性不好
[13:53] 有一部分主力可能在做資金的調整
[13:55] 但是因為整個記憶體從報價
[13:58] 從目前整個國際大廠的一個股價表現來看
[14:01] 我覺得都還沒有到轉弱的一個訊號
[14:03] 甚至說如果最近一個國際股市動盪幅度比較大的時候
[14:08] 因為基底被處置
[14:09] 所以籌碼比較穩定
[14:10] 也許會成為另外一個比較偏向資金的避風港
[14:13] 但是一樣就是很多有20分鐘一盤的
[14:17] 有10分鐘一盤的
[14:18] 所以當那種所謂的處置的時間
[14:20] 交易越來越困難的話
[14:21] 那還是建議投資朋友
[14:23] 就是說你要操作這種處置期間的記憶體
[14:25] 儘量就是買黑賣紅
[14:27] 他們比較不會那種連續性的上漲
[14:29] 因為比方像群聯
[14:30] 今天漲零板
[14:31] 然後他如果說明後天
[14:34] 再這樣的一個大幅度的上漲
[14:35] 他可能會變成20分鐘
[14:37] 一盤的處置交易
[14:38] 就會變得更加麻煩
[14:39] 所以還是要跟大家講
[14:41] 記憶體我覺得目前都還是看好
[14:43] 那只是說真的有過熱的現象
[14:45] 因為你會發現到
[14:47] 最近基本上所有的跟記憶體有關的
[14:50] 不管是媒體的收視率
[14:52] 然後新聞的版面
[14:54] 然後大家各自去挖掘
[14:56] 每一個記憶體的利多訊息出來
[14:58] 那我覺得這個代表
[14:59] 短線真的在過熱
[15:00] 所以才會有那麼多股票被關
[15:02] 所以你在操作記憶體的部分
[15:03] 我覺得就分成兩塊
[15:05] 如果你手上本來就有
[15:06] 那你就持股續報
[15:07] 如果沒有出現這種
[15:09] 重碼鬆動啊
[15:10] 法人站在賣方
[15:11] 國際大廠都在這個轉入的時候
[15:13] 我覺得你續報應該沒有太大問題
[15:15] 那如果你手上沒有的話
[15:17] 現在我覺得選擇大概就是
[15:19] 你要不就像上禮拜
[15:20] 遇到點停板的時候
[15:21] 去撈一下
[15:22] 做一個短線的操作
[15:24] 要不然就是去找一些
[15:25] 可能在外面還在外面逍遙
[15:28] 然後漲幅沒有那麼大的
[15:29] 有一些補漲機會的個股
[15:31] 我覺得是這個
[15:32] 記憶操作的一個重要的原則
[15:34] 當然記憶體的話
[15:35] 也是我在球場被問到的重點
[15:38] 但是我個人是覺得
[15:39] 要是是記憶體
[15:40] 我就去選擇領頭羊
[15:42] 就是他的獲利能力
[15:43] 看起來就是比較強的
[15:45] 順勢做
[15:45] 就是這樣
[15:46] 像他們問我說
[15:47] 那就南亞克
[15:48] 他說可能南亞克被分盤了
[15:50] 我說對
[15:50] 就是買賣很麻煩
[15:51] 分盤二分鐘或五分鐘
[15:53] 那五分鐘可能關一關
[15:54] 又直接關進20分鐘
[15:56] 根本不會放出來
[15:57] 可是我覺得
[15:58] 要我的話
[15:59] 例如說Fresh
[16:00] 當然我就是看群聯
[16:01] 對
[16:01] 我比較不會去看
[16:03] 像NoFresh的部分
[16:04] 我就會覺得
[16:05] 那個獲利就是沒有跟上來
[16:06] 我還是比較喜歡有獲利
[16:07] 但是我個人
[16:08] 沒有那麼大的膽子
[16:10] 在記憶體裡面衝鋒陷陣
[16:11] 只是就像
[16:12] 那個漢瑋哥講的
[16:13] 像他
[16:14] 第一個做講者
[16:15] 講完之後
[16:16] 他就講2026題材
[16:17] 他一下來
[16:18] 我就直接說
[16:19] 你剛沒有講到記憶體
[16:20] 那後來果然
[16:21] 這個會後大家一舉手
[16:22] 立刻問的就是記憶體
[16:24] 所以真的是人手一張
[16:27] 不過今天的盤面上
[16:29] 也可以看得出來
[16:29] 也不見得你要這麼執著於記憶體
[16:32] 最近有一個議題
[16:34] 大家也是非常喜歡
[16:34] 就是剛剛講像低檔轉強
[16:36] 例如像細金源低檔轉強
[16:38] 有很多低價股低檔轉強
[16:40] 這個東西最近也蠻多人喜歡的
[16:42] 我想稍微講一下
[16:43] 我覺得川普真的猛
[16:45] 因為川普不但這個事情
[16:46] 沒有被宣佈之後
[16:47] 他還去就是叫那個什麼
[16:49] 他就自己在自己的社交平臺上說
[16:52] 他已經叫相關機構去買
[16:53] 所謂的MBS
[16:55] 就抵押型的債券
[16:56] 對不對
[16:57] 這個
[16:58] 我覺得他是因為
[17:00] 他自己是房地產商人出身
[17:02] 當然不止房地產
[17:03] 他是一個商人
[17:04] 我覺得他對於金融商品
[17:07] 如何去影響市場
[17:08] 他是格外有概念的
[17:10] 但也沒看過
[17:11] 有可以做這麼的直接粗暴的
[17:14] 真的啊
[17:14] 因為他現在去買
[17:16] 這個類房貸型相關的債券好了
[17:18] 他等於就讓他們的利率下滑嘛
[17:20] 因為你的價格會上升
[17:22] 利率會下滑
[17:22] 那就代表房貸的利率會下滑哦
[17:25] 然後再來
[17:26] 還有限制了信用卡的利率上限
[17:28] 這也代表信用卡這邊的利率
[17:30] 就是借貸利率會下滑哦
[17:32] 這些都很猛
[17:33] 就是某種降息啊
[17:34] 消費性市場的降息
[17:36] 由總統的命令
[17:37] 總統的宣佈來執行
[17:40] 想過嗎
[17:41] 其實你說實話
[17:42] 在臺灣這個金融市場
[17:43] 算相對保守的
[17:44] 想都不敢想
[17:46] 要是是我們總統說這句話
[17:48] 早就暴動了
[17:50] 就一定大家會覺得
[17:51] 你的手怎麼可以這樣伸進來
[17:53] 可是我必須說
[17:54] 這就是真的猛
[17:56] 對
[17:56] 降息
[17:57] 川普是降息
[17:58] 好
[17:58] 補充一下
[18:00] 那這個好處是什麼
[18:01] 錢就會流到市場上
[18:02] 錢就會重新流到市場上
[18:04] 就會創造他想要的資金
[18:06] 活絡的市場
[18:07] 所以剛剛為什麼會講說
[18:08] 在這樣的情況下
[18:09] 我很難去什麼
[18:10] 會提醒風險
[18:12] 但很難預設上限
[18:13] 因為資金就是這個市場
[18:15] 最恐怖的東西
[18:16] 你會發現之前都漲千元股
[18:18] 然後漲EPS那種包充股
[18:20] 現在都不是
[18:20] 現在也不管你了
[18:22] 真的就到做夢行情
[18:23] 或投機行情都好
[18:24] 剛剛講的低檔轉強的
[18:26] 也會漲
[18:26] 你有業績的也會漲
[18:28] 你有題材的也會漲
[18:29] 就看輪不輪得到你
[18:30] 就像今天上癮漲
[18:32] 我就跟浩宇就說
[18:33] 哎連上癮都會漲
[18:35] 還有什麼不會漲
[18:36] 然後他就說
[18:37] 那邊業績看起來有點灰暖
[18:38] 這也是一個很重要的事情
[18:40] 因為今年的工具機
[18:42] 在去年的低機器下
[18:43] 今年在業績的年增率上面
[18:46] 搞不好就會有一個轉換
[18:47] 所以會不會機器人工具機也會漲
[18:49] 我倒是不悲觀
[18:51] 只是你從黃仁軒的講話
[18:52] 可以知道
[18:53] 他當然是
[18:54] 以前講過的
[18:55] 大家會覺得頓化掉了
[18:56] 什麼機器人自駕車
[18:57] 老AI頓化掉了
[18:59] 講一個新的市場就瘋了
[19:00] 對啊
[19:01] 新的就是記憶體
[19:02] 然後馬斯克的太空
[19:04] 對馬斯克的太空
[19:05] 那剛剛其實我覺得
[19:06] 川普的事情
[19:07] 人大還是要習慣
[19:08] 就是說
[19:08] 他這個人就內舉不必親
[19:10] 你看去年的這個虛擬貨幣
[19:12] 他發了川普幣
[19:14] 梅蘭尼亞幣
[19:15] 對啊老婆幣
[19:16] 對他兒子的小川普幣
[19:17] 對
[19:18] 發行之後
[19:19] 後面就開始崩跌
[19:19] 但也沒有事情
[19:21] 他也沒有因為這樣
[19:22] 被這個所謂起訴
[19:23] 感覺到他被抓走的感覺
[19:25] 對
[19:25] 他的女婿女兒
[19:27] 在政府的高官任職
[19:29] 同時在民間企業兼職
[19:31] 那甚至說他的女婿
[19:33] 在這個中東
[19:34] 投資了很多房地產
[19:35] 就是川普要去
[19:36] 拜訪中東的時候
[19:37] 他女婿的房地產的公司
[19:39] 就開始大漲
[19:40] 我覺得這個代表說
[19:41] 川普這個人
[19:42] 基本上就是肆無忌憚
[19:43] 看起來沒有任何的底線
[19:45] 所以今年因為
[19:46] 其中選舉的關係
[19:47] 他很多事情
[19:48] 你看到最近說我要格林蘭
[19:51] 格林蘭就非常擔心
[19:52] 對那這個委內瑞拉打完之後
[19:54] 說古巴伊朗墨西哥
[19:56] 你們都要小心
[19:57] 我接下來也會有一些相關的動作
[20:00] 所以我覺得今年可能大家還是要習慣
[20:02] 川普對於這個市場
[20:04] 你說2020年最大的風險
[20:06] 黑天鵝
[20:07] 還是來自於川普川老大
[20:09] 什麼時候又這個頭一樂
[20:11] 然後有一些想不到的政策出來
[20:13] 但現在來看
[20:14] 因為其中選舉是他今年最大的一個施政目標
[20:18] 所以任何對他選情有利的一些政策
[20:21] 我覺得會繼續推行下去
[20:22] 那目前對他選情有利的東西
[20:24] 好像對股市來講也都相對有利
[20:26] 所以對股市來說
[20:27] 我覺得大家還是要有信心
[20:29] 那回到臺股的部分
[20:30] 我覺得這一點也當然就是
[20:32] 如果川普在這個地緣的風險
[20:35] 持續有這樣的一個升溫的現象的話
[20:37] 但軍工股你還一樣可以看
[20:38] 像今天我覺得最大
[20:39] 在軍工股裡面最大的驚喜
[20:41] 應該是雷虎
[20:42] 因為原本在禮拜五的時候
[20:44] 美國就傳出來所謂的大疆
[20:47] 這種所謂中國的無人機企業
[20:49] 在美國經歷要取消
[20:51] 所以大家今天盤面上都很擔心
[20:53] 那臺灣這些軍工股
[20:54] 尤其無人機系列的相關個股
[20:56] 會不會有比較大的賣壓
[20:58] 但沒有
[20:58] 今天雷虎直接就是盤中就開高
[21:01] 雖然說沒有漲停板
[21:02] 但其他的軍工股
[21:03] 什麼成田 寶易
[21:05] 這種合成格式衝跌得比較重
[21:07] 但其他軍工股
[21:08] 其實表現都還不錯
[21:09] 所以我覺得這個是
[21:10] 地緣政策風險的一個相關的觀察
[21:13] 那剛剛也提到
[21:14] 我今天早上被這個媒體採訪
[21:16] 問了一個很有趣的現象
[21:18] 我也是今天才發現到一個蠻有趣的東西
[21:21] 就今天大家如果發現到這個
[21:23] 日月光的集團走勢非常的強
[21:26] 然後它旗下有一家這個做
[21:28] 營建相關的公司
[21:31] 對今天股價漲停板
[21:33] 那這樣的公司
[21:34] 我有去看了一下
[21:35] 就是說它叫做宏景建設
[21:37] 對那它公佈出來的12月的營收
[21:41] 是出現了年減
[21:42] 那股價今天是直接跳空漲停板往上
[21:45] 那我的解讀會是比較偏向
[21:48] 它跟所謂的半導體的
[21:49] 產物工程有關
[21:50] 所以應該是因為日月光
[21:52] 可能今年也有一些
[21:53] 所謂COAS相關的
[21:54] 前進豐盛的擴散計劃
[21:56] 那宏景本身可能有做到一些
[21:58] 營建的一些訂單或標案
[22:01] 那本身它這個本益比
[22:02] 只有八倍左右
[22:03] 所以我覺得今天看起來
[22:04] 就有一些資金在點火
[22:05] 那這一點其實也延伸出來
[22:07] 雖然說今天我覺得在
[22:09] 臺積電的供應鏈股價
[22:11] 是有點走勢趁勢不齊
[22:12] 但是如果說連那種日月光啊
