[00:00] 欢迎收听 赵华语古惑仔第1126集
[00:09] 今天是2026年的6月25号
[03:50] 这代表什么
[03:51] 就是一般来说
[03:52] 你遇到这种奇怪的情况
[03:53] 它代表什么
[03:54] 代表说
[03:55] 我觉得
[03:57] 是大概
[03:58] 比如说想买的也多
[04:00] 然后不敢去做C方的也很多
[04:02] 对
[04:03] 好奇妙
[04:04] 所以很妙就是说
[04:06] 你在这位置点
[04:07] 你除非说
[04:09] 愿意150去接
[04:11] 下一盘就是200
[04:12] 你要怎么接
[04:13] 所以只能挂在这
[04:16] 愿意赌很多的人也没有
[04:18] 想要去空的人
[04:19] 又很多
[04:20] 可是又很贵
[04:21] 很贵
[04:22] 就是空方的成本
[04:23] 又很贵
[04:23] 又搞得很难想
[04:24] 那你到底买了没
[04:26] 我挂了
[04:27] 就是从这个
[04:28] 看到前一笔的成交
[04:29] 大概落点在
[04:30] 在147到150之间
[04:33] 那我就
[04:34] 从150以下
[04:36] 就往下挂
[04:37] 无口无口这样子
[04:39] 那就睡觉没办法
[04:41] 对
[04:42] 不然会睡不着
[04:43] 那一天我记得
[04:44] 就是盘是有到4900多
[04:47] 对不对
[04:48] 要到4900嘛
[04:49] 4900多
[04:51] 然后
[04:52] 49000多啦
[04:53] 49000多
[04:53] 我刚才很疑惑的
[04:55] 因为今天没有影片版
[04:56] 大家看不到我们两个表情
[04:57] 累了累了
[04:58] 我说4900多是什么东西啦
[04:59] 当天政府也没那么高
[05:01] 49000多
[05:01] 夜盘喔
[05:02] 台纸旗的夜盘到49000多
[05:04] 那时候的感觉是
[05:05] 我明天早上起床
[05:07] 日盘就要50000点
[05:08] 那种感觉
[05:08] 然后你看喔
[05:10] 我去找这个4700的位置点
[05:13] 你讲这个
[05:14] 这个位置点
[05:15] 47000啦
[05:17] 47000
[05:18] 你到底为什么一直要图以时
[05:19] 47000这位置
[05:21] 已经差2000点了
[05:22] 按理讲是不会
[05:23] 不会有太难买的价格
[05:26] 那我觉得说150
[05:27] 也是一个非常合理的
[05:29] 因为你算一下说
[05:31] 大概三四天就解算掉
[05:32] 对不对
[05:33] 我不是说抓到下个礼拜
[05:35] 所以以这个位置点
[05:36] 我说150至少会成交
[05:38] 就没有成交到半口
[05:40] 就像你讲的
[05:41] 没买到
[05:41] 对
[05:41] 半夜起来发现
[05:43] 哇靠
[05:44] 这已经全部
[05:45] 这个150的这个位置点
[05:48] 对
[05:48] 没有成交
[05:49] 隔一天可能落点落债
[05:52] 那已经大跌嘛
[05:53] 对
[05:53] 落点落债大概已经快
[05:55] 七八百
[05:57] 好
[05:57] 因为大家可能
[05:58] 如果没有下选择全空单
[06:00] 也许对这个比较没有概念
[06:01] 可是如果用点数
[06:02] 可能大家就有感觉了
[06:03] 四万九千多点
[06:04] 想要来避险
[06:05] 对不对
[06:06] 台股最低有到四万五哦
[06:08] 所以这中间
[06:09] 以台纸企业盘来说
[06:10] 这中间是四千点的落差
[06:12] 对啊
[06:13] 所以也就是说你大概
[06:14] 如果你按之前我的做法
[06:16] 大概避险部位大概是30万
[06:20] 那至少是10倍
[06:22] 对
[06:22] 你每次都错过这种大的盐
[06:25] 几乎对不对
[06:27] 这个没有办法
[06:28] 因为确实你有挂单
[06:29] 你懂我说吗
[06:30] 你有挂单
[06:30] 可是他不给你成交
[06:32] 那你下次会不会就很下心
[06:34] 就直接贵盐买算了
[06:36] 没有
[06:37] 我最近就很下心了
[06:39] 干脆我就买了2000张的反应
[06:43] 反应
[06:43] 我为什么要买两件反应
[06:48] 就是说
[06:49] 万一我真的批
[06:50] 真的收不到
[06:51] 对
[06:52] 那反正有一个稍微
[06:53] 逼着
[06:54] 类似一个指数挂在那边
[06:55] 我就不用理会它
[06:57] 因为基本上我就是
[06:58] 合理我还是全力做多
[07:01] 因为看这个盘
[07:02] 我自己的感觉就是
[07:03] 不管它再怎么样的刷洗
[07:06] 那终究我还是往多的方向看
[07:08] 可是反应买的是
[07:10] 逼一个所谓的系统风险
[07:12] 应该这样讲
[07:13] 那P
[07:14] 还是如果有机会
[07:17] 我还是会下去买
[07:18] 那真的没买到
[07:20] 至少还有一个
[07:21] 反应
[07:21] 还是有在帮我稍微盯着
[07:24] 那天如果是崩下去的时候
[07:26] 基本上反应
[07:27] 还是能够稍微弥补
[07:29] 真的很少的来宾
[07:30] 在这个一开场的时候
[07:32] 我们是先来讲
[07:33] 放空避险
[07:34] 是真的避险
[07:35] 因为云翔哥手上的现货
[07:37] 是非常的多
[07:38] 他还是以做多为主
[07:40] 所以用选择权
[07:41] 是用所谓的杠杆来做避险
[07:43] 我刚看一下现在夜盘
[07:44] 像上次刚刚讲的
[07:45] 49240点最高
[07:48] 那低档是45063点
[07:50] 就我刚刚讲的45000
[07:51] 这个一来一回是4000点
[07:53] 其实现货开盘的时候
[07:55] 没有那么大幅的一个差距
[07:57] 是在期货盘上面
[07:58] 有这么大的一个差距
[07:59] 真的很刺激
[08:01] 但好处是
[08:02] 因为现货盘
[08:03] 几乎都比较正向表列
[08:05] 所以云翔哥的现货
[08:07] 还是持续地在赚钱
[08:09] 这边还是要提醒
[08:11] 这个听众朋友
[08:12] 我们的听众朋友
[08:13] 可能被我养成
[08:15] 是比较安稳投资的
[08:16] 但是我想
[08:17] 如果想要刺激投资的
[08:18] 就要学习云翔哥这一套
[08:21] 他只要台股在月线上面
[08:23] 那他的持股
[08:24] 就是至少七成以上
[08:26] 甚至涨越多
[08:27] 他加越多
[08:28] 先强调这个是云翔哥
[08:30] 他比较动能
[08:32] 他比较是今天盘越好
[08:34] 我反而不是减码
[08:35] 我是加越来越多
[08:36] 越来越多
[08:37] 但反向空单的避险
[08:39] 一定要做到
[08:40] 这是云翔哥的做法
[08:41] 那因为他买反一
[08:43] 我不晓得
[08:43] 古惑仔的朋友知不知道
[08:45] 那反一的成本
[08:46] 肯定比选择权来得高
[08:48] 高很多
[08:49] 可是反一的优点就是
[08:51] 你不用在那边
[08:52] 为了挂那个价钱
[08:53] 一百五下跳两百
[08:54] 我真的挂不下去啊
[08:56] 然后或者是像
[08:57] 我问他
[08:58] 为什么你不用台子旗
[08:59] 就直接买
[09:01] 也不要说大台
[09:01] 然后买个小台也好
[09:03] 他也一样的问题啊
[09:04] 波动太大了
[09:05] 不好挂
[09:06] 而且你可能还要去注意
[09:07] 有没有平仓的问题
[09:08] 等等的
[09:09] 所以他选择用反一
[09:10] 因为云翔哥的本也够多
[09:12] 买反一买两千张也很多钱
[09:16] 也是两千万吧
[09:18] 因为这个也坦白讲
[09:20] 六月来讲
[09:22] 获利还是有创新高
[09:24] 可是就六月
[09:27] 我自己看法是
[09:28] 我自己觉得不太及格
[09:30] 不太及格
[09:31] 我们来聊一下六月
[09:32] 虽然获利创新高
[09:34] 可是基本上就是
[09:35] 在这个积极度来讲
[09:39] 我觉得还是稍微有一点
[09:41] 就是
[09:42] 就是
[09:43] 落了一点
[09:44] 因为
[09:45] 整个六月来讲
[09:46] 就是说
[09:47] 如果按这样的一个行情
[09:49] 坦白讲
[09:50] 就是
[09:50] 它可能是
[09:51] 比五月来讲
[09:52] 搞不好
[09:52] 很多人是比五月
[09:54] 你的货的应该再翻一倍
[09:55] 的可能性都有
[09:56] 对
[09:57] 好
[09:57] 为什么不满意呢
[09:59] 当然绩效是不满意了
[10:00] 但是我觉得六月
[10:01] 是不是就是因为
[10:02] 被这样的盘是干扰到了
[10:03] 对
[10:04] 有点干扰
[10:04] 就算
[10:05] 因为有破月线
[10:06] 做了几十年老手
[10:08] 你看到这一种
[10:09] 因为这个是坦白讲
[10:11] 我们讲说不能一直用着过去的轨迹
[10:13] 去看现在的事情
[10:14] 对
[10:14] 就是说历史
[10:16] 我们讲说历史会重演历史
[10:17] 其实历史通常就是说
[10:19] 你看过去的这个行为
[10:21] 你只能做一个借镜
[10:22] 是
[10:23] 对
[10:23] 可是现在的这种行为来讲
[10:25] 模式来讲
[10:26] 你真的很难看到
[10:27] 看到这种行情是这样剧烈的一个波动
[10:31] 而且对美股来讲就是说
[10:34] 现在跟美股当然挂钩是很深
[10:36] 可是你发现说
[10:37] 美股來講現在也不好搞
[10:40] 美股自己也不好搞
[10:42] 說得太好了
[10:44] 你可以想像說美光
[10:46] 瞬間被殺了兩百多塊錢
[10:49] 它可以一天就
[10:51] 漲回來
[10:52] 漲18%最高可能漲到18%所以也變成說以个就是说以看美股去做台股来讲那现在来讲就变成说你的这个波动因素
[11:05] 当然也是变得很大
[11:06] 那相对于说
[11:08] 这个交易上面
[11:09] 难免会受一些影响
[11:11] 好 我们来统整一下
[11:13] 其实有几个指标
[11:15] 美股到底在担心什么
[11:17] 或液盘到底在担心什么
[11:19] 从最近的美元跟台币
[11:21] 可以从一个总经大方向来看
[11:23] 美元指数其实已经连四涨了
[11:25] 而且涨得有点急
[11:26] 大家如果有在看这个货币的话
[11:28] 可以把美元指数的图打开
[11:30] 台币虽然相对弱
[11:31] 但是美元指数
[11:32] 如果您看它是对六种货币
[11:35] 它是真的很强
[11:36] 美元指数的强
[11:38] 就代表美国对升息的预期是高的
[11:40] 是高的
[11:41] 这个事情我们讨论过很多次
[11:43] 就是到底今年美国会不会升息呢
[11:45] 其实我觉得比较神奇的是
[11:47] 联准会在华许第一次上任开完会之后
[11:50] 他们投出来的点证图
[11:52] 其实真的蛮鹰派的
[11:53] 可是市场完全不管
[11:54] 那是我们过端午节
[11:56] 市场就直接给你拉一个大红
[11:58] 好像就是只要华许讲完就好了
[12:01] 我管你是不是偏鹰
[12:03] 我管你是不是以后取消前瞻之影
[12:05] 或是你不投票
[12:05] 就先高兴一下再说
[12:07] 因为之前可能很担心
[12:09] 他讲出来的话
[12:10] 反而讲出来就不算话一样
[12:12] 可是最近如果以美元指数的走势来看
[12:15] 就是一个强势表态
[12:17] 觉得他们很怕升息
[12:19] 我们先有这个大环境的理解
[12:21] 所以在美股的高科技股
[12:23] 它就会呈现一个
[12:23] 非常大的震荡洗刷
[12:25] 因为如果升息
[12:26] 就是很不利于
[12:27] 这些本益比高的科技股
[12:28] 这个我们也理解
[12:29] 那台湾本来就科技股为主
[12:31] 所以我们就会跟着美股一起震荡
[12:34] 那昨天也有聊到
[12:35] 韩国有自己的问题
[12:36] 就自己的政策
[12:37] 但是我觉得政策要落实很难
[12:39] 什么未实现损益
[12:41] 就要拿来做这个课税
[12:42] 我觉得不太容易
[12:43] 那他们也发行了
[12:45] 这个杠杆型的记忆体ETF
[12:47] 这是他们特有产品
[12:48] 对那他们特有产品
[12:49] 那他们就自己
[12:50] 国内自己乱就好了
[12:51] 跟台湾关系其实也不大
[12:53] 从这个总经面上面来看
[12:55] 那造成的波动
[12:57] 我们先做一个理解
[12:59] 那现在什么事情
[13:00] 可以解除这个事情呢
[13:02] 第一当然有过修正
[13:04] 可以稍微解除
[13:04] 第二我们就观察美元跟油价
[13:07] 因为油价没有上来嘛
[13:09] 油价没有上来
[13:10] 你的升息预期
[13:11] 到了9月到底会不会升1码
[13:13] 或者12月会不会升1码
[13:14] 你就会慢慢的
[13:15] 又开始变得比较淡
[13:16] 然后我们再回到
[13:17] 美股科技股刚刚讲到的美光救了大家
[13:20] 因为美光的财报真的是非常好
[13:23] 营收远远超过市场预期355.9亿美元
[13:28] 它是缴出了一个414.6亿美元
[13:32] 然后EPS市场预期20.63美元
[13:36] 它缴出的是25.11美元
[13:39] 第四季的指引市场预期
[13:41] 营收来到429亿美元
[13:43] 它跟你说我的营收有可能来到500亿美元以上
[13:47] 总之就是它不但是现有支撑机
[13:51] 远远高于市场预期
[13:52] 缴出来的前瞻指引
[13:54] 也远远高于市场预期
[13:57] 那他也讲到说
[13:58] 自己讲的
[13:59] 我们已经不是周期品了
[14:01] 我们叫做战略物资
[14:02] 就是不要再叫我们景气循环股了
[14:05] 我们现在是AI里面的战略物资
[14:07] AI你未来的性能
[14:09] 完全取决于
[14:11] 目前我们可以提供多少的储存容量
[14:14] 这些事情是很强悍的一些用词
[14:17] 细节我就不念了
[14:19] 大家可以上网去多查一下新闻
[14:21] 所以为什么美光
[14:22] 可以一下子就谈18%
[14:23] 这番的言论实在太强烈了
[14:26] 再加上昨天
[14:27] 也许大家比较没有留意到
[14:28] 就是辉大的股东会
[14:29] 那辉大的股东会呢
[14:31] 他讲的事情
[14:32] 跟黄润勋来台湾的论坛
[14:34] 其实差异没有很大
[14:35] 但他再度强调一件事情
[14:37] 就是VIA Rubin如期量产
[14:39] 没有卡住任何的环节
[14:41] 这样就够了
[14:42] 这些事情加在一起
[14:44] 然后接下来如果7月8月
[14:46] 你会发现油价没有上来
[14:48] CPI PC都没有再超标了
[14:51] 那我们的生活就会回到长轨
[14:54] 这边把这几天的震荡前因后果
[14:57] 跟大家做一下交代
[14:58] 也让云翔哥讲一下你的想法
[15:02] 就是说你要如何坚定
[15:03] 在你手上这些高持股上面
[15:05] 我觉得说
[15:07] 还是我的看法是这样的
[15:08] 就是说在美股方面
[15:10] 刚刚也提到
[15:11] 其实这些我们讲说前十大的这些公司来讲
[15:16] 你会发现很多公司
[15:18] 它的财报数据其实都很漂亮
[15:20] 还是很好的
[15:20] 还是很好
[15:21] 对
[15:21] 那除了说现在当然大家对辉达
[15:24] 可能就是有一些这个潜在的认为说
[15:28] 有一些不好的事情
[15:29] 是认为中国的这个数字一直在下来
[15:31] 对
[15:32] 但他自己股东会有讲
[15:33] 对
[15:33] 他说不要care
[15:34] 他本来就没有认列
[15:36] 对
[15:36] 你会发现说
[15:37] 其实他真的也没什么在care
[15:39] 对
[15:39] 因为这一次这个
[15:40] 这个等于是在中国这一块
[15:43] 他等于是也没什么在表现出
[15:46] 所以我非常重视这个市场
[15:48] 最近都没有讲这些话
[15:49] 没有 而且他还讲说
[15:50] 他知道有些人会说
[15:52] 反正晶片可以用走私
[15:53] 他要谴责这件事情
[15:54] 很多人都说买得到
[15:56] 用走私的
[15:57] 另外美光这件事情
[15:59] 我就说当然他还是要看
[16:01] 最主要是这个HBM这一块
[16:03] 刚刚也提到
[16:04] 就是说在这个所谓的
[16:06] AI伺服器这一块
[16:08] 未来真的是HBM
[16:10] 这个可能是一个
[16:11] 未来两三年
[16:12] 是一个爆发的状况
[16:14] 台湾目前来讲
[16:15] 还没有HBM这一块
[16:16] 不过你就可能要看一些
[16:19] 所谓的跟HBM有关的这些
[16:21] 像载板
[16:22] 然后像这些风策等等
[16:25] 我觉得这个大概蛮有机会
[16:27] 那另外就是说
[16:29] 回头看台湾
[16:30] 就是说我为什么一直觉得说
[16:32] 大概下来的机会
[16:34] 还是比较低一点
[16:35] 虽然说我有买反义
[16:36] 可是只是我认为说
[16:39] 未来还是往上看
[16:40] 当然因为你现货比例还是高
[16:42] 刚刚讲云翔哥不是看空
[16:44] 他是避险
[16:45] 因为我认为说台积电
[16:48] 再怎么讲第二季
[16:50] 可能是一个很惊人的一个数字
[16:53] 还是会出来
[16:54] 因为就以他自己认为说
[16:56] 第二季的毛利可能就看到69%
[16:59] 这个数字可能讲出来
[17:01] 我觉得应该可能性很高
[17:04] 刚才讲到美元的事情
[17:06] 如果台币贬到32块
[17:08] 又是它一个漂亮的数字
[17:10] 对不是三一
[17:12] 是三二
[17:13] 云翔哥点出来这件事
[17:15] 贬值其实对外销非常有利
[17:16] 对
[17:17] 我刚刚光顾着讲
[17:17] 尤其是台积电
[17:18] 它整体是大部分的单子
[17:22] 基本上都是输送到美国
[17:24] 对
[17:25] 另外来讲就是说
[17:27] 以这个方向来讲
[17:30] 就是台积电的相关
[17:31] 我们叫台积电们
[17:32] 不管是现在最红的
[17:34] 就是做这些扩厂的一些厂物
[17:37] 厂物
[17:37] 厂户不止台积电
[17:39] 现在美光也一直很猛在扩敞
[17:41] 今年好像是估到将近260亿美金
[17:46] 不止美光
[17:47] 像我刚刚好像看到凯霞
[17:49] 就是所有的记忆体厂商都在扩敞
[17:51] 所以为什么说相关的
[17:54] 这个会一直在往上冲
[17:56] 另外来讲就是材料相关的也起来
[18:00] 特化最近真的好闷
[18:02] 我觉得说现在会有循环性
[18:06] 为什么会闷
[18:07] 我觉得说
[18:08] 基本上没有办法
[18:10] 产业就这样子
[18:11] 就是说
[18:11] 这个资金一定会往
[18:13] 这个所谓的热门族群
[18:15] 流入这个热门族群
[18:16] 那前一阵子最热门
[18:18] 不用讲
[18:18] 就是这些元件
[18:20] 就是被动元件
[18:22] 功率元件
[18:22] 被动元件等等
[18:23] 所以钱就一直往这边砸的情况下
[18:25] 你自然其他的就会减弱
[18:28] 像这个低轨卫星
[18:29] 不是它不好
[18:31] 因为它基本上就是没中心
[18:34] 在这个时间点
[18:35] 你不要想说你要去参与这种
[18:38] 所谓的资金没有流露的一个产业
[18:40] 对
[18:41] 所以我觉得说
[18:42] 大概这个资金
[18:44] 现在虽然是在被动原件很多
[18:47] 对不对
[18:48] 那我觉得说资金慢慢的
[18:51] 比如说它到了一个高度
[18:53] 一定的
[18:53] 资金可能被慢慢抽出来以后
[18:56] 就会流向其他的
[18:57] 那流向其他我觉得说
[18:58] 对我自己来讲
[19:00] 如果我自己来讲
[19:01] 我就会开始去寻找
[19:02] 有台阶段相关的这些
[19:04] 最稳定的这个
[19:06] 像刚讲特化
[19:07] 一定要啊
[19:08] 你扩敞扩这么多
[19:10] 每个厂基本上
[19:11] 你会发现这个
[19:12] 这个特用化学
[19:13] 一定要嘛
[19:14] 因为半导体
[19:15] 这些东西来讲
[19:16] 基本上会用到
[19:17] 很多的一个特化
[19:19] 那另外来想
[19:20] 很多材料啊
[19:22] 像这个靶材啊
[19:23] 对不对
[19:24] 这些基本上
[19:24] 你讲靶材
[19:25] 就不就那么一家
[19:26] 最近也比较没表现
[19:29] 对对
[19:30] 所以我倒觉得说
[19:32] 这个不担心啦
[19:33] 我觉得说
[19:33] 你只要就是抓对的
[19:35] 当然你不用说
[19:36] 提前去卡位也行
[19:37] 可是当这个市场
[19:39] 在转换的时候
[19:40] 你会发现
[19:41] 开始又往
[19:42] 朝哪个方向走的时候
[19:44] 我觉得步调要稍微快一点
[19:45] 因为现在确实
[19:47] 因为步调不够快
[19:48] 你会发现
[19:49] 越上去你越不敢追了
[19:51] 好 云江哥是非常贯彻
[19:53] 他的投资逻辑的
[19:54] 我还记得上一次
[19:55] 有一次跌破月线
[19:56] 你不是后来就减码吗
[19:58] 可是后来站回来
[19:59] 你就马上通通加回来
[20:00] 我还记得那时候
[20:01] 很多来宾都很担心你
[20:02] 我记得好像也有来股货仔讲说
[20:05] 哈 云翔哥那么快就加回来
[20:06] 但是那一次加回来之后
[20:08] 台股就走了一大段
[20:10] 所以没有加回来才会退心
[20:12] 解码才剪半天而已
[20:13] 对 就马上加回来
[20:15] 收盘剪完以后
[20:16] 可能开盘以后就马上慢慢买回来
[20:19] 这个非常难
[20:20] 到现在我也没有办法这样
[20:22] 假设我也说
[20:23] 好 我今天这档股票破月线
[20:26] 我就解码
[20:26] 上月线我就加码
[20:28] 如果这个一来一回是在隔天
[20:30] 我还真做不到
[20:31] 但你想说它是大部队
[20:33] 它还是可以这样做
[20:35] 那刚刚有点出一个重点
[20:36] 最近美元指数强
[20:38] 反映的可能是
[20:39] 美国担心升息这件事
[20:41] 但也造成台币的贬
[20:43] 昨天其实台币
[20:45] 我记得是重贬一角多
[20:46] 一角多相当多
[20:48] 所以当我看到台币重贬的时候
[20:50] 盘后外资筹码出来
[20:52] 大卖1770几亿
[20:54] 因为下午录股货仔
[20:55] 还没有看到数字
[20:56] 晚上录节目并没有把这件事情
[20:58] 当作是一个很恐慌的事情
[21:00] 是因为它对应着
[21:01] 台币最近在贬值
[21:02] 它比较有可能也掺杂了
[21:05] 汇率因素在里面
[21:07] 那今天有这样的市场风险的时候
[21:10] 钱从亚洲市场离开
[21:12] 是很正常的
[21:14] 所以即使昨天那个卖超数字
[21:16] 很吓人
[21:17] 史上第一大
[21:17] 我们没有把它视为一个
[21:19] 极度严重的事情
[21:20] 那大家也会说
[21:21] 那可是外资空单到了8万3千口
[21:23] 我刚刚看一下
[21:25] 今天期指还是正价差
[21:27] 这真的很猛
[21:28] 因为我们要进入7月了
[21:30] 我以前在七月真的很少
[21:32] 没有看过其实只是正加差的
[21:34] 如果在七月还是正加差
[21:36] 就代表大家实在对这个盘
[21:37] 是极度的看好
[21:39] 所以外资在里面的套利单
[21:40] 是真的非常非常的多
[21:42] 诸如此类
[21:43] 让我们觉得这些数字要警惕
[21:45] 不是说都没事啊
[21:47] 好啊好啊
[21:47] 因为汇率啊
[21:48] 因为要这个避嫌套利
[21:49] 也不是这样但是它的严重性你可能就要从多面向来猜而不是单纯就是觉得空单很刚刚恐怖卖超很多就完了可能现在的事情我们都要细腻一点
[22:01] 对 因为确实
[22:02] 你说这个1774亿
[22:05] 对 这数字
[22:07] 昨天看到我有吓一跳
[22:08] 对 我有吓一跳
[22:09] 因为我觉得说
[22:10] 大概外资
[22:12] 前一阵子
[22:13] 所谓的大卖超
[22:14] 大概我们讲说
[22:16] 大概七八百亿
[22:17] 这个是一个比较大的数字
[22:19] 对
[22:19] 那1700多亿
[22:21] 而且那一天基本上
[22:23] 还不是收最低的情况下
[22:26] 那天点1057点
[22:27] 对 还要拉起来
[22:29] 所以我们不能小看第四大外资
[22:31] 好 现在有第四大外资叫散户
[22:35] 对 我觉得现在看起来就是
[22:38] 其实这个资金来讲
[22:40] 总体来讲有在稍微改变
[22:42] 好 我们也可以来聊
[22:44] 因为昨天融资增加了135亿
[22:47] 我以为昨天融资会被吓走
[22:49] 结果后来晚上傻眼
[22:50] 增加135亿
[22:52] 那是不是今天真的
[22:53] 跌这个夜盘1000点
[22:54] 很有道理呢
[22:55] 就又拉红了
[22:56] 所以其实我觉得说
[22:58] 有一个观念
[22:59] 我觉得说跟大家再分享一下
[23:01] 因为不一定说一定是对的
[23:04] 可是我觉得说
[23:05] 你可以看一件事情
[23:06] 就是很多人在看融资的时候
[23:08] 认为说融资上去
[23:10] 基本上就是一个风险的事情
[23:11] 融资上去基本上就是一个
[23:14] 可能会有反应
[23:16] 散户都进来了
[23:16] 对散户都进来了
[23:17] 那可能要跑啊怎么样
[23:19] 可是我跟你讲
[23:21] 融资呢
[23:22] 还是有分所谓的一个
[23:24] 好的融资跟不好的融资
[23:26] 所以好融资就是说
[23:28] 基本上如果现在是在一个
[23:30] 我们讲说持续创高的一个行情
[23:32] 或者是在一个往上的一个行情
[23:35] 你融资往上走
[23:36] 也代表说整个资金的体系来讲
[23:38] 基本上赚钱的人还是多嘛
[23:40] 所以当融资里面的成分
[23:43] 是赚钱的融资
[23:44] 那基本上它的稳定性
[23:46] 当然是很高
[23:47] 因为基本上都是赚钱
[23:49] 你就没有这个问题
[23:50] 可是要担心的应该是说
[23:53] 万一这个融资上去的情况下
[23:56] 突然间这个盘
[23:58] 基本上它是一个重挫
[24:00] 或连续的长黑
[24:02] 那你这个融资来不及跑的情况下
[24:04] 变成套牢的一个融资很大的情况下
[24:07] 那当然这是一个风险值比较高
[24:09] 我们要看的是说
[24:11] 当融资下来还不够快
[24:14] 然后指数已经下来
[24:15] 那基本上这些套牢的这个部分
[24:18] 你就要去考量说
[24:20] 现在是不是要稍微保守一点
[24:22] 我觉得是大概这样看
[24:23] 如果是一个比较稳定
[24:26] 在往上冲的融资
[24:28] 那我觉得说
[24:29] 你不要把它说变成一个
[24:31] 怕它是一个毒药
[24:33] 我觉得并也不会
[24:34] 这个融资最近的状况
[24:38] 我们也有跟大家稍微分享过
[24:40] 就聪明融资嘛
[24:41] 和一般的融资嘛
