[00:00] 欢迎收听赵怀古惑载地1152集
[05:37] 但不是所有人的股票都能够大涨
[05:39] 或说能够回到之前
[05:41] 股灾之前的水位
[05:43] 对
[05:43] 但最少我们会看到说
[05:45] 盘面上你一些所谓的市场
[05:47] 原本认同度的高的公司
[05:49] 开始有比较积极的反弹
[05:51] 是
[05:51] 对那就代表说
[05:53] 整个大家对于AI的这种资本支出
[05:55] AI的疑虑开始有缓解的迹象
[05:58] 我觉得这就是一件好事情
[06:00] 也就是说我们经过切分股灾
[06:02] 真的你很难去期待说
[06:03] 好啦那我们8月份就跟没事一样
[06:06] 台股又回到这种歌照唱舞照跳的
[06:08] 一个多方的格局
[06:09] 我觉得现在大家应该期待的是
[06:11] 我只要股票
[06:13] 我的整体报酬能够比7月份下旬好一点
[06:17] 每天好一点
[06:18] 我觉得慢慢就有好转的迹象
[06:19] 所以整体上来看
[06:21] 我会跟大家说
[06:22] 现在的盘面上
[06:23] 我不认为说马上就要回到这种创高的轨道
[06:26] 因为时间环境也都不允许
[06:29] 但是你可以看到你手上的持股
[06:32] 应该有一些去慢慢回到多方的格局
[06:35] 我们讲什么叫多方格局
[06:36] 我们就简单说以大盘来看
[06:39] 大盘今天其实非常接近到月线
[06:41] 离季线也不远
[06:42] 所以如果你手上股票领先大盘
[06:45] 已经先回到季线
[06:45] 这回到月线以上的话
[06:47] 代表他其实这一波
[06:48] 他的底子
[06:50] 或说整体上他筹码
[06:52] 是比大盘来的更好
[06:53] 那我觉得这种股票就代表
[06:54] 当你手上股票
[06:55] 这种现行比大盘强的越来越多
[06:58] 那你这个整体的绩效报酬要回血
[07:02] 我觉得机会就变得比较大
[07:03] 所以最简单的检测方法
[07:05] 就是你把你手上持股拿出来看
[07:07] 有没有一些股票是比大盘强的
[07:09] 那如果你手上股票
[07:10] 大部分型態都比大盤弱
[07:13] 那就代表說你可能在
[07:14] 最近行情反彈的時候
[07:16] 還是要做一些所謂積極的換股
[07:18] 減碼去做一些持股的調整
[07:20] 才不會說可能大盤大家擔心說
[07:23] 你看到這個季線的關卡
[07:25] 你看今天為什麼台股量縮
[07:27] 因為差個幾百點就要挑戰季線
[07:29] 對那大家就會擔心
[07:31] 上一次到季線的回憶不好
[07:33] 所以會不會到季線就要賣一趟
[07:36] 所以我覺得當大家都這樣想的時候
[07:38] 早盘其实预估量人大概有到1.2兆
[07:40] 到收盘只剩下8000多
[07:42] 我觉得都是市场觉得上礼拜谈太多了
[07:46] 在网上好像没有空间
[07:47] 所以要追加人不多
[07:49] 那要卖股票的人也不多
[07:50] 所以整个量人就急速的冷冻
[07:53] 所以才会跟大家讲说
[07:55] 其实谈了两天上来
[07:57] 很多人可能就暂时会喘一口气
[07:59] 但是你说这边可以完全都不动作
[08:03] 然后等到这个行情自然回到高点
[08:05] 我觉得还是有它的难度
[08:07] 因为盘面上
[08:08] 我们刚刚跟大家讲的是
[08:09] 有一些股票已经先转强了
[08:12] 那转强股票跟谁有关
[08:13] 一个就是基本面好的
[08:14] 对
[08:15] 所以你看到今天我们台股的
[08:17] 这个新的创高股票是维影
[08:19] 维影
[08:20] 我刚刚还跟浩尔哥说
[08:22] 大家还记得吗
[08:23] 我一直觉得维影今年要一变三
[08:25] 因为他出拳
[08:26] 有20块股利
[08:28] 等于是要配两张股票
[08:29] 我好想参与
[08:30] 但是又一直很毛这样子
[08:32] 所以就错过了
[08:34] 对因为维影
[08:35] 马后炮事后论一下
[08:37] 因为你最近法人有出报告
[08:39] 今年大概有300多块的EPS
[08:42] 好像目标价就跳到蛮高的
[08:44] 好像也是万字头
[08:45] 对
[08:46] 所以就代表说
[08:48] 我们其实上个礼拜来
[08:49] 我跟大家讲过
[08:50] 你要怎么看盘
[08:51] 就是当盘面上力度会开始反映的时候
[08:54] 代表整个市场的心态也慢慢回稳了
[08:57] 有些资金要回来
[08:58] 但你放心
[08:59] 这资金回来一般都是法人资金
[09:01] 不会是一般散户的资金
[09:02] 所以威影今天的创高
[09:04] 我觉得有它的意义存在
[09:06] 就是说大家对于这种所谓的
[09:08] 获利好的公司
[09:09] 高价股
[09:09] 对 认同度高的公司
[09:11] 开始有买盘进来
[09:13] 另外一档是川湖
[09:14] 那川湖今天也是拉到涨0.5
[09:16] 是 川湖真的强
[09:18] 我只能讲
[09:19] 川湖实在太强了
[09:21] 对 它这一波其实也有修正
[09:23] 但是修正其实到季线附近
[09:24] 就开始反弹了
[09:25] 那现在上去之后
[09:27] 其实收盘价也要平下历史的新高
[09:29] 是
[09:30] 对 所以我们会看到
[09:31] 这种高价股先回稳
[09:33] 尤其是这种获利很好的公司
[09:35] 我觉得都代表着市场的秩序
[09:38] 慢慢开始有回稳的迹象
[09:40] 所以今天盘面上
[09:42] 你看到我已经上去之后
[09:43] 很多高价股都开始发动上来了
[09:45] 台光电回到5000块
[09:46] 回到基建关卡
[09:47] 然后看到奇鸿啊
[09:49] 建策啊
[09:50] 这种三二股票也开始转强
[09:52] 然后今天有一些探针卡的旺系啊
[09:54] 影威啊
[09:55] 所以我会从八月份
[09:58] 今天整个盘面上的表现
[09:59] 大致上可以说啦
[10:01] 应该是有一些
[10:02] 可能七月份被下出场的一些中石户
[10:04] 主力大户
[10:05] 还有一些可能投信法人
[10:06] 现在资金开始慢慢集中到一些高价股的部分
[10:10] 那最主要还是担心说
[10:12] 可能这一波虽然说反弹了两天
[10:15] 但还是有一些筹码需要沉淀
[10:16] 所以资金先往高价股跑
[10:19] 那我觉得最少就是一个市场的一个风向球
[10:23] 代表说可能盘面上资金
[10:25] 它的一个目光焦点
[10:26] 就重新回到AI相关的一些指标性的股票
[10:30] 那至少最少对盘面上来讲的话
[10:33] 我觉得就可以做一个
[10:34] 比较正面的解读
[10:36] 确实今天盘面
[10:37] 我觉得实属健康
[10:40] 对就是还蛮健康
[10:41] 不过今天
[10:42] 大家可能等一下
[10:43] 齐交所的资料
[10:44] 我刚刚先拉到的
[10:46] 齐货空单是大增
[10:47] 对就显见说
[10:49] 稳了吗
[10:50] 可能它不见得很稳
[10:51] 但是你说是不是
[10:53] 最恐怖的低点过了
[10:55] 蛮有机会
[10:56] 因为我们在观察两个
[10:57] 一个当然叫做
[10:58] 利多到底要不要反应
[11:00] 在下跌的这一段路上
[11:03] 我们不断地讲一件事
[11:04] 就是财报都很好
[11:06] 然后资本支出
[11:07] 要是以前在顺势的时候
[11:09] 一定会觉得超赞的
[11:10] 我们台湾卖铲子
[11:11] 卖杯子锅子这些的
[11:13] 他们资本支出
[11:14] 我们就有订单
[11:15] 完全就往这个方向解读就好了
[11:17] 可是这一次就会发现
[11:19] 非常之吊诡
[11:20] 对不对
[11:21] 谷歌说要提高资本支出
[11:23] 大家是非常的不买单的
[11:24] 然后呢
[11:25] 这个Meta
[11:26] 当然它的获利
[11:27] 大家市场的要求
[11:28] 看来是更高的
[11:29] 而微软
[11:30] 技巧性的
[11:31] 微调了自己的资本支付
[11:33] 让自由现金流为证
[11:35] 大家是买单的
[11:36] 那后来还有一个谁呢
[11:37] 亚马逊
[11:38] 亚马逊其实获利都是
[11:40] 也是很好
[11:41] 不用讲都很好
[11:42] 什么云端业务
[11:42] 什么都很好
[11:43] 然后呢
[11:44] 他也是要让这个
[11:46] 自由现金流变富
[11:47] 就他有可能
[11:48] 然后他也是要资本支出
[11:49] 市场不惩罚他
[11:50] 为什么
[11:51] 因为那天是星期五
[11:52] 那天市场的气氛好转所以我们那时候说两件事一个是观察利多到底什么时候要反应第二个当然就是如果是利空可不可以不反应
[12:03] 我觉得这两个事情是在上个礼拜
[12:06] 我们不断密切观察的
[12:08] 那至少到上个礼拜五
[12:09] 你可以感受到的是利多有反应
[12:12] 海力士的会长要救市有反应
[12:14] 然后后来周末美伊停战到今天
[12:16] 其实盘面上算是有反应
[12:18] 对不对
[12:18] 把夜盘的跌点都可以把它吃掉吗
[12:21] 好 诸如此类
[12:22] 所以今天我们观察
[12:23] 较力度有反应的情况下
[12:24] 你至少知道
[12:25] 这个盘
[12:26] 它除非有出现更大的事件
[12:29] 我们没有听过的事情
[12:31] 它才可能再跑回去测
[12:34] 前面的低点
[12:35] 那当然
[12:35] 我觉得有一件事情
[12:36] 我自己还在观察
[12:37] 刚刚跟汉文哥有聊
[12:39] 这一波的修正
[12:41] 除了大家对资本支出
[12:43] 会不会太多
[12:43] 大家会不会入不敷出
[12:44] 以及韩国杠杆的这个之乱之外
[12:47] 它还反映在
[12:48] 比较会影响基本面的
[12:50] 就是拉货这件事情
[12:51] 第二季有一些杂音
[12:54] 我不晓得大家记不记得
[12:55] 古货仔常聊
[12:56] 其实第二季
[12:58] 大家很担心
[12:58] 机体涨价
[12:59] 被动运营涨价
[13:00] 种种的零组件涨价
[13:01] 事实上可能都有一些
[13:02] 提早拉货的想法
[13:04] 但拉到这边呢
[13:05] 就开始要跟这些零组件厂商
[13:07] 好好聊聊了
[13:08] 好好聊聊了
[13:10] 好我们讲最大的一个指标
[13:12] 我们会看台达电
[13:13] 因为台达电就是市场
[13:15] 还蛮早就传出来说
[13:16] 他就是有一点点
[13:17] 希望这个零组件的涨价
[13:19] 跟他自己的采购
[13:21] 和他出货给他自己客户的时候
[13:23] 能够达到一点点平衡的一个厂商
[13:25] 好 今天台带链相对比较弱
[13:27] 相对比较弱
[13:28] 所以我就会觉得
[13:29] 这件事情在第三季
[13:30] 如果大家缴出来的财务报表
[13:33] 它没有办法在比第二季
[13:34] 更为亮眼的时候
[13:35] 它还是个压力
[13:37] 但我现在在观察什么
[13:38] 我观察它到底有没有
[13:39] 跟着前一波在下修的时候
[13:41] 把这件事情做了所谓的price in
[13:44] 就是所谓
[13:45] 接下来就算财报
[13:46] 好像没有激增很多
[13:49] 可是市场却没有反应了
[13:51] 这是有可能的嘛
[13:52] 对不对
[13:53] 就跟第二季财报很好
[13:54] 为什么不反应
[13:55] 我觉得大家其实担心的是
[13:56] 第三季可能没有第二季这么好
[13:58] 怎么办
[13:59] 对不对
[13:59] 好
[14:00] 那第三季会反映什么
[14:01] 那照理来说
[14:02] 你应该反映是第四季
[14:03] 对明年的展望了
[14:04] 对
[14:04] 应该是要这样
[14:05] 所以当第三季
[14:06] 如果如市场预期
[14:08] 因为在零足间的采购上
[14:09] 涨价没有幅度那么高
[14:11] 可是市场却接受了
[14:12] 那我觉得考验就过了
[14:14] 反而是可以来积极地看
[14:16] 跌回来那么多的股票
[14:17] 在第四季到明年的展望
[14:19] 是如何的来发酵
[14:21] 我觉得这个是
[14:22] 短线上为什么话
[14:23] 真的有说说实话不能说死
[14:25] 我也想像
[14:26] 哈美哥他们家的折折
[14:28] 讲说什么拿11060
[14:31] 就我还是要跟大家提醒
[14:33] 有这个我观察的指标在
[14:35] 但是我当然自己私心是觉得
[14:38] 有反应的前面这些利空
[14:40] 而利多有发酵的情况下
[14:42] 我依旧会按照我的步调
[14:43] 今天有种错
[14:45] 我不认为是一个市场上
[14:47] 整体基本面崩盘的状况
[14:49] 我就会捏着
[14:50] 好不好
[14:50] 哎呦敲到手了
[14:51] 捏着身上的某些部位
[14:54] 好好好
[14:54] 继续去买我放心的资产
[14:57] 包括ETF也好
[14:58] 或是像上礼拜
[15:00] 我一敢跟大家聊
[15:01] 就像设备股
[15:02] 我比较有把握
[15:03] 对
[15:03] 所以我觉得目前
[15:04] 当然就是大家去衡量
[15:06] 第一个就是
[15:07] 所有的利空消息
[15:08] 就像刚刚赵老师所说的
[15:10] 到底7月份跌了
[15:11] 很多是腰斩
[15:12] 反应够了没
[15:13] 所以才会跟大家讲
[15:15] 这时间点
[15:15] 你要去密切检视
[15:17] 这些公司供不出来营收啊
[15:19] 获利啊
[15:19] 毛利率啊
[15:20] 如果下滑股价是怎么样反应的
[15:22] 如果说到这位街
[15:24] 然后有利空还在跌
[15:26] 那代表说可能市场认为
[15:28] 他这个对于利空消息的这个价格
[15:31] 的反应完全没有完
[15:32] 完全反应完毕
[15:33] 那我觉得当然就会比较危险
[15:35] 那如果说开始有发现到
[15:37] 开始他开始利空不跌了
[15:39] 那就代表说市场也认为说
[15:41] 虽然说可能未来还会听到利空
[15:42] 但是因为股价已经先超跌了
[15:45] 反而就会慢慢有主力往上的一个空间
[15:47] 所以目前因为台湾刚好也是在所谓季报
[15:50] 跟法收费的密集的一个反应区
[15:53] 所以你就可以看到
[15:54] 如果说现在有些公司
[15:56] 他开始这个法收费讲好
[15:58] 因为我们这样7月份很多公司法收费讲好
[16:00] 一样给你跌
[16:01] 没错
[16:01] 对但到了7月份下去
[16:04] 你会发现到这个所谓的风向球开始慢慢扭转
[16:07] 最典型比方看联发科
[16:09] 联发科礼拜五开法收费
[16:11] 对他虽然对于第三季的展望保守
[16:14] 但上修他ESIC的一个市占率
[16:17] 对
[16:18] 今天直接是又是一个跳空掌影板
[16:20] 所以我会觉得说
[16:22] 其实以现在盘面上
[16:23] 你会发现到
[16:24] 当股价来到低档位阶
[16:26] 虽然说你每一家公司
[16:27] 一定会找到他有疑虑的地方
[16:29] 但市场如果开始愿意只看他利多那一面
[16:33] 那就代表整个市场的氛围跟情绪
[16:36] 对产业的一个内容
[16:37] 有开始正面的一个看法
[16:39] 所以你可以看到
[16:40] 联发科今天直接跳空掌影板
[16:41] 创意也直接拉高了掌影板
[16:43] 新KY也涨了半根以上
[16:45] 整个ICC族群
[16:46] 也因为联发科的一个转强
[16:48] 而带动上来
[16:48] 我觉得这些都是盘面上
[16:50] 看起来比较正面的因素
[16:52] 所以我们会跟大家讲
[16:54] 虽然说我觉得第三季
[16:55] 整个市场开始杂音变多了
[16:58] 我们可以取几个简单的例子
[17:00] 就是说毕竟其实过去第三季
[17:02] 大家很担心一件事情是
[17:04] 你现在所谓breakwell
[17:06] breakwell跟Value Bing
[17:07] 它们相关之间的换代
[17:09] 本来就有一些产品
[17:10] 可能要调整
[17:11] 那有一些可能拉货到尾端
[17:13] 那有些东西可能涨价
[17:14] 你现在出不来位
[17:15] 你还可以涨多少
[17:16] 那Vialu并又还没有开始拉货
[17:18] 所以那个所谓价格之间
[17:20] 到底转换率啊
[17:21] 那这些所谓供应商换材料
[17:23] 或换一些所谓升级的设备
[17:25] 那能不能够有这种衔接上的情况
[17:27] 其实大家都有点这种
[17:29] 物理看花的感觉
[17:30] 所以这个时间点
[17:32] 本来就是比较凌乱
[17:33] 所以很多消息一面
[17:34] 会让市场反映得非常激烈
[17:36] 所以你看到这些
[17:37] 要改规格啊
[17:39] 不采用光通讯啊
[17:40] 然后什么东西delay啊
[17:41] 股价就会跌得很重
[17:42] 所以我觉得其实在七八九月这三个月
[17:45] 其实你对于这个产业的讯息
[17:48] 容易会因为股价的大涨大跌
[17:51] 而有这种错误的判断
[17:53] 但我觉得其实真理上我们还是看大方向
[17:56] 如果现在其实刚刚我们上个礼拜相关的
[17:59] 四个云端巨头差
[18:01] 真的都没有要调低资本支出的一个打算
[18:05] 所以就代表说其实真理上
[18:06] 我觉得这些涨价升级的概念都还能够延续下去
[18:10] 但你说会不会像上半年这么疯狂
[18:12] 当然就不会了
[18:13] 对因为他们其实资本支出都有在说说
[18:16] 而且他们资本支出增加
[18:18] 其实都讲到一件事情嘛
[18:19] 不是因为他们要多买
[18:21] 回答更多的这个GPU
[18:23] 而是因为相关的零组件涨价涨得太多
[18:26] 对所以这是因为反映到涨价
[18:29] 而调升的资本支出
[18:30] 不是说他真的很看好
[18:32] 但最少我觉得代表说
[18:33] 他们最少在今年的资本支出计划
[18:36] 并没有因为涨价而不买
[18:37] 所以这个当然对于我们台厂来讲
[18:40] 都是业绩的支撑
[18:41] 那只是说上半年这么疯狂
[18:43] 下半年就要回归到
[18:44] 股价已经修正到很多
[18:46] 可能到半年线季线都修正下来了
[18:50] 那后面股价在上涨的动能
[18:52] 就一定要回归到
[18:54] 第一个
[18:54] 它的所谓的基本面的条件
[18:58] 要真的非常好
[18:59] 我觉得市场买单的力道才会强
[19:01] 所以我们会刚刚跟大家讲
[19:03] 为什么维影川湖能够居王崇高
[19:05] 因为他们上半年真的太好了
[19:06] 所以下半年来看的话
[19:08] 你最好可以看到
[19:09] 他们现阶段
[19:11] 我觉得都还是在反映到
[19:12] 整个所谓的AI的资本支出
[19:14] 反映到业绩上面去
[19:16] 那你也可以看到
[19:17] 今天的三热股转强
[19:18] 我觉得其实也有一点资金
[19:20] 在慢慢卡位
[19:20] 可能被阿鲁并后续出货
[19:22] 对他们的一个业绩
[19:24] 还有在加分的一个效果
[19:25] 那这些我觉得都是
[19:27] 看起来盘面上先跌
[19:29] 或者说之前股价修正
[19:31] 没有那么凶的而先反弹
[19:33] 那大家比较关心的是
[19:34] 那这一波
[19:35] 7月份跌很凶的
[19:37] 被动元件
[19:38] 主动元件
[19:39] 记忆体
[19:40] 然后一大堆矽晶元
[19:41] 我们讲那所有的涨价概念股
[19:43] 今天其实盘面上
[19:44] 也开始出现走势的分歧
[19:46] 所以我觉得到了8月份来讲
[19:50] 你还是要操作一些
[19:51] 可能主流股的一个跌身反弹的话
[19:53] 我觉得尽量就是把握几个原则
[19:55] 第一个
[19:56] 因为我们台湾相关的
[19:57] 涨价升级概念股
[19:58] 都有国际大厂可以对照
[20:00] 所以国际大厂股价
[20:02] 如果弹得多
[20:03] 那我们台湾就跟着反弹的幅度就大
[20:05] 如果说你买的股票像西光子
[20:07] 像被动元件像记忆体
[20:10] 国际大厂最近股价开始涨不太动
[20:12] 那我觉得很简单
[20:13] 你如果是根据国际大厂的一个位阶
[20:16] 而决定你的股票要续报要加码
[20:18] 那国际大厂开始转弱
[20:19] 你基本上来讲
[20:20] 你可能就做一个获利了结
[20:22] 或做换股的操作
[20:23] 目前来看
[20:24] 我觉得对台湾7月份跌很重的涨价概念股
[20:27] 其实大部分现行都偏弱
[20:29] 所以你顶多就是做一个来回去间操作
[20:32] 目前看起来
[20:33] 真的这种表态创高的股票很少
[20:35] 反而是资金转到一些高价股去了
[20:37] 因为汉语哥提醒我
[20:40] 联发科上礼拜五在法说
[20:42] 我觉得它是一个很好的指标
[20:45] 因为发科我们都知道
[20:47] 我也跟大家多次讲过
[20:48] 如果以今年的业绩来说
[20:51] 它不会有什么明显成长
[20:52] 比起那些早就已经在角出
[20:54] 所谓历史新高
[20:56] 一次比一次高的那些产业
[20:58] 什么同博基板
[20:59] 甚至像载板也在喷了
[21:01] 他们的业绩也在开始有点发动了
[21:03] 比起来发哥今年在手机市场的衰退
[21:07] 还是比较明显的一件事
[21:09] 所以上礼拜五呢
[21:10] 在录影的时候
[21:10] 我们已经看到发哥的数字了
[21:12] 他的获利是年减的
[21:14] 获利是年减的
[21:16] 我那时候就想
[21:18] 我已经看了那么多营收创新高
[21:20] 而且可能年增率是三位数的公司
[21:23] 我还要看你发哥年减
[21:24] 这样是不是不太好啊
[21:25] 但是我忘了哪一位来宾跟我说
[21:27] 不会啦
[21:28] 大家都知道他手机那块不好啦
[21:30] 应该是黄峰凯凯哥
[21:32] 他就跟我说
[21:32] 大家都知道
[21:33] 他手劲都快不好了
[21:34] 大家要听的就是
[21:35] 他那个ethic
[21:36] 什么时候会出来
[21:36] 他有说会出来
[21:37] 这样就好了
[21:38] 我就想
[21:39] 这么简单吗
[21:40] 还真的这么简单
[21:41] 不是
[21:42] 就是呼应到
[21:43] 刚刚汉玮讲的
[21:44] 力多
[21:45] 他现在被摆在前面了
[21:47] 对不对
[21:47] 也呼应到我刚刚讲的
[21:49] 如果大家能够忽略到
[21:51] 可能到了第三季
[21:52] 也不一定会有
[21:53] 旺季的效应
[21:54] 或者甚至没有比第二季好
[21:56] 可是大家可以接受
[21:57] 第四季到明年第一季的梦
[21:58] 重新做起来
[22:00] 我觉得发哥会是一个
[22:01] 蛮典型的代表业
[22:03] 对
[22:03] 他今天就
[22:04] 涨停的时候
[22:05] 我心里就想
[22:06] 对耶
[22:06] 他只要讲他第四季
[22:07] 真的有ready
[22:08] 他的AISIC就好了耶
[22:10] 对
[22:11] 什么年减十几八
[22:12] 不他很聪明啦
[22:13] 他在开法术的时候
[22:13] 也特别提到
[22:14] 他的年减
[22:15] 是因为他把很多的资金
[22:17] 投入在研发里面
[22:18] 对
[22:19] 很强调这件事哦
[22:20] 好啦好啦
[22:21] 买单
[22:21] 我觉得市场就买单
[22:24] 我觉得这个是一个
[22:25] 很不错的观察方式
[22:27] 那我也非常认同
[22:29] 那个汉远哥讲的
[22:30] 到底像今天谈上来
[22:32] 大家要不要减码
[22:33] 手中的股票呢
[22:35] 还是应该就觉得稳了
[22:37] 我应该加码
[22:38] 手上的股票呢
[22:40] 我觉得它完全取决在
[22:42] 第一
[22:42] 到底在上一波的时候
[22:44] 你的决定是对的
[22:45] 还是不对的
[22:46] 我的意思是
[22:47] 有很多人是跟我讲
[22:48] 我这波上来
[22:49] 我没有赚赢大盘
[22:51] 下去还跌赢大盘
[22:53] 如果之前的操作模式
[22:55] 其实有一点点的状况
[22:56] 那我反而觉得
[22:58] 假如你是有点小小小性好了
[23:00] 这两天赚了两天的反弹回来
[23:03] 还是应该适度的换一些现金
[23:05] 然后去认真的思考
[23:08] 谁是你信任的东西
[23:10] 而不是这个市场上
[23:12] 现在冲冲冲
[23:13] 好像之前很厉害
[23:16] 什么细金源很厉害
[23:17] 栽败很厉害
[23:17] 我现在就是再把它丢回去
[23:20] 被动元金现在不都涨停了吗
[23:21] 没事了
[23:23] 比较不要用这样的心情
[23:24] 要也是交给法人去处理
[23:27] 为什么很多人说
[23:29] 主动市益贴付规模那么大
[23:31] 所以等到中小型股跌的时候
