[00:00] 歡迎收聽《照華一股貨載》第1191集,今天是2026年的9月24號。
[04:10] 基本上這個櫃買的季限還在下彎啊
[04:13] 所以我們在上個禮拜五的時候
[04:15] 我們就跟大家說不要禮拜一你就衝進去買
[04:18] 因為禮拜一衝進去買其實是很危險的,因為它還沒有個長假效應。
[04:23] 但是你可以看到,大盤其實是一個多頭的架構。
[04:26] 那大盤目前上面還有一個月的大量高,大概在48218。
[04:30] 這個天花板一旦突破了,基本上台股就海闊天空了。
[04:35] 但是呢,大盤過這個48218,基本上櫃買也要即興要開始勾起來。
[04:40] 否則它就變成是獨角戲,這個這樣會很難看。
[04:45] 就是老公在前面跳老婆在後面綁鞋帶這樣很尷尬
[04:49] 所以目前看起來櫃買壓力會落在454.58到437.21這個區間段
[04:55] 所以這地方基本上他是必須拉起來的
[04:59] 那好處是說你看日韓基本上他們目前的月線是上彎的
[05:04] 所以台股基本上在這地方比較有點底氣
[05:08] 就是說我不是自己一個人是月線勾起來的
[05:11] 是我的小小弟櫃買的月線是勾起來的
[05:14] 日韓這兩個國家的月線也是勾起來
[05:16] 但是他們的季線都是下彎的
[05:19] 所以告訴你說
[05:20] 台股確實是走在一個蠻領先的位置
[05:23] 所以很多人說奇怪耶
[05:25] 為什麼台灣比韓國還要更領先
[05:28] 因為韓國不是有記憶體嗎
[05:30] 我說因為台灣有台積電啊
[05:32] 所以不一樣
[05:33] 大家角色不太一樣
[05:35] 我們角色其實是比較分配多元的
[05:39] 但你看這幾天雖然這個盤看起來有點溫溫的
[05:42] 可是很多之前被誤殺、被留言重傷的族群,尤其是今天很明顯像ABF、CCL都活過來了。
[05:51] 其實在上個禮拜,大概約莫也是在週末的時間,其實韓國最大的CCL球場斗山,他就說他要宣布擴大這個AI Server的CCL投資。
[06:02] 那就告訴你說,大家在擔心說M9很快就要被Face out,要進入M4這件事情是真的嗎?
[06:08] 答案是假的,就是說不會這麼的快,就算有也不會這麼快,何況我覺得不太可能,就是其實技術在領先的過程裡面,它不可能用比較low end的東西,它也許會確實是在CPU可能是同退光勁,可是它還會運用到別的地方去,還是會有這個量出來。
[06:29] 接著就是之前在講說這個ABF其實不管是新興的息產地
[06:35] 不管是景碩大股都賣股票
[06:37] 或者是像南丁的什麼BT報價漲不動
[06:40] 今天EBITDAIN拉了一個十幾%
[06:43] 所以大家怎麼樣都覺得好像都沒事了
[06:46] 其實我之前講說沒事
[06:48] 我之前在講說其實新興跌下來最開心的是聯電嘛
[06:52] 所以他大量在下面的時候你就發覺他投資賣之後
[06:55] 發覺好像被洗走了
[06:57] 從而被吃掉了,他們就開始回來回補。
[06:59] 那你看今天的行情裡面,其實最強的其實不是新興,也不是南電,是誰?是景碩。
[07:05] 因為我很想跟大家講說,其實景碩才是未來在AI Server這一塊擴展相對比較積極的。
[07:12] 那我今天還在路上聽到同業講說,哎呀那個景碩不是重點啦,景碩重點還在BT宅版。
[07:18] 我心裡想說,啊這個人真的是沒做功課,或是沒有在看我們的達人秀,或是沒聽我們的古惑宅。
[07:23] 他搞不好今天聽了就知道你在講他
[07:26] 身為一個產業的人你怎麼會到現在還在講說緊縮的重點是BT載板呢
[07:31] 你到底在搞什麼
[07:32] 凱哥已經講很多遍了
[07:33] 你是到底有沒有在做功課還是你都是順便純粹聽人家講自己不做研究
[07:37] 但是我們可以看得出來就是說其實這個都告訴你說
[07:41] 台股的主要的戰鬥陣營其實已經陸續在歸隊
[07:46] 我們的主力部隊開始在集結了
[07:48] 就是如果你這個ABF、CCL基本上還是很弱
[07:52] 中秋節過後,報股過中秋可能是有點問題,可是目前這個主力部隊開始在集結,雖然今天沒有很亮眼,因為今天最亮眼的應該還是建設,但是我覺得建設的往上走基本上是因為他形態突破,他不是法人大買,你還要搞清楚,基本上老實講,目前建設的一片是要跟晶片結合這件事情,其實老實講還可以。
[08:22] 在這個結合的上面,它在製程上面目前還在一個瓶頸的過程裡面。
[08:30] 所以他只跟你講說,他們認為未來還是從兩片式回來一片式,沒錯。
[08:36] 製程上是這樣沒錯,但是在製程上面目前很實際的就是,這個散熱片要跟晶片結合這件事情,而且要很平整。其實這是有難度的。他必須趕在明年的上半年要能夠克服這個問題,他才有辦法開始量產。
[08:54] 否則基本上他就還是在第四季試產,到明年上半年還是一個比較大的問號。
[09:00] 所以我覺得建設在拉其實是,他沒有去想,應該說拉的人他們沒有去想這些。
[09:07] 他們只是想說利空已經結束了,第四季他就是回到一片式的架構,可是他們又想說實質上還是有技術上的問題。
[09:15] 所以今天其實很多的族群裡面,其實嚴格講如果你把ABF跟C-SERV 扣掉,老實講今天就沒有什麼亮點了。
[09:24] 其實這個盤為什麼今天的亮只有7000多億,就是因為其實找不到可攻擊的部隊。
[09:29] 再來就是大家有點害怕,就是找盤拉上去之後又殺下來,殺下來之後慢慢拉上去。
[09:35] 所以這盤讓大家有一點 欸 怎麼講 想要讓你激進可是又給你一盆冷水
[09:43] 阿就畢竟卡在臉頰
[09:44] 對 跟你講說要冷靜要冷靜 不要急 不要急
[09:47] 所以我覺得基本上回過頭來 在這時間點啊 其實我們要觀察是什麼
[09:52] 觀察我們之前在講的投信太保守 投信的資金一直在金融股
[09:57] 它慢慢的在回來電子股的身上
[09:59] 上禮拜五講到這件事
[10:00] 那你可以看到就是它在買什麼
[10:02] 其實我們在上禮拜有看到像中砂他在買
[10:05] 可是他這禮拜開始在買什麼?開始在買生陽瓣了
[10:08] 其實這也跟我們剛才講說所謂的OIP這個論壇裡面
[10:12] 這個金倍會是未來的台積電的重點
[10:15] 那這東西從2026年其實台積電就在做了
[10:18] 那他已經跟這個中砂在用鑽石碟去做金倍研磨這件事情
[10:25] 其實已經有點效果了
[10:26] 因為畢竟鑽石碟是耗材
[10:29] 所以等於是中砂鑽兩邊
[10:30] 這幾個產品的產品是在市場上的最大成本。
[10:40] 全球最大投資者的投資額是約$1.5萬,以下的投資額是約$1.5萬。
[11:10] 賺到這樣的不是投機財喔是知識財你就可以賺到這個錢
[11:17] 那同樣我們剛剛一直在講說ABF ABF其實我們很早就講說ABF其實這裡面確實有很大的含金量
[11:26] 因為還在擴還在擴那今天EBITDA率先拉出去的一根
[11:31] 那接下來你看到像CCL這個抖散還在擴
[11:35] 其實抖三再擴這件事情其實也就打臉了所謂的之前在講的像這個雅電跟這個台鴻就告訴你說他們要取代CCL看起來不是一件容易的事情。
[11:49] 主要在於說他們的東西確實有商業化的機會但是要大量生產要應用到製程端其實有困難的。
[11:59] 因為這個東西,C-C-L出來,它是做在ABF裡面,對,那它的東西它不像這個FTP這個東西比較軟,這個東西比較軟,基本上廠商要link這個東西就有點困難了,就是因為我是要大規模的用,我不是這個實驗室用,我要大規模用的時候,基本上你們能夠說出來是沒錯,但是我要怎麼做進我的製程裡面,這是一個比較大的問號。
[12:27] 所以為什麼你看西西鵝大家都在擴,可是他們股價開始慢慢在跌,就告訴你說顯然到了這地方陷入一個瓶頸了,而且看起來是要大量生產是有困難的。
[12:40] 一樣啊,我剛剛在講哦,建設他現在拉上去了,可是如果到今年年底,他這個貼合的東西他沒辦法克服,他股價也會慢慢滑下來。
[12:49] 因為表示什麼,他還是沒有辦法用一片式的,不是說他不行,不是他東西做得不夠好,而是在於他沒有辦法大量生產,因為就輝達的角度來講,他就是要很Just in time,就是你要趕上他的製程,因為他的研發他是沒有在停的,他是一直在想破腦筋,在用更先進的東西在做,所以他是同時開好幾個方案。
[13:12] 我聽到就是像例如說我們在講說像群創他們也有所謂的這個玻璃嘛
[13:20] 對玻璃基板的部分
[13:21] 其實他兩個廠區都在做
[13:24] 他不是他自己一個廠區在做
[13:26] 不是他是好幾個廳都在踹同樣的東西
[13:29] 那只是看誰的最早能夠領先先做出來
[13:33] 所以告訴你說其實就產業角度基本上大家都是很拼命的
[13:38] 不是股票說我今天買了
[13:40] 然後我就等說 欸 等它漲上去賣掉 然後再來撿便宜的 不是 有些基本上上去它就上去了 因為那個那個MineStorm一旦跨越 基本上它就不會再回來了
[13:52] 所以雖然現在友達比較強一點 然後你就覺得好像群創稍微弱一點 但我覺得不要太看空群創 因為它確實就是很努力的在做 只是確實就是很難做
[14:03] 我確實很難做,就不是大家想那麼簡單說,喔我今天群眾說要跟台積電合作,然後台積電也把我放進供應商名單裡面怎麼樣,後面就順風順水,不是的。
[14:13] 是台積電就是我讓你放進供應商名單是給你機會,讓你來踹這個東西。
[14:18] 對,那你能什麼時候踹出來不知道,但是我相信他踹出來之後群眾不會是這個價格,但是踹出來群眾應該立刻就破百,對,他不會是這個價格,但是就是現在就是還在等的階段,就是你看他的廠區看誰會進度比較快。
[14:32] 是,我就覺得凱哥是不是背著我,對我偷偷跟人家聊起來,沒有,我對群創的看法跟凱哥一模模一樣樣這樣子。
[14:41] 先從後面講到前面去,就是剛剛講到群創友達嘛,我們最近常常說友達在複製群創前面上半年演的那個故事,這個賣場不是只單純賣場跟收生,而是可以跟台積電進一步的做合作。
[14:54] 所以之前群創長在前面,那友達現在跟在後面,但我覺得完全agree凱哥講的,但群創終究是比較早開始做這件事情的那個人。
[15:05] 那公司都在等台積電說話,因為現在說實話大家都是看台積電臉色,即使你進入到他的供應鏈,他們也不敢說什麼,就要等台積電自己講。
[15:16] 那剛剛凱哥講的很對,對於他們來說這種技術是創新技術,然後是從光電要切進半導體業的時候,那個真的難度非常高,他們團隊從來沒有遇過這樣的事情,也不確定透過台積電甚至牽連到了輝達,這中間的認證能不能順利,所以大家現在是取得了一個入場券,可是你可以在場內做到什麼的位置,可不可以做到VIP,可不可以做前面一點,現在都未知數哦,只是大家都很努力。
[15:45] 我覺得大家看題材覺得很開心,他雖然在面板業沒有賺錢,可是因為這個題材可能就已經漲一倍了。
[15:54] 如果他能夠真的把技術提升到台積電認可的程度並接到大量的量產訂單的時候,絕對真的就是不是雙位數啦,一定是三位數。
[16:03] 友達其實也是一樣,我們就靜觀其變。
[16:06] 可是我覺得我對台廠是很感動的,因為以前很古早以前,我們有一個叫兩兆雙星的計畫。
[16:13] 這個兩兆、一兆是半導體,一兆就是面板。
[16:17] 可是後來半導體變得不止一兆,不停地飛奔。
[16:21] 面板呢?就變得很萎縮。
[16:24] 可是現在面板也納入了半導體的所謂散出型封裝也好,
[16:29] 後段的一些先進封裝的合作,甚至矽光子的開發、玻璃基板的開發。
[16:33] 我覺得大家真的都是很拼命。
[16:35] 所以我今天幫凱哥的題目下了一個標晚上。
[16:39] 我說台股叫做神機妙算。
[16:41] 就是我們的做硬體的機械機台的很努力,在算力上我們要盡全力爭取商機,這就是台股就是我們強大的地方,好再往前推。
[16:52] 中砂他其實跟生涯辦也是互相競爭的很激烈哦,互相看對方也不是那麼順眼,中砂覺得自己比較勾引,比較不會去一直講自己多厲害,但是中砂這一次是領先生涯辦,他創下歷史新高之後,反而投信去思考,
[17:10] 如果買不下或追不下中砂了,一定要回來看看生涯辦了嘛。
[17:14] 所以我覺得兩家都確實如凱哥講的非常值得,而他們都是在台積電或是半導體設備供應鏈裡面的一環。
[17:21] 所以對於整體設備來說,我們常常每天給大家信心,你的手上的設備股只要確定是有訂單,在該領域有領導的地位,沒有任何的意見嗎?
[17:58] 這幾個部分是一般型的分離式元件,主攻是NB,是消費型的,還有一部分是確實有打入伺服器。
[18:08] 所以雖然這個族群都在漲,例如利市等,但不代表他們在漲可能是因為上游像聯電、合金,可能在產能上確實比較吃緊。
[18:26] 他們的報價可能就要跟著往上漲,可是他如果面對的客戶是NB,那其實明年真的不是太好,他可能轉嫁最後中可能就被廣達踢回來,就是廣達說我也沒辦法接受。
[18:39] 所以這地方你還是要去留意,就是真的有跨境伺服器供應鏈的像強茂、像廣紅科,他們就是確實是有打進去的。
[18:48] 同樣大家同步往上走的過程裡面,當然你是有A有B,其實有誰沒關係,反正騎驢找馬,反正你至少在驢上面。
[19:00] 騎驢找馬。
[19:00] 可是當大家講到一個過程的時候,你要注意的就是他們的,我們常常講的,越線有沒有勾起來,他是不是已經站上大量高值上。
[19:09] 如果這兩個形態都符合,那表示什麼?他就在伺服器的供應鏈的路上了。
[19:14] 如果他一直沒有或一直站不上,那你就要去思考說他的對象到底是交伺服器還是交NB。
[19:21] 所以我們其實是藉這個時間點跟大家教一下形態的邏輯,就是說你的形態邏輯要判斷要正確,這樣才可以從一群股票裡面找到好的股票。
[19:32] 因為剛剛凱哥還有講那個東西PTFE,曾經台鴻雅電在平面上也是天天噴漲,所以大家很羨慕。
[19:39] 當然,它現在絕對不會有營收,可是你說未來的兩三年,大家會不會又開始提到PTFE,一定會時不時提到,這就呼應到剛剛講的,雖然有人提到說用了CPU普及之後,就不用同伯基板到所謂的M9等級就不用了,降歸到M4就好,當天其實我們也立刻幫大家講說,在科技的發展中,有點不太可能會是這個樣子,第一個CPU的全面普及真的還有點時間,
[20:08] 雖然台積電說2027年的滲透率50%,可是這個滲透率50%怎麼算的,可能要再去詳細的了解它的內容。
[20:16] 然後再來,就如同凱哥講的,如果今天全世界的大廠都在努力往升級這件事情去做,不管斗山或是我們的光電或台藥,都覺得M9、M10都非常重要,然後廠商都要求要送認證嘛,MV也要看你的進程送認證。
[20:33] 誰會在這個時候跟你說再也不用了,通通退回M4就好,這是不可能的,科技的進程裡面這是不可能的。
[20:42] 所以PTFE將來會不會用到?有機會嘛,只是說這兩年它不會有營收,就跟玻璃基板它什麼時候會變成全面量產,很多人一直喊2029跟2030,可是時不時排名就會點火,所以大家要分清楚,你可以安心抱的,應該是現在開始業績就加溫的,
[21:01] 可是你想要去追著那個股市的熱潮,哇,現在資金回來了,動不動就一兆多的成交量,那這些可能就通通火起來哦,每天給你送一根掌停板。
[21:10] 我覺得要把自己手上的投資部位,釐清它的故事在講什麼,然後我覺得比較容易買到便宜的價位。
[21:17] 因為像CCL跌下來那一天其實就相對便宜,聯貿今天自結,對不對?單月賺2.54元,直接鎖掌停板。
[21:25] 所以有時候在這段時間只要遇到好公司或者是趨勢上的產業落難,我們一定要視為是機會,這個倒是我們在今年非常常跟大家分享的。
[21:55] 這幾個股市的投資者,在目前的情況下,是在一個很慘的階段。
[22:25] 這階段就是投信很慌張,就是他們覺得好像自己買到什麼探索山芋,感覺要趕快丟出來。
[22:31] 但是你可以看到今天如果聯貿拉上去,如果今天晚上的這個台光跟台耀的投信開始回到單日買超300張以上,那告訴你說看起來吸血就穩定下來了。
[22:44] 那你就可以開始冷靜的去佈局,因為今天聯貿已經先拉了,你這時候再去追聯貿其實是很尷尬的。
[22:51] 你這時候就想說你是不是應該回來買台耀或台光?
[22:55] 嗯,好,台耀或台光就相對比較還沒有噴漲,以位階來說都還在這邊沉潛,可是也都已經離開當天被市場留言下殺的那一根囉,都已經離開囉。
[23:08] 我都個人是蠻看好的,因為他們可能在明年的業績成長性不會像去年到今年這麼猛爆了,可是股價已經從高點回來啦,所以我們一定要記得一件事情,
[23:20] 明年他們還是成長新產業只是成長的比率沒有那麼高而已
[23:25] 但是股價一旦回跌也就代表本來已經把預期漲上去了Price In的部分又下來了
[23:31] 評價又合理了這個時候就可以再介入
[23:34] 他們是非常適合高出低進的一個族群因為業績妥妥的
[23:39] 他不會像有一些好像剛剛講PTFE好了像這種我就比較做不到
[23:43] 我會觀察到台鴻雅電真的好猛我們還要叫達人來講一下
[23:47] 所以我就找了以前打雷秀的製作人陳于晨來講了一下,超讚的,可是你問我要不要買,除非我今天是順勢而為的人我會買,可是如果我是非常在意他有實質獲利數據或是他的獲利數據我很把握很清楚即將要進來的我才有勇氣大買啦。
[24:04] 那像這種題材的我只能說我觀察到了我也跟大家分享他們在長什麼,可是他可能他就會是順勢操作用技術形態操作會比較好的一個族群。
[24:15] 我覺得大家可以分辨,像銅箔基板我就覺得沒懸念,載板我都自己有點怕怕,因為載板的本益比超級高,可是銅箔基板是本益比相對合理的,我覺得大家可以參考看看自己的屬性。
[24:26] 對啊,所以其實我們從這樣一開始從大盤一直講到個股,他們覺得其實大盤其實沒有什麼特別需要害怕。
[24:35] 是的。
[24:35] 在結期的這段時間,我覺得我要給大家一個就是怎麼去觀察,就是目前看起來小納也是一個多頭架構,
[24:43] 但是目前看起來就是油價會影響到市場的氛圍
[24:49] 那因為昨天川普講話嘛
[24:51] 所以油價瞬間又飆回100塊以上
[24:53] 那你就要觀察就是說油價還有繼續往上噴
[24:56] 如果飄到108以上基本上就比較危險
[24:59] 那如果油價一直就在100塊的上下整理
[25:01] 我覺得相對就比較安全
[25:03] 那但如果油價可以跌回98塊以下
[25:05] 那就是看起來就是Settle
[25:07] 就是妥當了
[25:07] 就是不會有什麼太大的風暴
[25:09] 那如果你要
[25:11] 如果這個油價一直在108塊以上,那代表說年底前還要再升息一次,就是這個通膨的issue不會解決,那如果他有慢慢回下來就好。
[25:22] 所以我剛剛講嘛,四天的連假,你不用觀察別人,就觀察油價就好了,因為我們這四天沒有辦法做什麼,我們只能看人家表演。
[25:30] 但是你要知道說你回來到底要做什麼,你回來做什麼就是說,第一個是油價如果往上走了,那告訴你年底之前還會有一次的壓回。
[25:39] 因為這個看起來還有再次升息的可能
[25:43] 那它就會是市場的一個比較大的脆弱的地方
[25:46] 那如果沒有就不用害怕
[25:48] 不過你倒是給我一個靈感
[25:50] 因為我覺得我們這禮拜都是不斷的提醒大家
[25:53] 台股的狀況很好
[25:54] 就算後面有修正我還是抱持一樣的心情
[25:57] 因為一直漲我其實也沒辦法加碼
[25:59] 就等於這禮拜我很為台股的韌性覺得高興
[26:03] 也覺得我們快要度過前面那個
[26:05] 不管是升息、通膨這些問題
[26:07] 長假之後應該就大有可為,本人是這麼想,但10月有連續好幾週,都是只要上班4天,一則以喜,一則以覺得受壓抑,但是11、12月那個漲率就更高了,所以照理來說應該情緒是開心的,可是我這邊還是忍不住要問凱哥,反下來問好了,有沒有什麼事情有可能顛覆年底就是這種一路往上走的優勢,就是你有沒有想到什麼事情,我們還是提醒大家一些風險好了,我覺得我好像太高興,就這段時間。
[26:38] 如果油價都沒有上來,那就是順風順水嘛,一路往上走。
[26:43] 如果油價往上走了,那就告訴你說還有一次的升息。
[26:47] 那這個地方它就會是再一次的震盪。
[26:50] 又再一次測試。
[26:51] 對,會再一次的震盪。
[26:52] 可是震盪完之後還會繼續往上走高。
[26:54] 因為明年其實目前看起來它真的是一個多頭年。
[26:57] 所以我覺得基本上大家在這個地方記住,就是你如果還沒有上車,那請務必中秋節之後你一定要上車。
[27:05] 你不要跟我說凱哥我好害怕我手上滿手的現金連ETF我都沒有買哇那真的是很麻煩
[27:11] 因為這行情就是一個多頭的行情你不能說你是沒有股票的
[27:16] 很危險的因為你會突然有一天突然會失控喔
[27:21] 你會突然有一天進去大買我們不喜歡這樣就是你不要一大買然後你就被套照了這很危險
[27:28] 所以我覺得你要冷靜一點就是說結後是不是這個行情
[27:32] 這行情我們先從大型的航空母艦台積電先入手
[27:37] 沒有錯
[27:37] 對
[27:38] 我剛剛講了你至少有了一個比較穩的標的之後
[27:41] 你再想說你要不要去分散到台積電相關的供應鏈裡面去
[27:45] 把部分的資金移出來放到那個地方去
[27:48] 這樣你就會比較穩
[27:49] 比較穩
[27:49] 而不是一開始你就跳到一些驅逐小艇上面
[27:53] 那個潛艇就是很會震很會震
[27:56] 搖啊搖啊搖啊
[27:57] 這很危險
[27:58] 其實很容易就會吐
[27:59] 對
[27:59] 好,因為我最近跟身邊的有些人不小心聊到股票,像我今天去舒華市的時候,他們也會講嘛。
[28:06] 然後就很直白的說,雖然台股已經再創歷史新高了,但他們的股票還躺在那裡。
[28:13] 有這個記憶體,不是南亞科華邦電的記憶體,真的耶,不是南亞科跟華邦電,或者是像最近記憶體風車有漲。
[28:21] 如果不是的話,還真的有點痛苦哦,必須講,就這波反彈幾乎是沒有漲到的。
[28:27] 還有就是之前有一些是那種中低價位然後獲利比較差的散出型封裝的設備股。
[28:35] 散出型封裝我自己個人當然就對歷程是非常欣賞,可是對於跟著一起漲得很靈活的那種幾十塊的股票我就比較沒有掌握度。
[28:43] 那他們就問我說請問這些還沒有回到原點該怎麼辦?
[28:46] 我就說其實有兩個問題啦。
[28:48] 第一個是你中間如果你對他有信心其實你應該稍微要貪。
[28:52] 如果你是從高點一直抱到現在再反彈沒有彈回來,你中間也沒貪。
[28:57] 你什麼都沒做,你希望他平白無故的回來,那你可能時間就要拉得非常非常非常久,甚至不一定回得來,這是第一個。
[29:05] 然後第二個是,那你們現在,因為他還問我說,那我現在要幫小朋友買東西要怎麼辦?
[29:11] 我都幫小朋友買東西反而超級簡單,因為大人很複雜,大人會覺得我只買ETF,我就好像輸給人家,我就偏要玩個股。
[29:20] 小朋友,你就市值型的ETF 0050 006208任何現在什麼 00很多那種類似值型的 009816是不是?
[29:28] 類似值型的你就幫小朋友買。
[29:30] 然後他就說不過呢這個齁要買零股我覺得有點麻煩,因為一張的話可能像 0050 現在又要10萬了嘛。
[29:37] 我就說那你就開一個例如說肌膚痛的戶頭或是像有人在去網買,但是一定要在網路平台買啦不要再去銀行買了。
[29:44] 你就買基金。
[29:45] 對,像 0050 也有連結式的基金喔。
[29:48] 2000、3000你就幫小孩子開始扣,還可以設定自動扣款,還可以設定有大跌的時候可以再加碼,都自動幫你處理,你把錢存進去就好了。
[29:57] 然後他們就歡天喜地的拿著手機跟我說是這個平台嗎?是那個平台嗎?
[30:01] 所以我要講的是說,大家在投資的路上,剛剛凱哥講說如果你都沒有做股票你是聽爽的,我可以啦,我歡迎啦。
[30:09] 可是千萬不要變成你只是做了很高風險的事情,可是可以穩賺的事情卻完全不做。
[30:16] 我覺得我們這個頻道確實會覺得有點難過
[30:19] 我最怕有人告訴我說
[30:20] 我聽了你頻道聽好幾年
[30:22] 可是我沒賺錢
[30:23] 對
[30:24] 那前一陣子我有幫這個安聯投信辦實體講座
[30:27] 結果大家來跟我合照的時候
[30:29] 我都會先說非常謝謝你來
[30:30] 然後第二句就會說
[30:31] 你聽我的頻道有沒有賺錢
[30:33] 那一定要聽到有賺錢
[30:35] 但當我的面應該沒有人說不賺錢
[30:37] 一定要聽到有
[30:38] 就是因為有賺錢很高興
[30:40] 一定要現場來謝謝你
[30:41] 我就覺得
[30:41] 媽呀這就是我做這個頻道最開心的一件事
[30:44] 也是凱哥剛剛強調的
[30:45] 大家進股市是為了要賺錢,而且是安心的賺錢。
[30:49] 對啊,我們雖然沒有再把這個當作事業,基本上我們都是把它當作置業。
[30:54] 所以我們基本上聽到你們有賺錢,我們是很開心的。
[30:59] 感覺是比我們自己賺錢還要更開心。
[31:01] 所以我們才會一直不斷的願意來上這個節目。
[31:04] 謝謝你喔。
[31:06] 不過其實對凱哥而言,凱哥沒有在收會員什麼的。
[31:10] 其實上頻道對凱哥的幫助不是太大。
[31:14] 我現在錢很少
[31:16] 但是我們真的很希望大家能夠多多的從這上面學到產業的知識也能夠真的賺到錢
[31:24] 那你對川喜會會不會有想法?我們也要留意他們兩個談什麼
[31:28] 基本上我覺得啦,我覺得他們就是一個很虛偽的見面
[31:32] 我覺得很虛偽的見面,因為他是為了美國期中選舉,所以他硬是把中國拉來說
[31:39] 拍拍習近平說這個就是我的兄弟
[31:42] 對,他不會對我怎麼樣,我們美中還是會繼續做生意,他就是為了營造美國的期中選舉啊,你看他還沒有到,其實美國國務院已經講了,基本上對於台灣的這個目前的定位,他們沒有打算要做任何一絲絲的改變,那就是告訴你說習近平來,這個小鞋你就乖乖的穿了,就這樣子。
[32:04] 所以基本上習近平去穿小鞋你覺得他會開心嗎?他不會開心,但是沒辦法,這戲就是要這樣演下去。
[32:13] 所以我覺得美國還是會繼續跟中國做一些相關濃冒這邊的往來,但是對於目前的台灣這個紅線基本上他們是不可能鬆動。
[32:27] 不可能送懂。
[32:57] 這個坦白講這麼多年了,這肯定很難,不過形式上走一回,而美股在這段時間的上漲,多多少少也還是有這個美中的科技戰或貿易戰,是不是能暫時和緩啊?
[33:08] 甚至還想到,這樣子伊朗啊,是不是可以早一點點落幕啊?可能都有一些比較多方的聯想,但剛剛凱哥講,連假期間,我們不妨就是吃吃月餅,吃吃烤肉,輕輕鬆鬆,可是關注一下油價,因為如果油價再上去,年底再升息一次的機率又上來的時候,
[33:25] 他難免對股市就會造成影響,不過我們還是堅持一句話,如果到時股市又出現比較明顯的修正,切記我們跟大家分享的這一些明年一定會成長的好產業,就是您一定要進場加碼勇敢的標的。
