[00:00] 歡迎收聽趙華語古貨載第1017集
[03:47] 大家的這個共識
[03:48] 都大概都是卡在那個小區間
[03:50] 就是你差個0.1個百分點
[03:51] 好那我就自己觀察到這份資料的一些重點
[03:54] 來跟大家做分享
[03:55] 首先這份資料啦
[03:57] 當然我們以蓬勃上面的數字為主的話
[04:00] 為共識
[04:00] 這是比市場預期還要來的低
[04:02] 就是在核心CPI的部分
[04:04] 那你一般的這種所謂的全面的CPI
[04:07] 是符合市場預期
[04:09] 但是因為呢
[04:10] 你說看到CPI低於市場預期
[04:13] 大家原本期待
[04:14] 聯準會要降息了
[04:15] 所以股市搖噴
[04:16] 美股確實在一開始資料公佈的時候
[04:19] 有被這個資料激勵到
[04:21] 可是為什麼後面感覺
[04:23] 怎麼溫溫吞吞的
[04:24] 當然一方面
[04:25] 他們還有其他個股公司的財報
[04:26] 公佈出來
[04:27] 然後不如預期之類的
[04:29] 可是以這一份報告來講的話
[04:31] 他們單純來說
[04:33] 它是一個
[04:34] 我沒有觀察到全面的通膨降溫
[04:36] 它裡面有一些
[04:37] 你就單純是拖油瓶好了
[04:38] 拖油瓶把一部分的通膨拖累下來
[04:41] 或我們用比較生活化的舉例
[04:43] 就像你今天
[04:44] 我們說所謂的通膨或物價上漲
[04:46] 或物價下跌都好
[04:48] 你應該是一個很全面的感受
[04:49] 但事實上
[04:50] 你應該是例如說我去買菜
[04:51] 我感覺到菜價往下掉
[04:53] 但你不會因為菜價往下掉
[04:55] 你就說整個物價都往下了
[04:57] 那你可能在那個什麼
[04:58] 手機的電信費啊
[05:00] 房租價格還在往上漲
[05:01] 可是因為蔬菜的價格
[05:03] 可能掉很多
[05:03] 導致你整個物價指數
[05:05] 看起來是在往下滑
[05:06] 所以整個資料上面
[05:08] 看起來是一些比較偏門的
[05:09] 冷的專案
[05:10] 它的通膨降溫速度比較快
[05:12] 可是像是在租金啊
[05:14] 然後還有大宗一般會消費的食品啊
[05:16] 這型別的
[05:17] 其實降溫速度並沒有這麼快
[05:19] 所以我們給一個結論的話
[05:21] 要給這一個報告
[05:22] 一個結論就是
[05:23] 我認為它是一個很中性的報告
[05:25] 它沒有改變任何市場
[05:28] 對於聯準會降息的期待
[05:30] 那也沒有什麼讓聯準會覺得
[05:33] 我不能降
[05:34] 所以就是什麼事情都沒發生
[05:36] 那你既然什麼事情都沒有發生
[05:38] 也就反映在昨天的美股
[05:39] 看起來好像有點平平無奇的感覺
[05:41] 所以大家在看經濟資料上面
[05:43] 我才會一直強調
[05:44] 你要去看細項
[05:45] 因為如果你只看大的專案
[05:47] 你說低於預期
[05:48] 那不是應該要噴出嗎
[05:50] 可是如果你知道經濟學家
[05:52] 還有華爾街那些人
[05:53] 怎麼去解讀這份報告
[05:55] 你就會知道
[05:55] 原來數字低於預期
[05:57] 股市不一定會噴
[05:58] 是因為裡面的細項結構
[06:00] 並沒有說聯準會在接下來
[06:02] 還會大幅度的降息
[06:03] 目前看起來應該還是要到
[06:04] 差不多接近年中
[06:06] 中間的中
[06:07] 年中的時候
[06:07] 聯準會可能才會呢
[06:09] 開始在今年2026年
[06:11] 做第一次的降息
[06:12] 好但是看得出來
[06:13] 川普他還是不放棄任何的機會
[06:16] 在弄鮑爾對不對
[06:17] 一直覺得他蓋新大樓
[06:20] 支出有違法的可能性等等的
[06:23] 然後還說他快要滾蛋了
[06:25] 就如此類的
[06:27] 就是川普他還是在股市大多頭
[06:30] 這件事情上面非常的用力
[06:32] 那當然明天到底美國的最高法院
[06:34] 對於川普的關稅案
[06:36] 會提出什麼樣的見解
[06:37] 我們不確定
[06:38] 但是臺灣有長什麼呢
[06:39] 像昨天可能洗洗刷的有兩件事情
[06:41] 一個就是國安基金退場
[06:43] 那大家會有一點點小小擔心說
[06:45] 那就沒有人護了
[06:46] 可是不要忘記
[06:46] 國安基金才投了122億元
[06:48] 典型是一個玩心理戰
[06:50] 非常成功的基金
[06:52] 因為122億元
[06:53] 他一直在場內
[06:54] 大家好像覺得
[06:55] 每次跌下來
[06:56] 是不是國安有在乎
[06:57] 其實122億元
[06:59] 說實話
[06:59] 不會買到多少東西
[07:01] 每天成交量就7000億了
[07:03] 對不對
[07:03] 6、7000億了
[07:04] 好
[07:04] 那第二個當然就是
[07:05] 大家聽到這個關稅15號定案
[07:07] 可能會覺得
[07:08] 有一個石頭落下來的感覺
[07:10] 而且音樂行政面也有提到
[07:12] 會找一個好的時間點
[07:13] 跟美國這邊
[07:14] 就是開了一個
[07:15] 最後final的記者會
[07:16] 來跟大家講一下這個關稅的內容
[07:18] 所以看起來八九不離十
[07:20] 所以昨天的震盪有一點點來回這樣子
[07:23] 但今天台灣的強
[07:25] 對而且這些中小型股就趁機會
[07:28] 真的是趁機會
[07:29] 有的之前漲不多的今天也通通做表態
[07:33] 對到底是因為覺得明天臺積電的法說會講得非常好
[07:38] 還是會覺得這個關稅真的定了之後
[07:41] 後面還有更多的利多可以來想象
[07:44] 好三個部分
[07:45] 第一個我們先講關稅好了
[07:46] 關稅跟總金比較有關
[07:48] 15%的關稅
[07:49] 這個大勢底定
[07:50] 那我想這個東西
[07:51] 也是川普換到了他要的籌碼
[07:53] 所以去年是4月到現在
[07:55] 真的高高舉起
[07:56] 然後輕輕放下
[07:58] 然後好像清州已過萬中山
[08:01] 臺股就已經來到3萬1000點
[08:03] 我覺得這段期間裡面
[08:04] 真的是發生了很多
[08:05] 我們過去沒有辦法想象到的事
[08:07] 那無論如何
[08:08] 你關稅的數字降低
[08:09] 對於股市
[08:11] 對於臺灣的經濟來講
[08:12] 它必然會是一件好事
[08:13] 因為你在國際貿易上面的摩擦成本
[08:16] 就會降低
[08:16] 好那所以呢
[08:17] 我認為市場對於這件事情偏利多解讀
[08:20] 完全沒有任何的問題
[08:21] 再來第二件事情的話
[08:23] 就是關於說在臺積電明天法說會之前
[08:25] 那臺股這樣子活蹦亂跳
[08:27] 我今天盤中看到70幾張漲停板
[08:29] 然後哇指數看起來
[08:31] 好像沒有要管任何的利空
[08:33] 或者是怎麼樣
[08:34] 盤中只要殺下去
[08:35] 就有買盤把它接起來
[08:37] 特別是在最近這幾個交易
[08:39] 貴買指數是比加權指數來得更強
[08:41] 所以代表中小型股點火的資金力道
[08:44] 是明顯的比大型全資股還要來得更大
[08:46] 這反映的就是股市裡面投資人的結構
[08:49] 我覺得有出現變換
[08:50] 就像剛剛趙婉妮一開始講的
[08:52] 你當你聽到你周圍的朋友
[08:54] 以前可能不太做股票的
[08:56] 或者他可能就是聽聽而已
[08:57] 然後開始跟你大聊說
[08:59] 今天可以買什麼
[09:00] 明天可以買什麼
[09:01] 買這個賺錢
[09:02] 然後買那個怎麼樣怎麼樣
[09:03] 我覺得這個對我來講是一個警訊
[09:05] 其實我覺得比較有趣的是
[09:08] 應該可以小小的那個透露一下
[09:11] 他們不太敢跟我聊
[09:12] 對
[09:13] 因為他們知道
[09:14] 我做的事情是很正統的
[09:17] 就是比較正規
[09:18] 比較認真希望大家
[09:20] 是用一個正規的方式賺錢的
[09:22] 因為他們知道
[09:23] 他們講的是
[09:24] 我根本不知道那一個股民是什麼
[09:26] 管他的
[09:26] 就早上聽那個早盤的老師有講
[09:28] 我就給他買進去
[09:28] 那個名字
[09:29] 當時聽覺得喜歡尬
[09:30] 我有第六感
[09:31] 所以我在旁邊聽
[09:33] 他們其實不太敢跟我講
[09:34] 其實他們知道
[09:35] 我是明明有那麼多股市頻道的人
[09:37] 他但是被你唸啊
[09:39] 我是不會唸因為我會覺得他們真的本來就不做研究我只是在觀察他們的現象可是因為這樣也聊不起來就是我也沒有辦法說對好棒棒
[09:49] 所以當然是聊不起來
[09:52] 所以他們不找我講
[09:53] 我覺得正常
[09:54] 我也不會去批評說
[09:55] 這樣的做法不對
[09:56] 因為他們顯然就是
[09:57] 完全之前不參與
[09:59] 可是現在會覺得不參與不行
[10:00] 所以它是一個心態
[10:02] 和整體意識形態上面的總和
[10:05] 讓我覺得
[10:05] 難怪人家之前會講到
[10:07] 什麼擦鞋筒效應
[10:08] 其實這一次還來得比較慢哦
[10:10] 這一次一路漲到27000 28000
[10:13] 我都還比較沒有這種感覺哦
[10:15] 真的是最近才開始
[10:17] 2026年以來
[10:18] 才開始比較有這樣的感覺
[10:20] 我覺得這也蠻奇妙的
[10:21] 因為我還記得在2024年的上半年
[10:24] 那時候漲矽光子跟機器人的時候
[10:26] 事實上還比較有那種全民風的感覺
[10:29] 可是這一波可能真的被川普的關稅
[10:31] 和他的作為嚇到
[10:33] 所以這一波一直到最近
[10:35] 才讓我有這種感覺
[10:36] 我也是
[10:37] 因為我最近也是感受到說
[10:39] 這一種一般中小型的投資人
[10:42] 散戶投資人的資金
[10:43] 開始湧入股市的氛圍
[10:45] 而且你去觀察開戶數
[10:47] 券商的開戶數
[10:47] 真的是增加
[10:49] 大幅度增加
[10:50] 所以這些資料是可以佐證
[10:52] 我們的體感上面的這種感受
[10:54] 那它這個會反映在股市的哪一點
[10:56] 就是你中小型股動得特別的快
[10:58] 那因為其實我早上也會去連線
[10:59] 但我在講的東西是有料的
[11:02] 我必須要講我們是有基本面的
[11:03] 不是人家講的就沒料了
[11:05] 是他們聽的人很奇妙
[11:07] 你可能講很多
[11:08] 所以他們就說
[11:08] 這老師有推某某股
[11:10] 然後就買就對了
[11:11] 就是隻聽我們講什麼股票
[11:12] 對對對
[11:13] 然後到底股名是什麼
[11:14] 他說有時候聽完
[11:15] 買進去就忘了
[11:16] 對對對
[11:17] 好啦
[11:18] 很妙
[11:19] 所以不是說
[11:20] 有沒有料到問題
[11:21] 是聽眾現在
[11:23] 有的人是
[11:24] 以前要聽得很仔細
[11:25] 他講的真的超級有道理
[11:27] 我才敢買
[11:27] 現在不是
[11:28] 現在是快點啦
[11:29] 有牌就買
[11:30] 這個價位
[11:31] 因為最近漲低價格
[11:32] 對
[11:32] 從收市率也可以看得出來
[11:34] 就那種20塊30塊的股票
[11:36] 也是他們心目中就是喜歡的
[11:39] 也是收視率族群
[11:40] 現在拉高的原因
[11:41] 對
[11:41] 那這個其實是一個重點
[11:43] 低價股
[11:43] 然後中小型股
[11:45] 因為之前沒漲
[11:45] 他們因為沒漲
[11:46] 位階很低
[11:47] 那我覺得對於一般投資人來講
[11:49] 他們喜歡看到的就是
[11:50] 右下角的股票
[11:51] 然後右下角的股票
[11:53] 低價股
[11:53] 銅板股
[11:54] 哇題材一來
[11:55] 全部蜂擁進去開始買
[11:56] 以前搞不好不聽
[11:57] 可是因為現在真的都在漲
[11:59] 從這個太陽能
[11:59] 低軌微星等等的
[12:01] 然後面板
[12:01] 對不對
[12:02] 對面板
[12:02] 因為太多族群是漲這樣
[12:04] 其實記憶體當初也是
[12:05] 對
[12:06] 相信了這個story
[12:07] 對 因為它是一波一波接著來
[12:09] 你現在記憶體PCB
[12:11] 可能前面大家錯過很多
[12:12] 那這個東西我們叫做所謂的FOMO心態
[12:14] Fear of Missing Out
[12:15] 你擔心錯過行情
[12:17] 然後你會看到
[12:18] 好像身邊之前有在做股票的人
[12:20] 怎麼做怎麼賺
[12:21] 那這個當然對於現階段來講
[12:24] 可能是今年2026年開始
[12:26] 我這一種感受度特別的強
[12:28] 那我們當然也另一方面切數來講
[12:31] 這個是情緒上面跟資金湧入
[12:33] 那你說這種情緒只要一出現以後
[12:35] 馬上就要崩盤
[12:36] 其實也沒有
[12:36] 不會
[12:37] 對不見得
[12:38] 真的不見得
[12:38] 這個熱度能夠維持到哪裡
[12:40] 它其實有的時候
[12:41] 會走得蠻長一段時間
[12:43] 所以等於是
[12:44] 現階段行情正在熱
[12:46] 而且是大熱的情況之下
[12:48] 那反而會有很多的這種
[12:49] 所謂的交易機會
[12:50] 那甚至你會看到股票
[12:52] 會不會有一天漲停
[12:53] 一天跌停的
[12:55] 也有啊
[12:55] 南亞科不就這個樣子
[12:56] 所以當市場的波動變大
[12:58] 如果你是一個
[12:59] 願意去做功課的投資人的話
[13:02] 那反而在這種
[13:03] 大家可能比較盲目
[13:04] 或資金比較這種
[13:05] 所謂的盲目在追捧的時候
[13:08] 它就會導致所謂的錯價
[13:10] 它的價格跟它的合理的估值
[13:12] 可能有比較大的偏差
[13:14] 那你如果在市場
[13:16] 可能大家一窩蜂
[13:16] 這邊什麼今天跌了3%
[13:18] 所以我要趕快賣掉
[13:19] 當大家都有這種集體意識的時候
[13:22] 當天的股價可能就會跌得特別的重
[13:24] 但你說它的產業真的結束了嗎
[13:26] 我可能不這麼認為
[13:28] 所以我觀察到的第一個
[13:30] 當然就是散戶投資人的情緒
[13:32] 其實現在是非常的
[13:33] 我說興奮吧
[13:35] 用興奮這個詞來形容
[13:36] 然後他們的資金就是
[13:38] 人家講什麼就買什麼
[13:39] 那至於這個建公司做什麼
[13:41] 好像不是這麼重要
[13:42] 或也沒有說一定要去理解
[13:45] 那反正股票會漲就好了
[13:48] 那當然我覺得啦
[13:49] 這個對我不認同這樣的行為
[13:52] 可是確實市場上面
[13:53] 就是存在這樣子的一個現象
[13:56] 那無論如何
[13:57] 至少現階段的股市是熱
[13:59] 那臺股又特別的熱
[14:01] 那臺股這樣子這麼的熱
[14:02] 到底有沒有它到底存在
[14:03] 以基本面來講
[14:05] 是真的比美國好
[14:06] 沒錯啦
[14:07] 那只是我還是回過頭來
[14:09] 我覺得這個也比較
[14:10] 像是當我碎嘴好了
[14:12] 我覺得大家在操作上面
[14:13] 你如果是用這種聽人家講什麼
[14:16] 聽到股民你就想買
[14:18] 至少至少拜託你做到一件事情
[14:20] 你的停損一定要做好
[14:22] 你不用提醒這個了
[14:24] 真的嗎
[14:24] 我不用提醒嗎
[14:25] 我的時候你不用提醒
[14:26] 是很容易會形成
[14:28] 他們至少我在聽的時候
[14:30] 他們也知道說這種錢
[14:31] 不是自己學習賺來的
[14:33] 所以就是很快很快走
[14:35] 可是小缺點就是
[14:36] 如果返向被套牢的時候
[14:37] 可能就不會走
[14:38] 這就最大風險
[14:39] 對沒錯
[14:39] 所以他們會停利
[14:41] 但不會停損
[14:42] 現在問題在這邊
[14:43] 就例如說他們買的
[14:44] 也是那種低位階上來的股票
[14:46] 可能就剛買就漲停半了
[14:48] 然後就覺得好賺到了走了
[14:49] 那後面可能也還在漲
[14:50] 他們也會覺得很可惜
[14:51] 然後後面再漲
[14:52] 但我覺得多多少少自我認知是
[14:54] 我就聽來的
[14:55] 真的還稍微有這種認知
[14:57] 但是我有繼續聽
[14:58] 他們說可是買那個就有被套
[15:00] 這也是有危險的
[15:01] 要出掉嗎
[15:02] 再等等看
[15:03] 很容易形成這樣的現象
[15:05] 我覺得這就是
[15:06] 小明講的風險之所在
[15:09] 但我也不會去拉碎說
[15:10] 你們都會遇到這種事情
[15:12] 因為對我來說
[15:13] 它的買進就已經不合邏輯了
[15:16] 就是現象
[15:17] 所以我們在旁邊觀察現象就好了
[15:20] 當你在空中耳聽面秘
[15:22] 其實是學習型的投資人會聽進去
[15:24] 對啦
[15:25] 是是沒錯
[15:26] 反正我覺得市場上面的多元化
[15:29] 會讓我們臺股裡面會
[15:30] 有更多不一樣的變化
[15:33] 我是蠻喜歡這種有交易機會的
[15:36] 但反正現階段
[15:37] 如果我們把它做一個總結
[15:39] 我覺得臺股目前中小型股真的很熱
[15:41] 這些低價同盤股也都有在轉強的跡象
[15:44] 我們也不用一開始就去luxury這些股票
[15:46] 那反而是呢
[15:47] 或許在短線上面你是做動能的
[15:50] 這種盤你要去衝浪
[15:51] 就會變得非常的舒服
[15:52] 那一樣的
[15:53] 你如果是做價值型投資的
[15:55] 那你不妨就是趁著
[15:56] 可能熱度很高的時候
[15:58] 那莫名其妙被一些利空
[16:00] 或者是一些所謂的隔日衝
[16:02] 短線上面籌碼的變化
[16:03] 股價出現大跌
[16:04] 那就是我們減便宜的機會
[16:06] 所以現階段
[16:07] 我還是會偏多看待臺股
[16:09] 而且在臺積電法說會前
[16:11] 我自己可能不太會去壓大型權值股
[16:15] 我還是確實會去跟著市場上面的動能
[16:17] 中小型股的機會
[16:19] 或者是市場資金很有共識的大型股
[16:22] 那會是我現階段最主要佈局的方向
[16:25] 好 臺積電明天的法說
[16:27] 就也不用有懸念
[16:28] 他一定會講的
[16:30] 比市場預期還要好
[16:32] 這個說實話
[16:33] 每一次都是這樣子的
[16:35] 市場覺得你會成長20%
[16:37] 我就給你繳數25%
[16:38] 市場覺得你會成長25%
[16:40] 我就給你成長30%
[16:41] 市場擔心你美國廠的毛利率
[16:42] 會不會達到50%一下
[16:43] 就告訴你我毛利率有55%
[16:46] 就是臺積電永遠就是這樣
[16:48] 那資本支出的部分
[16:50] 市場覺得
[16:50] 如果有這個490到500億就很棒
[16:54] 那他肯定
[16:54] 也不能說肯定
[16:56] 這樣太篤定了
[16:57] 那他很有機率
[16:58] 給大家一個比市場預期還要高
[17:01] 甚至就是一個所謂的高標數字
[17:03] 總之好話盡出
[17:04] 但是市場就是一個資金的共識總和
[17:07] 那過去幾次臺電的法說
[17:09] 有好幾次我聽完
[17:10] 我都覺得心情激動
[17:12] 就是怎麼CCTWay
[17:13] 你可以講到這麼的好
[17:15] 但隔天可能會也許大漲
[17:17] 然後再隔天就下來
[17:19] 很容易這樣子
[17:20] 如果他在法說會前
[17:21] 已經有過一段的漲幅了
[17:23] 並不是說這種機率會永遠複製
[17:25] 搞不好這次就真的太厲害了
[17:26] 一口氣漲到2000塊
[17:27] 我們不能否認這樣的情況
[17:30] 所以才會講說
[17:31] 如果您是臺移電的長線投資人
[17:33] 不太需要特地為了押寶
[17:35] 或什麼先賣掉
[17:36] 或什麼不用多做這麼多餘的事情
[17:38] 因為外資內資
[17:40] 對於他2027年的EPS也做了預估
[17:43] 對於目標價也通通調了2000塊以上
[17:45] 沒有必要好像在1700這邊進進出出的
[17:48] 那也不用預設立場說會利多出盡
[17:51] 所以明天拉高去放空
[17:52] 我覺得這些都是高手的作為
[17:54] 因為我知道我身邊還是有一些高手
[17:56] 會玩這種事情
[17:59] 那至於臺積電的周邊
[18:01] 有常常跟大家講
[18:02] 因為明天的好訊息之一
[18:04] 肯定會是資本支出
[18:06] 那很多的裝置股
[18:07] 我們還是覺得
[18:08] 如果它並沒有漲到
[18:10] 像之前新高那麼離譜的話
[18:12] 依舊會是一個
[18:13] 在手訂單滿滿的狀態
[18:14] 那現在當然12月營收的干擾
[18:16] 我想也過了
[18:17] 因為有跟大家分享
[18:18] 最好是12月營收
[18:19] 有一根跑起來
[18:20] 代表它還是固守著
[18:22] 它年底入賬的傳統
[18:23] 其實會比較容易抓它的一個tempo
[18:25] 那沒有也沒有關係
[18:27] 就各自去找各產業的龍頭
[18:29] 不管是二奈米的也好
[18:30] CORAS
[18:31] 或是大家講
[18:31] 今年有所謂的COPOS
[18:32] 他只要在這個題材點上的
[18:35] 我覺得他的延續性
[18:36] 應該都不會太差
[18:37] 因為他就是拿到錢了
[18:39] 所以他如果現在不敢介入人
[18:42] 我覺得也不用太擔心
[18:43] 你會覺得被他空手了
[18:45] 很煩
[18:46] 不用
[18:46] 你看去年還不是
[18:48] 就短短一個月
[18:49] 有兩次回季線的機會嗎
[18:51] 真的是永遠有機會
[18:53] 只是那個機會來的時候
[18:54] 自己做了什麼樣的決策
[18:56] 那也不用在今天
[18:57] FOMO感放到非常的大
[18:59] 因為今天上場加速1500加
[19:00] 我覺得會有FOMO感的
[19:02] 會
[19:02] 一定會有的
[19:04] 那如果說像很多人之前說
[19:06] 被動元件到底有沒有
[19:07] 那被動元件也算是
[19:08] 在這一波AI相關裡面
[19:10] 因為它吃的沒有那麼重
[19:11] 所以它也長得沒有那麼多
[19:13] 那喜歡的朋友也不妨看這個
[19:15] 像今天一開盤
[19:16] 突然食音元件又拉張屏
[19:18] 食音元件也是被動元件的一環
[19:20] 那食音元件裡面
[19:21] 有一兩家龍頭型的公司
[19:24] 其實獲利非常穩健過去是存股的標的也有人曾經傳訊息說趙華就經濟為什麼存他都不會動還跌這樣子
[19:34] 我說那就是真的本益比很低了
[19:36] 對啊
[19:37] 但我也不能告訴你他會動
[19:39] 是因為公司可能
[19:40] 或者是整體的產業
[19:41] 並沒有一個強而有力的告訴你
[19:42] 我們就是跟AI高度相關
[19:44] 我們有漲價升級時因
[19:46] 我們會怎樣
[19:46] 就沒有對不對
[19:47] 可是你說吃他是不是價值非常被低估
[19:50] 我覺得是啊
[19:51] 對啊
[19:51] 去年應該至少
[19:53] 這個2025年EPS
[19:54] 可能六塊錢以上吧
[19:55] 等公司位元組
[19:56] 但是你說六塊錢的公司
[19:58] 八十塊錢
[19:59] 是不是在這個市場上
[20:00] 本益比很低
[20:01] 我覺得是啊
[20:01] 對然後像有很多
[20:04] 像消費性電子
[20:05] 當然現在有點前景不明
[20:07] 對我們禮拜六
[20:08] 有辦了一場講座
[20:09] 那現場有聽眾來的人
[20:12] 就很厲害
[20:12] 就問說
[20:13] 我們知道現在機體的漲價
[20:15] 壓縮到很多的消費性電子
[20:17] 對那這個事情
[20:18] 今年會不會逆轉
[20:19] 我必須說不一定不會
[20:21] 不一定不會
[20:23] 因為生態系一定要平衡的
[20:24] 對
[20:25] 就是沒有人要做虧本的生意
[20:27] 對
[20:27] 如果今天notebook廠
[20:28] 他做這個事情
[20:29] 因為記憶體漲價
[20:30] 他賣notebook會賠錢
[20:32] 那大家不要玩了
[20:33] 對不對
[20:33] 那我就不要買了嘛
[20:34] 那就看你抵制我
[20:36] 我抵制你看誰厲害
[20:37] 就是有時候會到最後會變成這樣
[20:39] 所以生態系他到最後
[20:40] 可能會找到一個他的平衡
[20:41] 不過今年我不許講
[20:43] 到目前為止我聽到的訊息
[20:44] 手機跟notebook的出貨
[20:46] 都有受到記憶體的影響
[20:48] 在上半年看起來壓力相當大
[20:51] 所以相關的廠商
[20:52] 如果有在漲
[20:54] 我覺得他們的漲勢
[20:55] 就比較不容易延續
[20:56] 比較像是低檔
[20:57] 然後偶爾拉一根
[20:59] 我覺得大家還是要去分辨
[21:00] 誰在風頭上誰不是
[21:02] 那我覺得像最近
[21:03] 被掃到的散熱族群
[21:04] 是真的比較倒黴
[21:05] 還包括說很多主動式的基金
[21:07] 看到股價不好
[21:08] 就會來把他們吐掉
[21:09] 但吐一吐
[21:10] 如果籌碼乾淨之後
[21:12] 是不是又重新回來撿
[21:13] 我覺得這個也是可以看的
[21:14] 因為他們的業績狀況是很好的
[21:16] 因為這個剛好也就呼應了
[21:18] 在上個禮拜吧
[21:19] 很多小作文
[21:20] 臺光店
[21:21] 然後降規
[21:22] 臺光店也漲起來
[21:23] 對啊
[21:23] 它是也漲起來
[21:24] 而且我覺得今天
[21:25] 其實漲勢最明顯的是
[21:26] 帽聯KY
[21:26] 就是做連線線的
[21:28] 是
[21:28] 然後因為我其實
[21:29] 在上禮拜我聽到訊息
[21:30] 我有點錯愕啦
[21:32] 是
[21:32] 因為大家在傳的是
[21:33] NVIDIA不用連線線
[21:34] 我就
[21:34] 就說什麼
[21:35] 開啟來看裡面沒有線
[21:36] 對啊
[21:37] 我說哈
[21:37] 這到底幹帽聯KY
[21:38] 什麼事情
[21:39] 一方面當然
[21:40] 我後來去研究
[21:41] 因為他們所謂的
[21:41] 現在都用Meet Plan嘛
[21:43] 是
[21:43] 那Meet Plan中介層
[21:44] 就是希望他們
[21:45] 在盲插的過程裡面
[21:46] 可以組裝更快
[21:47] 你以前人可能要組個
[21:48] 十二十分鐘
[21:49] 現在三十秒插進去
[21:50] 卡榫
[21:50] 那就好了
[21:51] 那你當然
[21:52] 線材用量是會變少
[21:53] 可是重點就是
[21:54] 茂聯KY
[21:55] 他就不是在做那個東西啊
[21:57] 所以我不曉得
[21:58] 市場的小作文
[21:59] 有時候真的很兇
[22:00] 因為負面小作文
[22:01] 真的
[22:01] 所以你會很錯
[22:03] 那散熱也是一樣
[22:04] 你看掃到以後
[22:05] 今天雙紅七紅
[22:06] 其實他們一樣
[22:06] 都是能夠在
