[00:00] 歡迎收聽趙華宜股貨載第1035集
[05:00] 所以我們跟大家講
[05:01] 現在今天大家還在市場交易的人
[05:04] 都恭喜大家
[05:05] 我們努力
[05:06] 為了就是這三天要來拼紅包
[05:09] 那他們先走的
[05:11] 我們在這個還在場內要上述的人
[05:13] 我覺得都還有機會
[05:14] 那你說上述的機會在哪裡
[05:16] 剛剛提到的
[05:17] 第一個上禮拜五美股出現了強力的反彈
[05:20] 那這強力反彈
[05:21] 其實也沒有特別看到
[05:22] 觸發的一個反轉的理由
[05:24] 當然說是黃仁勳的說話呢
[05:26] 還是空單的回補呢
[05:28] 還是你看到這個貴金屬的一個反彈
[05:30] 虛擬貨幣的一個B轉往上
[05:32] 我覺得都有各種的原因
[05:34] 但簡單去講
[05:34] 之前的一個大跌
[05:36] 就是因為漲過多的一個大跌
[05:38] 那這一次的暴力反彈
[05:40] 就是因為跌太兇的暴力反彈
[05:42] 我還記得上禮拜來
[05:43] 對不對
[05:44] 剛還有一個我在講
[05:45] 雖然現在震盪開始加劇
[05:47] 但是沒有看到什麼崩盤
[05:48] 或是立即性轉空的危機
[05:50] 只是震盪加劇的話
[05:52] 大家自己要思考
[05:53] 在場內自己的安全帶要綁好
[05:55] 對因為其實這個事件的觸發點
[05:58] 就是從所謂的新任聯絡準會主席
[06:00] 這個華許
[06:02] 對被提名之後
[06:04] 就當天引發了所謂的
[06:06] 貴金屬的血洗慘案
[06:08] 然後後面虛擬貨幣的崩盤
[06:10] 然後看到軟鐵股的急殺
[06:12] 到上個禮拜
[06:13] 所有的AI的巨頭資本支出的利多
[06:16] 大家把他當作利空的解讀
[06:17] 我覺得其實來嚴格去講
[06:20] 就是說並沒有看到
[06:21] 立即上到反轉
[06:23] 然後大跌的一個風險
[06:24] 但主要原因還是在於說
[06:26] 因為漲太多之後
[06:27] 有一些所謂多殺多的賣壓
[06:29] 在上個禮拜的美股商品市場
[06:32] 甚至上禮拜的臺股
[06:33] 都看到這樣的現象
[06:34] 所以你看到今天台股
[06:35] 很多今天強力反彈的股票
[06:37] 也都是之前的主流股
[06:39] 像低軌衛星
[06:40] 像矽光子
[06:41] 像記憶體
[06:42] 上禮拜的跌
[06:43] 說真的也不是他們基本面不好的跌
[06:45] 就是因為有人可能要冰凍關帳
[06:48] 有人可能這一波追得高了
[06:50] 有些散戶進場
[06:51] 那後面出現了一個斷頭
[06:53] 殺融資洗籌碼的一個情況
[06:56] 所以你看到上個禮拜
[06:57] 我臺股的融資
[06:58] 如果以上市貴加起來
[07:00] 將近快要減了快100億
[07:01] 那這當然就代表說
[07:03] 短線上來看
[07:04] 上禮拜籌碼開始有降溫
[07:05] 所以今天就有一個強力的反彈出來
[07:07] 那反彈出來之後
[07:08] 大家就關注到
[07:09] 那明天后天可不可以繼續這麼幸福下去
[07:13] 那我們就會跟大家說
[07:14] 這個重點還是在於
[07:16] 第一個你要看國際股市的表現
[07:18] 那上個禮拜五
[07:20] 當然川普出來助陣
[07:21] 他說道瓊到五萬點
[07:23] 會到十萬點
[07:23] 到他任期結束
[07:25] 所以他已經預告未來三年
[07:27] 道瓊再漲一倍
[07:28] 那如果你相信的話
[07:30] 你現在當然可以比較安心的做多
[07:32] 那當然因為川普過往就是
[07:34] 好大喜功
[07:35] 所以每次出來講的時候
[07:37] 通常股市都是大漲的時候
[07:39] 才出來慶功
[07:40] 那跌下來可能就會
[07:41] 有不一樣的說法
[07:42] 但整體上來看
[07:44] 我覺得最少也證明一件事情
[07:45] 就是川普心裡面還是希望他能夠在歷史上面留名
[07:49] 不管是在股市或是說在整個美國的政壇上面
[07:54] 留下一個非常好的一個相關的名聲可以讓大家探聽
[07:58] 所以我們講說你先把這個川普喜歡做多
[08:01] 他對於這個聯準會的要求是降息
[08:04] 這兩件事情你記在心裡面
[08:06] 那今年整個股市只要不要出現這兩件事情意外的黑天鵝
[08:10] 我覺得其實都可以把握那種突然間急殺拉回來的買點
[08:13] 所以第一個國際股市的部分
[08:15] 我覺得美股如果川普說的是真的
[08:18] 那美股我覺得最近這段時間
[08:20] 也許道瓊創新高之後
[08:22] 你看納達克看標普看費辦
[08:24] 能不能也回到歷史新高
[08:26] 如果是有的話
[08:27] 那當然你對農曆風光行情
[08:28] 這兩天你還在堅守崗位的
[08:31] 應該就可以比較樂觀
[08:32] 那第二件事情跟資金面有關
[08:34] 今天其實在這個日韓股市也是大漲
[08:37] 沒錯
[08:37] 對因為高市早苗也得到他想要的勝利
[08:40] 大貨權勝也
[08:41] 他這個是贏得超級漂亮
[08:43] 很漂亮
[08:44] 就是大家原本覺得說
[08:45] 日本暴雪啊
[08:47] 然後很多老年人
[08:48] 不願意出去投票
[08:49] 結果沒想到開出來的票
[08:51] 居然是全面性的執政
[08:53] 那這個大家也解讀說
[08:54] 未來高市早苗
[08:55] 它對於日本的財政的寬鬆啊
[08:58] 然後接下來所謂的一些
[08:59] 財政刺激的政策
[09:01] 甚至說在地緣政治的部分
[09:03] 大家也解讀為
[09:04] 對於臺灣相對比較有利
[09:05] 所以我覺得這個
[09:06] 當然對於整個資金面
[09:07] 迴流到亞洲股市
[09:09] 有一定的幫助
[09:10] 所以今天的日本跟韓國
[09:12] 盤中大概漲了快5個百分點
[09:14] 今天的MSCI的這個亞洲指數
[09:17] 盤中漲了2.1個百分點
[09:19] 創造率很新高
[09:20] 所以我覺得整體上來看
[09:21] 這個地方
[09:23] 你看到美股
[09:24] 看到亞股的表現
[09:25] 應該國際股市的利空
[09:26] 我覺得慢慢淡化了
[09:28] 那對於指數在
[09:29] 禮拜二禮拜三
[09:30] 你有沒有辦法在往上衝高
[09:31] 大家也不要忘了
[09:32] 禮拜三是俗稱的風光行情
[09:34] 所以如果是
[09:35] 12年要有一個
[09:37] 比較漂亮的風光行情的話
[09:39] 也許我覺得最後一天
[09:40] 也許有一些集團股
[09:42] 一些主力的股票
[09:43] 有可能會拉高作戰
[09:45] 所以我覺得現在
[09:46] 這兩天行情當中
[09:47] 大家關注到的是
[09:48] 既然量會說
[09:49] 那資金我覺得會比較偏向
[09:51] 集中在真正主流股票上面去
[09:53] 所以你儘量去選擇
[09:54] 那些主流股做一個操作
[09:56] 那目前我覺得
[09:57] 盤面上主流股息也蠻明確的
[09:58] 今天能夠再創新高的
[10:00] 第一個當然是跟
[10:01] AI資本支付有關的
[10:03] 所以你看到這些所謂的
[10:04] 名門正派
[10:05] 或說盤面上的龍頭股
[10:07] 臺光電歷史新高
[10:09] 來到2000塊站穩了
[10:11] 那聯發科雖然說法術會講比較保守
[10:14] 但今天股價來到1870塊
[10:17] 也是歷史新高
[10:18] 那臺建評論歷史新高
[10:20] 那另外看到類似所謂的智邦
[10:22] 股價真的是大幅度的拉高
[10:24] 那我記得應該也是盤中挑戰到收盤歷史新高
[10:27] 臺光電也歷史新高
[10:29] 對然後連日月光也是法術會之後連續兩天的往上拉高
[10:33] 所以這些都反映到就是說現在市場去正面解讀
[10:37] 不管美國的科技巨頭股價怎麼樣反映
[10:40] 但是不管怎麼說
[10:42] 6600億的資本支出
[10:43] 初期臺股一定會受惠
[10:45] 所以這個當然是
[10:46] 大家對於臺股風化行情
[10:48] 比較可以樂觀的底氣
[10:50] 就是因為
[10:51] 現在這些所謂的科技巨頭
[10:53] 撒出來的錢
[10:53] 接下來在今年的第一季第二季
[10:56] 都會反映到我們這些
[10:57] 真正能夠拿到訂單的一些
[10:59] AI巨頭的股票的股價反應上面
[11:01] 那當他們能夠維持一個
[11:03] 強勢的上漲的時候
[11:05] 我覺得就會有這種
[11:06] 多方比價的效應
[11:07] 比方說你看今天台股的高價股
[11:09] 其實也非常精彩
[11:10] 像在所謂的這個
[11:12] 信華
[11:13] 9800多塊
[11:14] 我覺得1萬塊
[11:16] 其實真的是蠻有機會突破的
[11:17] 那再來看到
[11:19] 探針三雄
[11:20] 這三檔我覺得看起來
[11:21] 也是沒有極限
[11:22] 影威
[11:23] 快要5000塊
[11:25] 然後金色今天盤中到4000塊了
[11:27] 那旺系比較落後
[11:29] 但股價也慢慢往3500以上靠攏
[11:31] 甚至說庸智科技
[11:33] 不知不覺
[11:34] 也是快要挑戰1000塊的股票
[11:36] 但是庸智
[11:37] 這個之前投的朋友
[11:39] 因為也會有人思緒謀嘛
[11:40] 就是其實抱得很痛苦
[11:42] 但是還他公道了嗎
[11:44] 還他公道了
[11:44] 希望那位當初很痛苦的朋友
[11:47] 不止一位
[11:47] 現在有抱到現在
[11:49] 但是這就是股市有趣的地方
[11:52] 有時候怎麼會講說
[11:53] 它已經漲很多了
[11:54] 你們還在講
[11:55] 因為股市有時候就是這樣
[11:56] 就算現在成交量非常的大好了
[11:58] 還是有強者很強的一個味道
[12:01] 但強者很強
[12:02] 我覺得至少對大多數人是友善的
[12:04] 怎麼講
[12:04] 你去追逐一個強勢產業裡面的強勢股
[12:07] 通常都會有好的報酬
[12:09] 但是你去蹲點
[12:10] 這個弱勢產業裡面的弱勢股
[12:13] 那可能就不是一個聰明的抉擇
[12:15] 因為資金有限
[12:16] 可是當然如果你對他的前景非常非常的有把握有時候蹲點甚至一年兩年也會有很好的成效然後那是後化那是要非常有把握的人但是如果在強勢裡面相對看高坐低的弱勢股呢
[12:28] 在大多頭裡面
[12:29] 看來也是有表現的機會
[12:31] 其實很多產業都證實是這樣
[12:33] 但是在探針卡里面
[12:35] 擁摯算是一個
[12:36] 比較特別的存在
[12:37] 就是之前真的
[12:39] 大家都已經漲
[12:39] 可能已經一倍到兩倍了
[12:41] 它都還沒有漲
[12:42] 甚至還
[12:43] 有段時間還反跌
[12:44] 所以好多人都還問說
[12:45] 為什麼我選了這檔
[12:46] 你覺得最安全
[12:47] 好那現在他
[12:48] 如果以整體長幅來說
[12:49] 他也算追上了
[12:50] 因為他短短的時間
[12:52] 就長了一倍多
[12:53] 對
[12:53] 可能還是沒有像
[12:55] 其他長那麼多的人
[12:56] 那麼多倍
[12:57] 可是短時間內
[12:58] 他應該算是長最多的
[12:59] 對
[13:00] 就我覺得整個
[13:01] 所謂的半導體封測
[13:02] 探測產業這當中
[13:05] 你可以看到
[13:05] 最先長的所謂隱微
[13:07] 然後精測跟旺系
[13:09] 主要在於說
[13:10] 他們就真的比較純
[13:11] 接到AI伺服器的
[13:12] 一個所謂檢測的訂單
[13:14] 那這個擁摯蛋
[13:15] 大家也有聊到說
[13:16] 它跟聯發科的關係比較好
[13:18] 那整體上來看
[13:19] 它的一個重心的營收
[13:21] 跟AI這一塊的連結
[13:23] 之前沒有那麼樣的一個凸顯
[13:25] 所以股價就比較穩一點
[13:27] 但本益比是相對來看比較合理
[13:29] 所以最近隨著聯發科
[13:30] 創業率新高之後
[13:31] 股價就還它公道
[13:33] 所以通常情況裡面
[13:34] 你看今天連中探針
[13:35] 最低價
[13:37] 最低價股價
[13:38] 最普通的
[13:39] 但它就比較純
[13:41] 就在消費電子這一塊
[13:42] 跟所謂電動車
[13:43] 跟消費電子的探針卡有關
[13:45] 但整體上來看
[13:46] 連他也開始轉強上去
[13:48] 代表說這個產業
[13:49] 所謂的半導體封測
[13:50] 或者說檢測產業
[13:52] 目前看起來
[13:53] 都還是這種多方正向的
[13:55] 一個比價跟輪動
[13:56] 那當他們能夠強就代表說
[13:58] 整個電子股當中
[13:59] 半導體的這種強勢火種都還在
[14:01] 所以我覺得這就代表說
[14:03] 其實在盤面上
[14:04] 所謂的一個電子股的
[14:06] 一個強勢族群
[14:07] 雖然上禮拜大家覺得很辛苦
[14:09] 但是還是有這種所謂的
[14:11] 能夠創高的股票
[14:12] 繼續往上做一個推升
[14:14] 那甚至說你看到今天的西光子
[14:16] 也有很多股票
[14:17] 波羅威被處置期間
[14:18] 又創業率新高
[14:19] 然後光盛
[14:21] 然後聯亞
[14:22] 這種就是
[14:23] 矽光子現在很多黨都被處置
[14:25] 但處置期間
[14:26] 能夠不斷往上衝高
[14:27] 也都是因為
[14:28] 大家對於AI的後市
[14:30] 真的比較樂觀
[14:31] 所以我覺得
[14:32] 從這兩個重點產業當中
[14:34] 都可以看到
[14:35] 他們為什麼
[14:36] 相當高的本益比
[14:36] 是因為大家覺得
[14:37] 他未來的成長性
[14:38] 會非常非常好
[14:40] 所以如果說
[14:41] 大家要選擇一個
[14:42] 所謂的能夠爆股過年
[14:44] 但我覺得這個短項
[14:45] 漲得非常多
[14:46] 如果你現在沒有
[14:47] 那你也不用在這時候
[14:49] 經常去躺渾水
[14:50] 因為你不知道
[14:51] 主力哪一天
[14:52] 也許拉到最後一天的時候
[14:53] 他也許做一個
[14:54] 短線貨幣了結
[14:55] 你就容易被套在高檔
[14:57] 但當這兩個
[14:58] 所謂的重點產業
[14:59] 都有這種維持強勢
[15:01] 輪動創高的時候
[15:02] 我覺得也代表說
[15:03] 你可以從同產業當中
[15:04] 去看高做低
[15:05] 那當然不一定說
[15:06] 你要去買中單針
[15:07] 但我覺得像庸智科
[15:09] 像銀威像金車這些的
[15:11] 也許你可以透過什麼
[15:12] 透過ETF去幫你持有
[15:14] 因為真的他們太貴了
[15:16] 我覺得不太容易
[15:17] 你叫一個人去買
[15:18] 就算買零股
[15:18] 心裡面也覺得
[15:19] 好像會不會追得太高
[15:21] 所以你透過ETF去幫你追高
[15:23] 我覺得是一個心理比較舒服的做法
[15:26] 好
[15:26] 不過這邊還是要提醒
[15:28] 我們那時候會講到庸智
[15:29] 是因為庸智的獲利是不錯的
[15:31] 不是永遠都是說
[15:34] 在這個產業裡面看高做低
[15:36] 怎麼樣怎麼樣
[15:37] 那時候會不斷的提到庸智很落後
[15:39] 是因為他的EPS是好的
[15:41] 他本益比很低
[15:42] 那當然他吃虧的就是
[15:44] 他不像人家的AI比重
[15:45] 這麼樣的高
[15:46] 他還是在消費性相關
[15:47] 而且他是連發哥的好夥伴
[15:48] 但是你看發哥都上來了
[15:50] 對
[15:51] 當發哥今天有想象空間的時候
[15:53] 庸志自然也有
[15:54] 還有就是其他人說
[15:56] 很多都是這個尹威
[15:57] 然後那個旺系
[15:59] 他們已經吃不下了
[16:00] 然後大家到處在找
[16:02] 誰有探針的產能
[16:03] 就發現可能嚇到庸志去
[16:05] 好
[16:06] 當然這些我們事前不會知道
[16:07] 但是當時至少選他的時候
[16:09] 我覺得來賓們的看高坐低
[16:11] 多多少少還是會選
[16:12] 他有點委屈
[16:13] 對不對
[16:14] 他可能今年預估也是有成長性的
[16:16] 可是為什麼沒有輪到他
[16:17] 當然也有人講說
[16:19] 這段時間很多50塊以下
[16:20] 股票沒有獲利也是照噴
[16:21] 那是另外一個story
[16:22] 我覺得那是另外一個story
[16:24] 那至少剛剛我們講的
[16:26] 不管是庸智或者中探針
[16:28] 我想他們都還是有基本的獲利在
[16:30] 所以這個地方是可以來做參考的
[16:34] 當然他會變成一個超級高價股
[16:36] 或是產業鏈的李同央
[16:37] 他肯定有他最厲害的競爭力
[16:39] 但是如果你要選看高做低的話
[16:42] 那你就選至少他的競爭力沒有太爛
[16:44] 只是沒有那麼出色
[16:46] 而且還沒有真的輪到他
[16:47] 我覺得這個可能要講
[16:48] 避免大家會很多地方
[16:50] 例如說很多人在問IP好了
[16:53] 大家知道這一波IP是創意上去
[16:55] 但是創意看完法說之後
[16:57] 有一點利多出盡的味道
[16:58] 這個大家也可以留意
[17:00] 只是沒有
[17:00] 你說打到季線有很多嗎
[17:02] 因為他漲很多了
[17:03] 所以他最近可能就在震盪
[17:05] 那實際上大家知道
[17:06] 他還在等這個亞馬遜的訂單
[17:09] 真正的入賬
[17:09] 所以這兩檔
[17:11] 各自可能大家對他們都很清楚
[17:13] 可是對於下面的例如
[17:15] 很多人都會問
[17:15] 那M3E呢
[17:17] 那智源呢
[17:18] 也不是不想要同情他們
[17:20] 可是就是變成他們的
[17:22] 像M3E的獲利實在是掉太多了
[17:25] 對
[17:25] 我覺得當看到作業的時候
[17:27] 不是說M3E這樣的公司
[17:28] 他就沒有機會
[17:29] 可是他就會相較之下
[17:30] 跟別人比起來
[17:31] 別人都賺EPS幾十塊
[17:33] 可能要上百塊的預估了
[17:35] 他可能還很獲利很微米
[17:37] 我覺得就會相對辛苦
[17:38] 可是他還沒有反彈
[17:39] 其實最近M31也有泛灘
[17:41] 因為很多人在問M31
[17:42] 其實之前聽到的訊息是
[17:45] 它不是沒有單
[17:45] 但它的問題就是在
[17:47] 它的技術沒有辦法
[17:49] 把它的單給好好的吃下來
[17:51] 我覺得這個就是一個
[17:52] 大家去摻著的
[17:54] 不是說它不會漲
[17:55] 可是也許它會漲
[17:57] 就是輔助於說實話
[17:59] 就是籌碼跟技術形態
[18:00] 我們常常講這句話
[18:01] 所以很多產業都可以看高做低
[18:03] 例如那時候衛星通
[18:05] 就是低軌衛星
[18:06] 看是哪顆做滑通
[18:08] 看華通做藥華
[18:09] 那現在看藥華做什麼
[18:11] 我也不知道
[18:13] 對做鏡棚
[18:14] 鏡棚可能這個比例
[18:15] 真的相對之下
[18:16] 就比較不高
[18:17] 因為鏡棚他喜歡做
[18:19] 很基本的東西
[18:21] 這家公司
[18:21] 對他也坦誠
[18:23] 做很基本的東西
[18:24] 就有基本的獲利
[18:25] 所以這個也是要看
[18:26] 各家公司
[18:27] 他們對於未來的企圖心如何
[18:29] 對那如果會長到他身上
[18:31] 因為他畢竟也是有基本獲利
[18:32] 雖然獲利不是很漂亮
[18:34] 但就大家參酌
[18:36] 你看最厲害的像臺光店
[18:39] 那你買它也不會失望
[18:41] 只是它現在價格比較高
[18:42] 那也許老二臺要
[18:44] 那很多人說買老三聯貿都不會動
[18:46] 對
[18:46] 我覺得聯貿相對比較委屈一點點
[18:49] 可能要看公司它
[18:50] 接下來有沒有辦法在
[18:51] 法人說明會或是在業績上面
[18:54] 繳出比較好的成績單
[18:55] 對
[18:55] 所以我覺得當然你要把握那個時機才
[18:58] 就是說你發現到臺光店
[19:00] 臺藥跟聯貿距離越拉越遠
[19:02] 所以比較擔心等到聯貿真的要旺的時候
[19:05] 反而遇到臺光電跟臺耀的拉回
[19:08] 不想能不能像庸芝那麼幸運
[19:09] 對
[19:10] 所以他們那時候剛好是
[19:11] 產業都還往上
[19:12] 還有往上比價的效應
[19:13] 所以我會跟大家講
[19:14] 就是說其實現在剛剛提到
[19:16] 剩下最後兩天
[19:17] 其實我覺得這兩天
[19:18] 但不會說
[19:19] 你要用一個強勢的股票
[19:21] 然後重壓爆股過年
[19:23] 我覺得就回歸到
[19:24] 現在其實這兩天
[19:26] 我覺得是應該是
[19:27] 剛好把握上禮拜的拉回反彈的時候
[19:30] 有一個選擇的機會
[19:31] 因為我們會說
[19:32] 現在這個爆股過年就變兩種人
[19:34] 一個叫主動報股過年
[19:36] 也就是說你手上股票都賺錢的
[19:38] 你可以選擇說
[19:39] 我哪些股票賺錢賺多了
[19:41] 我要不分會員養殖
[19:42] 那些股票我覺得
[19:43] 這個產業還有後續的趨勢
[19:45] 我還是賺錢的
[19:46] 我可以加碼在他身上
[19:47] 這種是主動報股過年的人
[19:49] 就跟主動型的ETF經理人一樣
[19:51] 我可以選擇排名上
[19:53] 強勢產業去換股
[19:54] 那另外一種就是比較可惜一點
[19:56] 這一波在上禮拜可能追在高點
[19:59] 那你手上股票可能套比較多
[20:01] 所以你可能就是以你的
[20:02] 持股的虧損排行榜
[20:04] 虧損第一名排到第十名
[20:07] 這十張股票因為虧的多
[20:08] 我沒辦法選擇
[20:09] 我就被動報股過年
[20:11] 所以我覺得你如果是這種
[20:12] 主動報股過年
[20:14] 當然恭喜你
[20:15] 這兩天就看你什麼時候要休息
[20:16] 你想要什麼時候
[20:17] 會要換股
[20:19] 我覺得都不是太大問題
[20:20] 那反過來
[20:21] 如果是被動型報股過年的人的話
[20:23] 你就要把握這兩天
[20:25] 可能臺股會反彈的時候
[20:26] 你也許要做一些適度的調整
[20:28] 如果你虧損股票虧的多
[20:30] 又發現到最近
[20:31] 連反彈都沒有他的份的話
[20:33] 那我覺得其實你
[20:34] 試圖去換股一下
[20:35] 換到一些
[20:36] 你如果真的不會選股
[20:37] 你換到一些主動型的ETF
[20:39] 由他幫你做一個
[20:40] 選股報股過年的方法
[20:42] 我覺得應該是要
[20:43] 趁著這兩天的行情裡面
[20:44] 去做一些調整
[20:45] 今天已經錯過一天了
[20:46] 但明天跟後天
[20:48] 我覺得可能都還有調整的機會
[20:50] 但重點還是在於
[20:51] 產業上的一個
[20:52] 發展的機會在哪裡
[20:53] 剛剛提到的嘛
[20:54] 我們其實從這個排名上掃下來
[20:56] 其實最簡單去選
[20:58] 就是既然有6600億的
[21:00] 資本支出的一個
[21:01] 未來的一個想象空間
[21:03] 所以你跟AI的相關性
[21:05] 越高的產業
[21:06] 它就是你越有機會
[21:07] 報股過年會賺錢的產業
[21:09] 那如果說
[21:10] 不是所謂的一個
[21:11] 跟資本支出相關
[21:12] 但這一波可能
[21:14] 跟著行情反彈上來的
[21:15] 也許像什麼成熟製成
[21:17] 也許像矽晶園
[21:19] 也許像最近的一些
[21:20] 可能什麼太陽能等等的
[21:23] 那我覺得他們都是
[21:24] 比較偏向題材性的
[21:25] 但業績面
[21:26] 沒有非常強勁的支撐
[21:27] 那我覺得這些
[21:28] 可能就是你要選擇
[21:29] 如果你手上有賺錢的
[21:31] 那你又覺得風險比較高
[21:33] 也許你就可以適度的做一些
[21:35] 或了結或換股操作
[21:36] 那如果你手上的是這種
[21:38] 真的是這一波很弱的
[21:40] 比方說像老AI股票
[21:42] 那老AI股票比方說像這個
[21:44] 今天的維影開高走低
[21:45] 然後廣達紅海偉創
[21:48] 其實漲幅都相對我們剛剛提到的那些
[21:51] 當紅炸子機的股票都弱了很多
[21:54] 所以你可能就要考慮到
[21:55] 如果你的資金想要比較活用的話
[21:58] 那是不是趁著這兩天
[21:59] 輝達在反彈的時候
[22:00] 也許你可以做一些事實的調整
[22:03] 那當然大家會捨不得
[22:04] 就覺得我這個廣達鴻海偉創
[22:06] 我已經抱了這麼久了
[22:08] 難道真的都沒有希望
[22:09] 但我覺得如果說你這時間點
