[00:00] 欢迎收听赵怀谷破载第1093集
[02:41] 或是你在跟产业界的人聊的时候
[02:44] 大家是觉得业绩越来越乐观
[02:45] 还是会觉得这个市场有点疯狂
[02:48] 怎么讲呢
[02:50] 其实我觉得其实产业的人都在问
[02:53] 资本市场的人说
[02:55] 你们在看什么
[02:56] 就表示其实他们看的
[02:58] 都觉得不应该涨这么快
[03:00] 可是我们资本市场
[03:01] 其实就是很快就反应
[03:02] 因为我们基本上是搬钱而已
[03:05] 你要知道产业的变动
[03:07] 其实没有那么快
[03:08] 所以产业变动就好像是慢
[03:09] 但是搬钱这件事情是很快的
[03:12] 所以你看到前几天
[03:13] 有家公司有一个消息
[03:15] 就说NVIDIA的设计变更
[03:17] 然后他要从原本的新的设计
[03:21] 要改回原本的一片石
[03:22] 然后这家公司股价
[03:24] 从5000多块就瞬间
[03:25] 就今天就跌到第三根了
[03:28] 这家公司就是建策
[03:29] 我刚刚讲
[03:31] 今天也是盘中很震荡
[03:32] 我刚想说
[03:32] 产业基本上
[03:33] 它的变动不会是这么的快的
[03:35] 就是你一下子
[03:37] 预期心里说
[03:37] 它已经完全ready了
[03:39] 然后你又传出来说
[03:40] 它可能不ready
[03:41] 然后你又开始害怕
[03:42] 这个瞬间的来回
[03:44] 其实股价的波动幅度
[03:45] 就非常的大
[03:46] 波动幅度非常的大
[03:47] 所以告诉大家说
[03:48] 基本上
[03:49] 在这时间基本上是
[03:50] 我认为
[03:51] 很多股票
[03:52] 其实都已经有点over
[03:53] 就是我们的本益比
[03:55] 其实有些是过头了
[03:56] 但是其实
[03:57] 为什么上礼拜
[03:58] 我们来讲的时候
[03:58] 我们那时候讲被动元件
[03:59] 我们讲说
[04:00] 其实他们还有机会
[04:01] 因为他们的本益比
[04:03] 都还很低
[04:03] 恭喜你
[04:04] 国剧还真的拉上停办
[04:05] 我有点惊讶
[04:07] 我那时候说
[04:08] 这只大牛应该该醒了吧
[04:10] 真的
[04:10] 我说这个陈泰明
[04:12] 不是一个省油的灯
[04:13] 不过今天的重点
[04:15] 不在国剧
[04:15] 所以我们先把国剧
[04:16] 调在一边
[04:17] 我们要讲说
[04:18] 其实现在资金
[04:18] 就是在一个轮动的格局
[04:20] 就是你大盘
[04:21] 已经来到四万两千点
[04:22] 但还是有很多的族群
[04:23] 你撇开非AI不看
[04:25] 基本上还有很多的电子股
[04:28] 基本上它都还在右下方
[04:30] 所以为什么这一波的发哥
[04:32] 长这么的凶
[04:33] 就要从原本是跟AI沾不上边的
[04:36] 然后到它跟AI沾上边
[04:38] 再来就是市场的过度乐观
[04:40] 因为我认为
[04:41] 我自己认为
[04:43] 其实发哥的这一个TPU的净利率
[04:46] 不太可能来到三成
[04:48] 至少在今年都不太可能
[04:51] 因为我之前讲过
[04:52] 它其实是一个
[04:53] 士兵的一个产品
[04:55] 它不是已经是ready
[04:56] 就是它不是
[04:57] 技术已经很稳定
[04:59] 然后要投入这个市场
[05:00] 不是
[05:00] 它是刚在练兵
[05:02] 刚练兵的时候
[05:02] 它当然不可能
[05:03] 把它的利润率拉很高
[05:04] 因为它让客户觉得说
[05:06] 它的报价
[05:06] 非常的有吸引力
[05:08] 所以但是市场就是因为
[05:10] 之前就是充满相对很干净
[05:12] 所以是一窝蜂的追
[05:13] 你看发个银关紧闭了
[05:15] 它今天还在涨
[05:17] 就告诉你说
[05:18] 其实资金就是一窝蜂的
[05:19] 往里面挤
[05:20] 我说有家公司就是太老实
[05:21] 就是大立光
[05:23] 他不要那么老实的讲说
[05:24] 其实他要到明年之后才会出来
[05:26] 其实他的CPU
[05:27] 那个题材刚出来的时候
[05:28] 我觉得大立光也会走联发科的模式
[05:31] 就是一路的往上涨
[05:32] 为什么
[05:33] 因为就是没有筹码
[05:34] 筹码基本上已经很
[05:36] 很极度的沉淀
[05:38] 很极度沉淀
[05:39] 那当然在联发科涨的过程里面
[05:40] 市场就会有不同的想法
[05:42] 就是他到底是在涨IP
[05:44] 还是在涨IC设计
[05:45] 是不是IC设计也该涨一下了
[05:47] 所以
[05:47] 再加上其他公司要打发
[05:50] 打发还说他的获利也不差
[05:53] 所以市场就觉得说
[05:54] 看起来好像他不是只有IP好
[05:56] 好像除了手机不好以外
[05:58] 其他好像都慢慢活过来了
[06:00] 所以大家开始在追逐这样的股票
[06:02] 所以你看到这几天
[06:04] 其实不是联发科涨而已
[06:06] 其实创业还在涨
[06:07] 市型开会还在涨
[06:08] 所以告诉你IP的热度还在持续
[06:11] 那这些很便宜的IC设计
[06:13] 基本上也在涨
[06:14] 但是有一家公司
[06:15] 也是业界很有名的老实术
[06:17] 就是智芯科技
[06:18] 他是做类比IC
[06:19] 类比IC
[06:20] 他的董事长
[06:22] 亲自跟大家讲说
[06:23] 目前不可以跟客户涨价
[06:25] 他说时间还没到
[06:26] 就表示什么
[06:27] 其实市场并没有大家
[06:29] 一面倒的觉得很乐观
[06:31] 不是这样子
[06:32] 纯粹就是因为
[06:33] 我讲过很多东西
[06:34] 都是因为成本推升的关系
[06:36] 包括我们之前讲说
[06:38] 现在ABF在表会怎么涨价
[06:39] 因为成本推升
[06:40] 可是他有需求
[06:41] 所以他就很敢跟客户说
[06:43] 我要把转嫁转到你的身上
[06:45] 可是这是ABF
[06:47] 他下游是AI
[06:49] 他就可以很勇敢说他想转嫁
[06:52] 可是IC设计就未必
[06:54] IC设计你只能看你的客户是谁
[06:55] 所以自己就想说
[06:56] 他的客户主要是诺布克
[06:58] 那他怎么去涨价
[06:59] 他没有办法涨价
[07:00] 所以他只能先委屈一下
[07:02] 所以他股价就冷掉了
[07:04] 但是其实市场上
[07:05] 其实很多人没有在看这个
[07:07] 他只觉得说
[07:07] 反正我就是带钱来投靠
[07:11] 我就希望能够把你买上去
[07:13] 但是有时候就看公司的心态
[07:15] 像这种老实说的公司
[07:17] 基本上他就已经泼你一盆冷水了
[07:20] 大力光也是直接泼你一盆冷水
[07:21] 那热钱当然就会退出来
[07:24] 所以其实现在如果热钱进来
[07:26] 其实不讲话是最好的
[07:27] 不讲话就是让市场去
[07:28] 好像自己猜自己想
[07:30] 顺水推舟
[07:31] 你们自己要买
[07:32] 你们自己要负责
[07:33] 我也不跟你讲太多
[07:35] 是我懂
[07:36] 所以你像我们之前在讲的
[07:38] 像石英元
[07:39] 昨天也拉一根
[07:40] 但是他就告诉你
[07:41] 其实他就没有这么好
[07:42] 今天就又掉下来了
[07:43] 就告诉你
[07:44] 其实要
[07:44] 真的是有相对好
[07:46] 我记得上次我们来讲的时候
[07:47] 我说其实
[07:48] 不用因为我最看好
[07:49] 就是和生堂跟利龙店
[07:51] 是
[07:51] 这两档都涨翻天了
[07:53] 但是也有一档
[07:54] 它其实也不是这个
[07:56] 它是信仓店
[07:57] 信仓店
[07:57] 它也跟着涨
[07:58] 信仓店
[07:59] 但是信仓店有个好处
[08:00] 是因为它筹码
[08:01] 有一定的稳固性
[08:03] 因为它被华新利华买下来了
[08:04] 所以它筹码
[08:05] 基本上有一大部分
[08:06] 都在华新利华的手上
[08:07] 所以基本上也是
[08:08] 市场上只要一推
[08:10] 它不用是都不要讲话
[08:12] 就不要讲说
[08:13] 我又没有做到
[08:14] 因为他本身不是做电容的
[08:16] 他是做材料的
[08:17] 所以基本上
[08:19] 我刚刚有先讲过
[08:20] 材料基本上是因为成本在推升
[08:22] 所以材料一定可以涨价
[08:24] 但是到底能够涨多少
[08:25] 就要看下游的客户的结构
[08:28] 那你去看
[08:28] 他的最佳客户是华欣利华
[08:30] 华欣利华有没有实质打入AI
[08:31] 没有
[08:32] 所以他有没有吃到很多分
[08:34] 没有
[08:34] 但是他选择不讲话
[08:36] 不讲话就会让股价往上走
[08:38] 所以你在这个里面
[08:40] 你就看到像
[08:41] 信仓店是投信都不买
[08:43] 可是你看利用店
[08:44] 和生堂
[08:45] 投信都在买
[08:46] 那我说他们都在买
[08:47] 这代表什么
[08:47] 至少他们的研究员
[08:49] 是写了出报告
[08:50] 经理人是愿意被公司骗的
[08:52] 就假设公司是骗你好了
[08:53] 也代表说公司敢开这个口
[08:56] 办一个法说
[08:57] 公开的说谎说
[08:58] 我有
[08:59] 但是我觉得大部分公司
[09:00] 是选择不讲话
[09:01] 就是他有他会承认
[09:04] 他没有他是不否认
[09:06] 不否认
[09:07] 就你们自己市场猜的
[09:08] 我也不接受你们的拜访
[09:10] 所以就會有這樣的結構
[09:12] 所以我覺得基本上目前的盤勢
[09:14] 我覺得今天比較讓大家比較擔心就是說
[09:16] 今天很多的高價股很大的震盪
[09:18] 震盪到有點覺得好像是
[09:21] 感覺是行情快要結束了
[09:23] 但是我說不是
[09:24] 因為現在就是資金還在輪動其實在前兩天如果你仔細看前兩天的大盤雖然感覺是比較強但其實大盤都把空間讓給櫃買就是大盤最終是沒有站上均價線
[09:37] 可是櫃買是站上均價線的
[09:38] 所以大盤雖然他的漲幅沒有大盤來得多
[09:41] 可是他是站上均價線
[09:42] 所以他是弱中透強
[09:44] 那大盤是強中透弱
[09:46] 那今天是兩個都下來
[09:48] 那兩個都沒有站上均價線
[09:50] 就告訴你說確實大盤來到這個地方
[09:52] 他除了輪動以外
[09:53] 他要进入一个整理
[09:54] 因为毕竟老实讲
[09:56] 现在才5月8号
[09:57] 离520到6月份的台建股东会
[10:00] 还有一段时间
[10:01] 这时间基本上
[10:02] 指数应该是还不会就这个时候下去
[10:05] 我们来看大盘
[10:07] 大盘今天收盘是收在41603
[10:10] 其实是离前面的大盘高点
[10:13] 41575还有一段距离
[10:15] 他没有跌破
[10:16] 但是贵买呢
[10:18] 贵买的前高是416.46
[10:20] 今天收在409.34
[10:21] 他是跌破了
[10:23] 就告訴你說
[10:24] 未來這段時間
[10:25] 大盤隨著後面
[10:26] 他有個台積電拉到25%
[10:28] 的這一個航母在後面壓陣
[10:30] 他還沒有要死
[10:32] 但是櫃買因為已經漲多了
[10:33] 所以他要進行一個整理
[10:35] 所以剛剛趙老大問說
[10:37] 這個時候你要怎麼去決定說
[10:39] 你到底要不要出場
[10:41] 請問一下
[10:41] 當然我覺得
[10:43] 這時候我講月線下彎還很遠
[10:46] 你一定會覺得說
[10:46] 凱哥你講這個太誇張了
[10:48] 因為怎麼可能這時候月線下彎
[10:49] 因為這時候大盤指數還在往上走
[10:51] 怎么可能各国月线下弯
[10:53] 所以你先不要管月线下不下弯
[10:55] 你先管它短时间的大量的低
[10:58] 有没有跌破
[10:59] 好 因为我也觉得说
[11:01] 像昨天晚上
[11:02] 美股的顺势有一些修正
[11:04] 那今天台股顺势修正
[11:05] 是比较健康的事情
[11:06] 但是今天我看到几个迹象
[11:08] 我觉得不容易有很大幅的修正
[11:11] 第一个是
[11:13] 真的就是在跌的时候
[11:14] 你可以感觉到两股势力
[11:17] 刚刚提到的
[11:18] 一个是你相信
[11:19] 有一些大的资金想护盘
[11:20] 因为昨天很明显
[11:23] 昨天光宝科不是涨停
[11:24] 国际涨停
[11:25] 我们就知道说
[11:26] 这个盘它会走一个
[11:27] 叫做健康轮动
[11:29] 然后先就像刚刚凯哥讲的
[11:31] 虽然凯哥的话讲得有点重
[11:33] 公然说谎
[11:33] 没有啦不一定啦
[11:35] 说有的就是应该是有啦
[11:37] 但是你讲说
[11:38] 本身可能没有的
[11:40] 不说话这个倒是真的
[11:41] 市场就会自己猜
[11:43] 不说话最好
[11:44] 以前呢
[11:45] 我们还在跑新闻的时候
[11:46] 说白一点
[11:47] 有的主力
[11:48] 他想要做某间公司
[11:49] 他只要那间公司不说话就好了
[11:51] 然后只要那间公司
[11:52] 不要把筹码倒出来就好了
[11:54] 对
[11:54] 然后那时候我在旁边看了
[11:56] 也是觉得挺有趣的
[11:57] 就是学了一课这样
[11:58] 他们没有要公司配合
[12:00] 你不用帮我拉
[12:01] 可是因为你们家筹码很安定
[12:02] 大股东手上很多筹码
[12:04] 很多股票
[12:05] 你们不要动
[12:06] 也不要跟外面讲说
[12:07] 什么拉上来
[12:08] 你不知道为什么
[12:08] 你都不要讲话就好了
[12:10] 对
[12:10] 那现在我觉得
[12:12] 当然非常多的个股
[12:13] 有这样的一个现象
[12:14] 第一个就是
[12:15] 我觉得是有一只手
[12:16] 为什么像今天
[12:17] 联勇涨停板
[12:18] 瑞玉涨停办
[12:20] 联发科涨到这边被关了
[12:22] 那盘中拉上去
[12:23] 其实有很多人在complain
[12:24] 联发科为什么要被关
[12:25] 因为联发科被关
[12:27] 可以让特定人士去锁
[12:29] 怎么去操作联发科
[12:31] 这个可能跟我们一般的小散户
[12:33] 也许关系不是这么大
[12:35] 但它确实让市场上
[12:37] 你想要空在多方气
[12:38] 是嘎空单的人
[12:39] 是比较好操作的
[12:41] 然后呢
[12:42] 但第二个当然就是
[12:42] 我也感受到身边的人是
[12:44] 好不容易跌了
[12:45] 600点700点快
[12:46] 赶快进去
[12:48] 买ETF也好
[12:50] 买自己觉得便宜的股票也好
[12:51] 所以现在的资金
[12:52] 没有想要放过这个市场
[12:54] 我觉得是蛮明显的
[12:55] 但这边的话
[12:57] 还是要回到凯哥这里了
[12:59] 不过如果我们今天要剪
[13:01] 一定是肯定他有真AI
[13:03] 会剪得比较放心
[13:04] 那最近几天有几个族群
[13:07] 宅版
[13:07] 宅版我觉得我很难用本益比评估
[13:10] 所以请凯哥来聊聊
[13:11] 南电是因为南亚又有在
[13:13] 申报转让南电
[13:15] 所以他最近有跌得比较凶
[13:17] 那刚有提到散热
[13:18] 建策今天真的是上通下行
[13:21] 但后来跌停没锁住
[13:22] 对不对
[13:23] 那是不是危机已经过了
[13:25] 其实我觉得今天有很大一个重点
[13:28] 会放在散热
[13:29] 因为其实我个人觉得
[13:31] ABF可能就是涨多的回档
[13:33] 我之前讲过
[13:34] 我说那时候新兴在市场
[13:36] 就是从五六百目标价往上提到八百
[13:39] 那你后来外资再调到一千
[13:41] 基本上
[13:41] 他就没有先前的这个推升力道来得强
[13:45] 所以他势必就是上去之后压回来
[13:47] 进行一个整理
[13:48] 但是刚刚蓝店又有这个南亚科
[13:50] 南亚的这个声浪
[13:51] 当然就会让市场觉得说
[13:53] 是不是大股东看不好了
[13:55] 但是他回报一个正轨
[13:58] 就是说他原本的原料涨价
[14:00] 他现在只是在反映他的报价
[14:01] 所以他一定维持至少两季
[14:04] 我觉得就是去年的这个日东房
[14:07] 涨了两季的报价
[14:09] 从去年第四季到第一季
[14:11] 所以我们现在的ABF
[14:13] 也要涨两季的报价
[14:14] 他才能够反映回来这个部分
[14:17] 我觉得今天比较奥秘的是在散热
[14:20] 因为我觉得它好像
[14:22] 这个修正
[14:24] 不是我们现在看到的台面上的这个
[14:27] 怎么说
[14:28] 因为现在看到的是
[14:30] 就是军热盖片的新设计
[14:35] 因为它有这个有鹰的材质
[14:38] 所以它在连结上会有一些变动
[14:41] 再来就是因为
[14:42] 它确实因为一片式的会有膨胀系数
[14:46] 所以它会让它整个一个散热的状况会不好
[14:50] 所以它要往前推进
[14:52] 往前推进可是我刚刚讲
[14:54] 因为它要变成是一个环再加上一片
[14:57] 那这里面其实就变成是两个东西在结合
[15:00] 它有一些难度
[15:01] 所以我觉得如果今天NVIDIA是退回来一片式
[15:06] 基本上它有一个问题就是它没有进步
[15:09] 那本来的问题没有解决
[15:11] 所以它基本上应该讲说
[15:13] 它还在往两片式的路途迈进中
[15:17] 只是这里面遇到一些困难
[15:18] 但是我相信以科技的技术
[15:20] 它一定会改善
[15:21] 但是因为股价就是这样子
[15:23] 就是涨多了
[15:24] 然后发觉好像不如预期就掉下来
[15:27] 我觉得今天有个比较大的问题是在于
[15:29] 我不知道大家有没有注意到
[15:30] 盘中应该有人传出来消息
[15:32] 就是Cooler Master要跟这个秦城合作
[15:35] 我觉得这个应该是对后面影响比较大
[15:38] 因为今天其实
[15:39] 你看到建筑在大跌的时候
[15:41] 其实双红 齐红都没有大点
[15:44] 因为大家都觉得说
[15:45] 那个东西就是建设在做
[15:48] 建设自己的事
[15:49] 对 跟我没有关系
[15:50] 但其实问题比较大的是在于
[15:52] Cooler Master这是一个巨兽
[15:54] 因为全球的散热
[15:56] 有两家大厂
[15:58] 一家就是台达
[15:58] 一家就是Cooler Master
[15:59] 那Cooler Master选择
[16:01] 跟台湾的机科厂合作
[16:02] 他本身是做CDU的
[16:04] 那表示台湾做CDU的厂商
[16:05] 未来就会被夹击
[16:07] 所以我觉得他是今天没有反应
[16:10] 不代表它之后不会反应
[16:11] 所以我觉得今天是
[16:13] 感觉好像是一直在
[16:14] 一直在泼冷水
[16:16] 散热就是
[16:16] 本来很热
[16:17] 然后现在一直被泼冷水
[16:19] 就一直在降温冬
[16:21] 但是我们要看的就是说
[16:23] 第一个我们要看的是建设
[16:24] 这件事情对建设
[16:25] 到底有没有很大影响
[16:26] 我觉得要看到六月份
[16:29] 就是鸿海最终的市产的结果
[16:32] 现在大家讲说
[16:33] 它可能要退回一片市
[16:35] 但其实鸿海还在
[16:36] 做两片市的努力
[16:38] 所以如果鸿海两片式的良率没有到很差
[16:42] 我觉得NVIDIA还是会坚持要继续做下去
[16:45] 这个就是产业在推进
[16:47] 产业推进的过程里面
[16:49] 其实都会有一些难度
[16:50] 就好像我们现在在看
[16:52] 所谓的COWAS的这个芯片撬区的问题
[16:56] 他有因为撬区
[16:58] 他就说我不做
[16:59] 没有
[16:59] 他就想办法改良
[17:01] 克服
[17:02] 所以产生很多新的公司出来
[17:04] 例如说什么三泰士
[17:06] 硬能
[17:06] 这些股价就冒出来了
[17:08] 对
[17:09] 所以一样
[17:10] 他在往这过程里面走的时候
[17:12] 当然因为你之前给了他一个
[17:14] 认为完全没问题
[17:15] 所以他股价评价一下拉高了
[17:17] 你现在开始觉得他有问题
[17:18] 当然他的评价就修正
[17:19] 但是会不会影响他原本的基本面
[17:22] 不会
[17:22] 因为原本的一片是
[17:24] 就是建筑在做
[17:25] 你现在改成两片
[17:26] 还是他在做
[17:27] 所以他只是成长稍微放缓了
[17:30] 不是衰退
[17:31] 所以很多人说法有点奇怪
[17:34] 就是说这个
[17:35] 什么他的价值成分大幅的下降
[17:39] 价值成分是原本是你预估大幅的提升
[17:42] 我觉得就是他的评价本梦比的部分
[17:44] 就是他只是没有提升这么的多
[17:46] 但是你说你就要把他完全抹煞掉吗
[17:49] 应该是不对的
[17:51] 我觉得今天建设为什么
[17:53] 打到迭提然后打开来
[17:56] 因为其实如果你仔细观察
[17:57] 他的形态
[17:58] 他已经来到大量高的上缘
[18:01] 他今天盘中有破一下
[18:03] 然后拉起来
[18:04] 所以我覺得這個地方你就可以觀察說
[18:06] 這個大量高它能不能守住
[18:07] 如果它能守住我覺得它
[18:09] 當然因為我們剛剛講了
[18:11] 它就是實質的不良率
[18:15] 沒辦法明確的改善
[18:16] 所以它不可能一下就解決
[18:18] 它不是rumor
[18:19] 如果是rumor
[18:20] 就是說它營收不好
[18:21] 然後出來沒有不好
[18:23] 如預期
[18:24] 那可能它就直接V轉
[18:25] 可是像這種就是
[18:26] 產業確實有一些狀況的
[18:27] 它可能會在這邊盤一段時間
[18:29] 但最終還是會上去
[18:30] 這我們在看的就是
[18:32] 第一个是
[18:32] 它到底是真的假的
[18:34] 我们现在看起来
[18:35] 它是真的
[18:35] 但是它有没有影响
[18:36] 那么大的问题
[18:37] 接下来我们再看
[18:38] 就是CDU这个东西
[18:40] 就是酷吗
[18:42] 就是酷乐master
[18:42] 跟这个秦城的合作
[18:44] 它直接影响到的
[18:45] 今天有反应的
[18:46] 银帮直接反应了
[18:48] 银帮今天打到跌停
[18:50] 是
[18:50] 所以今天饥渴场
[18:52] 如果说跌
[18:53] 不是那种中小股洗盘而已是有背后的逆空大家在分辨这个问题就大了要分辨你就发觉说他是因为这个事件被打到跌停可是今天的散热因为大家都一直在关注
[19:04] 这个建策的
[19:06] 这一个一片式的散热
[19:08] 所以没有想到的是
[19:09] 他们还有其他的问题
[19:11] 所以接下来你要观察的是
[19:13] 齐鸿跟双鸿
[19:14] 目前的这一个支撑位置
[19:17] 能不能守住
[19:18] 对
[19:18] 因为如果这边也守不住
[19:20] 他们会比较麻烦
[19:21] 因为你已经看到
[19:23] 机壳厂已经有的应声倒地
[19:24] 就是因为这个合作案
[19:26] 对
[19:26] 那接下来可能就是
[19:28] 从机壳会延伸到散热来
[19:30] 但是在散热的过程里面
[19:31] 你就发觉
[19:31] 原先重建的建设
[19:33] 反而慢慢的
[19:34] 底部慢慢在那边
[19:36] 盘盘盘拉起来
[19:37] 可是
[19:37] 其他呢
[19:39] 其他原本不是一片式的散热
[19:40] 而是CDU的散热
[19:42] 反而就下去了
[19:43] 那你可以看到今天
[19:44] 有一家公司
[19:45] 他也完全都不受影响
[19:46] 就是麦科
[19:47] 麦科
[19:48] 麦科因为他
[19:49] 不是做这个的
[19:50] 他CDU其实占他的比重很低
[19:52] 所以他完全不受影响
[19:53] 你看那个建设
[19:55] 已经连跌两天了
[19:56] 他是昨天才跌下来的
[19:58] 他前天还大涨
[19:59] 今天还在平盘附近整理
[20:01] 所以告诉你说
[20:02] 其实我们在看公司
[20:04] 其实是会看得比较细
[20:06] 比较细
[20:07] 就是我们也不太会人云亦云
[20:10] 就是说我们看到一个消息出来
[20:12] 当然我们会先从形态面去判断
[20:15] 就是说像建设这种
[20:16] 你如果仔细看
[20:17] 你就发觉说
[20:18] 其实他那天就爆大量
[20:19] 就有人在跑了
[20:21] 你就要选择先退场
[20:22] 那一样他今天是爆大量
[20:24] 可他今天是拉起来的
[20:26] 所以今天的这一个低点
[20:28] 如果未来的几天他都没有破
[20:30] 那就告诉你他已经修正结束了
[20:32] 反而是一个好的介入的点
[20:34] 所以我们可以从这个角度去看
[20:36] 那今天其实我觉得
[20:39] 就是资金在轮动的过程里面
[20:42] 其实包括生计
[20:43] 包括像重电
[20:44] 包括像球鞋类
[20:46] 都有一点慢慢要活过来的味道
[20:47] 你看今天盘中重电
[20:50] 其实一度有要拉起来
[20:51] 华晨跟周星链一度是拉起来的
[20:52] 但是随着大盘又回温了
[20:56] 然后大家想说
[20:57] 就忘记他们
[20:58] 钱又回去AI了
[20:59] 那我们还是回去AI好了
[21:00] 就让它就叫下来了
[21:02] 但是我觉得
[21:03] 如果有这样的现象
[21:04] 我觉得资金就会慢慢的
[21:06] 往这个地方去靠
[21:07] 因为我说大盘
[21:08] 随着520到海鲜的股东会
[21:11] 基本上进入了第三季
[21:12] 会比较辛苦
[21:13] 进入第三季会比较辛苦
[21:15] 那AI的强势的涨势
[21:18] 应该在第二季
[21:18] 就会告一个段落
[21:19] 所以接下来就是资金轮动
[21:21] 那你就要观察是
[21:22] 资金轮动到底到哪一个族群去了
[21:24] 对
[21:24] 好 终究要休息
[21:26] 就是我们不敢说现阶段要
[21:28] 因为现阶段我们观察到的是还没
[21:31] 可是终究要休息
[21:32] 那凯克刚才蛮铁口之断
[21:33] 觉得再怎么样长到第三季
[21:36] 都会面临到要休息的状况
[21:38] 因为刚刚讲到台积电
[21:39] 台积电有公布了四月营收
[21:41] 虽然月减幅是1.1%
[21:43] 是很小的
[21:44] 可是他没有再创历史新高
[21:46] 我的意思并不是说
[21:47] 台积电永远都要一直创历史新高
[21:49] 但现在市场上
[21:50] 对于这类型的AI领头羊的要求
[21:53] 其实是变得蛮高的
[21:55] 会有点无限上纲
[21:57] 还记得吗
[21:58] 上一次台移电开发说
[21:59] 应该是明汉来
[22:01] 我们就有提到说
[22:01] 他讲的还是很好
[22:03] 那成绩也都很好
[22:04] 可是很不幸的是
[22:05] 市场的标准已经拉到
[22:07] 跟他讲很好
[22:08] 差不多对标了
[22:10] 不会让你觉得
[22:11] 哇塞
[22:11] 怎么是妖怪吗
[22:12] 已经没有这种感觉了
[22:14] 我觉得这就是
[22:15] 接下来台股的AI股
[22:16] 不是不好
[22:17] 而且一定成长
[22:18] 可是面临到的挑战就是
[22:20] 所有的人把期待已经拉到
[22:23] 跟他们的表现对标
[22:24] 甚至要求更高
[22:26] 所以台电今天它就没有涨
[22:28] 我觉得因为它的营收
[22:29] 说实话
[22:30] 可能多多少少都有人会停钱
[22:32] 有点知道了
[22:33] 所以今天它就涨不起来了
[22:34] 好 月减1.1%
[22:36] 没有创历史新高
[22:37] 那我们就再观察一下
[22:38] 因为夜盘也没有因为这样就大跌
[22:40] 但看来就是
[22:42] 像我昨天就讲到起红
[22:43] 起红呢
[22:44] 4月份还是年增70%
[22:46] 可是就月减了
[22:47] 会越来越多AI公司产生这样的状况
[22:50] 没有再创高了
[22:51] 不是没有创高
[22:53] 是创高一样市场是不领情的
[22:55] 你看智邦店
[22:56] 那就更残忍
[22:57] 你看它营收很好
[22:58] 反而是往下走的
[23:01] 感觉有点像这个Lumenton
[23:04] 感觉有点像美国的AI股
