[00:00] 歡迎收聽趙華宇股貨載第1028集
[02:41] 到底接下來會對大家產生什麼樣的影響
[02:44] 來歡迎今天來賓
[02:45] 今天來的是題材獵人漢維哥
[02:47] 大家好
[02:48] 各位聽眾大家好
[02:49] 好忙哦
[02:50] 講了一大串
[02:51] 講了一大串
[02:53] 這邊還是要提醒聽眾朋友
[02:55] 真的昨天我和幸福哥
[02:57] 真的叫做苦口婆心
[02:59] 講了大半集的
[03:00] 就是現在的操作觀念
[03:02] 不要FOMO
[03:02] 還有你的配置怎麼做之後
[03:04] 你就不會擔心
[03:05] 以及熱門產業
[03:06] 永遠都在那邊輪輪輪
[03:07] 你看這1.16兆
[03:09] 大家都輪得到
[03:11] 所以當你要選擇買個股的時候
[03:13] 你的考驗就是
[03:14] 你現在手上的產業沒漲
[03:16] 你要辨認它
[03:18] 它是不是AI相關
[03:19] 它是不是之前漲過
[03:20] 如果是
[03:21] 那可能就是需要一點耐心
[03:22] 因為最近的私訊
[03:24] 我必須講
[03:25] 起手式都是
[03:26] 趙華我有追蹤你所有的頻道
[03:28] 趙華我聽你的節目好幾年了
[03:30] 趙華怎麼樣怎麼樣
[03:31] 可能後面下一句就是
[03:32] 那請問某某股票你覺得如何
[03:33] 請問某某產業為什麼最近沒漲
[03:35] 後面全部都一樣的
[03:38] 就起手式是
[03:39] 我聽你節目好幾年
[03:40] 我必須講
[03:41] 如果大家聽我節目好幾年
[03:43] 問這個話
[03:44] 答
[03:45] 怎麼嗎
[03:46] 叉叉
[03:47] 不及格
[03:48] 真的不行這樣子
[03:50] 真的不行這樣子
[03:51] 那仔細聽一下
[03:52] 昨天甚至說這一段時間
[03:54] 一直跟大家分享的
[03:55] 不要去羨慕別人的報酬率
[03:58] 不要去
[03:59] 你明明就報到了
[04:00] 是產業趨勢對的東西
[04:03] 不要沒有漲
[04:04] 就很FOMO
[04:05] 覺得別人的在漲
[04:06] 我的沒有漲
[04:06] 輪到你的時候
[04:07] 你又沒有了
[04:08] 對啊
[04:09] 就不要
[04:09] 你把配置做好
[04:11] 個股handle不了
[04:12] 你多配一點ETF
[04:13] 不要嫌ETF漲得慢什麼的
[04:15] 我覺得這些都
[04:16] 我都覺得
[04:17] 我講到自己像個老媽子
[04:18] 可是就還是每天這樣子問
[04:21] 真的是很切心
[04:22] 好啦
[04:23] 你是有很用功的朋友
[04:24] 也是有很用功的朋友
[04:25] 必須講
[04:26] 那今天好一個來
[04:27] 那我們就來從大方向來講
[04:29] 就是現在到整體的總經環境
[04:31] 發生什麼事了
[04:32] 我想聯準會的利率決議
[04:34] 按兵不動很正常
[04:35] 其實我們都知道
[04:36] 你說美國公正
[04:37] 有沒有大幅破洞
[04:37] 其實也沒有
[04:38] 但是黃金卻每天
[04:40] 像發瘋一樣的往上飆
[04:42] 到底現在發生了
[04:44] 什麼樣的狀況
[04:45] 而美股的財報開出來
[04:46] 你給的評價又如何
[04:47] 對那當然首先
[04:49] 我們也跟大家講
[04:50] 這個情緒面的一個部分
[04:51] 我最近覺得我人緣特別好
[04:53] 因為我下班之後
[04:54] 很多很久沒有聯絡的朋友
[04:55] 都打電話來
[04:56] 最近怎麼樣啊
[04:57] 然後下一句就說
[04:58] 我有一筆資金
[04:59] 我不知道要怎麼樣規劃
[05:01] 所以你會發現到
[05:02] 就是說臺股
[05:03] 我覺得現在的熱度
[05:04] 是有一點點明顯在過熱
[05:05] 所以過熱的時候
[05:07] 你就會發現到
[05:07] 今天盤市的狀況
[05:09] 我覺得也是必來
[05:09] 臺股的成交量
[05:11] 都到了一兆一千六百億
[05:13] 你想想看
[05:14] 今天基本上是所有利多
[05:15] 都在今天盤面上發酵
[05:17] 那誰會在今天大舉買股票
[05:19] 通常都是之前空手觀望的人
[05:21] 覺得要三萬三了
[05:22] 要來不及了
[05:23] 趕快進場
[05:24] 那我覺得今天可能就蠻多人
[05:25] 在這個盤面上
[05:26] 也許就追到相對高的股票
[05:28] 盤中由紅翻黑
[05:30] 甚至盤中可能這個跌幅比較重的
[05:32] 但我覺得整體上來看
[05:34] 就像剛剛曹老師說的
[05:35] 我們要先從國際的大環境來看起
[05:38] 首先當然
[05:39] 大家比較不關心的是
[05:40] 聯準會的利率會議
[05:41] 是
[05:42] 以往這件事情
[05:43] 可能都是每個月裡面
[05:44] 最重要一件事情
[05:45] 現在真的不在乎
[05:46] 有新聞而已
[05:47] 但我看今天早上
[05:48] 沒有人在討論這個事情
[05:49] 對他不管嘛
[05:50] 大家寧願去看這個
[05:51] 季節的財報怎麼樣
[05:52] 對那我跟大家講
[05:53] 就是說最少這個鮑爾
[05:55] 他的一個
[05:56] 應該算倒數幾次的離別感言
[05:59] 整體上來看算四平八穩
[06:01] 也沒有因為跟川普之間的一個爭端
[06:03] 而有那種比較出軌的行為
[06:05] 他只是說告誡下一任的聯儲會主席
[06:07] 不要被政治干擾的太深
[06:09] 但整體上我們會跟大家講
[06:11] 就是說他提到幾個重點
[06:13] 目前美國經濟非常穩定
[06:15] 失業率開始下滑
[06:16] 那關稅所造成的
[06:17] 這個所謂通膨的效應
[06:19] 已經充分影響在這個
[06:21] 所謂的反應在價格上面
[06:22] 所以他預期說通膨
[06:23] 接下來不會增溫
[06:24] 所以大致上來講
[06:25] 我覺得這個
[06:26] 鮑爾大概就是這個
[06:29] 看守主席
[06:30] 看守到他的一個任期結束
[06:32] 那目前華爾街
[06:34] 對於今年的降息預期
[06:35] 大概會有兩次
[06:36] 那第一次大概就在六月
[06:37] 新主席上任之後
[06:38] 就馬上會有一個第一次的降息
[06:40] 那到年底
[06:41] 可能還有再一次的降息
[06:42] 所以整體上來看
[06:43] 你會發現到
[06:44] 聯準會的利率會議之後
[06:45] 市場也沒有太大的反應
[06:47] 但反應更大的是
[06:48] 在商品的市場
[06:49] 所以你從一月份到現在
[06:51] 上個禮拜黃金就已經
[06:53] 單週周漲了10個百分點
[06:55] 真的你現在在國際股市裡面
[06:57] 只有記憶體可以比你黃金的一個瘋狂
[07:00] 那今天的金價又再度大漲
[07:03] 剛剛趙老師說了到了5600
[07:05] 那白銀的價格
[07:06] 今天到了120美元
[07:08] 所以今天也可以看到
[07:10] 像銅的價格
[07:11] 今天盤中大漲了大概6個百分點
[07:13] 所以你今天盤中看到
[07:14] 低銅啊
[07:15] 華欣啊
[07:16] 然後那個鋼鐵類股啊
[07:18] 全面性的大漲噴出
[07:19] 都是跟現在的一個商品價格
[07:21] 大幅度的一個上漲有關
[07:23] 那商品價格大幅上漲
[07:24] 當然有兩個原因
[07:25] 第一個應該說三個原因
[07:27] 第一個是因為川普對於美元的發言
[07:30] 他覺得美元應該還要更弱勢
[07:32] 因為接下來要美國製造
[07:34] 你們這些什麼日本韓國臺灣等等
[07:36] 放任匯率的一個下滑
[07:39] 然後賺美國人錢不公平
[07:41] 所以接下來美國也會有
[07:43] 相對可能比較偏向弱勢的美元
[07:45] 那雖然他們的一個財政部長
[07:47] 被承認說沒有啦
[07:48] 還是希望強勢的美元
[07:50] 但是整體上來看
[07:51] 你會發現到
[07:52] 目前我覺得
[07:53] 今年美元落勢
[07:54] 這個格局應該還蠻明確的
[07:56] 有種種原因
[07:56] 但我們不要費數
[07:57] 那我們講美元下跌
[07:59] 最直接就是
[08:00] 商品價格因為有美元計價
[08:02] 所以容易出現
[08:03] 這個商品的大漲
[08:04] 但大漲之後
[08:05] 發現到不尋常的現象是
[08:07] 過往我們會常常說
[08:09] 買黃金是一個
[08:10] 穩定避險的商品
[08:11] 我記得以前
[08:13] 因為我們做期貨俗生的嘛
[08:14] 那個黃金大概
[08:15] 每天大概盤中
[08:17] 一個percent的漲幅
[08:19] 就已經不得了了
[08:20] 對
[08:20] 那現在一天可能三四趴的一個漲幅
[08:23] 而且調高保證金
[08:24] 而且還是浮動調高保證金
[08:26] 這代表說
[08:27] 我覺得現在這個商品市場
[08:28] 已經出現了那種
[08:29] 非常不合理的現象
[08:31] 那過去這樣的狀況
[08:33] 都代表說
[08:33] 其實整個金融市場
[08:35] 到現在有點慢慢進入到
[08:37] 尾聲的一個感覺
[08:38] 因為連商品市場都生瘋狂了
[08:40] 所以剛剛第一個提到的是
[08:41] 美元的弱勢
[08:43] 推升這個商品金屬價格的一個上漲
[08:45] 第二件事情是供需的失衡
[08:47] 那大家也可以發現到
[08:49] 最近我覺得華爾街有一個報告蠻有趣的
[08:51] 他說大家很擔心AI的泡沫
[08:53] 因為過度投資嘛
[08:54] 最好對沖AI泡沫的方式是什麼
[08:56] 買原物料
[08:57] 買基礎建設
[08:59] 買相關的所謂電力的商品
[09:01] 因為他們未來都會用到這些東西
[09:03] 所以你可以發現到
[09:04] 就是因為所謂的AI的無底洞
[09:06] 讓相關的一些工業金屬的價格
[09:08] 大幅度的衝高
[09:09] 像銀像銅
[09:11] 這些都跟AI有關
[09:12] 所以這個就代表說
[09:14] 它的一個需求面
[09:15] 跟過去比較起來
[09:16] 是一個比較大的改變
[09:17] 那第三件事是什麼
[09:18] 就是因為過去
[09:20] 也跟這個川普的關稅有影響
[09:22] 去年川普針對這些
[09:24] 所謂的相關的海外進口
[09:26] 到所謂的美國的同旅關稅
[09:30] 也導致其實全球的一些
[09:32] 所謂的期貨商品
[09:33] 它的一個庫存
[09:34] 都大量堆積在美國
[09:36] 那現在所謂的一個
[09:37] 商品期貨的價格大漲的時候
[09:40] 你還要知道說
[09:41] 商品期貨是可以用食物交割的
[09:43] 所以如果你是賣方的人
[09:45] 那買方可以要求你到期之前
[09:47] 你必須要準備相關等同契約價值的商品
[09:51] 來跟我交割
[09:52] 要到我們的交割倉庫
[09:54] 你要用船運過來
[09:55] 我們來去點交他的一個商品的
[09:58] 這個比方說銅的成色啊
[10:00] 他的純度夠不夠
[10:01] 如果符合的話
[10:02] 我們完成交割
[10:03] 代表你這契約合約才完成解算的動作
[10:05] 所以現在問題在於說
[10:07] 全世界的實體的商品都在美國
[10:10] 那很多在海外
[10:12] 你可能就放空啊
[10:13] 做套利的
[10:14] 現在面對一個問題
[10:15] 我如果放空的
[10:16] 那我的買家要求我食物交割
[10:18] 但是我的商品都在美國
[10:20] 沒辦法運出來
[10:21] 所以就導致了
[10:22] 現在其實空方被嚴重的逼空
[10:24] 因為他們沒有食物可以交割
[10:26] 那你要知道說
[10:27] 他們其實食物交割是
[10:29] 這個買方可以要求賣方履約
[10:31] 如果你沒有辦法履約的話
[10:33] 他基本上就會有一個違約的風險
[10:34] 所以這就是為什麼
[10:36] 最近銀價可以漲這麼多的主要原因
[10:38] 那除了銀以外
[10:39] 銅 錫 鎳 鋁
[10:40] 這些都有這樣一個狀況
[10:42] 所以整個基本金屬的
[10:44] 瘋狂性的上漲
[10:45] 它也就代表說
[10:46] 第一個
[10:47] 你可以看到
[10:48] 為什麼全球股市
[10:49] 這麼樣的瘋狂
[10:49] 因為大家都覺得說
[10:50] 連基本金屬的價格大漲
[10:52] 所以所有東西都會漲價
[10:54] 漲價之後帶動營收的上漲
[10:56] 營收的上漲
[10:57] 帶動股價的上漲
[10:58] 所以我覺得全球股市
[10:59] 目前來看
[11:00] 我們會跟大家講
[11:01] 今天是出現了一個
[11:02] 比較大的震盪
[11:03] 但是隻要這個商品
[11:05] 沒有崩盤之前
[11:06] 大家對於未來
[11:07] 科技通膨
[11:08] AI通膨的一個需求
[11:10] 或者說這個想象空間
[11:11] 我覺得對於臺股或說對於這些所謂的能夠獲利能夠抵抗這個成本上漲的公司來講其實還是可以當作力度來解讀的好 因為我們以前會覺得說當黃金在漲的時候
[11:24] 感覺上你應該股市
[11:25] 對不對
[11:25] 或者是說它美元
[11:26] 應該是一個受到非常大挑戰的時候
[11:29] 這個避險商品才會上漲
[11:30] 但現在不是
[11:32] 股市其實也在非常高的位置
[11:34] 當然美股比臺股的位置是低一些
[11:36] 臺股真的是很離譜
[11:38] 我今天就是殺到300點的時候
[11:40] 跟海倫哥說好恐怖
[11:41] 但後面就沒了
[11:42] 後面就橫盤了
[11:44] 並沒有說
[11:46] 哇這個一個回檔
[11:47] 一下就1000點
[11:48] 因為現在已經快
[11:49] 33000點嘛
[11:50] 所以回檔1000點
[11:50] 也不是什麼了不起的大事情
[11:52] 說真的也不是沒遇過
[11:53] 還沒那麼高
[11:54] 就已經遇過
[11:55] 這個盤中有1800點的事情了
[11:57] 但沒有
[11:57] 說實話今天的盤
[11:58] 雖然量看起來是這麼的大
[12:00] 但卻淡淡的透著一絲無聊
[12:03] 那其實說實話
[12:05] 像以前比特幣也發生過
[12:07] 很多人一開始會覺得
[12:08] 比特幣跟美元
[12:09] 是一個翹翹板的關係嘛
[12:10] 因為它可能是
[12:11] 替代美元的貨幣
[12:12] 或者是美元強
[12:13] 它就弱什麼的
[12:14] 壞也不是
[12:15] 它就變成一個
[12:16] 說實話投機商品
[12:17] 那黃金到底現在
[12:18] 算不算是一個投機商品呢
[12:21] 無法確定
[12:22] 這中間有很多的因素
[12:23] 但是商品原物料確實很有趣
[12:25] 像之前的妖孽事件
[12:27] 也是一個無法實物交割的時候
[12:30] 可能一個嘎空或逼空的行為
[12:32] 讓妖孽就瞬間爆噴
[12:34] 所以它在這個人為的市場中
[12:37] 是非常有趣
[12:37] 因為我們知道投資一間公司
[12:39] 或是說投資債券
[12:40] 它都會有
[12:41] 他們一個比較公平的水準
[12:43] 例如說公司就是
[12:44] 他的獲利狀況
[12:45] 他的體質等等的
[12:46] 現在這個產業熱不熱
[12:47] 他好歹
[12:48] 即使可能會有
[12:49] 無限上綱的時候
[12:50] 可是你大概知道
[12:50] 價值的基準線在哪裡
[12:52] 再次說實話
[12:53] 就是跟著利率走
[12:54] 然後跟著是不是
[12:55] 有恐慌走
[12:56] 對不對
[12:56] 那現在黃金呢
[12:57] 或者是你說像之前
[12:59] 我們曾經遇過
[13:01] 原油是負油價
[13:03] 負油價當時說
[13:05] 因為挖出來的
[13:06] 都已經沒有地方放了
[13:07] 對
[13:07] 所以你要交割
[13:09] 你可以直接去
[13:09] 把油拿走什麼的
[13:11] 好 富油價
[13:12] 對
[13:13] 所以我覺得商品的定價
[13:15] 它完完全全是一個市場的
[13:18] 共識以及資金的遊戲
[13:20] 所以我不能說黃金該不該漲到五千六
[13:23] 可是我們就要認清楚這件事情
[13:25] 就是黃金白銀貴金屬
[13:27] 現在就是一個發瘋的往上走
[13:28] 那你給他合理的解釋
[13:30] 有各種人為的操作之外
[13:31] 當然就是對這個世界上
[13:33] 有價資產的通膨
[13:34] 我想這個是毋庸置疑的
[13:36] 因為股市也在通膨
[13:37] 股市的三萬多點
[13:40] 其實如果你說臺股
[13:41] 有曾經配給大家那麼多的全息
[13:43] 臺股有這麼好的成長率
[13:44] 是不是很貴
[13:45] 好像又不能說它很貴
[13:47] 所以我們就是要實時觀察
[13:49] 現在盤面上的一些變化
[13:50] 以及你到底買的東西
[13:52] 是不是讓你覺得最安全
[13:53] 就像每次漢委來
[13:55] 每次我都跟他講說
[13:56] 你今天要幫我們講記憶體
[13:57] 然後像之前說
[13:59] 你今天要幫我們講PCB
[14:00] 他就會覺得
[14:01] 會不會我講成最會字白老鼠
[14:03] 但目前不是
[14:04] 目前所有的股票
[14:06] 在熱門的題材上
[14:08] 都還是有輪流創新高的一個態勢
[14:11] 所以我們回到臺股
[14:12] 以及和美股財報之後
[14:14] 我覺得最猛的就是
[14:15] 雖然我們已經凌駕在美股之上
[14:17] 可是美股的財報好
[14:19] 我們還是漲哦
[14:20] 美股的財報不好
[14:21] 我們受的傷也不大哦
[14:23] 所以你如何來看待
[14:25] 現在陸續開出來的美股財報
[14:26] 對應臺股的關係
[14:28] 對我覺得今天資訊量真的很大啦
[14:30] 第一個就是說
[14:31] 昨天美股財報
[14:32] 我覺得其實蠻多東西是可以細講的
[14:34] 但我們因為時間關係
[14:35] 所以我們就跟大家講重點
[14:37] 第一個今天早上
[14:38] 我覺得跟臺股的狀況很像
[14:39] 比方說我們最關注的是
[14:41] 微軟跟Meta的一個財報
[14:43] 那微軟財報
[14:44] 其實第一件事情
[14:44] 資本支出有增加
[14:46] 但增加幅度
[14:47] 沒有大家想象的來得多
[14:48] 所以大家覺得
[14:49] 微軟的經營車比較保守
[14:50] 那又提到說
[14:51] 記憶體的漲價
[14:52] 影響到它可能在
[14:53] Windows的一個出貨狀況
[14:55] 那也會影響它們
[14:56] 在所謂的雲端的資本支出
[14:58] 所以其實整體上來看
[15:00] 我覺得微軟並沒有講得很差
[15:01] 但大家覺得說
[15:02] 大家市場的解讀說
[15:04] 你不夠衝
[15:05] 不夠激進
[15:05] 所以股價在盤後是大跌的
[15:08] 那Meta部分是一個
[15:09] 非常激進的一個財報跟展望
[15:11] 就是說他的資本支出
[15:12] 原本市場預估
[15:13] 大概是1100億美元今年
[15:15] 就他直接把去年的700多億
[15:18] 翻倍到1300多億的高標
[15:20] 那大家過去會覺得說
[15:22] 這資本支出太過誇張了
[15:23] 現在反而覺得
[15:24] Meta非常有衝勁
[15:25] 他們是一個好公司
[15:27] 所以今天股價是大漲
[15:28] 快要10個百分點
[15:29] 所以你會發現到
[15:30] 同樣一個故事
[15:32] 因為資本支出增加了少的
[15:34] 反而市場給他一個比較大的教訓
[15:36] 那種瘋狂支出的
[15:38] 大家會覺得說你對這個未來願景夠好
[15:41] 所以股價給你比較大的一個獎勵
[15:43] 這一點我覺得其實就反映到
[15:44] 其實市場現在需要的是一個
[15:46] 非常大的想象題材
[15:47] 跟夠充的老闆
[15:49] 所以我覺得這個當然也就代表說
[15:51] 你看到整體上來看
[15:52] 今天台股我覺得
[15:53] 從美股的這兩家科技巨頭的
[15:56] 一個資本支出來看
[15:57] 你也看到臺股不一樣的一個風貌
[15:59] 第一件事情是
[16:00] 如果大家看這些高價股的表現
[16:02] 第一個散熱的建策
[16:04] 今天股價來到3000塊
[16:06] 很強
[16:06] 但是CCL的一個龍頭
[16:10] 臺光電
[16:11] 今天是出現了重挫的一個發展
[16:13] 也就代表說
[16:14] 其實同樣都是收回到資本支出
[16:16] 為什麼建策漲比較多
[16:18] 臺光電跌得比較兇
[16:19] 我覺得其實是沒有任何的理由
[16:21] 沒錯
[16:22] 所以我覺得大家
[16:23] 我剛才在想說
[16:24] 聽你講一下
[16:25] 看你是什麼
[16:25] 沒有我也想不到理由
[16:27] 臺光電也是在創高
[16:28] 創高又回檔
[16:29] 回檔每次覺得你完了
[16:31] 他又在創高
[16:32] 對啊臺灣的都快2000了
[16:33] 你能說他什麼呢
[16:34] 對啊
[16:35] 對所以我覺得現在
[16:36] 其實這種行情
[16:37] 你不要太較真
[16:38] 去認真去研究說
[16:39] 到底為什麼這樣股票
[16:41] 今天我看好了
[16:42] 它跌下來了
[16:43] 那為什麼我不看到股票
[16:44] 它漲上去
[16:44] 我說其實都沒有任何理由
[16:46] 現在我覺得就資金
[16:47] 比較偏好哪一個族群
[16:49] 哪一個題材去點火
[16:50] 它就會漲
[16:51] 所以就有點類似那種
[16:53] 要它生的生
[16:54] 要它死的就死
[16:56] 所以你看到之前
[16:57] 你像群創
[16:57] 群創在一兩禮拜之前
[16:59] 大家覺得群創很好啊
[17:00] 那現在群創跌下來
[17:02] 群創不好啊
[17:03] 面板及封裝
[17:04] 然後你的什麼等等的一些利空
[17:05] 又反映到股價上面
[17:06] 所以就像今天的聯電
[17:08] 跟世界先進也是一樣
[17:09] 昨天以前大家覺得聯電世界性非常好
[17:12] 那今天突然間又覺得它不好
[17:13] 我覺得其實都不用太過於認真去看
[17:15] 現在行情的變化
[17:16] 因為你要知道的是
[17:18] 現在的時間點離農曆封關
[17:20] 只剩下九天了
[17:21] 是的
[17:22] 對那我們不管講什麼
[17:23] 秉總關賬啊
[17:24] 主力還說自營商
[17:26] 這些所謂內資啊
[17:27] 投信啊
[17:28] 有沒有人想要結賬
[17:29] 我覺得都會有
[17:30] 所以你這時候你太去計較股價一天的漲跌
[17:33] 我覺得會讓大家自己過得很痛苦
[17:35] 所以你既然在剩下九個交易當中
[17:38] 我覺得第一個
[17:39] 你要先把國際的大方向定下來
[17:42] 國際大方向是什麼
[17:43] 現在你看美股的狀況
[17:45] 但機體是美國主流
[17:47] 第二件事情
[17:47] 昨天我們講很多的一個科技股的財報
[17:50] 含量非常的
[17:52] 這個含金量非常重
[17:53] 昨天又有艾斯摩爾財報
[17:55] 那艾斯摩爾財報跟你講什麼
[17:57] 相關的臺積電資本支出
[17:59] 這些所謂的記憶體大廠
[18:01] 你看今天美光還來臺灣
[18:02] 他們的資本支出
[18:04] 都對於接下來的半導體裝置跟材料
[18:07] 會有一個比較明顯的成長性
[18:09] 所以昨天艾斯摩爾股價
[18:10] 也是在歐洲股市裡面
[18:12] 它已經來到5000億的歐元
[18:13] 是歐股裡面市值最高的公司
[18:16] 所以今天盤面上
[18:17] 你還是可以看到臺股
[18:18] 整個所謂的半導體裝置跟材料股票
[18:21] 像那個什麼竹生科技
[18:23] 然後昨天的庸士科都大漲
[18:26] 亞翔昨天也大漲
[18:27] 亞翔又恢復上漲了
[18:29] 前一陣子有人說
[18:30] 為什麼裝置不漲
[18:31] 不是
[18:31] 它有先漲
[18:33] 只是資本支出
[18:34] 這個數字出來
[18:34] 你會發現有點利多
[18:36] 就是頓化掉
[18:37] 對
[18:37] 現在不是又漲了
[18:38] 又漲了
[18:39] 對嘛
[18:39] 就是大家都在跳波浪舞
[18:41] 對
[18:41] 但昨天也漲的加登
[18:43] 今天是重錯
[18:44] 是
[18:45] 所以你就會發現
[18:46] 你說有沒有什麼道理
[18:46] 沒有道理
[18:47] 你不用想太多
[18:48] 反正你只要知道說
[18:49] 大方向上來看
[18:51] 臺建資本支出
[18:52] 或全球的這種
[18:53] 所謂科技巨頭的資本支出
[18:54] 對臺灣的廠商
[18:56] 一定是有利
[18:56] 股價一天漲一天跌
[18:57] 你也不用太過的在意
[18:58] 只要你確定國際的大方向
[19:00] 這些資本支出不是空頭支票
[19:03] 那接下來就看大家的手氣
[19:05] 你運氣好的
[19:06] 買到竹生科技
[19:07] 連續兩天漲停半
[19:08] 你運氣不好
[19:09] 我們要夾燈你也不用氣
[19:10] 它基本上來講
[19:11] 我覺得都是成千多方的輪動
[19:13] 這個是我覺得大方向
[19:14] 你要定下來的
[19:15] 第三件事情
[19:16] 昨天還有一個大的科技巨頭
[19:18] 應該不算科技巨頭
[19:19] 美國的公用事業巨頭
[19:22] 就是通用的維諾瓦
[19:24] 它是去年美股漲幅
[19:26] 非常可觀的一家公司
[19:27] 他昨天他公佈財報也非常亮眼
[19:30] 他的這個在手訂單是有1500億的美元
[19:33] 那相關的發電啊訂單啊
[19:36] 未來的一個訂單量都是交出非常好的成績單
[19:39] 那這件事情其實也證明一件事情
[19:41] 就剛剛講的
[19:42] 你相關的電力能源基礎建設原物料
[19:45] 這些都會是未來AI資本支出裡面
[19:48] 非常重要的一個題材
[19:49] 但你看今天盤面上
[19:50] 臺股不是漲這些東西嗎
[19:52] 就不是什麼電源重電
[19:54] 對不對
[19:55] 因為我們常常講美國的電力基礎建設
[19:57] 是漲爆了
[19:58] 所以你說華晨近期
[19:59] 有創過新高
[20:00] 很合理的
[20:01] 其實很合理的
[20:02] 所以那你說
[20:03] 試電中心電
[20:04] 甚至亞力等等
[20:05] 他們好像在輪流
[20:06] 那也沒有關係
[20:06] 因為代表資金
[20:07] 他們有非常集中
[20:08] 在這個族群
[20:09] 可是如果您是有
[20:10] 這個族群
[20:10] 而且佈局在
[20:11] 比較低位階的
[20:12] 我覺得你可以
[20:13] 給他一點耐心
[20:14] 因為美國看回來
[20:15] 美國的基礎電力概念
[20:16] 真的是漲爆了
[20:17] 只能這樣講
[20:18] 對因為他們在手訂單
[20:20] 你看光一個
[20:21] 這個通用的維諾瓦
[20:23] 就有1500億的在手訂單
[20:24] 對啊
[20:24] 就是真的有訂單的
[20:26] 對 也就代表說
[20:27] 其實這些所謂的
[20:28] 華晨 試電 雅力 中興電
[20:30] 一定都接下來
[20:31] 會有美國的一個大單可以挹注
[20:33] 那也就是說
[20:34] 昨天它大漲
[20:35] 為什麼這些我們臺灣中心
[20:36] 就不漲了
[20:36] 其實你也不用太過於在意
[20:38] 因為也許明天就輪到他們
[20:40] 對 所以我覺得
[20:41] 你只要把
[20:42] 你就看好你的產業
[20:44] 不管你要看美股
[20:45] 或說看整個
[20:45] 所謂AI需求的一個帶動的方向
[20:47] 其實有些時候
[20:49] 它可能今天不反應
[20:50] 明天反應
[20:50] 後天就反應上來了
[20:52] 就比方說最近也很紅的
[20:54] 像這個藥華藥啊
[20:55] 寶瑞啊
[20:56] 這些生技的族群
[20:57] 對你除了那個
[20:58] 防疫族群另外看
[20:59] 你看這些所謂的
[21:00] 新藥族群
[21:00] 這些所謂的美國社廠
[21:02] 連美食都上來了
[21:03] 很簡單嘛
[21:04] 因為關稅降低了嘛
[21:05] 所以對他們來講
