[00:00] 欢迎收听赵怀古惑仔第1142集
[03:50] 因为韩国股市的杠杆的情况
[03:53] 跟台湾有很多不一样的地方
[03:55] 第一个因为韩国股市的风暴
[03:58] 是集中在5月27号
[04:00] 5月底的时候
[04:01] 一口气发行了16档
[04:03] 集中在海力士跟三星的
[04:05] 两倍杠杆的ETF
[04:07] 台湾目前没有任何一档
[04:09] 个股的杠杆型ETF
[04:11] 对没错
[04:11] 再来则是从海力士或三星的
[04:14] 股价的变化走势位置来看的话
[04:17] 现在呢
[04:18] 其实从波段的最高点
[04:20] 拉回到近期的低点
[04:21] 跌幅都已经超过四成
[04:23] 而且也已经跌破
[04:24] 刚刚所讲的
[04:25] 5月27号发行的位置了
[04:27] 所以对于很多
[04:28] 手上持有这些杠杆ETF轮来讲
[04:30] 它如果本身又是用融资户
[04:32] 当然就已经是直接归零了
[04:34] 因为就是强制被平仓断头了
[04:36] 那我们台湾呢
[04:38] 就目前来说
[04:39] 大家在关心的融资余额的部分
[04:42] 那我必须要讲
[04:43] 现在我们在分析融资
[04:46] 当然有一些过去的数据
[04:47] 或经验可以参考
[04:48] 可是要知道很多的融资
[04:50] 它不一定是流向到个股
[04:52] 那更多更多的情况
[04:54] 是流入到相关的ETF
[04:56] 那不管是市值型高股息
[04:58] 或者是主动型
[05:00] 那通常这些ETF即便有修正
[05:02] 它毕竟呢
[05:03] 整个跌势跌幅
[05:05] 其实没有像个股那么的剧烈
[05:07] 所以普遍来讲
[05:08] 大家手上持有的部位
[05:10] 看起来是呢
[05:11] 获利有缩水
[05:12] 账面上有缩水
[05:14] 但是呢还没有到呢
[05:15] 可能会面临到ETF也要被呢
[05:17] 追缴或断头的情况
[05:19] 那我整体来讲的话
[05:21] 我觉得台股现在融资的水位
[05:24] 虽然不是说非常非常低
[05:26] 但是真的也没有到太过热或太危险
[05:30] 那第二个呢
[05:31] 大家也常说在四代同堂当中
[05:33] 也有一个好像更惊悚的数字
[05:36] 就是在不限用途借贷
[05:38] 也就是俗称的质押
[05:39] 这一块来讲的话呢
[05:41] 其实根据统计大概
[05:43] 这个目前职业的金额
[05:45] 换算起来是超过6600亿元
[05:46] 但是呢
[05:47] 如果大家自己的经验
[05:49] 或者去跟身边的券商朋友
[05:51] 营业员稍微打听一下
[05:52] 绝大部分的券商的职业额度
[05:55] 大概在第一季
[05:56] 甚或是年初
[05:57] 就已经呢
[05:58] 职业就已经借满了
[06:00] 那你其实呢
[06:01] 在这近一两个月
[06:02] 想要去借
[06:03] 都还没额度可以借
[06:04] 那换句话说
[06:05] 如果我们用大盘指数的角度
[06:07] 先来看职业的话
[06:09] 其实大部分进场点
[06:10] 是在三万附近
[06:11] 或三万以下
[06:12] 那现在虽然呢
[06:13] 指数从48000掉到呢
[06:15] 跌破42000
[06:17] 回跌了大概有6000点
[06:19] 但是呢
[06:20] 直压的情况呢
[06:22] 它可能也没有
[06:23] 好像想象中的
[06:24] 那么惨烈倒一片
[06:25] 因为其实
[06:26] 如果你真的是在三万年进场的
[06:28] 现在也只是呢
[06:29] 账面不太舒服
[06:30] 但是也没有到那个
[06:32] 好像快要过不下去
[06:34] 或者要被抢至平仓断头的一个情况
[06:36] 对
[06:37] 所以我觉得现在比较呢
[06:38] 痛苦的或者说比较剧烈的
[06:40] 当然是在个股方面的调整
[06:42] 那整个大盘呢
[06:43] 说实在话
[06:44] 从去年的风关到今年的最高
[06:48] 最多一度指数是涨66%
[06:50] 那最近从最高到最低
[06:52] 大概修正了12%
[06:54] 坦白说
[06:54] 这还是在一个合理的范围
[06:56] 只是有时候
[06:57] 说实在话
[06:58] 因为我今天早上才看到一篇
[07:00] 券商的报告
[07:01] 写得非常专业
[07:02] 只是没有温度
[07:02] 没有温度
[07:04] 他说近期就是可能股市会是在高档震荡
[07:07] 大家有没有觉得
[07:08] 有时候这四个字
[07:09] 说的时候很轻松
[07:10] 那我刚才讲嘛
[07:12] 涨66%回跌12%
[07:14] 确实是高档震荡
[07:16] 说的是一派轻松
[07:18] 但是实际上的体感
[07:19] 有点像是面对手中有些个股
[07:22] 其实有点像末日来临
[07:23] 是不是
[07:24] 刚才想说怎样没有温度了
[07:27] 因为我们的券商报告
[07:28] 后来越来越厉害了
[07:29] 有时候写出来的用词很好笑
[07:31] 我还记得那时候讲文貌
[07:33] 就说光进珠退
[07:34] 会写出一些很有趣的形容词
[07:37] 但没有温度
[07:39] 当然是因为指数cover掉了
[07:41] 个股的跌幅
[07:41] 因为台积电说实话
[07:43] 就算有修正
[07:44] 也是小小修正
[07:45] 只是没有涨
[07:46] 他法说会前没有涨
[07:47] 没有涨
[07:47] 其实就算是某种抗跌了
[07:49] 抗跌中小型股
[07:51] 真的杀了西华
[07:52] 所以刚刚讲到
[07:53] 人家说国巨是夺魂巨
[07:55] 还说现在有种名词
[07:56] 是你好国巨
[07:57] 就是你好坑人
[07:59] 或什么之类的
[08:00] 已经腰斩了
[08:01] 很多变动元件
[08:02] 都是已经腰斩了
[08:03] 所以在个股上面的体感温度
[08:05] 跟这个大盘比起来
[08:06] 真的差异太大了
[08:07] 大盘你说跌10% 15%好了
[08:10] 但个股跌50%
[08:11] 那这边的话还是要回到
[08:14] 我想威朗也很熟悉
[08:15] 就是交易行为
[08:16] 虽然很多人的可能持股成本
[08:19] 当初在三万点好了
[08:20] 但是会沿着三万点上来
[08:23] 后面难免怎么样
[08:24] 会越加越多
[08:26] 或者是越加越贵
[08:28] 那越加越贵
[08:29] 平均成本起来
[08:31] 也许就不一定会在三万点的附近
[08:33] 导致只要回挡十个百分点
[08:35] 事实上账面就已经受伤
[08:37] 或者是回吐非常多
[08:38] 除非真的是从三万点
[08:40] 都是就all in了
[08:42] 然后报上来
[08:43] 也许感受还不一定会这么样的强烈
[08:46] 像我有看到有朋友说
[08:47] 因为金居好
[08:49] 这档股票好了
[08:50] 那时候200多不是就常常在介绍吗
[08:53] 那200多到500的时候
[08:54] 有提醒大家说
[08:55] 500了涨一倍了
[08:57] 你可以考虑原地解散
[08:58] 但后来他也很厉害
[09:00] 他下去到300多
[09:01] 又涨到700多
[09:02] 所以有很多人
[09:03] 如果说假设第一
[09:05] 好500卖掉
[09:05] 你可能赚了第一笔
[09:06] 可是下去或是在上去的过程中
[09:09] 他要到600
[09:10] 到700
[09:11] 会有一种突然觉得
[09:12] 我卖飞了
[09:13] 我应该把它追回来
[09:15] 就一追
[09:16] 就追在比当初
[09:17] 可能卖的更高的位置
[09:19] 或者是
[09:20] 虽然一开始有赚
[09:21] 但是从700又回跌
[09:22] 回400以下这一段
[09:23] 完全舍不得出
[09:25] 会觉得会再回来
[09:26] 因为上一次的经验
[09:27] 就是下去会再回来
[09:28] 所以就变成
[09:29] 可能不只是回吐获利
[09:30] 还变成赔钱了
[09:32] 我想就是随便举一档例子
[09:34] 来跟大家这样做说明
[09:35] 国巨也是
[09:36] 国巨一开始卖
[09:38] 可能会觉得
[09:39] 怎么那么早就卖飞了
[09:40] 很惻心
[09:41] 搞不好四五百就卖飞了
[09:42] 然后到了八九百
[09:43] 不太敢买
[09:44] 到了一千以上
[09:45] 突然觉得再不买来不及了
[09:48] 尤其是到了一千二
[09:49] 回跌回一千的时候
[09:51] 这个时候反而是融资
[09:53] 跟这个各家散户非常想接
[09:56] 跌破一千的国巨
[09:58] 好像变成礼物
[09:59] 之前都一路不敢追
[10:00] 所以国巨这一波
[10:02] 真的是应该是散户受伤最严重的
[10:05] 我觉得这个就是在交易行为上
[10:07] 大家可以去思考一下
[10:08] 是不是又落入了这样的一个轮回里面
[10:11] 并不是说这样做一定是错
[10:13] 如果一波涨上去的时候
[10:15] 有时候怎么做怎么赚
[10:17] 但是这次回跌
[10:18] 刚好就可以让自己思考一下
[10:20] 过去这样做
[10:21] 中间到底有没有比较适度的
[10:24] 例如说获利了结
[10:25] 或者是第二次再去追的时候
[10:27] 到底出场点设定在哪里
[10:30] 因为可能是也赔一点钱出场
[10:33] 不再是赚了不少了
[10:35] 哎呀后面卖飞了
[10:36] 而是怎么这次是受伤了
[10:39] 那要赶快出吗
[10:40] 结果没想到不出
[10:41] 后面变成不但是前面赚了都赔
[10:43] 还越赔越多
[10:44] 好这个就是在交易行为上
[10:46] 我觉得大家可以去思考一下
[10:48] 自己的出场策略
[10:49] 我倒是觉得这次回跌是蛮明确
[10:52] 可以让大家再学习一下说
[10:55] 到底中间自己停利的哪捏
[10:58] 对自己停损的设定到底在哪里
[11:01] 我觉得其实我们平常
[11:04] 就要把资产配置尽可能的拟定好计划
[11:08] 那所谓的资产配置包括
[11:10] 比如说你有多少的资金
[11:12] 然后占比放在ETF
[11:14] 那ETF里面再去区分
[11:16] 被动型 主动型 市值型
[11:19] 或者是高股息等等
[11:21] 去做一个区分
[11:22] 那个股又应该占多少金额
[11:25] 多少比重
[11:25] 个股你要买几档
[11:27] 那每一档大概分配的金额
[11:29] 这个是我们通常会去跟
[11:31] 像我的新客户
[11:33] 刚加入的时候
[11:34] 一开始就会去先做沟通的
[11:36] 一个主要课题
[11:37] 因为我认为呢
[11:38] 大家常说资产配置
[11:40] 是影响到长期胜败
[11:42] 或者是报酬率最大的关键
[11:44] 那也就表示说
[11:44] 其实这个功课
[11:46] 不是在暴跌之后才开始做
[11:48] 是平常就要做好
[11:49] 就像刚刚举例嘛
[11:50] 我们提到大盘到目前为止
[11:52] 其实是回跌大概12%
[11:53] 那主要就是因为
[11:55] 护国神山台积电
[11:56] 事实上它是撑住的
[11:57] 因为台积电呢
[11:58] 我也算了一下
[11:59] 从历史最高到最近的最低点
[12:02] 也就是上周五的低点
[12:03] 其实它只有跌9.6%
[12:05] 对
[12:05] 所以如果说
[12:06] 我们的投资组合里面
[12:08] 你有一部分是ETF
[12:09] 是
[12:10] 你有一部分是台积电
[12:11] 那当然可以有一部分呢
[12:12] 去买了国巨或群创等等
[12:14] 这个部分呢
[12:15] 最近当然就跌得比较惨
[12:17] 是
[12:17] 可是相对来说呢
[12:18] 不会好像发生就
[12:20] 一次我就直接领到毕业证书了
[12:22] 因为这个时候台积电就抗跌了
[12:25] 或者说其他ETF可能买得着了
[12:27] 还在赚钱
[12:27] 只是获利减少了一些
[12:28] 那这个时候其实
[12:30] 心里面整体的压力
[12:31] 就没那么重的时候
[12:32] 看待盘式的时候
[12:34] 会比较冷静一点
[12:35] 比较能够好好去思考
[12:37] 接下来今天明天下一步
[12:38] 我要做什么事情
[12:39] 那第二件事情
[12:40] 我觉得就是说
[12:42] 投资有时候就像我们在打球
[12:45] 其实你要有不同的战术
[12:48] 那有的时候你要进攻
[12:50] 有时候要防守
[12:50] 有时候你要超节
[12:51] 有时候你要盖火锅
[12:52] 有时候你要投三分球其实你有不同的战术那简单来讲就是说在三月份的时候因为是爆发上一次的整个系统性的风险修正所以那个时候因为已经打到一个相对的谷底了
[13:06] 所以对于很多真的好的公司
[13:09] 你可以比较偏向于就是
[13:11] 波段操作的想法
[13:13] 那经过第二季的一轮猛攻之后呢
[13:16] 其实台股跟年限之间的
[13:18] 正乖离率超过四成
[13:20] 这个数字这个乖离
[13:21] 是有史以来最大
[13:23] 是历史上最大的一刻
[13:25] 所以现在是站在一个相对高基期
[13:27] 那高基期的时候呢
[13:28] 其实对于很多
[13:29] 所谓的好公司AI龙头
[13:31] 我们可能呢
[13:32] 在思考上面会
[13:33] 慢慢的去切换模式
[13:35] 比较偏向呢
[13:36] 天秤的另外一端
[13:37] 就是我是不是要灵活进出
[13:39] 这个时候如果说
[13:40] 每一个股票因为呢
[13:42] 我悟性了
[13:42] 它就很棒啊
[13:44] 所以我就是
[13:44] 应该要一路抱到底
[13:46] 抱越久赚越多
[13:47] 那你会发现说
[13:48] 即便是像联发科
[13:51] 台达电
[13:51] 台光电
[13:52] 这些好公司
[13:53] 或者像鸿海伟创维影
[13:55] 其实你会发现
[13:56] 慢慢抱越久
[13:57] 好像就离高点渐行渐远了
[14:00] 那不是因为真正
[14:01] 他们基本面出现了什么改变
[14:03] 但是因为涨多了
[14:05] 大家都印证了
[14:06] 原来地心盈利一直都存在
[14:08] 所以还是要去做一个修正
[14:10] 所以面对这个时候
[14:11] 我觉得切换了所谓思考模式
[14:13] 就是灵活进出的时候
[14:14] 我会试着想把一些
[14:17] 就算是长期看好的股票
[14:19] 然后适时的去做收割
[14:21] 停利或停损
[14:22] 那我觉得股票呢
[14:24] 在卖出之前
[14:24] 其实就思考三件事情
[14:26] 第一件事情呢
[14:27] 就是它目前是不是
[14:30] 要进入到整理
[14:31] 那如果你觉得
[14:32] 就算长期看好
[14:33] 要进入整理的股票
[14:34] 为了追求资金效率
[14:36] 你可以呢
[14:36] 先做卖出
[14:37] 从A股票卖出
[14:39] 换到呢
[14:39] 准备要从底部
[14:40] 起涨的B股票
[14:41] 那第二件事情
[14:42] 就是去看
[14:43] 它是不是呢
[14:45] 已经有明显
[14:45] 要转弱的迹象
[14:46] 那如果有
[14:47] 我先避开风险
[14:48] 那发现呢
[14:49] 后续它其实没有续叠
[14:51] 没有什么进一步的利空的话
[14:53] 我再重新把它买回来
[14:54] 那一段一段来
[14:55] 就好比说呢
[14:56] 因为股票有涨100%的实力
[14:58] 你可以呢一段一段
[14:59] 每一段呢
[15:00] 20 30%一段一段来
[15:01] 第三件事情
[15:02] 他最近有没有新的利多
[15:03] 新的订单
[15:04] 那获得呢
[15:05] 基本面的重新评价上修
[15:07] 那如果有的话呢
[15:08] 再重新去做一个介入
[15:09] 所以也就是说呢
[15:10] 我觉得把长线看好的股票
[15:12] 一段一段切割来
[15:13] 那最忌讳就是呢
[15:15] 看到外资
[15:16] 或者是特定法人的目标价
[15:18] 被那个价格定毛
[15:20] 也就绑架了
[15:20] 就好像刚才提到
[15:22] 金居不到900不卖
[15:23] 或者说这个
[15:24] 这个联发科不到1万
[15:27] 我就是死爆
[15:27] 那其实就很容易会爆上爆下
[15:29] 好
[15:30] 就讲到出场策略
[15:31] 当然刚刚魏亮讲的很棒
[15:33] 我们这个频道
[15:34] 一直都是诉求资产配置的
[15:37] 所以当然不太希望
[15:38] 听到大家是哀嚎说
[15:40] 重压在个股上
[15:41] 导致就是现在变成非常的紧张
[15:44] 希望这样的情况能够
[15:46] 长期收听股货仔的朋友
[15:48] 可以慢慢的降低这样的频率
[15:50] 还有刚刚讲到的减压这件事情
[15:52] 我觉得很重要
[15:53] 因为我刚刚也跟魏良讲
[15:54] 我今天在干嘛
[15:55] 今天其实有一段时间
[15:56] 谈上来的时候
[15:57] 我还是把一些个股给整理出去了
[16:01] 这些个股有包括获利回吐的
[16:03] 还是赚的
[16:04] 但是没有赚那么多
[16:06] 这些个股也包括
[16:07] 可能是前一波比较追高买的
[16:09] 其实是有赔钱的
[16:11] 赔钱赚钱的就一起出去了
[16:13] 总体来说换回了一笔现金
[16:15] 那你说总报酬率不好嘛
[16:17] 是负的
[16:18] 但是不是说
[16:19] 卖掉以后赔很多钱这样的情况
[16:21] 那账面上还是留着
[16:23] 相当大部位的一些股票
[16:24] 以及本来买好的配好的债券
[16:27] 这时候就会突然想说
[16:28] 哎呀那时候卖掉了200万的债券
[16:31] 如果没有卖掉
[16:32] 那200万没有任何的损伤
[16:34] 这就是配置债券的好处
[16:36] 但如果全部都放债券上
[16:38] 3万点上来
[16:39] 大家也会觉得很formal的
[16:40] 就觉得没有赚到股票钱
[16:42] 所以一部分的债券那边
[16:44] 就是最安稳的资产
[16:45] 这段时间没有任何的受伤
[16:47] 那有另外一部分
[16:48] 就是刚刚魏良讲的
[16:49] 其实从以前到现在
[16:50] 就存了很大一个部位
[16:51] 是ETF
[16:52] 那个部分我没有在做减码
[16:54] ETF我只有加码
[16:55] 没有减码
[16:56] 今天还有再去
[16:57] 小小加一些些
[16:59] 但个股我就比较常整理
[17:01] 因为我常常讲到
[17:02] 现在个股
[17:03] 其实基本面上面
[17:05] 没有谁
[17:05] 没有谁突然之间
[17:07] 会跟你说
[17:08] 他的营收掉得乱七八糟
[17:10] 谁下个月就怎么了
[17:12] 目前真的没有
[17:13] 可是评价上面
[17:15] 变得很问乱
[17:16] 还有刚刚讲到的筹码上面
[17:18] 会变得相对比较温乱
[17:19] 所以我会讲说
[17:21] 当你会发现
[17:21] 你没有办法掌握
[17:23] 你手上个股到底怎么了
[17:24] 跌下来是要减吗
[17:26] 已经都已经套两成了
[17:28] 是不是一个好的买点
[17:30] 如果其实你心里面这个答案
[17:32] 是自己没有办法做出来
[17:33] 必须旁边的人来告诉你的时候
[17:35] 我都会建议你稍微整理一下
[17:37] 例如说假设你有两张
[17:39] 你是不是就先处理一张也好
[17:41] 不是说全卖
[17:42] 有人说我只有一张
[17:44] 有一张你是不是先卖500股
[17:46] 现在零股的交易
[17:47] 其实也是可以的
[17:48] 举例而已
[17:49] 如果你觉得扛得住
[17:51] 没有
[17:51] 我现在接下来是要再买一张
[17:53] 再买两张
[17:53] 那当然OK
[17:54] 对
[17:55] 因为我刚讲了
[17:56] 大部分只要有基本面
[17:57] 刚讲到龙头型的股票好了
[17:59] 他们的状况都还是好的
[18:01] 只是评价现在会集体
[18:03] 做一些下修
[18:04] 那你说要不要去抄底被动元件
[18:06] 这个我就不敢说
[18:07] 因为被动元件看来
[18:08] 正在历经断头潮
[18:10] 我不太确定
[18:11] 你不会被断
[18:12] 别人会不会被断
[18:13] 感到你
[18:14] 这个我真的不确定
[18:15] 所以不妨等到这个被动元件
[18:18] 真的出现了比较明确的断头的清理
[18:21] 就是你看他的融资维持率
[18:22] 是不是有一波的追缴令出来了
[18:24] 那时候你想要抄底的朋友在座介入
[18:26] 我觉得也是可以的
[18:28] 我觉得自己要还是要分辨一下
[18:30] 现在该做什么事情
[18:31] 为什么我们一开始没有特别去讲产业
[18:34] 就是因为产业上面
[18:36] 目前没有什么很奇怪的现象
[18:38] 你说刚刚提到Kimi K3这件事情
[18:41] 我朋友非常喜欢这种模型
[18:42] 还马上去买
[18:43] 马上去买
[18:45] 马上做测试
[18:46] 他说其实现在各AI模型都好用
[18:49] 都你愿意付钱的话
[18:51] 先讲免费版有变笨的嫌疑
[18:53] 但愿意付钱都好用
[18:55] 他说也好用
[18:56] 也没有说难用
[18:57] 就是用词上面
[18:58] 可能会跟这个Cloud
[19:00] 或是跟这个Trade GPT
[19:02] 会有点不一样
[19:03] 用词上面
[19:04] 毕竟是可能中国开发的
[19:06] 所以maybe会有些解释方面的不同
[19:08] 他说都好用
[19:08] 不过已经停卖了
[19:10] 他说我可能要去查证一下
[19:11] 因为我没去买
[19:12] 他说他买完之后
[19:13] 想要再去介绍人家买的时候
[19:14] 他说现在是没有了
[19:16] 受请
[19:16] 不过我觉得
[19:18] 他就是在AI发展上面
[19:19] 一定会有这样的一个
[19:20] 一定的嘛
[19:22] 你不可能叫中国
[19:23] 永远不可能推模型
[19:24] 你也不可能叫美国
[19:25] 不可能再有新的模型
[19:26] 大家都会在AI上努力
[19:27] 但不要忘记一件事
[19:29] DeepSeek那时候推出来
[19:30] 说大家真的下呆
[19:31] 还是农历年期间
[19:32] 有没有下烂
[19:33] 可是下烂之后
[19:34] 黄连勋有出来讲
[19:35] AI本来就是要普及的
[19:36] 那当然大家都要推模型
[19:38] 不管你是不是
[19:39] 用过滤人家的东西
[19:40] 或是你自己研发的内容
[19:41] 或什么的
[19:42] 总之越大的拓展
[19:44] 对AI的进步越有利
[19:45] 那对于我们这种
[19:46] 做背盘产值的
[19:48] 台湾代工厂来说
[19:50] 就更有利
[19:50] 我觉得大家先往
[19:52] 这个方向想就好了
[19:53] 所以我觉得基本面上
[19:54] 没有什么杀伤
[19:55] 那去杠杆这件事情
[19:57] 需要有点听看听
[19:58] 因为台湾
[20:00] 刚刚威良讲了
[20:01] 不会像南韩那样
[20:02] 我们的政二
[20:03] 除了0050政二
[20:04] 另外还有加权政二
[20:05] 有三党
[20:06] 三党的成交量
[20:07] 都不算太大
[20:08] 就是0050政二的
[20:10] 成交量比较大
[20:10] 接下来政府
[20:11] 就已经在限制了
[20:13] 不太浪发了
[20:14] 我们的金融商品发行
[20:16] 本来就是保守的
[20:17] 所以你说会不会造成什么
[20:19] 像韩国那样
[20:20] 死亡螺旋人才人
[20:22] 目前在我们的真二商品上
[20:24] 大家也不要担心
[20:25] 还没有看到这样的现象
[20:26] 而且刚刚魏亮还给我看一个图
[20:28] 大家买0050真二是买了多少钱
[20:30] 买在好像今年
[20:31] 19块附近
[20:33] 19块根本就还离这个段头还早
[20:35] 对如果以这个0063页来看
[20:38] 其实它单日融资增加最多的
[20:41] 就是在今年的3月31号
[20:44] 那一天呢
[20:45] 这个单日融资增加了
[20:47] 有大概10万张以上
[20:49] 可是呢
[20:49] 对应股价来看
[20:50] 其实是在19块附近
[20:52] 那现在呢
[20:53] 就算拉回了
[20:54] 都还在32元以上
[20:55] 所以我觉得
[20:56] 我们当然有这个
[20:58] 整体筹码要调整的压力
[21:00] 可是并不是说
[21:01] 全面盲目的乱杀
[21:03] 那还有刚刚聊到
[21:04] 就是中国的AI模型
[21:06] 当然我不是科技专家
[21:08] 但是从逻辑上来讲
[21:10] 因为中国本身
[21:11] 没有最厉害
[21:12] 最先进的GPU晶片
[21:14] 所以要说它的模型
[21:15] 要能够独步全球称霸武林
[21:18] 我会比较存疑
[21:19] 事实上所有的AI发展
[21:21] 当然就是必须要走向普及化
[21:24] 当然以后也会慢慢
[21:26] 有些就是专门针对
[21:28] 财力够的大型企业
[21:30] 有些是给中小企业
[21:31] 有些是给个人使用的
[21:33] 有些是在商务用的
[21:35] 有些可能是在其他的一个场域
[21:37] 所以我觉得本来就会开始
[21:39] 慢慢走向有不同功能
[21:41] 不同的模型
[21:41] 然后不同的定价策略
[21:43] 所以这个部分
[21:44] 其实整体来讲
[21:45] 应该是有利于
[21:46] 整个AI产业的发展
[21:48] 只是现在
[21:48] 就是处于一个
[21:50] 基本面跟股价脱钩的时候
[21:52] 我想我们站在
[21:54] 股市的一个长期角度
[21:56] 来做观察
[21:57] 总是会有某些时候
[21:59] 基本面会暂时无用
[22:01] 它的基本面的趋势发展
[22:04] 会跟股价呈现脱钩
[22:06] 总是会遇到
[22:07] 这样的一个情况
[22:08] 那这种情况之下
[22:09] 其实就是多静下心来去留意
[22:12] 盘面当中的机会在哪里
[22:15] 好
[22:16] 所以保有一些的现金
[22:18] 我觉得对我来说
[22:20] 还是一个比较安全的策略
[22:21] 我知道市场上很多派别
[22:22] 对不对
[22:23] 有人说你有钱就是立刻all in
[22:24] 有钱立刻all in
[22:26] 跟你把所有的积蓄all in
[22:28] 还是两件事情
[22:29] 我觉得有钱立刻all in
[22:31] 是指说每个月如果你有分配
[22:33] 本来就要放进投资金额的
[22:35] 例如你在做定期定额
[22:36] 例如说每个月你赚的钱
[22:38] 本来就有一万块两万块
[22:39] 是要投资到股市里面的
[22:41] 是长期的
[22:42] 我觉得对啊
[22:42] 那当然啊
[22:43] 每个月进来
[22:44] 你本来就要投进去
[22:45] 不要因为今天跌
[22:46] 反而不敢投
[22:47] 跌才是要投
[22:48] 那反而涨的时候
[22:50] 你犹豫也可以理解
[22:51] 今天买可能会比较贵
[22:52] 可是如果您是做
[22:53] 每个月定期定额的
[22:54] 倒是不用因为
[22:55] 现在在修正
[22:56] 就觉得那我要不要等一等
[22:58] 不用
[22:58] 我觉得那个就是
[22:59] 按照纪律继续做
[23:00] 那如果本来就是有一笔钱
[23:03] 是要在股市票市场的
[23:04] 没有打算这个all in
[23:07] 像我就是属于
[23:08] 我有一笔钱
[23:08] 可是我实在是很难
[23:10] 在股票市场
[23:10] 把我这些钱全部all in上去
[23:12] 尤其是明年要那个交屋了
[23:15] 对
[23:15] 要有一笔现金
[23:17] 是马上可以用的
