[00:00] 歡迎收聽趙華與谷貨仔的新春特別版
[05:26] 就可以拿到這些
[05:27] 而且這些人我們就已經太多了
[05:30] 我為什麼要去找你一個三一的
[05:31] 其實這個就是很簡單的一個道理
[05:33] 所以這最後就是
[05:34] 我當然是運氣好
[05:36] 我重新就當時那個環境之下
[05:38] 我還勉強先卡到再慢慢跳
[05:40] 以我們現在這個光景
[05:43] 你要進到這個研究單位
[05:45] 真的是門檻是真的蠻高的
[05:46] 所以以我會覺得
[05:48] 也許以我現在再來
[05:49] 可能我不見得進得來
[05:51] 那個觀念
[05:51] 尤其現在AI又持續在往裡
[05:54] 就是在這個產業
[05:55] 會導致需要的人
[05:57] 會不斷地降低
[05:59] 這個是我自己的觀念
[06:01] 所以我剛剛提到
[06:01] 就是說
[06:02] 剛剛提及的就是
[06:04] 知識真的是非常非常重要
[06:07] 但是我先給大家一個觀念
[06:09] 應該說我自己
[06:10] 我先講兩個比較大的重點
[06:13] 第一個就是
[06:14] 如果要講成功
[06:15] 我自己也不覺得我是成功人
[06:17] 但是從底部往上爬
[06:19] 我自己覺得我還算是一個例子
[06:22] 我自己從就學到最後進職場
[06:26] 我最後有一個很重要的總結觀念
[06:31] 就是你要對未來有看法
[06:33] 我覺得這個事情通用三個區塊
[06:37] 就是你的投資
[06:38] 你的職場
[06:40] 跟你在讀書的時候
[06:42] 你都必須要有這個理念
[06:45] 就是我常跟
[06:47] 我覺得我以前重點
[06:49] 就是對未來沒有看法
[06:50] 我為什麼會有這個事情
[06:52] 其實很簡單
[06:53] 就是很領悟很明顯
[06:56] 就是這個N年前
[06:58] 那時候我們研究特斯拉
[07:00] 那就寫報告之類的
[07:02] 後來就是因為
[07:03] 我不斷寫特斯拉報告
[07:05] 後來我就覺得
[07:06] 我是不是應該去看一下
[07:07] 車子長什麼樣
[07:08] 後來去試駕之後
[07:10] 我的概念就會覺得
[07:11] 為什麼會有一個人
[07:13] 在20年前
[07:14] 他就可以知道可以弄出一個這樣子的東西
[07:19] 而且並且把它實現
[07:20] 我覺得實現就很強
[07:22] 可是我覺得不是實現
[07:24] 為什麼他在20年前就可以看到未來會長這個樣
[07:27] 所以人家變成首富就是很簡單的道理我覺得不要去挑戰像這樣什麼你沒辦法看到20年我會覺得就我的角度常常講我們先講比較簡單
[07:38] 以職場好了
[07:39] 職場上大部分的人可能就每天
[07:42] 就上班下班
[07:44] 然後解決自己手中的事情
[07:46] 然後就一個月兩個月等領薪水
[07:48] 可我後來會發現一個問題就是
[07:51] 五年後你到底會在哪裡
[07:53] 你到底要該做什麼
[07:55] 我覺得這個是一個
[07:56] 即使是在職場上工作
[07:59] 也應該要有這種想法
[08:01] 或者是我舉一個角度
[08:05] 我覺得通常人會容易
[08:06] 被困在自己的這個圈圈裡
[08:09] 我覺得這是很直覺的想象
[08:12] 或者我舉個例
[08:13] 因為我就說以前
[08:14] 我是從這個
[08:16] 可能比較底層慢慢爬
[08:17] 以前我在大學的時候
[08:20] 我也開過計程車
[08:21] 對 好像講
[08:22] 那一集也有講到
[08:24] 對 我就說
[08:25] 所以我就說
[08:26] 當我在那個時間點
[08:27] 我瞭解的永遠是車子保養怎麼樣
[08:30] 然後要繳什麼稅
[08:31] 反正你的思維都會在那個圈圈
[08:34] 你完全跳不出那個圈圈
[08:36] 代表你沒有辦法有效成長
[08:38] 那或者是我常常可能說
[08:40] 我去攤子吃東西
[08:43] 然後發現
[08:44] 這個攤販的東西其實很好吃
[08:47] 可是我會發現
[08:48] 他們可能就是一對夫妻
[08:50] 然後辛辛苦苦從天亮
[08:52] 準備一直到
[08:54] 賣完之後很晚收
[08:56] 他回去就很累就休息了
[08:58] 那他算是一個
[08:59] 等於說我們講的
[09:01] 算是一個很好的一個模範
[09:03] 沒錯
[09:03] 但是他可能做了五年
[09:05] 十年
[09:06] 二十年
[09:06] 三十年
[09:07] 他就永遠長這樣
[09:08] 也不是說不行
[09:10] 會有個問題
[09:10] 你未來如果遇到了
[09:13] 有特別的衝擊
[09:15] 其實你是承受不了的
[09:17] 就是你必須要不斷的
[09:19] 可能想一下說
[09:20] 我今天我的東西很好吃
[09:22] 我到底五年後
[09:23] 我應該把它弄到一個什麼階段
[09:26] 就像我剛剛提及
[09:27] 我在開計程車
[09:28] 我開永遠就是開計程車
[09:30] 我沒想過說
[09:30] 我五年後到底我要進到哪一個階段
[09:34] 如果沒有會有一個很大問題
[09:36] 我剛剛講
[09:36] 你完全受不了環境的衝擊
[09:39] 我覺得這是最大的問題
[09:41] 所以我剛剛講
[09:41] 就是你對未來要有
[09:43] 我說真的
[09:45] 人不可能那麼厲害
[09:46] 你也不要說看了多遠
[09:48] 最起碼你也不要說了解世界
[09:51] 十年後二十年後要怎樣
[09:52] 我覺得那個交給其他人去煩惱
[09:55] 最起碼對自己三五年後要有一個想法
[09:58] 因為回過頭來
[10:00] 我會覺得我算幸運的
[10:02] 也不是說我現在多成功
[10:05] 是說我覺得我最幸福就是從
[10:07] 我們只有階級而已
[10:10] 我可以從很下層慢慢的往上
[10:12] 從我以前一餐
[10:14] 可能兩個人一百塊以內要搞定
[10:17] 慢慢的就是我的能力慢慢上來之後
[10:20] 你就會覺得你的生活過得是快樂的
[10:23] 我後來也領悟
[10:24] 如果尤其認識很多
[10:26] 因為你到了一個層級
[10:27] 你認識的人可能慢慢層級越來越高
[10:30] 那有些人可能天生出生
[10:32] 就是在那個層級
[10:34] 可是他一輩子可能就這樣子
[10:36] 可我也不覺得他是快樂的
[10:38] 因為他從小他就吃這樣的東西
[10:41] 用這樣的環境
[10:42] 所以我覺得人在
[10:43] 人生能夠在快樂過程當中是
[10:46] 你每可能五到十年再回頭看
[10:49] 你會發現你真的比以前強很多
[10:52] 然後你再往後看
[10:55] 你覺得應該要怎麼繼續往下前進
[10:58] 我覺得這是很大的動力
[11:00] 所以我剛剛提到
[11:01] 職場就要有那個觀念
[11:03] 就是無論你今天是上班族
[11:06] 或者是你可能是這個自營業的
[11:08] 你可能是做生意的
[11:10] 應該都要對未來有一點點想法
[11:12] 那這個有什麼好處
[11:14] 就是中間出現
[11:16] 不管出現什麼事情
[11:17] 你就知道怎麼應對
[11:18] 因為你會知道你未來應該往哪裡走
[11:21] 中間有些什麼突變的浪潮
[11:24] 你自然可以去做調整
[11:26] 那包含如果回過頭來
[11:28] 包含更前段的學生也是一樣
[11:31] 我也會跟小孩說
[11:32] 我會覺得應該說高中以前我就隨便
[11:36] 因為我覺得太小
[11:38] 你要說要叫他有什麼夢想
[11:40] 其實不太可能
[11:41] 那理論上就是高中以前
[11:43] 我小孩大部分都是
[11:44] 我覺得應該怎樣
[11:46] 所以我幫他安排好
[11:47] 然後他只要乖乖的跟著做就好
[11:49] 到高中之後
[11:50] 我就會跟他聊聊
[11:51] 你覺得你再來之後應該怎麼樣
[11:53] 尊重你的決定
[11:54] 只是有些你講出來的
[11:57] 我會告訴你
[11:58] 現實生活可能跟你想的不一樣
[12:01] 可是我覺得你管理小孩的嚴格
[12:03] 跟你自己小時候根本就不一樣
[12:05] 我的意思是
[12:06] 我們有看到很多的例子
[12:09] 叫做天崩開局
[12:10] 就他的家庭可能狀況
[12:11] 就沒有提供他好的環境
[12:13] 那米凱西有狀況比較不一樣
[12:15] 是說你的家庭
[12:16] 我覺得你父母算支援你的啦
[12:18] 是你自己
[12:19] 你自己搞壞掉
[12:20] 對
[12:20] 我比如講啊
[12:21] 他自己搞壞掉
[12:22] 唸到那個學校是那種倒掉的
[12:24] 就是你根本考不上高中
[12:25] 對
[12:26] 然後對
[12:26] 可是後來是你自己又醒悟嘛
[12:28] 是
[12:29] 但是你管理小孩
[12:30] 我在旁邊看
[12:31] 我覺得好嚴格
[12:32] 其實不會
[12:34] 我們先講這兩代的差距
[12:36] 我憑良心講
[12:37] 我家境算中等
[12:39] 不算好
[12:40] 但是覺得不算差
[12:40] 但是你父母蠻挺你的
[12:41] 對
[12:42] 不然我當時也沒辦法
[12:43] 出國去留學
[12:44] 所以家庭環境是OK的
[12:46] 但是Jade完全是無問題
[12:49] 所以你自己有問題
[12:49] 我們從後來講我都會說
[12:51] 我確實是因為進入國中之後
[12:53] 第一天報到之後
[12:55] 就遇到一個壞朋友
[12:57] 我相信啊
[12:58] 如果那個朋友現在被別人訪問
[13:00] 他也說他當天遇到了一個壞朋友
[13:02] 因為這是壞朋友的故鄉
[13:04] 他人現在還好
[13:04] 對
[13:05] 但是事實上就是真的是無問題
[13:08] 到最後都必須自己領悟
[13:11] 我領悟就反過頭來
[13:12] 但是你說我對小孩嚴苛嗎
[13:15] 其實我個人覺得
[13:16] 沒有到科啦
[13:16] 嚴格嚴格
[13:17] 我覺得還好
[13:18] 因為最主要
[13:19] 我覺得觀念
[13:21] 我是用
[13:21] 最後其實我都希望
[13:23] 他們主動
[13:23] 我不會在後面逼他
[13:25] 應該這樣講
[13:26] 我的觀念不一樣
[13:27] 就是如果今天
[13:28] 你不照做
[13:28] 我不會
[13:29] 我不會懲罰
[13:30] 我會抓你來
[13:31] 把你洗腦洗到你腦座
[13:32] 對
[13:32] 我一定有
[13:33] 我就是一定有辦法
[13:35] 洗到你
[13:36] 你願意做
[13:37] 這是我覺得
[13:38] 我簡單來講
[13:39] 我用說服的
[13:40] 我要說服到
[13:41] 你覺得
[13:41] 對有道理
[13:42] 這個就是我
[13:43] 我個人覺得
[13:44] 我有這個能力
[13:45] 而且我都是有理念
[13:47] 我要告訴他
[13:47] 現在市場上
[13:49] 回過頭來
[13:49] 我剛剛提到
[13:50] 我不希望的是什麼
[13:51] 就是就我當年遇到的事情
[13:54] 沒有人告訴我
[13:55] 我不知道
[13:55] 最後誰會教訓你
[13:57] 社會才會教訓你
[13:59] 你會出了社會
[14:00] 你會發現社會跟你想的不一樣
[14:02] 因為你還在幼學階段
[14:04] 父母給你的跟社會給你的
[14:06] 是截然不同的世界
[14:08] 那我就說
[14:08] 我當時也不知道
[14:09] 等到進到社會才發現
[14:11] 跟我想象的不一樣
[14:12] 那我就說
[14:13] 我後來領悟了再繞回來
[14:16] 甚至我就常常講
[14:17] 有時候親戚朋友的小孩
[14:19] 然後可能現在可能
[14:21] 不太聽勸的時候
[14:23] 他甚至會跟他媽媽講
[14:24] 你看叔叔後來在唸
[14:26] 其實都可以
[14:26] 現在不用那麼認真
[14:28] 我是跟他講
[14:29] 沒有沒有
[14:30] 以我當年的這種路徑
[14:33] 到現在已經被封了差不多
[14:35] 我現在再重來
[14:36] 再用那個路徑
[14:37] 其實也不
[14:38] 環境背景都不一樣
[14:39] 我那是20年前的事情
[14:41] 所以現在你突然
[14:42] 當然我還
[14:43] 當然還是跟他講
[14:44] 盡快回到正軌上
[14:46] 也不代表說一定
[14:48] 也不見得一定要限縮在什麼讀書上
[14:52] 重點你一定要找到你的強項
[14:55] 要想辦法在這個社會
[14:57] 能夠殺出一條血路
[14:59] 因為確實社會是很現實父母是很客氣社會是很現實我剛剛講我不會逼小孩做不願意的事情最後無論做什麼事情我都會不斷地講到他願意所以我剛剛提到
[15:12] 這個包含讀書
[15:13] 尤其前一段時間
[15:14] 剛好我們有一個大學生
[15:18] 然後他想學投資
[15:19] 有來跟我聊
[15:20] 然後我就聊一聊那個觀念之類的
[15:23] 那我後來發現
[15:24] 我才跟他講
[15:25] 記得一件事情
[15:26] 就我觀念
[15:27] 投資是次要的
[15:29] 你的課業或者是職場
[15:31] 遠比你的投資重要
[15:33] 因為如果你把投資當本業的
[15:36] 如果你還沒有練功到那個程度的時間點
[15:39] 其實這是一個非常錯誤的決定
[15:42] 所以我就不斷跟他講
[15:43] 你應該重點是要跟上時代
[15:46] 然後要了解AI
[15:48] 尤其是現在AI對新鮮人未來的衝擊
[15:53] 所以你高中生應該要想一下
[15:55] 你大學要做什麼
[15:57] 大學要想一下你畢業之後
[15:59] 進社會要做什麼
[16:01] 所以才會不斷的重申
[16:02] 我覺得三個層面
[16:05] 就是不論是你是就學
[16:07] 或者是在職場上
[16:09] 對未來要做什麼
[16:11] 尤其對未來五年
[16:12] 可能要有一個想法
[16:14] 我覺得這真的是一個很重要的方向
[16:16] 最後回到
[16:18] 如果這個觀念回到投資
[16:20] 那就真的太重要
[16:21] 我自己覺得
[16:22] 你只要有這個
[16:23] 你就會發現
[16:25] 投資是一個非常簡單的事情
[16:27] 或者換個角度想
[16:29] 前一段時間有個媒體問我
[16:31] 他就問我先問我投資的事情
[16:34] 問完他問我另外一個問題
[16:37] 他就說你對小孩的投資觀念
[16:41] 你怎麼幫他建立之類
[16:43] 我突然跟他講說
[16:44] 我覺得我不知道
[16:46] 我是不是合適回答這個問題
[16:48] 因為我的邏輯跟一般人不太一樣
[16:50] 因為我沒有教我小孩
[16:52] 有關投資的事情
[16:54] 他當然懂
[16:54] 是因為我每次在車裡
[16:57] 在哪裡都在跟記者講電話
[16:59] 然後講一樣的內容
[17:00] 一天要講很多次
[17:01] 所以他們聽多了大概都知道
[17:02] 可是我的意思說
[17:04] 我從來不會要特別去教
[17:05] 因為我會就我自己的觀念
[17:07] 我覺得投資是一個滿簡單的事情
[17:11] 因為為什麼
[17:11] 我可能投資人會覺得
[17:13] 有為什麼會這樣講
[17:14] 我說最主要觀念
[17:15] 因為我看清楚看透
[17:17] 其實投資要做到的事情
[17:20] 幾個架構你只要做到了
[17:22] 其實投資就很簡單
[17:24] 那重點難在哪裡
[17:26] 難在你不相信
[17:27] 我跟你講的事情你不會相信
[17:30] 那我覺得我跟小孩溝通容易
[17:33] 是因為他從小看我
[17:34] 這樣的操作是OK
[17:36] 所以我相信
[17:37] 未來等他們有收入
[17:39] 我再跟他們講怎麼做
[17:41] 他們會跟著做
[17:42] 那至於我是不是要提早帶他投資
[17:45] 我倒覺得不需要
[17:47] 所以我一直以來
[17:47] 我就說我並沒有灌輸他
[17:50] 很特別的投資觀念
[17:52] 最後就回過頭來
[17:53] 為什麼剛剛一開始提到
[17:55] 你要投資一定要對未來有看法
[17:59] 這樣簡單的一個架構
[18:01] 我覺得剛剛我們也提到
[18:04] 投資其實要的
[18:05] 我自己的觀念
[18:06] 要的是勝率
[18:08] 並不是說你一次賺多少錢
[18:10] 這是我自己的觀念
[18:12] 有些人他每個人邏輯不一樣
[18:14] 就是說操作的原則不一樣
[18:16] 所以我要前面先跟大家講
[18:18] 這個投資的策略有很多
[18:21] 我自己走的是一個波段的
[18:23] 這種所謂的策略投資
[18:25] 那我的投資也很簡單
[18:28] 就是隻要公司賺的錢會越來越多
[18:31] 我就買它
[18:32] 我其他什麼事情都不管
[18:34] 我也不管籌碼面
[18:35] 不管技術面
[18:36] 我什麼都不管
[18:37] 我只管它的獲利
[18:39] 到底下一季會不會更好
[18:40] 明年會不會更好
[18:42] 我只抓這個
[18:43] 因為我就長期而言
[18:44] 我都會覺得反正股價只要能夠上
[18:47] 應該說獲利能夠上去
[18:49] 股價未來就一定會到
[18:51] 如果你瞭解這個觀念
[18:53] 其實我剛剛提到
[18:54] 你要對未來有看法
[18:56] 那未來看法很簡單
[18:57] 就是當
[18:58] 大家跟你講一檔股票的時候
[19:00] 你必須要去瞭解到說
[19:03] 到底它未來會怎麼樣
[19:06] 那我覺得
[19:07] 投資人要記得一件事情
[19:09] 你最起碼要看到
[19:10] 半年一年以上的
[19:12] 這個未來的一個架構
[19:13] 那如果
[19:14] 或者是以我的角度處罰
[19:18] 我會投資的這個個股
[19:20] 一定是
[19:21] 我覺得最起碼是一年內是安全的
[19:23] 所以有什麼好處
[19:24] 就是老實講我也不太管大盤
[19:26] 大盤出事了
[19:29] 我的個股不會有事
[19:31] 當然股價會跌會
[19:32] 可是它在跌的過程當中
[19:34] 我會非常有信心不斷的加碼
[19:38] 因為我覺得它的EPS就是在那裡
[19:40] 今年10塊
[19:41] 明年可以13
[19:43] 有三成的成長力道
[19:44] 這個股價就是應該買
[19:46] 所以重點是因為我認識
[19:48] 而且有重點回過頭來
[19:50] 因為我有認識之後我就有信心
[19:52] 所以我大部分就是用比較長期的操作策略
[19:56] 那我覺得這個是一個怎麼講
[19:59] 我覺得如果用這樣的投資有什麼好處
[20:02] 第一就是你的心情不會受到市場的起伏影響
[20:08] 你只要抓準好你的節奏就好
[20:11] 第二呢 不管只要對的情況下
[20:15] 你的 我剛剛不斷提到就是信心跟耐心的投資
[20:19] 這是我自己的觀念
[20:20] 我最起碼我有耐心
[20:22] 而且有信心
[20:23] 而且還有第三個好處
[20:24] 就是我不會受到市場短線的
[20:27] 比如說哪裡特別強啊
[20:29] 哪裡告訴你多厲害
[20:31] 然後人家大漲
[20:32] 我那個都已經免疫了
[20:33] 因為我曾經也付了很多學費
[20:35] 哪裡強我就追哪裡
[20:37] 後來就發現
[20:38] 呃
[20:39] 不是不會賺到錢
[20:40] 是長期而言賺的錢
[20:42] 遠不及我的長期趨勢投資
[20:45] 以前應該這樣講
[20:47] 我會不會做短線的會
[20:48] 從以前我入行的時候
[20:51] 幾乎都做短線
[20:52] 然後做
[20:53] 我個人覺得
[20:54] 我常常建議投資人說
[20:56] 如果你的
[20:57] 你投資時間可能已經有
[20:59] 超過三年以上
[21:01] 如果你一直沒有長線投資
[21:04] 我會不斷勸
[21:05] 真的必須要拿一些錢
[21:07] 出來長線投資
[21:09] 不要永遠都在短
[21:10] 因為我以前這樣過
[21:11] 剛入行
[21:12] 我們這個訊息多
[21:14] 所以永遠都在做短線投資
[21:16] 然後會發現你的這個
[21:18] 你的資產永遠是上上下下上上下下
[21:21] 然後跟著指數走
[21:23] 指數上去就上去
[21:24] 指數下來回到原點之後又沒賺
[21:27] 那後來慢慢的累積一點點長線之後
[21:30] 慢慢時間累積久了之後
[21:33] 我現在的動向就會變成短線很少
[21:35] 長線為主
[21:37] 因為我放在那邊
[21:38] 最後就會變成一個投資邏輯
[21:41] 這什麼概念
[21:42] 其實選股就是我要套一句巴菲特講的
[21:45] 就是說我會買這檔股票
[21:47] 如果你沒辦法報十年就不要買
[21:50] 我個人覺得是有點
[21:51] 他當然是比較誇張的一個方式
[21:55] 但是我認同這樣的邏輯
[21:57] 我今天會買
[21:58] 我就會覺得這檔股票
[21:59] 我絕對不會因為斷線
[22:01] 誰誰誰講了什麼話
[22:04] 或者是市場發生什麼事情
[22:06] 而去做比較顯著的調整
[22:10] 因為我入場的時候
[22:12] 你要給自己幾個觀念說
[22:14] 可能我就因為這兩個點
[22:17] 或是三個點
[22:18] 所以我必須我要投資這家公司
[22:21] 未來只要這幾個邏輯
[22:24] 應該說這幾個利多沒有消失的時間點
[22:27] 你就不應該做退場的動作
[22:29] 那反過頭來啊
[22:31] 我覺得另外一個觀念就是
[22:33] 當你一開始進場要給自己一個邏輯如果那個邏輯已經不存在你就不能因為你跟他談出感情瞭然後或者是說不行了
[22:44] 因為我現在是賠錢的
[22:46] 就我的角度
[22:47] 我也跳脫那個範圍
[22:48] 我覺得時間
[22:50] 我原本預期
[22:51] 比如說我預期說
[22:52] 他這一季就會有多大的成長
[22:55] 結果後來發現
[22:56] 我真的預估錯誤了
[22:58] 然後會導致
[22:59] 我就必須要做這個退場動作
[23:02] 哪怕是賠錢
[23:02] 所以回過頭來
[23:04] 我常常講了
[23:05] 你只要對投資而言
[23:07] 你只要對未來有遠景
[23:09] 你知道這家公司未來
[23:11] 可能這一兩年
[23:13] 甚至兩三年之後
[23:14] 它會變成什麼樣子
[23:16] 然後呢
[23:17] 中間的過程就不怕震盪
[23:18] 然後把時間
[23:19] 把這個時間換空間
[23:22] 然後把資產的部分
[23:23] 可以慢慢累積
[23:25] 其實真的資產的部分
[23:27] 真的是需要時間的
[23:29] 是急不來的
[23:30] 當然換個角度講
[23:32] 如果今天真的是社會新鮮人
[23:34] 你一開始內統金
[23:35] 真的比較低的時候
[23:37] 你相對而言
[23:38] 我剛剛講的
[23:39] 可能你會比較無感
[23:40] 你必須要槓桿去做一些操作
[23:43] 我就會覺得如果年輕族群
[23:44] 你就必須槓桿操作
[23:46] 而且我剛剛提到
[23:47] 你自己的本業要認真
[23:49] 因為你必須要本業有了
[23:51] 收入之後
[23:53] 你才能夠慢慢累積內統金
[23:55] 然後再用
[23:56] 等於說一開始慢慢累積內統金
[23:58] 順便用一點點的槓桿操作
[24:01] 所以我剛剛提到
[24:02] 前面兩三年你可以用一點點槓桿操作
[24:05] 慢慢久了之後
[24:06] 稍微有點資產之後
[24:07] 你就可以慢慢開始撥一點資金
[24:09] 去移到所謂的長線投資
[24:11] 在這個格局之後
[24:13] 你會慢慢的你會發現你的
[24:15] 所謂長線投資會慢慢變大
[24:18] 我會覺得這是一個
[24:19] 怎麼講
[24:20] 就整個長期投資的一個觀念
[24:24] 我也很少
[24:24] 就我們同業
[24:26] 我也很少見到
[24:27] 就是做了很久之後
[24:29] 然後還很大量的資金
[24:31] 在短線進進出出的
[24:33] 答案們也都是
[24:34] 對
[24:34] 我覺得就算
[24:36] 無論每個人的操作邏輯不同
[24:39] 比如說朱老師
[24:41] 他用技術面
[24:42] 或小哥用籌碼面
[24:45] 他們都有一塊長線投資
[24:46] 他們也都會有一塊
[24:47] 穩定投資
[24:48] 穩定投資
[24:49] 應該說穩定投資的架構
[24:51] 所以我常常跟大家講
[24:52] 當你等時間點到了
[24:55] 或資產稍微有一點點基礎之後
[24:58] 一定要慢慢轉向這個長線投資
[25:01] 至於長線投資的策略
[25:02] 剛剛提到很簡單
[25:03] 你要對未來有遠景
[25:06] 不是說人家跟我講了
[25:09] 他有多厲害
[25:11] 記得如果你自己不做功課
[25:14] 你就沒有信心
[25:15] 所以呢
