[00:00] 欢迎收听赵华宇古惑仔第1057集
[02:30] 周末又有这些纷纷扰扰
[02:32] 礼拜一应该要大跌吧
[02:33] 结果没有
[02:35] 礼拜一是小跌
[02:37] 但是小型股状况非常好
[02:39] 那今天指数上来
[02:41] 因为台积电今天出席
[02:43] 按照惯例
[02:44] 秒填席嘛
[02:45] 因为才六块钱
[02:46] 对不对
[02:47] 好
[02:47] 秒填席之后呢
[02:49] 大家有发现
[02:49] 今天盘面上
[02:50] 围绕在所谓GTC上面的
[02:53] 股票
[02:54] 非常的多
[02:55] 中小型股
[02:56] 不管是你说散热股也好啦
[02:59] 这种光通讯股
[03:00] 今天是有点辛苦
[03:01] 等一下也会来讲
[03:02] 光通讯股
[03:03] 因为黄仁勋也讲了一件事
[03:05] 他也是讲到
[03:06] 铜这件事情还是很重要
[03:08] 并不会马上不用
[03:09] 所以今天的CPU是有点压力
[03:13] 但他有非常的强调
[03:15] CPU是一定要用的
[03:16] 那被动元件
[03:17] 在日本春田说要涨价的情况下
[03:20] 今天被动元件是有动的
[03:21] 那当然最亮眼的是记忆体
[03:23] 我想穿插在GTC里面
[03:26] 对于容量记忆体这方面的需求
[03:29] 绝对是非常的大
[03:30] 再加上台湾时间3月19号
[03:33] 美光要公布财报
[03:34] 这件事情也对最近的记忆体有所激励
[03:37] 以及昨天以鼎
[03:38] 这个可怕的可怕的公司
[03:40] 单月字节结束16.22的EPS
[03:44] 这实在太可怕了
[03:45] 所以今天盘面上有点百花齐放
[03:48] 好 这边的话来请教韦泰
[03:50] 我们先来讲总体
[03:51] 总体来看
[03:52] 台股现在算是离开美伊战争的阴霾吗
[03:57] 好像就尽情的往所谓的科技股去了
[04:01] 是的
[04:02] 我们看到在昨天晚上
[04:04] 应该说从美国开始
[04:07] 我们就发现到在整个科技股有出现回升
[04:10] 因为在四大指数的部分
[04:12] 包括像是纳斯达克还有飞半
[04:15] 他们的一个上涨的一个百分比
[04:18] 其实都超过了这个S&P500跟道琼工业指数
[04:22] 那所以我们认为说在整个就是美国跟伊朗的一个战事
[04:27] 虽然说目前看起来有一点点胆气脱棚
[04:30] 但是呢至少我们看到就是他没有再进一步的恶化下去
[04:34] 那至于油价的部分呢
[04:36] 在近期也看到油价没有再创新高
[04:40] 然后呢会出现一个高档震荡
[04:42] 但是也没有回到之前的就是每桶70美元这样子的价位
[04:47] 所以在这样子的一个情况之下
[04:49] 我觉得在股票市场里面
[04:52] 似乎找到了一点喘息的空间
[04:54] 那么在这个喘息的空间的情况之下
[04:57] 刚好我们又看到这个GTC大会的登场
[05:01] 那所以使得在市场上面
[05:03] 这个资金或者是投资人的目光
[05:05] 又重新聚焦在整个科技股上面
[05:08] 那么在之前应该是说在整个
[05:12] 就是二月份三月份曾经历经过的一些的一个拉回做修正
[05:17] 反而最近一些科技股
[05:20] 他们的股价有些其实在相对的低打
[05:23] 那么也就是因为股价有稍微做过修正
[05:27] 再加上对2026年的展望
[05:30] 还算是相当不错的情况之下
[05:32] 使得他们目前看起来
[05:34] 他们的一个本益比要有做过修正
[05:37] 有些的本益比已经修正到25倍
[05:40] 甚至到20倍以下
[05:41] 那这部分就会吸引了一些
[05:44] 即便是它的操作的心态
[05:47] 是比较稳健的投资人
[05:49] 也在这边愿意去进行一个低阶
[05:51] 所以使得在整个台北股市
[05:54] 我个人的判断
[05:56] 是属于这个上有锅盖
[05:58] 然后下有铁板的一种
[06:00] 横盘的一个区间整理架构
[06:02] 那么既然是这个横盘的区间整理架构
[06:06] 那当然了
[06:07] 这个个股的一个表现
[06:09] 其实就会优于指数
[06:11] 所以我们认为说在接下来
[06:13] 整个这个市场上面的一个氛围
[06:16] 也沒有在進一步的一個惡化情況之下
[06:19] 非權值股的部分
[06:21] 或者說在中小型股的一個部分
[06:23] 這邊來講可能會
[06:25] 相對的比較成為市場上面的操作重心
[06:28] 所以我們可以看到
[06:29] 在整個OTC的一個部分
[06:32] 在OTC的一個指數
[06:34] 在今天已經領先創下了就是波段性的新高
[06:38] 那麼之前的高點是在這個3月初
[06:41] 但是現在已經越過3月初的高點
[06:44] 那反倒是呢
[06:46] 在整个加权指数的部分
[06:48] 加权指数在今天有往上
[06:51] 收盘是上涨494点
[06:53] 但是距离历史的高点
[06:56] 35579还有一段距离
[06:58] 所以我觉得在目前看起来
[07:01] 市场上面的一个氛围
[07:03] 其实并没有特别的偏空
[07:06] 只不过之前在先前
[07:08] 有一些高档套牢的投资朋友
[07:10] 这边在寻求解讨
[07:12] OTC
[07:13] 它的高点在2000年的4月
[07:16] 那时候是329点
[07:20] 因为那个时候
[07:21] 涨的公司跟现在的公司
[07:23] 有一些重叠
[07:24] 谁呢
[07:24] 就是光通讯
[07:25] 他们在那时候
[07:27] 也许不见得很赚钱
[07:28] 但是就狭带着
[07:29] 未来的明星之姿
[07:31] 涨翻天
[07:32] 现在光通讯就化身为了CPU
[07:34] 也是涨翻天
[07:36] 所以这个是很有趣的一个现象
[07:38] 但刚刚也讲到
[07:39] 如果大家看今天的CPU
[07:40] 说实话涨很多了
[07:41] 在这个普通的财报出来之后
[07:43] 我本来以为会有一个比较明显修正
[07:45] 但修正都不太多
[07:46] 那今天是因为挥达没有在CPU上面
[07:49] 讲出非常非常振奋
[07:51] 所以今天又因为涨多
[07:53] 大家又陆续回档
[07:54] 好不过呢
[07:55] 韦泰这边也讲到
[07:56] 目前你要突破这个上市指数的新高
[08:00] 可能他有一点吃力
[08:01] 因为现在外资对于台股
[08:03] 还是比较一个疲弱的状况
[08:05] 是因为一方面我觉得美元太强了
[08:07] 台币已经到这个32块钱了
[08:10] 所以难免我觉得外资会站在卖方
[08:12] 以三月来说
[08:13] 已经从台股就是卖了六千亿以上
[08:16] 然后第二个当然是因为
[08:18] 我们常常讲台美股之间的差距
[08:20] 实在是拉得太远
[08:21] 那外资有时候会评估
[08:23] 美股现在的一个情况
[08:25] 对不对
[08:25] 来做一些平衡
[08:26] 而不会说已经在大涨特涨的区域
[08:29] 它不断地撒钱
[08:30] 所以这两件事情
[08:32] 我觉得它都有一点影响到
[08:33] 外资对台股的态度
[08:35] 可是因为内资实在太厉害了
[08:37] 所以中小型股就不断地涨
[08:38] 不断地涨
[08:39] 因此在指数上面也许要过前高
[08:41] 可能目前看起来
[08:43] 区间震荡的机会比较高
[08:45] 可是个股能不能一个
[08:46] 就是杀下来之后重新创高
[08:48] 就还蛮多的
[08:49] 而且前几天有跟大家分享一件有趣的事情
[08:52] 就是虽然我对记忆体比较不在行
[08:55] 可是看到记忆体现在在展现一个威力
[08:58] 就是字节数字很漂亮
[09:01] 或者是券商愿意加持
[09:03] 他们未来的情况很好
[09:04] 假设是旺红账
[09:05] 然后他们的形态
[09:07] 形态强势的真的都率先创高
[09:10] 真的很猛
[09:11] 望红与瞻
[09:12] 对不对
[09:13] 我们常常讲这几档
[09:14] 今天威刚也上来了
[09:15] 所以等于是
[09:16] 他们如果能够在形态上
[09:18] 陆续做突破的话
[09:19] 那他们就会相对表现的更加强势讲来讲去就是有一点是指数上面就算大盘没有过在个股上面可能也不要错过的一个情况那最近几天也还是有陆续的人会传讯息给赵华说
[09:33] 很风谋啊
[09:34] 手上抱的股票都是没有涨的
[09:36] 那还是强烈建议
[09:37] 假设您真的是天天都有听股货展
[09:40] 因为大家的起手式都是天天都有听
[09:42] 那我想我们怎么样让我们的资产平衡
[09:46] 这件事情真的是每天都在千交代万交代
[09:49] 如果您的股票大部分都会压在
[09:52] 没有涨的弱势股上
[09:54] 你会很痛苦
[09:55] 对不对
[09:56] 所以呢
[09:56] 尽量了解
[09:58] 现在就是AI趋势风
[10:00] 照样在吹
[10:01] 那热门题材就是这些
[10:04] 记忆体
[10:05] 细光子
[10:05] 低轨卫星
[10:06] 半导体设备
[10:08] 散热
[10:09] 就是你抢得出来的
[10:11] 绝对都围绕在AI上面
[10:13] 你要不就是布局一些个股
[10:15] 在这个上面
[10:15] 要不你就让主动式的ETF
[10:17] 帮你去追标股
[10:19] 那你喜欢的那些
[10:21] 你觉得弱势的可能快发动了
[10:22] 反正它已经很有价值了
[10:24] 你想要抱着
[10:26] 你可以解码一些些
[10:27] 换到积极型的
[10:28] 让你的FOMO感不要这么重
[10:30] 对
[10:30] 因为每天这样讲
[10:31] 每天这样讲
[10:32] 然后还是会不断的有人
[10:34] 我觉得可能想要被我念
[10:36] 因为后来我有念
[10:36] 念完之后他就说
[10:37] 谢谢你
[10:38] 我觉得很
[10:38] 就是你讲得很好
[10:39] 太好了
[10:40] 好哦
[10:43] 我们先回到GTC上面
[10:45] 好
[10:46] GTC的话
[10:47] 当然有一些重点
[10:48] 例如说他之前就有提过
[10:50] AI是五层蛋糕
[10:51] 对不对
[10:52] 能源晶片
[10:53] 这个基础设施模型应用
[10:55] 当然这个基础设施
[10:56] 现在有一些相关的大型股
[10:58] 是比较长不动
[10:59] 好不过呢
[11:00] 这个基础设施
[11:01] 如果包含电力的话
[11:02] 那很多美国的电力基础设施
[11:04] 是长很多
[11:05] 当然这个也可能是跟能源有关
[11:07] 好
[11:08] 那他就讲到了
[11:08] 未来要投资多少呢
[11:10] 要投资到一兆美元
[11:11] 一兆美元
[11:12] 32兆台币的投资额
[11:15] 他说2026年就有5000亿美元了
[11:18] 2027年就会有一兆美元的投入
[11:21] 那还有他的晶片
[11:22] 从这个Villa Rubin
[11:24] 对不对
[11:24] 到刚刚讲到Feman
[11:26] 就是费曼
[11:26] 那一开始我看到费曼的时候
[11:28] 想说是在讲那个理查费曼吗
[11:30] 真的耶
[11:31] 是物理学家理查费曼
[11:33] 那小时候有一本书影响我很深
[11:36] 大家有兴趣
[11:36] 现在应该都还买得到
[11:38] 应该就是长销书
[11:39] 真的长销非常非常多年了
[11:40] 他就是叫做
[11:42] 别闹了费曼先生
[11:44] 别闹了费曼先生
[11:46] 这个翻译也翻译得很好
[11:48] 就是简单一懂一读
[11:50] 不见得念完
[11:51] 你就是物理学大师不会
[11:52] 但他是有一些为人处事上的一些
[11:55] 他独特的想法
[11:56] 我觉得很棒
[11:57] 小时候两本书影响我
[11:58] 一个就是别闹了费曼先生
[12:00] 一个叫做所罗门王的指环
[12:02] 所罗门王指环是一个生物学家老伦兹
[12:05] 那也终身影响了我对动物的想法
[12:10] 怎么讲到书上面来
[12:12] 怎么回到GTC大会
[12:13] 所以这边的话
[12:14] 让这个韦泰来讲一下
[12:16] 因为韦泰说他今天早上
[12:17] 本来要跟股东前朝现场连线
[12:20] 结果看这个GTC看到忘记了
[12:22] 所以忘记了现在要赎罪
[12:25] 所以GTC里面看到哪些亮点
[12:28] 有连接到台股未来的走势
[12:30] 好的
[12:31] 这一次的GTC大会
[12:33] 其实我个人认为
[12:36] 平心而论
[12:37] 70%或者是80%
[12:40] 相关的内容
[12:41] 其实在台北股市的一个产业上面
[12:45] 基本上都有做过发销了
[12:47] 包括刚刚所提到的所谓的CPU
[12:51] 那所以呢
[12:52] 在今天呢
[12:53] 黄兰勋先生没有特别提到CPU的一个
[12:56] 这个更远的一个发展情况之下
[12:59] 就有一点点
[13:00] 类似力多实现的一个味道在
[13:03] 那其他的呢
[13:05] 还包括了像是这一个义冷
[13:08] 还有提到义冷
[13:09] 义冷的一个部分
[13:10] VRubin 100%义冷
[13:11] 对100%的义冷
[13:13] 但是这件事情
[13:14] 义冷的族群
[13:15] 其实在台股里面
[13:16] 也说实话
[13:17] 也漲了很大一段 包括像是3017的
[13:21] 起紅 那麼在今天
[13:23] 有漲
[13:24] 股價也創下了這個破段新高 但是
[13:28] 它的整個的這個收盤價
[13:31] 是有出現這個漲幅收斂
[13:33] 而且在K線上是有出現比較明顯的
[13:36] 一個上影線
[13:38] 那其他的包括像是這個雙紅
[13:41] 或者是說像是這個高麗
[13:44] 还有像是一些包括像是富士达等等
[13:49] 他们的股价在今天上半场都表现不错
[13:53] 但是下半场都有出现就是
[13:55] 卖压涌现的情况
[13:57] 所以我个人倒认为说
[13:59] 这件事情其实它比较是放在
[14:02] 长线的眼光去看
[14:04] 短线上面或许它有一点利多的实现
[14:07] 但是如果说从这次GDC大会
[14:11] 他所提到的一些所谓的一轮的
[14:13] 这个相关的一个设计的话
[14:15] 我个人觉得其实如果说有拉回
[14:18] 基本上我还是会觉得
[14:20] 是可以去做一个留意
[14:22] 那只不过呢
[14:23] 因为这一次的这个一轮的
[14:25] 这种所谓的一个设计
[14:27] 似乎跟以前又不太一样
[14:29] 所以我觉得在这部分来讲
[14:32] 可能一些跟过去比较不一样
[14:35] 比较少听到的一些这个公司
[14:38] 或许他有新接到订单的机会
[14:40] 那我们认为说
[14:41] 例如说像是富士达
[14:43] 富士达呢
[14:44] 他之前是在做这个
[14:45] 折叠手机的一个走程
[14:47] 那结果呢
[14:48] 他这个这次也是切入到
[14:51] 所谓的艺人相关的一个
[14:53] 就是那个街头
[14:54] 那目前市场上面
[14:57] 以法人的角度来看
[14:58] 就是有特别做这种
[14:59] 所谓利基型街头的
[15:01] 其实会比
[15:01] 做那种所谓模组厂商
[15:03] 他们的一个margin
[15:05] 还要来得更大
[15:06] 所以我觉得接下来
[15:07] 不管是像是富士达
[15:09] 或者其他相关的
[15:10] 例如说像高丽
[15:11] 这种相关的
[15:12] 这种比较力气型的一个小厂
[15:14] 他们在整个的一个
[15:16] 后市的一个爆发力上来讲
[15:18] 可能会比较值得我们期待
[15:21] 好
[15:22] 就是因为他有讲到全一冷
[15:24] 大家也都还有印象
[15:25] 记得去年不知道为什么
[15:26] 华文先生讲了一下
[15:27] 说以后那个机柜外
[15:29] 不一定要用到这么高温的一冷
[15:30] 什么45度可以散热等等的
[15:32] 可是后来就有讲
[15:33] 还是需要一冷的
[15:34] 大家在那个时候
[15:36] 把散热好像就看得一文不值
[15:38] 可是像散热的几家厂商
[15:40] 他们每一个月
[15:41] 缴出来的那个成绩单
[15:43] 是非常非常吓人的
[15:44] 所以有时候我们在遇到
[15:46] 有一些公司
[15:48] 出现了题材上的利空
[15:50] 回头来看基本面的时候
[15:52] 你会发现真的可能
[15:53] 那就是所谓的错杀股
[15:54] 那当然现在散热都回来了
[15:56] 包括像建策
[15:57] 都已经创历史新高了
[15:59] 今天还说涨停板
[16:00] 今天高价股真的很猛
[16:01] 影威
[16:02] 影威快要7000块了
[16:04] 信华
[16:04] 这个贵买厉害是因为
[16:06] 我们现在台股股王
[16:08] 在贵买
[16:08] 信华今天是涨停板
[16:10] 现在是一万一千多块钱的股票
[16:13] 一万一千多块钱
[16:15] 就是买一张现股
[16:16] 要一千多万
[16:17] 所以现在以下开放
[16:21] 手上有整张信华的人
[16:23] 讲一下你们的感觉是什么
[16:26] 实在太强
[16:27] 就跟当年抽到宏镜
[16:28] 也没有当年
[16:29] 几个月前抽到宏镜
[16:31] 宏镜我记得挂牌
[16:32] 一千多块钱
[16:33] 后来涨到四千块
[16:34] 抽到宏镜
[16:36] 到底有什么感觉
[16:37] 好
[16:37] 散热是其中一个
[16:40] 但另外的话
[16:41] 比较多
[16:42] 其实他有逐末是在软体
[16:44] 但软体
[16:45] 你说要连到台股上面
[16:46] 可能就要看一下
[16:48] 市场资金的风
[16:49] 因为离我们比较远
[16:51] 但是有没有台湾的软体
[16:52] 到底跟AI有没有关系
[16:53] 当然是有的
[16:54] 台湾软体股
[16:55] 一定多多少少
[16:56] 在这个代理上面
[16:58] 对不对
[16:58] 不管代理辉达的商品
[17:00] 或代理有一些云端大厂的商品
[17:02] 在代理商品上面
[17:03] 他们一定也会有更多
[17:05] 跟AI紧密结合的东西
[17:07] 但是台湾的软体股
[17:08] 目前在自我的开发上面
[17:10] 它还是比国外大厂
[17:12] 稍微弱一些些
[17:13] 我觉得这个就是
[17:15] 软体股的
[17:16] 比较硬伤的地方
[17:18] 可是也因为
[17:19] 他们的交易量通常比较小
[17:20] 有时候市场资金一吹过来
[17:22] 以前我们也发生过
[17:23] 软体股一涨
[17:24] 就是两倍三倍涨上去
[17:25] 那还有一个小优势
[17:27] 就是蛮多软体股
[17:28] 其实他们都有
[17:29] 所谓的殖利率题材
[17:30] 那最近大家发现像通路股
[17:32] 一公布股息
[17:33] 确实反应不错啊
[17:36] 对不对
[17:36] 像连强他这个公布财报
[17:39] 然后也讲到今年的成长
[17:40] 曾以强公布股息三块
[17:42] 今天是一根涨停板
[17:44] 所以大家也可以留意到
[17:45] 最近真的是有许多成绩的
[17:48] 或者是说
[17:49] 其实跟AI题材
[17:50] 也稍微可以沾上边的股票
[17:52] 他公布股息还可以的时候
[17:54] 是会往上走的
[17:56] 当然这股息的前提是比较大方
[17:58] 以及有讲出对今年好的展望
[18:00] 大联大
[18:01] 最近有法说
[18:02] 状况也是让大家很期待
[18:04] 之前位阶也相对比较低
[18:06] 所以如果大家对GTT
[18:08] 大家会连接到软体股
[18:10] 觉得好像没有那么明显的话
[18:11] 我倒是觉得他们的股息
[18:13] 搞不好会助一臂之力
[18:15] 我觉得这个是大家可以来留意的
[18:17] 好那当然里面
[18:18] 今天黄仁勋
[18:19] 当然也秀了那一只龙虾
[18:22] 那只龙虾它的起源
[18:24] 是因为之前有一个很红的AI工具
[18:26] 叫OpenClar
[18:27] 这个Open龙虾
[18:29] 给个人的AI助理
[18:30] 那因为这个东西
[18:32] 很红
[18:32] 所以黄仁勋就思考
[18:34] 他来了一个尼莫可拉
[18:36] 尼莫是小丑鱼
[18:37] 不过这个尼莫可拉
[18:39] 它就是比较
[18:40] 否企业端的一个平台
[18:42] 所以目前
[18:43] 你说要不要从这个平台
[18:44] 连接到台股的个股公司可能目前比较没有看到这样的现象是不是能够让大家消费者能够直接用到他们这个所谓开放式的结构来问问题
[18:56] 像Gemini或者是GPT
[18:58] 那大家可以来看看
[18:59] 有没有这样的运转的可能性
[19:02] 那当然他要讲到太空资料中心的时代要来临
[19:04] 所以今天像申达科也是叠了一阵子之后
[19:08] 今天涨停板
[19:09] 所以看起来低轨卫星太空
[19:12] 也有在黄仁勋的GTC里面
[19:14] 被怎么讲
[19:15] 也被点火
[19:16] 对
[19:17] 今天在这个GTC大会里面
[19:20] 其实他讲的这个范畴
[19:22] 其实算是蛮广的
[19:24] 所以我才会觉得说
[19:25] 今天有人问我说
[19:26] 键盘怎么看
[19:27] 我说键盘有点乱
[19:28] 对对对
[19:29] 因为就很散
[19:30] 对
[19:30] 它是非常散的
[19:32] 所以你说
[19:33] 散热有动
[19:34] 但是没有动全部
[19:35] 然后你说
[19:36] 这个记忆体
[19:38] 记忆体有动
[19:39] 但是也并不是说
[19:40] 完全没挡
[19:40] 都长听半
[19:41] 然后在刚刚所提到的
[19:43] 这个PCB的部分
[19:44] PCB今天其实如果说就单纯就
[19:47] 刚提到PCB的部分
[19:49] 那其实以华通来讲
[19:50] 低轨卫星的指标股华通
[19:53] 它今天的一个股价
[19:55] 就好像云霄飞车一样
[19:57] 这个早盘开高
[19:59] 然后震荡洗刷两个cycle
[20:01] 然后尾盘再拉上去
[20:03] 像这样子的一个股价的一个波动
[20:06] 我其实很难想象
[20:08] 因为它是华通
[20:09] 因为过去华通它的股性
[20:10] 其实我想赵凡应该也是知道
[20:13] 就是他的股息并不那么活泼的
[20:15] 就没想到
[20:16] 一飙就不停了
[20:18] 对这次的这个
[20:18] 不仅是波段的上涨
[20:21] 让人家觉得讶异
[20:22] 甚至呢
[20:22] 他连这个今天单日的这个
[20:25] 所以盘中走势
[20:26] 都让人家觉得非常的一个
[20:28] 就是感到惊艳
[20:30] 那所以呢像是华通啊
[20:32] 这些跟这个PCB相关的一个族群的部分
[20:36] 今天有蛮多的个股都是有出现
[20:38] 就是上冲下起的一个情况
[20:40] 那这部分我其实比较建议大家
[20:43] 就是说在操作上来讲
[20:45] 同样是涨多
[20:46] 我想同样是涨多的情况之下
[20:49] 我反倒认为
[20:50] 刚刚赵宝所提到的IC通路
[20:53] 我觉得是比较稳健的
[20:55] 怎么说呢
[20:56] 其实刚刚赵宝已经有说了一半了
[20:57] 就是说这些所谓的IC通路商
[21:00] 他们过去基本上
[21:01] 第一个获利算是稳定
[21:03] 算是毛利率不是很高
[21:05] 因为毕竟是指通路商
[21:06] 他去做买进跟卖出的动作
[21:08] 但是他们在整个配息的一个部分来讲
[21:13] 事實上也都算是對投資人來講算是大方
[21:16] 所以我覺得在這樣的情況之下
[21:18] 會吸引了一些法輪會去進場做一個佈局
[21:22] 回到基本面的部分
[21:24] 因為現在大家比較常聽到
[21:27] 叫做所謂的半導體通膨
[21:29] 晶片通膨
[21:30] 有誰
[21:31] 所以從前陣子我們聽到
[21:34] 連成熟製程都要漲價
[21:36] 成熟製程漲價的情況之下
[21:39] 他基本上呢
[21:41] 呃在過去呢
[21:42] 就是代理這些承受製程晶片相關的通路商
[21:46] 因為他的這個產品的 ASP
[21:49] 也就是平均售價的部分會有機會拉高
[21:52] 那麼對這一些
[21:53] 不管他有沒有所謂的低價庫存啊
[21:55] 先不管如果有最好
[21:57] 如果有低價庫存的話呢
[21:59] 他的整個的一個獲利
[22:00] 就會直接的往上去做一個增加
[22:04] 如果沒有低價庫存
[22:05] 光是在賣這些新鮮的貨
[22:07] 他的這個因為 ASP 拉高了
[22:09] 它的这个营收也会成长
[22:11] 那在这种情况之下
[22:12] 它的获利也会出现比较明显的一个增加
[22:15] 所以大家可能没有注意到
[22:18] 就是说例如说像是3702的大联大
[22:20] 大家可能注意到它今年涨停板
[22:23] 或者是说它这个法税会的消息
[22:26] 可是如果说你从它的股价来看
[22:28] 其实它的股价从2月中2月底开始
[22:31] 就直接从60几块钱
[22:33] 涨到今天收盘90块钱
[22:35] 才短短的一个月的时间涨三成
[22:38] 那也不是无稽之谈
[22:40] 为什么
[22:41] 因为其实如果说
[22:41] 从他的营收的一个表现来看
[22:44] 他们在今年
[22:45] 他们在今年的这个营收的一个数字上来看
[22:48] 其实上市表现相当相当亮眼的
[22:51] 他在二月份的营收
[22:53] 虽然说是月减
[22:55] 但是其实他是月减年增
[22:58] 那一二月份两个加起来
[22:59] 基本上也都是呈现了明显的一个成长的一个情况
[23:03] 累计月营收是26.1%的一个成长
[23:07] 那另外来讲呢
[23:08] 像是这个3036的文艺
[23:10] 它成长了更多
[23:11] 但是我觉得它成长更多
[23:13] 另外一个原因是因为它合并
[23:14] 它合并了一家外国子公司Future
[23:17] 那所以在这部分呢
[23:18] 它的营收大幅度成长情况
[23:20] 但是它其实交出来的
[23:22] 这种所谓的获利的一个数字
[23:24] 预估也是有出现比较明显成长
[23:27] 好
[23:27] 那为什么讲那么多的
[23:29] 这个号称黄金右下角的
[23:32] 韦泰老师
[23:33] 还要去讲他
[23:34] 韦泰老师现在的脚啊
[23:36] 因为他可以踢得很高
[23:37] 有拉筋
[23:39] 所以他现在有分两种
[23:41] 一个是准备要踢
[23:42] 就是黄金月下脚
[23:43] 其实你在我们节目
[23:44] 我们已经这样运作一段时间了
[23:46] 但另外一边你就是符合
[23:47] 他其实形态相对好的
[23:49] 对
[23:49] 然后踢起来了
[23:50] 踢起来之后还能再踢更高
[23:52] 踢到你的头上这样子
[23:54] 对
[23:54] 好
[23:54] 主要原因是因为这些所谓的
[23:57] 爱心通路上
[23:58] 是
[23:58] 他们就基本就是你的代理线越大
[24:02] 对
[24:02] 在这一波你的受惠程度就越大
[24:05] 是
[24:05] 你的代理先越大代表什么
[24:06] 代表你的这个
[24:08] 你的那个实力是很够的
[24:11] 原厂才愿意让你做代理
[24:13] 所以其实讲的直白就是
[24:16] 他有那种大则很大的优势
[24:18] 你之前没有就没有了
[24:20] 你不要说你之前有
[24:21] 之前没有你现在要去抢
[24:23] 我觉得很难
[24:24] 所以我觉得虽然说代理商
[24:27] 他们的margin
[24:28] 不像大家一般看到电子业
[24:30] 这么样的高
[24:31] 这么样的诱人
[24:32] 可是他其实在某些程度上来讲
[24:34] 它其實具有蠻高的所謂的一個護城河
[24:37] 就是進入障礙
[24:38] 所以你現在文業或者是大連大
[24:41] 這樣子往上做飆漲
[24:42] 我覺得它
[24:43] 你說它要出現大幅度拉回
[24:45] 除非整個AI的趨勢整個都瓦解
[24:48] 但是我個人認為這個機率非常低
[24:50] 所以在這種情況之下
[24:52] 不管你是
[24:53] 我這個成熟製程晶片
[24:54] 或者是記憶體
[24:56] 或者是
[24:57] 也許我們現在
[24:58] 達人秀也會分享到
[25:00] 這個被動元件
[25:01] 當然被動元件相關的通路商
[25:04] 也是也就这一段时间了
[25:05] 也现在回到相对低档
[25:06] 所以呢
[25:07] 我们可以看着整个
[25:09] 就是文业或大联大
[25:10] 相关的这种走势
[25:11] 大家可以预料到
[25:12] 今年的这个IC通路上
[25:14] 随着整个晶片的一个报价上涨
[25:17] 他们的一个获利
[25:19] 也是有机会出现成长
[25:20] 其实这也算是
[25:21] 某一种程度的外溢效果
[25:23] 就是从整个这一个
[25:25] 晶片的报价上涨所导致的
[25:27] 好那GTC的
[25:28] 我想因为报道也相当的多
[25:30] 大家可以分别去看
[25:32] 当然在晚上
[25:32] 这个我们晚上理财答案秀
[25:34] 今天会有相当大的篇幅
[25:36] 在GTC的上面
[25:37] 不管从技术层面
