[00:00] 歡迎收聽趙懷古惑在地1034集
[02:32] 凱哥今天是一個超長下沿線
[02:35] 但是我們現在的風雨
[02:37] 可能是美股吹得比我們大
[02:39] 我們昨天才講
[02:41] 美股有很多科技股
[02:42] 是破紀線的一個表現
[02:43] 那昨天晚上
[02:45] 美股還是在科技股的壓力非常大
[02:47] 尤其明明谷歌的財報
[02:49] 亞馬遜的財報都很好
[02:50] 可是市場現在為什麼陷入了一個
[02:52] 你現在撒錢
[02:53] 我更害怕了的階段
[02:55] 我覺得應該這樣講
[02:57] 就是說其實大家覺得說
[02:58] 你是不是應該這個賭局
[03:00] 見好就先收一些
[03:01] 可是大家居然是北風北
[03:04] 居然不下場
[03:05] 還要熬
[03:06] 而且是不是把原本本錢放進去
[03:08] 還從口袋裡面拿出更多的錢
[03:10] 所以大家覺得說
[03:11] 哇靠那你這個錢沒有收回來
[03:13] 你還壓更多的錢
[03:14] 那會不會最後就是沒有了
[03:17] 因為之前這個貝森特也講
[03:20] 美國的雲端系統場
[03:24] 哪怕是倒了一架也無所謂
[03:26] 所以他這句話
[03:27] 我覺得大家言又在
[03:28] 再加上OpenAI
[03:30] 感覺上好像
[03:31] 如我們之前講的
[03:32] 就是比較脆弱一點
[03:34] 但你不要忘記
[03:35] 其實你從形態上來看
[03:37] Google還是在創新高的階段
[03:39] 他是在創新高拉回的
[03:41] 所以我覺得
[03:42] 基本上也不要看得太悲觀
[03:44] 但是我覺得確實是
[03:45] 美國現在大家的要求
[03:48] 就越來越高
[03:48] 因為他們本益比賽太高了
[03:50] 所以你只要稍微不符合市場的要求
[03:52] 沒有好上再加好
[03:54] 你就是考個99.5
[03:56] 基本上市場都要打你一巴掌
[03:58] 就是你回去好好反省一下
[04:00] 為什麼你沒有考100分
[04:01] 所以他們現在是要求非常的高的
[04:03] 再加上你可以看到美國的
[04:06] 不管是納指或者是肺斑
[04:08] 基本上他都有點越線下彎的一個形象
[04:11] 形態已經慢慢出現了
[04:12] 所以大家就會覺得好像有點風雨欲來的感覺
[04:16] 就很害怕
[04:17] 可是這一波的就是美元弱亞幣強
[04:20] 這資金其實是往亞洲來
[04:22] 所以你看日元其實是創
[04:24] 日本股市基本上創新高的
[04:26] 那韓國基本上也有創新高
[04:28] 可是韓國因為最近因為低潤的關係
[04:30] 所以就拉回了
[04:31] 所以其實臺灣基本上都是跟著人家在走
[04:34] 就是AI好的時候跟著AI走
[04:35] 那韓國低潤好的時候跟著韓國低潤走
[04:38] 所以像今天早盤韓國的低潤一開盤
[04:41] 韓力指數就先跌5%
[04:42] 然後韓國指數大跌
[04:44] 那因為D-RAN就是在韓國很大的比重
[04:48] 所以大家腳就快軟掉了
[04:50] 為什麼
[04:50] 因為這幾天臺股的記憶體
[04:51] 其實就有點分歧了
[04:53] 其實投信在昨天就開始賣華邦電了
[04:57] 然後利基電早就沒有創新高了
[04:58] 所以利基電的銅鑼廠
[05:00] 賣的感覺就是一個幌子
[05:01] 就是賣了之後
[05:03] 基本上它就是利多出盡
[05:04] 就開始往下走了
[05:05] 那我之前講過嘛
[05:07] 大家都說它是短期的利多出盡
[05:12] 但是長多還在後面
[05:13] 但我說力基電基本上
[05:14] 他就只能做DDR3
[05:16] 他能力做HBM
[05:17] 沒有不可能
[05:17] 很難
[05:18] 非常的難
[05:19] 我們不能講不可能
[05:20] 我們只能講說很難
[05:21] 我們有時候講話都太
[05:23] 但是他就
[05:24] 他就慢慢就晃下來
[05:26] 所以你看
[05:26] 這個記憶體的三雄
[05:28] 除了南亞克
[05:29] 還沒有什麼大的利空
[05:30] 基本上兩隻都已經
[05:31] 開始在墜落了
[05:33] 所以你就可以想見
[05:34] 那這樣記憶體的族群
[05:35] 就不強了
[05:36] 他怎麼還能繼續往上攻
[05:37] 好那我們就回來看
[05:39] 威剛跟石雄
[05:39] 我們之前講過了
[05:40] 就是當你的記憶體
[05:42] 顆粒不強的時候
[05:42] 人家看模組場
[05:43] 模組場如果也不強
[05:45] 那就開始事情就大掉了
[05:46] 就是你可能要有點危機意識
[05:49] 不能老是說
[05:50] 你還是想要靠著記憶體取暖
[05:52] 那威剛實權
[05:53] 我覺得威剛繳出一個很漂亮的營收
[05:57] 可是實權他是壓著營收
[05:59] 所以實權的營收是越減的
[06:02] 表示什麼
[06:02] 他還是壓了很多的庫存
[06:04] 他壓很多庫存
[06:05] 所以他壓庫存的時候代表什麼
[06:06] 他認為報價還有上漲
[06:08] 可是偏偏報價又沒上漲
[06:09] 最近記憶體的現貨報價
[06:10] 開始已經不太動了
[06:12] 沒錯
[06:12] 不太懂
[06:13] 它不是從原先每天漲10%
[06:14] 變成每天漲5%
[06:15] 現在是從每天漲10%
[06:16] 開始不漲了
[06:18] 所以大家就覺得
[06:19] 有點開始恐慌
[06:20] 因為其實市場現在還在講說
[06:22] 什麼合約價在漲
[06:23] 不是的
[06:24] 我們其實做股票的人
[06:25] 不看合約價
[06:26] 我們在做股票
[06:27] 因為它是景氣迴圈股
[06:29] 我們只要看報價
[06:30] 報價漲我們就追
[06:32] 報價不漲我們就要小心
[06:34] 報價開始跌
[06:34] 我們就要準備要漲
[06:35] 準備跑了
[06:35] 所以這地方基本上
[06:37] 我覺得記憶體相對來講
[06:39] 它就有比較多的問題在裡面
[06:41] 好那這是記憶體
[06:42] 那你說ABF不是都沒有什麼問題嗎
[06:44] 確實
[06:45] 可是為什麼ABF今天一開盤
[06:47] 錦碩就跌停
[06:48] 為什麼
[06:48] 其實昨天投信還在買錦碩
[06:50] 可是因為昨天錦碩有一個大咖
[06:52] 他出了一半的股票
[06:53] 因為可能年要到了
[06:56] 他可能記憶體他殺不下去
[06:57] 因為殺了記憶體他可能損失會更大
[07:00] 所以他選擇殺這個錦碩
[07:03] 因為他錦碩就算殺他還有一半
[07:05] 表示什麼
[07:06] 他還是很看好錦碩
[07:07] 只是他覺得既然錦碩你公司要憲政
[07:09] 你也想壓股價
[07:10] 那我就年前先把一部分資金先抽回來
[07:13] 我年後再來佔
[07:14] 因為已經有外資券商講說
[07:17] 目前看起來ABF會吃緊到2028年
[07:19] 2028年
[07:21] 所以告訴你目前
[07:22] 其實各大廠還沒有完全都開始擴
[07:25] 只是緊縮扣的幅度
[07:27] 相對來比又比新興大一些
[07:29] 所以你看外資給的目標價
[07:31] 緊縮跟新興目標價是一樣的
[07:33] 告訴你說其實緊縮空間還相對比較大
[07:35] 所以反而這邊拉回來
[07:37] 緊縮反而會是一個
[07:38] 可以讓你去找好買點的機會
[07:41] 那但今天跌停你不敢買
[07:42] 我也不意外
[07:43] 因為其實今天真的
[07:44] 跌停敢出手的人真的很少
[07:46] 因為已經年節快要到
[07:48] 大家都是要準備紅包錢
[07:49] 沒有人說紅包錢一撈出來之後
[07:52] 又把它放進去
[07:53] 又放到股市裡面來
[07:54] 很少
[07:55] 今天我只有少數幾個朋友
[07:56] 很勇敢的
[07:57] 在跌停的時候去出手撿股票
[08:00] 那今天敢出手撿股票
[08:01] 基本上就是今天的winner
[08:03] 大勝利者
[08:04] 但是這不合常態
[08:06] 我先跟大家講一下
[08:07] 就我所知道的
[08:09] 自營商的經理人
[08:11] 大部分他們的資金部位
[08:12] 持股部位大多降到三成以下
[08:14] 所以我們不可能像自營商做這麼堅決
[08:19] 因為他們僱的就是老闆的錢
[08:20] 所以他們是要完全避開風險
[08:23] 反正他會跟老闆講說過年這麼久
[08:26] 萬一跌了我也沒有辦法工作
[08:28] 所以我低持股是絕對可以跟老闆交代的
[08:31] 那你要不要這樣做
[08:32] 我覺得就不要
[08:33] 但是你說你要壓滿持股
[08:36] 跟投薪一樣
[08:37] 我覺得也不要
[08:38] 為什麼
[08:38] 因為確實有11天的長假期
[08:41] 這邊的變動
[08:42] 其實看起來還是會有的
[08:43] 但是你說往後看
[08:45] 我個人覺得
[08:47] 我覺得往後看
[08:48] 應該還有機會
[08:49] 還有一次的機會
[08:50] 突破三萬兩千點
[08:52] 再往前高再來一次
[08:53] 為什麼
[08:54] 因為我剛進來的時候
[08:56] 跟趙華講說
[08:57] 你有沒有注意到
[08:57] 其實新貴股價都還在創新高
[08:59] 我就說比較沒有
[09:00] 因為新貴的話
[09:01] 他漲幾乎很大
[09:02] 凱哥是新貴的達人
[09:03] 他常常講一些
[09:04] 是新貴準備掛牌的都很厲害
[09:06] 我們可以從新貴股價去看一件事情
[09:08] 就是當行情還在好的時候
[09:10] 新貴股價持續創新高當行情開始不好的時候新貴就開始崩跌它會開始崩跌所以你現在看到新貴還沒有崩跌的現象就告訴你說其實現在還是在於所謂熱錢持續湧進來這個市場
[09:24] 只是大家這時候
[09:25] 因為想要先過年了
[09:26] 所以先把錢拿出來
[09:27] 而且你在看今天的行情裡面
[09:30] 其實昨天的臺階線的ADR
[09:31] 其實就率先月線先翻起來了
[09:33] 其實這是我覺得比較樂觀的
[09:35] 因為本來
[09:37] 那隻跟廢辦月線都是往下
[09:39] 其實我心頭有點不舒服
[09:41] 因為我覺得航母都已經越線往下走了
[09:44] 這樣這個盤就會過得很痛苦
[09:46] 可是他昨天就拉起來
[09:48] 就告訴你說
[09:48] 他告訴你說我航母還在這裡
[09:50] 我沒有跑走
[09:52] 那個股你就自己表現
[09:54] 所以我覺得今天個股雖然震盪很大
[09:56] 但是我覺得原本的強勢的股票
[09:58] 我覺得後面還是會強勢
[10:00] 除了記憶體會比較不敢講以外
[10:02] 基本上你之前看好的
[10:04] 我覺得年後應該還是會持續看好
[10:06] 包括像ABF
[10:07] 包括像低軌道衛星都是
[10:09] 好
[10:09] 這個我來echo一下凱哥說的
[10:12] 剛剛特別提到記憶體
[10:13] 我想有聽我們頻道的朋友
[10:15] 我們都會一直說
[10:16] 記憶體的行情還沒有走完
[10:18] 可是震盪非常大
[10:19] 但是這兩天
[10:21] 除了凱哥
[10:22] 昨天像這個達人秀來賓Eason
[10:24] 他專門在看記憶體
[10:25] 而且說實話看準了
[10:26] 大概八九個月之久
[10:27] 也提到一個事情
[10:29] 就是DDR4的價錢上不去
[10:32] 不是代表後面不會
[10:34] 因為其實前面我們也有發生過
[10:36] 記憶體這個行情太熱
[10:38] 我們常常每天都是在講
[10:39] 其實前一陣子
[10:40] 大概兩個月前了吧
[10:42] 兩三個月前
[10:42] 也是那時候
[10:43] 吉邦科技不是11.1報價
[10:45] 那個廣站就癱瘓嗎
[10:47] 像發瘋一樣
[10:48] 就有幾天果然
[10:49] 那個漲幅縮小到
[10:50] 可能零點幾甚至沒漲
[10:52] 好緊張
[10:53] 但後面又恢復上漲了
[10:54] 對不對
[10:55] 所以我們並不能說
[10:56] 這一次它現在DDR4的報價
[10:59] 趨緩了沒有漲了
[11:01] 就永遠不漲了
[11:02] 可是畢竟已經又漲到這裡
[11:04] 才趨緩的
[11:06] 跟兩個月前又是不同的光景
[11:08] 因此我們就會在
[11:09] 比較審慎的眼光來看
[11:11] 因為股價漲到這邊
[11:12] 你肯定是要更大更大更大的利多
[11:16] 才能推嘛
[11:17] 不然之前的你都知道了嘛
[11:18] 南亞科結出來的財報好不好
[11:20] 好啊營收好啊
[11:21] 群聯也結出很好啊
[11:23] 就群聯今天盤中就殺到跌停板
[11:25] 好為什麼
[11:26] 因為需要更大的利多
[11:28] 而現貨價不再繼續漲
[11:30] 絕對會是短線上的壓力
[11:32] 你不能說也沒有跌啊
[11:34] 還是還漲啊
[11:35] 漲比較少
[11:36] 那他現在就是壓力
[11:37] 抱歉
[11:38] 所以這個就是舊事潤世
[11:40] 可是後面如果當你發現
[11:41] 這個報價真的無敵啦
[11:43] 開掛還是繼續往上噴
[11:45] 三星海力士美光
[11:46] Sandy continue往上噴
[11:47] 那他們的行情就有
[11:48] 但大家要不要在這個時候
[11:50] 硬要參與記憶體
[11:51] 我想剛剛凱哥
[11:52] 講了一個很重要的事情
[11:53] 為什麼今天載板在跌
[11:55] 載板其實跌
[11:56] 也不是什麼新鮮事
[11:57] 前幾天不是也有跌停
[11:58] 後面又拉漲停
[12:00] 然後大家就會在跌停的時候
[12:01] 覺得很可怕
[12:02] 漲停的時候很慶幸
[12:03] 嘿 幸好我有聽
[12:04] 古厚仔
[12:05] 不是這樣子
[12:07] 我們要學習的是
[12:08] 大咖也不想要在這個時候
[12:10] 特別去在記憶體上猜了
[12:12] 所以他就選擇
[12:14] 可能先解碼一些載板
[12:15] 載板也漲非常的多
[12:17] 那他的解碼
[12:18] 是在他年前的一些策略
[12:19] 我們也有提醒
[12:20] 不管怎麼樣
[12:21] 不管盤再熱
[12:22] 我們再怎麼捨不得
[12:23] 現在大咖就是會選擇出場
[12:26] 因為有借錢並種的也好
[12:28] 有一些法人資金
[12:29] 當然像投信資金可能有在壓
[12:31] 可是像外資有在撤退
[12:32] 然後有一些內資主力大戶
[12:34] 他也要過年了
[12:35] 他也會覺得不要壓那麼重
[12:36] 融資什麼的
[12:37] 撤退是必然的
[12:39] 這個大家要理解
[12:40] 那大咖很清楚
[12:41] 知道自己在幹嘛
[12:42] 我們知不知道呢
[12:43] 因為今天早上其實
[12:44] 我就有收到一個訊息
[12:46] 但我沒有回
[12:46] 這個朋友就抱歉了
[12:48] 他問我說
[12:49] 趙華我本來想抱著
[12:51] 星星過年
[12:53] 可是現在我不確定
[12:54] 你可以告訴我要不要嗎
[12:55] 那請問各位
[12:57] 為什麼你本來覺得
[12:59] 要抱著這檔股票過年
[13:00] 因為你發現洗洗刷之後
[13:01] 還是上去
[13:01] 那為什麼覺得現在不要了
[13:03] 因為今天中錯
[13:04] 如果你是用這樣的心情
[13:06] 在影響你要不要爆股過年
[13:07] 那sorry你真的是沒有
[13:08] 做好我們前面講的配置
[13:10] 或策略或是你的資金比重
[13:12] 或是你對產業的信任
[13:13] 其實你都沒有
[13:13] 所以我覺得回來
[13:15] 還是同樣到我們的議題
[13:16] 等一下凱哥也會教大家
[13:17] 如果現在你的股票壓得真的很滿
[13:20] 你就會產生這個問題
[13:21] 所以一定要搞清楚
[13:24] 現在剩下三個交易日
[13:25] 你要做的決定是什麼
[13:26] 假如很不幸
[13:27] 剩下三個交易日
[13:29] 因為美股很爛
[13:29] 我們一直暴跌
[13:30] 你會怎麼想
[13:31] 我覺得先從風險想起
[13:33] 對我們來看一件事情
[13:34] 我剛剛講
[13:35] 機體的三雄
[13:36] 基本上只在一家
[13:37] 還有機會往上走
[13:38] 可是另外兩家
[13:39] 就開始往下拉
[13:40] 你看ABF
[13:41] 今天只有錦碩打跌停
[13:44] 可是你看盤中
[13:45] 其實星星跟針頂
[13:47] 就開始往上拉
[13:48] 一隻老虎加一隻小貓
[13:50] 再往上拉
[13:51] 就告訴你什麼
[13:51] 告訴你這行情沒有結束
[13:53] 沒有結束
[13:54] 如果他們同步都往下跌
[13:56] 你就要很害怕
[13:57] 也是小貓先跌停
[13:58] 如果今天是針頂先跌停
[14:00] 那告訴你說
[14:01] 市場可能沒有太多的想象空間
[14:04] 就是市場就只有這麼大
[14:06] 可是今天是隻有錦碩迭提
[14:07] 而且他就是要憲爭
[14:09] 他是一開盤就迭提
[14:10] 對 他就要憲爭
[14:11] 那我說因為某一個大戶
[14:13] 基本上他的風吹草動
[14:16] 市場都會關注
[14:17] 可是市場只看他賣
[14:18] 可是忘記說他還有很多的庫存
[14:20] 所以我覺得基本上
[14:22] 他就是一個假議題
[14:23] 而且我也側面問了一下
[14:26] 市場目前的想法
[14:28] 其實他們對錦碩的看法
[14:30] 基本上很正面
[14:31] 為什麼
[14:32] 因為他這次擴的廠的規模相對大很多
[14:35] 因為新興是本來他就有個南投廠
[14:38] 南投廠本來他是被Intel耽誤了
[14:40] 所以他現在就是回來接NVIDIA訂單
[14:43] 所以他這次的資本投入
[14:44] 雖然也資本投入
[14:45] 可是他沒有像錦碩投這麼的多
[14:48] 而錦碩剛好是Rubin也過
[14:50] 又做一個大的擴廠
[14:51] 所以就可以想見說
[14:52] 他未來的爆發力顯然會強很多
[14:55] 雖然錦碩的公司很
[14:57] 我們不能講說他怎麼講
[15:00] 我們講說他很忠於原位
[15:02] 忠於原位
[15:03] 他就跟EBITDA一樣
[15:05] 他就講說高階市場很不錯
[15:08] 但是中低階市場可能還是會供過於求
[15:10] 也沒有想象那麼好
[15:12] 這就跟EBITDA非常像
[15:13] EBITDA他辦了一個法說
[15:15] 他就說其實這個中低階市場不好
[15:18] 不好
[15:19] 那請問不好
[15:21] 為什麼EBITDA你要擴散呢
[15:22] 你為什麼要大幅的擴散
[15:24] 就告訴你其實市場很好
[15:26] 再就是你要知道
[15:27] 目前的AI的應用裡面
[15:30] 這個GPU未來的載板的規模
[15:32] 是要擴大的
[15:33] 所以原本就已經供不應求了
[15:35] 所以你本來是供不應求
[15:37] 你要擴廠來滿足這個供需的平衡
[15:40] 可是你的需求又更擴大了
[15:42] 因為它的載板的尺寸擴大
[15:44] 所以變成是
[15:45] 為什麼剛才講說
[15:46] 到2028年可能都還供不應求
[15:48] 就告訴你說
[15:49] 現在的擴廠可能都還沒辦法滿足
[15:51] 到2027年的需求
[15:54] 對
[15:54] 因為你要知道
[15:55] 這個擴敞都是一個階段一個階段來的
[15:58] 你現在擴的產能
[15:59] 可能要到2026年的下半年
[16:01] 才會開出來
[16:02] 開市產
[16:04] 市產進來
[16:05] 你到整個量產可能到2026年底
[16:07] 它就是有一段時間的距離
[16:11] 有一個落差
[16:12] 所以我之前有講過
[16:14] 就是你去看記憶體跟ABF
[16:18] 很奇怪的概念
[16:19] 就是你看記憶體
[16:21] 其實臺灣長的不是HBM
[16:23] 臺灣長的是什麼
[16:24] DDR4
[16:25] 是不是主流的
[16:26] 那主流是誰
[16:27] 主流是HBM
[16:28] 是韓國加上美國
[16:29] 他們寡佔了這個市場
[16:31] 可是ABF很巧
[16:33] ABF沒有美國也沒有韓國
[16:35] 就只有日本跟臺灣
[16:37] 我們寡佔了這個市場
[16:39] 所以HBM可以這樣大漲
[16:42] 其實ABF也會這樣大漲
[16:43] 因為他們就實質AI的需求
[16:46] 它跟我們臺灣在長的機體
[16:48] 是不一樣的概念
[16:49] 他們是有點類似
[16:51] Hynix跟Samsung的概念
[16:53] 所以我覺得其實這邊
[16:55] 剛剛想要報星星過年的
[16:57] 我覺得你可以稍微樂觀一點
[16:59] 你很好心
[17:01] 如果你看的趨勢
[17:02] 基本上就是這樣子
[17:04] 基本上那要怕什麼呢
[17:06] 我以為問題就是說
[17:07] 你星星漲那麼多
[17:08] 你要不要把星星換到位階比較低的
[17:10] 就是說你換到最低的
[17:11] 藍電好了
[17:12] 星星創歷史新高
[17:14] 藍電離地新高還非常的遠
[17:15] 對不對
[17:16] 所以很多老師講說
[17:17] 藍電就是送分題
[17:19] 因為ABF這麼好
[17:21] 藍電早晚會創新高
[17:22] 那你想
[17:23] 如果南電創新高
[17:24] 新興跟錦樹要漲到哪裡去
[17:26] 其實這個邏輯
[17:27] 其實這樣推
[17:28] 你就很容易就會懂了
[17:29] 要不然為什麼會從
[17:30] 三隻老虎漲到小貓去
[17:32] 對啊
[17:33] 真頂從來都不會是
[17:34] ABF大家要看的廠商
[17:35] 它的比例還低
[17:36] 對
[17:37] 可是大家現在已經
[17:38] 把目光看到那個
[17:39] ABF相對低很多的
[17:41] 真頂的身上
[17:43] 那你就知道說
[17:43] 其實市場是真的什麼
[17:45] 供不應求
[17:45] 其實真頂的概念
[17:47] 就有點像臺灣的
[17:48] 南亞科的概念
[17:49] 就是HBM很緊
[17:51] 那它就是做
[17:53] HBM以外的
[17:54] 記憶體的部分
[17:55] 好
[17:56] 那我覺得
[17:57] 這一題
[17:58] 我覺得凱克人很好
[17:59] 因為還是對於
[18:00] 欣欣跟錦碩
[18:01] 是給予蠻正面的評價
[18:02] 但是我覺得
[18:03] 大家要不要報個過年
[18:04] 我這邊還是
[18:05] 小小再囉嗦幾句話
[18:06] 今天當然
[18:07] 如果你是就
[18:08] 技術現行來說
[18:09] 好不好
[18:09] 就技術現行來說
[18:11] 假設您真的是一個現行派
[18:13] 今天確實有蠻多股票
[18:14] 是要處理的
[18:15] 這個早上
[18:16] 我的技術現行派的朋友
[18:17] 也是跟我說
[18:18] 沒辦法
[18:19] 這破線了就砍了
[18:20] 如果你是基於
[18:21] 這樣的想法
[18:22] 那有沒有過年
[18:23] 不是這個重點
[18:24] 是你手上的股票形態
[18:26] 有沒有壞掉
[18:27] 有沒有到了你的停損
[18:28] 或停利的出場點一樣不管是不是最後一個交易日都一樣就是你的紀律是這件事情但如果你只是一個感覺我感覺他好像蠻穩的所以本來要報的
[18:39] 那現在我感覺好害怕
[18:41] 我不要報了
[18:42] 那你對任何股票
[18:43] 其實不只在宅版的股票上
[18:45] 其實可以減碼
[18:45] 不見得說你要出清
[18:47] 就如果你本來是看好的
[18:48] 出清這個就有點奇怪
[18:50] 就被打了自己一個臉
[18:52] 就說你幹嘛去
[18:54] 把自己的原本的看法否定掉呢
[18:56] 對不對
[18:56] 很難堅定
[18:57] 但是你可以減碼
[18:58] 就說我留點部位來觀察一下
[19:00] 就好像說一開始趙華說
[19:02] 就有那個
[19:03] 聽眾一直在問他說
[19:05] 那個達青柴能不能放
[19:06] 你人真的很好
[19:08] 因為我也是跟他回說
[19:09] 凱哥其實兩三週前
[19:10] 已經回答過這個問題了
[19:12] 你去看達青柴
[19:13] 達青柴的周的大量低
[19:15] 其實在299沒有到
[19:17] 可是他大量中值
[19:18] 周大量中值已經站上了
[19:20] 在323
[19:21] 所以告訴你什麼
[19:22] 他已經是可以持有了
[19:24] 可以持有了
[19:25] 那如果說你想要趁過年再來撿
[19:27] 那你就可以等他再壓回300
[19:29] 299附近再去
[19:30] 那如果說你覺得說
[19:32] 就已經有了
[19:33] 我就等要突破再加
[19:34] 那就是等他過了周大量高
[19:36] 大概在341附近
[19:38] 其實投資操作就這麼簡單
[19:41] 沒有那麼多的複雜
[19:42] 就是什麼位置站上了
[19:44] 你該有
[19:45] 對
[19:45] 你聽凱哥的
[19:47] 不是一直聽他講
[19:48] 那個大量中值嗎
[19:50] 那你又知道凱哥在講
[19:51] 然後你又問我同樣問題
[19:52] 凱哥人真的超好
[19:53] 所以如果今天這位聽眾朋友
[19:55] 你很有幸運
[19:57] 聽到凱哥又親自回答一次
[19:58] 你是聽凱哥講的
[20:00] 那是不是你就遵照
[20:01] 凱哥講的這個邏輯
[20:03] 去來判斷
[20:04] 那我這邊也要跟大家分享的是
[20:06] 如果你在心態上
[20:07] 一直覺得不安穩
[20:07] 我今天有做事情
[20:08] 我今天早上在
[20:10] 這個大盤底破月線的時候
[20:12] 其實我就開始看
[20:13] 因為我跟大家講
[20:13] 破月線我都會加碼的
[20:15] 那也許不見得只有破月線
[20:17] 搞不好以後破季線
[20:18] 這個我真的不知道
[20:19] 那我就會先加碼什麼呢
[20:20] 主動式的ETF
[20:21] 那其實今天我有賣掉一些
[20:24] 少數微量的個股
[20:25] 然後呢把這個平等的換到
[20:28] 這也是明漢協理前兩天講的
[20:29] 平等的換到ETF上
[20:31] 因為ETF也在跌
[20:32] 大家可以看到
[20:33] 祖宗是ETF很猛哦
[20:34] 今天一下跌3%
[20:35] 對
[20:35] 那我的股票搞不好還沒有跌3%
[20:38] 所以我就把一些
[20:38] 我報了一段時間
[20:40] 其實可能差不多在停地點附近
[20:42] 那最近有一點修正
[20:43] 我覺得沒關係
[20:44] 我還是交給經營人好了
[20:45] 我就個股的部分解碼之後
[20:47] 我就平行轉移到
[20:48] 我覺得讓記者去操作的ETF上面
[20:51] 這是我今天有做的事情
[20:53] 對
[20:53] 那加加總總後來尾盤拉上來
[20:55] 沒有錯
[20:56] 個股也拉上來了
[20:57] ETF也拉上來了
[20:58] 所以我沒有什麼
[20:59] 覺得錯過什麼
[21:00] 好那我覺得
[21:01] 但是我的心情
[21:02] 就會變比較安定
[21:03] 因為我又分配更多到
[21:04] 我覺得
[21:05] 讓別人去煩就好了
[21:06] 我就去過我的年
[21:07] 這個樣的情況
[21:09] 所以我覺得大家
[21:09] 要根據自己的想法
[21:11] 稍微做點配置
[21:12] 不要在剩下幾個假日
[21:13] 覺得很緊張
[21:14] 因為你看好的事情
[21:15] 不會在這三天
[21:16] 有明顯的改變
[21:17] 對
[21:18] 除非是你的原則被打破了
[21:20] 我覺得剛剛凱哥
[21:21] 也要強調的是這件事情
[21:22] 對
[21:23] 大家就覺得說
[21:24] 有什麼好像
[21:25] 之前好像都沒有這麼明顯
[21:27] 其實
[21:27] 今天有很多投股老師
[21:29] 在說
[21:29] 說秉總資金在出場
[21:30] 其實不是
[21:31] 其實秉總資金
[21:32] 應該是在上週跟上上週
[21:34] 就已經在出場了
[21:35] 我覺得接著兩天
[21:36] 在疊的一個是
[21:37] 散戶自己在賣
[21:38] 一個還有一個是
[21:39] 代鈔的部位在賣
[21:41] 就是
[21:41] 年前呢
[21:43] 很多的代鈔的account
[21:45] 他都會要求經理人說
[21:47] 盤式感覺不太穩定
[21:48] 我們要不要多賣一點
[21:50] 所以這個指令下出去之後
