[00:00] 欢迎收听赵华与古货在地1096集
[03:52] 就是互相的拉扯抵消
[03:54] 所以看起来呢
[03:55] 我觉得在五月份以来的走势
[03:58] 还蛮考验的就是
[03:59] 在调整的节奏上面
[04:02] 因为很多个股呢
[04:03] 有时候说穿了
[04:04] 它好像
[04:04] 可能前一天还很强
[04:07] 涨停板
[04:07] 那隔一天呢
[04:08] 也不见得真的有什么利空
[04:10] 直接就没有连贯
[04:12] 就是跳水就开低了
[04:13] 那现在变成说
[04:14] 这个一旦指标股一熄火
[04:17] 可能市场资金
[04:18] 马上就换一个新的方向
[04:20] 市场资金换方向
[04:22] 但是如果大家选择的是
[04:23] 对的题材跟方向的时候
[04:25] 你就坐着等也是可以的
[04:28] 对不对
[04:28] 因为我们之前有讲到
[04:30] 比较落后的族群叫被动元件
[04:32] 但今天被动元件在盘面上
[04:33] 就相对还是抗跌
[04:35] 比较慢涨的
[04:36] 它也比较抗跌
[04:37] 但也有最近涨多的
[04:39] 今天可能就比较吃了一个压力
[04:41] 像例如光宝壳好了
[04:42] 光宝壳今天上到跌停板
[04:44] 你说有没有什么样奇怪的事情
[04:45] 没有
[04:46] 就是前几天连续的
[04:47] 有三根停板这件事情
[04:49] 真的涨得有点多
[04:50] 对不对
[04:50] 那像我们讲发哥
[04:52] 发哥涨到有可能从五分钟
[04:54] 如果再涨的话
[04:55] 要变二十分钟分盘
[04:56] 所以他今天也就顺势
[04:58] 做一下回档休息
[04:59] 好 联电因为intel的事情
[05:01] 那大涨
[05:02] 那现在intel
[05:03] 昨天晚上是休息的
[05:04] 所以今天联电也顺势回档
[05:06] 感觉上今天回档的公司
[05:08] 不太会让大家觉得
[05:09] 好像出了什么状况
[05:11] 你只会有一个感觉是
[05:12] 哦 哦 他涨比较多啦
[05:14] 所以顺势休息一下
[05:16] 即使到迭亭的感受
[05:18] 也不会到非常强烈
[05:19] 除了有两档高价股
[05:21] 我觉得蛮值得留意
[05:22] 一个是茂林KY
[05:23] 就是茂林KY
[05:24] 它的第一季财报就比较普通
[05:26] 它出现了季减
[05:27] 那现在市场对于这种财报
[05:29] 我觉得要求很严格
[05:31] 因为希望你营收
[05:33] 一直每个月都创历史新高
[05:35] 然后最好你每一季
[05:36] 都要比上一季再创历史新高
[05:38] 或是至少你要有季增
[05:40] 年增 双增
[05:41] 所以这样严苛的状态
[05:42] 到了五六月之后
[05:44] 如果越来越明显
[05:45] 你觉得会不会在基本面上面
[05:47] 台股会呈现有点动能趋缓的状态
[05:50] 确实因为这个目前
[05:52] 从三月四月营收表现在看
[05:55] 大幅度的成长已经是变成说市场的基本要求
[05:59] 所以只要稍微低于原本市场已经上修过后的标准
[06:05] 可能稍微只是这个数字差了一点点
[06:08] 对那股价就会剧烈反应
[06:09] 因为毕竟大家也看到四月以来这一波的击涨
[06:13] 很多个股真的是用那种70度的仰角
[06:17] 快速的一个上涨
[06:18] 所以我觉得AI股里面
[06:20] 当然先前除了业绩好
[06:23] 让他们股价推升之外
[06:25] 还有一个很重要的原因就是
[06:26] 本益比也都大幅度提高了
[06:29] 所以本益比提高的前提就是
[06:30] 市场是极度的有信心
[06:32] 极度的乐观
[06:33] 认为就是就像刚才赵华提到的
[06:35] 类似像不管是茂联
[06:37] 或者说像联亚这些公司
[06:38] 你就是要一路一路的成长
[06:41] 中间不能有任何的受挫或乱流
[06:44] 那一旦有乱流的时候
[06:45] 其他资金也是很现实
[06:48] 先卖再说
[06:49] 因为毕竟就是轮动快速
[06:51] 先卖再转战其他的个股
[06:53] 那日后可能才会重新再做回头
[06:55] 所以也看到就是类似像
[06:57] 建策
[06:58] 最近也是遇到了一股乱流
[07:01] 那相对来讲
[07:03] 比如说当然也有就是
[07:04] 法人才刚开始上修的
[07:07] 像今天也看到一个大亮点
[07:08] 就是7769红镜
[07:10] 红件好强啊
[07:11] 因为法人上修到一万啊
[07:12] 对对对
[07:13] 就是因为法术会过后
[07:14] 大家发现说
[07:15] 哇这个就是
[07:15] 比原本预估的好
[07:17] 还要更好
[07:18] 所以呢就正在享受
[07:20] 他的一个上修的过程
[07:21] 但这个过程其实
[07:23] 难道之前建策
[07:24] 没有享受过吗
[07:25] 有啊
[07:26] 对那其实像这个
[07:28] 不管是说测试的旺系隐微
[07:30] 也都曾经享受过
[07:32] 那包括就是像现在
[07:34] 可能今天大迭的茂联
[07:36] 或者是联亚
[07:37] 他们也都曾经享受过
[07:38] 这个过程
[07:39] 所以我觉得其实
[07:39] 这个就是一个不断的就是
[07:41] 实际上的数字
[07:43] 然后跟预期
[07:45] 中间不断不断的来回
[07:46] 然后市场重新去做一个
[07:48] 适应跟调整
[07:49] 好 因为刚刚讲到建策
[07:51] 这边也再多问一下
[07:52] 就是威良的想法
[07:54] 因为建策之前
[07:55] 是在散热族群里面
[07:57] 因为不管他说
[07:58] 他有微通道盖板
[07:59] 或是这个VR Rubin
[08:00] 有所谓的这个散热片
[08:02] 均热片
[08:03] 要变两片嘛
[08:04] 对不对
[08:04] 然后价格的话
[08:05] 说50美元
[08:06] 可以赚到150美元
[08:07] 是因为这样的一些题材
[08:08] 让法人真的好喜欢它
[08:10] 因为它的本益比
[08:11] 算是散热里面相当的高的
[08:13] 高价高本益比
[08:14] 所以这次修正就非常凶
[08:16] 从五字头五千
[08:18] 不是五百
[08:19] 修正到三千多
[08:20] 今天又锁回去了
[08:22] 因为前两天有打开
[08:23] 甚至有一天是涨停板
[08:24] 那今天又抵回去了
[08:26] 你要怎么看待说
[08:27] 它是不是还没有修正完
[08:29] 前两天只是一个逃命反弹
[08:30] 我其实不悲观
[08:32] 那几个角度来分享一下
[08:35] 第一个来说就是
[08:36] 通常一家公司在
[08:38] 营运的过程里面
[08:40] 那往往也会受到就是
[08:42] 特定的产品
[08:43] 特定的客户
[08:44] 有所谓的订单分配
[08:46] 或规格调整
[08:47] 这个确实呢
[08:48] 因为它是属于被动的一方
[08:50] 取决不在它
[08:51] 那大家也知道因为
[08:52] 这是因为辉达的
[08:53] Rubin的系列
[08:53] 它有一些规格上的调整
[08:55] 所以呢
[08:55] 可能才会传出说
[08:57] 那均热片的使用量
[08:58] 就会大幅度减少
[08:59] 对
[09:00] 但是我们回过头来想
[09:01] 当初辉达能够采用
[09:03] 它的均热片
[09:04] 而且是成为呢
[09:05] 这个
[09:05] 独家的供应商
[09:07] 那代表就是呢
[09:08] 他的产品跟技术的实力
[09:10] 就是摆在那边
[09:11] 这个是有一定的
[09:12] 护城河门槛的
[09:13] 所以我觉得
[09:14] 对于公司最核心的价值
[09:17] 就是他的技术的实力
[09:18] 只要没有变
[09:19] 那未来呢
[09:20] 其实规格会不会再变
[09:22] 当然也有可能
[09:23] 也许不是这个世代
[09:24] 也许是下一个世代
[09:25] 那总之会再变
[09:26] 会再变的时候
[09:27] 机会永远是在
[09:28] 优秀的公司的身上
[09:30] 那第二件事情呢
[09:31] 一开始他跳空跌停
[09:32] 而且是连续跌停的时候
[09:34] 那时候应该就是
[09:35] 最恐慌的时候
[09:36] 因为当时市场法人
[09:39] 还没办法很明确的
[09:41] 进入去了解到资讯的真假
[09:44] 而且呢
[09:45] 你必须要重新去做
[09:46] 财务模型的调整
[09:48] 我们刚才有讲到上修嘛
[09:50] 那同样的道理
[09:51] 这个时候就是要做下修
[09:52] 可是下修要修到多少
[09:54] 你的EPS会剩下多少
[09:56] 那才能够知道说
[09:57] 你的股价重新调整之后的
[09:59] 合理价在哪里
[10:00] 那因为当时不知道
[10:01] 不知道的前提之下
[10:02] 就会变成说
[10:03] 所有的法人
[10:04] 大家就是比成本跟速度了
[10:06] 我说如果你早期在1000块附近建仓的人
[10:11] 老行宅宅
[10:12] 我再多看个几天都没问题
[10:13] 但是如果不小心
[10:15] 像外资在前一波加码的时候
[10:17] 有买在甚至是5000块以上的
[10:19] 那如果你的成本这么高的人
[10:21] 我不明就理
[10:22] 我先杀再说
[10:23] 先砍出来
[10:24] 因为法人其实在卖这种不确定因素的股票的时候
[10:27] 是完全没有在手轮的
[10:29] 所以就是先卖再说
[10:30] 好那卖完之后
[10:32] 所以后面这个点停板就打开了
[10:34] 那再来第三件事情就是
[10:37] 那这几天已经开始出现新的法人报告了
[10:40] 那果真就是下修
[10:41] 可是我觉得这不是坏事
[10:43] 因为表示呢
[10:44] 现在已经有办法去算出
[10:46] 他今年下修过后的EPS了
[10:48] 然后他的新的目标价
[10:50] 大概就落在三字头了
[10:52] 所以我觉得也差不多就叠到这里
[10:54] 那回到技术面角度来看
[10:55] 就是前几天他点停打开的时候
[10:58] 已经爆量
[10:58] 那目前呢
[10:59] 那一根大量的低点
[11:01] 今天虽然跌停板
[11:02] 但是还是有守住的
[11:04] 那看看明天
[11:05] 明天也许不排除说
[11:08] 会不会早盘开盘
[11:09] 或盘中有先跌破前低
[11:12] 还是说能够直接守住
[11:13] 我觉得可以观察一下
[11:15] 那重点就是
[11:16] 明天过后
[11:17] 他的收盘价
[11:19] 能不能守在
[11:20] 就是前波低点之上
[11:21] 好
[11:22] 这个就再观察一下
[11:23] 我们也不用说
[11:24] 我好急
[11:25] 今天又跌停了
[11:26] 是不是一个强反弹的机会
[11:27] 会不会像上次一样
[11:28] 隔天又变成涨停板
[11:29] 先不要
[11:30] 因為今天他諜亭是鎖死的
[11:32] 上次有提醒大家因為他諜亭後來有打開有打開就知道有一些而且那天是爆大量哦等于是那么大的量有人肯定是知道些什么去抢嘛对不过当时也讲到是比较以抢反弹的心态
[11:45] 并不是就一帆风顺
[11:46] 对不对
[11:47] 因为这个杂音出来就肯定对他的业绩
[11:49] 还是会有期待性的下修
[11:51] 那下修之后他现在有20分钟分盘交易
[11:53] 筹码的流通性又没有那么好的情况下
[11:56] 你就很难说的准
[11:57] 所以今天即使是跌停版
[11:59] 想要小事伸手的
[12:01] 当然你可以小事
[12:02] 但千万不要就冲进去
[12:04] 怕会来回洗蛮多趟的
[12:06] 可是建策并不是坏公司
[12:08] 那设计一定会往越新越难
[12:11] 越高阶的去
[12:12] 暂时性的状况
[12:14] 以后也会被排除
[12:15] 所以我觉得要抓到
[12:16] 这样的一个节奏
[12:17] 那再去做投资
[12:19] 不用把它看得就是
[12:20] 好像就完蛋了这样子
[12:21] 好不过有另外一个族群
[12:23] 我想来请教一下威良
[12:24] 就是CPU
[12:25] 因为大家都知道
[12:26] 赵华蛮喜欢CPU的
[12:28] 可是这一波CPU的震荡下修
[12:30] 有部分是蛮强势的
[12:32] 但也蛮多
[12:33] 它只要一震荡
[12:34] 例如说像我今天看到华星光
[12:35] 从700多一下就变600
[12:38] 就几天的事情而已
[12:39] 所以现在到底怎么样去看CPU
[12:42] 因为CPU看起来
[12:43] 现在的走势
[12:44] 在族群里面已经分化掉了
[12:45] 以前最弱最弱的联军冒上来了
[12:49] 但强的都在休息
[12:50] 没错
[12:51] 尤其像CPU的股王是3081联亚
[12:54] 联亚昨天也很强
[12:57] 今天又弱了
[12:58] 今天直接就弱了
[12:59] 所以震荡幅度真的蛮大的
[13:01] 其实CBO这个特性
[13:02] 从美股的指标股到台湾的指标股
[13:04] 我觉得都是有一种
[13:06] 敢涨敢跌的这种特性
[13:08] 敢爱敢恨就对了
[13:09] 对你看美股也是
[13:10] 如果它涨的时候一天十几趴二十趴的
[13:12] 但跌的时候也是这个样子
[13:14] 所以这个族群呢
[13:15] 就是在考验信仰了
[13:18] 你相不相信在这个2027年以后
[13:21] 他们的营收跟现在
[13:23] 这个不可同日而语
[13:25] 都是可能后面要翻几倍的
[13:27] 2028年之后更猛
[13:29] 那如果你相信的话
[13:30] 我觉得就是说
[13:31] 击掌的时候呢
[13:33] 或许就是续报
[13:34] 或者是考虑
[13:35] 持股多人
[13:35] 我就是反市场的思维
[13:37] 我就趁着呢
[13:39] 美股大涨
[13:39] 然后带动台股大涨的时候
[13:41] 我就调节一点
[13:41] 但集结的时候呢
[13:42] 我就勇敢接了
[13:44] 所以反过来讲
[13:44] 像昨天
[13:46] 其实早盘这个3081联亚
[13:49] 攻到3000元以上的时候
[13:50] 我们其实是
[13:51] 有趁这样子的一个市场氛围
[13:54] 先做一点调节
[13:55] 对因为就是知道说
[13:57] 私户CP用
[13:57] 现在比较不像是那种
[13:59] 要一路往右上涨
[14:01] 就天天涨
[14:02] 没有
[14:02] 对
[14:03] 它开始进入到洗刷震荡
[14:04] 洗刷洗刷
[14:05] 所以就变成说
[14:06] 如果是因为美股大涨
[14:08] 那我们反而会偏向
[14:09] 先站在卖方来做思考观察
[14:11] 那反而如果突然
[14:12] 跳水大跌的时候
[14:13] 我们会开始去观察
[14:15] 谁可以去做一个买进
[14:16] 那比如说
[14:18] 我觉得另外一个CPU
[14:19] 因为毕竟这个故事
[14:21] 或题材也已经走蛮久了
[14:23] 所以现在这个族群
[14:24] 在扩大阵容了
[14:25] 在招兵买马
[14:27] 所以现在CPU
[14:28] 有点好像旧不如新
[14:31] 旧的还是厉害
[14:33] 但是我觉得新的CPU的题材
[14:36] 只要沾到光
[14:37] 那道光
[14:38] 突然就冲上去
[14:40] 它沾到很多东西
[14:41] 例如说LED
[14:43] 然后例如说有一些
[14:46] 就是做所谓通讯方面的
[14:48] 网通的
[14:48] 有一些是设备
[14:49] 对不对
[14:50] 然后检测的
[14:51] 对不对
[14:52] 只要有沾到的话
[14:53] 大家都不可同热语
[14:54] 像智茂就常常去讲
[14:56] 它现在就是有跟光学检测相关的
[14:58] 质帽就涨到2000多块
[15:00] 但是我觉得这里面
[15:01] 我有听得下去
[15:02] 跟买得下去
[15:03] 和比较
[15:04] 我知道它会涨
[15:05] 但是我自己
[15:06] 比较不喜欢碰的
[15:07] 就是我还是有
[15:08] 差别上的分别
[15:09] 比如说
[15:11] 我俩用疑惑的眼神
[15:12] 我举个例子说
[15:13] 比如说新的CPU
[15:14] 跟旧的CPU
[15:15] 差在哪
[15:16] 在旧的刚好
[15:17] 你好像联亚嘛
[15:18] 甚至说
[15:19] 老CPU
[15:20] IETKY
[15:22] 环宇KY
[15:23] 这个变得要有一点
[15:25] 就是近期来讲的话
[15:26] 可能是要来回做了
[15:27] 那用反市场来回做
[15:29] 但新的我觉得比较有机会
[15:31] 就是走波段
[15:32] 像前一段时间
[15:34] 就走了一个大波段的是像齐邦
[15:36] 一口气涨了一倍
[15:38] 这个就是在封测
[15:39] 封测我觉得我可以接受
[15:40] 因为封测本来就有业绩
[15:42] 所以然后他又跨入
[15:43] 进突快跨入到新的领域
[15:45] 然后市场就会给予
[15:46] 他的本益比的调整
[15:48] 没错
[15:48] 不过这个是举例分享
[15:50] 因为现在市场给最高的
[15:52] 法人目标价
[15:52] 齐邦是220
[15:53] 所以几乎这一波
[15:55] 也差不多算到满足点了
[15:57] 但是我们可以看到
[15:58] 比如说最近投信也关注的
[16:00] 像6278台表科
[16:02] 台表科
[16:03] 台表科现在市场的目标价
[16:05] 已经给到400元
[16:06] 难得耶
[16:07] 轮到他身上了
[16:09] 最主要就是
[16:09] 他本来在打件的部分
[16:12] 就是有美光的客户跟订单
[16:14] CPU的部分
[16:15] 他是跨入到
[16:16] 就是帮Cohenon跟AOI
[16:18] 小茂光店做代工
[16:19] 所以未来EPS
[16:21] 可能就开始有一些
[16:23] 重新上修的期待值
[16:24] 所以本益比在提高
[16:26] EPS在提高
[16:27] 股价就开始往上走高
[16:29] 那类似跨入新的CPU的领域来讲的话呢
[16:33] 像包括有像鸿海集团旗下的6456 GIS
[16:36] 那或者说像这个8150南茂
[16:40] 那这个就被视为是一个小旗帮
[16:43] 旗帮第二
[16:44] 因为同样呢
[16:45] 它也有这个金兔块的封装技术
[16:47] 然后再加上本来
[16:48] 本业的部分就是有记忆体的封测
[16:50] 所以在第一季的财报部分
[16:52] 也开始就是出现蛮明显的一个成长
[16:54] 所以这个就是有横跨不同的题材
[16:56] 那我先前当然
[16:57] 投信有一天曾经单日大买上万张
[17:00] 那当天最主要买盘
[17:02] 就是来自于瑶池金母
[17:03] 那当然最近它有一点就是土羊对坐
[17:07] 所以大家先不要急
[17:08] 就是外资是连续在做减码
[17:10] 那可能就是要等外资的卖压
[17:12] 告一个段落
[17:13] 那我觉得接下来可能投信
[17:15] 再看看会不会有新的加码动作
[17:17] 那另外刚才有讲到像Micro LED
[17:19] 现在呢
[17:20] 其实也是因为跨入到
[17:22] 就是CPU的一个新的领域
[17:25] 因为现在在所谓的一个
[17:27] AI资料中心机柜内的
[17:29] 短距离传输里面
[17:30] 主要有三个方案
[17:31] 其中Micro LED就是其中一种
[17:33] 另外就是像帽联的AEC
[17:36] 主动式光缆
[17:37] 另外就是在VC-Cell
[17:39] 所以这三种来讲的话
[17:40] 现在盘面新的亮点
[17:41] 就是在Micro LED
[17:44] 根据吉邦科技
[17:47] 他的一个研究报告里面提到
[17:49] 就是台湾的一个阵营里面
[17:51] 大概有主要三大
[17:53] 一个是就是
[17:53] 以群创为主
[17:55] 是
[17:55] 那另外一个就是呢
[17:56] 友达家族
[17:57] 那另外一个呢
[17:59] 相对没有那么热门
[18:00] 不过业内大家知道
[18:01] 就是耐创
[18:02] 耐创是在这个创新版
[18:04] 以这三大集团阵营为主
[18:07] 那我们已经看到
[18:08] 就是群创股价已经
[18:09] 很明显这一波
[18:10] 外资买
[18:11] 然后技术面
[18:12] 就是呢
[18:12] 也是从军线纠结之后
[18:14] 开始一路的往上冲高
[18:16] 而且已经率先创波乱星高
[18:18] 那因为刚好
[18:19] 最近也有人问我说
[18:20] 那群创现在
[18:21] 会不会过热
[18:22] 或者说评价太高
[18:23] 因为以前
[18:24] 群创他们的一个古镜比
[18:26] 低的时候低到0.5倍以下
[18:28] 那高的时候
[18:29] 可能来到0.8或1倍左右
[18:31] 就是那是在面板
[18:32] 获利大发的时候
[18:34] 那现在已经冲到PP
[18:36] 超过1.2倍
[18:37] 会不会太热或过高
[18:39] 那我觉得因为
[18:40] 这一次它完全不是在涨
[18:42] 面板的景气复苏
[18:44] 它不是在赚面板的钱
[18:46] 如果是面板的钱
[18:47] 那确实那以前的评价的框架
[18:49] 就在那边
[18:50] 那不应该买进
[18:51] 可是现在市场
[18:52] 就是在涨一个想象溢价
[18:55] 说真的
[18:56] CPO我诚实跟大家讲
[18:57] 你说现在
[18:58] 对于联亚都没什么贡献的话
[19:00] 现在就要看到
[19:01] 对群创的贡献
[19:02] 没了
[19:03] 他自己董事长也有说
[19:05] 所以那时候台湾法说完
[19:07] 一路大跌
[19:08] 有点失望
[19:08] 可是现在已经完全超过
[19:10] 法说时的那个点了
[19:11] 15年的新高了
[19:12] 所以表示市场
[19:13] 消化为这个资讯之后
[19:14] 可能又找到了另外一个
[19:16] 去看待业绩跟股价的平衡点
[19:19] 大家可以接受说
[19:20] 对啦
[19:21] CPU反正就是在涨一两年后的事情
[19:23] 但是这个方向是对的
[19:25] 而且面板闷了这么久
[19:27] 需要一个转型的契机
[19:29] 对
[19:30] 所以其实群创
[19:31] 我觉得这一次的评价
[19:33] 你可以不再局限在以前的这种
[19:36] 古镜比循环
[19:37] 它的一个上限
[19:38] 它的天花板在哪里
[19:39] 先把它拿掉
[19:40] 我觉得就是看技术面从网面
[19:42] 外资买无力均线没破
[19:44] 你就持股子报好
[19:46] 空手人就是找机会翻黑的时候加码
[19:48] 那当然他所带起来的一个
[19:50] 轮动或比价效应
[19:52] 现在看起来也慢慢出现了
[19:53] 因为友达呢
[19:54] 相对来讲
[19:55] 外资这几天也慢慢在做加码
[19:57] 虽然买的力道还没有那么明显
[19:59] 但是像昨天买的还算蛮用力的
[20:03] 所以友达也开始补涨
[20:04] 那现在也开始往前波高点来做靠近
[20:06] 但是呢
[20:07] 这个不要画错线
[20:08] 画错重点
[20:09] 就是那今天看起来
[20:11] 彩金盘中还触及涨停
[20:13] 我觉得这就有一点是一个
[20:15] 美丽的误会
[20:16] 对跟风而已
[20:17] 对对
[20:17] 因为再强调的是
[20:18] 现在不是以前那个逻辑
[20:19] 两只老虎长完
[20:21] 换面板小猫
[20:22] 这次不是在长面板股
[20:23] 所以也千万不要呢
[20:25] 认为接下来会长
[20:25] 面板零组件
[20:27] 现在是在长
[20:28] 就是CPU的一个题材
[20:29] 好
[20:29] 两个集团
[20:30] 因为员工很多
[20:32] 所以每次在长的时候
[20:33] 就很容易在网络上
[20:34] 爬到员工在抱怨自己家
[20:36] 就是群创跟友达
[20:37] 就会很常讲说
[20:39] 我不知道
[20:39] 我们最近好像有在裁员
[20:41] 不是啊
[20:42] 人都跑光了
[20:42] 被挖走了
[20:43] 只是靠卖场有用
[20:45] 我很常看到这样的评论
[20:47] 但是我觉得就是论事
[20:48] 我们常常会面临到
[20:49] 公司内部啊
[20:50] 跟市场的想法
[20:52] 跟整体资本市场给的评价
[20:54] 是三回事
[20:56] 对
[20:56] 那现在看起来的话
[20:58] 我也非常认同威良讲的
[21:00] 既然面板没什么涨
[21:01] 面板只有好像涨一点点
[21:03] 一两块美元那种东西
[21:04] 对
[21:04] 那他们为什么会涨
[21:06] 那就不是跟面板没有关系了
[21:08] 反而要记得哦
[21:09] 假如真的面板的景气循环
[21:11] 还跑到上面的时候
[21:12] 对他们就更加分
[21:13] 那现在不管这个了嘛
[21:14] 现在就走
[21:15] 我卖场卖给谁
[21:17] 我可能卖给是这个日月光相关的
[21:19] 我可能跟台电在哪边会有合作
[21:22] 像之前友达是卖场给美光
[21:24] 也许是单纯卖场
[21:26] 也许是技术合作
[21:27] 大家各自有各自的盘算
[21:29] 那友达的好处是
[21:30] 他的转投资里面
[21:32] 富财顶缘
[21:33] 对不对
[21:33] 都是这一波在CPU里面大涨的
[21:36] 那群创
[21:37] 其实群创有转投资
[21:38] 但是跟CPU比较没关系
[21:39] 像标股瑞生光电
[21:41] 就是群创的转投资
[21:42] 这标翻了
[21:44] 那群创本人
[21:45] 他在卖场上面
[21:46] 看得出来都是想要跟对方
[21:48] 有所谓的技术连结的
[21:50] 不是单纯只有处理厂房而已
[21:51] 那今年卖场的业外收益
[21:53] 也会进来嘛
[21:54] 所以基本盘不用担心
[21:56] 要的就是上面那个光环
[21:57] 那刚刚讲到开法说的时候
[21:59] 这个洪董实在太诚实了
[22:01] 所以所有天文人
[22:02] 哇吓死了
[22:03] 什么CPU
[22:04] 好像虽然是有在开发
[22:06] 但是其实没有任何营收贡献
[22:07] 其实市场会不知道吗
[22:09] 好那现在接下来
[22:10] 就是看下一次下半年
[22:12] 群创法说怎么讲
[22:13] 或者是这中间
[22:15] 到底有没有所谓的一线客户
[22:17] 会出来承认群创是他的
[22:19] 关系的合作厂商
[22:21] 这些可能都是
[22:23] 比较正面的讯息
[22:24] 但我觉得最坏的讯息
[22:26] 既然在法说会上面
[22:27] 大家已经失望过
[22:28] 就不容易再重蹈覆辙
[22:29] 这个是大家可以关心的
[22:31] 然后另外刚刚也提到
[22:33] 姚慈基姆买东西
[22:34] 现在每天都有人会去传
[22:36] 姚慈基姆买什么
[22:37] 也不见得是万灵丹
[22:38] 但是大家今天可以很明显的看到
[22:40] 主动式的ETF就叠的
[22:42] 真的就是比较少
[22:43] 会比起这些标股来的少
[22:44] 因为他们再怎么样
[22:45] 都是有好几档涨
[22:47] 然后去抵消那几档的下跌
[22:49] 但有一个我很好奇的是
[22:51] 昨天981A买了1500张的华通
[22:55] 所以昨天华通很强
[22:56] 可是今天华通是直接杀下去
[22:59] 这一档公司让很多的投资人
[23:01] 是觉得很烦恼的
[23:02] 低轨卫星不是这几天
[23:04] 因为美国的火箭时间是在大涨
