[00:00] 欢迎收听赵华谊股货载第1159集
[06:37] 谁是你心目中的状元
[06:39] 可能每一对都不一样
[06:41] 但是有一个最重要的事情
[06:42] 这状元不能漏气
[06:44] 因为既然我两个看MBA一定知道
[06:47] 每一年的状元
[06:48] 后来大家去追踪嘛
[06:49] 有一些是水货状元
[06:50] 就是后来表现不怎么样的
[06:53] 而且可能比例还不是太小
[06:54] 就状元不一定是最后
[06:57] 最厉害的那一个
[06:58] Michael Jordan也不是状元
[07:00] 对
[07:01] 他们说最厉害都是那种
[07:04] 名校念到一半就决定不念的
[07:06] 要先考得上名校嘛
[07:07] 所以代表还是资质非常厉害
[07:09] 但没有念完的
[07:10] 所以现在如果要来选秀的话
[07:13] 你的心目中的选秀方式会是什么
[07:16] 比方说我观察到就是最近
[07:20] 即便同一个族群可能有话题
[07:23] 有吸引到市场资金
[07:25] 但是可能走势也非常非常的分歧
[07:28] 举第一个例子来看的话
[07:30] 就被动元件这一波
[07:32] 率先站上际线的
[07:34] 如果我没有漏掉谁的话
[07:36] 因为我把整个被动元件
[07:37] 大厂小厂都扫过一轮
[07:39] 发现如果以位积来看
[07:41] 站上际线的
[07:42] 第一个就3026和生堂
[07:44] 第二个6834
[07:46] 天鹅科技
[07:47] 这个是以这个
[07:48] 薄膜厚膜电阻为主的公司
[07:50] 那相对来看呢
[07:52] 其他的被动元件
[07:53] 尤其像国巨
[07:54] 那或华新科
[07:56] 凯美
[07:57] 信昌电
[07:58] 等等
[07:58] 这些呢
[07:59] 目前来看的话
[08:00] 都还在努力的反攻当中
[08:02] 不过还没有来到
[08:03] 季限的一个位阶
[08:04] 所以这个其实就开始在反映
[08:06] 就是族群的一个分化
[08:08] 那再来比如说
[08:09] 以载板来讲的话呢
[08:10] 今天8046
[08:12] 南电出关
[08:13] 那直接就是亮灯涨停板
[08:15] 而且看起来呢
[08:16] 他大概就是再涨个一两根红K
[08:20] 可能就可以回到历史的最高附近了
[08:23] 因为今天已经占上1200
[08:24] 但是呢
[08:25] 昨天开法说会的4958真顶KY
[08:28] 今天却是呢
[08:29] 大跌超过3%
[08:31] 所以这代表就是说
[08:32] 现在做股票已经不太像上半年那种氛围
[08:36] 雨露均沾
[08:37] 鸡犬升天
[08:37] 好像呢
[08:38] 载板其实说起来也不过只有四档股票
[08:41] 也可以如此的分歧
[08:43] 这代表就是说
[08:44] 现在市场的资金
[08:46] 就我刚才提到的
[08:46] 聪明钱
[08:47] 真的是还蛮挑剔的
[08:49] 是
[08:49] 因为刚刚讲到载办
[08:51] 我们也有跟大家聊
[08:52] 各自可能有的是ABF比较多
[08:54] 有的是BT载办比较多
[08:56] 那有的是
[08:57] 反而部分受惠于苹果
[09:00] 可能要有这个iPhone18
[09:01] 等等的拉货槽
[09:03] 各自的领域表现不一样
[09:05] 不过呢
[09:05] 三雄
[09:06] 南电
[09:07] 新兴
[09:08] 锦硕
[09:08] 各有拥护者
[09:09] 而真鼎是因为他之前
[09:11] 说实话
[09:11] 从200块左右涨上来的话
[09:13] 一般的股民真的持有蛮多真鼎的
[09:16] 而真鼎是一个多元题材
[09:18] 多元题材的好处是
[09:19] 可能某一块特别好的时候
[09:21] 它就会通通都沾得到
[09:23] 而且因为它是从
[09:24] 彩版的市占率低
[09:25] 慢慢的扩大嘛
[09:26] 所以在成长的想象空间上有
[09:29] 可是回归到数字的成长的时候
[09:32] 那你一定是纯的数字
[09:34] 年增率比较高
[09:35] 所以可能还是会先回到三雄的身上
[09:38] 我觉得这个大家可能在节奏上面
[09:40] 多少少要去掌握一下
[09:42] 但无论如何
[09:43] 撇除真鼎它比较复合性之外
[09:47] 另外三雄其实都算蠢
[09:48] 都算蠢
[09:49] 不管是你要去看ABF
[09:51] 或是BT方面的
[09:52] 所以我觉得他们就是
[09:53] 有点轮涨的态势
[09:55] 因为高盛对于他们三家
[09:57] 对于真鼎好像也有包括进来
[09:59] 2027 2028的成长速度
[10:02] 和EPS估计的跳跃度
[10:04] 都是非常高的
[10:05] 所以我觉得载板
[10:06] 好像目前也算是这波股灾下来
[10:09] 其实大家的市场共识度是最高的
[10:11] 被互助呵護住的一個族群
[10:13] 對那因為這個
[10:15] 漲價的一個態勢應該是蠻明朗化的
[10:18] 所以我想
[10:18] 這一波來講的話
[10:20] 算是少數
[10:22] 我覺得股災過後
[10:24] 姿態還蠻高的一個漲價族群
[10:26] 相對來說
[10:27] 那當然就是看大家的一個資金規劃的一個方向因為如果是要先抓短線動能比較強的話那畢竟就是南电他就是一样在现货比重比较高这是他最占优势的
[10:41] 另外就是又有大股东南亚
[10:43] 所以在这个所谓的一个TGS的波线部的部分
[10:47] 他更有在料源上面能够先巩固的一个优势
[10:50] 所以等于说这两大条件让他近期股价
[10:53] 就是算是有点跟新兴或锦硕稍微拉开一点
[10:57] 那现在反倒是变成
[10:58] 星星是跟这个
[11:00] 锦硕在作对厮杀了
[11:02] 过去星星是跟蓝电
[11:04] 是价格是比较靠近
[11:06] 甚至星星还短暂当过
[11:08] 载板里面的股王
[11:09] 那现在是跟锦硕比较靠近了
[11:11] 那这有意思
[11:12] 因为既然刚刚聊到
[11:13] 高盛的这个载板的大报告
[11:15] 其实他预计就是在这个
[11:17] 2027 2028
[11:19] 后面的一个成长来看的话
[11:21] 除了都有爆发性之外
[11:23] 那最新来看的话
[11:25] 2028年紧缩可能EPS会来到67以上
[11:29] 那新兴会跳到66
[11:30] 所以会变成说
[11:32] 如果这个报告有相当的参考性的话
[11:35] 会变成说
[11:36] 未来如果时间拉长的话
[11:38] 紧缩的EPS有可能会超车新兴
[11:40] 实际导致这两者之间的股价近期
[11:43] 其实是在靠拢当中了
[11:45] 新兴在1000块可能会有一些些要去努力的
[11:48] 因为这个地方的套牢量比较大一点点
[11:51] 这个载板我想大家都已经对他们歌功颂德了
[11:54] 我们就也没有要继续讲
[11:58] 就很好
[11:58] 其实我从来都没有讲
[12:00] 在外不好
[12:00] 我就回到威良之前
[12:01] 有帮我们研究过的一个产业
[12:03] 叫矽晶园
[12:04] 矽晶园自从这个
[12:05] 环球金要认列
[12:06] 所谓市创的价值减损之后
[12:08] 大家就心情有点摇摆了
[12:11] 说实话心情有点摇摆
[12:12] 我有看到因为他
[12:13] 他这波反弹比较弱
[12:15] 所以就很多人就一直觉得
[12:17] 很质疑这件事情
[12:18] 虽然我们有提醒
[12:20] 他会有资产的减损
[12:21] 他自然会有资产的回冲利益的
[12:23] 就是他如果今天又上升的话
[12:25] 只是大家会觉得
[12:26] 那这个有点叫做不确定因素
[12:28] 再加上环球竞开法说的时候
[12:30] 对全年的展望是比较持平的
[12:32] 也可能因为他的约已经签的差不多了
[12:35] 他很难有突如其来的激情这样子
[12:37] 不过今天系金元
[12:39] 大家似乎也觉得
[12:40] 都涨了
[12:41] 大家都涨了
[12:42] 也该是系金元了吧
[12:43] 所以反而今天系金元
[12:44] 就呈现一个很整齐上攻
[12:46] 必须讲技术形态
[12:48] 我已经请教朱老师了
[12:49] 朱老师认为系金元的形态还没有做好
[12:51] 这个是在技术形态上
[12:53] 因为他希望胜率高
[12:54] 可是如果以所谓
[12:56] 大家都涨了
[12:57] 我想要买比较合理便宜
[13:00] 还比较偏谈少的涨价题材
[13:03] 细节远远你会怎么看
[13:04] 如果这一波因为先抓反弹的话
[13:07] 可能我心目中的选择顺位
[13:11] 重新洗牌
[13:12] 我们直接给第一名
[13:13] 应该会是先看台胜科
[13:16] 你现在是在细节远远做排名
[13:18] 第二名的话还是环球金
[13:21] 那第三名才是合金
[13:23] 为什么
[13:24] 这个逻辑是这样
[13:25] 如果大家先看今天的股价
[13:27] 虽然说好像收盘没差别都涨停
[13:31] 不过从开盘的气势是有差别的
[13:33] 其实今天是台胜科领着合金
[13:38] 还有环球金一起攻涨停的
[13:40] 所以台胜科是先涨停的
[13:42] 对
[13:43] 那可能这个多少跟就7月营收的表现有关
[13:47] 那整体来看
[13:49] 因为累计前七个月的营收的年增率来说的话
[13:52] 台胜科是将近要快要到两成了
[13:56] 那合金大概是一成
[13:58] 那至于说环球金
[14:00] 其实它还是衰退的
[14:02] 只是说在过去几个月
[14:05] 它的累计营收年增率
[14:06] 这个负数是一直在收敛
[14:08] 那目前到七月份大概是负四个percent
[14:11] 那这代表就是说
[14:12] 我们过去所提到的
[14:13] 整个营运的策略不一样
[14:16] 造成了营收动能的强跟弱
[14:18] 近期看起来就是不太一样
[14:20] 因为环球金
[14:21] 既然是以长约为主
[14:22] 所以大家看到说
[14:23] 所谓的矽晶元涨价
[14:24] 那它至少可能会落后一季
[14:26] 甚至两季
[14:27] 才陆续开始去做反应
[14:29] 所以导致就是说
[14:30] 到目前来看的话
[14:31] 它还在消化一些
[14:33] 可能价格比较低的一个产品
[14:35] 所以营收的增长
[14:36] 就是比较慢
[14:38] 可是因为它的市值是最大的
[14:40] 所以法轮如果看好这个产业
[14:42] 当然还是会去押宝它
[14:44] 毕竟它也是龙头
[14:45] 所以这个部分
[14:47] 我想他还是有他一定的地位存在
[14:50] 这个是无庸置疑
[14:51] 但是如果是以台胜科来讲的话
[14:54] 因为营收动能好
[14:55] 然后再加上他背后两大股东
[14:58] 就日本的SAMCO跟台湾的台速
[15:00] 所以合计就占他的一个股权的比率
[15:03] 大概就将近七成了
[15:05] 所以在外流通筹码少
[15:06] 那这个时候因为我们在讲跌深反弹
[15:09] 其实有时候就是在冰柜神速
[15:11] 在比这个反弹的力道跟速度
[15:13] 那筹码越集中的越干净的
[15:15] 拉抬起来呢
[15:16] 就是越轻松
[15:18] 所以台胜科
[15:18] 为什么今天可以冲那么快
[15:20] 那合金呢
[15:21] 原本来说
[15:22] 我跟大家分享过
[15:23] 就是它的现货比重高
[15:24] 所以如果真的要论说
[15:26] 在涨价的趋势当中
[15:28] 谁将来可以受惠最大
[15:29] 我想当然合金会是
[15:31] 特别去留意的
[15:32] 可是问题就在于
[15:34] 它在三雄里面
[15:35] 它的股价是最亲民的
[15:37] 所以我也听到很多很多的散户
[15:40] 其实可能没有买环球金
[15:42] 也没有去报台胜科
[15:43] 都是在报合金
[15:45] 那从高点跌下来
[15:46] 其实是达到摇展的程度
[15:49] 所以这一波上去
[15:50] 我觉得它相对套牢的压力
[15:52] 会蛮沉重的
[15:53] 那今天会涨停
[15:54] 我认为因为
[15:55] 距离套牢的所谓深水区
[15:59] 还有一段距离
[16:00] 没有那么快
[16:01] 大家不会因为一根涨停
[16:02] 就觉得可以卖了
[16:03] 但是如果你给它
[16:04] 20% 30%之后
[16:06] 那就难说了
[16:07] 所以相对来讲
[16:08] 刚才这个细金源三雄
[16:10] 我们重新
[16:10] 在近期的反弹的顺位上面
[16:12] 会看好的是
[16:13] 台胜科环球金
[16:14] 再来才是合金
[16:15] 是
[16:16] 不过投信也得来认同一下
[16:18] 投信目前看来
[16:20] 对矽金园这个族群
[16:21] 就没有很认同
[16:22] 对就还是持续在卖
[16:24] 但是卖一卖
[16:25] 会不会卖出一个
[16:26] 新天地来的
[16:27] 有可能
[16:28] 因为像昨天前天
[16:30] 都有跟大家讲到金居
[16:31] 非常非常多散户朋友
[16:32] 都在关注金居的状况
[16:34] 那因为投信七八天以来
[16:35] 卖了一万多张
[16:36] 跟大家聊
[16:37] 但到了
[16:38] 昨天在聊的时候
[16:39] 投信的卖压已经减缓了
[16:41] 感觉上就是已经卖完了
[16:43] 所以后来就昨天一根涨停
[16:46] 今天再一根涨停
[16:47] 那可以看到投信已经有小买了
[16:49] 我觉得他这种转换
[16:51] 就从大卖变成不太卖了
[16:53] 因为可能卖完了
[16:54] 然后小买
[16:55] 他也可能会是一个热门族群
[16:57] 一个好的指标
[16:58] 因为现在的反弹上来
[17:00] 小伙伴们一定心情上面
[17:02] 会比较害怕
[17:03] 对不对
[17:04] 尤其是可能受到伤
[17:05] 甚至没有受到伤的
[17:06] 也会觉得才刚躲过风暴
[17:08] 不敢轻易的加码
[17:09] 甚至也有人有留言讲说
[17:12] 就算已经谈到
[17:13] 四万五千点以上了
[17:14] 其实我很多股票
[17:15] 根本没解套
[17:16] 因为当初可能追得比较高
[17:18] 所以以散户朋友们来说
[17:19] 还是需要一只有力的手
[17:21] 那个手就像是
[17:23] 我们那时候想
[17:23] 981A在国巨
[17:25] 跌到四百多块的时候
[17:27] 它没有卖
[17:28] 它反而是加码
[17:29] 这样抱上来
[17:30] 那样的底气才有办法说
[17:33] 扭转整个乾坤
[17:34] 我觉得这个还蛮重要的
[17:36] 所以像最近我们也会观察
[17:37] 投信在买什么
[17:38] 然后大户们有没有回来
[17:40] 其实大户也回来一半而已
[17:42] 大户也不是说这么厉害
[17:43] 每一个人到四万点都在赶着抄底
[17:45] 没有没有那么厉害
[17:46] 反而是隔日冲最近又多了起来
[17:49] 对因为就做一天比较不会那么害怕
[17:52] 所以我觉得在筹码上面
[17:54] 大家也可以留意
[17:55] 这个东西也是微量非常擅长的
[17:58] 因为微量带过投信
[17:59] 那你觉得现在投信的思维是什么
[18:02] 我发现最近投信还是做的
[18:03] 我觉得偏短
[18:04] 就有一些股票
[18:06] 只有个几天就会被丢出来
[18:08] 这就告诉我们
[18:09] 这个投资真的是要因时因事而已
[18:12] 因为毕竟有些股票
[18:14] 投信即便看好
[18:15] 他也怕外资要到货
[18:17] 或者说遇到
[18:18] 这个庞大的散户的解套压力
[18:21] 对
[18:21] 所以很明显
[18:22] 比方说像既然聊到981A的
[18:25] 陈川瑶经理人
[18:26] 他对于国巨
[18:27] 他是之前跌下来一张不卖
[18:30] 可是他对于南亚科
[18:31] 确实算是比较偏向短波段的操作
[18:34] 就比较灵活
[18:35] 留一张而已
[18:36] 对
[18:36] 所以我觉得这个部分就会是
[18:38] 要看每个个股
[18:40] 他除了基本面之外
[18:41] 其实也要对照位阶
[18:43] 那当然真实卖出的原因
[18:45] 我们不得而知
[18:45] 毕竟不是当事人
[18:46] 但是或许至少
[18:48] 从位阶上面来看
[18:49] 现在南亚科
[18:50] 已经跑到历史高位了嘛
[18:51] 所以可能呢
[18:52] 他认为利多是不是
[18:53] 也会暂时告一个段落
[18:55] 一个阶段
[18:55] 一个阶段分阶段来看
[18:57] 那国巨呢
[18:58] 因为毕竟他就是可能
[18:59] 我想因为从他的买法
[19:02] 他是从一月到六月
[19:03] 每个月都有买
[19:04] 每个月都有买
[19:05] 对所以其实呢
[19:06] 他也等于是
[19:07] 一路往上加上去
[19:09] 然后你想想看
[19:11] 如果一档个股
[19:12] 你连买了六个月
[19:13] 然后是继续涨
[19:15] 你还继续买
[19:16] 而不是说调节获利下车
[19:18] 那代表什么
[19:18] 你一定是对未来的前景
[19:20] 可能一个比较属于中长期的
[19:23] 基本面的趋势是有信心的
[19:25] 这样股票应该会被它定位成
[19:27] 就是像是波段的核心
[19:29] 而不是说做做短线
[19:31] 所以我认为从那种态势来看
[19:33] 它比较像波段
[19:34] 才会既然我这样的一个买法
[19:36] 结果突然从1200摔下来
[19:38] 但因为确实因为你跌得很快
[19:40] 所以来不及跑
[19:41] 那干脆也就不卖了
[19:42] 或许就会呢
[19:43] 折击在底部
[19:44] 反手再去做加码买进
[19:46] 所以这也是我提到
[19:47] 就是最近
[19:48] 如果要面对解套策略当中呢
[19:51] 我觉得每个投资朋友
[19:52] 可以先看看自己手上的持股
[19:54] 第一个就是你的成本
[19:55] 第二个就是你的张数
[19:56] 如果你的成本高
[19:58] 但是你的张数少
[19:59] 那不妨呢
[20:00] 就是在确认基本面
[20:01] 没有变差的前提之下
[20:03] 你可以再去反手加码摊平
[20:05] 降低成本
[20:06] 这样可以缩短解套的时间
[20:08] 但是如果你是成本高
[20:10] 而且张数也很多
[20:12] 那占比很大的话
[20:13] 我个人就不会建议说
[20:15] 再去做同样部位的加码了
[20:18] 比方说你不要因为套了很多国具
[20:20] 那因为不甘心
[20:21] 看到成本1000元
[20:22] 所以现在可能就急着在这边
[20:24] 一定要再去做加码加码加码
[20:25] 因为这样的占比可能会太高太高了
[20:28] 而且这样相对来说
[20:29] 会变成说
[20:30] 被动元件几乎就是你的台股部位的绝大部分
[20:34] 而且可能就是集中在
[20:35] 也许少数一档股票
[20:37] 那因为台股轮动的机会很多啊
[20:39] 像刚刚聊到有矽晶圆
[20:40] 有宅版
[20:41] 有CPO
[20:42] 那倒不如呢
[20:43] 把这些资金拿去呢
[20:44] 加码在其他族群
[20:45] 那至于说套牢这两个股
[20:47] 我觉得怎么办呢
[20:48] 如果你成本很高
[20:49] 部位又多
[20:50] 那就是设法呢
[20:51] 按照技术面
[20:52] 试着去做一点价差操作
[20:54] 五张你就拿个一两张出来
[20:57] 来回操作
[20:58] 那试着降低成本
[20:59] 那当然操作都不是
[21:00] 这个神乎其技的表演
[21:02] 所以难免有时候
[21:03] 会被卖掉不小心呢
[21:05] 就没有低点
[21:06] 那当然至少你还是有一些核心部位在因为这一波被动元件反弹我就自然没有做到因为我想大家都有听到我之前可能就是获利回吐的过程中我沿路把它就出掉了
[21:19] 之前在怨叹卖飞了
[21:21] 后来就幸好
[21:21] 所以说也常常讲一件事情就是
[21:23] 你永远都不太确定
[21:25] 你当下做的决定
[21:26] 会是对的还错的
[21:28] 你可能当初很扼腕
[21:29] 说卖太早的
[21:30] 后来就会庆幸
[21:31] 幸好有卖掉
[21:32] 所以自己到底在操作的决策上面
[21:34] 怎么做
[21:35] 实在是一件非常非常重要的事情
[21:37] 那看到被动元件
[21:38] 整体在复活的时候
[21:39] 我也会想啊
[21:41] 对不对
[21:41] 也会想说
[21:42] 当初那个
[21:43] 曾经报过一段时间
[21:44] 像信上店
[21:45] 那种一直往上
[21:46] 当然一直往下
[21:46] 就很恐怖
[21:47] 可是你会有那个
[21:48] 记忆
[21:49] 就记忆说
[21:50] 这个族群
[21:51] 曾经给你一个
[21:52] 我可能美好的回忆
[21:53] 或惨痛的回忆不一
[21:54] 真的
[21:54] 如果你做到
[21:55] 是圣诞树往上的那一段
[21:56] 还适时的卖掉
[21:58] 你就是留下
[21:58] 美好的回忆吗
[21:59] 可是如果你是
[22:00] 圣诞树往下
[22:01] 一路往下
[22:02] 做溜滑梯
[22:03] 可能就是惨痛的回忆
[22:04] 但我自己还是会回到
[22:06] 所谓的基本面来看
[22:07] 像上次我提到
[22:09] 我获利回吐很多的台庆科
[22:11] 可是台庆科
[22:12] 真的缴出来的业绩是好的
[22:14] 而且他也是跟大厂
[22:15] 真的有合作的
[22:16] 这个我还是在被动反弹的时候
[22:18] 他也不是弹最急的
[22:20] 但我还是不由自主
[22:22] 人就是惯性这样
[22:23] 不由自主就是觉得他比较稳
[22:25] 所以我会去看他
[22:26] 还有像心情保护元件
[22:28] 我以前也买过
[22:29] 那这一波
[22:30] 他在弹的时候
[22:32] 也是中规中矩的弹
[22:33] 可是他对我来说
[22:34] 就是产业地位
[22:35] 因为它是保护元件
[22:37] 它就跟所谓的
[22:38] 电力电阻这种东西
[22:39] 是非常有高度相关的
[22:41] 所以我也会优先看心情
[22:43] 我就比较不敢再回去看
[22:45] 当初这个日电帽
[22:47] 金山店
[22:48] 甚至和声堂下来
[22:49] 我也会想说
[22:50] 当初都没有参与到
[22:51] 那么腰的股票
[22:52] 但是我也不是那么敢
[22:53] 但和声堂也是有
[22:54] 它的产业地位
[22:55] 对不对
[22:56] 它的AI比重也是高的
[22:57] 所以我觉得
[22:58] 大家如果想要再去
[23:00] 做一次被动元件
[23:01] 上一次一起往圣诞树上
[23:03] 上去的时候
[23:03] 真的叫无差别
[23:04] 到后面
[23:05] 变成无差别
[23:06] 甚至我觉得业绩比较好
[23:07] 本益比比较合理
[23:08] 反而长得比较慢
[23:09] 确实
[23:09] 对
[23:10] 对
[23:11] 那溜滑梯大家都溜的
[23:13] 一样就通通溜下来的
[23:14] 长得不多的
[23:15] 那就溜
[23:15] 那个山就没那么高
[23:16] 就这样子而已
[23:17] 但是都是回到原点
[23:18] 可是重新起跑的话
[23:20] 我依旧还是会回到
[23:21] 我自己选股上面
[23:22] 我觉得要符合我的
[23:24] 至少在基本面上面
[23:26] 符合我的逻辑的
[23:27] 我比较敢去参与
[23:28] 因为回下来之后
[23:30] 如果他们还是有
[23:31] 在AI里面是有一席之地
[23:32] 且营收有缴出来
[23:34] 我觉得还是可以看
[23:35] 但是要不要期待像以前天天涨停
[23:38] 当然我觉得会有难度
[23:39] 因为市场上受伤人真的太多
[23:41] 像这一波原件
[23:43] 被动原件跌深之后呢
[23:44] 我的做法就是
[23:46] 择优择强去做加码
[23:49] 就像刚才提到的
[23:50] 那相对来说像比如说国巨
[23:53] 会考量到就是他的套牢的信众真的比较多
[23:57] 那我觉得他会推升
[23:59] 可是可能比较会慢一些
