[00:00] 欢迎收听赵华宜股货载第1073集
[04:24] 暂时还不会
[04:25] 为什么
[04:26] 因为主要跟大家讲一下
[04:27] 就是说被动式的是一定不会
[04:30] 为什么
[04:30] 因为被动式的基本是跟着指数走
[04:33] 他没有基金经理人在操作
[04:35] 也不能就是他去挂名
[04:37] 他没有那么多主动的想法
[04:39] 就是跟着指数走
[04:40] 那基金奖就是颁给
[04:42] 就是说帮投资人操作的
[04:44] 他不是以绝对技巧
[04:45] 而是说我们以这个类别里面最稳的
[04:49] 那主动式ETF
[04:50] 我觉得就有趣了
[04:51] 我们还在讨论之中
[04:53] 但是为什么还不会有
[04:54] 是因为说
[04:55] 我们最短的颁发年期是三年
[04:59] 这些我们看这些最老的
[05:01] 主动式的ETF
[05:01] 也不过不到一年的时间
[05:04] 就是说要达到我们颁奖的标准
[05:06] 可能还要再等个两年多
[05:08] 还要考验一下
[05:08] 但是不管怎么样
[05:09] 就是我觉得
[05:10] 这个现象蛮好的
[05:13] 就是我们从过去的主动式基金
[05:16] 到被动式的ETF
[05:17] 再到所谓的主动式的ETF
[05:20] 其实你会发现到
[05:21] 它有一个成长
[05:22] 我这次去日本跟马来西亚的时候
[05:26] 有见到一些比较大的
[05:28] 譬如说像是
[05:28] 比较日本的那些Nomura
[05:31] 或者是马来西亚比较大的
[05:32] 那个Public Mutual
[05:34] 其实我们都有交流一下
[05:35] 就是说当地的一个基金的一个状况
[05:39] 跟资产
[05:40] 他们的投资风气怎么样
[05:42] 跟台湾比起来
[05:43] 其实台湾在ETF这一块来讲
[05:45] 真的是比较热
[05:46] 他们蛮惊讶
[05:48] 特别是日本蛮讶异
[05:49] 就是说哇
[05:50] 这个ETF在台湾居然能够完成这个样子
[05:53] 而且还能热成这个样子
[05:54] 主要还是从高股息开始的
[05:56] 对
[05:56] 因为那时候高股息加上AI风潮
[05:59] 才开始的
[05:59] 要不然以前其实我们讲ETF
[06:01] 大家也都冷冷淡淡
[06:02] 我觉得每个国家
[06:04] 它流行的东西不太一样
[06:05] 像日本呢
[06:06] 很多年前
[06:07] 大概十余年前
[06:08] 有一种叫做Dopper Decker Fund
[06:10] 那个蛮特别
[06:11] 它什么意思呢
[06:12] 它其实就是连结像
[06:14] 因为那个时候啊
[06:14] 巴西的基准利率是15% 26%
[06:17] 非常的高
[06:19] 然后他就去连结那边的一个市场
[06:22] 然后用很低的日元
[06:23] 然后这样进行操作
[06:25] 所以呢
[06:26] 在那个时间点来讲的话
[06:29] 其实绩效也变得是还蛮好
[06:31] 有一阵子热过一段时间
[06:33] 但后来就不流行了
[06:34] 为什么
[06:34] 因为后来基准利率降下来了
[06:36] 而且巴西里尔的一个汇率的波动很大
[06:40] 很多人反而是赚到赔到汇差
[06:44] 就是像之前大家弄南非币
[06:46] 对对对
[06:46] 你赚了利息就会插去大费
[06:49] 所以我就觉得说
[06:50] 每个市场
[06:51] 我觉得台湾在ETF这一块
[06:53] 我有点天时地利人和
[06:54] 所以我觉得在发展上面来讲
[06:57] 就是我们讲了
[06:58] 本来都是ETF
[07:00] 但是为什么台湾可以这么的热
[07:02] 我觉得真的有它的一个
[07:04] 很重要的原因在
[07:06] 就是说高股息之外
[07:08] 我觉得传统的被动式的
[07:10] 0050从
[07:11] 我真的看它长大的
[07:13] 从它刚刚开始
[07:15] 那時候白董事長還跟我講說
[07:17] 他為了這個0050改了
[07:20] 想辦法就是應該請託立法部門
[07:24] 結果改了好多好多不同的一個法規
[07:27] 最後才上市成行
[07:29] 但是那時候我記得是三十幾塊吧
[07:31] 但是呢
[07:32] 2004還03年的事情
[07:34] 很久了
[07:35] 現在2026了
[07:37] 二十幾年前的事情了
[07:38] 但是你會看到他在熱也不過是
[07:42] 最近這幾年因為台股變得多頭
[07:44] 不然以前
[07:45] 大家都是背低点
[07:47] 不是在背高点
[07:47] 有没有还记得
[07:48] 三四一一
[07:50] 没有因为以前一觉得
[07:52] 到了万点以上
[07:54] 就会回到
[07:55] 万点就会回到
[07:56] 一直有这个概念
[07:56] 一直到
[07:57] 甚至一直到
[07:58] 其实没多久
[07:59] 就是2020年
[08:00] 疫情的时候
[08:01] 那个时候先下去
[08:02] 然后再上来
[08:03] 不是将近一万点
[08:04] 还是一万两千点
[08:05] 大家说那不就是
[08:06] 历史高点了吗
[08:07] 也不过就六七年前的事情
[08:09] 但现在已经是三万点
[08:11] 整整是完全不一样的世界
[08:14] 所以我才说
[08:15] 其实台股
[08:16] 或者我们基金ETF的发展
[08:18] 是有天时地利人和
[08:19] 因为我们有很棒的科技族群
[08:22] 还有AI族群
[08:24] 我觉得这是跟很多国家
[08:26] 很不一样的地方
[08:27] 我也觉得这点很令人骄傲
[08:29] 就是像我们每天在
[08:30] 帕克尔或是理财大人秀讲的
[08:32] 当然有人会说
[08:33] 怎么动不动就是讲这些
[08:34] 对啊
[08:35] 因为台湾厉害就是这些
[08:37] 大家还记得
[08:38] 赵豪最喜欢什么
[08:39] 半导体
[08:40] 他是不是引领风骚
[08:41] 20年之后
[08:42] 他还是风骚
[08:44] 它更豐收
[08:45] 因为台积电的关系
[08:47] 对
[08:48] 还有刚刚念的很多都是设备股
[08:50] 因为到处盖厂
[08:51] 而且不止台积电盖厂
[08:53] 可能它的竞争对手三星
[08:55] 可能也想要盖厂
[08:56] 或者是记忆体的厂商
[08:57] 美光也要盖厂
[08:57] 大家都要盖厂
[08:59] 那台湾的这些设备厂
[09:00] 其实早年
[09:01] 台湾的设备厂没有那么厉害
[09:03] 我们本一笔都给十倍
[09:04] 都觉得就是这样
[09:06] 然后台积电都是跟别人买设备
[09:09] 因为国外的是日本的
[09:10] 美国的
[09:11] 甚至荷兰的
[09:12] 都比台湾的好
[09:13] 可是因為扶植本土廠商的關係
[09:15] 所以現在大家就會告訴你
[09:16] 接台積電訂單接到2028
[09:19] 對
[09:19] 這個是一個非常
[09:20] 讓我覺得很驕傲
[09:22] 而且是非常不一樣的質變
[09:24] 我覺得這個是大家要理解說
[09:25] 為什麼現在設備股
[09:26] 有的是50倍倍一比
[09:27] 就是因為他們已經是
[09:29] 完全台積電的好朋友
[09:30] 跟台積電一起長大了
[09:31] 對 機友友們
[09:32] 對啊
[09:33] 然後還有PCB對不對
[09:35] 因為以前我們看PCB的時候
[09:37] 也一樣喔
[09:38] 然後傳統版 工業版 汽車版
[09:40] 單層版 雙層版就這樣子
[09:42] 然後有人有做到一些多層版沒有錯
[09:45] 然後現在它也是AI非常非常重要的一環
[09:48] 台灣的PCB產值在全世界
[09:50] 如果加總來說我們的產值是第一大喔
[09:52] 對啊而且你看我就回想起說
[09:54] 20年前那個華通啊
[09:57] 對啊
[09:57] 金箱店啊
[09:58] 就是low low的
[09:59] 對對對
[10:00] 金箱店不會賺錢你知道嗎
[10:02] 金箱店還曾經10塊過
[10:04] 現在不一樣了
[10:05] 就是賠錢的公司啊
[10:06] 對對對
[10:07] 所以我覺得就是說現在
[10:09] 剛好也提醒
[10:10] 1000塊
[10:11] 对对对
[10:11] 刚才提醒天空模棱
[10:12] 就是说其实可以趁着这一波
[10:14] 因为其实AI的改变
[10:17] 我觉得它是一个非常长期的
[10:20] 然后它带动了一个产业的脉动
[10:22] 其实是真的好像刮蚂蚱这样子
[10:24] 一串一串的
[10:25] 所以我觉得就是说
[10:26] 大家可以不妨
[10:28] 趁着这一段时间可以去多看看
[10:30] 那我觉得是这样子
[10:32] 每天收看赵华的节目是必要的
[10:34] 因为赵华每天都会把最新的脉动告诉大家
[10:38] 而且还会啰哩啪嗦
[10:39] 没有没有
[10:40] 这叫苦口婆心
[10:42] 他们喜欢被念
[10:42] 我现在觉得好可怕
[10:43] 大家都跟我说
[10:44] 我喜欢听你念人
[10:45] 这是苦口婆心
[10:46] 对
[10:47] 那另外一种就是说
[10:48] 如果你对产业脉动
[10:49] 你觉得没有那么快
[10:51] 然后资金没有那么多
[10:52] 我们还是强调
[10:53] 其实基金跟ETF
[10:54] 是你最好最好入手的
[10:56] 真的
[10:56] 因为呢
[10:57] 举个例子来讲
[10:59] 我就打仗的时候吧
[11:01] 打仗没多久之后
[11:03] 其实台股有做一个
[11:04] 比较明显的一个回档
[11:06] 那时候呢
[11:07] 我妹妹说
[11:08] 她想要再加买一些投资
[11:10] 我说你不怕
[11:10] 他说有好的话干嘛怕
[11:12] 那我就说好啊
[11:13] 那你就买
[11:14] 他跟我说
[11:15] 他同事都叫我买0050
[11:17] 然后我就说
[11:19] 也不是不行
[11:21] 但我会比较推荐主动式的
[11:23] 我那时候就推荐他一档
[11:26] 主动式的ETF
[11:29] 那时候买18块
[11:31] 可以讲了吗
[11:31] 可以
[11:32] 981A
[11:33] 981A
[11:34] 我跟你讲
[11:34] 我们刚刚两个就在讲说
[11:35] 我说志源哥
[11:36] 我们981A是很跑
[11:38] 可是我们也不要一直pomote他
[11:40] 他都不下广告
[11:41] 开玩笑
[11:41] 但是我们也发现一件事
[11:43] 因为他的绩效真的非常好
[11:44] 真的很好
[11:44] 然后他的规模也破千亿
[11:46] 第一档主动收购千亿
[11:47] 所以你会发现很多的
[11:49] 不管是那种网红
[11:50] 部落客 财经大人
[11:51] 其实都会讲到981
[11:52] 他已经免费用绩效
[11:54] 帮自己做广告
[11:55] 对
[11:55] 那我会建议我妹妹买的原因
[11:57] 并不是因为大家都爱讲
[11:59] 而是因为说
[12:00] 我觉得就是投资
[12:03] 你还是会想到说
[12:04] 一个比较积极主动一点
[12:05] 然后赚钱速度快一点
[12:07] 然后在选股上面
[12:08] 是比較有攻擊性的
[12:10] 所以我會覺得就是說
[12:11] 雖然0050也很好
[12:13] 但是它就是跟著台積電跟那大型的全職鼓奏那我覺得981A的話可能會比較有一點這種波動跟脈動的部分我覺得可能是比較適合我妹妹的所以我妹妹那時候
[12:25] 剛掛的時候還
[12:26] 我記得她那一天
[12:28] 跌的還比較多
[12:30] 就掛18塊
[12:31] 後來我就說買不到
[12:33] 我說沒關係掛著
[12:34] 反正盤不好
[12:35] 她說不行
[12:35] 她就把這個價格
[12:37] 稍微提高一點點
[12:38] 她提高了兩三次
[12:40] 然後她買到了
[12:42] 其实它持股不到
[12:44] 可能不到一个月时间而已
[12:48] 但是现在已经20多块钱
[12:50] 对 今天是在续创历史新高
[12:52] 速度非常的快
[12:54] 是 因为刚刚有提到说
[12:55] 虽然今天盘大部分时间是黑的
[12:57] 尾盘拉起来
[12:58] 但是981A在今天开盘没多久
[13:00] 它又再创历史新高
[13:01] 就是因为它会去帮大家抓到
[13:04] 刚刚我念的这一些
[13:05] 不管有没有涨停
[13:06] 或者涨个六七八趴的
[13:07] 这些强势热门族群
[13:09] 其实我们也不只有981A
[13:12] 因为我刚出来之前
[13:13] 我们不要一直只讲981A
[13:14] 我出来之前
[13:16] 顺便把结算到昨天
[13:18] 因为昨天台股大涨
[13:19] 今天还没出来
[13:20] 然后顺便让各位听众朋友
[13:22] 大家感受一下
[13:23] 这主动是一条
[13:24] 竞争有多激烈
[13:25] 在这个战场
[13:26] 就跟武安侯一样
[13:29] 竞争很激烈
[13:31] 第一名到今年以来
[13:32] 到昨天为止
[13:34] 第一名是00992A
[13:36] 992A吗
[13:38] 这个主动群议台湾科技创新
[13:40] 今年来的绩效是38.1
[13:43] 第二名是994A
[13:45] 主动第一金台股趋势优选
[13:49] 34.3
[13:50] 第三名才是981A
[13:52] 主动统一台股增长33.5
[13:55] 然后再来是987A
[13:58] 主动台新台湾优势成长32.4
[14:02] 这个我有注意到
[14:03] 再来是991A
[14:04] 主动复华台湾未来五市是30.2
[14:07] 你看光前五名
[14:09] 今年以来台股涨多少
[14:11] 20%
[14:12] 他们这些全部都在30%以上
[14:15] 所以你就知道说
[14:16] 这个战场竞争真的是非常非常的激烈
[14:19] 所以我自己也有跟大家聊说
[14:21] 因为每个人都会比较专注
[14:23] 在自己已经买好的ETF上面
[14:26] 所以像刚刚讲992A
[14:28] 我知道因为群一是我们的老朋友了
[14:30] 所以他应该也有来找我们
[14:31] 帮他讲过这档商品
[14:33] 所以这边也再度的呼吁一件事
[14:35] 就是我现在觉得
[14:36] 我的观众已经比较少这样的情况
[14:38] 有人会觉得说
[14:39] 这个就不是商品置入吗
[14:41] 不是
[14:41] 如果没有讲
[14:42] 你会怎么知道
[14:43] 他选股的逻辑
[14:45] 对对对
[14:45] 和他的绩效表现
[14:46] 对不对
[14:47] 像刚刚讲的群一
[14:48] 这档的科技创新
[14:49] 他显然就是着重在
[14:51] 有创新能力的科技上面
[14:53] 所以他的持股
[14:54] 肯定就是会跟我们
[14:55] 刚刚提到的热门股
[14:56] 有高度相关
[14:57] 才会角出这样的表现
[14:58] 对没错
[14:58] 其实我觉得
[14:59] 这个要澄清一下
[15:00] 就是说
[15:01] 我们买一个东西
[15:02] 也是一样
[15:02] 一定会有个广告
[15:04] 会看一个广告
[15:05] 然后你可能
[15:07] 这个明星用了
[15:08] 或谁用
[15:08] 穿起来穿的衣服很好看
[15:10] 比方说光汉跟Unicor
[15:11] 对不对
[15:12] 你会觉得
[15:12] 这张打好像很好看
[15:14] 然后我会买一个东西的时候
[15:16] 你要有一个产品的介绍
[15:17] 你才知道说
[15:18] 它诉求的一个地方
[15:20] 在什么地方
[15:21] 所以我觉得一样
[15:22] 基金产品或ETF
[15:24] 你不介绍
[15:25] 你怎么会知道说
[15:26] 它好的地方在哪边
[15:27] 所以我觉得都是这样子
[15:29] 资讯的吸收
[15:30] 我还是强调就是说
[15:31] 我们看节目
[15:32] 听节目
[15:33] 不管你的来源是哪边
[15:35] 电视也好
[15:36] 广播也好
[15:37] Podcast也好
[15:38] 最重要的是什么
[15:38] 把这个资讯吸收进来
[15:41] 然后你呢
[15:42] 怎么样
[15:42] 消化
[15:43] 你消化之后
[15:44] 可能觉得
[15:44] 你消化不良
[15:45] 觉得这个讲的不好
[15:46] 或这个没有深得我心
[15:48] 所以怎么样
[15:49] 不买
[15:49] 可以
[15:50] 至少你了解它
[15:51] 对对对
[15:52] 你了解它
[15:52] 但是消化的结果
[15:54] 知道你觉得说
[15:55] 好像跟你的契合度
[15:56] 没有那么高
[15:57] 但如果说
[15:58] 消化之后
[15:58] 你觉得有道理
[15:59] 那可以把它列入
[16:01] 未来的参考之一
[16:02] 好
[16:03] 因为992
[16:04] 我自己比较少提
[16:04] 大家就知道
[16:05] 虽然我跟群一很不错
[16:07] 可是显然没有买到它
[16:08] 我来帮大家讲一下
[16:09] 他现在的成分股持有什么
[16:11] 当然这个台积电台光电
[16:13] 这个大概三台
[16:15] 三台
[16:16] 三台叉电
[16:17] 都是基本盘
[16:18] 但是接下来呢
[16:19] 他前面的前十大持股里面
[16:21] 有尹威旺系
[16:22] 尹威旺系大家就知道厉害了
[16:24] 尹威算钱
[16:25] 现在回八千块了
[16:27] 奇宏
[16:28] 新兴载板
[16:29] 托洛威
[16:31] 而且托洛威他
[16:32] 如果以我昨天拿到的资料
[16:33] 他还加码
[16:35] 加则稳帽
[16:37] 当然也有中到这个群联
[16:39] 因为机体最近当然是相对之下
[16:41] 没有那么强
[16:42] 可是之前很强嘛
[16:43] 它还有光盛
[16:44] 高丽
[16:45] 高丽今天也是千元股咯
[16:47] 智茂
[16:48] 这个是在设备股里面
[16:50] 不断创新高的股票
[16:51] 所以为什么它会这么厉害
[16:53] 对
[16:53] 就是看这个组合就知道啦
[16:55] 这组合就标股
[16:56] 对没错
[16:57] 大清单啊
[16:58] 可是我们刚才有讲到
[16:59] 就是说
[16:59] 你不要讲
[17:00] 我们讲前十大就好了
[17:02] 真的每一档
[17:03] 我都说是好股票
[17:04] 我们都知道
[17:04] 也都很想买
[17:05] 可是你看
[17:06] 动不动都是上千元
[17:08] 都是一百万以上
[17:10] 所以这个状况来讲的话
[17:11] 真的不是很
[17:12] 对投资人来说
[17:13] 你说可以买零股
[17:14] 我还是真的觉得说
[17:16] 买零股的效率
[17:17] 还是没有买基金或ETF来得好
[17:20] 第一个呢
[17:20] 你要看那么多
[17:21] 然后第二个呢
[17:23] 就是说你还不一定
[17:23] 你挂了价格还不一定成交
[17:25] 不是说每一档各国流通性
[17:27] 都来得那么好
[17:28] 所以我还是会比较建议大家
[17:30] 你还是可以从ETF或基金去下手
[17:33] 所以我们刚刚讲的这些
[17:34] 主动式的ETF
[17:36] 你看前五名
[17:38] 我觉得真的厮杀了非常的激烈
[17:40] 而且从今年以来
[17:42] 在历经整个中东战争之后
[17:44] 能够创造平均超过30%的这五档
[17:48] 我觉得这真的都是你值得留意的
[17:51] 这个非常重要的ETF
[17:53] 对 我刚刚讲说个股很迷人
[17:55] 我想大家确实
[17:56] 今天还是有快70档涨停的时候
[17:58] 如果你的个股是亮灯的那一档
[17:59] 就像昨天有人跟我说
[18:01] 他有14颗灯
[18:02] 因为昨天有109档涨停
[18:04] 它有14颗灯
[18:05] 是很猛
[18:06] 然后普通的可能也三颗灯
[18:07] 四颗灯
[18:08] 那个当然令人很开心
[18:09] 可是如果今天有一档ETF
[18:11] 它可以帮你把灯就收集起来
[18:13] 你不用自己去收集
[18:15] 就有差
[18:16] 像刚刚讲到这个00987
[18:19] 这名字啊
[18:20] 有点谐音
[18:21] 好
[18:22] 但是也让人家印象深刻
[18:23] 它刚好成立在去年我生日的那一天
[18:25] 12月16号
[18:27] 好
[18:27] 那它刚刚也提到绩效很好
[18:29] 我觉得也看了一下
[18:30] 其实也不外乎什么呢
[18:32] 它的前几大持股
[18:33] 有奇鸿旺系台药
[18:35] 台药今天在创高
[18:36] 要800块钱了
[18:38] 认识他的时候才140块
[18:40] 我再跟大家讲一个数据
[18:41] 可能大家会更有感
[18:42] 昨天台股不是涨了1000多点
[18:45] 算很多对不对
[18:46] 可是所有的这些
[18:48] 因为现在台股的主动式ETF
[18:50] 应该有20档
[18:52] 如果说是非常积极
[18:54] 1234
[18:55] 因为我跟你讲
[18:56] 我很急迫
[18:56] 我还请我的资讯系的好朋友
[18:58] 写了一个程式
[19:00] 每天在订
[19:01] 所有主动式ETF的加减股持股
[19:03] 虽然也有APP有做这个事
[19:05] 可是因为这个功能
[19:06] 我要加什么
[19:07] 我可以自己加
[19:07] 我为了主动式ETF
[19:09] 居然搞了一个这种东西
[19:11] 在看
[19:11] 我目前有列出来
[19:13] 大概十多档
[19:14] 十几档
[19:14] 以这十几档的
[19:17] 台股主动式ETF来看的话
[19:18] 昨天台股大涨
[19:21] 但是这些台股主动式ETF的
[19:23] 平均单日涨多少
[19:24] 6.1个percent
[19:26] 真假
[19:26] 6.1平均吗
[19:28] 平均
[19:28] 平均吗
[19:29] 所以低于这个数字的主动ETF
[19:31] 昨天是不合格吗
[19:33] 因为我们也有981A
[19:34] 我特别帮他看981A
[19:35] 981A涨7%
[19:37] 所以你会发现到说
[19:38] 真的都涨得比这些四值型的更高
[19:42] 因为这些中小型或利基型的个股
[19:44] 就是在所谓的主动式ETF的一个战场
[19:48] 所以为什么就是说
[19:50] 你看它如果市场在反弹的时候
[19:53] 像今天其实指数没什么涨
[19:55] 但赵怀有提到
[19:56] 就是说很多个股还是亮灯
[19:58] 很多主动ETF也创高
[20:01] 对没错
[20:01] 就是因为这些主动式的基金经理人
[20:03] 真的是非常积极主动
[20:05] 而且在追求我们一般所谓的α
[20:08] α的意思就是说
[20:09] 要比一般市场
[20:10] 假设一般市场涨3%
[20:12] 然后它可以给你5%
[20:14] 那个多出来的2%
[20:16] 我们就叫做什么α
[20:17] 所以这个就是基金经理人的价值
[20:19] 那为什么现在
[20:20] 你说那主动式的ETF
[20:23] 跟主动式的基金差在哪边
[20:25] 其实我觉得就是
[20:26] 过去我们主动式基金
[20:28] 讨论的比较多
[20:29] 好多几年前
[20:30] 但是现在比较少的原因就是
[20:32] 我觉得主动式的基金
[20:34] 少了一个东西
[20:35] 就是它的透明度
[20:36] 比较没那么够
[20:38] 什么意思呢
[20:39] 就是因为主动式的基金
[20:40] 它不像主动式的ETF
[20:42] 它不太需要
[20:43] 它不需要每天
[20:45] 公布它的持股
[20:46] 所以你基本上会看到
[20:48] 这个主动式基金的持股
[20:50] 我都是在哪里
[20:51] 月报
[20:52] 月报的话
[20:53] 最起码已经落后
[20:54] 一个月以上了
[20:55] 那我看你一个月
[20:57] 一个月以后的这个行情
[20:59] 早就已经变化成
[21:00] 不知道什么样子了
[21:01] 但是呢
[21:02] 主动式ETF不一样
[21:03] 因为它是ETF
[21:04] 所以它在揭露的透明度上面
[21:07] 比较高
[21:08] 而且它有主动式的
[21:09] 所以呢
[21:10] 像赵华刚刚念的那个
[21:12] 不管是992A
[21:13] 或981A的这个持股啊
[21:15] 其实它是每天都在变动的
[21:17] 所以呢
[21:18] 你看它的一个持股的一个
[21:20] 当日持股最新的状况
[21:22] 都不一定是最新的
[21:23] 因为可能
[21:24] 像因为今天可能差不多五点之后
[21:27] 他们就会陆续更新了
[21:29] 所以呢
[21:30] 我觉得这段时间也蛮有趣的
[21:32] 就是我也会透过一些APP
[21:34] 去看一下这些热门
[21:35] 像我们刚刚讲的981A 991A
[21:38] 或992A这一些热门的这个主动式ETF
[21:41] 它每天进出了状况
[21:44] 我可以举一个例子来说的话
[21:46] 就是我记得差不多两个礼拜之前吧
[21:50] 我就留意到说
[21:51] 981A增加一档持股
[21:53] 叫做新泉
[21:54] 那如果就是说
[21:56] 风策股
[21:57] 对 风策
[21:58] 那以前就是
[22:00] 他跟那种盘中那种节目
[22:02] 第四台老师在讲的那种东西
[22:04] 其实是不太一样
[22:05] 因为这个是实打实的
[22:06] 今年会去买的
[22:08] 然后他过去没买过
[22:09] 然后突然之间买了
[22:11] 而且买的张数还不少
[22:12] 所以我就会觉得说
[22:13] 蛮有趣的
[22:14] 他会让我会特别去注意到
[22:16] 就是说981A
[22:17] 他可能他想的部分在哪边
[22:20] 那我对新泉也不熟
[22:21] 我就特别再去看一下
[22:22] 对就是赵华说
[22:24] 就是在ASIC风策这一块
[22:27] 所以这个测试的部分
[22:29] 我就觉得说
[22:30] 那应该就是981A
[22:32] 想要抓的一个新的方向
[22:34] 我觉得对你自己
[22:35] 如果你在操作个股的人
[22:37] 就算你不是操作个股也好
[22:39] 就是你可能看这些
[22:41] 或者是我们看这些
[22:42] 主动式强的这些ETF的
[22:44] 共同的方向
[22:45] 比如CCL
[22:46] PCB
[22:47] 电源这些
[22:48] 你大概也可以有一个感受度
[22:50] 就是说市场的资金
[22:52] 往哪个方向走
[22:53] 但是到底要不要跟着
[22:55] 主动式ETF去换股
[22:56] 不用啦
[22:57] 我是觉得不用
[22:58] 因为他们真的变化蛮快的
[23:01] 自从我做了这个网页之后
[23:03] 去收集
[23:04] 就会发现
[23:05] 我这个还把所有的主动式
[23:07] 共同买什么也都有列
[23:08] 可是第一是
[23:09] 他们很快
[23:10] 我觉得基金经理人
[23:12] 我不晓得他们以前操作
