[00:00] 欢迎收听赵华一谷货载第1048集
[03:24] 毕竟从川普开始指挥美国
[03:29] 发动攻击以来
[03:30] 目前的状况似乎还是持续的一个胶着当中
[03:33] 那当然因为伊朗
[03:36] 他的不管是国土面积
[03:38] 还有人民相对来说
[03:41] 也算是一个中型规模的国家
[03:43] 比较没有办法说
[03:46] 像之前委内瑞拉这样子
[03:48] 一口气就把总统抓走
[03:49] 然后事件就落幕了
[03:51] 所以這個事件目前看起來呢
[03:52] 還是在持續的進行當中
[03:55] 當然
[03:55] 國際股市呢
[03:57] 一旦遇到這種影響全球
[03:59] 經濟的一個重大事件的話
[04:02] 當然第一時間呢
[04:03] 特別是一些
[04:04] 比如說像對沖基金
[04:05] 這種比較短線的資金
[04:07] 他們當然就是交低抹油
[04:09] 先跑再說
[04:10] 那當然這個一賣
[04:11] 就會引動連鎖效應
[04:13] 甚至
[04:14] 包括像是一些這個
[04:16] 虛擬貨幣啦
[04:17] 等等
[04:18] 其實現在的全球金融市場
[04:20] 可以說是千里法而動全身
[04:22] 那再加上從元月份以來
[04:24] 其實不只台股
[04:25] 美股的部分
[04:26] 部分的一些強勢產業或主流產業
[04:29] 其實累積的漲幅也非常大
[04:30] 所以通常在高檔
[04:32] 一旦有人開始賣股票的話
[04:34] 大家就會開始出現
[04:37] 一連串的一個連鎖效應
[04:39] 所以導致台股今天
[04:41] 也中錯了1400到1500點
[04:44] 那當然就技術面的角度來看的話
[04:47] 台股大概今天是收盤
[04:49] 有跌破这个月线的支撑
[04:50] 目前月线大概在33000
[04:52] 那刚刚赵伟提到
[04:55] 昨天我们这个
[04:56] 统一投顾的这个Tina
[04:58] 其实他有提到说
[05:00] 可能也有机会往季线来去做修正
[05:03] 那我觉得这个
[05:04] 这个估计或预测是合理的
[05:06] 大概在月季线这个位置
[05:08] 其实是有可能会触到的
[05:10] 不过呢我还是讲
[05:11] 我的看法
[05:12] 一个大前提是
[05:13] 我认为今年2026年
[05:16] 在AI的带动下
[05:18] 其實整體的台灣
[05:20] 或者說美國的這些科技業
[05:22] 他們的獲利還會持續的成長
[05:24] 所以等到這個事件反應完畢之後
[05:26] 整個大盤就會回到它應該有的
[05:30] 照著基本面的軌道
[05:31] 那只是說這個時間點到底會拖多久
[05:35] 這個是比較沒有辦法預期的
[05:37] 因為畢竟到目前為止
[05:40] 其實伊朗雖然說之前
[05:42] 包括像他們所謂的最高領袖
[05:45] 還有就是排名比較順位的領導人
[05:47] 可能都被美国精准给
[05:50] 这个用导弹给狙杀了
[05:52] 不过似乎他们也有准备
[05:54] 再推派新的这个领导人
[05:56] 所以呢
[05:56] 这个事件来看的话
[05:58] 短期之内
[05:59] 可能还会持续
[06:01] 余波荡漾一阵子
[06:02] 但是我还是强调一点
[06:04] 2026年整体的架构
[06:05] 我个人还是会觉得是
[06:07] 可以偏多轨道上行
[06:09] 那我们举个例子来讲
[06:10] 像去年4月
[06:11] 突然川普丢一个关税出来
[06:13] 其实台股呢
[06:14] 也是突然之间
[06:15] 一下子就
[06:16] 我记得大概是从24000 25000
[06:19] 直接杀到17000 18000
[06:21] 其实大概半个月里面的时间
[06:24] 跌了大概7000 8000点
[06:26] 那一段时间
[06:27] 其实市场也是非常的恐慌
[06:29] 但是等到这个事件反应过去之后
[06:32] 其实大家可以发现
[06:33] 股市该涨的该跌的
[06:36] 它其实还是会回到基本面的角度上
[06:39] 所以我认为这一次的下跌
[06:40] 第一个当然考量到的
[06:42] 就是你所谓的资金控管能力
[06:44] 那在三万五三万六这个位置
[06:46] 如果说你手上的这个部位压比较满的话
[06:50] 特别是有动用到一些所谓的杠杆
[06:53] 杠杆不然融资啦
[06:55] 期货全镇这些
[06:58] 当然我还是建议你可能要适度的去做一些减码
[07:01] 因为假设半个月或一个月之后
[07:03] 这个美伊战争正式的这个结束
[07:06] 可是呢
[07:07] 如果你这个资金是压满的
[07:09] 那中间可能一档个股
[07:11] 一口气可能回了
[07:12] 比如说20%好了
[07:14] 那你這些所謂有開槓桿的
[07:16] 不管是融資啦
[07:17] 齊貨啦
[07:18] 個股齊啦
[07:19] 或者說是所謂的
[07:20] 權證的部分
[07:22] 可能你等不到一個月
[07:23] 那個股市止跌回穩往上走
[07:25] 為什麼因為
[07:26] 開槓桿的效用就是這樣就是
[07:29] 賺的時候很快
[07:30] 但是賠的時候呢
[07:32] 也是一下子呢
[07:33] 會讓你這個損失慘重
[07:35] 所以呢
[07:35] 第一個當然就是你的資金不會控管
[07:37] 還有所謂的這個槓桿工具的應用
[07:39] 這是第一個
[07:40] 再來第二個呢
[07:41] 就是你要看一下你手上持有的
[07:44] 持有的產業是不是
[07:45] 這一波呢AI主流
[07:47] 那我覺得如果你抱的是AI的主流
[07:49] 比如說像台積電好了
[07:51] 台積電呢
[07:51] 上禮拜大家還很開心在慶祝
[07:54] 哇終於突破2000塊了
[07:55] 那沒想到呢
[07:56] 一下子呢又回到2000以下
[07:59] 今天也跌了4到5個%
[08:00] 可是呢台積電基本面有改變嗎
[08:03] 其實沒有
[08:04] 那今年來看的話呢
[08:07] 市場的共識了
[08:08] 目前台積電呢應該可以賺到
[08:10] 大概EPS大概85塊錢上下
[08:13] 也比去年的66塊大幅度的一個成長
[08:16] 所以我認為呢
[08:17] 以台積電來看的話
[08:19] 如果排除掉去年4月那個集諜
[08:22] 後面其實你可以發現
[08:23] 他每一次回檔
[08:24] 大概往月線或者說短波月線
[08:28] 在季線這中間來回震盪
[08:30] 其實我認為呢
[08:31] 都是下一個階段
[08:33] 如果你要低接台積電
[08:34] 還是一個不錯的一個進場點
[08:36] 所以大家可以去抓
[08:37] 就是大盤的月季線
[08:39] 還有台積電的月季線
[08:41] 大概你這兩個觀點有抓到的話
[08:43] 其實大盤的一個低檔
[08:46] 比較強勁的支撐區域
[08:48] 就大概在那個位置左右
[08:50] 那當然因為個股的一個調整
[08:52] 會非常的大
[08:54] 特別是前一段時間漲多的個股
[08:57] 可能一波回檔
[08:58] 可能昨天就殺了七八個percent
[09:02] 今天可能一開盤
[09:03] 盤中震盪一下
[09:04] 又尾盤殺跌停
[09:05] 那這個時候就我剛前面講
[09:07] 如果你是現股當然沒差
[09:08] 或者说呢
[09:10] 像是很多的这个
[09:11] 这个去年第四季你进场的个股
[09:14] 比如说像记忆体
[09:15] 或PCB
[09:16] 或者说像是这个细光子CPU
[09:19] 我相信如果你不是最近
[09:21] 开红盘才去追高的人
[09:23] 其实目前股价即便回挡一二十趴
[09:25] 可能都离你去年进场成本
[09:28] 其实还蛮远的啦
[09:29] 所以呢
[09:29] 如果你是现股持有的话
[09:31] 你只要确定呢
[09:32] 他的基本面今年状况还OK的话
[09:34] 我想这个震荡对你来说
[09:36] 是还在可以有这个承受的范围之内
[09:38] 就是主流股的話
[09:40] 我是建議可以多去觀察基本面的變化
[09:43] 而不是說呢
[09:43] 短線的這個股價去影響到你持股的信心
[09:47] 這是第二個部分
[09:49] 那再來第三個呢
[09:51] 我們提到就是說呢
[09:52] 觀察籌碼的部分
[09:53] 當然因為最近呢
[09:54] 國際股市台股都集點嘛所以你去看這個外資呢大概這幾天呢都是比較大的一個賣超那可以觀察就是說呢不只是現貨期貨市場也是比較偏空操作
[10:06] 再來觀察就是
[10:07] 外資什麼時候呢
[10:09] 能夠把賣超的幅度減小
[10:11] 甚至在現貨或期貨的部分呢
[10:14] 可能接下來賣超的
[10:16] 這個力道開始變緩
[10:18] 甚至什麼時候開始
[10:20] 做小幅度的回補
[10:21] 這個也是一個所謂的
[10:22] 這個止跌訊號
[10:23] 那至於個股的調整的
[10:25] 這個部分來說的話呢
[10:26] 其實
[10:27] 呃當然最近有一些跟所謂的戰爭財比較有關係的
[10:31] 然後那
[10:32] 比如說像航運啊
[10:33] 好塑化這些那如果
[10:35] 呃要操作的話呢我個人是建議了好
[10:38] 可以以短打為主
[10:39] 因為這個畢竟如果戰爭一結束的話呢
[10:41] 這個利多的因素消失的話呢
[10:44] 可能股價呢
[10:45] 他有可能會回到原點
[10:47] 所以這個部分如果大家覺得哎呦最近有一些
[10:49] 啊因為戰爭戰爭的這個
[10:52] 呃機會財的一些強勢股的話
[10:54] 但是他畢竟
[10:55] 是属于一个比较突发事件的影响
[10:58] 这个可能还是要以这个短线进出
[11:00] 赚价杀为主
[11:02] 这个目前看起来产业的趋势
[11:03] 还没有所谓的全面性的转好的同时
[11:07] 建议是以短线操作为主
[11:09] 好 西蒙哥分得很清楚
[11:10] 不过我也可以理解
[11:12] 一般投资朋友的心情
[11:13] 像刚刚讲到
[11:14] 不管是载板或细光子
[11:16] 恐怕大家能够从非常低档
[11:18] 报上来的几率偏低
[11:20] 因为就像这中间
[11:22] 我在报的过程也跟他常常分享
[11:25] 要不是有旁边的达人给我信心
[11:27] 我也觉得
[11:27] 已经涨一大段了
[11:28] 可以卖掉
[11:29] 但是如果再涨上去
[11:30] 搞不好我也会是成为那一个
[11:32] 它又涨上去了
[11:34] 我在逢高
[11:35] 也不能说逢高
[11:36] 我再不买回来
[11:37] 好像就来不及了
[11:39] 我觉得可能到了这个
[11:40] 封关前后到所谓的年后
[11:43] 因为说实话
[11:44] 在过年前
[11:45] 我想大家会听到
[11:46] 冰冗资金可能离场
[11:48] 法人大户外资
[11:49] 可能会稍微先做离场
[11:51] 大家难免会有一点点降持股
[11:54] 能够全部都爆满过年的
[11:56] 可能几率就不高
[11:57] 那偏偏因为过完年的马年
[11:59] 是先大冲特冲
[12:00] 我们看到最近三天
[12:03] 跌了两千多点对不对
[12:05] 可是马年那时候是多少
[12:06] 三天就涨了两千点
[12:07] 刚开始就等于上个礼拜而已
[12:09] 所以肯定会有很多人FOMO
[12:11] 那所以我想说在这个刚过完年
[12:14] 就去补货的人可能就不少
[12:15] 所以幸福哥说
[12:18] 当然如果您的持股成本低
[12:20] 即使今天是一个杀到破月线
[12:22] 可是也可以看到跌停板的这些股票
[12:25] 不管刚刚讲到的
[12:26] 载板CPO PCB相关的原料等等的
[12:29] 其实都是乖离大到夸张
[12:32] 所以跌了一二十趴
[12:34] 它依旧还是一个强势型的股票的话
[12:37] 那您不用这个时候急着调节
[12:39] 但如果很不幸的您是追高的
[12:42] 是真的就是受不了了
[12:44] 这个心性最在五百应该不会
[12:46] 那可能就要守一点点纪律
[12:49] 就例如说你要让你的压力稍微压下来
[12:52] 要不然你很可能会把明明是好的股票
[12:55] 还会在涨的股票乱砍一通
[12:57] 砍在更低
[12:58] 那就不是一个好的现象
[13:00] 所以我觉得这边的话
[13:01] 大家对于自己的持股风险
[13:03] 确实要在这边稍微做一下检视
[13:06] 但是你说整体的产业面
[13:07] 有没有因为这样跟上个礼拜就天差地远
[13:11] 没有
[13:11] 那刚刚幸福哥特别讲到
[13:13] 例如台积电
[13:14] 之前大家一直喊台积电到2000了
[13:17] 根本就没有上车
[13:18] 然后我们也会很狐疑
[13:19] 从1200没有上车
[13:21] 1300没有上车
[13:22] 2000没有上车
[13:23] 好那现在台积电也慢慢
[13:25] 他今天是相对没有到越线
[13:27] 他是比大盘强的
[13:28] 但是如果他也到越线附近呢
[13:30] 是不是大家又觉得
[13:31] 相对是比较可口的一个状况
[13:34] 因为以前新富哥有帮我们讲过
[13:36] 我记得那时候台积电才多少
[13:37] 600哦
[13:39] 才多少台积电
[13:40] 然后那时候新富哥说填
[13:42] 后来还跌哦
[13:43] 填到蛀牙了
[13:44] 这个事情言犹在耳
[13:47] 那现在当然我们不能说
[13:48] 台积电填到蛀牙
[13:49] 他还有一个关卡
[13:51] 就是昨天还前天也有跟大家分享
[13:53] 事实上现在可以掌握到
[13:55] 台积电二月的营收肯定越减
[13:56] 而且应该会在两成以上
[13:58] 一加二月跟去年同期比
[14:01] 还是一个明显年增
[14:02] 大概29到30%的情况
[14:03] 但如果市场那时候气氛不好
[14:07] 气氛不好可能就会有一点点的压力
[14:10] 觉得说那大家二月的营收
[14:13] 几乎每一家都遇到那个农历年
[14:15] 都是越减
[14:16] 这是一个很正常的情况
[14:18] 但稍有不慎
[14:19] 可能那时候市场气氛不好
[14:20] 你就会有更甜的台积电
[14:23] 或是你喜欢的全支股
[14:24] 或是你喜欢的爱股
[14:26] 也许不是在
[14:27] 我们刚刚讲的范围里面
[14:28] 可以来减
[14:29] 我觉得可以用这样的想法
[14:31] 因为目前台积电是不可能
[14:33] 目前
[14:33] 我说目前
[14:34] 不可能改变它今年的一个
[14:36] 财务规划跟预测的
[14:37] 对不对
[14:38] 那当然如果你说
[14:40] 整个世界上
[14:41] 如果经济产生了重大的变化
[14:43] 各个AI巨头都不要做资本支出了
[14:46] 也都停止下单了
[14:47] 我觉得那是另外一个议题
[14:49] 那目前我们还是锁定在战争
[14:51] 因为看起来比想象中有点严重
[14:54] 然后再加上说
[14:56] 我们这几天常常提到的
[14:58] 乖里大
[14:59] 你看韩国今天为什么会跌到12%
[15:02] 全体熔断
[15:03] 就是因为韩股是涨最多的
[15:05] 它涨的比我们还要多
[15:07] 所以现在整个雅股的状况
[15:09] 就是有一点点说
[15:10] 真的是通通都回去向美股靠拢
[15:12] 这个现象其实我们也提到过
[15:14] 我们不可能跟美股脱钩太远跟太久
[15:17] 狗跟主人
[15:18] 那现在稍微做一点收敛
[15:20] 那当然还有一个很大的重点是
[15:22] 美股这边也要先止稳啦
[15:24] 因为美股其实
[15:25] 它的位阶跟我们这些牙股比起来
[15:27] 还是在更低的位置
[15:28] 美股如果先止稳
[15:30] 那我们又往他们做了一个靠拢
[15:32] 那事情再平衡之后
[15:34] 就可以继续往前走
[15:36] 那这边的话
[15:37] 先来请教幸福哥一些问题
[15:39] 因为他是报价天王
[15:40] 我们就从有报价的东西先来讲
[15:43] 什么东西有报价呢
[15:44] 记忆体有报价
[15:46] PCB的材料有报价
[15:48] 而且最近这个所谓的三菱瓦斯
[15:52] 还涨价了PCB的一些原料
[15:54] 所以先请星木哥
[15:56] 就这两个产业帮我们讲好不好
[15:57] 本来贯穿全年所谓的涨价缺料题材
[16:00] 现在会有什么样的改变吗
[16:02] 尤其想很多人持有记忆体
[16:04] 这两天应该是挺灰心的
[16:06] 韩国也是因为记忆体才暴跌
[16:08] 我看了一下最新的报价
[16:11] 因为现货价从去年第四季开始
[16:14] 涨了蛮多的
[16:15] 所以最近在高檔區有出現一些震盪
[16:18] 那現貨價的部分
[16:20] 我覺得從去年開始漲了這麼多之後
[16:24] 在這邊出現震盪也是合理
[16:26] 因為你在那種動輒
[16:28] 每一次就什麼十幾趴二十趴在漲
[16:31] 坦白講這個對下游廠商的壓力也蠻大的
[16:33] 所以現貨價目前是在高檔震盪
[16:36] 不過即便稍微有點小回檔
[16:39] 但是其實那個位階還是非常高
[16:42] 位階還是非常高
[16:43] 在高檔震盪
[16:44] 那至于合约价的部分来说的话
[16:47] 我有看了一份最新的报告
[16:49] 本来预计第一季
[16:50] 以低润来说
[16:51] 大概涨50到60%
[16:53] 但是现在有上旬
[16:54] 可能会涨90%到一倍
[16:56] 所以合约价的部分
[16:57] 目前其实涨势
[16:59] 还是比大家预期的好
[17:01] 因为合约价跟现货价的差距
[17:03] 之前拉得非常的大
[17:05] 那目前看起来
[17:06] 这个市场的状况是
[17:08] 合约价会慢慢往现货价去靠拢
[17:11] 那这个状况就告诉我们说
[17:12] 其实即便呢
[17:14] 记忆体短线
[17:15] 就像刚刚前面讲的
[17:17] 第一个当然就涨太多了
[17:18] 那韩股呢
[17:19] 之所以这两天回那么大
[17:21] 因为他们的权重股就是
[17:23] 海力士
[17:24] 对
[17:24] 这两个大的个股
[17:26] 那因为记忆体本来
[17:28] 它本身就是高度的景气循环的产业
[17:32] 所以呢
[17:32] 他们的这个股价波动
[17:34] 也当然是必会比较大
[17:36] 那台积电来说的话
[17:37] 是台股第一大权重
[17:39] 那它的这个毛利率
[17:40] 这恒常都在五六十趴以上
[17:42] 所以相对它的波动就比较不会那么大
[17:44] 所以我是觉得说呢
[17:46] 机体的部分呢
[17:47] 我个人是认为啦
[17:48] 即便短线呢
[17:49] 有比较大的修正
[17:50] 但是我认为今年状况看起来
[17:52] 其实是还OK的
[17:53] 那就又回归到老问题了
[17:55] 你是用什么方式持有台积电
[17:57] 那你的持股成本又在多少
[17:58] 那即便呢
[18:00] 如果说你是
[18:00] 和过年后买在相对比较高的点位
[18:03] 但是如果说你是现股持有
[18:06] 比较没有所谓的这个资金压力的情况之下
[18:09] 我个人认为呢
[18:11] 那就看你是技术面派的
[18:14] 还是所谓基本面派
[18:15] 如果技术面派的
[18:16] 有的人说我破时限我就卖
[18:18] 或者说破月限我就卖
[18:20] 那当然你就严格执行你的计划
[18:22] 那如果是比较偏技术面的
[18:24] 这个基本面投资人的话呢
[18:26] 当然我们就会观察
[18:27] 今年的产业趋势啦
[18:29] 报价的变化等等
[18:30] 那如果说你都觉得
[18:32] 跟你当初进场的理由
[18:34] 没有太大改变的话呢
[18:35] 那当然你就续报
[18:37] 这没什么太大的问题
[18:38] 那重点就是你的资金规划
[18:41] 有没有办法承受住这一波的回挡
[18:45] 就像去年4月
[18:46] 如果时光能够倒流
[18:48] 让你回到去年4月
[18:50] 我记得台股
[18:51] 时光能够倒流
[18:52] 真的耶
[18:53] 大家想法肯定不一样了吧
[18:54] 对啊
[18:55] 去年我记得就是
[18:56] 酸普公布那个关税
[18:58] 对的很关税
[18:59] 台股隔天几乎全部躺平
[19:02] 有一天好像跌了快2000点吧
[19:04] 对
[19:04] 我刚才今天有问他们说
[19:06] 今天是史上第几大跌点
[19:07] 他们说第三大
[19:08] 我说哈
[19:09] 我记得以前都是盘中叠的
[19:11] 1800会拉回来
[19:12] 他说没有
[19:13] 因为川普那时候叠了2000点
[19:15] 我说OKOK
[19:16] 而且那个时候
[19:17] 台股的位阶是在23000 24000
[19:19] 对所以很吓人
[19:20] 对那天几乎所有的股票叠停
[19:22] 期货第一天也叠停
[19:23] 台积电也叠停
[19:24] 但是我刚刚前面就讲
[19:26] 如果时光能够倒流
[19:27] 那台积电那一天我记得
[19:29] 好像最低
[19:31] 那一阵最低杀到780块
[19:33] 如果时光能够倒流
[19:34] 那我想你
[19:35] 你把房子拿去
[19:37] 借钱来all in你都干嘛
[19:40] 为什么
[19:40] 因为台积电后面涨到2000块
[19:42] 所以遇到这种突发性的一个状况
[19:45] 如果就往刚刚前面讲
[19:46] 如果你即便那时候台积电
[19:48] 买在那一波的最高点
[19:49] 我记得好像1080还是1100
[19:52] 但是跌到800块
[19:54] 当然心里面会有点担心
[19:56] 有点恐慌可是如果你是现股你没有资金压力你抱得住的话后面它不只涨回来还让你赚了快一倍所以重点就是你压的产业是不是成长的
[20:08] 你压的公司
[20:09] 是不是有搭上这一波AI的潮流
[20:11] 因为我们可以给大家分析
[20:13] 未来的产业趋势
[20:14] 或者说我们对未来的一个规划跟看法
[20:17] 可是重点是很多人就会觉得说
[20:19] 我买了现在就套了
[20:21] 我买了现在就跌
[20:22] 这个心理上一定会有一点点
[20:25] 对心理上影响
[20:27] 那我是觉得说呢
[20:29] 这个时候就是
[20:29] 你要回归你的初心
[20:31] 就是你用什么样子的观察
[20:34] 或用什么样的理由进去
[20:36] 那如果这个理由
[20:37] 它不成立了
[20:39] 那当然我该卖
[20:40] 不管是停利或停损
[20:42] 那你该卖你就卖嘛
[20:43] 但是我刚刚前面就强调
[20:45] 如果你是基本面长线持股
[20:47] 因为很多人其实
[20:47] 他只是想听一个安慰说
[20:51] 这个不错
[20:52] 那我就不卖了
[20:53] 但是重点是
[20:54] 你要掌握住你的进场点跟出场点的
[20:58] 那个主要理由还在不在
[21:00] 那如果不在了
[21:01] 那你卖我是觉得也OK的
[21:03] 因为毕竟股市里面呢
[21:05] 个股这么多了
[21:06] 那你要一直挑到一个成长型的产业
[21:09] 并不是说所有人都有刚好买到对的股票
[21:13] 那如果说买到错的你不停损
[21:15] 那可能后面呢
[21:17] 也只会越套越深
[21:18] 这是一个
[21:19] 那就我自己的一个状况来看的话
[21:21] 我看到这些产业
[21:22] 不管像記憶體
[21:23] 或者說像PCB
[21:25] 這兩天其實不管是上游的
[21:27] 這個台波啦
[21:28] 富橋
[21:29] 其實前兩天還很強
[21:30] 今天也都殺下來
[21:32] 或者說像是載板
[21:33] 前一段時間也是漲到
[21:35] 大家都快認不出來了
[21:36] 這個新興景碩南電之類的
[21:38] 這兩天也是殺得又急又快
[21:40] 其實我們觀察到
[21:41] 產業基本上都沒有變
[21:43] 那今年狀況也都會比去年
[21:45] 大幅度的成長
[21:46] 所以就還是老問題
[21:48] 你是用什麼方式買的
[21:49] 你有沒有這個在
[21:51] 假设让他一口气回挡10%
[21:53] 20%甚至30%
[21:55] 你的风险承受能力
[21:57] 有没有办法cover掉
[21:58] 像去年
[21:59] 又是讲到老胡子
[22:01] 去年我记得有一天
[22:02] 就是台股大跌
[22:03] 好像这个1800还是2000点那一天
[22:07] 融资一口气减掉快100亿
[22:08] 那你去想
[22:10] 这只是上市
[22:11] 再加上上柜
[22:12] 可能那一天融资减掉可能150
[22:14] 那你至少乘以两倍到2.5倍
[22:16] 也就是说
[22:17] 在去年4月最恐慌的时候
[22:20] 你用两倍去算的话
[22:22] 大概有至少三四百亿的股票
[22:23] 是砍在去年四月的最低点
[22:25] 那我相信
[22:26] 除了少部分的人
[22:27] 他成本够低是赚钱的之外
[22:29] 这三四百亿砍出来的股票
[22:31] 应该有一半
[22:32] 甚至七成八成的人
[22:34] 都是停损卖掉的
[22:36] 停损卖
[22:36] 为什么
[22:36] 因为他撑不住
[22:37] 你维持率撑不住
[22:39] 那你又欧益又满仓
[22:40] 然后你又没有钱可以去补的话
[22:42] 那你就只好忍痛杀出
[22:44] 那后面台积电从800涨到2000块
[22:46] 就跟你一点关系都没有了
[22:48] 所以我还是回归到
[22:49] 重点
[22:50] 我们目前看到
[22:51] 这些产业跟基本面
[22:53] 其实今年状况也都还不错
[22:55] 也都还不错
[22:56] 所以说尽量建议大家
[22:59] 如果最近想要开始低阶的
[23:01] 还是以现股的方式持有
[23:02] 因为毕竟这个每一战争
[23:04] 到底会持续进行到
[23:07] 什么样的状况
[23:08] 或者说这个战事会拖延多久
[23:10] 我们是不知道的
[23:11] 但是如果站在
[23:12] 纪律操作的一个角度来看
[23:14] 是不是股价回涨到一个
[23:16] 合理的进场点
[23:18] 比如说下方的技术面支撑
[23:21] 或者说本益比又回到合理的
[23:23] 比较偏低的一个下缘
[23:24] 是不是你就可以开始着量去进场
[23:27] 我觉得从这几个观点来看的话
[23:28] 你就可以去了解到说
[23:30] 你大概接下来如果台股
[23:32] 在目前比较偏空的一个状况之下
[23:36] 你该去采取什么样子的一个策略
[23:38] 那当然这边也必须强调
[23:41] 有一些所谓的热门产业
[23:43] 有没有回到它合理的价位跟进场点
[23:46] 不容易判断
[23:47] 我必须这么说
[23:48] 因为像之前记忆体在涨
[23:50] 或是说像我们刚刚提到的
[23:52] 不管是我自己喜欢的CPU好了
[23:54] 我都没有办法告诉大家
[23:56] 现在叫做合理的价值
[23:58] 然后叠到这边算是没有问题
[24:00] 反而是可能可以参考一些技术形态
[24:02] 对
[24:03] 或者是筹码的状况
[24:05] 真的讲大白话就是这样
[24:07] 昨天我们发现一个状况就是
[24:09] 因为辉达他各自花了20亿美元
[24:12] 去买科西轮跟刘明光学
[24:14] 对不对
[24:14] 好
[24:14] 可是这个利多
[24:15] 当然你可以说昨天的盘不好
[24:17] 可是事实上以台股现在的点位
[24:19] 昨天跌700多点
[24:20] 你说跌得很重吗
[24:21] 不算哦
[24:22] 可是矽光子涨不动了
[24:24] 我觉得这个就是一个还蛮明确
[24:26] 我们昨天在提到说
[24:27] 利多有点没办法发酵
[24:29] 那涨不动当然也就是因为
[24:30] 他们真的已经涨很多了
[24:32] 几乎把像这样子的利多消息
[24:34] 已经消化的差不多了
[24:36] 那昨天晚上美股的矽光子也跌烂
[24:39] 那就更加造成今天的矽光子灾情
[24:42] 那你会说那之前你喜欢
[24:45] 那现在跌怎么办呢
[24:46] 那当然第一就是看关键的支撑位置嘛
[24:49] 时日线可能是一个
[24:50] 涨多的时日线自然是一个
[24:52] 或者是月线至少是一个
[24:53] 因为月线在上扬中
[24:55] 大部分的矽光子
[24:56] 如果到月线呢
[24:57] 有没有守住
[24:58] 这个是第一个观察点嘛
[25:00] 然后第二个
[25:00] 当然今天盘后的筹码
[25:01] 大家可以看一下
[25:02] 投信愿不愿意继续买呢
[25:04] 投信最喜欢的载板
[25:05] 今天都跌停板
[25:06] 投信还敢在今天买吗
