[00:00] 歡迎收聽《照懷古惑仔》第1187集,今天是2026年的9月18號。
[08:10] 對!AI不會抱怨啊!它不會被你ㄉㄧㄤ嘛!對不對?
[08:13] 可是如果今天它是跟老公講
[08:15] 可能老公今天工作也很累了
[08:17] 可能第二天就說我現在不想聽
[08:19] 或是我現在很累,另外一天再講
[08:21] 立刻那個情緒就怎樣?就被反撲回來
[08:23] 所以大家選擇跟AI講話
[08:25] 所以我覺得AI可以當個很好的諮商師
[08:27] 因為它就可以安撫你的那些情緒
[08:30] 所以我覺得其實應該每個人都要有個類似小米的AI
[08:34] 就是說以前的小米只能問問天氣啊,播播音樂
[08:37] 接下來小米可能就是類似一個心靈機器人的概念,所以AI只會逐步的進入人的世界裡面,不會少的,而是進步在人的世界裡面。接下來我們看今天在漲的股股票裡面其實我覺得原本就在強的股票持續去強譬如說像創意
[08:55] 我記得我上次有講過
[08:57] 創意因為它有拿到台積電撥給它的3奈米的製程的產能
[09:02] 所以你看創意就明顯比世新KY來得強
[09:05] 它不是說我今天黃仁勳講了什麼
[09:08] 整個ASIC大漲
[09:09] 不是
[09:10] 整個ASIC沒有平均大漲
[09:13] 你看形態上,世新KY的月線還在往下彎,而只有創意往上走。
[09:18] 所以告訴你,他是有個別的題材在support他,讓他往上走。
[09:22] 所以今天的創意,創意史新高。
[09:25] 那昨天我記得還在哪裡,也有人講說,哎呀創意現在就是法人在追嘛,所以不要再買了,因為快要接近前高了。
[09:33] 我心裡其實,我心裡有一點不太這麼認為,但是前輩在講話,我們小輩要閉嘴,我們小輩要閉嘴。
[09:42] 但是我跟你們講說,基本上個別故事還在發動。
[09:45] 例如說我們剛才講設備股,其實新飛股設備很強,盟利。
[09:48] 我們講過嘛,因為盟利有接到ABF設備的訂單。
[09:53] ABF目前怎麼樣,還很缺。
[09:55] 這個市場的結構也還沒有改變。
[09:58] 那當然,你說投信在買聯電、齊邦,理由其實也是很簡單。
[10:03] 就是,聯電基本上,他現在從這時候到年底,應該越越都很旺。
[10:08] 因為目前的分離式元件很缺,很缺晶圓代工,齊邦也是。
[10:16] 這兩家基本上某種程度也是同一個集團,不要忘記這個集團之前也有點發生鬼故事,
[10:24] 可是最近又好像活過來了,又活過來了。
[10:30] 基本上他們都是有搭上矽光紙的題材,所以我簡單的講,
[10:34] 目前這個大盤,如果你沒有個別公司題材,你就要搭載一個很重要的題材,就是AI還沒結束,AI還在進行。
[10:42] 你看到什麼還在進行?CPU嘛,其實我們已經講了,CPU到2028年才會成熟,現在還在NPO的階段。
[10:49] 所以他們就是緊緊的抓住這個未來成長的動能的趨勢,在推升股價。
[10:54] 所以說,大盤是之前氣氛差的時候你要保守,現在是相對比較樂觀的,你就要去追逐比較積極的股票。
[11:02] 好,而且今天成交量也放大到一兆以上,跟前兩天我們看到才快五千多億,後來勉勉強強因為殺了一個盤有到六千多億,比起來一下成交量就翻倍了,在同一個禮拜裡面,所以今天介紹股票有點困難了,前幾天跟大家講的時候還蠻多那一種我覺得委屈的,可是今天就直接表態,因為剛剛我們點名了有很多,包括像除了創意是因為他一直在創新高,我們覺得非常看好ESIC或者是一些新的股票,
[11:32] 創意確實狹帶著台積電子公司的這件事情,拿到了更多好的訂單跟產能,我覺得它確實有得天獨厚。
[11:44] 那當然如果你說要看比較落後的、比較倒楣的,就是世新KY嘛,因為它雖然八月營收也是個年增200多%,可是還沒有辦法達到市場的預期。
[11:53] 但你說以位階來說,它就低很多,只是會需要一點耐性,因為現在看來是強者很強,那有的時候也會突然來那麼一下。
[12:01] 像前陣子大家都一直在唸晶圓店啊,在封測裡面測試第一大廠又如何都不會動,今天也是送你一根掌聽板。
[12:10] 所以今天真的叫做百花齊放哦,今天什麼都有,包括說像剛剛講的CPU,華語KY也是前陣子我們覺得CPU裡面相對長沒那麼多的,華星光,今天也都送大家掌聽板。
[12:22] 然後中沙是強的嘛,中沙我們講說他一直在創歷史新高,但今天有其他的設備股也都翻起來哦。
[12:29] 等於是看你相信哪一個故事,今天應該都很開心才對。
[12:38] 應該前陣子很悶的人今天都很開心,因為你今天會很開心的大概都是你前陣子比較悶,或者是人家跟你講說哎呀沒有那麼多啦,這盤很空,你要很小心什麼的,但是那個悶氣應該今天就抒發出來,就覺得今天還是蠻開心的,所以我覺得還OK。
[12:56] 像我就特別喜歡設備跟封測嘛,所以我今天真的是滿開心的,整個進步這樣。
[13:02] 好,但是要有延續性,其實大部分人還是有點擔心一件事情,就是難道事情就這樣過了嗎?
[13:09] 那昨天我覺得有個好處是,也是壞處喔,其實昨天看我們整台跟有台的收市率都是往下盪喔。
[13:17] 我就想哇,為什麼事情篤定了,然後市場是上檔表態的時候,大家卻這樣呢?
[13:23] 原來剛剛凱哥有幫我示意,因為台股自己在漲,看看左鄰右舍還好,所以我們自己漲得挺心虛的,導致昨天大家其實是在一個沒有信心中的反攻盤,真的很明顯耶,因為不是只有我們,就是我有去看了友台,就財經類的,昨天反而大家都興致缺缺,那我希望今天大家不要又手忙腳亂,就是急著追,當然有一些公司即使今天漲停半,我覺得他都還算相對便宜,對,那就可以考慮了,
[13:52] 就是還是一樣回到我講的,就是半導體上中下游還有很多的選擇。
[13:56] 那創意我覺得他很棒,可是有沒有可能可以蔓延到其他的IP股呢?
[14:02] 就像凱哥之前有講過,像力旺啊,對不對?
[14:04] 這些位階都還在非常低的,他有沒有可能進行一個蔓延呢?
[14:09] 我就剛剛講,像世芯QY其實他也沒有很差。
[14:12] 他沒有很差,他只是沒有比市場要的好。
[14:14] 只是因為他台積電沒有直接給他嘛,就是說這個爸爸就直接給了創一個紅包。
[14:20] 那世芯對於台積電它就是一個乾爹的概念,乾爹沒有直接包一個紅包給他,其實紅包也是運氣真的很好,是因為他本來這個產能3奈米是要給Intel的,可是Intel用不到這個產能,所以他就直接把這個產能撥給了創意。
[14:36] 假設他今天把這個產能撥給了世芯KY,我想現在開心的就是世芯KY,就是這樣,就是畢竟人家是親兒子,但是其實親兒子我記得去年之前是蠻委屈的,就是大家只認得這個台積電的乾兒子世芯KY,
[14:50] 我忘記他有個親兒的創意
[14:51] 那現在稍微平反回來
[14:52] 所以你現在去蹲點世新科學
[14:54] 我覺得也是有機會
[14:56] 其實一樣哦
[14:57] 中砂再往上漲
[14:58] 還有一檔股票叫生涯瓣
[15:00] 其實它也是同樣的概念
[15:02] 它也有金貝啊
[15:03] 可是我們大家一直買這個中砂
[15:05] 而不去買生涯瓣
[15:07] 因為啊
[15:07] 其實生涯瓣啊
[15:09] 它除了金貝以外
[15:10] 還有很大一塊是再生晶圓
[15:12] 那它再生晶圓
[15:13] 尤其是2奈米這塊
[15:14] 它 for 台積電很積極
[15:16] 那這一塊其實就比較 sovereign
[15:18] 就是目前的台積電
[15:19] 我側邊聽到的是二奈米的製程其實沒有到很順利
[15:23] 沒有很順利
[15:24] 所以你可以看到除了像聖陽辦以外
[15:26] 你看那些特化股基本上都在那邊停滯一段時間
[15:30] 這些從新興才開始
[15:31] 其實大家講說他們有做進二奈米
[15:33] 可是都沒有動作
[15:35] 都沒有做動作
[15:36] 今天我看到特化相關一檔比較強就是新鴻科
[15:39] 是新鴻科
[15:40] 他辦了一個法刷兼亮燈
[15:41] 沒錯
[15:42] 就是說他委屈很久了
[15:43] 你看這個上品其實最近也在動
[15:45] 上品
[15:46] 也在有點在動了
[15:46] 對
[15:47] 就是告訴你說
[15:47] 其實他們雖然很委屈,可是他們確實就是有不錯的產品,也在不錯的位置上面,只是時間點可能還沒有到。
[15:57] 那你也可以去買積極的,你也可以分配一點點,去這些相對來講產品線不錯,然後在這邊蹲點,我覺得也會有不錯的報酬。
[16:07] 而不是說今天漲上去了你都想去追,然後追了可能一根兩根又掉回來,這會不會比較辛苦?
[16:15] 其實我記得我們上次來的時候啊,其實趙懷就有在問我說我怎麼看風車,我一直跟大家講說風車其實到明年都還是很好,只是市場現在不青睞,然後我說綠月光其實我覺得他是龍頭,應該會有不錯的表現,那時候趙懷問說晶圓店怎麼看,我覺得晶圓店其實也不錯,因為晶圓店我跟凱哥的想法有點不一樣,對,那時候我們兩個都,我會覺得晶圓店其實也不錯,只是因為那時候大家對於晶圓店的董事長下台這件事情,凱哥一直跟我說沒有關係,
[16:44] 沒有,我說影響不太大。
[16:46] 對,所以你看那個之前SIMI的時候啊,就是SIMI展的時候,其實晶圓店的董事長還去拜訪影威的老闆。
[16:54] 對,就告訴你說其實他不是一個完全不懂產業的人。
[16:58] 基本上產業也沒有大家想那麼困難,因為哪裡好其實大家都知道嘛,那哪裡可以拿到訂單其實大家都知道。
[17:05] 所以其實只是說他有沒有額外的那一層關係,確實他就是跟聯發科的關係可能比較沒有那麼近,也許這是讓市長比較詬病的。
[17:14] 但是說話整個目前封測產業其實就是很吃緊
[17:17] 沒錯
[17:17] 所以你看什麼SIG也漲、星群也漲
[17:20] 其實SIG我之前有講過了
[17:22] 它是接AMD的訂單的封測
[17:24] 這塊其實也是很補
[17:26] 因為從AMD的角度來看
[17:28] 輝達的角度來看
[17:29] 基本上台灣的產能確實都不夠
[17:31] 都不夠
[17:32] 所以你看日月光就說他們還要擴廠到明年
[17:35] 我擴廠到明年
[17:36] 我說我覺得基本上常常會覺得說早知道凱哥講話就多聽點,我們就早點相信,早點買。可是當時就是有點害怕,所以不是只有大家會這樣子,其實因為是凱哥學員會這樣子,會跟我講說,凱哥我昨天,我昨天還前天說,凱哥已經把我手上的部位幾乎都出新換現金了。
[17:56] 就是我在講他根本沒在聽,他就只想趕快把錢換成現金,覺得這樣比較好睡覺。
[18:01] 也好啦,就是反正有得必有失嘛,就是你失去的就是一個投資報酬的機會,得到就是好好的睡覺,我覺得也沒有不好。
[18:10] 基本上我覺得你如果一檔股票可以讓你這樣子晚上睡不著覺,那我覺得你是不適合做投資的。
[18:16] 投資一定有風險嘛,我們常常講,投資一定有風險,而且有賺有賠。
[18:23] 請詳細參閱公開說明書。
[18:26] 請詳聽股貨仔好了。
[18:27] 好不是嗎每一個這個發基金的都會這樣告訴你但是投資本來就是要什麼我們是可以我們不是賭博你要搞清楚耶我們不是完全不懂不瞇牌直接賭博一開一翻兩燈眼不是我們是已經看了產業的狀況我們是已經偷偷瞇了牌了基本上你唯一的風險就是我剛剛講嘛大量低是不是跌破或者是月線是不是下彎這些都還不是可以積極做多股票你積極做多那當然風險就很大嘛
[18:57] 我跟趙華一直耳提眯眯跟大家講說,如果月線下彎,基本上你就不要很積極的買,你可以慢慢買,不要急,因為它的形態怎麼樣,還沒有開始要翻起來,主力還沒有開始要大拉特拉,你就稍微等那一下,或是你就買一點先蹲點看看,我們來觀察它的走勢。
[19:14] 雖然我跟凱哥在晶圓店上沒有非常一致的想法,但是我們在矽格,甚至矽格有子公司台新科,像剛剛講的星泉,其實星泉快要過前面的歷史新高了,領頭羊可以看一下星泉這家公司,他畢竟就是有點強勢表態的。
[19:33] 然後對於日月光,我們有共識的封測股相當的多,照法並沒有覺得晶圓店不好,不過照法有跟大家講,就是我其實跟封測裡面的,就是產業裡面蠻不錯的人,可能也是會聊一些資訊,那他當時有跟我講他的一些觀察點,可是我非常認同凱哥講的,不會因為只換了一個領導階層,後面前面的打的關係什麼就全部破壞掉,這個沒有,但股性也比較弱,股性比較牛,我覺得這個大家也是要忍耐一下的。
[20:03] 但總而言之,大家如果聽股貨宅一定知道我們常常訴求,因為現在第四季了,我們要看的不是今年成長率高的了,我們現在要看的是今年成長還不錯啦,搞不好還沒有到平均值,但是有成長,明年成長會高於平均的,那是什麼?
[20:21] 封測就是其中一個,因為今年在募資、在擴廠都不會那麼快的,可是明年成績就會來了。
[20:29] 那像台灣的央行動漲利率,在台灣籌資的朋友就有福啦,然後為什麼今天房市沒有辦法漲那麼多?
[20:36] 因為很多的AI公司、很多的半導體公司都在籌資啊,所以銀行的錢都要去借給他們,所以並不見得因為有放鬆了這個第二戶的貸款,錢會通通流到房市。
[20:47] 目前看起來銀行在放貸上還是非常非常的吃緊喔
[20:51] 所以有打算買房子的朋友真的自己手上的錢要算清楚
[20:55] 不要到最後貸不到足夠的乘數或是利率不理想
[20:59] 會覺得壓力非常大
[21:01] 我覺得這個還是要提醒大家的
[21:02] 如果你要買房子真的要先跟銀行先問清楚
[21:05] 不是想說銀行一定可以貸七成貸八成
[21:09] 不是現在市場不是這樣子
[21:11] 現在市場基本上銀根很吃緊
[21:14] 所以昨天有一個大哥跟我講說
[21:17] 他覺得房地產要大漲,我說No No No No No,我說如果用來炒股是可以啦,你真的市場上我覺得是沒有那麼的好。
[21:23] 我們雖然現在聽我跟趙華講感覺是一片樂觀,但是我必須提醒大家說,目前櫃馬還有一個大量高還沒有過,櫃馬大量高在416.46還沒有過,一樣小納也有一個大量沒有過,29846。
[21:37] 所以也就是說從這時間一直到這兩個高點過之前,基本上大家還是可以什麼?還是可以匆匆容容、游刃有餘的去佈局,而不是什麼?什麼?連滾帶爬,不是這樣子,是目前他們還有兩個大量高的壓力在這個地方,其實大家就可以根據我跟趙華剛講的,去尋找好的標的,去做佈局的動作,基本上不用太擔心,不會說,哎呀,他們講完來不及了,完蛋了,買不到了,不會,沒有這種事情,基本上還是有很多時間可以讓大家去佈局,
[22:07] 就像剛剛講到的,雖然在IP股裡面創意現在得天獨厚,看來到明年目前聽到的訊息都還是得天獨厚,可是如果大家喜歡像APP、力旺或是世新KY好了,他們可能就是需要花一點時間,可是位階相對會比較低一點點,而他們也有他們各自的技術實力也沒有那麼差。
[22:30] 昨天的話其實美股有一檔股票也漲不少叫做Intel。
[22:35] 我們已經這三四年來不斷的處理就是Intel到底會不會超車台積電。
[22:40] 雖然我們可以很斬釘截鐵的說不容易,不過Intel最近的動作真的是蠻多的,所以不定時還是會引起大家的擔憂。
[22:50] 就像Intel成立五昨天就有特別在講,全世界不應該把95%的先進製程都壓在同一家公司上面,這是不對的。
[22:59] 這是不對的。然後也狹帶著它有國家隊的勢力,狹帶著輝達也有投資它。那輝達昨天也有講啊,明年開始一樣我們的晶片會賣的下下降翻倍賣什麼的,當然他已經預估明年的營收要成長70%了嘛,所以當然翻倍賣啊,對不對?
[23:15] 所以在這種美國隊的加持下,昨天Intel也是蠻耀虎揚威的。
[23:20] 那自然也有人有點小擔心,到底會不會對台積電明年的獲利預估,或是三四年後,會不會又來一次要一爭長短的問題?凱哥怎麼看?
[23:31] 我覺得第一個是你要先看就是目前最先進的先進封裝。
[23:35] CoreOS 的製程有沒有人可以找到更好的方案來替代它?
[23:41] 目前市場上看不到
[23:43] 所以為什麼Intel繼續發展英米比的封裝
[23:45] 基本上它就是一個落後COWAS封裝
[23:47] 效能沒有那麼好的
[23:49] 但是它有沒有市場
[23:51] 它有市場
[23:51] 因為COWAS的產能現在就是不夠嘛
[23:53] 所以什麼在拉創的時候會有一個笑話
[23:56] 就是說因為COWAS很吃緊
[23:58] 所以你要透過創意去下COWAS的封測的單子
[24:02] 確實有這樣說法
[24:03] 你就有機會可以先
[24:04] 我覺得難啊
[24:05] 因為以台積電而言
[24:06] 基本上大家在COWAS這邊已經就是排隊了
[24:10] 都在排隊
[24:10] 所以他不可能說因為你是我的親兒子我就讓你來插隊
[24:14] 這樣出去這個老爺子還當得成嗎?
[24:17] 可能台積電真的比較難
[24:18] 不行
[24:19] 但是就告訴你說其實基本上對COWAS有一個想像
[24:23] 就是說COWAS目前就是非常的吃緊
[24:25] 所以說 即使是輝達或者是美國的國家隊
[24:29] 他們立刻就把台電打敗沒有辦法
[24:31] 但是他們會想辦法讓台積電更多更多在美國生產
[24:35] 把台積電的產能移到美國去
[24:38] 我覺得這是必然的趨勢
[24:39] 台電未來產能一定越來越多會到美國去,所以你要留意的是有沒有越來越多的廠商跟著台積電到美國去,這才是趨勢中的趨勢。
[24:49] 那你說英米比這個東西到底是不是未來的主流?我認為它會是雙主流啦,就是COWAS跟英米比都會成為市場的主流,只照你人家來說,你有沒有辦法拿到COWAS的產能嘛。
[25:02] 如果可以拿到 Kovacs 的產能,你就不會想要硬幣比啦,但是沒辦法,這個市場就是這麼的吃緊,所以他就會往這地方去。
[25:10] 再來就是我們剛剛有聊到力旺,其實大家都在講說,這個 AI 有這個風險的問題,AI 未來太聰明的時候,其實我們上次提到,我說力旺發展的東西,它叫三馬科技,這東西叫做什麼?它叫做信賴根。
[25:25] 其實這個東西其實跟信賴根是有很緊密的相關
[25:28] 就是你要啟動這個AI的最頂端的智慧的功能的時候
[25:33] 他就必須用這個信賴根才能夠開啟
[25:35] 所以他等於是這個AI當然能不能激活的一把鎖、一個鑰匙
[25:41] 所以他很重要
[25:42] 所以其實台灣市場看這個的人還不多
[25:45] 但我覺得他就是一個趨勢
[25:47] 一個趨勢
[25:47] 所以當你會越來越多有關於PUF的公司陸續出產
[25:52] 像信華也是有做這一塊
[25:54] 新華今天也大招
[25:55] 其實原來它也是一個新的主流
[25:58] 而且你從形態來看
[26:00] 力量現在還在很低的位置
[26:01] 對
[26:02] 你說它有沒有可能
[26:03] 這就是我問你的原因
[26:04] 有沒有可能又回到像創意這麼高的位階
[26:06] 不是不可能
[26:07] 只是時間可能還沒到
[26:09] 還沒到
[26:09] 因為它還沒有到大量
[26:11] 就好像我們剛剛講說
[26:12] 這個AI會消滅人類
[26:14] 這還是很久的事情
[26:15] 沒有那麼快
[26:16] 可能三五年之後才有可能
[26:18] 但是用軟體的角度當然是比較快
[26:21] 因為有軟體
[26:22] 這兩者的合作能力是非常高的,並且能夠達到最高的電力,並且能夠達到最高的電力,並且能夠達到最沒有電力就沒有辦法存活,必須靠電力去維繫生命。所以電網也要到6、7年才能普及,所以看起來大家還是不要被鬼故事嚇到,大家還是好好的過中秋節比較好。
[26:44] 電力相關的位階也相對低,目前只有少數,可能BBU有些熱門股比較高,要不然電力相關的位階也相對低。
[26:54] 像今天發哥也很不錯啊,那發哥當然很難跟小型股一樣的長噴漲挺前陣子有啦,那今天也是漲了快要5個百分點。
[27:03] 而且很有趣哦,看到盤面上,只要像我這樣的指標股出來,大家有注意到嗎?像昨天好像是黃翔吧,就說他有在發哥上面賺到錢。
[27:12] 今天看到晶圓,是那個做鍵盤的那個晶圓,他也賣發哥賺到錢。
[27:17] 現在大家就開始在發哥身上賺投資財,像有一段時間航海王在熱的時候,那時候記憶體不是很好,我也剛剛就買了很多航海王嘛。
[27:27] 大家現在台股的資金來源真的很有趣,很多公司還不止我剛剛講那些,我忘了上次講哪一家,有人就把他的投資列表說,這家公司自己已經買成一檔ETF了。
[27:38] 他講的那一家應該比較新,我再去查一下,不好意思。
[27:40] 他也是買了大概可能有十幾檔的電子股,也都熱門的。
[27:45] 所以大家就說,哇,現在投資市場的資金很複雜的,除了這個三大法人,然後第四大法人散戶,然後第五大法人就是這些公司派系,很愛玩耶。
[27:57] 這很愛玩,大家可以去把那個聯發科的新聞打出來看,很多人在買賣聯發科耶,然後從聯發科上賺錢耶,可能比他的本業就可以挹注一些EPS這樣子。
[28:07] 本業就不太好啊,所以他必須靠一些業外嘛。
[28:09] 沒錯。
[28:10] 對,你也知道說,他們在上市櫃的正業裡面,他們也知道說誰的形態比較強,誰的股價比較強,自己相對就比較弱。
[28:18] 所以你可以,有一些公司是本業收手,但是很積極在做業外。
[28:23] 是。
[28:24] 有些商業公司是自己有投資部門,但是要注意啦,就是他們如果是買賣別人的公司是OK的。
[28:31] 嗯。
[28:31] 如果他們是買賣自己的公司就要很小心。
[28:33] 是。
[28:34] 這就很容易出事情。
[28:35] 好,那今天像大立光又有在出手劣地的新聞,第七度出手劣地,所以今天大立光也談了將近七個百分點,那他是已經在前一陣子被兩家外資打下來了,這個六日再注意一下,因為這兩家外資都是在禮拜天出報告,很恐怖。
[28:51] 好,所以這禮拜每一天都有鬼故事,到了今天倒是變成了一個神話,因為禮拜一就是大立光再度的被這個第二家就是大摩降頻,那禮拜二就是建策嘛,又在講什麼軍人片設計,結果你看今天散熱多。
[29:05] 市場變聰明了,市場沒有再被這個鬼故事嚇到了。
[29:09] 那禮拜三有微影,微影這個事情也是撲朔迷離,就在講什麼又有關稅的問題啊,什麼在墨西哥可能美國不用啊,又有這種事情。
[29:17] 然後禮拜四就是剛剛講到的CCL三雄,因為我們的老朋友上了一個媒體,但是我必須講這個事情是昨天沒事找事。
[29:28] 昨天其實在盤中大家有一點半信半疑,所以有點擴大了一些說法,因為就建長嘛。
[29:34] 但是他並不是在昨天盤前講的或盤中講的,他是前一天預錄的節目講的。
