[00:00] 欢迎收听赵怀古货仔第1160集
[22:44] 所谓底部放量这件事情
[22:45] 他就可能先慢慢的
[22:47] 转上来了
[22:48] 这次的
[22:48] 下来之后
[22:49] 刚刚有讲
[22:50] 长得比较理性
[22:51] 每天可能三四百点
[22:52] 四五百点这样长之后
[22:53] 大家的脚步趋于理性
[22:56] 不是那种一窝蜂爆量这样
[22:57] 反而是呈现一个
[22:58] 温和量来推升的状态
[23:00] 好
[23:01] 但华硕他有出现
[23:02] 所以当时第一是黄金硬化角
[23:04] 觉得股价价值超跌
[23:06] 第二个就是朱老师有提到说
[23:08] 它就是一个大盘的指标
[23:10] 就是底部爆量以后不再破底
[23:13] 对所以我觉得这个还蛮有趣的
[23:15] 就是有时候基本面跟技术面
[23:17] 它会在某一个时间点交错这样子
[23:20] 那另外大家喜欢观察指标
[23:22] 可能还需要点力气的就是台达电
[23:24] 因为台达电也是这一波
[23:26] 跌下来之后
[23:26] 它算是反弹上面比较吃力的全值股
[23:30] 那它结出来半年报没有不好
[23:32] 可是你也可以看得出来
[23:34] 它比较属于
[23:35] 没有在像其他那种爆发性成长
[23:39] 或是让你眼睛为之一亮
[23:41] 它就是温温好的东西给你这样子
[23:43] 所以市场对于它的反弹相较之下
[23:46] 也比较温温涨这样
[23:48] 所以他们的话都会被视为
[23:50] 现在大盘的一个先行指标
[23:53] 它一个我觉得相对落后指标
[23:55] 如果哪一天台达电也来跟你喷的时候
[23:58] 那时候也许才会有比较过热的问题
[24:01] 对
[24:02] 那目前现在在大涨的
[24:04] 很多都是跌深以后
[24:05] 处置的条款拿掉了
[24:07] 大家回归来评估正常合理的水准
[24:09] 先回到合理水准
[24:11] 所以呢
[24:11] 超跌的这段没有赚到
[24:14] 那是正常的
[24:14] 因为我们都不是什么神人
[24:16] 除非像我讲的
[24:17] 你很规律的往下扣
[24:18] 你本来在定期定额的
[24:20] 你本来就觉得跌一段
[24:21] 你就要买得很有信心的
[24:22] 这个才赚得到
[24:23] 但是回到合理水准的评估
[24:25] 刚刚我念的那一串
[24:27] 不管是挪威主权基金也好
[24:29] 或者等一下我们也可以聊一下
[24:30] MACNR间的股票也好
[24:32] 它的方向趋势性
[24:33] 族群性
[24:34] 其实说来说去
[24:35] 一点都不特别
[24:37] 就是这些股票
[24:38] 我们可以用
[24:39] 重新合理的价值来评估
[24:42] 像前一阵子
[24:42] 大家一直问
[24:43] 这个金居金像店对不对我们就有提到以基本面来看缴出来的成绩都是好的尤其金像店可是以筹码来说就是投信在前一阵子例如有停损
[24:53] 或者是要换股
[24:55] 他们觉得这个比较慢什么的
[24:56] 总之他在筹码上的干扰比较多
[24:58] 但金像店是率先投信回来
[25:00] 先买了
[25:01] 所以我觉得像这些的筹码观察指标
[25:04] 都是大家可以留意的
[25:05] 其实像台达店
[25:06] 在前一波的下跌
[25:08] 其实过程当中
[25:10] 融资减的没有很多
[25:12] 所以我觉得这个是在这一波台达电
[25:15] 它的反弹的速度不如其他的一些
[25:18] 电子机油股的一个原因
[25:20] 那但是好了股票
[25:24] 它至少它在下挡
[25:25] 它还是会有一定的一个支撑
[25:27] 所以近期我们看到台达电
[25:30] 往上在这走高过程当中
[25:32] 其实投信回头来买了
[25:34] 投信大概在1700块钱以下
[25:36] 这边开始去做一个低阶跟布局
[25:39] 但是这个2301的光宝科
[25:42] 这边就有比较突出的表现
[25:45] 他在今天呢
[25:47] 他的股价再次创下
[25:49] 这个破断性的一个新高
[25:51] 那所以其实我在
[25:53] 整个产业的一个观察上
[25:55] 在今年
[25:56] 尤其是今年在下半年
[25:59] 或从Q2开始
[26:00] 其实一些在之前
[26:02] 没有说接到这么多
[26:05] AI相关订单的公司
[26:07] 那么在今年下半年
[26:10] 应该有机会
[26:11] 会往上去做表态
[26:13] 那我们就举一个例子来说
[26:17] 例如说AI Server的组装跟代工
[26:20] 在去年是三雄鼎立或者四雄鼎立
[26:24] 就是鸿海广达
[26:27] 然后维影
[26:28] 然后可能在多家股为创吧之类的
[26:32] 但是呢在近期我们从新闻面上可以观察到
[26:37] 除了在刚刚所提到的这些所谓的四雄鼎立之外
[26:41] 另外包括像是2357的华硕
[26:46] 我们今年有提过
[26:47] 他在这块有做
