[00:00] 歡迎收聽趙華宇古貨仔第1026集
[02:42] 可是有很多的陰霾
[02:43] 例如說雖然現在我們臺灣的關稅數是15%
[02:47] 可是韓國突然之間就被調高25%
[02:49] 可是大家都不怕
[02:50] 對不對
[02:51] 然後還有美國政府
[02:52] 還是有可能關門
[02:54] 那降息的速度還是很緩慢
[02:56] 到底現在以整個總經環境來說
[02:59] 能夠支撐臺股這樣
[03:00] 好像無止境的往上走嗎
[03:02] 以目前臺股的基本面
[03:04] 當然我會覺得基本面是有跟上沒錯
[03:07] 而且關稅上面的問題
[03:08] 我們又看到川普關稅人又開始發威
[03:10] 因為像這次韓國會被調高到25%
[03:14] 我想他們當然還是有
[03:15] 他們國內政治上面的因素
[03:16] 臺灣可能也會面臨到同樣的問題
[03:19] Whatever
[03:20] 我覺得至少現階段
[03:21] 我們可以看到
[03:22] 大部分的電子產品
[03:23] 我們重要的出口
[03:24] 幾乎都是被排除在
[03:26] 所謂的這個二三二條款
[03:27] 或者是關稅清單裡面
[03:29] 所以重點是在於你的有效稅率
[03:31] 那當然你對於傳產出口
[03:33] 可能就會比較辛苦
[03:34] 會有壓力
[03:35] 所以等於是大家在面對關稅
[03:37] 我覺得市場也比較理性去做解讀
[03:39] 會發現這種關稅
[03:41] 它不是全面性的
[03:42] 把所有的商品全部磕一輪
[03:43] 它是有針對性的
[03:45] 或者是我們也理解到
[03:46] 川普是有目的性的
[03:48] 他可能就是嘴巴上面喊一喊
[03:49] 那除了像韓國以外
[03:51] 其實川普也把矛頭指到加拿大
[03:53] 因為加拿大要跟中國去談貿易協定
[03:56] 川普就不開心了
[03:58] 他就說如果你們真的達成了什麼協議的話
[04:00] 我要對加拿大扣100%的關稅
[04:03] 可是加拿大馬上就說了
[04:04] 當然
[04:05] 馬上就說了
[04:07] 因為畢竟他在地理上面
[04:08] 還是相對於美國比較近
[04:09] 而且他們的貿易連結
[04:11] 也真的是比較緊密一點
[04:13] 可是你就會發現川普
[04:14] 當他一直慣用這樣子
[04:16] 關稅的方式去做的時候
[04:18] 市場對於關稅的敏感度也會降低
[04:20] 麻痺了
[04:21] 對它就相對比較麻痺
[04:22] 所以我認為你看韓股今天
[04:24] 還能夠大漲2.6%上來
[04:26] 其實也就代表了關稅這件事情
[04:28] 可能對於目前的股市的狀態來說
[04:31] 並不是一個太大的影響
[04:32] 那當然這個是我們在解讀關稅
[04:34] 另一方面在基本面的資料上
[04:36] 因為趙華你也提到外銷訂單進出口
[04:39] 這些資料是亮眼的
[04:40] 我們也預期今年2026年會繼續漂亮下去
[04:43] 當然它會面臨到的一個問題
[04:46] 就是在於基期高的問題
[04:48] 可是因為我目前看到
[04:50] 以臺股來講的話
[04:52] 這些上市櫃公司開出來的營收
[04:54] 是真的有越來越漂亮
[04:55] 所以我們在還沒有看到
[04:57] 實質的放緩或開始頓化之前
[05:00] 這些資金只要每一次
[05:01] 你說月營收開出來
[05:03] 財報開出來
[05:03] 數字很漂亮
[05:05] 它就是股價的催化劑
[05:06] 所以對於臺股在這個位階
[05:08] 能不能有基本面支撐
[05:09] 我會在一開始說的答案是yes
[05:11] 就是這個原因
[05:13] 當然了
[05:14] 你說不管是美國也好
[05:16] 或者是全球今年的經濟
[05:17] 到底還能不能像是去年一樣
[05:19] 因為臺灣去年的經濟成長率
[05:20] 高到很驚人
[05:21] 7%多吧
[05:22] 那今年應該是不會這麼高
[05:25] 可是一樣的我們就講了
[05:26] 市場現在喜歡的故事
[05:28] 就是反正AI能夠繼續成長
[05:30] 那上市櫃公司能賺更多錢
[05:32] 它就能夠支撐現在的臺股
[05:34] 繼續往上推
[05:35] 這也是我們在上禮拜
[05:37] 還是上上禮拜有提過
[05:38] 你不要看到指數來到三萬點
[05:40] 然後就覺得好像行情已經走完
[05:42] 你反而應該是要趁著
[05:44] 這一個行情熱的時候
[05:45] 儘可能的在裡面去尋找資金
[05:47] 會輪動的一些題材
[05:49] 所以你看指數到今天
[05:50] 已經到了三萬兩千四百多點
[05:52] 我是覺得速度很快
[05:53] 我們必須講
[05:54] 而且氛圍也真的是很熱
[05:56] 可是我們不預設高點
[05:58] 那到底臺股會來到三萬三
[05:59] 還是三萬四
[06:00] 對我來講也不重要
[06:01] 我更在意的是
[06:02] 如果這個行情
[06:03] 它會繼續這麼熱或繼續下去
[06:06] 我們都還沒有看到
[06:07] 要剎車的這樣子的跡象
[06:09] 那我自己的操作
[06:10] 其實會跟著市場的趨勢一樣
[06:12] 會相對的更積極一點
[06:14] 這也是我覺得在農曆年前
[06:16] 我們都還有很多的紅包行情
[06:18] 可以好好把握的主要原因
[06:20] 好 因為我們通常呢
[06:22] 如果以現在的趨勢來看
[06:24] 說實話應該蠻多指標
[06:26] 都在高檔已經頓化掉了
[06:28] 頓化當然就沒有辦法去預設了
[06:29] 也不能說它過熱
[06:30] 因為它就是一個頓化的狀態
[06:32] 那在這樣的情況下
[06:34] 每天都創新高還伴隨著爆量
[06:35] 就是一個量增價漲
[06:37] 也沒有什麼敗相
[06:38] 這必須在現實層面來講
[06:40] 那當然你可以看到
[06:41] 有一些大家要提高警覺的
[06:43] 我們常講現在市場的融資餘額
[06:45] 不是當年的融資餘額
[06:46] 上市加上櫃融資餘額
[06:48] 現在是一定超過5000億了
[06:50] 那可是還有很多從借貸管道的來的
[06:52] 像我們昨天也有在聊
[06:53] 現在連基金都有這個好想貸
[06:56] 就是基金也可以拿來做質押
[06:58] 股票也可以拿來做質押
[07:00] 什麼都可以拿來做質押的情況下
[07:02] 我也遇到好多人在問
[07:03] 要不要質押來套利等等的
[07:05] 所以現在市場上用融資出來的錢
[07:07] 真的也非常多
[07:08] 這些其實到後面
[07:09] 它到後面
[07:10] 它終究會成為一個
[07:13] 助長也助諜的力道
[07:15] 因為他就是槓桿
[07:16] 對
[07:17] 可是現在在
[07:18] 全部的東西都在熱的情況下
[07:20] 為什麼我們常常講說
[07:21] 市場永遠是對的
[07:23] 我們不預設高點
[07:24] 因為現在看起來就是沒敗相
[07:25] 對
[07:26] 然後甚至你看到
[07:27] 川普拿這個關稅的大旗
[07:29] 大家也不害怕
[07:30] 大家上個禮拜
[07:31] 我以為害怕
[07:32] 只是因為格林蘭的事件
[07:33] 感覺上歐盟會反制美國
[07:36] 然後如果他的反制是真的
[07:38] 很多人一起聯手起來
[07:39] 拋售美債
[07:40] 拋售美股
[07:41] 好像有點可怕
[07:42] 所以有點聯動
[07:43] 但當他到了瑞士達沃斯論壇說
[07:46] 沒有耶
[07:46] 我不會這個五曲格林蘭
[07:48] 我也會取消這個歐盟的關稅的時候
[07:51] 一切又馬照跑
[07:52] 五照跳
[07:53] 對不對
[07:54] 好
[07:54] 所以現在大家確實有這個估值不斷上升的
[07:57] 不過也講到
[07:58] 這就是一個機身蛋誕生機
[08:00] 因為現在來到三萬兩千四
[08:02] 那你伴隨著這樣的量
[08:04] 其實是合理的
[08:05] 好
[08:06] 如果今天是這個兩萬點伴隨這樣的量
[08:08] 你會覺得超級變態的
[08:09] 超級詭異的
[08:10] 可是因為他就是量推價
[08:12] 價又推量
[08:13] 所以他目前
[08:14] 就像昨天古魚有講
[08:16] 以所謂的這個市值
[08:17] 跟這個融資比
[08:19] 他還是很正常的
[08:20] 他不會說融資跟市值
[08:22] 比起來融資大的可怕
[08:24] 現在就沒這樣
[08:25] 但是一旦
[08:26] 我不知道什麼事
[08:27] 黑天鵝就是你不知道
[08:28] 會發生什麼事
[08:28] 你說一旦反轉
[08:30] 會不會有再度的去槓桿
[08:31] 以及再度的人才人
[08:33] 當然會有
[08:34] 但因為現在
[08:35] 以今天到目前為止
[08:36] 還沒有
[08:37] 所以大家在這個party的情況下
[08:39] 就順勢
[08:40] 因為現在還有一個好處是說
[08:42] 地位接著也在漲
[08:43] 像剛剛我跟小明在討論
[08:45] 這個很厲害的
[08:46] 這個不管是低軌衛星也好
[08:48] 這個PCB也好
[08:49] 或者是這個剛剛講到細光子也好
[08:53] 那其實細光子前一陣子在休息嘛
[08:55] 像今天你看到散熱
[08:56] 也有一些起色
[08:57] 對不對
[08:58] 今天低軌衛星其實稍微是比較休息的
[09:00] 所以當有人休息就有別的起來的時候
[09:02] 反而大家是一個輪漲的狀況
[09:04] 好
[09:05] 不過也因為是這樣
[09:05] 像記憶體我們常常講還會漲
[09:07] 可是看你自己個人的風險承受度
[09:10] 小明同學你覺得
[09:11] 如果先不論記憶體好了
[09:13] 其他的產業在這個輪漲過程中
[09:15] 你會如何抓到2026年
[09:17] 你覺得他如果下來
[09:19] 你一定會優先佈局的
[09:20] 優先佈局的話如果不看記憶體我真的是記憶體王你可以先講記憶體你可以先講記憶體沒有體因為今天記憶體也是長諜互建長諜互建好那我覺得記憶體
[09:32] 當然我目前現階段以股價
[09:34] 我們單純是以股價操作
[09:35] 我還是覺得股價還有在往上推的可能性
[09:39] 因為你會看到券商一直在發報告
[09:40] 然後一直在調高今年的EPS
[09:42] 可是你會發現EPS的共識越來越寬
[09:45] 有人覺得南亞科賺十幾塊
[09:46] 有人覺得像凱基就出道說
[09:48] 他可以賺三十幾
[09:49] 那這些數字說真的
[09:51] 現在就是看你要怎麼去算
[09:53] 怎麼去喊
[09:54] 但你一定是到2026年底
[09:56] 你才會知道
[09:57] 但無論如何
[09:58] 我覺得市場的資金
[09:59] 真的眼睛都是在看記憶體
[10:01] 所以你熱度沒有減
[10:02] 那誰出關
[10:03] 誰就可以往上攻
[10:04] 也就代表大家其實還是很青睞
[10:06] 那我會覺得
[10:07] 記憶體當然是還有價差可以做
[10:10] 那如果排除掉記憶體以外的話
[10:12] 我覺得這禮拜
[10:13] 我會特別想要去看封測族群
[10:16] 原因當然是因為
[10:17] 禮拜三也就是明天
[10:18] 明天的話
[10:19] 美國的這個封測龍頭大廠
[10:21] 愛德萬要開財報
[10:23] 你可以預期他開出來的財報一定是好的
[10:26] 然後市場應該也會有用利多的故事去解讀
[10:29] 因為我們現階段在看到
[10:32] 不管美股或臺股
[10:33] 都是用一個比較好的story去描述
[10:35] 不管他數字好或壞
[10:36] 反正大家都看好的那一面
[10:38] 那你除了這一個禮拜三的愛德萬以外
[10:41] 禮拜四還有三星跟Sandisk也要開財報
[10:44] 所以就等於是每次股價上去
[10:47] 他會有不斷的新聞利多的催化劑
[10:49] 把估值往上墊高往上墊高
[10:51] 那所以我們會講說
[10:52] 即便你認為他很貴
[10:54] 你覺得他估值不合理
[10:54] 你也不要去放空他
[10:56] 因為大市
[10:57] 這個市
[10:58] 就是在往上推的
[10:59] 這個趨勢裡面
[11:00] 你去逆著做
[11:01] 你本來就佔不到便宜
[11:03] 吃不到豆腐
[11:04] 所以為什麼我會講說
[11:05] 我在接下來
[11:06] 這禮拜我會特別看封測
[11:07] 就是因為愛德外要開財報
[11:09] 那我們用事件交易法的
[11:11] 邏輯去思考的話
[11:12] 財報公佈的是好的
[11:14] 是不是相關的族群
[11:15] 也會跟著帶動
[11:16] 更不用講說
[11:17] 黃仁勳黃爸爸又要來臺灣了
[11:19] 相關的AI
[11:20] 我覺得整個AI族群
[11:22] 它來我們不知道誰會漲
[11:24] 但是我們知道
[11:24] AI族群裡面一定會被點兵到
[11:26] 所以資金也是在這裡
[11:28] 全面去做卡位
[11:29] 那當然以測試來講的話
[11:31] 像這個6515的影威
[11:33] 影威其實都已經漲到右上角
[11:35] 已經創新高了
[11:36] 然後像是金測
[11:38] 哇金測我從來沒有想過
[11:39] 它可以到3000多塊
[11:40] 探針三雄都創新高了
[11:42] 一直創新高
[11:43] 所以我會覺得
[11:45] 代表是資金
[11:46] 大量的資金擠在這一塊
[11:48] 所以影威
[11:49] 然後我們剛才講的金測
[11:50] 今天其實擁制科技也來了
[11:52] 因為聯發科長了
[11:54] 他總要表現一下
[11:55] 沒錯
[11:55] 所以這些資金
[11:56] 就是一個帶一個
[11:57] 機身誕生機的狀況又來了
[12:00] 所以你會理解到
[12:02] 市場的資金
[12:03] 會不斷地在裡面去做輪動
[12:04] 所以我會講說
[12:05] 那這些高價的千金股
[12:07] 到底資金會不會一直往上推
[12:09] 或者是一般的散戶投資人
[12:10] 能不能買得下去
[12:11] 又是另外一回事
[12:12] 相對的比較低價的
[12:13] 在近期
[12:14] 其實跟封裝測試有關的
[12:15] 像是導線架
[12:17] 大家以前也有辦法當封裝
[12:18] 所以什麼順德 介林 益權
[12:21] 他們這些全部也都一起來
[12:23] 雖然益權可能長得跟
[12:24] 導現價也沒關係
[12:25] 但反正資金在這上面繞
[12:27] 那像是中探針
[12:28] 我覺得它的位階就相對偏低
[12:30] 因為它其實在12月
[12:33] 公佈出來的營收是創歷史高
[12:34] 可是它的股價卻還沒有過
[12:37] 我們前面的高點
[12:38] 所以你說風策族群裡面
[12:40] 有沒有一些比較低位階的
[12:41] 我認為其實可用之兵還很多
[12:43] 所以這是我第一個會去關注的
[12:45] 那除了這個以外的話
[12:46] 其實細光子這禮拜
[12:48] 我覺得今天算是資金重新迴流的第一天
[12:51] 那細光子裡面剛剛趙華也講了光盛
[12:53] 而且我覺得很有趣的是
[12:55] 光盛是我們上禮拜在達仁修跟大家分享的
[12:57] 聯電也是
[12:58] 這兩檔都是我們上禮拜點兵
[13:00] 今天都漲停版
[13:01] 那我覺得光盛很有趣的是
[13:02] 他一被點名
[13:03] 他竟然能夠一架漲停鎖死
[13:06] 雖然我們知道他股價
[13:08] 因為從前面的高點修正下來
[13:10] 那他大概我記得也修正了十幾個百分點
[13:13] 所以你今天即便漲停
[13:14] 他也還沒有去過前面的高點
[13:16] 你相對於在右上角的股票
[13:18] 它的位階
[13:18] 相對來講叫做偏低
[13:20] 那我要跟大家講的是光盛
[13:22] 其實因為它90%的營收
[13:23] 來自於Google
[13:24] 所以等於是Google概念股
[13:26] 我建議大家也可以留意一下
[13:27] 那光盛在做的就是光纖連線
[13:29] 光纖連線的話
[13:30] 因為Google在下一次的話
[13:31] 它有第七代的架構的
[13:33] 這一個伺服器要出來
[13:34] 它這個產品叫做Ironwood
[13:36] 然後叫SuperPAR
[13:38] Ironwood SuperPAR
[13:39] 它裡面的這一個TPU
[13:41] 有9216顆
[13:42] 這9216顆
[13:44] 你都要用光纖去做連線
[13:45] 光聖有90%的營收來自於Google
[13:48] 所以你會發現光聖今天動了以後
[13:51] 那你的市場的敏感度或直覺
[13:53] 會不會去連結到說
[13:55] 其他的Google概念股也有機會
[13:57] 我會這樣子想啦
[13:59] 所以代表光通訊的火種
[14:00] 在今天開始點火
[14:01] 那如果後面這邊
[14:03] 又有AI相關的題材出來的話
[14:05] 它就有機會延續
[14:06] 所以我會先看的就是封測跟CPU
[14:09] 其實探針三雄跟CPU
[14:11] 也是有關係的
[14:12] 他們在封測材料這一塊
[14:14] 那CPO這個趙華也講非常多了
[14:17] 股性最活潑
[14:18] 而我自己個人最喜歡的就是CPO
[14:20] 那想要操作的朋友
[14:22] 我這邊常常叮嚀兩件事
[14:24] 第一個就是他們的本益比還是非常高
[14:26] 可是你可以看到市場資金
[14:27] 就是沒有放過他們
[14:29] 所以只要他們在回檔休息的時候
[14:31] 不妨就選擇一檔跟你最有緣分的去鎖定他
[14:35] 不會建議說漲停板那天才猛追
[14:38] 如果是動能派當然是如此
[14:40] 可是我個人是覺得我喜歡這個族群
[14:43] 而這個族群他會回檔
[14:44] 然後回檔的時候
[14:45] 他可能會休息一下
[14:46] 讓別人先表現
[14:47] 那因為他的本意比高
[14:49] 所以我比較不傾向用追的
[14:51] 可是他往往是
[14:52] 你用等的都會等到比較好的價位
[14:54] 那持久他我覺得是稍微需要信仰的
[14:57] 就像今天Alicia講這個光聖
[14:59] 又講到他是Google概念
[15:01] 早就知道他是Google概念了
[15:02] 對
[15:02] 又不是新聞
[15:03] 對
[15:04] 而且又不是高盛跟這個大魔講的Alicia
[15:08] 但是現在就非常非常的吃這套
[15:10] 我覺得這個是大家在選擇
[15:12] 像細光子這類的族群
[15:14] 有前景性
[15:15] 可是他們現在
[15:16] 目前的產品線
[15:17] 有沒有誰真的做到細光子
[15:19] 我必須說光順是算蠻領先的
[15:21] 還有一直提醒的就是
[15:23] 當大立光進入到這個戰場
[15:25] 我不曉得大家還記不記得
[15:26] 在一月初的時候
[15:27] 跟大家分享的
[15:28] 大立光用旗下的來臨光電
[15:29] 去做這個細光子
[15:31] 這件事情是有意義的
[15:32] 第一
[15:32] 他可能會讓細光子有點壓力
[15:34] 就是大家會想
[15:35] 有一個競爭者加入了
[15:36] 而且他已經公佈
[15:37] 是有跟臺積電做合作
[15:39] 那本來在跟臺積電談的
[15:41] 而還沒有進度的朋友們
[15:43] 是不是就要小心一點呢
[15:44] 這個確實
[15:45] 這個在CPU領域的朋友
[15:47] 也有在關注這件事情
[15:48] 但當大力光
[15:49] 願意切進來做就代表什麼
[15:51] 這一塊肯定是有商機
[15:52] 不然幹嘛來搶
[15:53] 對啊
[15:54] 而大哥又是臺電跟輝達
[15:55] 所以這一塊
[15:56] 我一直都覺得
[15:58] 是沒有什麼問題的
[15:59] 那大家就參酌一下
[16:01] 因為他很吃
[16:02] 我覺得他蠻吃股的緣分
[16:04] 對
[16:04] 我覺得他是很吃的
[16:06] 那其他的
[16:06] 例如說PCB的上游
[16:08] 或者是像這個
[16:10] 剛剛講到的其他熱門的低軌衛星
[16:13] 甚至像今天軍工在回黨
[16:14] 不過軍工真的是因為在政策上面
[16:16] 現在有這個朝野不和諧的情況
[16:20] 所以要賭這種政策概念股
[16:21] 在今年我覺得真的壓力會比較大
[16:24] 我覺得反而是雖然有標案
[16:26] 可是不一定過
[16:27] 這些事情以政策概念來說
[16:29] 我覺得今年要稍微留意
[16:30] 可是如果是跟國際大廠接軌
[16:32] 不管是跟輝達跟Google
[16:33] 跟任何人
[16:34] 對跟國際大廠接軌
[16:36] 像剛剛講愛德萬測試
[16:37] 這些都在今年
[16:39] 我覺得還是一個顯學
[16:40] 那當然除了這些以外
[16:42] 我剛才忽然想到一件事
[16:43] 因為其實你在最一開始
[16:44] 有問到說
[16:45] 臺股的資金到底是哪裡來
[16:46] 因為外資在賣
[16:47] 投信在賣
[16:48] 其實這個我有答案
[16:49] 我有答案
[16:50] 就是大家一直忘記
[16:50] 我們臺灣有一個東西
[16:51] 叫受險業
[16:52] 受險
[16:53] 但是受險業
[16:53] 它一直加碼到什麼時候
[16:54] 它會一直加碼到什麼時候
[16:56] 我必須講我不知道資金量
[16:57] 可是邏輯
[16:58] 我可以跟大家報告
[16:59] 為什麼在今年一月份
[17:02] 大家會看到三大反而在賣超
[17:03] 然後臺股還能一直往上推
[17:05] 我認為受險資金很重要
[17:06] 那為什麼它現在會買
[17:08] 是因為他去年12月賣超多
[17:10] 對
[17:10] 他去年12月狂爆賣
[17:12] 而且為什麼會爆賣
[17:13] 是因為我們今年臺灣的會計制度
[17:16] 要跟國際去做接軌
[17:18] 所以你去查所謂的IFRS17
[17:21] IFRS17裡面有一個很重要的更動
[17:23] 就是呢
[17:24] 你有一些投資
[17:25] 那你這些受險業的投資
[17:27] 你過去如果呢
[17:28] 有這種已實現的獲利
[17:29] 已實現的損益
[17:30] 對不對
[17:30] 是可以把它灌進去財報裡面的EPS
[17:33] 可是你到了IFRS17以後呢
[17:35] 你積下來的這一些投資呢
[17:37] 會丟到另一個專案
[17:38] 叫做FVOCI
[17:41] 這裡面你丟進去以後
[17:42] 你未來在賣股票
[17:44] 就算你有賺錢
[17:45] 你只能把它丟到資本公積
[17:47] 你不能把它認列EPS
[17:48] 所以受險業去年年底
[17:50] 就要趕快先把一些
[17:52] 過去有賺了很多錢的
[17:53] 這些全職股大型股先賣掉
[17:55] 這就導致去年12月的
[17:56] 行情比較震盪
[17:58] 你明明看到法人在買
[17:59] 奇怪了
[18:00] 為什麼臺股就是上不去
[18:01] 那好啦
[18:02] 你2026年已經到了
[18:03] 代表你2025那關過去
[18:05] 受險業他賣掉
[18:06] 又不是真的看不好
[18:07] 這些全資股
[18:07] 所以他在一月份就開始拼命
[18:09] 把原本賣掉的那些部位給買回來
[18:12] 所以這是我要跟大家額外補充
[18:14] 就是到底現在誰在買
[18:15] 不是三大法人一直狂賣
[18:17] 然後指數絕下去
[18:18] 不對
[18:18] 因為你後面還有一個受險業
[18:20] 在把這些股票
[18:21] 他只要有低他就承接
[18:23] 有低就承接
[18:23] 才能夠把臺股推到這個位置上
[18:26] 好
[18:26] 當然因為除了受險業之外
[18:28] 我們還會看到是散戶大軍
[18:30] 說實話前面的融資比較像是
[18:32] 大戶跟中石戶融資
[18:34] 這個也有跟大家報告過
[18:35] 因為現在前面的融資
[18:37] 我們常常講說這個賺錢融資或聰明融資會先賺前面的嘛
[18:41] 然後到最後其實現在開始增加
[18:43] 我相信散戶朋友一定是有增加融資在進來的
[18:46] 剛剛講到增加槓桿
[18:47] 因為受險金可能會買的是比較全資型的股票可是很多的中小型股甚至那種二三十塊前一陣子飆到翻天的那個可能就不是受險會要的範圍他們股本真的太小了
[18:58] 市值太小了
[18:59] 然後獲利也沒有辦法繳出來
[19:01] 所以變成是受險領軍
[19:03] 把這個盤是撐住的
[19:04] 然後散戶們的補加入
[19:06] 那大戶們又會趁著散戶們來
[19:09] 來一起共襄盛舉
[19:10] 就會有一個熱鬧無比的
[19:12] 說實話長到今天
[19:13] 長到今天我都會覺得
[19:15] 是不是每一個在收聽的朋友們
[19:18] 如果你手上的持股真的不算多
[19:20] 或是真的很不巧
[19:21] 你手上是過去真的比較不漲的
[19:23] 例如說傳產類的
[19:24] 或者是有一些高值利率
[19:26] 就是題材沒有輪到他
[19:27] 或是瓶蓋或是消費型的
[19:28] 是不是今天的感受
[19:30] 就越來越覺得緊張
[19:31] 好像該找點什麼
[19:33] 因為我可以理解
[19:34] 就像我前兩天在盤面上找
[19:36] 例如說可能機體
[19:37] 我就常跟大家講
[19:38] 實在是有點買不下去
[19:39] 但是機體還是可以跟大家說
[19:41] 這絕對對上游的經歷場
[19:43] 是沒有問題的
[19:44] 今天有好朋友講說
[19:46] 他們朋友就覺得這一波漲
[19:48] HBM
[19:48] 所以他去買了
[19:49] 美國跟韓國的
[19:50] 記憶體公司
[19:51] 就不外乎是
[19:53] 美光啦
[19:53] 三星海力士
[19:54] 但他空臺灣的記憶體
[19:55] 人家覺得臺灣的記憶體
[19:56] 就是人家
[19:57] 減腎的
[19:58] 然後讓你做
[19:59] 然後這樣
[19:59] 可是臺灣的記憶體
[20:00] 飆得更兇
[20:01] 應該說一樣兇
[20:02] 所以就
[20:03] 這邊賺的
[20:03] 吐給空臺灣的
[20:05] 這些記憶體
[20:06] 那因為臺股前提的市場
[20:07] 常常會被主力大戶
[20:08] 就操縱在手上
[20:10] 對
[20:10] 所以我覺得不要
[20:11] 不要空
[20:12] 不要空
[20:13] 好
[20:14] 那我要講的是
[20:14] 前幾天我看到
[20:15] 機體漲那樣子的時候
[20:16] 我就想說
[20:17] 那我可能唯一可以碰的
[20:18] 就是歷程了
[20:19] 對
[20:19] 因為歷程雖然也漲了很多
[20:21] 對
[20:21] 可是相較之下
[20:23] 第一你買過它
[20:24] 你會覺得
[20:25] 至少我從它身上賺過錢
[20:26] 有一個心理安慰是
[20:28] 大不了如果我現在買它
[20:29] 如果賠了
[20:30] 那就是把之前賺的錢
[20:32] 再吐一點回去而已
[20:33] 對
[20:34] 因為現在買
[20:35] 覺得比當時賣掉的時候
[20:36] 還要高了
[20:37] 這是沒辦法的
[20:38] 好
[20:38] 然後呢
[20:39] 再來是
[20:39] 現在有風策加機體概念
[20:41] 那它又是裡面的領頭羊大廠
[20:44] 如果勢頭還在
[20:45] 他那時候剛好從270幾又回檔
[20:47] 我覺得相對之下
[20:49] 又不是買在最高點
[20:50] 就用安慰自己的方式
[20:52] 可能小買了一點歷程
[20:53] 這是我的想法
[20:54] 然後另外像同伯的上游
[20:56] 我想這個小明最清楚
[20:57] 因為龍科漲翻了
[20:59] 龍科甚至是董事長賣到已經解任了
[21:01] 然後大股東都在賣
[21:02] 還是在漲
[21:04] 那金居是不是就有點被壓抑了呢
[21:07] 原因是因為金居一直在注意
[21:09] 所以他可能漲漲就要被關
[21:10] 漲漲就被關
[21:11] 但我就想說
[21:12] 要我的話
[21:13] 我可能就會在金居
[21:14] 在270塊以下
[21:16] 為什麼在270塊以下
[21:17] 因為我自己觀察
[21:18] 他每次在270塊那邊
[21:19] 會放一個量
[21:20] 然後就套牢了
[21:20] 對
[21:22] 270塊以下
[21:24] 可能他比較安全
[21:24] 就可以試試水溫這樣
[21:26] 這是我最近的想法
[21:28] 可是這些想法
[21:28] 都比我過去覺得
[21:29] 是冒險的
[21:30] 可是在這樣的行情裡面
[21:32] 如果說你很怕錯過的話
[21:34] 我就還是可以拿一些資金部位
[21:36] 去做這種沖沖
[21:37] 不是說短衝
[21:38] 是他有點
[21:39] 股性有點衝的做法
[21:41] 因為這個地方當然了
[21:43] 如果你手上的持股
[21:44] 第一個你選錯股票
