[00:00] 欢迎收听赵华宜古货仔第1078集
[06:18] 其實我們比不過美國比不過日本
[06:21] 這些來講都沒什麼了不起
[06:22] 你資本支出高
[06:24] intel沒錢沒錯
[06:25] 如果今天美國政府願意幫忙
[06:27] 其實錢都是小事
[06:29] 那最後其實兩個關鍵點
[06:31] 第一個就是很厲害的
[06:34] 很精良的人力
[06:35] 台灣就有這個比較特殊的一個資源
[06:38] 另外就是長期而言
[06:39] 台積電累積的這個所謂的經驗
[06:42] 也是不是他們快速可以複製的
[06:44] 所以這兩塊導致其他人來
[06:47] 其實我老實說
[06:48] 我也覺得最起碼
[06:49] 公司是不會提這個觀念
[06:51] 我覺得三五年內
[06:53] 其實台積電很難
[06:54] 這個追兵很難追得上
[06:56] 所以其實也不用太擔心
[06:58] 反而是剛剛提到
[06:59] 整個法說會來講
[07:01] 我覺得憑良心講
[07:03] 這次當然不比上一次
[07:05] 因為上一次是大幅的優於市場預期
[07:08] 這次是幾乎都有辦法
[07:10] 在這個很殘忍的要求之下
[07:13] 他都還能夠摸到
[07:14] 他人家要求的高標
[07:16] 所以我老實講
[07:17] 還是維持一個樂觀
[07:19] 可是記得一件事情
[07:21] 我常常講基本面跟股價
[07:23] 長期是不可能脫鉤
[07:25] 但是短線你也不要一直說
[07:28] 為什麼他說這樣的股價
[07:29] 還長這樣
[07:30] 短線你幾天甚至一兩週
[07:33] 稍微脫鉤
[07:34] 我覺得本來就是合理的
[07:36] 那記得一件事情
[07:38] 就是上一次我刚刚提到
[07:39] 上一次法说是非常惊艳
[07:42] 其实股价也反映一天之后
[07:44] 也是持续整理
[07:45] 也没有因此讲完之后就快速喷出
[07:48] 那这一次来讲
[07:49] 这个是其实一个经验谈
[07:52] 就是从二三年有AI以来
[07:54] 每一次法说会过后
[07:57] 它本来就需要一个礼拜左右的时间整理
[08:00] 那整理的是为什么
[08:01] 让一些低压没有信心
[08:04] 或者是读法说会短线的投资人
[08:07] 在法术会前卡关
[08:09] 然后呢
[08:10] 说得很好
[08:11] 隔天开高
[08:12] 人家就要走
[08:13] 你要先让这些麦芽消化一段时间
[08:16] 大概过往经验就是一个礼拜左右的时间
[08:20] 那消化整理之后
[08:21] 再回到原本的基本面
[08:23] 再继续往上走
[08:24] 所以重申
[08:26] 就是说这次结论就是
[08:28] 整个法术会还是正向的
[08:31] 绝对没有疑虑
[08:32] 那大家市场在担忧的
[08:35] 不确定性的部分
[08:36] 他也解读了
[08:37] 那原本好的部分
[08:38] 他再加了一点点分
[08:40] 就比如刚刚提到的
[08:41] 全年展望营收三成
[08:43] 他就说很有把握三成没问题
[08:45] 会高于三成
[08:47] 就是每一个地方再加一点点
[08:49] 代表指数的一个部分
[08:51] 还有机会持续走高
[08:53] 或者是股价的一个部分
[08:54] 只是操作上来讲
[08:56] 真的也不用太积极
[08:58] 过往就是一个礼拜整理
[08:59] 所以你可以把握
[09:01] 在这一个礼拜的时间点
[09:02] 上涨的时候不用买
[09:04] 那如果有翻黑的时候呢
[09:05] 稍微去做布局的一个动作
[09:07] 当然很多人会讲
[09:09] 这股价每次都说都两千多块了
[09:13] 台积电怎么买
[09:14] 这不会很贵吗
[09:15] 我先给大家一个数字
[09:18] 因为我真的觉得这一段时间
[09:20] 因为今年以来
[09:21] 现在才第一季过了就涨了三成
[09:23] 对 之前有到一千七百多
[09:25] 那时候也跟大家说一千七百多OK
[09:27] 对
[09:28] 只有已经变甜了
[09:29] 是 好
[09:30] 我们就以现在这个角度好了
[09:32] 现在涨了三成
[09:34] 就会觉得今年错过这三成
[09:36] 现在进来不敢进来
[09:37] 我跟大家看一个数字
[09:39] 就是去年年底的时候
[09:42] 法人对于他今年的EPS
[09:44] 预估数字是76块
[09:46] 那到我看到法术会前
[09:49] 均值已经是94
[09:51] 他等于说EPS就在这四个月
[09:54] 大家的平均值就上修了两成多
[09:58] 25%
[09:58] 所以简单来讲说
[10:00] 今年以来股价的上涨
[10:02] 本益比都还没有变
[10:03] 完全是大家对于他今年EPS之前太悲观
[10:07] 现在慢慢持续往上调
[10:09] 所以我常常觉得一家公司只要他的股价的涨幅
[10:13] 一直都是获利的调升
[10:15] 代表这家公司是非常稳健可以持续投资的
[10:19] 但是如果获利不动
[10:20] 但是因为现在市场讲说他的题材多厉害
[10:24] 导致本益比拉高
[10:25] 那我就跟你讲这种真的要相对比较小心
[10:28] 那今年以来股价涨很多
[10:30] 但是获利的提升速度也非常快
[10:33] 重点就是表现一直优于预期
[10:34] 所以我还是重申
[10:36] 就是下礼拜的时间点
[10:39] 就是在震荡翻黑的时间点
[10:41] 都可以分批的去做布局动作
[10:43] 好
[10:43] 这边还是要帮我们的AI达人
[10:46] 就是再帮他翻译举落
[10:49] 有需要吗
[10:49] 因为他讲话
[10:51] 其实非常有一种所谓的节奏
[10:53] 怎么讲
[10:54] 因为这一次Taylor的法说
[10:56] 再强调一次
[10:57] 不是不好
[10:58] 而是市场的预期
[11:00] 已经把他吃干妈净了
[11:02] 因为之前是市场会有一个预期
[11:04] 没想到他讲出来是爆炸好
[11:06] 全市场都哗然说
[11:08] 哎呦怎么那么厉害
[11:09] 前两次的法说都给我这个感觉
[11:11] 但是呢市场也很坏
[11:13] 经过那两次之后
[11:14] 就把你咬死了
[11:15] 所以我现在既然知道
[11:16] 你可以跳那么高
[11:17] 我就在标准
[11:18] 就提到像天空那么高
[11:20] 不是在树梢这么高了
[11:22] 好台移电这次的法说
[11:23] 就是只能说是符合
[11:25] 大家这样的市场期待
[11:27] 例如说全年营收
[11:28] 今天我有跟我的团队沙盘推演说
[11:31] 他一定要讲出什么话
[11:32] 市场才会吓到
[11:33] 为第一个毛利率70%
[11:35] 我也很残忍
[11:37] 可是我说的是事实
[11:39] 因为市场已经认为
[11:40] 有机会到67 68了
[11:41] 对65以上
[11:43] 所以如果你今天不是一个70%
[11:45] 那如果是67
[11:46] 第二季67
[11:47] 对很好
[11:49] 好棒
[11:50] 你好棒
[11:50] 但是不是吓死我了
[11:52] 然后再来是全年营收
[11:54] 目前他是说美元营收
[11:55] 有机会是可以上调至超过30%
[11:58] 可是也只是超过30%
[12:00] 也不敢再说出
[12:01] 是35%
[12:02] 40%
[12:03] 没有
[12:04] 就是说会比原本30%
[12:05] 再高一些
[12:05] 这已经很厉害了
[12:07] 可是就这样
[12:08] 然后再来当然就是
[12:09] 资本支出
[12:09] 还记得第一季讲资本支出
[12:11] 大家就哇
[12:12] 上限会到561耶
[12:14] 这一次是维持
[12:15] 就没有
[12:17] 就是说顶多是往高标走
[12:18] 所以它现在就是在一个
[12:20] 大家给予一个
[12:21] 超级高的框架里面
[12:23] 它可以达到那个超级高
[12:25] 可是它没有去突破
[12:26] 那个超级高了
[12:27] 因为已经超级高了
[12:28] 所以在短线上面
[12:30] 可能就会有点压抑了
[12:31] 因为以前超级好
[12:33] 都已经跳两下就不跳了
[12:35] 那这次可能就会稍作压抑
[12:36] 可是台积电就是这样
[12:37] 因为他已经告诉你
[12:39] 未来五年的复合成长率是25%
[12:41] 所以现在只要有压回
[12:43] 那他就是变便宜
[12:45] 那他就是一个好的买点
[12:47] 这个就不用怀疑
[12:48] 所以他就是有一个在节奏上
[12:50] 长短大战
[12:51] 大家自己去拿捏
[12:52] 甚至讲一句大白话
[12:54] 手上没有台积电的朋友
[12:55] 你随时可以建一点台积电的部位
[12:58] 就算是你觉得你比全市场都晚
[13:00] 你还是先减一点
[13:01] 有下去再减一点
[13:03] 对
[13:03] 那当然有上去你就开心
[13:05] 有下去就减一点
[13:06] 我觉得这个也是在现阶段
[13:08] 大家说台股创新高怎么投
[13:09] 都不能买了
[13:11] 如果你之前一路有低
[13:12] 像三月那么多次破月线
[13:14] 甚至破季线你都不买
[13:15] 那你要建立持股
[13:17] 随时随地
[13:19] 你就先建立一点台积点
[13:21] 接下来有低再减
[13:22] 我觉得这样子
[13:23] 你才有办法撑引到股票市场的脉动
[13:25] 好
[13:25] 我觉得应该是这样子
[13:26] 我觉得有个框架
[13:28] 我常发现投资人有一个最大的问题
[13:31] 你想你担心一个事情的时候
[13:33] 你先回想一下
[13:34] 你担心这件事情
[13:35] 是不是二三年以前就有了
[13:38] 我常常讲
[13:39] 有AI以后很多的事情都已经不适用过往的经验了
[13:45] 因为这个怎么说
[13:47] 我就讲了
[13:47] 以前指数每次涨一万点
[13:49] 台股的第一万点
[13:51] 一万到两万都用了超过二十年
[13:54] 就两万到三万只用了一年
[13:56] 今年以来又涨了多少点数
[13:58] 所以我常常讲的就是说
[14:00] 你不能用以往那种观念来看现在
[14:04] 所以我刚刚讲
[14:05] 我统计很多东西
[14:07] 比如说台积电法说的可能的状况
[14:10] 或什么的状况
[14:11] 我都用二三年后的一个情境
[14:13] 我不会再用以前
[14:14] 因为以前其实对他来讲不公平
[14:16] 因为他现在已经脱胎换骨
[14:18] 跟过往已经不一样
[14:20] 所以我觉得这是很重要的架构
[14:23] 另外我们再讲几个重点
[14:25] 就是剛剛提到
[14:26] 我們先撇開這個法碩會來看
[14:29] 我在法碩會前
[14:30] 我就給大家講幾個很重要的觀念
[14:32] 就是可能營收才剛剛公布完
[14:36] 大家可能就覺得還不錯啦就是該點點名可是我一說我看到我會覺得很不可思议的数字就是在三月淡季营收就能够创历史新高
[14:47] 这是很
[14:48] 三月创历史新高
[14:49] 对啊 这创历史新高
[14:51] 投资人我会觉得
[14:52] 可能已经被
[14:53] 被垫到有点麻痹了
[14:55] 我跟你讲
[14:56] 因为我本来以为
[14:57] 三月不会创历史新高
[14:58] 可是后来我发现
[14:59] 就像明翰讲的一样
[15:00] 就是不管是有法人预估
[15:02] 或是我听到有一些大人预估
[15:04] 就直接点名
[15:05] 他三月营收要创历史新高
[15:07] 其实那时候我是震撼的
[15:08] 我想说
[15:09] 原来大家现在就直接赋予他
[15:11] 他要创营收率史新高的任务了
[15:13] 是
[15:13] 当然后来是创了
[15:14] 对 是创新高
[15:15] 可是我跟你说
[15:16] 你对这个创新高
[15:18] 可能台湾人已经听到了麻烦
[15:20] 对
[15:20] 可是你要知道
[15:21] 这个创新高的概念在哪里
[15:23] 我要给大家的概念就是说
[15:26] 这个有两个关键点
[15:27] 第一个就是
[15:28] 你要知道这个AI的动能有多厉害
[15:31] 因为你有了这个AI
[15:33] 它可以
[15:34] 应该说这个本来
[15:35] 在电子产品出货的季节
[15:37] 本来就是第一季是最低
[15:38] 第二季第三季不断走高
[15:41] 过往记录呢
[15:43] 都是在第三季最高点
[15:45] 因为电子
[15:45] 这些所谓消费性电子商品
[15:48] 要在第三季
[15:49] 感恩节圣诞节的产品
[15:50] 要全部出去
[15:51] 到第四季就慢慢掉下来
[15:53] 但自从AI之后
[15:54] 会第四季都掉不下来
[15:56] 但无论如何
[15:57] 可以确认就是一一定最低
[15:59] 二三一定持续走高
[16:01] 所以台积电它有个特色就是
[16:03] 如果以三月的营收做标准
[16:06] 往后看
[16:07] 就是四五六月一直到年底
[16:09] 你大概只有一个几率
[16:10] 就是六月的时候
[16:11] 因为客户的这个产品盘点
[16:14] 他通常六月营收会比较弱
[16:16] 又会比三月低之外
[16:18] 后面的营收一定都比三月高
[16:20] 代表着就是
[16:21] 你后面一定会一直看到
[16:23] 创新高创新高创新高
[16:25] 所以你一直看一档个股
[16:27] 营收不断一直创新高的个股
[16:29] 你为什么会担心
[16:30] 一直到年底都还会创新高
[16:33] 公司你现在才在四月就很担心
[16:35] 现在两千多块的台积电
[16:36] 可能就见高点
[16:37] 所以我意思说
[16:38] 这个论点其实
[16:39] 就是大家去回想一下
[16:41] 我不断重申
[16:42] 很多的思维不要从二三年切开
[16:45] 以前的思维不要再套用现在
[16:48] 另外还有一个问题就是
[16:50] 我们之前在这个战火的时候
[16:53] 也一直跟大家讲
[16:54] 这个就是一个政治问题
[16:56] 这不是
[16:57] 这个是对经济是不会有影响
[16:59] 所以拉回你必须要买
[17:01] 中间你也不要紧张
[17:02] 反正只要有人
[17:03] 大家恐慌力往上冲
[17:05] 你就买那天就对了
[17:07] 然后后来我们没想到
[17:08] 这么快就结束了
[17:10] 那也不是重点
[17:11] 反正记得一件事情
[17:12] 外资在三月
[17:14] 就卖了台积电五千多亿
[17:17] 是
[17:17] 外资在三月卖了台股快一兆
[17:19] 对
[17:19] 然后不好意思
[17:21] 就是一半就是台积电
[17:22] 一半就是台积电
[17:23] 对
[17:23] 那我就说
[17:24] 回去看一下
[17:25] 这个之前的对等关税
[17:27] 两个月卖三千多
[17:29] 后面两个月三千多
[17:31] 乖乖买回来
[17:32] 他三月卖了五千多
[17:34] 一直到四月开始
[17:36] 到昨天他买了一千
[17:38] 所以代表后面还有
[17:40] 接近四千亿的资金
[17:42] 会再持续回笼
[17:43] 所以我刚刚重申
[17:44] 就是说短线
[17:46] 现在最大的压力
[17:47] 就是法说会
[17:48] 我再重申
[17:50] 不是法说会不好
[17:51] 是他每一次法说会
[17:52] 就必须整理
[17:53] 哪怕上一次经验
[17:55] 也得整理
[17:56] 更何况这一次
[17:57] 绝对没上一次经验
[17:58] 所以整理也是
[17:59] 很合理的现象
[18:00] 但记得拉回要布局
[18:03] 因为从刚刚提到
[18:04] 后续还会不断听到创新高
[18:06] 加上外资呢
[18:08] 就是刚刚我常讲的大韭菜
[18:10] 他要来回补的过程当中
[18:11] 会把他的股价跟指数持续往上抬
[18:14] 所以也不用担心2000块
[18:16] 接近2000亿的
[18:17] 或者说三万七的指数还能不能涨
[18:20] 先不预设立场
[18:22] 反正最起码等外资
[18:24] 差的这个三四千亿都买回来之后
[18:26] 我们再来讨论
[18:27] 还有没有机会再往上走
[18:29] 大家有没有印象
[18:31] 就是这几天
[18:32] 跟大家分享的
[18:33] 反而不是请大家
[18:35] 在这个时候
[18:35] 赶快去买ETF
[18:36] 是请大家
[18:38] 可以看一下个股
[18:39] 有把这个逻辑
[18:40] 讲给大家听
[18:41] 因为这个市场气氛
[18:42] 现在反映的
[18:43] 当然就是这个
[18:44] 美益战士的一个
[18:45] 完全顿化
[18:46] 说实话
[18:47] 而且美股在补涨
[18:48] 因为之前
[18:49] 明翰来的时候
[18:51] 我们在聊
[18:51] 台股虽然修正
[18:52] 虽然破月线
[18:53] 可是都希望
[18:54] 它能再下去一些些
[18:55] 因为跟美股乖离大
[18:56] 对不对
[18:57] 但是比较好的剧本就是
[18:59] 美股上来
[19:00] 美股上来
[19:01] 我们就可以半路相会
[19:02] 我们不用再下去了
[19:03] 我们在台中就见面了
[19:05] 甚至到新竹就见面了
[19:07] 我不用到屏东
[19:08] 结果美股上来了
[19:09] 所以确实我们在新竹就见面了
[19:12] 台股跌到新竹就回台北了
[19:14] 这样一个形容
[19:15] 甚至还创新高了
[19:17] 飞起来了
[19:18] 所以气氛好转的情况下
[19:20] 我们也不预设立场
[19:22] 就是也不预设说
[19:23] 是不是涨到这边
[19:25] 乖离很大了
[19:26] 就一定会大幅回挡
[19:27] 也不预设
[19:27] 反而是提醒大家
[19:29] 如果您手上是真的非常低持股
[19:31] 我想这两天有人说获利了结
[19:33] 我觉得那也没有意见
[19:34] 因为他可能节奏掌握得很好
[19:36] 他可能是在低点真的买了
[19:37] 这两天觉得
[19:38] 台电法说可能会造成市场上的一些
[19:40] 短线压回而卖出
[19:41] 我觉得如果您很清楚知道
[19:43] 你是这样做的方法跟理由
[19:45] 那就不要担心
[19:46] 这样也没有错
[19:47] 因为获利了结入袋
[19:48] 总比之后有遇到
[19:50] 可能川普又说什么啦
[19:51] 或者什么核电厂被炸了
[19:53] 那一类黑天鹅跑出来的时候
[19:54] 又回土的时候心情会好嘛
[19:56] 但我们因为目前
[19:58] 我们看到的所有的营收数据
[20:00] 我们看到的IM
[20:02] 说我们台湾的GDP成长率
[20:04] 在所有的先进国家里面
[20:06] 只输给印度
[20:07] 还有我们自己主基础
[20:09] 对于我们今年GDP的
[20:10] 7%以上的一个预估
[20:12] 还有我们的出口数据
[20:14] 3月占上了800亿美元
[20:15] 这些基本面都太厉害
[20:18] 都厉害到让我们知道说
[20:20] 只要有一些地缘政治风险
[20:22] 或是之前压住我们的事情拿走
[20:24] 我们就不预设立场了
[20:26] 现在是气氛好转的一个状态
[20:28] 好
[20:28] 所以借油贴电
[20:29] 如果像现在夜盘是开始小跌
[20:32] 假设明天真的不反应
[20:34] 像设备股今天有一些也回的比较凶
[20:36] 七八趴给你回
[20:37] 这些都还是
[20:39] 我觉得应该要进去买的
[20:43] 对
[20:43] 如果您是低持股的朋友
[20:45] 当然如果之前在三月
[20:47] 你已经买了满手的
[20:48] 现在就是享受成果
[20:50] 然后再看
[20:51] 有没有再加码的机会
[20:53] 如果没有也不用心慌
[20:54] 你不是天天都要买股票吗
[20:56] 你现在就会是一个
[20:57] 股票市场上的小赢家了吗
[20:59] 反而是手上低持股的朋友
[21:01] 现在想的策略
[21:02] 可能就要想清楚一点
[21:03] 因为现在的市场气氛
[21:05] 我觉得是明显好转的
[21:07] 对
[21:07] 应该说
[21:08] 结论就刚刚提到
[21:10] 确实川普这次闹剧
[21:13] 我觉得比想象的短
[21:15] 又是闹剧
[21:16] 对
[21:16] 比想象的短
[21:18] 而且我觉得
[21:20] 当然各有各的优缺点
[21:22] 当它这个所谓的短空间不大
[21:25] 就会影响到这个
[21:28] 我们投资的获利空间
[21:30] 因为拉回越多就可以买得越便宜
[21:32] 但老实讲这次确实没有
[21:34] 比较大的一个拉回空间
[21:36] 但是重点就是可以看到
[21:39] 指数确实非常强劲
[21:42] 那刚赵华也提到
[21:43] 因为我们本来跟美股
[21:44] 有比较大的乖离
[21:46] 那尤其是之前
[21:47] 之前美股
[21:49] 其实美股自己有自己
[21:50] 比较大的一个
[21:52] 这个所谓的问题要去解释
[21:55] 就是他们的综合指数很弱
[21:57] 但科技指数很强
[21:59] 那之前呢
[22:00] 我也跟大家提到
[22:01] 台股为什么那么强
[22:02] 就是因为
[22:03] 非半当时一直都非常强势
[22:05] 所以就撑着我们都不跌
[22:07] 结果没想到在战火
[22:09] 越来越延烧
[22:10] 当时非半有稍微不跌
[22:13] 所以台股也跟着下去一小段
[22:15] 结果呢
[22:16] 后来非半比我们更先创高
[22:18] 所以他一创高我们就不客气
[22:20] 因为他都创高了
[22:21] 我们当然可以跟上
[22:22] 我常常讲的
[22:23] 就是要尊重美国的盘式
[22:25] 只要他创高
[22:26] 我们创高就非常合理
[22:27] 但是如果他不创高
[22:29] 我们创高
[22:29] 我就跟大家讲稍微
[22:31] 没错
[22:31] 才脚步慢一点点
[22:33] 那现在是他带着我们
[22:35] 一直领先创高
[22:36] 但是有一个很大的问题
[22:38] 就是台积电
[22:40] 现在的这个距离越线
[22:43] 他的乖离率已经来到一成
[22:45] 对
[22:45] 这一样的问题
[22:47] 二三年有AI以来
[22:49] 这个一层就是一个魔咒
[22:51] 没错没错
[22:51] 它有一层的乖离率
[22:53] 它就是自然就上不去
[22:55] 最后也是一样两种情境
[22:57] 我要重申不代表一定跌
[22:58] 每一次它的乖离一定得修正
[23:01] 但它就是两种方法
[23:03] 但是理论上几率一半一半
[23:05] 我统计一下
[23:06] 我觉得真的是一半一半
[23:07] 有时候真的就遇到资金撤退
[23:10] 加上刚好不小心又遇到什么利空
[23:12] 所以它就股价干脆直接下跌
[23:14] 比较快
[23:15] 慢慢的又回到接近月线附近
[23:18] 但是另外一半呢
[23:19] 就是没有明显的下跌
[23:21] 但是你必须给他时间
[23:23] 他就开始横向整理
[23:25] 那好处就是他不跌
[23:27] 这段时间
[23:28] 这个资金就空出来
[23:29] 跑去中小型族群
[23:31] 其他的这个零组件啊
[23:33] 去持续的去操作
[23:35] 那台积电来讲
[23:37] 可能就需要一点点时间横向整理
[23:39] 那等这个月线慢慢往上走
[23:42] 最起码乖离率不见得要完全消化
[23:45] 但最起码刚刚提到一成左右
[23:47] 要消化掉一半左右
[23:49] 让这个所谓筹码沉淀
[23:52] 卖压的部分稍微告一段落
[23:54] 他才有机会反映这个
[23:56] 所谓的他的基本面
[23:57] 所以刚刚回过头来
[24:00] 最早就提到
[24:01] 记得一个中心思想
[24:02] 就是股价跟基本面是
[24:04] 长线是绝对不可能脱钩
[24:06] 所以他的未来
[24:08] 你看到他的获利还在上修
[24:10] 然后呢
[24:11] 未来的营收还会持续创历史新高
[24:13] 代表他现在股价一定不是高点
[24:16] 但短线呢
[24:17] 你也不要因為覺得他今天所有的
[24:20] 無論是財報數字展望
[24:23] 各樣的數字都是右預期的情況下
[24:26] 代表著他股價就一定要開高往上
[24:29] 從那裡不代表
[24:31] 尤其是我覺得就是假設今天
[24:33] 因為你現在看到的媒體寫的都是非常正向的
[24:37] 那萬一明天今天ADR假設最後是開高走低
[24:42] 明天萬一是修正的
[24:45] 那媒体自然会引用就是他利多出尽
[24:48] 或者是说其中又有哪一块
[24:51] 其实是不如预期
[24:52] 其实我又不用
[24:55] 当他股价不涨
[24:56] 真的不用硬塞利空给他
[24:58] 就是好就是好
[25:00] 不好就是不好
[25:00] 回过头来
[25:01] 甚至刚刚赵华提到说
[25:03] 预设希望毛利率可以到70或多少
[25:07] 没有我是乱说
[25:08] 我是跟团队讲
[25:09] 这样才会下到市场
[25:10] 但不会那么离谱了
[25:12] 对我的概念
[25:13] 如果我们就以这一次的法说
[25:16] 跟上一次法说来对比好了
[25:18] 上次那个是非常惊艳
[25:19] 这一次算是在预期区间的最上缘
[25:23] 我个人觉得
[25:25] 要记得一件事情
[25:26] 希望台积电能够走得长久
[25:29] 其实是希望它永远都是优于期
