[00:00] 歡迎收聽趙懷谷貨載第1020集1020
[09:59] 對不對
[10:00] 但你說
[10:01] 有沒有跟
[10:02] 兩個禮拜前的群創
[10:03] 兩個月前群創
[10:04] 有什麼不一樣
[10:05] 沒有
[10:05] 就是可能有多講一個
[10:07] 他們可能有低軌微信的訂單啦
[10:09] 有點搭上現在的風
[10:10] 對啊
[10:11] 那我覺得
[10:11] 當然就是
[10:12] 如果講價值上的迷思
[10:14] 你會覺得說
[10:15] 其實怪偽創在去年
[10:16] 位元組賺了9塊多
[10:18] 然後第一次季的營收
[10:20] 歷史新高
[10:20] 目前他是這個
[10:21] 臺灣的電子二哥
[10:23] 他的營收整體上
[10:24] 已經超越了廣大
[10:25] 那為什麼前股價跌那麼重
[10:27] 那其實反映到就是說
[10:28] 他的毛利率是往下掉的
[10:30] 那這跟這個
[10:31] 微影是一樣的
[10:32] 那我們不要花太多時間
[10:33] 講這件事情
[10:34] 我們要跟大家講就是說
[10:35] 就像剛剛講的
[10:36] 這個趙華桑的群創
[10:38] 那群創我覺得
[10:40] 但內部人現在也看不太懂
[10:42] 說這個股價在漲什麼
[10:43] 但同樣的狀況
[10:45] 我三年之前
[10:46] 有認識偽創的內部人
[10:47] 他們同樣也搞不懂
[10:49] 那時候偽創在漲什麼
[10:50] 為什麼40塊開始噴
[10:51] 對搞不懂
[10:52] 他們那時候我記得
[10:53] 大概到70幾塊的時候
[10:54] 剛好跟這個偽創一些內部人
[10:56] 有碰面的機會
[10:57] 然後就聊到說
[10:59] 他們就說
[10:59] 我們其實身邊很多同事
[11:01] 都把偽創自己的股票賣掉了
[11:04] 因為覺得說
[11:04] 怎麼可能會漲到這邊
[11:05] 我們沒有交那麼多訂單
[11:07] 但後面發現到
[11:08] AI故事真的讓股價
[11:09] 提前一年做一個發銷的動作
[11:12] 那我覺得現在群創
[11:13] 可能大家也就提前去
[11:14] 反映到未來的故事
[11:15] 所謂的面板三書級的封裝
[11:17] 到所謂低軌衛星的題材
[11:19] 搭配上它可能
[11:20] 接下來有一些所謂的
[11:22] 先進封裝製成的一個訂單
[11:24] 所以我覺得提前反映的效應
[11:26] 你說到底偽創好還是群創好
[11:28] 如果大家以價值型的股票來看
[11:30] 但偽創遠遠贏過群創
[11:32] 但你會發現到
[11:33] 最近買偽創就非常悶
[11:34] 那同樣的狀況
[11:36] 偽創的轉落
[11:37] 偽影的破線
[11:38] 到今天的鴻海
[11:39] 到今天的廣達
[11:40] 就是你可以看到
[11:41] 所謂的奇鴻雙鴻
[11:43] 建策
[11:44] 然後川湖
[11:45] 到臺光店
[11:46] 金像店
[11:47] 茂林KY
[11:48] 茂林KY
[11:48] 對這些大家
[11:49] 耳熟能詳的優質的股票
[11:52] EPS毛利率
[11:54] 獲利都年年創新高
[11:56] 月月創新高的股票
[11:56] 最近都開始集體的落難
[11:58] 我覺得這一點
[11:59] 當然第一個
[12:00] 輝達本身股價
[12:01] 也沒有特別的強
[12:02] 這我覺得是第一個
[12:03] 一大自民商
[12:04] 第二件事情是
[12:05] 你從所謂的最近這些公司
[12:08] 比方說我們講
[12:09] 最近美股當中的SMCI美超委
[12:12] 美超委股價
[12:13] 禮拜五是大漲了10個百分點
[12:15] 但在大漲之前
[12:16] 前一天它被高盛降頻
[12:17] 降頻的理由是因為
[12:19] 它認為所謂的美超委
[12:21] 它的毛利會逐級的下修
[12:23] 所以我們從總和這些
[12:25] 所謂的臺灣的AI伺服器
[12:26] 組裝大廠
[12:27] 跟我們講一個警訊
[12:28] 就是他們的營收跟獲利
[12:30] 在今年都會創新高
[12:32] 但毛利率的問題
[12:33] 就變成市場質疑的狀況
[12:35] 所以他們變成說
[12:36] EPS很好
[12:37] 價值也越來越高
[12:38] 但是因為毛利率下修
[12:40] 所以本益比跟著下修
[12:41] 所以股價呈現比較弱勢的發展
[12:43] 那當這些所謂伺服器組裝代工廠的
[12:45] 毛利率下修的時候
[12:46] 大家就想到兩件事情
[12:47] 第一個
[12:48] 相關AI伺服器的組裝
[12:50] 零元件的成本都在拉高
[12:52] 機體漲價
[12:53] 被動元件漲價
[12:55] 然後PCB撥線布在漲價
[12:57] 所以這些東西漲價又缺貨
[12:59] 沒有辦法就要擠壓到
[13:00] 其他能夠正常出貨
[13:02] 零元件廠的一個毛利率
[13:03] 所以你會發現到
[13:04] 那金香店為什麼跌
[13:06] 因為他上游的銅箔機板
[13:08] 薄纖布
[13:09] 雖然說他未來的訂單
[13:11] 還是很滿
[13:11] 但毛利率可能會被壓縮
[13:13] 所以同樣的道理
[13:14] 你就會發現到
[13:14] 整個所謂的
[13:15] 散熱的族群
[13:17] 到所謂的
[13:18] 饑渴到滑軌
[13:19] 我覺得現在同樣的問題
[13:21] 就在於說
[13:21] 整個所謂漲價的風
[13:23] 會壓縮到這些原本組裝廠的一個毛利率搭配上說這個學習曲線上來之後他們第二供應商第三供應商上來之後我覺得都會對於他們的今年整體上
[13:35] 這個法人評價有下修的疑慮
[13:37] 那反過來
[13:38] 現在就變成說你這些感覺上
[13:41] 他們就是指一個漲價題材
[13:43] 實際上獲利也沒有出來
[13:45] 你看今天富喬漲停板
[13:46] 那富喬你說他的EPS
[13:48] 他的毛利他獲利真的很好嗎
[13:50] 好像大家也覺得說
[13:51] 今年會好但還沒看到成型單
[13:52] 但是至少跟德宏和建融比起來
[13:55] 他長得算少
[13:56] 對吧
[13:56] 他長得算客氣一點
[13:58] 對
[13:58] 那我覺得這就代表說
[13:59] 甚至你看到載板三雄
[14:01] 南電 新興 錦碩
[14:03] 新興也創立了新高了
[14:04] 那你說
[14:05] 新興 南電 錦碩
[14:07] 他們當然產品有漲價
[14:08] 但漲得有同伯器盤多嗎
[14:10] 也沒有啊
[14:11] 但股價就能夠在這邊往上轉強
[14:14] 所以很簡單去講
[14:15] 就是說
[14:15] 現在其實市場來到這個
[14:18] 2026年的開年
[14:19] 大家喜歡的是新的題材跟新的故事
[14:22] 所以你如果是那種
[14:24] 很重視基本面跟價值的
[14:27] 那我覺得你可能就是
[14:28] 最少你的手上的弱勢的股票
[14:30] 先不要急著加碼
[14:31] 你要把資金放在有效的地方
[14:33] 那有效的地方
[14:34] 如果說你真的就很怕
[14:36] 追那些妖魔鬼怪的股票的話
[14:38] 我覺得其實透過ETF
[14:39] 是一個好的方式
[14:40] 因為最少你追一個強勢的題材
[14:43] 你就看他的
[14:44] 可能比方說追0050
[14:46] 臺積含積量高
[14:49] 然後又有金融股
[14:50] 又有類似很強的南亞科
[14:52] 然後有聯電這些的
[14:54] 那你最少分散去追
[14:55] 我覺得算是不會錯過行情的一個方法
[14:58] 那比較忌諱就比較擔心的是
[15:00] 大家可能現在看到好像
[15:02] 微創弱然後群創好
[15:04] 所以就賣掉微創去追群創
[15:06] 那我覺得反而其實在操作上
[15:08] 就會亂了大家本來自己的步調
[15:10] 因為你本來就是那種看好價值
[15:13] 重視基本面的人
[15:14] 現在硬要你去追一個
[15:15] 可能今年看不到獲利
[15:17] 但股價非常強勢的
[15:18] 我覺得你操作上來看
[15:19] 也會亂了手腳
[15:20] 最後大家可能就回歸到
[15:22] 如果你做你舒服的操作方式
[15:26] 真的重視基本面的
[15:27] 那基本面你可以分成
[15:29] 這些基本面很好
[15:30] 但股價沒有動
[15:31] 你就先把它放到一邊
[15:32] 有一些基本面好
[15:33] 但又搭上所謂現在勢頭上的股票
[15:36] 你就可以當做可以重點的參考
[15:38] 就比方說記憶體
[15:39] 雖然說我覺得漲得很多
[15:41] 但記憶體最好是基本面好
[15:42] 股價勢頭好的股票
[15:44] 甚至說你看到被動元件
[15:45] 從國巨開始漲上來之後
[15:47] 很多被動元件的股票
[15:49] 像凱美啊
[15:50] 像這個臺慶科啊
[15:53] 像預幫啊
[15:54] 這些我覺得也具備這個
[15:56] 最早不算是那種
[15:57] 本益比高到天上去的股票
[15:59] 也慢慢動上來
[16:00] 所以我覺得這時間點
[16:02] 大家可能要慢慢去調整一下
[16:03] 可能你過往
[16:04] 2025年操作的一些
[16:06] 節奏跟方法
[16:07] 那我覺得這邊可能要
[16:08] 慢慢的做一個改變
[16:10] 那如果說你覺得
[16:10] 改變的速度比較慢的話
[16:12] 透過ETF選擇
[16:13] 我是一個比較好的方式
[16:14] 對
[16:15] 就是我可以理解大家
[16:17] 看到個股
[16:18] 如果今天你的個股大標
[16:20] 你的感受一定會覺得很爽
[16:22] 對不對
[16:22] 就是我可以理解
[16:24] 玩完全選做節目這麼久了
[16:26] 我自己也有同樣的問題
[16:27] 就是例如說大家知道
[16:28] 我有做配置
[16:29] 我有做股再配
[16:31] 那在今天的狀況
[16:32] 當然就比較不好
[16:33] 那股的部分我也有分
[16:35] 就是有一些是真的比較低位階的
[16:37] 可是說實話像高值利率股
[16:39] 我現在的持有是比較少
[16:41] 也許今年風會吹回來
[16:42] 那不一定
[16:43] 但是因為很多高值利率股
[16:44] 它跟消費性電子
[16:45] 還是比較牽扯在一起
[16:47] 你說如果它是非常純的AI股
[16:49] 而殖利率很高
[16:49] 恐怕這個有點為難人
[16:51] 所以這個是一個
[16:53] 大家去思考方向
[16:54] 但是我手上也會有
[16:55] 波動很大的股票
[16:56] 所以也會有很多的ETF
[16:58] 也常跟大家分享ETF
[17:00] 所以這樣配下來
[17:01] 你一定不可能拿到一個
[17:03] 最高的報酬率
[17:04] 這邊要跟大家強調
[17:05] 就是說實話
[17:07] 我們能夠做到
[17:08] 讓自己心安理得
[17:10] 而且是有報酬率
[17:11] 就已經很好了
[17:12] 為什麼這麼講
[17:13] 有人說
[17:14] 那既然都不能打敗大盤
[17:15] 你就完全追蹤大盤
[17:16] 也不是不行
[17:17] 其實也沒有不行
[17:19] 可是人就會覺得
[17:20] 有點無聊
[17:21] 就是會有點覺得
[17:22] 你看
[17:23] 如果今天
[17:24] 我有這個錦碩一直抱
[17:25] 我今天就漲停板
[17:26] 我今天如果星星一直抱
[17:27] 他就創新高
[17:28] 對不對
[17:29] 如果我今天富巧
[17:30] 我對他有信心
[17:31] 我就賺到一根漲停板
[17:33] 對
[17:33] 這個個股的魅力
[17:34] 真的很大
[17:35] 所以會吸引大家
[17:36] 可是他可能沒有辦法
[17:38] 是變成你的全部
[17:39] 除非你是一個專職的操盤人
[17:41] 那你也很厲害
[17:43] 你也知道
[17:43] 不管怎樣的淫虧自負
[17:45] 你都不會擔心跟害怕的話
[17:46] 那當然甚至用個股期去開大槓桿
[17:48] 我覺得都沒有問題
[17:49] 可是因為現在我發現
[17:51] 到了三萬點以上以後
[17:53] 不只是三萬一三萬二
[17:54] 看起來都像喝開水一樣
[17:55] 反而把大家那一種
[17:57] 現在想要進去追的想法給逼出來了
[18:00] 再加上可能現在漲的中低價股真的很多
[18:03] 我記得有一集我們講
[18:04] 當天是上漲了一千四百家股票
[18:06] 一反常態
[18:08] 因為之前漲那些千金股的時候
[18:09] 你很容易是上漲加速一點點
[18:11] 可是大部分的股票都下跌
[18:13] 可是現在反過來
[18:14] 因為太多漲停板股票
[18:15] 都是中低價股了
[18:16] 所以大家的那種被剝奪感
[18:18] 就越來越大越來越大
[18:19] 但我還是要
[18:21] Echo就是剛剛漢維講的
[18:24] 我們講很多的趨勢
[18:25] 我們也講說
[18:26] 如果你要進場跟
[18:27] 有兩種方式
[18:28] 一種就是現在在飆的腰股
[18:30] 你去賺它一根兩根
[18:32] 沒有問題
[18:32] 然後你也不知道自己在賺什麼
[18:34] 要不就是如果你選擇蹲點的話
[18:36] 你要有點信心
[18:37] 例如說我們也覺得散熱有點委屈
[18:39] 可是散熱它在
[18:40] 這兩個禮拜不漲就是不漲
[18:42] 甚至這一個月不漲就是不漲
[18:44] 當你它不漲的時候
[18:45] 你可能就覺得壓力很大
[18:46] 有人特別喜歡特化
[18:48] 我也喜歡特化
[18:49] 可是特化它現在EPS
[18:50] 和它的本益比
[18:52] 大部分就是相當高
[18:53] 相當高的過程中
[18:55] 有很多低價
[18:56] 像前陣子長興很強的時候
[18:58] 那你覺得
[18:59] 你想要去賺這個低價股往上漲
[19:01] 那當然沒有問題
[19:02] 或是你想要去找
[19:03] 領頭羊有沒有可能闖千金
[19:05] 因為現在領頭羊闖千金
[19:07] 除非那個產業的
[19:08] 整體狀況非常強
[19:10] 要不然領頭羊漲千金
[19:12] 闖千金這件事情
[19:13] 在近期就相對之下
[19:14] 沒有那麼凸顯
[19:15] 對
[19:16] 但是你說像今天
[19:17] 去年有到2000塊
[19:18] 對不對
[19:19] 然後像之前
[19:19] 帝國威信的申達科
[19:21] 有往千金去闖
[19:22] 那他就是在
[19:23] 熱門產業裡面的頭
[19:25] 有機會做這件事情
[19:26] 好
[19:26] 所以我覺得
[19:27] 當你想要進來
[19:29] 去摸一兩根大漲的
[19:30] 那你就要找最熱的
[19:32] 說實話
[19:32] 那如果你想要蹲點
[19:34] 你可能就要對這個產業
[19:35] 是有信心的
[19:36] 而且你可能要有一個
[19:37] 中期抗戰的心情
[19:39] 沒有辦法說
[19:40] 今天這些中低價股在漲
[19:42] 我的股票沒有漲
[19:43] 我覺得壓力很大
[19:44] 那你就要去思考
[19:45] 你可能比較不適合
[19:46] 用這個樣的方式
[19:47] 就是用個股的方式
[19:49] 壓太重去做佈局
[19:50] 那不要看不起大盤
[19:52] 也不要看不起ETF
[19:53] 對不對
[19:54] 像我們臺灣的ETF選擇
[19:55] 現在實在太多了
[19:56] 那大家最近有在討論的是
[19:58] 好像主動式的ETF
[19:59] 最近比較吃癟
[20:00] 那當然眼光是放在981A上面
[20:02] 這個我們也講過非常多次
[20:04] 因為981A之前的持股
[20:05] 就是比較多
[20:07] 在剛剛講到的
[20:08] 臺光電啦
[20:08] 建策啦
[20:09] 奇鴻啦
[20:10] 茂聯KY啦
[20:10] 而這些股票
[20:12] 就是最近投信可能在互相換掉
[20:14] 或者是被黃仁勳一席話
[20:16] 講到這個散熱
[20:17] 以後飢渴外
[20:18] 不需要那麼多的水冷等等的
[20:20] 這些都跟大家分享過非常多次
[20:22] 導致他也必須換股
[20:23] 所以你也可以看到
[20:24] 他把這些股票其實也在做太換
[20:26] 所以如果你是喜歡積極型的主動式ETF
[20:29] 你要理解
[20:30] 最近他們也在受困於
[20:32] 現在大盤輪流轉
[20:34] 而他們身軀動已經相對養到相當龐大了
[20:37] 所以他們不太可能買
[20:38] 一拖拉庫的低價股
[20:39] 因為那個市值不夠
[20:41] 就他們的錢太多了
[20:42] 所以他們可能
[20:43] 繼續要去找下一個過程中
[20:45] 他們中間就會出現
[20:46] 有一點長不動
[20:47] 長不動的問題
[20:48] 那就要看你用時間
[20:49] 去考驗經理人的能力
[20:51] 那如果你覺得
[20:53] 這些都太累了
[20:54] 那就用被動式的嘛
[20:55] 剛剛講到0050
[20:57] 對不對
[20:57] 00608
[20:58] 可能大家覺得他聽煩了
[20:59] 那我剛剛看到
[21:00] 我的好朋友古魚
[21:01] 又整理一份
[21:02] 你喜歡記憶體嗎
[21:03] 那大家知道今天長最多什麼
[21:05] 00947
[21:06] 這個臺新臺灣IC設計
[21:08] 為什麼
[21:08] 因為還有群聯
[21:09] 還有南亞科
[21:10] 那如果你覺得
[21:11] 你自己不敢買群聯
[21:12] 不敢買南亞科
[21:13] 你就去找嘛
[21:14] 誰的前十大持股
[21:16] 前五大里面
[21:16] 有群聯南亞科嘛
[21:18] 他今天一口氣漲5%
[21:19] 一檔ETF
[21:21] 一天可以漲5%
[21:21] 像前一陣子
[21:23] 第一金的太空衛星科技
[21:25] 對不對
[21:25] 這個也是一下子
[21:27] 每天都在漲
