[00:00] 欢迎收听赵怀谷货载第1138集
[12:27] 但你买了火险
[12:27] 你不会希望你家就烧火
[12:29] 所以外资他一定是
[12:30] 因为他现货的部位也跟着放大
[12:32] 所以他必须要去增加
[12:34] 他空单的口数
[12:35] 所以今天的这个
[12:36] 你要说压低结算也好
[12:37] 提前压低结算
[12:39] 或者是明天会不会再压低
[12:40] 这个其实对我来讲
[12:41] 都比较偏向假议题
[12:43] 因为真正在做外资的方向性的空单
[12:46] 我觉得你的规模没有那么大
[12:48] 变成现在大家如果要去观察期货筹码
[12:51] 我还是会蛮推荐大家去看
[12:53] 散户的围台到底是做多还是做空
[12:56] 这个指标还是比较有参考价值
[12:58] 不是一直会做多吗
[12:59] 所以近期的盘试就高档震荡
[13:01] 代表大家前阵子真的是赚到流油
[13:05] 赚到盆满钵满
[13:06] 可是这也让很多的投资朋友
[13:08] 养成一个坏习惯
[13:10] 我们之前有聊过
[13:10] 因为你大多头人人都是股神
[13:12] 赚钱太容易
[13:13] 你买错股票
[13:15] 反正套牢
[13:15] 我不要停损
[13:16] 奥邀它就会涨回去
[13:17] 所以就会变成像现在
[13:19] 韩国股市之前也是这样
[13:20] 所以为什么这一波
[13:22] 杀得这么重
[13:23] 就是因为大家都觉得
[13:25] 反正我只要撑过去
[13:26] 牙一咬
[13:26] 后面都会涨回去
[13:27] 台股这一波的光通
[13:29] 我认为也有差不多的那种感觉在
[13:32] 所以它杀得够深
[13:34] 那你一定要杀到什么
[13:35] 杀到真的是建股
[13:36] 杀到没有钱可以补
[13:37] 包含今天其实跌下来
[13:38] 我知道很多投资朋友是想要买
[13:40] 可是就是手上没有钱
[13:41] 那我们就要去想
[13:42] 为什么没有钱
[13:43] 一定是因为你前面第一个
[13:45] 你没有高档钱嘛
[13:46] 你舍不得卖
[13:47] 过了那个高点
[13:48] 股价你就觉得
[13:48] 怎么从400块跌到300块
[13:51] 那我400块没卖
[13:52] 我为什么现在300块要卖
[13:53] 所以你不愿意去停利
[13:55] 或者是你已经高档去追价
[13:57] 结果跌下来以后套牢
[13:59] 我又不愿意认赔
[14:00] 反正我凹一下又会再涨回去
[14:02] 导致很多的筹码都卡在上面
[14:04] 那这种筹码你要怎么办
[14:06] 你一定就是要跌得够深嘛
[14:07] 然后逼他们出去
[14:08] 那如果你跌得够深
[14:10] 他们还出不去
[14:11] 那代表什么
[14:11] 它涨上去还没涨到前高
[14:13] 它也不会卖
[14:13] 就是我们所谓的筹码
[14:15] 会变得更加稳定
[14:16] 所以台股目前的市场来讲的话
[14:18] 我认为筹码在不断的震荡
[14:21] 毕竟我们也震了半个
[14:23] 一个多月半个多月的时间
[14:25] 那这东西就是为了
[14:26] 下半个月的大涨去做铺垫
[14:28] 所以面对今天的大跌的话
[14:30] 我是真的有买一点东西
[14:32] 我是蛮认可
[14:33] 现在有很多的便宜好股票可以捡
[14:35] 好因为今天盘中有到1600多吧
[14:39] 我自己有看到的
[14:40] 因为没有一直每分每秒在看盘的时候
[14:43] 我觉得那个时候我觉得是对的
[14:46] 就是说买东西是对的
[14:48] 因为我就讲1000点就可以了
[14:50] 可是他已经到1000
[14:51] 我还记得有一年
[14:52] 应该是2024年
[14:54] 有一天杀到1800点
[14:56] 我不晓得大家有没有印象
[14:57] 当然那时候股市的位阶比现在低
[14:59] 现在是4万多点
[15:00] 你说4万多点的1800点
[15:02] 跟2万多点1800点
[15:03] 自然是一个不一样的感受
[15:05] 但是我觉得1600点也不少了
[15:07] 加上因为昨天
[15:08] 我们的涨点也被吃掉了
[15:10] 上礼拜也是一个比较不舒服的状态
[15:12] 所以今天一口气
[15:13] 有看到四万三千多点的时候
[15:15] 我觉得不错啊
[15:17] 所以我今天确实有比较加大力度去买
[15:19] 但是就跟小明同学讲的一样
[15:21] 因为这段时间我想大家会很习惯
[15:23] 破月线就买一点
[15:25] 破月线就买一点
[15:26] 甚至没有破
[15:27] 反而是因为没有破站上来
[15:30] 跑去要创高的时候
[15:31] 你觉得好FOMO
[15:32] 追
[15:32] 其实很容易
[15:35] 心态都是这样的
[15:36] 因为我也追过股票
[15:38] 那追股票有成功有失败
[15:40] 有成功
[15:40] 例如说像我之前
[15:41] 在奇邦很凶的那个时候
[15:43] 我有追过奇邦
[15:44] 何金伟曾经尝试挂过涨停板去追
[15:48] 附顶
[15:48] 我也是挂5%的涨点去追
[15:51] 因为那个时候就觉得
[15:52] 他是非常强势股
[15:53] 然后就试着追追看
[15:54] 追上去之后
[15:56] 重点是要处理
[15:58] 好处当然是后面都开始
[16:00] 有连续涨停
[16:01] 或者是怎么样
[16:02] 好幸运
[16:03] 可是这不代表不用处理
[16:05] 就代表说
[16:06] 例如说他如果今天有转弱
[16:08] 即使你觉得可能会卖飞
[16:10] 但其实你心情
[16:11] 已经开始有点压力的时候
[16:12] 我觉得要适度的挺立
[16:14] 就追没有问题
[16:15] 还有追失败呢
[16:17] 今天一追
[16:17] 也有啊
[16:18] 也有看到
[16:19] 今天好像觉得他要转强了
[16:21] 就没想到忽然大盘一个move
[16:22] 他就跌下来了
[16:23] 那你要当场砍
[16:25] 还是隔天砍
[16:26] 观察一两天砍
[16:27] 还是怎么样
[16:28] 但总之你不能用凹的啊
[16:29] 对没错
[16:30] 如果你是分批布局的人
[16:33] 你觉得你可以用凹的
[16:34] 例如说你100块买
[16:35] 就他跌到95
[16:36] 你觉得没关系
[16:36] 90块你大不了再买
[16:38] 85再买
[16:39] 你觉得你有这样的信心的话
[16:41] 我觉得那没有问题
[16:42] 可是大部分人不是
[16:43] 对啊
[16:43] 大部分人到85的时候
[16:45] 就会叫了
[16:46] 我会想到
[16:47] 因为你刚才讲到停损
[16:47] 这个就是我刚刚忽然想
[16:49] 忘记要聊的
[16:50] 因为停损这件事情
[16:51] 我可以分享
[16:52] 那我其实在上礼拜的时候
[16:54] 我有停损一档股票
[16:55] 309才能港建
[16:56] 这档股票原本
[16:58] 我们那时候做设备
[17:00] 那这档股票
[17:00] 我们看它大户
[17:01] 连续六个礼拜增加
[17:03] 那为什么要讲这个
[17:04] 因为很多人跟我抱怨
[17:05] 这档股票
[17:05] 他说小明同学
[17:06] 你怎么卖在那个破线
[17:08] 破的乱七八糟
[17:09] 我来看看
[17:09] 你可以看一下3093港建
[17:11] 我是卖在破季限的那一天
[17:13] 我还记得早上9点40分
[17:15] 它破季限我就砍了
[17:16] 然后当然砍的当下
[17:18] 那个时候我们就
[17:19] 看起来挺严重的
[17:21] 对 然后我那时候就有被抱怨
[17:22] 可是因为我一直强调
[17:24] 我们是有纪律的
[17:26] 那这个地方既然破线
[17:27] 它已经破了我原本的规划的价位
[17:29] 我就得出场
[17:30] 所以它后来我们卖完以后
[17:33] 当下大家一定很不舒服
[17:34] 可是我们为什么要讲这张股票
[17:36] 因为你看它这两天的走势
[17:37] 我们卖在差不多60块钱
[17:39] 它今天盘中一度跌到49 48块钱
[17:42] 真的很严重
[17:42] 很严重嘛
[17:43] 所以变成是如果你不去处理
[17:45] 你已经套牢的持股或亏损的持股
[17:47] 你放在那边
[17:48] 那你破季线
[17:49] 当然当天砍你会觉得
[17:50] 哇线好丑
[17:51] 怎么砍在已经跌这么深的位置
[17:53] 可是你过了三个交易日来看
[17:54] 你当时不砍
[17:55] 你要再多吃20%
[17:56] 所以这就是我们讲的停损的重要性
[17:59] 忽然想到来跟大家分享一下
[18:00] 这很重要
[18:01] 因为停利有时候还好
[18:03] 就少赚嘛
[18:04] 像我昨天把台青科卖掉
[18:06] 我跟大家分享啊
[18:07] 一张少赚十万哦
[18:09] 但是今天你就会觉得
[18:12] 哦他又下去了
[18:13] 你的感受就会又不一样
[18:15] 对不对
[18:15] 好当然今天被列文件
[18:17] 有些人是也是V起来
[18:18] 但是我要讲的是
[18:19] 就是一个减压
[18:20] 我中间卖掉一些股票
[18:22] 信仓店对不对
[18:23] 卖掉国巨
[18:23] 那时候是为了减压
[18:25] 并不是说多厉害
[18:25] 因为后来卖掉飞一大段
[18:27] 那现在他们全部都跌回
[18:30] 当初卖出的点位之下
[18:32] 可是跌势
[18:33] 我们还是要观察一下
[18:34] 不要贸然的手就伸出去
[18:36] 觉得它已经跌到我卖的点以下了
[18:38] 现在借回来比较便宜
[18:40] 反而要注意一下
[18:41] 有没有止稳
[18:42] 但是卖出
[18:43] 总之就是这段时间
[18:45] 当然如果你是一个all in派
[18:47] 你觉得你只加不出
[18:49] 然后是在市值型
[18:50] 这类你觉得放心的资产上面
[18:52] 我觉得完全没有问题
[18:54] 完全没有问题
[18:55] 可是如果您是看到股票很活泼
[18:58] 你觉得你想要享受
[18:59] 股票会给你涨停板的快乐
[19:01] 那你还是要记得
[19:02] 你到底什么时候出场
[19:04] 对
[19:04] 对你的标准到底是什么
[19:06] 例如说小明同学
[19:07] 他可能对港建本来还有信心
[19:09] 所以他愿意报到季限
[19:10] 对可是破了季限
[19:12] 就是最后生命线破掉嘛
[19:13] 没有错可能回吐了超级大段
[19:16] 甚至是要停损
[19:17] 可是他就是决定这么做
[19:18] 那对我来说
[19:19] 那为什么台信哥370的时候
[19:22] 不管要卖掉呢
[19:23] 就是没有那么厉害啊
[19:24] 对啊
[19:25] 就是没有那么厉害啊
[19:26] 就是不可能卖在最高点啊
[19:28] 那就是那时候你会觉得还会涨啊
[19:31] 事情都是很简单
[19:33] 可是当你发现盘式货
[19:35] 刚讲到
[19:36] 你觉得整体政策不利吗
[19:37] 那你要率先看
[19:38] 我有讲第一个
[19:39] 我听人家的名牌的试吃的
[19:41] 我先看嘛
[19:42] 因为那个根本就没研究
[19:43] 第二个
[19:44] 我有获利的
[19:45] 那现在获利回吐
[19:46] 本来获利回吐
[19:47] 你就要考虑出场点啦
[19:49] 你积极的人破五日线就要卖
[19:51] 可是你觉得
[19:52] 五日线搞不好又上去
[19:53] 我又买不回来
[19:54] 那你至少十日线或月线嘛
[19:56] 我觉得大家总是要有一个标准
[19:58] 所以
[19:59] 也许我不是那么像
[20:01] 严守哪一条线的标准卖
[20:02] 可是至少我会帮自己做减压
[20:04] 那减压会怎么样
[20:06] 会有钱回来
[20:06] 会有钱回来
[20:08] 加上我本来就有留现金
[20:09] 所以像今天这种情形
[20:11] 我就会选择买大于买
[20:13] 今天的话真的是买大于买
[20:15] 盘中其实早盘
[20:16] 那个时候看到贵买
[20:17] 开始往下灌杀
[20:18] 我觉得这一段时间
[20:19] 这个真的是盘改和经验
[20:21] 你看到早盘往下杀
[20:22] 有人觉得贵买已经跌了3%
[20:24] 跌很重
[20:25] 他就想要出去接
[20:25] 可是就像刚刚赵华讲的
[20:27] 跌到5%
[20:28] 跌到6%多
[20:29] 我还帮大家做了一下统计
[20:31] 这个跌点大概要回到去年
[20:33] 关税战刚开打的那个时候
[20:35] 你才会看到有这么重的跌幅
[20:37] 所以贵买今天真的那个
[20:39] 杀到6点多趴快7趴的时候
[20:41] 很多的股票是已经打到快要跌停板
[20:43] 那这种时候
[20:44] 其实你手真的是不能随便伸出去接
[20:47] 我反而会认为
[20:48] 我宁愿我不要去赌说
[20:49] 到底6趴会不会停
[20:51] 我宁愿买在他现在呢
[20:53] 开始勾起来V起来
[20:54] V到4趴的时候我进去买
[20:56] 因为那个代表说
[20:57] 其实市场已经把前面该消化的一波
[20:59] 卖压先消化掉
[21:00] 通常这个时候你进去买
[21:02] 你的这种风险会相对比较低一点
[21:05] 那因为真的是今天下影线很长
[21:08] 盘中杀那个6%
[21:09] 我个人是觉得杀的没有道理
[21:10] 因为毕竟你韩股今天其实是有止稳
[21:13] 虽然他盘中又翻黑
[21:15] 可是至少他没有像昨天一样这样熔断
[21:18] 那这样子的话
[21:19] 台股今天到底自己在这边杀什么
[21:21] 我觉得更像是人踩人
[21:22] 以及我们这段时间台股能够撑盘
[21:25] 我们本土的主力资金
[21:27] 还是真的有贡献
[21:29] 那你跌到这个位置上面
[21:31] 那你开始扛不住了
[21:32] 他们也要去做减压
[21:33] 所以变成呢
[21:35] 我A大户减压
[21:36] B大户跟着减
[21:37] C大户跟着减
[21:38] 他就会开始一棒接着一棒卖下去
[21:40] 卖到什么时候
[21:40] 卖到大家带到这个价位
[21:42] 觉得好那我差不多
[21:43] 我减压完了
[21:44] 那行情开始有共识
[21:46] 有新的一批资金想要进来
[21:48] 那就会看到盘中V起来
[21:49] 所以我们观察今天的盘式的话
[21:51] 我会说在这轮的筹码换手过后
[21:54] 其实很多的人在今天卖完股票
[21:56] 不管是停损也好
[21:57] 停利也好
[21:58] 手上都有多余的现金
[22:00] 那这些现金就是等待后面
[22:02] 任何一个一点点的利多
[22:03] 我都觉得台股要先出现暴力反弹再说
[22:06] 好
[22:07] 那个暴力反弹
[22:09] 我是不一定知道他什么时候暴力反弹
[22:12] 我希望明天
[22:13] 我不知道
[22:15] 明天台纸级结算
[22:17] 然后后天台积电法说吗
[22:19] 这些我觉得都还是可以持续的观察
[22:21] 我觉得把大家的期待值降一点下来是好的
[22:24] OK
[22:24] 因为我的意思是期待值是
[22:27] 例如说我们都很习惯台积电在法说会讲好消息
[22:30] 所以法说前的两礼拜通常都是叫做得点圈
[22:34] 这个时候台积电相关的供应链
[22:36] 台积电本人相对强势
[22:38] 那这一波因为遇到大盘的不稳定
[22:41] 所以台积电是抗跌抗跌也是一种涨所以刚才会讲说有很多主动是本来很积极操作的这段时间反而输给大盘或输给市执行就是因为推荐撑盘的关系
[22:53] 所以maybe
[22:54] 他已经把法说会
[22:56] 会讲好的这件事情
[22:57] 也许他已经算是有反应
[22:59] 有交代了
