[00:00] 歡迎收聽趙華宇古貨載第1011集1011
[03:08] 他有一個戶頭
[03:09] 對不對
[03:10] 是群翼的戶頭
[03:11] 對對對
[03:12] 那個戶頭從30萬開始
[03:14] 2019年對不對
[03:15] 到現在今天達成了
[03:18] 8888萬
[03:20] 8880萬
[03:23] 88萬8800
[03:25] 零幾塊
[03:26] 對零四元
[03:27] 我有看到
[03:28] 雲翔哥瞬間截圖傳給我
[03:30] 先恭喜雲翔哥
[03:32] 謝謝
[03:32] 在這個2026年的第三個交易日
[03:35] 雖然晚了三天
[03:36] 但是達成了你的願望
[03:38] 對
[03:38] 那我想確實啊
[03:40] 因為現在那個
[03:41] 三萬點
[03:43] 坦白講我在這個
[03:45] 前幾天有大概
[03:47] 大家有在討論這個問題
[03:48] 那時候還在
[03:49] 2900出頭
[03:50] 然後就想說問說
[03:52] 兩萬九千出頭
[03:53] 問說到底下離會有沒有機會
[03:56] 其實坦白講
[03:57] 這一波很多大概比較偏學者
[04:00] 我們講說偏總經學者
[04:03] 大概對這種看法就比較偏悲觀一點
[04:07] 或者是說難免會覺得
[04:09] 漲多了風險高保守一點
[04:11] 對沒錯
[04:11] 認為說這個股市在這種落點
[04:14] 真的我覺得有點高了
[04:17] 那三萬他們是覺得說
[04:19] 可能看得到是看得到
[04:22] 可能要明年的第一季第二季以後
[04:24] 對大概這樣估了
[04:25] 那其實坦白講
[04:26] 我那時候心裡就想說
[04:28] 搞不好一天就到
[04:29] 心裡想為什麼
[04:30] 因為你想想看
[04:32] 你就說臺積電如果一創高
[04:34] 那有可能真的一天
[04:36] 你下次心裡想可以講出來
[04:38] 不要悶在心裡
[04:39] 對那我覺得說確實
[04:42] 這一波臺股
[04:43] 那個剛趙華也講
[04:44] 在兩萬兩千點
[04:46] 大概越過之後
[04:47] 大概我就是高水位的持股
[04:50] 那目前還是維繫這樣的一個做法
[04:53] 為什麼
[04:54] 因為就是每週在避險
[04:56] 這一週避險避得多誇張
[04:58] 我這一週等於是上個禮拜四
[05:02] 一跨過以後
[05:03] 我的避險的水位是在
[05:06] 買在28700
[05:10] 我那會說我這個點已經很漂亮
[05:12] 因為29
[05:14] 那時候在大概29000出頭
[05:17] 那差四五百點
[05:19] 大概P的這個價格
[05:22] 大概接近大概在五十左右而已
[05:25] 這是相對於說
[05:26] 怎麼那麼便宜
[05:27] 代表說這個市場很多人是看多的
[05:30] 所以以前就是說你剛換月
[05:33] 剛換周
[05:34] 周選剛換的時候
[05:36] 這個價格如果差四五百點
[05:38] 大概會落在一百
[05:39] 結果這次只要五十出頭
[05:42] 但這樣代表市場這次沒有看錯
[05:44] 對
[05:44] 沒有看錯
[05:45] 非常看多
[05:46] 對我來講
[05:47] 因為要履行所謂的避險的一個策略
[05:50] 所以我買得很爽
[05:52] 沒想到過兩天
[05:54] 基本上現在已經不用講
[05:55] 已經歸零
[05:55] 但是每次歸零
[05:57] 就代表你的新股大賺
[05:59] 對沒錯
[06:00] 所以還是持續想
[06:01] 那這次臺股
[06:02] 我覺得這個指數
[06:03] 有點恐怖
[06:05] 因為我覺得說
[06:06] 在這一次我認為說
[06:07] 剛好在一個三角收鏈的位置點
[06:10] 那大家可能會很擔心說
[06:12] 這個融資是高水位
[06:14] 融資現在三千五百多億了
[06:16] 對
[06:17] 從這個大概
[06:18] 從2000多一路一路上來
[06:20] 對從這個股災嘛
[06:22] 股災殺到2000
[06:24] 對股災的話
[06:25] 一下子從大概3200億
[06:26] 左右的融資預額
[06:27] 殺到2000
[06:28] 2000億左右
[06:30] 現在等於是又拉到
[06:32] 這個等於是創
[06:32] 創這個融資的高水位
[06:35] 17年來的新高
[06:36] 對
[06:36] 那這個水位問題
[06:38] 現在大家想說
[06:39] 其實也不用太擔心
[06:40] 原因是
[06:40] 融資如果它是賺錢的融資
[06:43] 我們講說這一波
[06:44] 確實是賺錢的融資
[06:45] 那基本上來代表
[06:46] 整個市場是在一個非常熱觀的情況下
[06:49] 剛好它又越過一個三角
[06:51] 三角收電剛好在
[06:52] 我記得在兩萬八千
[06:55] 八千三八千四左右
[06:57] 所以越過以後
[06:58] 兩萬九已經越過
[07:00] 已經創高
[07:01] 這一波直接噴上來
[07:03] 那等於是這樣子
[07:04] 這個線等於是
[07:05] 銅線直接換光線
[07:07] 銅線直接換光線
[07:09] 對這噴法基本上
[07:11] 我覺得已經大概達到這種速率
[07:14] 這個我們是很少看到
[07:15] 就是說一般在創高
[07:17] 稍微應該會放量
[07:19] 然後稍微會震盪
[07:20] 其實完全沒有震盪的跡象
[07:22] 也就是說
[07:23] 大家在這個市場來講
[07:24] 這個樂觀的程度
[07:26] 當然是很難想象
[07:28] 那我倒覺得說還是要順勢
[07:31] 因為我自己認為說
[07:32] 在這樣的行為裡面
[07:33] 我自己還是會偏向比較樂觀
[07:36] 那避險當然照做
[07:38] 問題是在這樣的行情裡面
[07:41] 刻意地跟它做反向
[07:43] 認為說高了要回頭
[07:45] 高要回頭
[07:45] 建議算我覺得說
[07:47] 千萬不要去放空
[07:48] 我覺得這個風險是蠻高的
[07:50] 雲翔哥是非常順勢交易者
[07:53] 對對對
[07:53] 那我覺得
[07:54] 不管大家是喜歡做順勢交易
[07:56] 或是說慢慢的
[07:57] 像我是做比較左側交易
[07:58] 喜歡撿東西
[07:59] 都可以
[08:00] 可是你要比較貫徹你的核心價值
[08:04] 對
[08:04] 例如說雲翔哥就明明也覺得
[08:06] 其實從222以上
[08:08] 很多人應該都覺得
[08:09] 斤斤漲
[08:09] 越漲越怕
[08:10] 對不對
[08:11] 那這兩天漲了1200點
[08:12] 太恐怖了吧
[08:13] 雲翔哥都說太恐怖了吧
[08:15] 可是他就在講啊
[08:16] 那順勢交易者
[08:18] 其實是很尊重市場的表現
[08:20] 剛剛講到
[08:21] 市場很多人是看的很多
[08:24] 所以他的選擇權放空避險
[08:26] 的價格很便宜
[08:27] 對不對
[08:28] 但是如果這群人都看錯了
[08:30] 那也就認了嘛
[08:31] 對對
[08:32] 但這群人都看對了
[08:33] 那就是對了
[08:34] 因為我們有一句話叫做
[08:35] 市場的表現就是永遠是對的
[08:37] 市場漲跌都是對的
[08:38] 我們只有我們是看對看錯的差別
[08:40] 所以雲翔哥永遠都會做一個
[08:42] 就是現股大力做多
[08:44] 可是每一個禮拜的選擇權
[08:46] 放空避險一定要做
[08:48] 那吃龜苓糕就吃龜苓糕
[08:50] 小事啦
[08:51] 我說他都放10萬
[08:52] 頂多20萬
[08:53] 我都說你都把那個來
[08:54] 拿給我們花好了
[08:55] 不要做避險
[08:56] 反正都龜苓糕
[08:57] 好
[08:58] 那但是我要強調的是
[08:59] 就是因為是順勢操作
[09:00] 對不對
[09:01] 所以現在就算是30,000
[09:03] 今天說30,576點的歷史新高
[09:06] 雲翔哥還是高水位
[09:08] 不會因為說我預測要跌了啦
[09:10] 我就降水位
[09:10] 不會
[09:11] 可是在選股的邏輯上面
[09:13] 就要有邏輯了
[09:14] 因為像昨天下跌加速1400、1500加
[09:16] 對
[09:16] 那雲翔哥如何在每天
[09:19] 再教大家一次
[09:20] 你怎麼樣決定
[09:21] 今天你會進場的標的
[09:23] 或是你要獲利瞭解的標的
[09:24] 好
[09:25] 其實大概
[09:26] 我上次好像有在
[09:28] 這個
[09:29] 這個
[09:29] 理財大安秀
[09:30] 有大概提到嘛
[09:31] 就是說
[09:32] 但是不厭其煩我們再講
[09:33] 對
[09:34] 因為基本上比如說
[09:36] 現在剛好
[09:36] 又回到臺積電門的這個角色
[09:39] 對臺積電門
[09:40] 那我那時候講說
[09:41] 因為臺積電來講
[09:42] 很多人認為說
[09:43] 哇那個
[09:43] 這麼高價
[09:45] 然後這麼大支
[09:46] 那基本上是不是
[09:47] 它的這個漲幅的
[09:49] 這個力度會比較有限
[09:50] 也確實啦
[09:51] 因為你就是不要想說
[09:53] 臺積鹽會連續來個
[09:55] 一兩根漲停
[09:56] 這個當然可能性
[09:57] 比較低一點
[09:58] 那不過
[09:59] 就是說
[09:59] 以臺積鹽們來講
[10:01] 那時候我講說
[10:01] 如果臺積鹽好
[10:03] 那勢必相關的
[10:04] 這個它的一個供應
[10:06] 也跟著好嘛
[10:07] 比如說
[10:08] 那時候講說
[10:09] 比如在COAX
[10:10] 那不用講
[10:11] COAX今年一定是
[10:12] 是這個
[10:13] 整個產能是溢位來的
[10:16] 所以臺建一定要日月光
[10:18] 晶圓店
[10:20] 我們有講到細格
[10:22] 臺新科這邊來幫忙
[10:24] 確實你看日月光也在創高
[10:27] 晶圓店也在創高
[10:29] 臺新科也終於起來了
[10:31] 因為之前雲翔在達人秀
[10:34] 大家如果有follow達人秀的話因為他比較少來parket我怕我聽眾沒有留意到他很喜歡做看高做低就像剛剛講到我們看到臺電很高或臺電有一些裝置股衝出去
[10:46] 例如亞翔是率先創新高
[10:47] 甚至在更久之前
[10:49] 可能紅素萬論那時候
[10:50] 會再創高的時候
[10:51] 他就會看高來找低
[10:53] 那封測應該算是
[10:54] 所有半導體裡面
[10:55] 本一比最合理的
[10:56] 當然最近也還他們公道
[10:58] 開始漲了
[10:59] 那林翔哥那時候很喜歡講
[11:00] 一檔叫臺星科
[11:01] 星星的星
[11:02] 它是細格的子公司
[11:04] 然後大家股性好爛
[11:06] 就是漲漲就下來
[11:08] 漲兩天就下來
[11:09] 然後我就嘲笑雲翔哥
[11:10] 說你真的很不離不棄
[11:11] 但最近他終於隨著
[11:13] 這一波封測的翻身也漲上去了
[11:15] 對因為如果這個
[11:16] 題材面來講是有跟隨到
[11:19] 因為我們講說
[11:20] 大概已經接近了
[11:22] 就是說大概輪動到這裡
[11:23] 如果封測整個
[11:24] 這個Cross什麼相關都起來
[11:26] CPU都起來
[11:27] 那你總是一定會跟隨
[11:29] 至少要補漲
[11:31] 那如果你帶著
[11:32] 這種補漲的角度來看
[11:33] 自己切入
[11:34] 他本來每一筆就算低了
[11:37] 那當然他機會就大
[11:38] 那剛剛這個趙豪有講到
[11:40] 像亞翔嘛
[11:41] 亞翔已經噴到600
[11:43] 600多
[11:43] 那時候創立了幾周
[11:44] 那相對於說
[11:45] 如果你看漢堂
[11:46] 也大概在千元附近
[11:48] 那我那時候有找漢科
[11:50] 漢堂的子公司漢科
[11:52] 那時候雲翔哥
[11:53] 有率先在節目裡找出來
[11:54] 所以也是從
[11:55] 我記得是120出頭
[11:58] 到140
[11:59] 到140了
[12:00] 所以就是說
[12:01] 以這樣的一個方式來運作呢
[12:04] 我覺得說倒是比較容易
[12:06] 你容易至少有
[12:08] 大概20%的空間
[12:09] 可能在短期間
[12:10] 可能都有這種機會
[12:11] 所以比如說
[12:13] 前一陣子在
[12:14] 大家在炒這個熱度
[12:17] 在群創這個熱度
[12:18] 因為群創好幾根嘛
[12:19] 群創的熱度就在於說
[12:21] 它可能有這個
[12:22] EVO POP
[12:23] 散出型封裝
[12:24] 對這一塊
[12:25] 那我們之前節目有在講
[12:27] 應該如果散出型封裝
[12:29] 真正臺灣這個比較厲害的
[12:32] 應該就是歷程
[12:34] 對
[12:35] 我記得真的有講過了
[12:36] 歷程
[12:36] 因為歷程有幾個優點
[12:38] 山兔型封裝很早就切入了
[12:40] 記憶體裡面HVN的封裝
[12:41] 它也有
[12:42] 所以它是一個多吃題材
[12:45] 因為一般的封測它也有
[12:46] 甚至COWAS它也有在發展
[12:48] 所以它算是在封測裡面
[12:50] 也算是蠻厲害的
[12:51] 但是歷程要是早期的話
[12:53] 其實是比較歸類在記憶體
[12:55] 對
[12:55] 但是現在就變成都有
[12:57] 它就有點
[12:58] 還他公道
[13:00] 昨天的那一根長亭彈
[13:01] 對
[13:02] 所以等於是在這樣的情況下
[13:04] 那時候160噸很久了
[13:06] 噸很久
[13:06] 那來的時候有時候真的
[13:08] 三天四天就
[13:09] 說來就來
[13:10] 就直接創高
[13:11] 已經創歷史高
[13:13] 那歷史高
[13:14] 那時候我們看他歷史高
[13:15] 大概190
[13:16] 還原後190
[13:18] 那竟然來到200出頭
[13:19] 所以我還是會履行
[13:21] 這樣的一個運作
[13:22] 就是說
[13:22] 在這個群裡面先找到
[13:25] 這個最近
[13:26] 當然熱度要夠的
[13:28] 比如說現在臺積電相關的
[13:30] 它的熱度很夠
[13:32] 那最近大家注意
[13:33] 什麼東西很熱
[13:34] 臺積電從這個風策相關
[13:37] 從這個裝置廠相關
[13:40] 然後一直到現在是特化
[13:42] 特化終於動了
[13:43] 我們要跟大家分享
[13:44] 雖然今天打心裁
[13:45] 可能大家會覺得
[13:46] 怎麼那麼爛
[13:47] 他為什麼在裡面特別弱
[13:48] 但臺特化跟心裁
[13:49] 是有繼續漲
[13:50] 對對對
[13:50] 還有長興低價的
[13:52] 長興直接就收上停
[13:53] 對低價的
[13:54] 那其實你會發現
[13:55] 在這裡面來講
[13:56] 之前我們有談到
[13:58] 像腎一
[13:59] 腎一
[14:00] 它也是屬於半導體特用化學
[14:03] 大家知道很多是叫特化
[14:05] 有分
[14:05] 有的是PCB
[14:06] 有的是半導體
[14:07] 對
[14:07] 所以在這一塊裡面
[14:09] 我覺得說
[14:10] 它也是很有機會
[14:11] 那為什麼會特別講
[14:13] 就是說
[14:14] 因為大概之前我們講說
[14:16] 要看這個指數的落點
[14:18] 做法會有所調整
[14:19] 因為我自己也會
[14:20] 慢慢地調整這個做法
[14:22] 就是說找這個族群
[14:24] 這個方式是不變
[14:25] 然後找這個本益比
[14:27] 比較低一點
[14:28] 這個方式也不變
[14:29] 那可是呢
[14:31] 你在找這個所謂的
[14:32] 我們講說
[14:33] 你要找右下角呢
[14:34] 還是已經
[14:35] 這個
[14:36] 達到這個
[14:37] 越際線
[14:38] 在供給這種股票
[14:40] 你可能現在很難找得到
[14:42] 為什麼
[14:42] 因為慢慢的這個股市
[14:44] 在這種
[14:45] 飆高剛創高以後
[14:46] 你會發現
[14:47] 這個市場可能
[14:48] 比較少這種反彈
[14:49] 或者在右下角的
[14:50] 一個標的
[14:52] 所以在這種時候
[14:53] 我可能就會開始選擇說
[14:55] 如果比如說
[14:56] 特化裡面有一些股票
[14:57] 它已經在創高了
[14:59] 比如說新銀財都已經創高到快上千
[15:02] 然後臺特化創高
[15:04] 然後剛講的韓興也創高
[15:06] 那我就去找說
[15:07] 有沒有什麼股票
[15:08] 它剛好接近在於
[15:10] 接近要開始創高的這個位置點
[15:12] 那就說它也一樣
[15:14] 等於是有一點落後的一個動作
[15:17] 北比路又比較偏低的情況下
[15:20] 那可能就會順勢可以帶動
[15:22] 所以就說在這個市場裡面
[15:23] 剛剛也提到說
[15:24] 也不只是特化
[15:26] 如果說今天華通是暫停了
[15:29] 對 低軌衛星的代表
[15:31] 代表又拉起來
[15:32] 那剛才提到
[15:34] 那可能會不會去看
[15:36] 所謂的2367的
[15:38] 耀華
[15:39] 對不對
[15:39] 或者是進棚
[15:41] 那進棚當然
[15:41] 比較補信比較差一點
[15:43] 收益比較差
[15:45] 那耀華可能
[15:46] 搞不好明年
[15:47] 他估是2塊89
[15:49] 法安估
[15:49] 那現在才28塊多
[15:51] 那如果他也是
[15:53] 在這樣的一個情況下
[15:54] 那當然我會去看一樣
[15:56] 找群眾在右邊
[15:58] 基本上已經有
[16:00] 這個發動的一個機會點了
[16:02] 對
[16:02] 好 因為雲翔哥來節目
[16:05] 我後來慢慢有歸納出
[16:07] 第一個
[16:07] 因為我覺得是有邏輯的
[16:09] 第一個因為他是順勢交易者
[16:11] 所以一定要找什麼
[16:12] 找市場上現在熱度高的產業
[16:15] 他比較不會去說
[16:17] 這個產業完全沒人發動
[16:19] 我還在硬要這個冷飯熱炒
[16:21] 炒到它動為止
[16:22] 不會 一定是熱的
[16:23] 然後第二
[16:24] 這個熱呢
[16:25] 有題材他就會先關注
[16:27] 例如說很多人都會卡在一件事
[16:29] 這個群創有賺錢嗎
[16:31] 沒有啊
[16:32] 還沒有賺錢啊
[16:33] 可是這個一直漲
[16:34] 這樣好嗎
[16:35] 甚至有人說
[16:36] 我四年前套的
[16:36] 現在才解套之類的
[16:37] 可是對於影響人來說
[16:39] 這不是第一個重點
[16:40] 重點是在群創的擅出型風裝
[16:42] 其實在之前就有炒過一次了
[16:44] 對
[16:44] 而這是不是臺積電要發展的
[16:46] 是
[16:46] 那他有沒有南科廠
[16:48] 真的賣給臺積電做這件事
[16:49] 有
[16:49] 所以這是一個產業的趨勢
[16:51] 當他漲一根兩根
[16:53] 就代表說
[16:54] 現在這個題材熱起來
[16:56] 而且不是隻有長群創
[16:57] 當然像最近還漲到
[16:58] 友達那些的
[16:59] 可能就變成泛面版族群
[17:00] 連驅動IC都大漲
[17:02] 它變成擴散了
[17:03] 好 但它不管
[17:05] 說這個群創是不是
[17:06] 有沒有賺錢
[17:07] 它先看趨勢出來
[17:08] 也有領頭羊
[17:09] 有領頭羊再去裡面找
[17:11] 它會覺得至少有獲利
[17:13] 然後至少這個東西的形態
[17:15] 像剛剛大家很建議
[17:18] 聽完PowerCase
[17:19] 因為PowerCase有一個好處
[17:20] 我會幫大家很仔細地講
[17:21] 我的想法是什麼
[17:23] 但是晚上的理財單位
[17:24] 其實有圖可以看
[17:25] 例如雲翔哥會說
[17:26] 你看他過去的軌道
[17:28] 就是一個上升軌道里面來回做
[17:30] 或者他突破了一個
[17:31] 什麼下降的壓力線
[17:32] 或者是他現在即將可能要創高
[17:35] 他會告訴你他的形態長怎樣
[17:36] 這就會什麼有依據
[17:38] 如果他今天真的不幸要停損
[17:40] 就趕快出去
[17:40] 那他如果突破
[17:41] 就是一波多頭的開始
[17:43] 對
[17:43] 我覺得這些都是有憑有據
[17:45] 而且這裡面雲翔哥特別喜歡找
[17:47] 其實是有EPS的公司
[17:49] 沒錯
[17:49] 就是說本職還是要找有EPS
[17:52] 所以我剛剛有提到說
[17:53] 如果確實說我們現在在這個市場裡面
[17:58] 它有這個所謂的這個隱含的一個熱度
[18:01] 也就是說它今年就是一個話題
[18:03] 所以今年話題還是跑不開這個黃仁勳
[18:07] 我們講說他在這個CX展
[18:11] 可能還是講他的盧秉
[18:12] 為什麼
[18:13] 因為這個就AI還是跑不掉
[18:15] 在小北京電子展還在講你的盧秉
[18:18] 對
[18:18] 然後這個市場
[18:20] 除了它那馬斯克的什麼
[18:22] Specs X
[18:23] 對所以低軌衛星
[18:24] 這也跑不掉嘛
[18:25] 那軍工這個題材
[18:27] 一定還是會有嘛
[18:29] 軍工你還沒放棄
[18:30] 好多人放棄軍工了
[18:32] 我沒有放棄
[18:32] 就是說它基本上
[18:34] 還是會有這種所謂的
[18:35] 這個熱度存在
[18:37] 因為在軍工裡面
[18:38] 我當然談到軍工裡面
[18:40] 可能是要牽到無人機這一塊
[18:42] 對因為這個市場
[18:43] 其實真的還蠻大
[18:45] 對還蠻大
[18:46] 就是說現在在休息的情況下
[18:48] 當然你就就是要
[18:49] 要拉一些你的一個
[18:51] 我們講說
[18:52] 你可能有一個鋪
[18:53] 我們就谷池
[18:54] 這個股票池裡面
[18:55] 你要把一些相關的
[18:57] 可能今年會有一些
[19:00] 這個熱度的先放在裡面
[19:03] 然後當它有這個題材
[19:04] 出來的時候
[19:05] 那你很容易就找到
[19:07] 你相對要的一些標的
[19:09] 那剛剛也提到說
[19:10] 比如說FOPOP
[19:12] 那可能大家現在
[19:13] 全全全整個面板都起來
[19:15] 那這個倒是我會比較有疑慮
[19:17] 對
[19:18] 因為我認為說
[19:19] 這個市場它真正要的不是面板
[19:22] 因為我覺得面板
[19:23] 目前來講還是比較
[19:25] 比較屬於一個
[19:26] 比較差的一個產業
[19:29] 比較難賺錢的產業
[19:30] 就算有傳輸面板
[19:31] 可能要漲價
[19:32] 可是說你去做這個有沒有錯
[19:33] 我覺得也沒有錯
[19:34] 可是就是做的情況下
[19:36] 如果現在剛好面板在這
[19:39] 你說我會不會進
[19:40] 我也可能會進
[19:41] 可是我就以偏短線的一個做法
[19:44] 比如說還有熱度的情況下去
[19:46] 稍微做一下短
[19:48] 格子充就稍微充一下
[19:50] 可是我就不會
[19:51] 比較偏長線來看這件事情
[19:54] 好那這邊既然有面板
[19:56] 我就也來問一下雲翔哥好了
[19:58] 因為最強的是群創
[19:59] 說實話如果你順勢操作它
[20:01] 問題不大
[20:02] 那有的那些跟
[20:03] 採金那些跟
[20:04] 也就順勢可能做短
[20:06] 但今天有一些
[20:07] 我覺得比較有趣的是
[20:08] 驅動IC也跟著走
[20:09] 驅動IC也曾經大行過
[20:13] 因為在2020到2021年
[20:16] 大家如果記得
[20:17] 在屯金元的那個時代
[20:19] 這些驅動IC
[20:20] 以前是很便宜的
[20:21] 但是他們都有
[20:21] 很穩定的獲利
[20:22] 因為這個市場
[20:23] 例如說你說像聯勇
[20:24] 像瑞鼎
[20:25] 然後像細創
[20:26] 他們可能都有一些
[20:28] 穩定的獲利
[20:28] 但是隨著這個面板
[20:30] 真的沒有辦法搭上
[20:31] AI的趨勢
[20:32] 這件事情之後
[20:33] 大家各憑本事
[20:34] 為什麼會問雲翔哥
[20:35] 例如說他的大哥是聯勇
[20:37] 聯勇今天終於漲了
[20:39] 雖然漲不多
[20:40] 漲4%多
[20:41] 但是如果你用
[20:42] 他的線來看的話
[20:43] 他還非常非常的右下角
[20:45] 可能不符合任何一個突破點
[20:48] 那這樣子的龍頭大哥
[20:50] 他是很賺錢的公司
[20:51] 即使這兩年都不是他的年
[20:53] 還是賺相當多的錢
[20:55] 那你會去關注他嗎
[20:57] 如果就這一種
[20:58] 我們講說
[20:59] 我們講說driver來講
[21:01] 做driverIC來講
[21:03] 因為確實跟現在來講
[21:05] 比較難跟得上
[21:07] 他還在年減月減
[21:08] 對因為他都屬於
[21:11] 大概我們講說
[21:12] 都屬於消費性電子
[21:13] 那消費性電子
[21:14] 比較弱的情況下
[21:15] 當然面板弱驅動IC也會比較弱但林永賢三季是賺20.8你也不能說他是很不好的公司可是因為他基本上來講就驅動IC來講
[21:26] 李永算是比較強勢一點的
[21:29] 因為他的公司的體質
[21:30] 當然是有比較好
[21:32] 不過就是說
[21:33] 就以整個長線的趨勢來講
[21:36] 當然我覺得說
[21:37] 這個所謂的
[21:38] 我們講說他現在處在
[21:39] 是一個反彈的一個效應
[21:41] 所以你也應該用一個
[21:42] 反彈的角度來看這件事情
[21:44] 還沒有進入到說連續上攻
[21:47] 變成一個趨勢
[21:48] 另外就是你還是得要看
[21:50] 它到底有什麼題材
[21:52] 讓它可以有這一塊的運作
[21:54] 如果說它確實有一個
[21:56] 有一些新產品的driver
[21:58] 怎麼樣需要它來攻擊
[22:00] 那也許是啊
[22:02] 它可能是有一波
[22:03] 這個新的一個啟動點
[22:05] 那不過就是說
[22:06] 目前來講還沒有
[22:08] 市場也還沒有傳出
[22:09] 有關新的一個技術
[22:11] 或者新的一個題材
[22:13] 那我倒覺得說
[22:14] 這個可能你就要稍微考量
[22:15] 因為很多在右下角的公司
[22:19] 你不能說他不好
[22:20] 像我最近被常問到的就是生計
[22:22] 很多人就問我說
[22:23] 寶瑞啊不是賺很多嗎
[22:25] 美食啊
[22:26] 不是也有購品的計劃嗎
[22:28] 甚至有人喜歡像藥華藥啊
[22:30] 然後我就說
[22:30] 我覺得問題都不是
[22:32] 他們賺不夠
[22:34] 或者是怎麼樣
[22:35] 或者是出了什麼問題
[22:36] 大家亂看
[22:37] 而是市場的資金
[22:38] 現在真的不在生計股
[22:39] 因為生計股
[22:40] 比較有一點避險的味道
[22:43] 因為大家知道以長線來說
[22:45] 生計肯定會是這個人類世界
[22:47] 長線需求
[22:49] 不管是引發世界
[22:50] 人類的壽命得以延長
[22:52] 各種疾病需要治療等等的
[22:53] 但是因為它不會是這種爆發式
[22:56] 因為我有AI
[22:57] 它就會變成它自己單點
[22:59] 例如說這家公司它拿到藥證
[23:01] 這家公司它可能有什麼解盲透過
[23:03] 它比較是單點的
[23:05] 各自有各自的發展
[23:06] 所以它變得性質其實比較避險
[23:09] 對那現在呢
[23:10] 市場上這種風很低呀
[23:13] 他不在浪頭上
[23:14] 對他不在浪頭上
[23:15] 他的族群性也比較低
[23:16] 他有時候成交量也比較低
[23:18] 所以我覺得不是生計不好
[23:20] 你喜歡蹲這些有獲利的也好
[23:22] 或是蹲那些要解盲的更腰的
[23:24] 也沒有關係
[23:25] 可是要理解的是
[23:26] 對不是他們的錯
[23:27] 那他們什麼時候會再起來
[23:29] 我不知道
[23:29] 但是你一定要記得雲翔哥講的
[23:31] 要是今天突然大家生計通通轉強的時候
