[00:00] 欢迎收听赵华一股货载第1055集
[02:03] 他脱离了他的常态
[02:05] 他礼拜二就来了
[02:06] 今天恢复到他的常态
[02:08] 礼拜五
[02:09] 欢迎我们的国家基金操盘手
[02:12] 凯哥
[02:13] 大家好
[02:13] 各位听众大家好
[02:14] 大家很想你
[02:15] 是
[02:16] 那我们刚刚有先
[02:16] 简单的对一下内容
[02:18] 就是请凯哥一样
[02:19] 你从上礼拜二
[02:20] 到这个礼拜五来
[02:21] 哇你不要看这个交易日
[02:22] 七八天
[02:23] 这台股不是2000点就是1000点
[02:26] 你先讲一个你内心觉得整个大架构
[02:29] 因为这一次起因当然是油价和战争
[02:32] 但我们也知道过去历次的战争
[02:34] 往往在战争结束前
[02:36] 我们的股市震荡就结束了
[02:38] 所以现在对你来说
[02:40] 如何定义这一次的回档
[02:41] 回到哪里叫合理
[02:42] 然后回到什么样的程度
[02:44] 我们就不要再担心
[02:45] 好我们现在看一下
[02:47] 其实整个国际盘里面
[02:49] 其实台湾不是今天抢
[02:51] 其实台湾在过去的这一两周
[02:53] 其实就是告诉你说
[02:54] 其实台湾你不要看人家
[02:57] 你就专心的看自己就好了
[03:00] 因为其实台湾才是真正的
[03:03] 资本市场的领头羊
[03:05] 如果你把韩国机体拿掉
[03:07] 基本上韩国根本就没有那么强
[03:09] 其实AI才是目前当前
[03:13] 最重要的科技发展
[03:15] 我想这件事情
[03:16] 应该大家都不觉得陌生
[03:18] 也觉得看起来是这样
[03:20] 就好像你看美国说他什么
[03:22] 他要去轰炸美国的银行
[03:25] 还有他们的什么
[03:26] AI的云端Data Center
[03:28] 就告诉你说
[03:29] 连伊朗这么落后的国家
[03:31] 都告诉你说
[03:32] 原来AI Data Center
[03:33] 是美国的命脉
[03:35] 就是除了金库要把它灭掉以外
[03:38] 还有这个AI也要把它灭掉
[03:39] 为什么
[03:40] 因为他们在这一次里面
[03:41] 受到美国的AI的运算
[03:44] 贡献他们很多重要的
[03:46] 不管是人事物
[03:48] 基本上都在这次AI运算里面掌握了
[03:51] 掌握
[03:51] 所以我在讲说
[03:53] 基本上你不要去看人家
[03:54] 而是要看自己
[03:55] 看自己
[03:56] 就是你去看一件事情
[03:57] 目前的日本是季线上扬
[03:59] 月线破了
[04:00] 韩国是月线上扬
[04:01] 月线破了
[04:02] 只有台湾跟台湾的贵买中心
[04:04] 不但是月线站上
[04:06] 而且月线也还往上
[04:08] 所以台湾的市场基本上是
[04:10] 全市场目前里面最强的
[04:13] 最强
[04:13] 所以当你最强的时候
[04:14] 你一直在看别人
[04:17] 这就好像说
[04:17] 你是前两名的学生
[04:19] 你在看后半段的学生
[04:21] 的成绩考得怎么样
[04:22] 我怕被他拖下去
[04:23] 严格讲
[04:24] 有可能
[04:25] 但是严格讲
[04:26] 干你什么事
[04:27] 不干你的事
[04:27] 重要还是你自己
[04:28] 但是因为台湾在怕什么
[04:31] 其实台湾在怕就是
[04:33] 老共会不会在这时候
[04:34] 突然对你出手
[04:35] 因为过去那些
[04:36] 其实老共连来环岛
[04:39] 例行的巡视都没有了
[04:41] 其实他们也在观察
[04:43] 就是在这一次的战争里面
[04:45] 其实现在中国的重心
[04:46] 不在台湾
[04:47] 现在中国重心在
[04:48] 他派出他的观察舰
[04:50] 到了荷姆这海峡
[04:51] 他在观察
[04:52] 美国到底是怎么攻打伊朗的
[04:54] 就是过去委内瑞拉
[04:56] 莫名其妙就被美国收掉了
[04:57] 这次伊朗也被打得莫名其妙
[04:59] 而都是用他们的设备
[05:01] 所以他现在重心不在台湾
[05:02] 所以我们再讲一件事情
[05:04] 就是你可以看到
[05:05] 为什么昨天的这个市场
[05:07] 其实昨天我在某台三叉台
[05:11] 我就讲说大盘的高点快到了
[05:14] 其实是有压力的
[05:15] 但是我们确实就是很强
[05:18] 所以那時候就問說來賓們你們覺得是要繼續加碼還是要先減碼
[05:24] 我是舉先減碼
[05:26] 因為我覺得短線其實有漲到了
[05:27] 你不是沒有漲到
[05:28] 所以就像趙華講的
[05:30] 其實你把單元漲完了之後會不會又跌下來
[05:33] 這個才是你害怕的
[05:35] 因為你本來是已經退場
[05:37] 你又回去買
[05:37] 你現在可能又是滿手不為
[05:39] 你當然會害怕市場到底會怎麼走
[05:41] 但是你去看一件事情
[05:42] 就是這件事情把它看成很大也可以
[05:46] 把它看成很小也可以
[05:47] 什麼叫看很大
[05:48] 看得很大就是
[05:48] 目前荷姆这海峡
[05:50] 就是被封锁的状况
[05:51] 目前看起来
[05:52] 一时半刻也无解
[05:53] 但是你把它看作
[05:55] 比较短暂就是
[05:56] 目前看起来
[05:57] 伊朗它就是没有核设施
[05:59] 它没有核子武器可以攻击
[06:01] 否则它现在已经
[06:02] 快要两公的情况之下
[06:03] 它一定会拿出来的
[06:04] 它就是没有拿出来
[06:05] 所以你看所有调查显示说
[06:07] 美国这次出手
[06:08] 是赶在它的核武器
[06:10] 生成之前的几天
[06:11] 拦阻了它
[06:12] 所以看起来就是
[06:14] 核武器是没有的
[06:16] 但是海峽這東西造成了油跟氣的攔阻
[06:20] 造成全球的通膨上來
[06:23] 所以你看戰備儲油說要放出來
[06:26] 就油價是漲的
[06:27] 然後俄羅斯的油說要放出來
[06:30] 基本上油價也沒什麼跌
[06:31] 但是你可以注意看
[06:33] 以油價來講
[06:34] 你看布倫特原油
[06:35] 基本上那根大量的高
[06:36] 它始終是沒有突破的
[06:38] 可是那個大量低也沒有跌破
[06:39] 它就在這根大量的中間
[06:41] 所以告訴你什麼
[06:42] 它就陷入一個盤整的格局
[06:43] 就是這個地方是不能太樂觀
[06:46] 也不能太悲观
[06:48] 那在这情况之下
[06:49] 基本上你看今天很多股票
[06:50] 就窜出去了
[06:51] 为什么
[06:52] 因为他们GTC大会
[06:53] 马上就要开始
[06:54] 在16号
[06:55] 那我已经听到很多
[06:56] 躺上的大老板
[06:57] 就是这两天
[06:58] 可能飞回台湾
[06:59] 就必须要飞到美国去
[07:00] 因为他们要去参与
[07:01] 这个GTC大会
[07:02] 好那你可以看到
[07:03] 像中东的AWS的
[07:06] Data Center被打掉之后
[07:07] 他们马上什么
[07:07] 马上就是要
[07:08] 做重建的动作
[07:09] 因为现在AI是
[07:11] 如火如荼的在进行中
[07:13] 我早上去参加一个论坛
[07:15] 其实有两家大厂都告诉大家说
[07:18] 其实目前的AI就是紧俏
[07:20] 紧俏再紧俏
[07:22] 他们的产能就是要积极的扩敞
[07:24] 扩敞再扩敞
[07:25] 所以有家人讲说
[07:26] 他们的产能要增加五成以上
[07:28] 所以告诉你说
[07:29] 其实就算核母之海峡怎么样
[07:31] 基本上除非核弹摧毁人类
[07:36] 否则基本上AI就是要持续前进
[07:38] 所以就告诉你
[07:39] 为什么股市是这样的走法
[07:41] 再加上其实政府很积极做多
[07:43] 你看才跌下来而已
[07:45] 八大關股進場
[07:46] 我們要準備要開臨時會
[07:48] 然後那天在疊的時候
[07:50] 我就跟我
[07:51] 我的兒子就在問我說
[07:52] 關機會進場嗎
[07:53] 我說當然不會
[07:54] 可是八大關股一定會先進場的
[07:56] 因為它就是一個步驟
[07:58] 就是它是階段性的
[08:00] 我說你關機什麼時候會進場
[08:01] 你等它開臨時會之後
[08:03] 它才會告訴你什麼時候進場
[08:04] 沒有開之前它就不會進場
[08:06] 它就是口水護盤
[08:07] 所以你可以看過去幾次
[08:08] 其實也都是
[08:09] 但你現在還在月線之上
[08:11] 月線還往上彎
[08:13] 你覺得它會進場嗎
[08:14] 没有道理啊
[08:15] 但是政府确实就是
[08:16] 很积极的想要什么
[08:18] 做多
[08:18] 尤其是今年就是要大选年
[08:20] 今年的年底
[08:21] 台湾有一个很大的选举
[08:23] 所以政府一定是猫起来
[08:24] 要安慰大家嘛
[08:26] 就是互助大家股民的口袋
[08:28] 所以基本上
[08:29] 我觉得是不用太害怕啦
[08:31] 我其实在之前
[08:32] 我在跟我的朋友们的日报
[08:34] 好像就讲说
[08:34] 你如果要担心
[08:36] 那就是优先把你的个股里面
[08:38] 越线下弯的先减码
[08:40] 因为这个叫做
[08:41] 为公先败
[08:43] 人家都还没有真打到
[08:44] 你都已經自己越線下彎了
[08:46] 你就沒有想要戰鬥的意思
[08:47] 那這就是要減碼
[08:48] 所以我們剛剛一開始的時候趙威跟我說有些朋友啊他們這股票都死都不賣賠了很久了也都不賣那我們最後會來講一下心態那我們再講一個邏輯
[08:59] 就是當他月線下彎就告訴你什麼
[09:01] 他沒有要攻擊嘛
[09:02] 沒有要攻擊
[09:03] 你現在的國際局勢又這麼的尷尬
[09:06] 他當然就不容易上容易下
[09:08] 這時候你就什麼
[09:08] 一定要先減碼嘛
[09:09] 為了減碼
[09:10] 你的痛才會少一點
[09:12] 但是你說會不會隨時翻起來
[09:14] 我說他月線都下彎了
[09:15] 他什麼時候翻起來
[09:17] 他月線下彎
[09:17] 他要翻起來要一段時間
[09:19] 不會那麼快
[09:19] 所以
[09:21] 通常要攻擊的股票通常是月線不下彎的
[09:24] 對通常是月線不下彎的
[09:25] 所以他才有辦法維持一個攻擊的態勢
[09:28] 所以他就算突然拉起來了
[09:30] 可能就是拉個一兩天就又下去了
[09:32] 所以
[09:32] 我說你可以先用月線下不下彎來看
[09:35] 這就是月線下彎的股票
[09:37] 你先減碼
[09:39] 當你的股票是月線上彎
[09:41] 五日線維持向上的
[09:43] 這就是持續
[09:44] 拉回要做加碼的股票
[09:46] 所以我們就這樣就可以找到說
[09:47] 到底什么是这时候要买
[09:49] 到底什么时候
[09:50] 股票这个时候要退
[09:52] 好
[09:52] 我必须强调一下
[09:54] 凯哥的粉丝真的很多
[09:56] 为什么
[09:56] 凯哥其实是比较效率派的
[09:58] 刚刚我们讲到
[09:59] 最好你要保持股票是一个强势
[10:02] 对不对
[10:03] 对
[10:03] 他们有时候会很confused说
[10:04] 可是赵华
[10:05] 你不是都跌破月线
[10:06] 跌破季线加码吗
[10:08] 大家要记得
[10:09] 我跌破月线季线加码
[10:11] 第一
[10:11] 我可能买的是所谓的ETF
[10:13] 对不对
[10:14] 第二
[10:14] 自然是我会对
[10:16] 因为这家公司
[10:17] 他现在回档
[10:18] 我觉得第一
[10:19] 他的形态没有完全破坏
[10:21] 我也是不接刀的
[10:22] 如果他已经是空头
[10:23] 一直下杀那种
[10:24] 我不接刀的
[10:25] 这要记得
[10:26] 但是我可能会去捡
[10:27] 他的形态还没有好转
[10:29] 但我觉得直稳的
[10:30] 我觉得这种有可能
[10:31] 那凯哥他是很
[10:32] 一定要整个形态是好的
[10:34] 为什么
[10:35] 像今天大家看一下
[10:36] 虽然我跟凯哥最近
[10:37] 已经不太管记忆体了
[10:39] 但今天记忆体
[10:39] 率先冲出去的叫宇瞻
[10:41] 宇瞻前两天
[10:42] 他就是记忆体里面
[10:43] 形态强势的旺红
[10:45] 当然今天有凯记的报告
[10:46] 加持旺宏
[10:47] 可是旺宏也是
[10:48] 记忆体里面形态强势的
[10:50] 就是强势的容易在回挡之后
[10:52] 遇到支撑就继续往上攻
[10:55] 可是假如你一般的股票
[10:56] 破月线月线下弯破季线
[10:58] 它可能就要整理非常的久
[11:01] 或是一反弹
[11:02] 上面就层层的套牢卖压
[11:04] 所以有时候大家听的时候
[11:05] 我必须厘清一下
[11:06] 每一个人的派别是不一样的
[11:08] 大家喜欢凯哥
[11:08] 是因为凯哥有效率
[11:09] 凯哥今天跟你讲的股票
[11:11] 他比较容易快点涨起来
[11:13] 我也讲一下
[11:14] 今天有涨停的
[11:15] 分散在各领域
[11:16] 因为等一下凯哥
[11:16] 就要帮我们好好讲
[11:17] 各领域的状况了
[11:18] 像今天有大量
[11:19] 这个PCB设备
[11:21] 哇这档我卖飞
[11:22] 这档我200块左右就卖掉
[11:24] 现在快要400块了
[11:25] 重达KY
[11:26] 这个是细光子
[11:28] 而且是没有被关的细光子
[11:30] 讯心KY也是
[11:31] 对不对
[11:31] 真鼎KY
[11:33] 因为公布去年年报
[11:34] 其实我觉得差强人意而已
[11:35] 赚6块多
[11:36] 但今天就给你一根掌听
[11:37] 也是因为有修正
[11:38] 还有像比较特别的
[11:39] 像副鼎
[11:40] 这个是MOSFET
[11:41] 其实现在有很多
[11:42] 成熟制成的MCU
[11:44] 或像MOSFET这一类的功率元件
[11:46] 也是会忽然涨起来的
[11:47] 位阶都相对低
[11:49] 还有像锦硕
[11:50] 今天新兴创历史新高
[11:52] 虽然是被关分盘
[11:53] 还是历史新高
[11:54] 所以刚刚讲到的宇瞻
[11:57] 对不对
[11:57] 还有低价的像中华化
[11:59] 这个永光三福化
[12:01] 为什么
[12:02] 因为现在缺氦气
[12:03] 战争的时候以前缺过奶气
[12:05] 现在缺氦气
[12:06] 还有像旺红
[12:08] 就刚刚讲到的
[12:09] 这个凯基出了报告
[12:10] 300块钱目标价
[12:12] 好 林林总
[12:13] 南电也涨停
[12:14] 零零总总很多
[12:15] 今天我记得好像电影也有涨停
[12:16] 是不是
[12:17] 所以今天这些类股里面
[12:20] 以及可能今天比较没有看到的
[12:21] 像低轨卫星好了
[12:23] 凯哥如何来判断这一些些的
[12:25] 热门产业的接下来的看法
[12:28] 我觉得刚一开始我们就讲到说
[12:30] 我们看到宇宅涨停
[12:31] 其实我们很早就讲了
[12:33] 其实记忆体里面
[12:34] 现在还维持一个强度
[12:35] 就是模组
[12:36] 可是模组里面
[12:37] 其实它又已经是往工业型的模组去
[12:40] 消费型模组像微钢
[12:42] 像微钢啊
[12:43] 它就转弱了
[12:44] 你看到基体
[12:45] 其实就我们之前讲的
[12:47] 就是基体
[12:47] 其实已经涨到
[12:48] 落后的flash了
[12:49] 所以旺红持续在涨停
[12:50] 什么宇瞻
[12:52] 还有宜鼎
[12:53] 这种工业型的模组
[12:54] 它也持续在涨停
[12:55] 就告诉你
[12:56] 其实资金还是有的
[12:57] 只是资金已经不是
[12:58] 大范围的
[12:59] 全面的进行一个攻击
[13:00] 而是收敛到
[13:02] 一部分的次族群的攻击
[13:03] 所以当然就是说
[13:05] 你会觉得
[13:06] 感觉比较不好配置
[13:08] 就之前好像是
[13:09] 大家随便撒
[13:10] 随便都会中
[13:11] 可是你现在就是
[13:13] 随便撒就不小心跑到华邦
[13:14] 不小心跑到南亚科
[13:16] 或是跑到利基店
[13:17] 可能相对就比较弱
[13:18] 可是你看今天像宇瞻、宜鼎
[13:21] 然后像旺宏
[13:22] 甚至像艾普
[13:23] 都是一些小族群的股票在涨
[13:26] 所以基体其实还是有一点点的热度
[13:28] 不是完全没有
[13:29] 其实今天我觉得比较整齐的
[13:31] 其实应该是在整个PCB的相关
[13:34] PCB的相关
[13:35] 就是你可以重新
[13:37] 因为我早上去参加两个论坛
[13:39] 一个就是真鼎的论坛
[13:41] 好 掌庭是因为你
[13:42] 一个是整体论坛
[13:43] 一个就是锦硕的论坛
[13:45] 锦硕的论坛
[13:46] 最近法说论坛很多
[13:47] 锦硕今天亮灯掌庭
[13:48] 很多很多
[13:48] 但是都不是因为凯歌去的关系
[13:50] 其实他们都有点是
[13:52] 比较算是落后补掌的味道
[13:55] 落后补掌味道
[13:56] 但是刚刚我们今天晚上有回讲
[13:57] 我们现在先讲没关系
[13:58] 先讲我们先讲
[13:59] 就是其实整个目前的ABF
[14:01] 确实就是很缺
[14:03] 就是锦硕已经讲得很白
[14:05] 他要扩五成的产能
[14:07] 扩五成的产能
[14:08] 在ABF这一块
[14:09] 你看一个公司
[14:10] 要扩个一成两成产能
[14:12] 都已经是什么
[14:12] 重大投资
[14:13] 它是要扩五成的产能
[14:15] 所以我们当初大家觉得说
[14:16] 锦硕好像在ABF这一块
[14:18] 好像卯足而进
[14:20] 要跟这个新兴拼了
[14:22] 就是他要扩一个很大的产能
[14:23] 但是锦硕其实有
[14:26] 也透露出一些
[14:27] 比较不好的讯息
[14:28] 他说虽然ABF很好
[14:30] 可是他BT不太好
[14:31] 可是他BT比重也不低
[14:33] 他的BT
[14:35] 他说今年的ABF
[14:37] 每一季的季度
[14:38] 应该都是5%以上的报价
[14:40] 可是BT就没有
[14:43] BT很少
[14:44] 能够涨的幅度很有限
[14:46] 所以基本上它就有一块Budget拉着它
[14:50] 那新兴是因为之前大家对它的感觉
[14:53] 都是在所谓的高层版或者是软版
[14:57] 所以其实大家对它的ABF没有期待
[14:59] 可是我们讲说它其实就是二线的ABF
[15:03] 它去年的ABF的营收占比在不到10%
[15:06] 今年要拉到10%
[15:08] 所以市场因为他拉到10%
[15:10] 给他一个很积极的掌声
[15:11] 就是说
[15:12] 他终于挤进ABF这个族群里面了
[15:15] 但是如果这样的角度来看
[15:16] 基本上最能够买的应该还是新型
[15:19] 就是他第一个
[15:20] 他们有BT的拖雷
[15:21] 就是他就是很纯的ABF
[15:23] 他也做积极的扩展
[15:25] 虽然他的规模可能没有像锦硕扩这么大
[15:27] 但是他也是很积极的扩展
[15:29] 你今天在这个过程里面
[15:31] 其实你发觉一件事情
[15:32] 就是连蓝店都涨停
[15:34] 你不要忘记
[15:34] 蓝店也不是什么AI的ABF
[15:37] 蓝店ABF是for Apple的
[15:39] 但是曾领也有讲
[15:41] 就是客户现在其实都接受涨价
[15:44] 因为他们知道
[15:45] 现在ABF是全面的报价在上扬
[15:49] 不管是AI用的
[15:50] 或者是非AI用的
[15:51] 其实都在涨价
[15:52] 那曾领也讲说
[15:53] 今年他们对下半年的
[15:55] Apple的折叠机
[15:56] 是有高度的期待的
[15:58] 所以为什么今天
[15:59] 这个蓝店也亮灯
[16:01] 其实不是没有原因的
[16:01] 好 那就看这件事情
[16:03] 就是当ABF在涨价的时候
[16:04] 是ABF自己涨价吗
[16:06] 不是的
[16:06] 是整個ABF的供應鏈都在漲價
[16:09] 原料也在漲價
[16:10] 所以什麼
[16:11] 所以上游的波鉛布也在漲價
[16:14] 對
[16:15] 所以你看到像什麼台波啊
[16:18] 德宏啊
[16:19] 甚至於像這個CCL的
[16:21] 之前的台光電
[16:22] 今天台耀
[16:23] 今天台耀終於漲了
[16:24] 第一位接掌金
[16:25] 其實他們都是一掛的
[16:26] 就是一個系列
[16:27] 所以其實這個族群才是最整齊的
[16:30] 所以一樣就是這一波下來
[16:32] 你還要買什麼
[16:33] 我覺得這個族群還是一個重中之重
[16:36] 雖然之前凱哥有講過什麼探針啊什麼
[16:38] 雖然我這天長到一個
[16:40] 探針很離譜
[16:41] 長得已經快瘋掉的感覺
[16:42] 我這邊必須要好好的稱讚一下凱哥
[16:44] 我還記得有一次上次來上次來探針在大跌
[16:48] 應該是上上次了
[16:49] 有一天莫名大跌
[16:50] 你說他們都還是會再創高的
[16:52] 全部都創高
[16:53] 好講完了
[16:54] 投信會認錯的
[16:56] 我在講旺系
[16:57] 創高很多
[16:58] 投信傻傻的亂賣
[17:00] 那天說要注意旺系
[17:01] 哇塞
[17:02] 後來就上來了
[17:03] 好那其實
[17:05] 我们最近这个无人机很火
[17:07] 无人机其实运用到很多的MCU跟保护元件
[17:10] 所以你看保护元件就开始火起来了
[17:13] 包括你看到什么像强茂、德威
[17:16] 这些国家突然都火起来了
[17:18] 所以其实产业面里面
[17:21] 确实到处都在点火
[17:22] 但是有个很重要的东西就是成本
[17:25] 其他成本都在上扬
[17:27] 因为整个AI把整个成本都垫高了
[17:30] 所以变成是你只要有需求
[17:31] 基本上就要接受涨价
[17:33] 那只要一漲價
[17:34] 廠商他就有報價的一個
[17:37] 調漲獲利的空間
[17:39] 最怕就是沒有需求
[17:41] 沒有需求
[17:42] 所以回頭來看就是長期的需求到底存不存在這個我覺得是短期你不會討论到可是我觉得未来两三个月一定会讨论到为什么因为看起来就是要通膨通膨的情况之下
[17:54] 大家的口袋相对会比较浅一点
[17:56] 那哪些是你一定要买的
[17:59] 哪些是你可以省下来不买的
[18:01] 这就变成是消费者的选择
[18:04] 为什么一定要通膨
[18:05] 就为什么你觉得接下来要通膨
[18:06] 因为油价
[18:07] 可是油价川普现在在努力
[18:09] 然后再来是缺电
[18:09] 缺电
[18:10] 老实讲油价目前他也控制不住
[18:13] 因为荷姆这海峡就是20%
[18:14] 所以为什么战备储油一宣布要释放
[18:18] 是涨的
[18:20] 战备储油释放应该是要叠价
[18:23] 有先叠但再涨了
[18:24] 为什么
[18:25] 因为告诉你说
[18:26] 其实就算放出来又反不及急
[18:28] 而且也满足不了目前的缺口
[18:31] 因为这个缺口就是有两成多
[18:33] 所以台湾现在就是把这东西往后推了
[18:37] 往后推
[18:37] 就是说台湾其实最大的烦恼不在油
[18:41] 讲白的
[18:41] 而过去也发生过中东战争
[18:47] 油价也曾经高涨过
[18:48] 台湾也没在怕
[18:49] 可是台湾怕什么
[18:50] 台湾怕的是没电
[18:51] 台湾怕的是缺电
[18:53] 所以天然气这件事情
[18:54] 其实对台湾的影响才是比较大的
[18:56] 所以我们的这个
[18:57] 龚明星部长就讲说
[18:59] 我们基本上油可以
[19:00] 我们的电
[19:02] 一天天气可以撑到四月底
[19:04] 对
[19:05] 好
[19:06] 我这边的话
[19:07] 再帮忙补问一下凯哥
[19:09] 我们再回到源头
[19:10] 一开始有讲
[19:11] 台股是前面两名的学生
[19:13] 是
[19:13] 跑得很快
[19:14] 然后就算我们跟美股脱钩
[19:16] 因为赵华是比较在意乖离率
[19:18] 那现在我们其实跟美股
[19:19] 有点连回来了
[19:21] 说实话
[19:21] 像台积电ADR
[19:23] 之前都一价20%
[19:24] 现在就一价十几%而已
[19:25] 有收敛了
[19:26] 但是我们刚刚讲的
[19:28] 如果立足在
[19:29] 不用担心战争是短期因素
[19:32] 但可以听得出来
[19:33] 我觉得凯哥其实是有点保守了
[19:35] 对
[19:36] 因为他在友台
[19:37] 有讲到高点可能到嘛
[19:39] 对不对
[19:39] 然后呢
[19:40] 刚刚又特别提到会有通膨
[19:42] 通膨大家的消费力
[19:43] 就会被削弱哦
[19:45] 所以我们要重新来讲一下
[19:46] 这个蓝图哦
[19:47] 那就等于是
[19:48] 我们在下跌过程中
[19:50] 优先去找可以抗通膨
[19:52] 例如他就是涨价升级概念
[19:53] 对不对
[19:54] 但是大涨的时候
[19:55] 其实要有戒心
[19:57] 我发现凯哥应该是
[19:58] 现在整个蓝图
[19:59] 你是这样看的
[20:00] 对不对
[20:00] 因为你觉得川普对油价
[20:02] 现在有点莫可奈何
[20:03] 对
[20:03] 那如果在这样的立足点上
[20:05] 我们现在反而是要谨慎的心比较高一点
[20:08] 对
[20:08] 所以你看为什么川普突然要释放战备出油
[20:11] 又告诉你说俄罗斯的油也可以买
[20:13] 基本上这个都是他的
[20:15] 他不太点头的事情
[20:17] 没错
[20:17] 没错
[20:17] 因为他也很care通膨
[20:19] 没错
[20:20] 美国今年要期中大选
[20:21] 通膨跟股价是他所不能容忍的事情
[20:24] 所以你看他其实从上礼拜就讲说
[20:27] 他说战争快要结束了
[20:29] 其实他想要收尾了
[20:30] 可是现在就是伊朗不点头
[20:32] 那我觉得伊朗其实也不是不点头
[20:34] 伊朗其实现在是以战逼合
[20:36] 就是我告诉你说
[20:38] 我也不是完全没办法
[20:40] 我还是可以跟你抗争的
[20:41] 所以你要给我一个好的
[20:42] 下台的条件
[20:45] 对
[20:45] 那怎么谈
[20:46] 我觉得现在还很难讲
[20:48] 因为其实我刚刚讲
[20:50] 核武其实差几天就出来了
[20:52] 所以他一定会讲说
[20:54] 我们要派人去监控你们的
[20:56] 这些核设施
[20:57] 对
[20:58] 避免你们去做核武出来
[21:00] 但是我觉得伊朗可能短时间不会答应
[21:02] 所以我觉得这事情就还有得拖
[21:04] 好我们回过来看大盘
[21:06] 大盘跟贵买
[21:07] 其实对大盘我比较谨慎
[21:09] 贵买相对看得比较乐观
[21:11] 是因为
[21:11] 大盘其实接近满足点很近
[21:14] 可是贵买其实还没有
[21:16] 还是个形态的问题
[21:17] 你看贵买已经快要创新高了
[21:19] 对啊
[21:20] 好可怕
[21:21] 他是快要创新高
[21:22] 再加上大家对于战争的逻辑就是
[21:25] 一开枪的那刻是最害怕的
[21:27] 再来就怎样
[21:28] 再来就是你只要没有更扩大
[21:30] 你只要不要拿错核武器
[21:31] 我没在怕你
[21:32] 反正就慢慢淡化
[21:34] 股票怎麼下去就會怎麼上來嘛
[21:35] 所以每次過去都是
[21:37] 跌個五六天
[21:38] 然後就開始往上彈了
[21:39] 這次可能是跌個三天
[21:40] 然後就開始往上彈了
[21:42] 而且再加上那天
[21:43] 櫃買的融資一下降了七十幾億
[21:45] 大家覺得說太好啦
[21:47] 散戶都出去了
[21:48] 而且你看
[21:50] 其實這幾天
[21:52] 投信一直在買什麼
[21:53] 投信一直在買高價股
[21:54] 高價股就是什麼
[21:55] 就是散戶很少
[21:56] 籌碼乾淨
[21:57] 籌碼
[21:58] 大戶很多
[21:59] 法人很多
[22:00] 對
[22:00] 外資很少
[22:01] 因為他是櫃買
[22:02] 所以你看今天
[22:03] 你们不要讲贵买或集中市场
[22:06] 你看新贵股票
[22:08] 新贵股票
[22:09] 新贵股票
[22:11] 其实还在涨
[22:12] 山泰市
[22:14] 什么高明铁
[22:16] 一些奇奇怪怪
[22:17] 你都没听过的公司
[22:18] 听过了
[22:18] 他们都还在涨
[22:20] 都还在大涨
[22:21] 就告诉你说
[22:22] 这行情感觉是没有这么的
[22:26] 我应该讲说大户没有在怕
[22:27] 应该这样讲
[22:28] 凯克有没有点担心
[22:30] 是有的
[22:30] 但是大户没在怕
[22:32] 大户没在怕
[22:32] 所以有人问我说
[22:34] 涨到这边了
[22:35] 你的持股要不要降
[22:36] 我还是一样的讲法
[22:37] 就是你还是要维持五六成的持股
[22:39] 因为你降太低
[22:40] 你会完全赚不到这一波的钱
[22:43] 其实这一波再下来之后
[22:45] 我就讲说
[22:45] 你不能把你的持股全部砍掉
[22:47] 我说你只能把你月线下弯的股票
[22:49] 做减码
[22:50] 留住强势股
