[00:00] 歡迎收聽《照華於股貨載地1181集》,今天是2026年的9月10號。
[11:20] 以一般的AI的個股來講,例如說像是2308的台達電,台達電在公告它八月份的營收數字的時候,很明顯就可以看到,雖然說它在整個營收的表現上,它是呈現了年成長34.95%的一個情況。
[11:50] 但是,這個年成長率,較上一個月的這個年成長率47.75,跟在上一個月的55.43相比的話,它的YY是連續兩個月開始呈現下滑。
[12:05] 同時在整個月營收的MOM的部分,這個月份它的MOM是轉為負值,是負3.71,那麼MO連續兩個月呈現11.26%增長,降到2.24%增長,再到衰退。
[12:27] 這個是在台達電。
[12:30] 還有一些我覺得也算基優股,例如像是研華。
[12:36] 研華8月份營收87.52%的YY。
[12:41] MOM 減少與衰退
[12:46] 這些都是過去大家認為會有好的表現的公司
[12:53] 一旦出現營收年增,但很可惜,出現月減時,市場上都會有這樣的反應
[13:04] 當然像我們看到像軍華、軍豪、智盛這個族群
[13:12] 我在昨天在做功課的時候也意外的發現到他們這三家公司在整個就是八月份營收雖然說是年增但是也是呈現月減
[13:22] 所以現在看起來因為整個這個營收的這個態勢並不是這麼的整齊
[13:29] 比較像是各自的一個公司有各自公司的一個發展的一個路徑。
[13:35] 所以不要說一般投資朋友,我個人在判斷連很多的法人現在對於第三季的財報的一個狀況,他們可能現在都在思考要怎麼樣去重新做評估。
[13:50] 好,重新做評估的話,以你來說,我們最近有收到蠻多的報告對不對?
[13:56] 第四季其實法人朋友們看的都很樂觀哦,就是基本盤是5,就是我看了什麼富邦啦,什麼玉山啦,統一啦,群裔啦,就各家啦,現在不可能不出第四季的看法嘛,然後所以都覺得說至少以指數來說5是基本盤這樣子,那明年的話當然就一定要比5更高啦,不過每一年到年底一定是這樣,很少有人會非常悲觀,除非那一年是空頭年,
[14:24] 其實這就是市場有趣的地方,我記得在空頭年看明年展望的時候,大家都真的看得很保守,對,殊不知空頭年過完就是大反攻,所以常常會措手不及,這個我自己也有這樣的問題,我也必須跟大家分享說,像前幾次啊,有人就講說,欸,趙華,你在投資路上,怎麼好像沒有看到你摔跤,我說不是哦,不是都沒有摔跤,是我不太容易讓自己賠到,很誇張,因為我對槓桿風險的處理,當然我覺得在比較初入股市的時候也許有新手運,
[14:53] 其實我一開始是很喜歡用融資、槓桿的商品的,因為本比較小嘛,我想大家都有過這一段時間點,可是那時候運氣比較好,就是身邊有很多的貴人朋友,可能教你買的股票什麼,你即使開融資,你都很短的時間內可以賺回來,可是隨著年紀越大,真的膽子越小,所以就會越來越注意到配置,然後不要開槓桿,然後如果在賠的時候,不太會讓自己賠到說什麼殺到建股,然後把錢賠進去,
[15:22] 可是我非常容易在一個狀況下賠錢,就是我躲過了空頭,可是空頭的隔年大反彈,我反而容易賠錢,我2023年就先賠錢,因為2023年是2022年整年空頭完之後,它突然出現一個基本面還沒有回暖,可是股市一直漲,我最不喜歡這種情況了,就是我無法理解說,我看到都還在去庫存啊,我看到的大家營收都是年減很高,
[15:52] 這就是我對股市的想法。
[16:22] 就先旁邊看嘛,不要那麼的緊張啊,在旁邊看,而且那時候說實話百業蕭條,那時候我身邊有很多金融業的朋友是苦於他們可能會沒有工作,所以你感受到那個苦的時候,你就不會很積極的想要投資,所以那一波下來沒有受傷,可是我09年又犯了同樣的問題,09年我看到百業還是蕭條,我又看起來反彈了,指數反彈了兩三千點,我又去放空,所以這就是現在我不鼓勵人家放空,
[16:52] 的原因除了小哥
[16:54] 所以反彈上來的時候我就覺得
[16:56] 沒有啊還是很蕭條啊
[16:58] 投資界的朋友還是很擔心被資錢
[17:00] 或是資錢的人還是找不到工作啊
[17:02] 怎麼可以談了兩三千點呢
[17:04] 然後又被尬
[17:05] 所以兩次的經驗之後
[17:06] 我就成為一個乖乖的
[17:09] 要不就不做
[17:10] 要不就做多
[17:11] 我比較不會去做
[17:13] 你怎麼吵到這個來
[17:14] 就是因為現在
[17:16] 我們畢竟還是在多頭年啦
[17:18] 所以展望第四季到展望到明年
[17:20] 我想大家還是用比較樂觀來看待啦。
[17:23] 那我不曉得韋泰這邊接觸到的法人大戶的想法是什麼?
[17:26] 嗯,剛才聽完這個造華的分享,我真的覺得超棒的,因為很多的人其實對自己過去的疊交的經驗其實都閉口不談。
[17:38] 不會不會,我有,但是就真的沒有到什麼可以吹噓說我破產以後再站起來,這真的沒有。
[17:44] 對,那是,但是能夠跟大家分享這些過去的一個經驗,我覺得這個都是很好的例子,那我也常常,我也曾經有跟別人分享過嘛,那這個東西都是我,我覺得我是一輩子會記得那一些可能犯了這些錯,然後所造成的教訓。
[18:03] 2026年第三季和第四季,法人在8月底上調了一次第三季上市櫃公司全體獲利展望,從原本的1.8兆到1.88兆到2.15兆,這是8月底全上市櫃公司的獲利預估,也同時上調了第四季的預估。
[18:32] 從原本的1.9兆到2兆,拉高到2.2兆,所以基本上兩個季的調整大概都在10%以上的漲幅。
[18:44] 所以嚴格講起來就是Q3優於Q2,然後Q4又優於Q3,所以基本面的部分基本上都是一直往上走的。
[18:53] 這幾個股市的股市是在上升的,而市場上是在下跌的。
[19:23] 大家其實都戰戰兢兢。
[19:25] 都戰戰兢兢。
[19:27] 所以我覺得這個時候反而對我們來講,
[19:30] 如果有一些好的公司有機會去做拉回的話,
[19:34] 反而會是可以去思考去做布局的一個時間點。
[19:38] 好,但是你會鎖定在什麼樣的範疇呢?
[19:41] 就像可能很正常,就是在蘋果的新機發表會,
[19:46] 通常蘋果就有壓力。
[19:48] 所以剛剛我們講到,難道這個Due不夠好嗎?
[19:52] 新日新真的跌得有點慘重哦
[19:54] 那當然售價我想還蠻多人說非常貴的
[19:58] 還開玩笑說你下一個月的薪水有一支基本款的DUMA
[20:02] 基本款就可以嗆人了哦
[20:07] 還不是全配版不是2TB的
[20:09] 我快要被網友的這種創意笑翻了
[20:13] 但我個人大概是不太會去買折疊啦
[20:17] 雖然我嘴巴上喊說這個是蘋果
[20:19] 真的是比較新的創新嘛
[20:21] 不然說實話,iPhone從12、13、14、15、16都長的差異真的很小啦,還在吵說那個瀏海要不要就一直在這邊很無聊的問題,但是我還是一樣,兩到三年舊了會換一下機子嘛,因為大家都知道,兩到三年後很奇妙,它那個很容易就充不保電啊,電一下就掉了啊,那我又那麼容易摔,我這一支本來去年要換沒換,現在真的摔這個稀巴爛,所以是真的非換不可,所以也有想說要不要常常先啊,換一個折疊,但是就因為我實在很會摔東西,
[20:51] 所以我就不希望一隻折疊機掉到地上以後變成兩隻單機。
[20:59] 掉下去後會不會變兩隻?
[21:02] 所以我應該還是會買這個18 Pro。
[21:05] 那當然現在剛推出來聽起來都很熱,
[21:07] 因為剛剛我們錄音前趙華已經想說,
[21:10] 我懶得去門市排什麼預購啦,
[21:12] 趕快身邊有朋友的,有辦法的朋友應該很多吧,
[21:15] 所以就問一下,
[21:16] 結果大家說,欸這次好搶手喔,
[21:18] 每次上市第一天都這樣,
[21:20] 這次好搶手喔,什麼連VVIP都還沒有拿到什麼的,不會啊,我看到阿信不是拿到了嗎?
[21:28] 所以我的話應該就是這個18 Pro,18 Pro,那這次18 Pro的漲價幅度也比預期的小一點點,本來預期好像要漲200美元,現在好像漲100美元而已,所以市場就會很矛盾,第一個是漲不夠多,是不是零組件的成本又會被壓縮呢?
[21:49] 第一個是這樣,可是如果長多了呢?長多了,看記憶體這麼貴,它長這麼多,那就一定賣不好啊,誰要多加200美元去買啊?
[21:59] 都有話講,但是我想這次的定價策略,蘋果真的是比較折衷。
[22:04] 就是第一,它一定還是有吸收了一部分記憶體的漲價,但是因為蘋果有去跟提早,跟三星什麼的有簽所謂的長約,就是拿這個手機用的記憶體。
[22:15] 所以它在價格上肯定也不會真的說買到非常貴。
[22:20] 然後再來它一定也考量過真的漲多真的會影響到銷量啦。
[22:23] 因為他們今年的話這個銷售團隊換了一個新的leader嘛。
[22:27] 所以又是一個大家希望它在軟體上例如Siri的AI的靈活度上更好的一年。
[22:33] 這個期待一定希望iPhone 18還是要賣好一點。
[22:36] 它一定有做折衷才推出這個策略。
[22:38] 所以像今天瓶蓋股在修正,微泰可能就會覺得反而是可以去關注他們的機會。
[22:45] 其實我覺得漲價100美元真的是叫象徵性的漲價
[22:49] 因為其實說實話不是只有記憶體在漲價
[22:54] 其實蘋果這一次的這個新機很多的這個規格都漲
[22:59] 包括像是HDI版、軟版、然後這個電源
[23:05] 很多的規格都在漲
[23:06] 所以在那個規格都在漲的情況之下
[23:10] 它的成本勢必是墊高的
[23:12] 所以說才漲100美金,可能漲幅大概就是一成左右,真的我覺得有點點比我之前預估的漲幅還要少。
[23:23] 當然John Junos他的新的領導風格會不會比較貼合市場上面的一個趨勢,我覺得這個是有可能的。
[23:35] 因為現在它必須它現在兼負著要力往狂瀾的一個歷史的重責大任
[23:42] 所以我覺得它勢必想辦法會要做出一點突破
[23:46] 那因為它本身是工程師硬體出身嘛
[23:48] 所以我個人推測未來的這個蘋果
[23:52] 它在整個產品的一個多樣性可能會比較明顯的一個增加
[23:58] 因為蘋果真正最強在它的生態系嘛
[24:02] 他現在就希望能夠把這個生態系把他串聯起來
[24:06] 所以我覺得這個部分可能是可以大家去做後續觀察
[24:10] 但又因為他這次的漲價漲的幅度沒有如大家的預期
[24:14] 所以如果他的這個銷量沒有開出來很漂亮的話
[24:18] 其實我反而會擔心就是蘋果他下一季的財報數字會不夠亮眼
[24:24] 是
[24:25] 對
[24:25] 那至於說第四季剛剛趙後來問我我覺得第四季其實對台北股市來講Podc精彩的一季。為什麼呢?通常都是齁。對,因為我們從最近這一個月的觀察來看,其實我也在節目當中跟大家分享過好幾次,就是我有發現到接下來的行情可能不會是只有電子股在漲。
[24:49] 那種萬般接下品只有AI高的這個時代已經過了。
[24:54] 我覺得接下來的這一季可能就是除了電池之外包括像是傳產跟金融都還是會漲
[25:01] 所以我覺得第四季會是蠻好玩的一季
[25:04] 但是這個好玩的這一季基本上投資朋友在選股上第一個我覺得我們的這個眼睛可能要放寬一點
[25:14] 可能要放寬一點就是不要只盯著這個AI看
[25:18] 因為其實只盯著AI看有些時候不是說他們不好
[25:21] 而是現在這種股價不好做了
[25:24] 這股價的一個位階其實不太好做
[25:27] 所以如果你要挑 AI 真的是要挑有修正過的
[25:31] 那有修正過的 AI 這時候買
[25:33] 我覺得是用佈局的方式去做
[25:35] 而不是 因為現在只能要量小嘛
[25:37] 對
[25:37] 那所以這個地方 例如說像
[25:40] 我就講說像這個鴻海
[25:42] 或者是這個廣達這類的公司
[25:44] 基本上他們的營收的表現
[25:46] 尤其像廣達這一次八月份營收
[25:49] 年月雙增
[25:50] 而且他的年增竟然高達177.45%
[25:54] 哇這個這個percentage是有點讓人家跌破眼鏡對不對
[25:59] 連我的這個高中同學都跌破眼鏡
[26:03] 為什麼講到高中同學
[26:05] 因為他在廣達上班
[26:07] 哦哦哦哦哦哦
[26:09] 大家的同學應該都散落在各地
[26:11] 對對對
[26:12] 有可能要趕快召開一下一個高中同學會
[26:15] 不是但是在公司裡面的人往往真的比較沒有辦法看到全貌欸很奇妙
[26:21] 對對對對對對
[26:22] 我們公司怎麼那麼好啊?
[26:24] 我說對啊,你怎麼沒跟我講?
[26:26] 他說因為我沒發現
[26:28] 真的,大部分是這樣
[26:30] 對啊,所以我說今年的第四季我覺得基本上會蠻好玩的啦
[26:35] 會蠻好玩的,就是電子傳產跟金融都有機會動
[26:39] 然後電子股裡面當然其實有一些我覺得我現在在看的一些標的
[26:44] 例如說像世界先進
[26:46] OK,世界先進今天上漲2.87%
[26:50] 股價在這個地方已經橫盤大概兩個月左右的時間了
[27:01] 那這個時候呢當然我覺得就是該賣的大概也賣了啦
[27:07] 然後呢不想賣的人現在大概他也不會賣了
[27:10] 所以這個地方就是一個相對比較安全的位置點
[27:14] 那類似像這樣子的一個這個這個這個股價跟公司的一個表現
[27:19] 因為你想嘛這種成熟製程再加上它又是世界先進對不對有這個台積電的DNA嘛
[27:27] 最大的股東一個是台積電一個是國發會嘛
[27:30] 像光是這兩咖我覺得它的背景就那個後台就夠硬了嘛
[27:34] 那像這種有基本面的這種公司那現在股價優秀正那麼這麼低
[27:40] 其實蠻符合我的那個黃金右下角的一個條件
[27:44] 其他例如文業 文業其實也是修正很久了
[27:54] 它在之前的高點308 然後從7月底的低點180
[28:04] 這個其實大概腰斬在 差不多不到腰斬 但基本上下跌幅度算是很多的
[28:11] 8月份營收年月雙增,年增98.21%,月增8.43%
[28:21] 今年上半年的EPS是13塊錢
[28:30] 13塊錢看全年有沒有機會賺兩個股本
[28:34] 我覺得應該有機會啦
[28:35] 兩個股本情況之下,如果說它股價不到200塊錢,這個價格買下去應該也算是風險相對偏低,然後這個位置也算是符合我行情右下角的一個標準。
[28:50] 所以我在講說其實第四季有電子股可以做,有傳產股可以做,有集中股可以做,我覺得其實還蠻期待的。
[28:59] 好,文業啦,像剛剛講到的廣達或前兩天的偽創,其實蠻多的。
[29:05] 因為文業是世界第一大的通路商喔!
[29:07] 其實台灣有很多世界第一大!
[29:10] 對!文業是很厲害的通路商喔!
[29:13] 文業和大連大!對不對?
[29:16] 然後還有像研華也是世界第一的供應電腦
[29:19] 我記得我認識研華的時候
[29:20] 他還不是世界第一喔!是慢慢的長大的
[29:23] 那當然不要講台積電這類型的公司
[29:26] 日月光也是世界第一大
[29:28] 我們真的有蠻多很強悍的公司
[29:30] 好!文業發生什麼事呢?
[29:32] 文業當然也發生了所謂的發行GDR、發行海外可轉債,這樣的事情,大家一聽到就會覺得,哎呀,那你的股本就要擴大了,那你之後的獲利可能就要被稀釋了,就會先往壞的想。
[29:48] 還有就是有些股東可能賣老股、買新股之類的有一些想法來做套利,股價當然就上不去,這些都是一些短線的干擾。
[30:01] 其實我看到這種增資是為了未來要做更多生意的時候而打壓,它有它的道理嗎?
[30:07] 因為確實有可能股本變大之後獲利動能被稀釋,也確實有可能會有原股東的賣股壓力之類的,這些都是扎扎實實一定會發生的。
[30:17] 可是發生之後你是跟著賣嗎?不是吧?你應該是知道他後面要好嘛,他後面一定要接到更多的訂單,就像我們除息希望填息嘛,他一定要把他這個股本膨脹之後造成的獲利稀釋給拉回來,我們一定是希望這樣,他的營收成長一定要比他被稀釋的這個部分還要來得多,可以把他cover掉,這一定是我們對公司的期待,也是公司對自己的期待。
[30:40] 正常來說,一個有競爭力的大公司,他一定是希望這樣。
[30:47] 但有一些,我們也不否認,尤其是外匯公司故意給你在那邊拉高募資或是怎樣的,那個是另當別論,歷史上也有很多。
[30:55] 可是我想我們剛剛點名的這些一線大廠是不可能做這樣的事情的。
[31:00] 他們要的就是,即使我現在因為籌了這筆錢,我可能要舉債,我可能以後股本要膨脹,可是我賺得回來。
[31:08] 這也是回應到所謂大家聽到有一段時間美股這個AI資本支出一提高,哎呦,哎呦,你能回收嗎?先殺你再說。
[31:18] 可是等到市場氣氛轉好,等到他們真的開始回收了,你會覺得原來那時候是低點哦,原來廣達講這個籌資那一天殺到跌停板是最低點哦,就會有這種感覺。
[31:29] 所以我覺得韋泰很厲害,因為我也在看文業,文業就被這個事情有點干擾到。
[31:33] 事實上以他的獲利跟本益比來說,他的PE真的現在超級低,殖利率已經拉至少5、6%了。
[31:40] 所以就算以一個殖利率保底的想法,他都算是一個價值投資的公司出現了,何況他跟AI並不是全無關係。
[31:48] 我覺得這樣的公司在9月份反而看到蠻多的例子。
[31:53] 我真的覺得聽這個造華Podcast的投資朋友真的都賺到了。
[32:00] 真的都賺到了。
[32:01] 我害怕我害怕我摳腳趾。
[32:03] 然後其實這些那麼多法我剛才看了這個維剛他的這個無擔保的CP也通過了是也通過所以我要說的事情是大家有沒有注意到最近其實很多的公司都在籌資非常多喔台藥可能快定價了通貨基本的台藥他最近也很慘對好為什麼大家都要籌資其實大家都擔心接下來會升息因為升息之後呢這些所謂的籌資的成本就會增加
[32:32] 並且,在市場上,有很多人會想要投資,但他們的利息也會增加。
[32:38] 所以,這些聰明的上市櫃公司,就趁著還沒有升息之前,他們在這邊發行,不管是發現增,或者是發息幣,他們其實都在這個地方去做一個籌資的動作。
[32:56] 這幾個股價的成長期間,股價會不會有所上升?
[33:26] 這其實我們還是要回歸到就是它的中長線的基本面
[33:32] 如果基本面是好的話
[33:34] 那其實這個股價它修正完之後還會再往上再走高
[33:38] 事實上我們看一下這個6669的微影
[33:41] 它其實在Q2吧
[33:43] 應該是Q1 3月份的時候
[33:47] Q1抵Q2出了
[33:49] 它那時候就有做一個類似發海外的GDR的一個動作
[33:56] 那時候大家也覺得很很很訝異就股價就掉了可是後來他的股價修正完之後又往上衝了嘛往上衝所以我講這個給大家做個參考
[34:08] 就是我個人的話會反而因為他有投資的新聞被壓下來還是要講一件事哦就是壓下來剛有講合理就大家的擔心是完全合理那壓下來他可能會沉潛一段時間
[34:22] 這就是我對於股市的一個重點。
[34:27] 我認為,如果股市有一個大公司,股市就一定會往正面表列。
[34:32] 維穎股市的股市是一個雞零骨之亂。
[34:37] 前兩天我在空中跟大家講了一下,發現很多小股民十分困擾。
[34:42] 後來維穎股市有出面解決這個問題。
[34:47] 這幾個股票的發展會影響公司形象,例如,你不能不理我,你高價股不到一股也是幾千塊錢,你不能不理我。
[34:59] 現在有出面開記者會,會先接洽持股數1-15股的股東為特定人,用面額新台幣10塊讓大家認購,讓你把你的股數湊起來。
[35:14] 因為不足一股的人是沒有辦法在市場上買賣,他就擴大嘛,不是不足一股哦,1到15股的人都可以來做這個事情哦。
[35:23] 好,所以希望9月16號到30號的下午3點半是一個繳款的期限,那大家就去問一下自己的股務,有這方面需求的人,至少我已經聽到了他們有要出來處理這個基領股的問題了哦。
[35:37] 那我想這個在大家,因為你知道嗎,台股現在儲權的公司比較少,比較少,尤其是這樣大儲權的,就是本來他的想法是一張要儲兩張給大家的,沒有想到會發生這個意外,可能經驗上也少了一點,以後我想之後儲權的公司就會格外留意這件事情了,那有這個儲權的勇氣也代表,一樣啊,我以前很喜歡儲權的公司,就代表他們對未來的發展性一定是要把這個權給拿回來的。
[36:07] 儲權的好處當然是讓他們流通性也會更好,因為他們就從原本的快要8000一下變2000多,其實我那時候真的好心動,好想買威穎喔,那時候就4、5000塊錢,然後就想說不然等分拆好了,4、5000塊錢是4、500萬,因為我不太開槓桿,4、500萬這樣好像也是一筆錢,然後雖然你以後會一張變三張,後來發現不是一張變三張,還是要算一下,一張變成2.98多。
[36:31] 但是後來就哇!他變成快8000,所以他一張不是拆完1000多是2000多,自己有點惡萬,自己有點惡萬,自己念念碎念一下,空中碎念一下,就錯過啦!但是不過我有講原因,是因為我覺得他很好,他的成本是否足夠?
[37:14] 我的個性還是比較有自己的喜好,所以後來我就比較怕死掉維穎。
[37:19] 而且如果說以存股的想法,我可能就會覺得,那我搞不好存偽創或是廣達,我會覺得壓力沒有那麼大,然後殖利率也很好。
[37:29] 所以那時候的想法只是這樣,雖然他們的毛利率比維穎可能還要再低,可是都同一批嘛,都是組裝廠嘛。
[37:36] 所以評估之下就錯過他了,但也沒有什麼要非常非常覺得,呃,崔兄對主也沒有啦。
[37:43] 就是跟大家分享一個心路歷程這樣
[37:45] 那壓力是兩種不一樣的壓力
[37:47] 對啦
[37:48] 買微影就是那個自信上的壓力
[37:50] 對
[37:51] 然後廣達跟紅環是股價不漲的壓力
[37:53] 不會動
[37:55] 對啊
[37:55] 但是如果說你是在存股的角度上來看
[37:57] 我覺得
[37:58] 那你現在當時的希望就是存股
[38:00] 那其實存股主最擔心就是你的那個價差波動太大
[38:05] 所以反而應該他價差越不波動反而越符合你當時的需求嘛
[38:10] 對吧
[38:10] OK
[38:11] 然後維穎它其實ASIC相關的伺服器的部分算是純度比較高
[38:17] 所以這個其實也呼應到我們在今年可能第二季還年初的時候
[38:22] 我們有講說今年其實ASIC相關的這個族群
[38:25] 我覺得反而會比較有Momentum的成長性
[38:28] 所以後來就可以看到在維穎它的整個的一個股價跟營收的成長幅度
[38:34] 就稍微優於一些就是以NVIDIA為主體的這些AI伺服器組裝廠商
[38:40] 同樣的,像一些ASIC相關的這些公司,像大家也看到,像聯發科就衝得蠻快的。
[38:47] 然後像是世新KY,世新KY也是跟ASIC相關的業績有蠻高的一個關係的,那也是股價也都相對比較偏強勢。
[39:02] 甚至包括像是3433的創意。
[39:06] 今天雖然說行情不是這麼的好,但是今天人家的股價收盤上漲5.06%,又逼近了前波段的高點6490。
[39:18] 所以說我跟大家講,就是回到一開始所說的,就是如果接下來我剛剛的推測是真的,是正確的,就是關錢整理。
[39:29] 這些在關錢整理在城門下的這些公司應該很快就會先過高
[39:36] 如果我們看到這些在城門下的公司已經先攻進城門已經站上城牆上了
[39:44] 基本上我會覺得投資朋友就不要只是看
[39:48] 就一定要稍微做點動作
[39:50] 因為已經有第一批領先的族群已經先創高
[39:57] 後面就會有一些其他的狗會跟上,行情就慢慢慢慢的加溫,大概就是這樣。
[40:03] 好,講到世新KY,應該昨天的股會仔也有跟大家分享,
[40:08] 就是因為他的大股東亞馬遜跟高通又做了一個策略聯盟,
