[00:00] 歡迎收聽趙華於古惑仔第1036集
[03:22] 他有一個重大資本投入
[03:23] 我覺得好像股市
[03:25] 是因為這個在跌
[03:26] 不過我看他投那麼多的錢
[03:28] 你說什麼高階的東西
[03:29] 他做不出來
[03:29] 我覺得不太可能
[03:30] 所以我覺得基本上
[03:32] 他就是一個漲多的壓力的回檔
[03:34] 壓力回檔
[03:35] 那今天的盤中
[03:36] 其實除了臺積電們以外
[03:39] 臺積電最強嘛
[03:40] 其實今天老AI有一點點支撐
[03:42] 所以我覺得這個地方
[03:43] 其實莊家沒有鬆手
[03:45] 因為上個禮拜五
[03:46] 我就說這個盤應該
[03:48] 那個低點就在今天的盤中了
[03:50] 所以那個手其實都沒有鬆掉
[03:53] 所以看起來這個盤
[03:54] 我說過只要川普不亂講話
[03:56] 應該開紅盤是可期的啦
[03:58] 所以我還跟大家講說不要太保守
[04:00] 就是說你至少要五成的部位
[04:02] 在這個市場裡面
[04:03] 你才有辦法去對應這個市場
[04:05] 如果你實際上自營降到兩成三成
[04:08] 基本上一開紅盤
[04:09] 你可能就直接就傻眼了
[04:11] 因為你根本就沒有股票
[04:12] 你也不知道要怎麼追
[04:14] 不過我們今天就是來討論一下
[04:15] 到底還剩一天你還有什麼
[04:18] 這時候應該要立刻就要下手去買的
[04:21] 應該就要下手去買
[04:23] 因為今年其實有很多的趨勢非常明確
[04:25] 像今天盤中CPU就發動了
[04:28] 但CPU本來就是我們今年的大行情裡面的一個亮點的一個族群
[04:33] 所以就不用講
[04:34] 我們再跟大家講一講特化
[04:37] 還有像我們之前聊過的ABF
[04:39] 還有這幾天比較熱的探針
[04:41] 因為昨天影威才剛辦完尾牙
[04:43] 你看今天的CPU的龍頭光盛就率先拉出去
[04:47] 聯亞是在分盤的過程裡面
[04:49] 其實聯亞今天還是很強
[04:51] 雖然尾盤有被壓下來
[04:53] 所以你就可以知道說
[04:54] 其實整個CPO
[04:56] 它其實是連著
[04:58] 現在是最龍頭在漲
[05:00] 但是你看它的800G的光纖
[05:02] 其實也在漲
[05:03] 最近的波羅威
[05:05] 最近的華星光
[05:06] 其實它都在漲
[05:07] 我覺得
[05:08] 我個人覺得
[05:09] 可能都在漲一月營收
[05:10] 因為一月營收
[05:11] 因為二月要過年
[05:12] 所以大家一月營收
[05:13] 其實都很漂亮
[05:14] 那投信會買這個單
[05:16] 就是他們是買營收的
[05:18] 因為投信向來
[05:19] 他不會看很遠的股票
[05:21] 他會看比較近期的股票
[05:23] 外資比較看比較遠的趨勢
[05:25] 所以你看外資會給ABF很高的目標價
[05:29] 可是投信就一步一趨
[05:31] 所以我覺得目前看起來
[05:34] 今年就是CPOA落地的元年
[05:36] 所以他最有可能會大漲
[05:38] 為什麼
[05:39] 因為通常我們股票都是在漲那個
[05:41] 半夢半醒之間
[05:43] 就是不是很確定的
[05:45] 就是這種是投信很愛買的股票
[05:47] 就是他們喜歡買那個
[05:48] 反正我講
[05:49] 我講不對沒關係
[05:51] 反正你也沒有人知道誰是真的對
[05:53] 所以他就是買那個半夢半醒之間
[05:56] 但是就是逐夢踏實
[05:57] 就是看起來是有機會的
[05:59] 他就一直往上走
[06:00] 反而是低軌道衛星就比較弱
[06:02] 低軌道衛星比較弱
[06:03] 我們等一下再來講一下低軌道衛星
[06:05] 整個CPO族群
[06:06] 感覺上就是龍頭在往上爬了
[06:08] 所以你今年無論如何
[06:10] 你要買你上游
[06:12] 最上游沒有買到
[06:13] 你累金一定也是要有
[06:15] 例如說我們在講的像什麼
[06:17] IET啊
[06:18] 像環宇
[06:19] 如果你聯亞真的買不下手
[06:20] 全新這種
[06:21] 他們就是做零化銀的
[06:23] 他就是有機會
[06:25] 所以這種就是有壓回
[06:27] 你就找機會去買
[06:28] 所以你可以看到很多股票
[06:30] 基本上是你壓回沒有買
[06:32] 其實他就又上去
[06:33] 那今天有個租群
[06:35] 也開始熱起來了
[06:37] 就是特化
[06:38] 因為這個達星財
[06:40] 應該是過完年的第一天
[06:42] 他就要辦法說了
[06:43] 那這是董事長出來講法說
[06:46] 那達新才過去只要董事長出來講法說
[06:49] 他都會講的很中肯
[06:52] 就是說他不會像財務長出來講
[06:54] 就是財務長通常都不願意講太多
[06:56] 因為財務長怕後面就會被challenge
[06:59] 所以他就財務長不會講太多
[07:00] 但是董事長出來就講中肯
[07:02] 那你看以達新才而言
[07:04] 他去年的特化佔比大概是接近兩成
[07:07] 那今年的目標看起來就是往35%去
[07:11] 那你想喔
[07:12] 特化不到兩成
[07:14] 到要到35%
[07:15] 那不是五成的增長喔
[07:17] 是非常驚人的增長
[07:19] 所以感覺之前的特化
[07:20] 也整理一段時間了
[07:22] 它就開始要發動了
[07:23] 所以我記得我們上次來的時候
[07:25] 趙老爺問說
[07:25] 有朋友在問說
[07:26] 那個達星臺
[07:27] 到底什麼時候要發動
[07:28] 我說它的低
[07:29] 大量低已經站上了
[07:31] 大量中值也站上
[07:32] 可是大量高還沒有
[07:33] 那接下來它就站上了嘛
[07:35] 所以感覺它就是往上走
[07:37] 好那
[07:37] 當然往上走
[07:38] 還有誰會往上走
[07:39] 看起來是
[07:40] 這個新印才會跟著往上走
[07:42] 因為臺特化雖然也還在整理
[07:44] 可是臺特化的缺點就是
[07:46] 本益比太高
[07:47] 再來就是
[07:48] 他去年已經並那家公司進來之後
[07:51] 其實他今年的營收
[07:52] 可能在他增長的機會就不太大
[07:55] 他唯一就只能靠
[07:57] 另外新的產品
[07:59] 這個可能也還在認證的過程裡面
[08:02] 所以感覺上
[08:03] 這個族群是有機會
[08:04] 但是因為他的位階很低
[08:05] 可能也都會打代跑會跟得上
[08:07] 但是我覺得
[08:07] 第一個就是你要先看的就是達星財
[08:10] 其實你就是看新銀財
[08:11] 這兩家我覺得都是年後
[08:12] 很有機會往上走的
[08:14] 但是這個股票有個缺點
[08:17] 就是他們的漲勢沒有很凌厲
[08:19] 其實今年漲勢很凌厲
[08:21] 到後半段很凌厲
[08:23] 就是我們剛剛講CPU
[08:24] 還有什麼
[08:24] 還有探針
[08:25] 其實探針也非常的凌厲
[08:27] 探針昨天尹威辦了一個法術
[08:30] 那他目前是探針的龍頭
[08:32] 好那你就想說為什麼凱哥要特別提探針你會發現到說少數有一個族群是幾乎以前三大基本上都在2000塊以上的
[08:43] 這種產業其實在臺灣應該很少
[08:45] 因為其實臺灣就是
[08:47] 例如說大力光遠遠高高在上
[08:50] 然後其他就很低
[08:50] 或者是臺積電遠遠高高在上
[08:52] 聯電就很低
[08:53] 很少看到說
[08:54] 居然有三四家同類值的公司
[08:57] 都在2000塊以上
[08:59] 其實這告訴你說
[09:00] 他們是吃到很大的市場
[09:03] 吃到很大的市場
[09:04] 那這個也拜臺積電所賜
[09:07] 就是臺積電其實一直在扶植國內的廠商
[09:11] 所以你看像美國的豐飛特
[09:13] 或者是日本的這個大廠
[09:16] 基本上他們都沒有吃到很多臺電訂單
[09:18] 臺積電把訂單儘量撥給臺灣的廠商
[09:20] 只要你跟原廠這邊就是配合的好
[09:24] 那我臺電就是直接接受的
[09:26] 所以你可以看到像
[09:27] 影威他直接就是做NVIDIA
[09:30] 那像這個旺系
[09:32] 他主要做的就是博通
[09:34] 那金車其實就是
[09:38] 就是雜七雜八都做
[09:39] 但是我覺得大家會看金車
[09:41] 好像看得比較高一點
[09:42] 但我覺得對金車
[09:43] 我看得比較保守一點
[09:44] 為什麼
[09:44] 因為我們剛才講是碳增廠商
[09:47] 但是其實
[09:48] 金車沒有什麼碳增
[09:52] 金車的碳增比很低
[09:53] 他主要還是板卡為主
[09:55] 所以我們在講碳增卡
[09:57] 探針卡
[09:57] 其實大家常會把這個
[09:59] 會有點confuse
[10:00] 就是說探針卡
[10:02] 是不是就是探針
[10:02] 不是
[10:03] 常常會想
[10:03] 大家常常講poppy card
[10:05] 就是探針卡
[10:06] 但是其實真的做探針的
[10:08] 其實旺系很多
[10:10] 影威也有
[10:11] 但是金車真的就比較少
[10:13] 好那不用講
[10:14] 還有一家也有
[10:15] 那個就是庸智
[10:16] 庸智
[10:17] 但是庸智
[10:18] 他是跟聯發科榜比較緊
[10:20] 所以他在這一波
[10:21] 因為今年聯發科也不好
[10:22] 所以庸智今年就被壓
[10:24] 壓著在這個地方
[10:26] 但我覺得明年應該也會不錯
[10:27] 因為我們上次有講到
[10:28] 聯發科已經開始往ASIC切入了
[10:32] 所以就是為什麼創意跟世新KY
[10:34] 相對股價不那麼強的原因
[10:35] 就是有一個很大的IC計算廠
[10:38] 他也有IP
[10:40] 他要切入這個市場
[10:42] 所以你就無形之中
[10:44] 就會形成一個壓力
[10:45] 但是市場其實沒有什麼太大的察覺
[10:47] 市場都一直把創意的對手
[10:50] 就直接看世新KY
[10:51] 世新KY的對手就直接看到創意
[10:52] 可他們從來都沒有想到說
[10:53] 還有一隻沉睡中的巨龍
[10:55] 才剛起來
[10:56] 這個就是聯發科
[10:57] 因為手機
[10:58] 其實就聯發科而言
[10:59] 雖然是很大的business
[11:01] 可是就像我講
[11:02] 其實不容易賺錢
[11:03] 所以他一定要往IP這塊來
[11:05] 又往IP這塊走
[11:06] 所以他去接了Google的TPU的
[11:09] 這個IP
[11:10] 所以庸置後面
[11:12] 這個就有機會
[11:12] 就是他隨著聯發科
[11:14] 會進入整個Google的體系裡面
[11:16] 好我們大概講到這邊
[11:18] 先休息一下
[11:19] 因為凱哥他
[11:22] 每次來都很認真
[11:23] 他在紙上面
[11:24] 都會去寫他剛剛講的一些東西的順序跟邏輯
[11:27] 真的是很猛
[11:29] 然後也有很多人私訊我
[11:30] 就是非常喜歡凱哥講這些分析
[11:32] 也蠻依賴凱哥的
[11:33] 所以等一下我們也會把
[11:34] 大家可能最常問的
[11:36] 像前兩次都有去聊到達心財
[11:38] 那今天達心財就大漲了
[11:40] 所以這個有喜歡達心財的朋友
[11:42] 應該就不要太擔心這件事情
[11:45] 而是你要去思考說
[11:46] 你要不要在比較好的位置做介入
[11:49] 那今天凱哥一來就跟我說
[11:51] 也有人問他趙鶴到底怎麼了
[11:53] 我有在網路上
[11:55] 看到大家在討論趙鶴
[11:56] 那因為以我的個性
[11:57] 為什麼不講趙鶴
[11:58] 雖然他有一個趙
[11:59] 因為他以前給我的印象
[12:01] 就是說他並不是在各方面
[12:03] 他是一個領頭羊的地位
[12:05] 比較是跟隨者
[12:06] 那他骨心又比較活潑
[12:08] 所以我比較沒有聊
[12:08] 但等一下如果我們聊低軌衛星
[12:10] 凱哥也會有求必應
[12:12] 就是有人問
[12:13] 也會順便來聊一下
[12:14] 到底低軌衛星裡面的大哥二哥
[12:16] 跟跟隨者
[12:17] 我們該如何來做判斷
[12:18] 那當然只剩下一個交易日了
[12:20] 我想大家該走該留
[12:22] 凱哥之前
[12:22] 上禮拜來理財達蘭秀
[12:24] 講了一句話
[12:25] 我那天其實很嚇到
[12:26] 因為凱哥本來是星期五boy
[12:28] 禮拜五的boy
[12:29] 那因為這禮拜
[12:30] 沒有禮拜五要開盤了
[12:32] 就今天來
[12:32] 禮拜五他在理財達蘭秀
[12:34] 就講了一句說
[12:35] 當天的低點
[12:36] 就會是年前的最低點了
[12:38] 對 接下來就只會漲
[12:39] 但凱哥
[12:40] 今天漲這麼多
[12:41] 應該也有點出乎你的意料之外
[12:44] 我本來不認為
[12:45] 年前大盤可以創新高
[12:47] 但我認為會佔為3萬2
[12:48] 但是我認為創新高
[12:50] 這點就有點出乎我的意料之外
[12:52] 那當然昨天臺積電的ADR
[12:54] 率先創新高嘛
[12:55] 你就不用講
[12:56] 我說看起來今天比較擔心的是
[12:58] 會不會是一個人的武林嘛
[13:00] 就是臺積電的武林
[13:01] 那其他就慘了
[13:02] 那這樣其實也不好
[13:04] 尤其是越接近過年
[13:05] 法輪的錢是沒有在擔心過年的
[13:07] 所以法輪可以一直把錢
[13:08] parking在股市裡面
[13:10] 可是散戶會害怕
[13:11] 所以就形成兩個極端
[13:13] 就是有人是一直在進市場
[13:15] 有人是在撤退市場的
[13:17] 所以如果你今天的股票
[13:19] 是收在均價下
[13:21] 幾乎收最低
[13:22] 也不要太擔心
[13:23] 比如說
[13:23] 我們之前有講過的ABF
[13:25] 其實我覺得也不用太擔心
[13:27] 因為看起來今年就是好
[13:28] 今年就是好
[13:29] 那我們剛才講到低軌道衛星
[13:31] 今天感覺又有一些是往下走的
[13:33] 但我覺得對低軌道衛星
[13:35] 我有比較不同的想法
[13:36] 就是說
[13:36] 今天早上
[13:38] 我們家孩子就問我說
[13:40] 他看了一下
[13:41] 好像某個頭顧
[13:43] 某個大型頭顧
[13:44] 把整個低軌道衛星
[13:45] 全年的市值的增長
[13:47] 好像也只抓十幾趴而已
[13:48] 他問我說我怎麼看
[13:49] 我就說那如果只有四幾趴
[13:51] 就是不是特別好
[13:54] 但是我說其實我之前也有講過
[13:56] 就是其實SpaceX
[13:57] 其實並沒有新的訂單進來
[13:59] 那阿瑪隆基本上
[14:00] 他是預備有新的訂單進來
[14:02] 所以他就在一個
[14:03] 清黃不羈的情況之下
[14:04] 所以他就很容易出現什麼
[14:05] 出現漲多的整理
[14:07] 因為他不是這麼的強
[14:09] 我們剛剛舉像探針卡
[14:11] 這幾家公司
[14:11] 基本上每一家
[14:12] 都是賺幾十塊的公司
[14:14] 他沒有什麼可以讓你challenge的
[14:16] 就是訂單很多
[14:17] 獲利很好
[14:18] 訂單有多獲利很好
[14:20] 所以它怎麼樣
[14:20] 它就是要漲
[14:21] 它跟機體也不一樣
[14:22] 機體是有一單沒一單
[14:24] 機體是吃一年休息五年
[14:26] 所以應該把它一年的EPS
[14:28] 儲上五年的分攤
[14:29] 你去算它的合理的EPS
[14:31] 大概每年是落在多少
[14:33] 所以它跟探針卡是不一樣
[14:34] 探針卡是不一樣
[14:35] 探針卡這個是一上去
[14:37] 它就下不來
[14:37] 一上下不來
[14:38] 好 那我們剛剛就講到說
[14:39] 看起來今天
[14:40] 華通還在領頭
[14:42] 它還在往上帶
[14:42] 因為它確實就是
[14:44] 整個一個
[14:45] 低軌道衛星裡面
[14:46] PG板這個產能最大的
[14:48] 那之前我們就講過
[14:51] 其實耀華就沒有這麼的好
[14:52] 是跟隨者
[14:53] 對他是跟隨者
[14:54] 而且他是有新廠沒有錯
[14:56] 可是他的機臺目前是還沒ready
[14:58] 所以他是在景氣很熱的時候
[15:01] 大家想象很大的時候
[15:02] 他會跟著上
[15:03] 可是當市場開始有點猶豫的時候
[15:06] 他可能就會下來
[15:07] 一樣招也是
[15:08] 如果你仔細看
[15:09] 我們很常在講的是大量
[15:11] 尤其是我特別
[15:12] 我在達南區會講說
[15:13] 大量高大量中止大量低
[15:15] 其實你仔細去看
[15:16] 趙鶴的大量利息早就破了
[15:19] 而且如果你仔細去看
[15:20] 其實好像有好幾個戶頭
[15:22] 什麼嘉義臺中
[15:24] 他們都在高檔都賣股票了
[15:26] 而且是大賣
[15:27] 所以像這種股票
[15:28] 你就要很小心
[15:29] 就是表示什麼
[15:30] 有主力已經出脫了
[15:32] 主力已經出脫了
[15:33] 那他又不是龍頭
[15:34] 雖然他有接到一些單子
[15:36] 但是我今天為了趙鶴
[15:39] 我特別去查一下
[15:40] 因為其實他真的
[15:42] 低軌道衛星的接收端
[15:45] 其實做的不多
[15:46] 它比較大的一塊還是STB
[15:48] 好那STB基本上
[15:49] 就跟智益做的是一樣的
[15:51] 那它就一樣會卡在
[15:53] 記憶體的缺貨的問題
[15:54] 所以雖然有大單
[15:56] 人家智益有大單
[15:57] 可是智益後來
[15:59] 也是做得很辛苦
[16:00] 為什麼
[16:01] 因為記憶體就是缺
[16:02] 所以我覺得趙肯定
[16:03] 也有這個問題
[16:04] 所以為什麼
[16:04] 大戶反而在那個高點
[16:06] 就選擇先出場
[16:07] 所以如果你個人有
[16:09] 我覺得你也是要考慮
[16:10] 先做一部分的減碼
[16:11] 對
[16:12] 再對應這個行情的走勢
[16:14] 那凱哥因為現在熱騰騰的
[16:16] 除了這個臺積電的營收
[16:18] 真的是一月創歷史新高
[16:20] 四千多億
[16:20] 讓大家非常的亮眼之外
[16:22] 但也有要提醒的
[16:23] 剛剛講到二月可能就
[16:25] 然後再來華邦電
[16:27] 今天說法說
[16:28] 然後財報說實話
[16:30] 剛剛拿到
[16:30] 我跟凱哥有小討論一下
[16:32] 我們有點小吃驚
[16:33] 因為他第四季呢
[16:34] 是負0.15
[16:36] 第四季反而沒有賺錢
[16:37] 然後第四季跟第三季
[16:39] 比起來是三綠三降
[16:41] 全年是賺0.88
[16:44] 那當然YY以跟去年的第四季
[16:46] 就前一年的第四季來比是成長
[16:48] 可是卻是季節
[16:50] 凱哥怎麼去解讀
[16:51] 臺積電跟華邦電
[16:52] 我覺得臺電基本上
[16:55] 會有提前拉貨的問題
[16:56] 因為有過年
[16:57] 所以這沒有什麼好講
[16:58] 但華邦電這就比較tricky
[17:00] 就是它的毛利率是往下走的
[17:03] 那我們就有講過
[17:04] 其實廠商開始在吸收的時候
[17:07] 基本上是會keep住價格
[17:10] 可是你不可能說是毛利率往下降這毛利往下降就有點奇怪就是說那代表你之前是先你的財務作帳的部分你是先做先進先出
[17:21] 還是你是後進先出
[17:23] 這個就是有一個財報上的疑慮了
[17:26] 疑慮了
[17:26] 那基本上在這個地方的記憶體
[17:29] DDR4其實我們上禮拜來就有講
[17:31] 其實有點長不太動
[17:33] 長不太動
[17:33] 而且你看到記憶體的股價
[17:36] 其實也有點開始走勢分歧
[17:37] 那麼講說其實我們看到華邦電
[17:39] 其實相對比較弱
[17:40] 我記得那時候講說
[17:41] 機體三雄
[17:42] 我只看到一家還OK的
[17:43] 就是南亞科
[17:44] 可是我也很擔心說
[17:45] 他會不會也是最後一個
[17:47] 要下來的
[17:49] 所以
[17:49] 但我講到這後
[17:50] 其實昨天還大漲
[17:52] 昨天還大漲
[17:53] 所以我覺得
[17:53] 我好像講錯了
[17:55] 對
[17:55] 可是你可以看到
[17:56] 其實通路商的這個部分
[18:00] 或者是做模組的
[18:01] 其實在這幾天的股價
[18:03] 相對就比較沒那麼的強
[18:05] 所以我覺得
[18:05] 這邊也在呼應一件事情
[18:07] 就是
[18:07] 記憶體目前看起來
[18:09] 報價已經可能到頂了
[18:11] 但是
[18:12] 各家廠商其實
[18:14] 因為政策的不同
[18:16] 其實有不同的
[18:18] 業績表現
[18:20] 就是說
[18:20] 模組廠有的是營收先拉
[18:22] 有的是後拉
[18:23] 像上次講
[18:24] 威剛可能就拉了
[18:25] 那世俊可能就壓著不拉
[18:26] 對
[18:27] 那其實還是有一些模組廠
[18:29] 其實狀況還是很好
[18:30] 因為有些模組廠
[18:31] 已經把幾乎口袋的錢
[18:32] 全部拿出來買模組了
[18:34] 這個真的很難去
[18:35] 已經把錢都用在買
[18:37] 存貨上面
[18:38] 所以我覺得
[18:38] 他們一定可以
[18:39] 撐住一段時間
[18:40] 就是至少有一兩個季度
[18:42] 業績都會很好
[18:43] 但是一旦
[18:45] 我說他們只要
[18:46] 獲利結出來
[18:47] 可能就要很小心
[18:49] 可能就要很小心
[18:50] 那華邦電也有可能
[18:51] 他是把去年的一些東西
[18:54] 打在去年的財報上面
[18:56] 因為他也知道說
[18:58] 記憶體是好的
[18:59] 所以就把這些打掉
[19:01] 打掉之後
[19:02] 所以你要留意的是
[19:03] 這個東西
[19:04] 可是明天就要封關了
[19:07] 所以我覺得你就不要賭
[19:08] 不要賭
[19:09] 對不要賭
[19:10] 因為我覺得
[19:11] 你要賭他那個
[19:13] 就是底部有爆大量
[19:15] 然後拉起來這件事情
[19:16] 我覺得年後再來做就好了
[19:18] 你明天最後一天
[19:19] 你不要賭這件事
[19:20] 因為如果他假設明天是鎖住的
[19:22] 隔天鎖住了
[19:23] 那我覺得你這個時間
[19:25] 你可能都會吃不好睡不好
[19:26] 凱哥他還有一個資本支出
[19:29] 他2025年資本支出是55億
[19:31] 2026年現在公佈資本支出要421億
[19:34] 因為南亞科已經做一個很大的宣示
[19:37] 這到底要怎麼判斷
[19:38] 他七倍以上的資本基礎
[19:39] 應該是
[19:40] 應該講是短空長度
[19:42] 應該他有打了什麼東西
[19:43] 在他的第四季的財報裡面
[19:45] 但是我就說你也不要賭
[19:47] 因為你不能賭說
[19:49] 他明天會壓下去之後
[19:51] 拉起來留長下影線
[19:53] 留長下影線
[19:54] 但是我覺得
[19:55] 我們之前講過
[19:57] 其實在記憶體的族群裡面
[19:59] 其實看起來是
[20:00] Flash是比D-Land要更穩一點
[20:02] 更穩一點
[20:03] 因為你可以看到
[20:04] 法人的買賣超的變化裡面
[20:06] 其實旺宏投信一直站在買方的
[20:09] 他沒有什麼太多的買進賣出
[20:11] 可是華邦電就有投信賣了
[20:14] 所以我說相對來講
[20:16] 目前看起來
[20:17] 機體裡面比較穩定的是Flash
[20:18] 那迪潤這一塊
[20:20] 我覺得要統整
[20:21] 就是說他要
[20:23] 一整個氣勢要走出來
[20:25] 否則這個就很麻煩
[20:26] 就是有人跑人不跑
[20:27] 那你一臺四架的馬車
[20:30] 有兩匹馬不跑
[20:31] 那這臺馬車怎麼動得了
[20:33] 就很難
[20:34] 好
[20:35] 所以凱哥真的很厲害
[20:37] 因為這個華方電視
[20:39] 剛剛臨時加考題
[20:41] 但凱哥對於記憶體
[20:42] 其實之前就有跟我們分享了
[20:44] 應該一兩個禮拜前就提到
[20:46] 雖然他還是看好這個產業
[20:48] 目前往上的趨勢不變
[20:50] 而且我們看到三星海力士
[20:51] 這個美光SANDISK
[20:52] 他們的股價都還是有往高處走
[20:54] 可是他的震盪幅度會大
[20:56] 我覺得凱哥一直很在意的是
[20:58] 你到底能不能抱得住
[21:00] 這樣型別的股票
[21:01] 就像明天最後一天
[21:03] 假如你的股票在明天是
[21:05] 大碟
[21:06] 即使後面封關之後
[21:08] 你知道後面的產業情是好
[21:10] 情緒上都會不好
[21:11] 例如這兩天股市在漲
[21:13] 那很多人就有講說
[21:15] 他的手上的股票
[21:16] 光是沒漲就覺得十分難受了
[21:19] 對
[21:20] 所以才會講說
[21:22] 也不要去怨嘆說
[21:24] 在大碟那一天
[21:25] 好像沒有逢高調節
[21:26] 在大漲的時候
[21:27] 恨自己抱的股不夠多
[21:29] 要回頭來檢視
[21:30] 到底你自己抱股的信念是
[21:32] 處在哪一個位置上面
[21:34] 對不對
[21:35] 那凱哥來每次都幫我們
[21:36] 全體的做完檢視
[21:38] 那我們現在只剩一天了
[21:40] 我們去講講年後
[21:41] 因為現在很多人
[21:42] 會拿統計的資料來講
[21:43] 說新春開紅盤
[21:45] 勝率高達70%
[21:47] 當然統計有統計的道理
[21:49] 就是例如說
[21:51] 通常我們在新春
[21:52] 開紅盤的時候
[21:52] 是美國也已經
[21:53] 這個美股的超級財報
[21:55] 都已經結出來了
[21:55] 那現在如果在AI的情況下
[21:57] 大家財報應該都不錯
[21:58] 那可能會刺激開紅盤
[22:00] 還有就是亞洲
[22:01] 你封關封了那麼久
[22:03] 那當然大家蓄積能量
[22:04] 是想要買股票之類
[22:05] 但現在我們是幾乎要
[22:07] 可能要最高來收封關了
[22:09] 那封關後開春
[22:11] 你覺得行情要延續的動能
[22:13] 會在哪裡
[22:14] 我覺得我們剛剛講到
[22:15] 其實今年有幾個族群
[22:18] 是市場不可以忘記的
[22:19] 就是一個就是
[22:20] 記憶體不要看
[22:21] 因為記憶體現在比較分歧
[22:23] ABF這很篤定會往上走
[22:25] 再來是CPO
[22:27] 再來是探針
[22:28] 但大家都好貴好貴
[22:30] 那所以你就只能趁什麼
[22:32] 趁壓低的時候
[22:33] 只要有壓低
[22:33] 對壓低的時候
[22:34] 因為你可以看到
[22:36] 我們剛剛講像探針
[22:37] 基本上
[22:39] 今年就很大的一個市場
[22:41] 又在臺灣
[22:41] 就是研發科的IP
[22:43] 研發科去幫這個Google
[22:45] 設計這個TPU
[22:46] 這是很大的一個規模量
[22:48] 很大規模量
[22:49] 那現在看起來
[22:50] 影威因為他已經忙著
[22:52] 接NVIDIA訂單
[22:53] 所以他大概沒有什麼機會
[22:53] 切進來
[22:54] 那旺系過去
[22:56] 他做的對手
[22:57] 其實就是
[22:58] 那個波抗
