[00:00] 欢迎收听赵华谀古货载第1102集
[06:50] 個人每個產業面業績都會受到顯著的影響
[06:56] 所以我們永遠都在盯這個
[06:58] 所謂的四大雲端業者的資本支出
[07:01] 可是來到今年
[07:02] 我個人覺得今年是沒有問題的
[07:05] 今年的資本支出是大幅優逸期
[07:07] 可是他慢慢遇到一个问题
[07:09] 就是资本支出的量
[07:11] 跟四大云端业者的自由现金流
[07:13] 几乎已经非常接近了
[07:15] 快没钱了
[07:16] 简单来说
[07:17] 简单来讲快没钱
[07:18] 有没有没钱的问题
[07:19] 没有
[07:20] 可是现在的问题卡在哪里
[07:22] 不是说他钱付不出来
[07:23] 是你明年的增长要从哪来
[07:26] 因为大家看27年又有高速增长
[07:29] 可是问题是你以前是说
[07:32] 我有一百块
[07:33] 我每年赚一百
[07:34] 然后每年花六十
[07:36] 七十八十
[07:37] 问题是现在一年赚100的情况下
[07:40] 他一年就要花100
[07:41] 那问题现在100够不够花
[07:44] 够可是问题是明年你要120的人
[07:46] 你到底要从哪来
[07:47] 因为有个问题
[07:48] 除非有个状况就是你明年要花120
[07:51] 你能够赚120
[07:52] 问题是他现在获利增长速度
[07:55] 其实是跟不上他的资本支出的成长速度
[07:59] 所以大家原本有点担心
[08:00] 可是也还好
[08:02] 明年明年再说
[08:03] 最起码今年是OK
[08:04] 可是现在解方来了
[08:06] 就是回答要讲到
[08:08] 他现在营收的
[08:10] 这个四大云端业者占了五成
[08:12] 另外的五成从哪来
[08:14] 他就讲到企业啊
[08:16] 或者是这种中小型的
[08:18] 这个云端业者
[08:20] 另外就是主权政府的需求
[08:22] 各国的主权政府的需求
[08:24] 去填补另外的五成
[08:26] 就是告诉他
[08:27] 以前大家都只看这个四家的
[08:30] 这个所谓的花的钱
[08:32] 慢慢的其中这些只占了一半
[08:35] 现在结论来讲
[08:36] 应该说他的需求是遍地开花
[08:39] 另外的五成金来自各个不同的地方
[08:42] 所以代表这个成长的速度
[08:44] 是非常非常快速的
[08:46] 所以结论来讲就是
[08:47] 去解决刚刚提到
[08:49] 年初再讲这个资本支出
[08:51] 再持续大幅扩增
[08:53] 那就变成
[08:54] 有些人乐观的当然是觉得很好
[08:57] 但是有些人担忧的
[08:58] 这个也是有道理的
[09:00] 那目前这个解方出来之后
[09:02] 就可以告诉大家
[09:03] 未来即使四大云端业者
[09:05] 这个资本支出的动能稍微降低了
[09:08] 另外一半只要持续快速扩增
[09:11] 这个需求是掉不下来的
[09:13] 所以结论呢
[09:14] 我就说整体的法说
[09:16] 我觉得这才是真正最重要的重点所在
[09:19] 所以我刚刚提到
[09:20] 反正结论不真的事实
[09:22] 不是只有数字很漂亮
[09:23] 真的是经验
[09:24] 因为他提到的论点
[09:26] 这是之前都没有提到的
[09:28] 所以股价到底涨不涨
[09:30] 我真的觉得是另外一回事
[09:32] 但是要提醒大家
[09:33] 就是之前也提及
[09:35] 其实辉达的法术会
[09:37] 就像台积电的法术会一样
[09:39] 其实从二三年以来
[09:41] 几乎没有让大家失望过
[09:43] 只有好跟好到不可思议
[09:45] 这两种
[09:46] 那我刚刚讲
[09:47] 像这种经验
[09:48] 就算是好到不可思议
[09:49] 照理讲
[09:50] 它应该是要
[09:51] 这个所谓的隔天
[09:53] 应该是要开高的
[09:54] 但是我只能说
[09:55] 就算过去好到不可思议
[09:57] 隔天开高
[09:59] 其实未来一周
[10:00] 它也是会拉回
[10:01] 几乎是这个必然的现象
[10:03] 就台积电法说一样
[10:05] 就是一个礼拜就是得拉回整理
[10:08] 所以辉达的法说也是一样
[10:10] 所以可以预期就是
[10:11] 下礼拜稍微震荡拉回
[10:14] 本来就是可以预期的方向
[10:16] 但是过往经验平均
[10:19] 真的就只给一个礼拜的机会
[10:21] 敢不敢买就看个人
[10:22] 一个礼拜之后你不上车
[10:24] 他也不会等你
[10:25] 他该走他就走
[10:26] 所以结论就是
[10:28] 其实而且这个对比划出来之后
[10:31] 辉达的股价
[10:32] 当然跟台湾的AI族群
[10:34] 有非常直接的正相关
[10:36] 所以结论就是
[10:37] 未来一周
[10:38] 其实操作上也不用
[10:39] 真的不用太积极
[10:40] 就是说今天大涨
[10:42] 也不要觉得说
[10:43] 今天没买到
[10:44] 会不会就V型反转
[10:46] 我个人觉得真的不用紧张
[10:48] 其实下礼拜的时间点
[10:50] 其实还有很多
[10:51] 震荡拉回买进的机会
[10:53] 好 我觉得今天的大涨
[10:54] 如果对比起三月
[10:56] 川普跑出来说
[10:57] 其实伊朗有接受和谈
[10:58] 然后大涨
[10:59] 他有一个意义在
[11:00] 就大家现在最担心的是什么事情
[11:03] 那三月当然大家担心
[11:05] 油价跑上去了吗
[11:06] 每一月打越离谱啦
[11:07] 然后这个通膨
[11:08] 不是说现在就不担心通膨
[11:09] 但现在担心通膨的同时
[11:12] 也会有点担心
[11:13] 说这些AI的大厂们
[11:15] 能不能持续地
[11:16] 缴出非常好的成绩单
[11:18] 这个正好跟大家聊过
[11:20] 就是说现在我会觉得
[11:21] 什么东西是黑天鹅
[11:22] 我觉得通膨不容易
[11:23] 因为你一直在讨论
[11:24] 大家拼命在讨论
[11:25] 然后川普也很关注
[11:27] 然后大家会觉得
[11:27] 会不会升息是黑天鹅
[11:29] 反而就有点不可能
[11:31] 那如果今天是
[11:32] 辉达的财报很烂
[11:34] 我觉得那个就完了
[11:35] 那个就是绝对是
[11:37] 让市场有可能
[11:38] 从修正变成崩盘的可能
[11:41] 但他缴数非常好成绩
[11:42] 他第一季的营收
[11:44] 年增就85%
[11:45] 毛利率维持在75个百分点
[11:48] 很多人都说
[11:48] 辉达会被其他XX厂商
[11:50] 等等的分食他的毛利
[11:51] 让他hold住
[11:52] 然后他的云端业务
[11:54] 也年增92%
[11:56] 这些都非常吓人
[11:57] 他那么的庞大
[11:58] 一个市值世界第一的公司
[12:01] 他可以缴出年增
[12:03] 九成这种东西
[12:05] 这吓死人了
[12:06] 翻倍年增
[12:07] 而且刚刚
[12:09] 这个明翰哥也提到了
[12:10] 他的结构
[12:10] 不是只来自其他的
[12:12] CSP的云端大厂
[12:13] 政府
[12:14] 因为现在美国
[12:15] 把这个晶片
[12:16] 当做什么
[12:18] 当做军备战略资源
[12:20] 对不对
[12:20] 之前就说去外交的时候
[12:22] 为什么要带华人去
[12:23] 要去中东
[12:23] 去哪边要把他带去
[12:25] 就是用这个换钱回来
[12:26] 或者是换地位回来
[12:28] 我在你那边
[12:29] 已经不是像以前的殖民方式
[12:31] 可是我帮你盖一个AI资料中心
[12:33] 它也是一种很奇妙的
[12:35] 很奇妙的扩张领土的方式
[12:37] 也许有点讲远了
[12:39] 但回来
[12:39] 今天台股的大涨
[12:41] 我觉得它反映的
[12:42] 就是对于AI这件事情松口气
[12:45] 这个事情现在看起来没问题
[12:47] 这个事情看起来
[12:48] 大家一边赚钱赚钱的对象还很广越来越广落地了这件事情让大家注入一个强心针但是就好了吗我也认同这个明汉哥讲的当然不会这样就好了
[12:59] 因为过两天你一定会听到一些
[13:01] 有的没有的杂音
[13:02] 因为利多没有涨
[13:04] 是不是什么问题
[13:05] 然后等一下油价又跑上来了
[13:08] 或是有什么事情
[13:09] 总是会有一些小意外
[13:11] 让这段时间难免来回测试
[13:13] 可是我觉得今天就是要证明说
[13:16] 下一次再跌的时候
[13:18] 请大家还是保持信心好吗
[13:20] 因为现在看起来
[13:22] 基本面是持续的往上
[13:24] 这个态势还没有改变
[13:25] 对应该这样讲
[13:27] 刚刚提到这个
[13:28] 我还是觉得啦
[13:30] 比较好的现象就是
[13:31] 毕竟今年以来
[13:33] 这个指数涨幅这么强
[13:35] 那也看到这个
[13:37] 而且这个是一个很明显的
[13:40] 这个结构的分化
[13:41] 那应该说全球
[13:43] 其实大家冷热感受
[13:46] 是落差非常非常大的
[13:47] 那可以看到
[13:48] 这个重点就是在
[13:50] 非半韩股跟台股
[13:52] 这三个市场快速喷出
[13:54] 我们不要讲说国际间
[13:56] 光你持有的这个指数
[13:59] 到底是这个所谓的
[14:01] 非半还是道穷
[14:02] 其实人热感受就落差
[14:04] 非常非常大
[14:05] 那更何况刚刚提到
[14:07] 就是台股韩国股市
[14:09] 大涨情况下
[14:10] 其实亚洲其他市场
[14:12] 其实也没有涨
[14:13] 所以最后结论
[14:14] 确实都在这个
[14:16] 所谓的AI身上
[14:18] 那当然啦
[14:19] 我就说长太快
[14:20] 大家会担心啊
[14:21] 那在这个时间点
[14:23] 你要在上扬的过程当中
[14:25] 长了那么多
[14:26] 你要持续延续
[14:28] 你必须要给人家看到数字
[14:30] 才有办法继续
[14:31] 那所以我刚刚提到
[14:33] 就是说每一次
[14:35] 我们在看这个财报的时间点
[14:38] 就三个阶段
[14:39] 第一个阶段永远都是
[14:40] 台积电打筹证
[14:42] 中间就是卡四大云端业者
[14:44] 到最后就是挥打财报
[14:47] 这是三个阶段
[14:48] 这次来讲台积电我刚刚提到
[14:50] 他是好不能讲经验
[14:52] 但是中间的四大云端业者
[14:55] 很意外的四家还有三家
[14:57] 能够上修资本支出
[14:58] 都是比原本预期好
[15:00] 因为为什么说会有说比预期好
[15:03] 就是因为第一季的资本支出真的太高
[15:06] 所以你要第二季再上修
[15:08] 我那时候觉得有点要求过于苛刻
[15:12] 结果四家里面又有三家
[15:14] 持续往上拉升
[15:15] 这都是有点意外
[15:17] 到最后挥达出来又是经验
[15:19] 所以这代表是整个AI组织
[15:21] 还是没太大的改变
[15:23] 当然这个就是
[15:24] 目前今年以来
[15:26] 涨这么多的一个底气
[15:28] 代表这个局势来讲还没有改变
[15:32] 所以就是说后续而言
[15:33] 应该说
[15:35] 但那还要凭良心讲
[15:37] 涨多了
[15:38] 有压力是很正常的现象
[15:40] 但是无论如何要记得一件事情
[15:43] 就是长线一定是回归基本面
[15:45] 那你短线涨多的情况下
[15:47] 你无论是这刚刚提到的
[15:49] 技术面筹码面
[15:51] 任何有问题的
[15:53] 这个拉回要记得一件事情
[15:55] 这个都只是
[15:56] 就我们的角度
[15:57] 这就叫做修正
[15:58] 这绝对不可能导致趋势的转变
[16:01] 趋势的转变从二三年到现在
[16:04] 能够指数从一万多来到四万多
[16:07] 完全就是因为这个基本面的加持
[16:10] 到底现在四万二四万三
[16:13] 是不是高点
[16:14] 你必须要看到它基本面反转
[16:16] 如果基本面没有反转
[16:18] 代表现在就不是高点
[16:19] 那刚刚提到
[16:20] 从台积电四大云端业者
[16:23] 到回答
[16:24] 又是最后的这个回答
[16:25] 最后是一场这个经验的表现
[16:28] 那我个人还是要重申
[16:30] 就是未来这个礼拜拉回
[16:32] 大家投资人还要信心
[16:34] 重申就是我还是觉得
[16:36] 这个记得一件事情
[16:38] 只要在操作上
[16:40] 你看圖說故事的
[16:42] 真的都不容易賺錢
[16:43] 不要在上去的時候就很有信心
[16:46] 一跌
[16:47] 尤其是跌破月線
[16:49] 因為我昨天看到
[16:50] 一當跌破月線
[16:52] 就這個媒體就很多人
[16:55] 又講到誰誰誰
[16:56] 講到說現在開始破線了
[16:59] 大家可能警覺心要拉高
[17:01] 就沒想到今天就瞬間打臉
[17:04] 我個人覺得
[17:05] 這也不代表說這個是錯誤的
[17:07] 只是我不是說來到這個月線就要
[17:10] 就一定會強勢反彈
[17:12] 老實講今天的漲幅我也很意外
[17:15] 但是我要重申就是
[17:16] 就二三年有AI以來的特色
[17:20] 它長期就是一個多頭趨勢
[17:22] 記得就是在大漲的時候
[17:25] 反而應該要相對冷靜
[17:27] 但是記得一件事情
[17:28] 破線的時候反而是機會
[17:30] 我覺得以前的那個觀念要稍微轉變一下
[17:34] 就是你漲很多
[17:35] 当破线的时候你会很害怕
[17:37] 可是你要记得会害怕的是那种
[17:40] 讲未来很厉害
[17:41] 但是现在还没有数字
[17:43] 但是已经涨很多了
[17:45] 破线的我就觉得
[17:46] 真的是要警觉性
[17:48] 但是如果他的数字是一直进来
[17:51] 然后一直证实
[17:52] 他现在还在快速成长
[17:54] 反而拉回是机会
[17:55] 我觉得这边真的就是呼应
[17:58] 这个明翰哥讲的
[17:59] 对我来说最重要的事情
[18:01] 不是今天涨了1000多点
[18:02] 因为我觉得今天涨1000多点
[18:04] 非常有机会再回测的
[18:06] 就跟三月是
[18:07] 类似的一个情况
[18:08] 这个市场是很有意思的
[18:10] 就是会很fomo
[18:12] 我们常常讲一句老话
[18:14] 涨时重视
[18:16] 跌时重值
[18:17] 为什么这句话这么的重要
[18:18] 不只用在选股上面
[18:20] 涨的时候重视
[18:21] 就是说资金会开始堆积
[18:23] 它基本面其实没变
[18:25] 基本面都是很好
[18:26] 可是现在市场就开始觉得
[18:27] 我应该给它
[18:28] 30倍 50倍 100倍
[18:30] 本益比都没有关系
[18:31] 势头在强的时候
[18:32] 每天涨停板也没有关系
[18:34] 涨时就是一个重视
[18:35] 可是跌的时候
[18:36] 你要如何知道你敢进去捡
[18:39] 或是你敢买在比较便宜
[18:41] 而不是追高的位置
[18:42] 那你就要去思考
[18:43] 刚刚我们一直在提到的
[18:45] 整个AI的基本面有没有改变
[18:47] 这也是我讲说
[18:48] 我不太在乎
[18:49] 挥打要不要在财报公布后大涨
[18:51] 可是我在意挥打绞出来的成绩
[18:53] 有没有让大家非常的惊艳
[18:54] 只要挥打绞出来的成绩非常棒
[18:57] 事情就没有结束
[18:58] 震荡洗刷下跌
[19:00] 你就会知道你要高兴
[19:02] 因为那是机会
[19:03] 今天大涨
[19:04] 我想也不见得
[19:04] 大家都很高兴
[19:05] 一定会想
[19:06] 早知道前几天
[19:07] 都多减一点
[19:08] 对不对
[19:09] 糟糕
[19:09] 前几天不应该卖的
[19:10] 今天就涨
[19:11] 这些都是
[19:12] 不太应该出现的新进
[19:13] 也源自于说
[19:15] 这一路以来
[19:16] 谷贺仔和敏汉哥
[19:18] 都很希望
[19:18] 让大家知道说
[19:19] 如果您是相信
[19:20] AI的基本面
[19:21] 我们就看着
[19:22] 这些大厂的基本面
[19:23] 那下跌的时候
[19:24] 我们要有自信
[19:25] 去做减东西的动作
[19:27] 对
[19:27] 好
[19:28] 那我想今天
[19:29] 也没有挑特定族群
[19:31] 因为刚刚跟敏汉哥讲说
[19:32] 今天什么族群都在涨啊
[19:34] 那最强的当然是被动元件啦
[19:36] 我们就从被动元件来切好了
[19:38] 因为我们也一路讲了
[19:39] 非常多遍的被动元件
[19:41] 从他很落后
[19:41] 从他长势不连贯
[19:43] 到现在成为盘面上最强的族群
[19:45] 以及国际的陈泰明
[19:47] 听说现在是台湾新首富
[19:50] 因为昨天我们来一位外资达人
[19:53] 他也提到说
[19:54] 外资为什么对国际的目标
[19:56] 都给的很含蓄
[19:57] 再涨就全部都到价了
[20:00] 那我们昨天有探讨一些问题
[20:02] 不过我觉得先不见得探讨国际本人
[20:04] 我们先从被动元件这一个AI里面
[20:07] 算是受惠程度也许相对没有那么高
[20:10] 也是最慢来起涨这个族群来看
[20:12] 他的起涨对于明翰哥来说意义在哪里
[20:15] 这些小股长得有道理吗
[20:16] 我这样讲
[20:18] 我觉得这个所谓被动元件
[20:22] 就我的定义
[20:23] 我会觉得有一点点尴尬
[20:25] 尴尬
[20:25] 对
[20:26] 他真的是卡在有点中间
[20:29] 这个族群可不可以叫做AI
[20:32] 凭良心而言
[20:35] 就我个人定义
[20:36] 我不会把它拿入AI
[20:37] 现在还没办法
[20:38] 对
[20:38] 或者是我们这样讲
[20:40] 有沾到的也不是都没有
[20:41] 对
[20:41] 应该说啦
[20:43] 就是有没有沾到
[20:45] 我个人定义就是说
[20:47] 要记得一件事情
[20:49] 就是
[20:49] 辉达是从2023年中间
[20:53] 讲出这个
[20:55] 整个说这个AI论点
[20:57] 加上Chad GDP
[20:58] 当时大家认同之后
[21:00] 从23年下半年开始
[21:02] 可是23年其实几乎大家都没有数字
[21:05] 大家都在认为未来会有远景
[21:08] 但是从24年开始
[21:10] 数字就慢慢出来
[21:12] 25年GB200开始之后
[21:14] 其实获利几乎就是用喷发的
[21:17] 所以结论就是已经两年的
[21:19] 这个给你时间展现了
[21:22] 那大部分绝大部分
[21:23] 真的比较标准的AI
[21:25] 其实前两年的获利都是非常好
[21:28] 那一直到现在可能进入GB300
[21:31] 下一代Vera Rubin也要出来的
[21:33] 其实看起来这个趋势都还在
[21:36] 就这样的族群
[21:37] 我个人觉得是比较扎实的这个AI族群
[21:40] 那回过头来就是提到被动元件的部分
[21:45] 其实结论也很简单
[21:47] 到底真假
[21:48] 我直接跟大家讲
[21:51] 这个所谓市场资金是极度有效率
[21:54] 我个人定义你可以发现很多的族群
[21:58] 其实他是今年四月之后才大涨
[22:01] 那我就说慢了两年之后
[22:04] 三月他不是AI
[22:05] 四月之后突然变AI
[22:07] 那我就跟大家讲
[22:09] 其实老实讲并不是那么合道理
[22:11] 我讲一个重点就是说
[22:14] 国巨的部分他有一个特色
[22:16] 就是他的数字还不差
[22:17] 就是营收他是创高的
[22:19] 但是他其中营收创高
[22:21] 他有一个原因
[22:22] 是因为他合并的关系
[22:25] 其实如果回归合并拿掉
[22:28] 它的基本面也不差
[22:29] 它有在成长
[22:31] 但是其实并没有出明显的
[22:33] 叫做喷发的阶段
[22:35] 或者是回过头来
[22:37] 它很难去拆解
[22:38] 因为有个好处就是
[22:40] 它不是
[22:41] 它的
[22:41] 它有没有跨入AI
[22:43] 我不能说没有
[22:45] 只是说
[22:45] 为什么我定义说
[22:47] 它不是AI的原因
[22:48] 是因为它的AI的比例
[22:49] 其实对比而言
[22:50] 真的是相对偏低的
[22:52] 它现在能够数字看起来还不差
[22:54] 是因为它整个
[22:56] 应该说整个被动元件的架构
[22:59] 除了AI之外
[23:00] 其他也慢慢的好转
[23:02] 所以会导致看起来数字还不错
[23:05] 但是所以我觉得这个产业来讲
[23:07] 应该是正向的没有错
[23:09] 可是我个人觉得
[23:11] 就我的概念来讲
[23:13] 我还是觉得
[23:14] 如果凭良心而言
[23:16] 我不能把它纳入到AI族群当中
[23:19] 什么个股类似这样的架构
[23:22] 我觉得其实就这段时间
[23:25] 老实讲蛮多的
[23:27] 就是
[23:28] 我听听看
[23:29] 比如说联电
[23:31] 功率元件
[23:31] 承受制成
[23:32] 对
[23:33] 然后或者是面板
[23:35] 对不对
[23:36] 面板有另外的议题
[23:37] 全创
[23:37] 对不对
[23:38] 然后另外包含联发科
[23:40] 是
[23:41] 因为这些它有一个共同主权
[23:43] 包含大立光
[23:45] 是
[23:45] 就是它有一个概念就是
[23:47] 都是这两个月股价特别强
[23:50] 就是以比重来说
[23:52] 他们不太能算是
[23:54] 因为AI而大幅受惠
[23:56] 但是他们有小幅受惠
[23:57] 以及原本的产品线
[23:59] 由起来
[23:59] 发哥是更特别
[24:00] 发哥是整体评价上升
[24:02] 因为他在开完法说会后
[24:04] 讲到他Ethic的营收会翻倍
[24:06] 但他整体营收是很小很小的一块
[24:08] 可是光就是这句话
[24:10] 即使今年不成长
[24:11] 市场也让他翻倍了
[24:13] 对
[24:13] 我会觉得这些族群
[24:15] 他有几个共同的特色
[24:17] 第一个就是
[24:18] 他们这几年来几乎没涨
[24:21] 他们在一个非常非常低的一个位阶
[24:24] 那基本面来讲
[24:26] 可以每一个族群的状况不一样
[24:30] 但是有一个共通点
[24:31] 最差的状况已经过了
[24:33] 应该这是可以认同的
[24:35] 因为每个
[24:36] 我刚刚讲
[24:37] 被动元件算是
[24:38] 我刚刚讲这些族群之中
[24:40] 算是比较好的
[24:41] 就是我们不讲AI
[24:42] 它本身族群就已经在复苏
[24:45] 他们族群复苏之外
[24:46] 本来他们蛮多小厂都能获利
[24:48] 对
[24:48] 就是说看得出来
[24:50] 整个族群当中
[24:52] 大家都有好转
[24:54] 但是这个好转并不是真的
[24:56] 并不是因为AI的关系
[24:58] 是因为他的产业还不错
[25:00] 可是我刚刚提到
[25:01] 大部分的整个
[25:03] 在目前的喷发阶段
[25:05] 就我的概念
[25:06] 我还是觉得
[25:07] 这个是所谓的地位阶造成
[25:10] 当然每个人看法不同
[25:12] 有时候讲
[25:13] 人家会讲说
[25:14] 这不是啊
[25:14] 这个是AI怎样
[25:15] 我只是很简单的道理
[25:18] 就是这些族群都是4月之后膨胀
[25:21] 晚了两年
[25:23] 然后呢
[25:24] 今年第一季也没有
[25:25] 突然第二季之后就变神了
[25:27] 我个人还是觉得
[25:29] 这个是一个市场氛围所造成
[25:31] 这不是真的基本面
[25:32] 并不是说他们业绩面在第一季不好
[25:35] 第二季现在突然快速喷发
[25:37] 尤其我刚刚提到
[25:39] 我们刚刚提到的个股
[25:40] 真的比较数字的就只有国巨其他的部分来讲包含4月营收其实都还是持平的所以大家買的只有兩種一種是話題另外一種就剛剛提到
[25:53] 就像發哥一樣
[25:54] 他認同的是他明年會有快速爆發
[25:58] 那尤其是外資給的報告
[26:01] 就是在講明年
[26:02] 尤其他講那麼多
[26:03] 有時候講明年可能數字還不夠
