[00:00] 歡迎收聽趙華盈古貨載第1046集
[02:42] 乖離非常大
[02:44] 又領先美股非常多
[02:45] 感覺上會順勢也來一下修正
[02:48] 但是呢
[02:49] 今天早上看
[02:49] 好哦
[02:50] 跌下來七百點啊
[02:52] 我在比700點掛的更低一點的位置
[02:55] 就幾乎都成交不了
[02:56] 但是成交不了我也沒有很失望
[02:59] 因為說實話今天只是去測5日線
[03:01] 因為乖離太大
[03:02] 連10日線都還非常的遙遠
[03:05] 所以也並沒有符合我要大幅加碼
[03:07] 只是那種感覺是突發性事件來一下
[03:09] 好我先請浩也哥解讀一下
[03:11] 到底這個週末所謂伊朗的美伊戰爭
[03:14] 或者伊朗以色列的戰爭
[03:16] 它到底現在看起來影響多大
[03:19] 因為油價確實是噴了
[03:21] 然後黃金也漲了
[03:22] 可是臺股不動如山
[03:24] 我覺得今天感覺上
[03:26] 有點叫複復得正
[03:28] 複復得正嗎
[03:29] 因為原本就是沒有伊朗這件事情的時候
[03:32] 原本臺股在這個復臺期
[03:34] 或臺值夜盤
[03:35] 大概我們算一下
[03:36] 那復臺期兩天美股的一個下跌過程裡面
[03:39] 累計大概1.7%的跌幅
[03:41] 所以理論上來講
[03:43] 今天台股如果沒有伊朗那件事情
[03:44] 大概就先跌600點
[03:46] 但將伊朗那件事情
[03:47] 今天早上這個美股三大期的電子盤
[03:49] 直接開點一個百分點
[03:51] 然後剛剛提到油價大漲
[03:52] 金價大漲
[03:53] 參觀了幣選商品全面經濟大漲的時候
[03:55] 我覺得開盤就有那種恐慌性的賣壓出來
[03:58] 所以恐慌性賣壓一旦出來之後
[04:00] 就很多人會像趙華跟我一樣
[04:03] 在開盤想要去撿便宜
[04:04] 所以那個買盤力道
[04:06] 就讓原本可能臺股
[04:07] 也許如果沒有伊朗這件事情
[04:09] 我覺得這個禮拜可能上半周
[04:10] 都會是呈現這種盤疊
[04:12] 但因為這種恐慌性賣壓
[04:13] 一次宣洩完畢之後
[04:14] 馬上就會急拉向上
[04:16] 一旦急拉向上
[04:17] 整個FOMO情緒又出來了
[04:19] 大家會覺得早盤沒有撿到東西的
[04:21] 趕快去追盤面上的強勢股
[04:22] 所以我覺得這個狀況底下
[04:25] 會跟大家講
[04:26] 可能這震盪的情況還會延續下去
[04:30] 因為今天我覺得
[04:31] 他只是把那個利空疊加的一個情緒
[04:34] 稍作宣洩
[04:35] 但利空的跟粉的癥結點都沒有改變
[04:39] 因為上個禮拜美股在疊的
[04:41] 第一個輝達疊兩天
[04:43] 今天晚上看起來輝達會連疊三天
[04:45] 所以輝達所代表的AI的一個教主
[04:49] 看起來他股價比較疲弱
[04:50] 那這個會讓整個盤市
[04:53] 像我們講大盤大股票會漲不太動
[04:55] 那第二件事情就是伊朗的問題
[04:57] 雖然說這個哈米尼已經這個過世身亡了
[05:01] 那大家會覺得說好像群龍無首
[05:03] 但是目前看起來所謂的伊朗
[05:06] 是蔓延著這種復仇的情緒
[05:08] 所以我覺得情緒在高漲的時候
[05:10] 我覺得地緣政治的風險也沒有那麼快解決
[05:12] 你可以看到一直到今天為止
[05:15] 相關的美軍的基地啊
[05:16] 然後以色列啊
[05:18] 黎巴嫩啊
[05:18] 各地還是陸續傳出來一些被攻擊的事件
[05:21] 所以我覺得這種所謂的恐慌的情緒的蔓延
[05:24] 那當然我們不是所謂的地緣政治專家
[05:27] 我會簡單去說
[05:28] 大家去看油價的表現就好了
[05:30] 那如果以現在我們大概從禮拜天到今天早上
[05:34] 一直在看相關的華爾街的報告
[05:37] 其實講到一個重點啊
[05:38] 就是隻要油價在近期沒有往100美元一桶去做一個突破的話
[05:44] 那代表這個事件
[05:45] 我覺得是得到一定的控制
[05:47] 那市場的一個反應
[05:49] 頂多就是在高檔
[05:50] 橫向震盪
[05:51] 等到這個恐慌情緒過完之後
[05:52] 就回到多頭軌道
[05:53] 但假設油價
[05:55] 因為這個和母之海峽
[05:57] 被封鎖的話
[05:58] 那可能接下來油價
[06:00] 真的突破一百美元一桶
[06:01] 它走的劇本
[06:02] 就會是當初俄烏戰爭
[06:03] 快速的這種通膨的上揚
[06:06] 導致那個時候
[06:07] 我們記得臺股
[06:08] 大概跌了十個月
[06:09] 因為就是一個
[06:10] 連準會從原本的降息的預期
[06:12] 轉為升息的預期
[06:13] 整個全球資金開始快速的迴流
[06:15] 那這當然對股市相對不利的
[06:17] 所以我們跟大家講
[06:18] 就剛剛提到的
[06:19] 第一個上個禮拜
[06:21] 美股下跌的主要的理由
[06:23] 都還沒有一一的排除
[06:25] 那加上說地緣政治的風險
[06:27] 油價你說今天有點開高走低
[06:29] 但是還是漲了八九八
[06:31] 所以這個我覺得都是
[06:32] 後續可能這一拜市場會震盪的
[06:35] 一個主要原因
[06:35] 所以也剛剛跟大家講了
[06:37] 今天早上你真的沒有撿到便宜的
[06:40] 我覺得可能這一拜還是有機會
[06:42] 可以陸陸續續
[06:43] 可以做進場的動作
[06:44] 好
[06:45] 因為我今天早上
[06:46] 也有在我的臉書發文
[06:47] 也是就很簡單的講說
[06:49] 本來開朋友去撿
[06:50] 後來掛低的委託單
[06:51] 都沒有成交
[06:53] 但是呢
[06:53] 我也沒有急
[06:54] 剛剛開場已經講了
[06:56] 因為今天就是一個
[06:57] 測五日線而已
[06:58] 而且後來收繳了
[06:59] 所以五日線都沒有破
[07:00] 代表乖離很大
[07:02] 臺股非常強這件事情
[07:03] 當然我知道有很多朋友
[07:06] 例如說做右側交易的
[07:07] 或者是說喜歡買強很強的
[07:09] 他們就會去喜歡
[07:10] 我有看到有一個人寫
[07:11] 我覺得很傳神
[07:12] 他們會去買
[07:13] 這個今天比昨天股價更高的
[07:15] 明天比今天股價更高的
[07:17] 就強勢股
[07:17] 這是一種做法
[07:19] 但是是不是適合到
[07:20] 每一個人的個性就不一定
[07:21] 因為確實有的強勢股
[07:23] 你不買
[07:23] 像這個低軌衛星
[07:24] 但是你不買
[07:26] 馬上就上去了
[07:27] 你早上一個猶豫
[07:29] 它馬上上去了
[07:29] 但是你要做多久
[07:31] 或是它如果一個
[07:32] 比較重的回檔
[07:33] 能不能承受
[07:34] 以華通來說
[07:35] 有一天突然就跌到
[07:36] 快要跌停板
[07:36] 可能大家就會嚇呆
[07:38] 那我的話
[07:39] 根據我之前
[07:40] 喜歡在月線附近接
[07:42] 那目前當然手上就不可能完全沒有持股
[07:45] 所以當你有持股的時候
[07:46] 即使今天早上並沒有撿到
[07:48] 那也沒有關係啊
[07:49] 因為你至少有一個底是
[07:50] 好啦就算今天上去了
[07:52] 明天再上去好不好
[07:53] 啊你手上有股票啊
[07:55] 你並不是沒有
[07:56] 當然我也常常強調說
[07:58] 如果真的是非常低持股
[08:00] 手上完全沒有的
[08:01] 然後今天看到機會
[08:02] 我看到有人說
[08:03] 發現這個低掛都成交不了
[08:05] 就直接追市價
[08:06] 如果是因為你的持股不高
[08:08] 你很怕錯過
[08:09] 我覺得先建立持股沒有什麼關係
[08:12] 或者是更積極的
[08:13] 今天用市價追完
[08:14] 我看到尾盤
[08:15] 其實有一些人可能當衝的
[08:17] 或是今天已經賺個三五趴的
[08:20] 把它砍掉
[08:20] 也有
[08:21] 所以今天尾盤稍微有一個
[08:22] 麥芽跑出來
[08:23] 那我也很認同漢文說的
[08:25] 這個禮拜這些事情利空
[08:27] 會不會因為這個伊朗最高首領
[08:29] 哈明尼死掉了
[08:30] 就沒有事了
[08:31] 恐怕還不是這個樣子
[08:33] 尤其是因為美股太弱勢了
[08:35] 美股今天其實電子企業
[08:37] 還是沒有好
[08:38] 我們跟美股脫鉤這麼遠
[08:40] 總會有一個人表態
[08:41] 要不就是你美股振作一點
[08:43] 來跟雅谷做一個表態
[08:45] 要不然終究有一天
[08:47] 你還是有可能回去跟美股靠攏的時候
[08:49] 例如說你的乖離修正
[08:51] 倒不一定是因為這個戰亂
[08:53] 或是因為油價噴了通膨不降息
[08:55] 可能有綜合性的因素
[08:57] 讓臺股可能還是稍微有迴盪的壓力
[08:59] 所以我也認定說
[09:01] 今天早上沒有撿到的朋友
[09:02] 不要難過
[09:03] 也沒有錯過什麼
[09:05] 今天早上撿到
[09:06] 然後已經決定這兩天短線出的朋友
[09:08] 也很恭喜你
[09:09] 因為我看到很多人撿到也是很高興
[09:11] 對這就對了
[09:12] 沒有撿到也不要難過
[09:13] 撿到高興都要開心
[09:15] 因為這就是市場
[09:17] 有波動就有機會
[09:18] 但今天看起來
[09:19] 中小型股真的還是非常強
[09:21] 一定會讓人家很formal
[09:22] 看到今天很多人跑進去搶
[09:24] 低軌衛星
[09:25] 細光子我最近發現
[09:27] 真的是願意分享說
[09:28] 去搶的人變得太少了
[09:30] 可能是因為都漲到天上去了
[09:32] 對啊因為細光子真的很可怕
[09:34] 現在有這個光盛
[09:36] 今天是2400
[09:37] 然後聯亞
[09:38] 聯亞我記得好像已經到1400了
[09:40] 因為我們兩個在講說這個AOI
[09:43] 一天漲了60%
[09:44] 其實這檔美國的光通訊公司
[09:46] 不是第一次這樣
[09:47] 它在二三十塊的時候
[09:49] 有一天一天就漲到五十塊
[09:51] 真的很嚇人
[09:52] 美股就這樣
[09:53] 但它疊起來也是不含糊
[09:55] 就一下就疊回原點甚至更低
[09:57] 但總之現在光通訊
[09:59] 在美股看起來真是有夠強的
[10:01] 對因為不止在美股的光通訊
[10:03] 在這段時間裡面
[10:04] 真的是美股我覺得強勢族群之一
[10:06] 因為美股在這段時間
[10:08] 其實從二月份到現在
[10:10] 如果以斯拉指數來講
[10:11] 紛紛大家都跌破季線的關卡
[10:13] 所以你看到臺股
[10:15] 還有這個韓國股
[10:16] 是沒有道理的強
[10:17] 但是整體上來看
[10:19] 美股還有當中的亮點
[10:20] 第一個就是細光指數群
[10:22] 從AAOI
[10:23] 從科西倫
[10:24] 從Lumenton
[10:25] 相關的跟細光有關的
[10:27] 光通有關的股票
[10:28] 都非常的強勢
[10:29] 那第二塊是跟半導體的裝置材料
[10:32] 有關的一些個股
[10:33] 像在所謂應用材料
[10:34] 艾斯摩爾
[10:35] 然後一些什麼
[10:37] 科磊等等的
[10:38] 都看到他們強勢在上漲
[10:40] 也跟這個今年全球的一個基地體大廠
[10:43] 跟臺積電的資本支出有關
[10:45] 所以美股我們會跟大家講說
[10:47] 雖然他是有點疲弱不振
[10:49] 但是一些次題材是非常強勢在創高
[10:52] 所以你也可以解讀到今天盤面上
[10:54] 第一個矽光子還是很整齊的在走高
[10:56] 不管是在環宇KY
[10:57] 然後所謂的光盛上權
[11:00] 那矽光子有很多又被關回去了
[11:02] 所以這些都會是矽光子在盤面上
[11:05] 我覺得是強勢的證明
[11:07] 那也代表說這些被關在裡面的股票
[11:09] 如果股票沒有轉弱的話
[11:11] 都會有一些補漲的效應
[11:12] 所以你最近看到
[11:13] 波羅威股價800多塊然後華信光就跟上來瞭然後IETKY股價400多塊然後環野KY就跟上來瞭然後萊德光電股價也快要1000塊了萊德光電真的超猛
[11:26] 對所以我覺得矽光子這一塊
[11:28] 只要我們講
[11:29] 美股的矽光族群到今天入股
[11:32] 今天入股也是一樣
[11:33] 開地走高還翻紅
[11:34] 它的CPU相關概念股
[11:36] 也是全面性的大漲
[11:37] 所以我覺得全球
[11:38] 對這個題材的認同度非常高
[11:40] 那你手上有的當然恭喜你
[11:42] 如果你手上沒有的話
[11:43] 我覺得現在叫你去追那些
[11:45] 一兩千塊的股票
[11:46] 是有點追不太下手
[11:48] 那可能就要去尋找
[11:50] 同樣未接裡面相對
[11:52] 可能是
[11:53] 他可能本來沒有
[11:54] 後來做一個補償的動作
[11:56] 比方說你可以看到
[11:57] 像我們之前
[11:58] 有跟大家分享過的
[11:59] 6789的財育
[12:00] 那也是臺積電認定
[12:03] 他的矽光聯盟的一檔股票
[12:05] 確實
[12:05] 但財育他的獲利
[12:06] 就跟的真的比較慢一點
[12:08] 對
[12:09] 但是因為他有矽光題材
[12:10] 是臺積電的一個
[12:11] 所謂的子弟兵
[12:12] 所以股價我覺得最近加速的上漲
[12:15] 現在股價也快到400塊了
[12:16] 那我覺得就是你如果說
[12:18] 矽光子真的看到那種
[12:19] 很高在天上不敢追的
[12:21] 你不妨去找一下
[12:22] 可能第一個臺積電相關供應鏈的
[12:24] 第二個可能是跟美股相關供應鏈的
[12:27] 一些矽光子個股
[12:28] 不管是接到單
[12:29] 或傳聞有接到單
[12:30] 我覺得短線都會有機會
[12:32] 這是矽光族群
[12:33] 我覺得目前盤上看起來還是很強勢
[12:35] 那再來就看到
[12:36] 半導體相關的裝置跟材料股票
[12:39] 沒錯
[12:39] 今天裝置還是很強
[12:40] 但材料就有點漲跌不一
[12:42] 其實矽光一開始長
[12:44] 說實話光聖 坡若微
[12:45] 這個聯亞對不對
[12:47] 華星光跟上
[12:49] 懷宇KY很強
[12:50] 但是你會發現像聯軍
[12:52] 什麼迅星KY
[12:54] 重達KY
[12:55] 還有剛剛講到的可能彩玉
[12:57] 他們就相對很弱
[12:58] 是真的橫盤整理
[13:00] 或是甚至有的還往下走
[13:01] 然後所以那個時候
[13:02] 有分別的時候
[13:03] 你就可以觀察
[13:04] 那些地位級有沒有上來
[13:05] 但現在我看大家都上來了
[13:07] 大家都上來了
[13:08] 所以這是矽光的部分
[13:10] 對那我們講半導體裝置跟材料
[13:12] 其實目前來看
[13:13] 就是因為臺積電真的太強了
[13:15] 所以相關個股
[13:16] 你會發現到像最近
[13:17] 無成市的漢唐跟亞翔
[13:20] 全面性的往上走高
[13:22] 那所謂的半導體裝置
[13:24] 不管是師製成類似COWAS的紅碩
[13:27] 雖然股價沒有創業率新高
[13:28] 但也慢慢跌到1800塊左右
[13:30] 那甚至說你看到智盛
[13:32] 這些所謂矽光大聯盟
[13:34] COWAS大聯盟的股票
[13:35] 也慢慢帶上來了
[13:37] 那當然更強的是
[13:38] 類似所謂的宏進這樣的股票
[13:40] 雖然今天是跌停板
[13:42] 但我覺得這個應該是
[13:43] 主動型的ETF在換股
[13:45] 真的
[13:46] 宏進說實話
[13:47] 不曉得當初抽到的人
[13:49] 還有沒有在
[13:50] 抽到1400多塊而已
[13:53] 後來變4000多塊
[13:54] 如果還有在
[13:56] 就算今天吃一根跌停板
[13:57] 也沒有差
[13:58] 對
[13:58] 除非是真的追在4000以上
[14:00] 應該不至於
[14:01] 對
[14:01] 我覺得一般來講
[14:02] 這個股票應該不太會去追高
[14:04] 所以今天我覺得
[14:06] 會這樣子殺下來
[14:07] 應該是這個法人自己在做一個互相砍殺的動作
[14:10] 那你看到宏靖你看到尹威
[14:13] 尹威是五千多塊的股票啊
[14:15] 然後再來就是金測啊
[14:17] 旺系這些相關的高價的
[14:19] 跟臺積電相關公司的股票
[14:20] 我覺得都沒有特別的弱
[14:22] 那只是說最近這些個股的部分
[14:24] 也開始變快速的輪動
[14:26] 比方說你看到最近的達新材料
[14:28] 股價一度創高之後
[14:29] 連續兩天的一個重挫下來
[14:31] 那他主要還是反映到
[14:33] 他公佈出來的一個年報
[14:34] 跟他目前的一個展望
[14:37] 跟股價的位階
[14:38] 好像有一點點不匹配
[14:39] 特化可能都會有一點這樣的狀況
[14:41] 所以大家陸續公佈年報
[14:43] 要稍微注意一下
[14:44] 對但是長線來看
[14:46] 我覺得他們都還是好公司
[14:47] 只是說你在操作這些所謂的
[14:50] 大家都知道他好的股票的話
[14:52] 但你追高就會有一定的風險
[14:54] 但也不是全面性的轉弱
[14:56] 最近我覺得整個所謂的
[14:58] 半導體的一些材料股票
[15:00] 你看到像中沙
[15:01] 這股價也是不知不覺到500多塊了
[15:05] 但是中沙的本益比跟這個
[15:07] 剛剛講到達星彩這一類的
[15:09] 還是不太一樣
[15:10] 對因為中沙畢竟有硬體
[15:11] 我覺得它有一些硬體裝置的廠商
[15:13] 他們真的會有
[15:14] 比較基本好的獲利層面
[15:16] 對所以我覺得整個所謂的
[15:18] 臺階相關概念股
[15:19] 其實目前來看
[15:20] 都還是有一些多方的結構
[15:22] 比方說你看到像這個
[15:24] 做這個相關裝置
[15:26] 檢測裝置的智茂
[15:27] 股價也不是學到1515塊
[15:30] 也是歷史新高
[15:31] 所以你可以看到
[15:32] 我們剛剛提到兩個重點族群
[15:34] 不管在矽光子跟半導體的裝置跟材料
[15:37] 他們都有指標的領頭羊在帶動往上
[15:41] 所以矽光子你看美股的表現
[15:43] 那這個臺灣本身的臺建供應鏈
[15:46] 只要臺建股價不轉弱
[15:48] 我覺得都還是有機會維持多方的輪動
[15:50] 那再一塊就是剛剛提到的低軌衛星
[15:52] 那因為今天下午是MWC大展的一個正式的登場
[15:56] 暖身了登場了3月2號了
[15:58] 對MWC在西班牙
[16:01] 所以以他們時間來看的話
[16:03] 應該就是我們這個錄影的時間
[16:05] 對
[16:06] 因為每一年真的好多朋友都會去這個展
[16:09] 然後在西班牙又是一個很美麗的都市
[16:12] 對
[16:12] 然後他們又很喜歡在那邊喝酒
[16:14] 西班牙酒也不貴
[16:15] 對
[16:15] 好啦
[16:16] 那我們十週年就去西班牙
[16:19] 其實我蠻想去西班牙玩的
[16:21] 因為去歐洲玩
[16:22] 大家可能蠻推薦就是西班牙跟葡萄牙
[16:25] 就是他們物價相對比較合理
[16:27] 對
[16:27] 還是要注意小偷的問題
[16:29] 對
[16:29] 可是好像就是這個所謂的氣候
[16:32] 跟西班牙人相對比較友善
[16:34] 比較不會像
[16:35] 法國人高高在上的一個感覺
[16:37] 所以讓我覺得西班牙
[16:38] 是非常適合大家去玩的地方
[16:40] 那就是
[16:41] 許願
[16:42] 十週年我們就來西班牙錄影
[16:44] 對因為我也還沒有去過西班牙
[16:46] 這蠻嚮往之的
[16:48] 也許哪一天MAWC
[16:50] 我們也可以去看展
[16:51] 對我們就去展場看展
[16:52] 直接直播給大家看
[16:53] 對
[16:54] 好那回歸到剛剛提到的嘛
[16:55] 今天下午
[16:56] 現在MWC大人登場
[16:57] 那為什麼今天
[16:58] 第一國衛星特別的強
[16:59] 我覺得有一部分是
[17:00] 地緣政治的風險的關係
[17:02] 因為大家也知道
[17:02] 這一次的斬首行動
[17:04] 跟所謂通訊有關
[17:06] 所以大家會覺得
[17:07] 看起來所謂的衛星的通訊
[17:09] 會成為未來
[17:10] 各個大國的兵家必爭之地
[17:14] 所以今天我覺得
[17:15] 帝國衛星就是雙加持
[17:16] 一個是題材加持
[17:17] 一個是所謂的
[17:19] 軍工題材的一個想象空間
[17:21] 讓今天的華通
[17:22] 耀華
[17:23] 然後這個
[17:24] 所謂的申達科
[17:26] 股價都紛紛創下
[17:28] 波段高或歷史新高
[17:29] 那我覺得這個題材
[17:30] 但因為已經到展覽了
[17:32] 所以會不會可能未來兩三天
[17:35] 臺股假設盤是穩定了
[17:37] 那他們會不會就是在展覽期間
[17:39] 利多出盡而拉回
[17:40] 我就是大家要觀察的
[17:41] 因為畢竟他們股價位線都高
[17:43] 然後這些相關的低軌位性的指標性的股票
[17:46] 很多也都是主動型ETF重壓的標的
[17:50] 所以我覺得這個禮拜
[17:51] 當然他們現在都是強勢的標的
[17:53] 你不用特別的緊張
[17:54] 但一旦發現到臺股假設
[17:57] 整個大盤迴歸到上漲的軌道
[17:59] 資金又回到原本的可能PCB
[18:01] 回到所謂的這些大型的股票上面去
[18:04] 我覺得低軌衛星的走勢
[18:05] 就不會像今天這麼強
[18:06] 那今天看起來就是
[18:07] 這些所謂中小型的題材
[18:09] 因為主力資金比較穩定
[18:11] 所以繼續往往拉高
[18:13] 所以低軌衛星上去之後
[18:15] 那當然大家也可以注意到
[18:16] 相關擴散的效應
[18:18] 比方說面板族群
[18:19] 友達跟群創
[18:21] 那這些當然也是大家
[18:22] 歸類在低軌衛星的題材裡面
[18:25] 那你說有沒有道理
[18:26] 我也覺得沒有什麼道理
[18:28] 但是股價能夠在這個行情不好的時候走高
[18:31] 你就要佩服他
[18:32] 他背後的主力的資金的籌碼真的相對穩定
[18:36] 你看群創間股價拉到快要八個百分點
[18:39] 也是一樣開低走高
[18:40] 那今天群創的收盤價
[18:42] 帶來是創價近期波段的高點
[18:44] 雖然沒有越過之前的更高高點
[18:46] 但他也走出一個比較漂亮的一個弧形的底部
[18:49] 那一旦突破新高的話
[18:51] 但我覺得就會有這種技術陷阱之後的一個續航的力道
[18:54] 所以你會看到現在臺股
[18:56] 雖然說今天你大部分的股票
[19:00] 不敢說每檔都很強
[19:01] 但是如果搭上對的主流題材的話
[19:04] 也都能夠交出好的成績單
[19:06] 那擴散出去的就是所謂太陽能的族群
[19:09] 那太陽能今天可以看到
[19:10] 元金啊
[19:12] 安吉啊
[19:12] 太極啊
[19:13] 茂迪啊
[19:14] 然後這個國碩等等股票
[19:17] 其實今天盤中都很快的亮燈漲停板
[19:19] 那我覺得太陽能就是剛剛提到了
[19:21] 這次MWG大人上面
[19:23] 當然大家會去關注到
[19:24] 因為馬斯克的Space會去參展
[19:27] 所以太空算力中心這個題材
[19:30] 看起來市場的認同度
[19:32] 開始做一個比較明顯的提高
[19:34] 那第二件事情跟油價有關
[19:36] 因為現在油價假設已經到了
[19:39] 七八十美元一桶
[19:40] 那如果接下來真的到
[19:42] 一百美元一桶的時候
[19:43] 大家如果在市場夠久的話
[19:45] 會記得在2008年那時候
[19:48] 臺股的太陽能為什麼那麼瘋狂
[19:50] 股災的時候太陽能很多股價
[19:51] 是登上股王
[19:53] 來到什麼七八百塊
[19:54] 就是因為那時候油價一統飆到140美元
[19:57] 大家會覺得替代能源的重要性
[19:59] 所以現在假設地緣政治的風險
[20:02] 讓油價走高的話
[20:03] 我覺得對太陽能
[20:04] 或者說對風力發電來講
[20:06] 大家會覺得
[20:06] 雖然說發電成本比較高
[20:08] 但是如果用這種傳統的能源發電
[20:11] 看起來成本更高的時候
[20:12] 我覺得就會有一個
[20:13] 快速的轉換的一個效應
[20:15] 所以今天我覺得太陽能族群
[20:17] 一個是因為展覽題材的加持
[20:19] 一個是因為油價走高
[20:20] 大家有這樣一個想象的聯想
[20:22] 所以目前來看
[20:23] 我覺得臺股
[20:24] 就你會發現到
[20:25] 這些相關的
[20:26] 剛提到三個重點題材
[20:28] 都跟大盤
[20:29] 跟國際股市的相關性比較低
[20:31] 所以你可以從這樣
[20:32] 盤面上輪動裡面
[20:34] 還是可以找到多方的機會
[20:35] 油價漲上來
[20:37] 大家知道太陽能有多題材
[20:39] 當然第一個它很低價
[20:40] 然後第二個就是太空
[20:42] 要不要用太陽能
[20:43] 有沒有
[20:43] 什麼概態礦概念
[20:45] 這時候你都覺得好虛
[20:47] 但是漲到油價
[20:48] 它又給它一個助力了
[20:50] 因為這個08年能源危機
[20:52] 因為油價
[20:53] 我記得最高是到147還是148塊錢一桶
[20:58] 當時有很多什麼甜菜根
[21:00] 什麼玉米
[21:01] 很多的植物都說可以拿來當升值能源
[21:05] 但現在沒人提了
[21:07] 現在沒人提
[21:08] 因為後來油價當然下去之後
[21:10] 還出現負油價
[21:12] 所以你看這個事情有多離譜
[21:13] 你可以付20美元一桶
[21:15] 你也可以147美元一桶
[21:17] 那到底這個油在這個147的時候
[21:19] 就說快挖光了
[21:20] 油是很珍貴的東西
[21:22] 那付20美元之後是怎麼回事
[21:23] 這些期貨商品就是有這樣的一個特質
[21:27] 但是也從期貨商品可以看得出來
[21:29] 市場情緒往哪裡跑
[21:31] 像今天油價漲
[21:32] 航空股就有壓力
[21:34] 我覺得大家可以分辨一下
[21:36] 因為油價一漲
[21:37] 那航空股的成本就活生生的
[21:39] 就會加上來
[21:40] 那這個可能就真的是硬傷
[21:42] 所以今天航空股就比較弱
[21:43] 但是油價漲
[21:44] 可能速化股就猶豫一下
[21:46] 因為速化股到底能不能跟著油價漲而漲售價呢
[21:50] 這個可能大家就會分別來猶豫一下
[21:53] 那油價漲
[21:54] 這些替代型的能源
[21:55] 太陽能就會上去
[21:56] 那之前可能風電也會
[21:58] 但說實話最近風電有點風風雨雨
[22:01] 像有一檔永貫KY
[22:02] 它就是風電
[22:03] 其實幾年前
[22:04] 有熟識這家公司的朋友
[22:07] 有跟我講說
[22:08] 那時候政府真的是大力發展風電
[22:10] 但後來說實話
[22:11] 陸陸續續有人怎麼大賠錢
[22:14] 拿到標案
[22:15] 但是賠一屁股
[22:16] 然後現在風電
[22:18] 是不是一個政府續推的政策
[22:20] 可能大家有點打問號啊
[22:21] 因為有一些人就被抓走了
[22:23] 好這個牽涉到政治面的
[22:25] 也許不了
[22:25] 但是現在看起來
[22:27] 風電族群就會有一點點必須找
[22:29] 體質可能比較沒問題的
[22:31] 或者是說他在其他國家
[22:33] 他有一些子公司
[22:34] 像上尾投控有沒有
[22:35] 他其實狀況很好的大概才能夠度過這一波的風暴啦好有點扯遠但是我第一次是很多公司他在漲有一些多題材像剛剛講到裝置好了
[22:45] 像今天有這個穆德跟智勝都漲停板
[22:48] 穆德的話
[22:49] 他就是有這個光學檢測
[22:51] 加上他有PCB
[22:52] 智勝也是
[22:53] 他有COAS加PCB
[22:55] 所以現在如果說是
[22:56] 有半導體加PCB的裝置
[22:58] 看起來也會是一個雙題材集結
