[00:00] 欢迎收听赵华一股货载第1155集
[17:40] 融资开太大
[17:41] 结果你是在自己
[17:42] 最不情愿的时候出去
[17:44] 而且被吓到再也不敢回来
[17:46] 第二
[17:47] 虽然卖的可能相对漂亮
[17:49] 满手现金
[17:50] 可是呢
[17:51] 出厂了手上没有小麦
[17:53] 所以无论什么时间
[17:54] 你都很难再把小麦买回来
[17:56] 这些都可能是
[17:57] 我们在投资市场上
[17:58] 反而比较害怕的情况
[18:00] 好
[18:01] 那我们就一个产业
[18:03] 一个产业来说
[18:04] 当然你说像钢铁今天的回谈
[18:06] 它有没有实质在钢品报价上
[18:09] 我目前是没有看到
[18:10] 所以可能像东钢
[18:12] 我会把它视为
[18:13] 是一个殖地率的代表
[18:14] 东钢其实有段时间
[18:15] 反而是真的很喜欢
[18:17] 因为他的股息
[18:18] 什么是相对比较稳定的
[18:19] 那我有发现在最近盘面上
[18:21] 有股息稳定的公司
[18:23] 他也成为是一个避风港
[18:25] 我觉得这个事情也蛮值得
[18:26] 大家再去思考
[18:28] 有人很看不起股息吗
[18:29] 对不对
[18:30] 就觉得直领股息
[18:31] 如果股价没有动也没用啊
[18:32] 可是确实他在比较纷乱的时候
[18:34] 或是到了历年的
[18:35] 这个除权息的旺季
[18:37] 如果除权息前
[18:38] 他真的没有什么大涨
[18:40] 那往往除息
[18:42] 这件事情就会给他
[18:43] 一个很好的支撑力
[18:44] 但反之我们也可以看到
[18:46] 如果除息前
[18:46] 就已经大涨了
[18:48] 那除息后贴息
[18:49] 甚至弃息的状况
[18:50] 就会很严重
[18:51] 我觉得这些都是在现在
[18:53] 当然八月了
[18:54] 除息这件事情
[18:55] 它已经有点后面了
[18:56] 可是它如果保持
[18:58] 这样色彩的公司
[18:59] 它还是有一定的
[19:00] 股价支撑力
[19:01] 倒是毋庸置疑
[19:02] 所以这边的话
[19:03] 想要请教韦泰的是
[19:05] 以你来说
[19:06] 你会花更多的心思
[19:08] 去看今天有谈起来的
[19:10] 汽车林组件
[19:11] 钢铁
[19:12] 这类型的族群
[19:14] 还是你会看到
[19:15] 我们讲的
[19:16] 已經在低位階
[19:17] 機體模組
[19:18] 機體模組其實也是高固吸
[19:20] 然後矽光子
[19:22] 或者是散熱BBU
[19:24] 這個問題好難回答
[19:26] 你幹嘛認錯
[19:26] 對啊
[19:27] 我在想我會做什麼
[19:30] 因為如果說就我目前來講
[19:34] 因為我先前就我在看鋼鐵
[19:36] 然後鋼鐵其實
[19:38] 鋼鐵你覺得在長什麼
[19:39] 鋼鐵我剛剛在看不鏽鋼
[19:41] 不鏽鋼
[19:42] 其實不鏽鋼在前兩天有新聞
[19:44] 就是说第四季渴望开平高盘
[19:48] 平高盘就高兴了是不是
[19:49] 但重点是说
[19:51] 他们这边的一个评论是说
[19:55] 因为主要的就是市场上面
[19:58] 有一些需求
[20:01] 有一些需求
[20:02] 但是还没有看到
[20:03] 就是有看到价格
[20:06] 比较明显的一个上涨
[20:08] 我觉得东刚道蛮好去理解
[20:11] 因为一堆的厂房要盖
[20:14] 那種調鋼類的也沒幾家
[20:17] 調鋼就H型鋼
[20:19] 就東鋼嘛
[20:20] 豐興嘛
[20:21] 海光嘛
[20:22] 對不對
[20:23] 那剛好北中南各一家嘛
[20:25] 對不對
[20:25] 只是我很好奇
[20:26] 怎麼海光都沒漲
[20:27] 因為海光
[20:28] 它是比較偏南部的嘛
[20:30] 如果沒記錯的話是這樣
[20:31] 對啊
[20:32] 那這部分是鋼鐵
[20:34] 那這個不鏽鋼的部分
[20:37] 大家要看一下
[20:38] 看一下他們就是在報價上
[20:42] 但目前看起來
[20:43] 我觉得报价还好
[20:45] 如果说你知道去追
[20:47] 这个所谓虐价
[20:48] 或者是什么来讲
[20:50] 这边是还好
[20:51] 但是如果说
[20:53] 以目前市场上面的心态来讲
[20:55] 假设都要去选择一些低位阶
[20:57] 然后打底
[20:58] 已经一阵子的一些股票
[21:01] 他们尤其是像大成钢这一种
[21:03] 就是人家也是有获利的公司
[21:06] 对了
[21:07] 那这种获利的公司
[21:08] 然后你如果说
[21:09] 尤其还是美国概念股
[21:10] 对啊
[21:11] 美概股
[21:13] 那这种情况之下
[21:15] 他的股价净值比也没有很高
[21:18] 33.67的净值
[21:21] 现在才46块
[21:22] 所以其实我就1.5倍左右
[21:24] 没有很高
[21:26] 然后再次于说新光刚
[21:29] 他们其实也是
[21:31] 他的净值32.85
[21:33] 然后今天涨上去之后
[21:36] 的股价是40.95
[21:38] 这个大概也就是
[21:40] 一倍五到两倍左右的股价净值比
[21:44] 其实我觉得真的还好
[21:46] 但重点是他们的一个
[21:47] 他们的一个股价已经在低档
[21:50] 横盘一段时间
[21:52] 所以我觉得这个部分是
[21:53] 大家可以去做
[21:55] 后续的留意跟追踪
[21:57] 那么最近我发现到另外一件事情
[21:59] 就是黄金的价格
[22:01] 黄金价格暴涨
[22:05] 这个最近涨非常多
[22:07] 那重新回到了黄金线或报价每盎司
[22:11] 来到4253
[22:14] OK
[22:15] 那这个其实从跌破4000到现在站回4000以上
[22:20] 会来到4200
[22:21] 这速度是很快的
[22:24] 这速度是很快的
[22:25] 所以我们从这地方可能接下来
[22:28] 我个人要做什么
[22:29] 我可能会去看这些贵金属
[22:31] 除了黄金之外
[22:33] 然后包括像是这个白银的报价
[22:37] 會不會又再一次起來
[22:38] 如果說白銀有漲
[22:41] 然後其他的貴金屬有漲
[22:43] 其實我覺得這代表的是一件事情
[22:46] 就是之前一直往這個高科技
[22:51] AIC的資金開始
[22:53] 可能才開始另外找一個地方
[22:55] 那這邊來講
[22:56] 第一位階的這些族群
[22:58] 或者是第一位階的商品市場
[23:01] 有可能會受到這些的一個熱錢的一個青睞
[23:05] 那如果他們真的報價就這樣子上去了那麼當然接下来的股价就会上去这个是我可能接下来会去追踪的事情
[23:16] 那这个也就回答刚刚这个赵华的一个这个问题
[23:21] 就是终究要连贯的展示
[23:24] 他可能第一族群性要比较明显
[23:27] 然后第二的话
[23:28] 因为刚刚我们讲大成钢啊
[23:31] 东钢风星啊
[23:32] 他们有一个比较特殊的
[23:33] 是他们比较不是那种
[23:34] 纯景气循环
[23:36] 就他们会稳定的有赚钱
[23:39] 对
[23:39] 他们在钢铁业里面
[23:40] 是这样的学生
[23:41] 可是他们就会被
[23:43] 同业里面会那种赔钱
[23:45] 都赚不到钱
[23:46] 长期低迷给托累
[23:47] 所以当他们好的时候
[23:49] 有时候我会讲
[23:49] 可能反映有殖利率
[23:51] 或者反映像刚刚讲
[23:52] 大神刚刚说
[23:52] 苏美国概念股
[23:53] 某种特殊的题材效应
[23:56] 那也会导致
[23:57] 很难一直很连贯这样子
[24:00] 或者是只有好他们
[24:01] 别人就好一两天
[24:02] 就没有了
[24:03] 但是我们也曾经历经过
[24:05] 整体的钢铁
[24:06] 非常厉害
[24:07] 航海王家钢铁人嘛
[24:08] 对不对
[24:08] 每天一开盘
[24:09] 海光
[24:10] 对海光怎么没有长呢
[24:12] 海光的骨性
[24:13] 就会特别的活泼
[24:14] 是因为它没有像
[24:15] 风新东刚那么大
[24:16] 那么的稳
[24:17] 所以它就很容易
[24:18] 是在钢架往上走
[24:20] 需求往上走的时候
[24:21] 哇爆喷爆喷
[24:23] 威治
[24:23] 爆喷爆喷
[24:25] 好
[24:26] 想要这样
[24:27] 夜行
[24:28] 夜行
[24:29] 我的妈
[24:30] 好
[24:30] 张元允强
[24:32] 很多啦
[24:33] 其实钢铁股很多
[24:35] 那他们要整体的转强
[24:37] 然后产生那个大热潮
[24:38] 肯定报价要上扬
[24:40] 但是报价上扬
[24:41] 就是有个很现实的事情
[24:43] 就是中国的内需要复苏
[24:44] 我们讲了非常非常多次
[24:45] 不过我觉得汽车零组件
[24:47] 是另外一个故事啦
[24:48] 汽车零组件
[24:49] 他们的体质
[24:51] 说实话都是比较好的
[24:52] 甚至我觉得本益比都跌到
[24:54] 真的相对委屈了
[24:55] 那关税的疑云呢
[24:57] 我觉得现在也算高一段落了
[24:58] 所以就等整个产业资金有所共识
[25:02] 但因为现在资金真的很难
[25:03] 完全回到传产上面
[25:05] 所以我觉得汽车领主间
[25:07] 对于我来说是相对委屈
[25:08] 但现在是八月嘛
[25:10] 他们的旺季是
[25:12] 所谓的第四季到明年第一季
[25:13] 我觉得可以再观察一下
[25:15] 今年第四季到明年第一季
[25:17] 汽车领主间是不是真正可以迎来
[25:19] 他们的产业旺季
[25:20] 我觉得他们的体质
[25:23] 整个北美保险法的改变
[25:25] 我们卖到美国去的市场
[25:27] 我们自己在经营上面
[25:29] 度过最严峻的关税考验等等的
[25:31] 我是会注意他们的
[25:34] 对
[25:34] 那因为现在八月还没有进入到
[25:36] 他们旺的时候
[25:37] 九月十月进入到
[25:40] 所谓陪美碰撞见的旺季的时候
[25:42] 我希望他们能够彻底迎来一个
[25:45] 属于他们的旺季
[25:46] 这个是我在传闪上面会留意的
[25:49] 那还是回到科技
[25:52] 还是回到科技
[25:54] 像我们之前也有帮这个BBU散热
[25:57] 其实这两个
[25:58] 他们上面的大头是台达店
[26:00] 对
[26:00] 台大店最近是比较
[26:02] 说实话比较疲弱一些
[26:04] 反弹也比别人弱一些
[26:05] 但我觉得台大店快好了
[26:07] 因为它面临的就是
[26:09] 我们之前常常分享的
[26:11] 第三季
