[00:00] 歡迎收聽趙華與古惑仔之新春特別版
[06:39] 反正就是呢
[06:40] 臺股過完年之後
[06:41] 開市的第一天的那一週裡面
[06:45] 那我就一定會把這筆錢
[06:47] 就把它換成00850
[06:50] 因為最近都是改成00850
[06:52] 就是比較金額門檻比較低
[06:54] 雖然漲到這邊
[06:55] 它還是比0050的門檻低
[06:56] 對
[06:57] 但是現在有0050分拆了
[06:59] 對啦
[07:00] 還沒有分拆
[07:02] 但是其實00850
[07:04] 它的價格也上來了
[07:05] 你不是有00922
[07:07] 00922是我個人的
[07:09] 那你可以換00922
[07:11] 也不用
[07:13] 主動型的呢
[07:14] 例如說985A
[07:16] 主動型的市值ETF
[07:18] 主動型的市值ETF的話
[07:21] 它十幾塊而已
[07:21] 其實你看
[07:22] 主動型的話
[07:24] 它是去年才推出的
[07:25] 對
[07:25] 所以它根本還沒有進到
[07:28] 我要放錢的一個週期裡面去
[07:30] 對
[07:31] 像今年的話
[07:32] 其實我們是有在考慮這個問題
[07:35] 因為像我們現在發行
[07:39] 主動式的這些產品
[07:41] 我們以前在節目有提過
[07:43] 現在發行主動式的產品
[07:46] 每一家
[07:47] 他都是把他們的經營團隊
[07:51] 把他給移過來
[07:52] 像統一的00981A
[07:57] 他是統一奔騰的一個團隊
[07:59] 群翼的話
[08:00] 可能是像他的黑馬的一個團隊
[08:03] 野村的話
[08:04] 可能就是野村基金的那個團隊
[08:06] 其實你有沒有發現
[08:07] 這些團隊的話
[08:09] 他過去在共同基金這個市場上面
[08:12] 他的整體的一個操盤的績效就非常好了
[08:15] 其實應該是馬拉松
[08:16] 同意是黑馬
[08:18] 快速那個更正一下
[08:21] 然後你看他過去操盤的很好了
[08:24] 但是他現在的話
[08:26] 他把他移到共同基金
[08:28] 主動式ETF這個地方來的話
[08:31] 他到目前為止交出來的績效
[08:34] 也還算蠻不錯的
[08:35] 所以其實我們是有在考慮這件事情
[08:39] 那就是說我們在
[08:41] 小美人魚資金的部分的話呢 要不要也有一部分把它放到共同基金的這一塊來幫他做追逐的一個動作其實我在市場上面我有聽到更瘋狂的一個講法
[08:54] 什麼東西
[08:55] 直接買真二
[08:56] 幫小朋友存股買真二嗎
[08:59] 對
[09:00] 你有考慮嗎
[09:01] 我講認真的
[09:02] 因為真二其實
[09:03] 說實話有一些達人
[09:04] 有經過一些長時間的回測
[09:06] 有注意到
[09:07] 因為雖然它裡面含的是期貨商品
[09:09] 但是臺子企有一個比較特殊的結構
[09:11] 就是它的轉倉比較沒有在扣血
[09:14] 大部分的股票期貨
[09:16] 在轉倉的時候
[09:17] 都會買的比較貴
[09:18] 就是有所謂扣血的問題
[09:20] 對
[09:20] 那它轉倉的話
[09:21] 相對之下
[09:22] 比較容易用逆價差轉倉
[09:24] 就是簡單來說
[09:25] 經過回測
[09:27] 正額扣血的狀況不明顯
[09:29] 所以很多人會覺得
[09:30] 這樣用槓桿的方式
[09:31] 會比較有效率
[09:32] 但是那不是保證
[09:34] 那只是一個現象
[09:36] 你說如果臺股
[09:37] 有哪一天都一直轉倉
[09:38] 會扣血
[09:38] 那也是有可能的
[09:40] 這就不是現在可以預測的
[09:41] 那其實呢
[09:44] 剛剛趙華講的這個資料啊
[09:46] 我以前也全部都
[09:48] 已經都統計過了
[09:49] 對
[09:49] 事實上我們都有
[09:51] 也是有做過這方面的一個研究啦
[09:53] 那事實上我研究出來的結果
[09:55] 我是不知道投資朋友喜不喜歡聽啊
[09:58] 就是你覺得你買的是正二
[10:01] 但是呢你拿到的績效是正三
[10:03] 這是呢我們當初看完
[10:05] 那為什麼不喜歡聽
[10:06] 很喜歡聽啊
[10:07] 真的嗎
[10:08] 沒有因為我怕這個
[10:09] 我以為你要說拿到是正1.5
[10:12] 沒有
[10:12] 其實你拿到的會是接近正三的一個績效表現
[10:16] 那我要來存了
[10:17] 但是它上面一個波動的過程是比較大
[10:21] 然後另外一個的話
[10:23] 小孩子他能不能夠開戶買正二這件事情
[10:26] 那可能你要跟你的券商那邊先去做確認
[10:31] 對耶
[10:32] 對因為券
[10:33] 因為正二的話
[10:34] 它是屬於槓桿型的產品
[10:37] 信用型的產品
[10:38] 那有一些券商的話
[10:39] 像信用型的產品
[10:41] 他可能要有融資融券的一個資格
[10:43] 那或者是說呢
[10:45] 你有信使用者的一個資格
[10:46] 然後要交易幾次
[10:47] 你才能夠去做佈局的一個動作
[10:49] 那當然每家券商的規定
[10:51] 可能會有點不太一樣
[10:53] 那如果說今天呢
[10:56] 你想要幫小孩子去存正額的話
[10:58] 我們這樣子講
[11:00] 如果呢
[11:01] 從我們看過去到目前統計出來的一個資料上面來看
[11:06] 它呢
[11:08] 確實在績效的表現上面
[11:11] 它有比較好的一個績效表現
[11:14] 那甚至呢
[11:15] 可以達到接近正三的一個效果
[11:17] 那剛剛趙華講的
[11:19] 臺股的逆價差的這個現象
[11:21] 確實其他的正二型的一個產品
[11:24] 它在轉倉都是扣血的
[11:26] 可是呢
[11:26] 唯獨呢
[11:27] 臺股的這個期貨
[11:29] 它在轉倉的過程中
[11:30] 它是逆價差
[11:31] 它反而是補血的一個現象
[11:33] 這個東西
[11:34] 我有跟
[11:35] 我有跟袁大頭進去問過
[11:38] 問過說為什麼會有這個現象
[11:40] 他說呢
[11:41] 臺股呢
[11:43] 有一個地方呢
[11:44] 是舉世聞名的
[11:45] 就是除全息
[11:47] 對
[11:47] 我們會有除全息的一個現象
[11:49] 所以呢
[11:49] 這個所謂的逆價差
[11:51] 其實是除全息造成的一個現象
[11:54] 預測接下來會有點數蒸發
[11:56] 對對對
[11:57] 所以呢
[11:57] 也因為呢
[11:59] 我們每次在做除全息的時候
[12:00] 都會有指數蒸發的一個現象
[12:03] 所以也導致呢
[12:04] 在換倉的過程中
[12:05] 會產生所謂的一個溺價差
[12:07] 那其實它就有點等同於說
[12:10] 你去買正二的話呢
[12:12] 第一個它的波動比較高
[12:13] 第二個的話呢
[12:14] 它強制不配息
[12:16] 所以導致呢
[12:17] 你在滾動的過程當中
[12:19] 你的整體的績效表現是會比較好的
[12:21] 好 但是正二不便宜了
[12:23] 對 現在正二的話不便宜了
[12:25] 沒有啦
[12:25] 你如果是買國泰的話就便宜了
[12:27] 對對對
[12:28] 那還有的話呢
[12:30] 就是像0050正二的話呢
[12:34] 他們最近打算要舉辦那個分割案
[12:37] 對
[12:38] 對那他如果去分割的話呢
[12:40] 他就有可能一張會回到
[12:42] 二十幾塊的一個價位
[12:43] 對那所以這個就是看
[12:46] 投資朋友是可以去期待一下
[12:48] 如果分割之後的話
[12:49] 他整體的價位呢
[12:50] 就壓得非常的低
[12:52] 因為他代號是00631L
[12:53] 沒有沒有真二真二
[12:54] 代號都忘記怎麼背了
[12:56] 對對對
[12:57] 441塊
[12:58] 所以真的需要分割
[12:59] 對啊分割
[13:00] 不然你就去買那個國泰的嘛
[13:02] 活在那00663是不是
[13:04] 反正總之後面要有一個L
[13:06] 對對對
[13:07] 有一個L的那它的價格的話會比較便宜你也可以從那個地方來做左手的一個動作你記得沒錯00663L它現在只要57塊也不便宜壓稅前要6萬塊那其實
[13:19] 那其實呢
[13:21] 跟你現在跑去買
[13:23] 去買那個0050
[13:26] 或是跟00850的話
[13:29] 其實大概都是加一點
[13:30] 就可以換成正二了
[13:32] 所以你有考慮嗎
[13:33] 事實上我是有考慮的
[13:34] 因為它確實
[13:36] 反正時間還很長
[13:37] 那很長的情況下
[13:39] 你讓他去承擔比較大的一個風險
[13:41] 我是覺得這樣是可行的
[13:43] 可是我還是要跟
[13:45] 我們的聽眾朋友再強調一次
[13:47] 我們只有講的是像0050正二
[13:50] 或是加權指數正二的產品
[13:52] 不是商品的正二
[13:54] 不是什麼原油正二
[13:55] 對對對
[13:55] 什麼原油正二
[13:56] 白銀正二
[13:57] 黃金正二
[13:58] 我們講的都不是這些投資產品
[14:00] 我們講的是隻有
[14:01] 臺股的加權指數正二
[14:03] 或是0050正二
[14:04] 它有符合逆價差的特性
[14:06] 其他的都沒有
[14:07] 所以其他的話可能不太適用
[14:09] 我們剛剛講的
[14:10] 這個所謂的相關的一個內容
[14:12] 好所以等於
[14:14] 那我問你
[14:15] 因為古魚很厲害
[14:16] 我那時候有請記者去採訪他
[14:18] 他是真的有幫小美人魚
[14:19] 從小就開始存
[14:21] 有把他的證券戶頭拿給記者派
[14:23] 目前為止的績效
[14:25] 是有符合你的意氣嗎
[14:27] 應該是有吧
[14:28] 等一下我看一下
[14:29] 他現在要把它開啟來看
[14:31] 因為他那時候有跟我們講
[14:34] 當他的女兒大學畢業的時候
[14:36] 他領到的股息
[14:38] 就比一般的上班族的起薪
[14:41] 會來得高
[14:41] 所以如果他女兒
[14:43] 那時候有一份好的工作
[14:45] 又有這份股息的話
[14:46] 那就會比同年齡的人
[14:48] 贏在起跑點
[14:49] 我想這個是很多天下父母心
[14:51] 想要達成的
[14:52] 好現在把戶頭開啟了
[14:53] 不要給我看著你的隱私
[14:54] 現在報酬率如何
[14:56] 他0050的話
[14:57] 報酬率是300%
[14:59] 300%
[15:00] 對對對
[15:00] 然後
[15:01] 因為0050後來沒有再
[15:03] 再加進去
[15:04] 然後850的話
[15:06] 大概有170幾趴
[15:08] 170幾趴
[15:08] 對對對
[15:09] 大概是這個樣子
[15:10] 下一個股息
[15:11] 就每年可以領到多少
[15:13] 大概你有出算嗎
[15:15] 股息我沒有特別去算
[15:17] 對因為反正都是進到
[15:19] 那個戶頭裡面去
[15:20] 而且剛剛那個報酬率的話
[15:21] 是不含息的報酬率
[15:23] 不含息報酬率
[15:24] 0050已經有300趴
[15:26] 這就是長期投資的魅力
[15:28] 先不用預設
[15:29] 現在到底是2萬點3萬點
[15:31] 甚至未來看到4萬點5萬點
[15:33] 我們都沒有辦法預設
[15:34] 因為這是一個通膨的世界
[15:36] 我們常常來分享說
[15:38] 一定要理財
[15:39] 一定要投資
[15:40] 我想到了這個節骨眼
[15:42] 因為說實話
[15:43] 臺股非常的熱
[15:44] 美股也非常的熱
[15:45] 大家應該有全民覺醒的感覺
[15:47] 可是就是每一天都怕扣在最高點
[15:49] 可是股餘卻告訴你
[15:51] 你就怕不開始
[15:52] 那如果你自己不開始
[15:54] 你好歹從小朋友開始練習
[15:55] 也是好的
[15:56] 因為小朋友承受風險的時間
[15:58] 他可以比較長
[15:59] 波動也可以比較大
[16:00] 那最保險的美股大盤
[16:01] 臺股大盤
[16:02] 那現在又多了這個
[16:04] 正二來告訴你說
[16:06] 長期來看是不會扣血的
[16:08] 剛剛有把原因講了
[16:10] 因為有朋友問我
[16:11] 正二能不能長期存
[16:12] 也可以試試看
[16:13] 另外還有臺股的主動式的ETF
[16:16] 這一塊你今年還沒有打算
[16:18] 納入小朋友的持股嗎
[16:20] 因為我們會從正二
[16:23] 或是主動型中
[16:24] 兩個選一個就對了
[16:26] 壓歲錢沒那麼多
[16:27] 對對對
[16:28] 折一嘛
[16:28] 那個老父親不能夠
[16:30] 幫他補那麼多錢
[16:31] 對對對
[16:32] 因為最終還是會跟人家跑走
[16:33] 你搞不好就把人家拐回你家
[16:37] 這樣子也不錯
[16:39] 養女兒不就是
[16:40] 對吧
[16:41] 後來多半子
[16:42] 多半個兒子
[16:43] 對對對
[16:43] 也是這樣講是沒錯
[16:45] 是
[16:45] 所以每一年
[16:47] 為什麼過年的時候
[16:48] 會跟古魚再來跟大家聊
[16:50] 他的消費人員進度
[16:51] 因為古魚是一個
[16:52] 非常的紀律型的爸爸
[16:54] 所以他做這件事情
[16:56] 每年我們看在眼裡
[16:57] 現在也告訴你
[16:58] 不是因為現在臺股在比較高檔
[17:01] 所以他的成效這麼好
[17:02] 中間不管有起有落
[17:04] 他都會在過完年的那一個禮拜
[17:06] 幫女兒做好這件事情
[17:08] 對所以
[17:09] 如果你自己沒有小朋友的
[17:11] 不妨把你自己當小朋友試試看
[17:13] 試試看
[17:15] 這樣的做法
[17:15] 其實風險沒有很高
[17:17] 其實風險沒有很高
[17:18] 可是會比
[17:19] 留在那種非常傳統保守的商品裡面的
[17:22] 績效又再更好
[17:23] 對沒有錯
[17:23] 好那我們今天的這個
[17:25] 趙懷餘古貨仔的新春特別版
[17:27] 就到這邊了
[17:28] 跟各位聽眾朋友說拜拜咯
[17:30] 拜拜
[17:30] 新年快樂
[17:31] 新年快樂
[17:32] by bwd6
