[00:00] 歡迎收聽趙華語股貨載第1037集
[03:08] 給你一些體悟
[03:10] 在馬年你會延續這樣做
[03:11] 其實上禮拜跟這個禮拜的
[03:16] 體感溫度差很多了
[03:17] 因為上禮拜
[03:18] 因為美股拉回嘛
[03:20] 還有一些國際政經局勢的影響
[03:22] 大概臺股呢
[03:24] 在上週五個交易日
[03:25] 我記得最多應該有回了超過1000點吧
[03:28] 那當然大家覺得說
[03:30] 哎呦那要不要爆股過眠
[03:32] 大家都很擔心
[03:32] 那沒想到
[03:33] 這禮拜三天的一個交易日
[03:35] 股市又漲了1000多點回來
[03:37] 而且居然還創新高了
[03:39] 那我記得去年底的時候
[03:41] 很多的一個券商
[03:42] 他們預估今年臺股的一個高點
[03:46] 大概是落在33000到35000
[03:48] 那沒想到這個才一個多月的時間
[03:51] 就已經達成了這個低標了
[03:53] 33,000
[03:53] 那當然現在也有上修到
[03:56] 這個35,000到38,000的都有了
[03:58] 所以代表說
[03:59] 其實這一波的這個行情呢
[04:01] 確實連很多的法人
[04:02] 強到都出乎他們的預料
[04:05] 那當然結構上來說的話
[04:08] 我覺得今年還是會延續AI這個主題
[04:11] 是沒有變的
[04:12] 那幾個主流
[04:14] 我想其實大家如果有在看盤
[04:16] 有在花一點時間去觀察盤面的結構
[04:19] 從AI這個大的主軸出來
[04:22] 其實下面還是幾乎都沒有變
[04:24] 就是大家輪著漲
[04:26] 第一個當然就是這個代工
[04:28] 晶圓代工以臺積電為首
[04:30] 然後下來還有一些這個什麼
[04:32] 先進封裝
[04:33] 像最近晶圓電日月光也都很強
[04:37] 而且這些都是帶有指數的一些個股
[04:39] 所以其實不只是只有漲臺積電
[04:41] 很多大股票也都有在漲
[04:43] 反正你只要是有跟AI連線到
[04:46] 而且是有已經開始開始實質貢獻你的營收跟獲利的
[04:50] 其實都不錯
[04:51] 甚至臺達電今天的表現也不錯
[04:54] 那當然其實我覺得這個擴散效應還是會持續了
[04:59] 所以今年幾個主軸我的看法還是不變了
[05:02] 就是大概有四到五個
[05:04] 就是AI的這個延伸出來的題材應該還會是主流
[05:08] 除了剛剛我們前面講的這個晶圓
[05:11] 這個先進製程的代工
[05:13] 先進製程的封裝之外
[05:15] 那當然還有包括像是記憶體
[05:17] 雖然說這兩天有稍微震盪比較大
[05:21] 不過看起來今年
[05:22] 因為其實新的產能增加有限
[05:25] 所以我還是認為說
[05:26] 這個超級迴圈是還沒有結束
[05:29] 這是一個
[05:30] 再的話就是今天PCB的上游材料很強
[05:34] 特別是這個波線煞波線布
[05:37] 好多檔個股都漲停
[05:38] 甚至有創新高的
[05:40] 這個包括像是富橋臺波
[05:42] 南亞德宏建融這些
[05:45] 其實這個PCB呢
[05:47] 也一直是今年
[05:48] AI升級的一個主流產業
[05:51] 特別是像最新一代的
[05:53] 這個Rubin的平臺
[05:54] 應該會在今年第三季吧
[05:57] 下半年第三季到第四季
[05:59] 陸續開始推出
[06:00] 其實在這個PCB的一個
[06:03] 不管是面積的變大
[06:05] 還是成熟的增多
[06:06] 其實整體的產值呢
[06:08] 都會增加非常的多
[06:10] 所以我們可以看到PCB前兩天
[06:12] 是這個金像電先衝出去嘛
[06:14] 那接下來呢
[06:16] 其實最近載板也很強
[06:17] 那今天剛好輪到這個所謂的
[06:19] 波線紗波線布
[06:21] 其實都是輪著來
[06:22] 那PCB其實這個產業
[06:23] 我認為今年也是相對還蠻看好的
[06:26] 那另外呢
[06:27] 就是所謂的細光子CPU的部分
[06:30] 在新一代的Rubin系統裡面
[06:32] 因為這個傳輸的資料越來越龐大
[06:35] 所以呢
[06:35] 傳輸的速度也要跟著提升
[06:38] 所以CPU的一個股票
[06:40] 雖然說今天稍微比較休息了
[06:41] 不過蠻多的個股呢
[06:43] 最近其實也都有輪動表現
[06:45] 包括像是光勝啊聯亞啦
[06:48] 這個波羅威啊華星光啊
[06:50] 這些我認為其實今年的狀況
[06:52] 也是非常不錯
[06:54] 所以很多人把
[06:55] 今年2026年呢
[06:57] 稱為是 cpu 的元年
[06:58] 這是一個
[07:00] 然後再來的話呢
[07:00] 就是有關於這個電力的供應
[07:03] 那我想電力的部分來說的話
[07:05] 一直是這個不只是美國了
[07:08] 包括臺灣
[07:09] 因為你要發展所謂的這個算力
[07:11] 現在這個
[07:13] 我看到今天一個新聞
[07:15] 這個政府首長也說
[07:16] 這個算力及國力
[07:18] 那算力就是你要有電力去支援
[07:20] 所以過去這個一直以這個反核
[07:24] 為一個觀點的一個政策
[07:28] 也說不排除有新式的核能
[07:31] 可以納入選項
[07:32] 這代表說其實算力
[07:33] 對於這個電力的要求
[07:35] 未來的需求量也非常的大
[07:37] 那當然這個牽扯的範圍就比較廣
[07:39] 以Power為主的像臺達電
[07:42] 光寶科
[07:42] 這些其實也都表現還不錯
[07:45] 甚至有一些接國外變電廠
[07:49] 或者說接國外的一些
[07:50] 電力生產商裝置的公司
[07:53] 像高麗
[07:53] 最近股價也表現還不錯
[07:55] 所以我想其實就圍繞著
[07:57] AI去延伸出來
[07:59] 這些主要的主題
[08:00] 大概有至少五六個以上
[08:02] 如果你從今年
[08:05] 甚至到明年
[08:07] 我們過完農曆年回來
[08:08] 我認為這幾個大的主題
[08:11] 還是會延續
[08:11] 只是說資金在去輪動的過程裡面
[08:14] 你有去掌握到機會
[08:15] 甚至這兩天
[08:17] 即便你不選股
[08:19] 買一些科技權重
[08:22] 比如說臺積電
[08:23] 比重比較高的這種ETF
[08:25] 也不管是被動型的主動型的
[08:28] 我相信應該都今年收穫還不錯
[08:32] 即便是最不選股的0050
[08:34] 今年的一個報酬率
[08:35] 應該也都有50%以上
[08:37] 所以其實你要在股市裡面成為一個
[08:41] 這個可以收穫成績的
[08:44] 或者說獲得報酬的人的話
[08:46] 那相對可能比較沒時間盯盤的
[08:49] 或比較沒時間做研究的
[08:51] 你買一些這個ETF
[08:52] 其實也可以參與這個資產增值的過程
[08:56] 那甚至有的人願意更積極一點
[08:59] 買主動型的
[09:00] 或者說直接參與這個個股的交易的話
[09:02] 我想今年只要你有抓住AI這個大主手
[09:05] 其實也都會有不錯的一個收穫
[09:08] 那對於未來2026年的看法
[09:11] 我其實剛剛已經講得非常明確了
[09:13] 今年2026年應該整體上呢
[09:16] 還是一個多頭的一年
[09:17] 那當然不可能說
[09:19] 只漲不跌了
[09:20] 比較有可能的
[09:21] 一個拉回修正點
[09:23] 上半年可能會在四五月了
[09:25] 就是每年五月要報稅
[09:27] 報稅的話可能
[09:28] 那個時間點上有些大股東
[09:30] 要申報轉讓什麼的
[09:32] 可能就會有稍微
[09:34] 先修整一下
[09:35] 那下半年
[09:36] 例行性可能會在八九月
[09:38] 會有一波的一個
[09:39] 一個季節性的一個拉回
[09:41] 所以呢
[09:42] 我想這兩個時間點
[09:43] 大家也可以稍微先留意一下
[09:45] 當然如果說你是長期看好的話
[09:47] 也不一定說
[09:48] 這個短線的價差
[09:49] 你要去低買高買
[09:50] 那是針對說
[09:51] 覺得說可以多少賺點價差的投資人的話
[09:54] 你可以採取這樣的方式
[09:56] 去做一個短線的一個獲利調節
[09:59] 那如果真的回檔
[10:00] 下來回到一個
[10:01] 相對合理的價位或支撐的話
[10:04] 你再買回來
[10:05] 那當然這個報酬率
[10:07] 可能會比你報上去報下來
[10:09] 的這個總體報酬率還是要高一點
[10:11] 那當然要不要先做這種所謂的
[10:14] 這個價差方面的交易
[10:15] 就看每個人對於投資的節奏
[10:18] 還有對於投資上的一個心態
[10:20] 那我想其實大家可以
[10:21] 把你自己想要的一個報酬率
[10:23] 去做一個估算
[10:24] 然後再根據你自己的平常操作的模式
[10:27] 去參考這樣子的一個季節性的一個節奏
[10:30] 來看待今年
[10:32] 在新的一年
[10:34] 農一年回來之後的行情
[10:35] 因為接下來臺股不開盤
[10:38] 但是美股還是開盤
[10:40] 日股還有開盤
[10:41] 今天盤面上比較特別的是00955
[10:43] 中信日本商社被買到溢價
[10:46] 超過將近五個百分點
[10:49] 這真的有點嚇人
[10:51] 因為像這種投資在海外市場的ETF他們的造勢商沒有辦法在第一時間可能把這個造勢的就所謂的溢價的價差給收斂像之前也發生過
[11:03] 就是00830
[11:04] 因為他配息給的非常的優務
[11:06] 他就把價差也拿來配
[11:07] 所以算起來當時的殖利率
[11:09] 可以有15%左右
[11:11] 哇 結果大家在配息前一天也是瘋狂買
[11:13] 那一天溢價應該有超過2.5個百分點
[11:16] 好 這樣的情況下
[11:17] 大家留意哦
[11:18] 要留意
[11:19] 不要在大幅溢價的時候去追進
[11:21] 今天會這樣
[11:23] 我猜是因為臺股真的非常的厲害
[11:25] 所以有很多在臺股上面
[11:26] 今天捨不得收手的
[11:28] 會想說去買這個
[11:29] 看起來日股也非常厲害
[11:31] 可能有這樣的一個心態
[11:33] 就把它介入進去了
[11:34] 當然如果未來在我們休息的
[11:36] 有7個交易日加上4個6日
[11:39] 總共11天裡面
[11:40] 日股再繼續的漲
[11:42] 當然這個價差有可能會彌平
[11:44] 可是還是一個比較冒險的做法
[11:46] 即使是ETF
[11:47] 我也要注意這個溢價
[11:48] 太過擴大的狀況
[11:51] 那剛剛幸福哥有特別強調
[11:53] 也要去評估
[11:54] 就這樣十年到今天
[11:56] 收到一個最高的風關
[11:57] 到底大家
[11:58] 在自己的資產配置上面
[12:00] 在自己的投資邏輯上面
[12:02] 是價差派
[12:03] 還是你願意穩穩的買
[12:05] 其實像前兩天
[12:06] 我就看到有人在留言說
[12:07] 過了這麼一整年
[12:10] 都這樣大多頭了
[12:11] 其實沒有賺到錢
[12:12] 我現在是不是該認命
[12:13] 買0050就好了
[12:15] 這第一個
[12:16] 那第二個
[12:17] 到今天早上
[12:18] 有一個從來都不太做股票
[12:19] 但跟我算蠻好的朋友說
[12:21] 他其實因為有被我們額目染
[12:23] 加上今年這個投資氣氛很濃
[12:25] 所以他也有買一點點臺積電零股
[12:27] 他就問我說
[12:28] 臺電怎麼這兩天漲這麼快
[12:29] 都沒有辦法再加
[12:30] 什麼時候會再跌
[12:31] 我說來不及了
[12:33] 因為他問我的時候已經收盤了
[12:34] 我說今天是這個
[12:35] 12年最後一個交易日了
[12:37] 沒有關係
[12:38] 等到年後
[12:38] 你看到它有跌
[12:40] 跌比較重
[12:41] 整個市場比較恐慌
[12:43] 你再一點一點買
[12:44] 你用這樣的節奏就好了
[12:46] 他說以前都沒有參與
[12:47] 活了那麼久沒參與
[12:48] 他說一開始參與
[12:49] 用一點點領股
[12:50] 覺得還蠻有意思的
[12:51] 那我這邊念一個留言
[12:53] 其實這留言
[12:53] 他前幾天就留了
[12:54] 但我一直到今天才想分享
[12:56] 是因為我覺得
[12:57] 他也是在快要封關的時候
[12:59] 對他過去一整年的操作
[13:00] 做了一些想法
[13:01] 反省跟調整
[13:03] 他有提到說
[13:04] 他其實聽我們節目
[13:05] 已經第三年了
[13:06] 然後可是呢
[13:07] 他說這個
[13:08] 2025年到2026年
[13:11] 他說有規劃
[13:12] 卻沒有跟進策略
[13:14] 所以獲利回吐還虧哦
[13:16] 然後到了去年的12月到今年的1月
[13:19] 這個大漲行情裡面又沒有信心
[13:21] 大盤在漲
[13:23] 自己還是在虧
[13:24] 我相信這樣的朋友
[13:25] 可能不會是隻有這一位
[13:27] 應該還有蠻多人有這樣的一個心情
[13:29] 也許不到虧
[13:30] 但是沒有賺錢
[13:31] 或是很害怕
[13:32] 都一直沒有進場
[13:33] 都有
[13:33] 他說已經確定了自己生活跟職場狀況
[13:37] 跟不上股市的節奏
[13:39] 所以2月他要利用時間好好思考
[13:41] 要安心睡
[13:42] 要減少看盤
[13:43] 要減少FOMO
[13:45] 要轉放長線
[13:46] 選定該年的趨勢股
[13:48] 那他現在看就是
[13:49] 他覺得2026
[13:50] 整個除能的技術
[13:52] 還是十分的看好
[13:53] 所以他有佈局了
[13:55] 一些相關的ETF
[13:56] 他也覺得每股的軟體股
[13:58] 應該會有變現的元年
[13:59] 所以他也去定期定額
[14:01] 開始買特斯拉
[14:02] 其實買特斯拉
[14:03] 應該是看好馬斯克這個人
[14:04] 確實現在是顯學
[14:05] 有夠厲害
[14:07] 那另外一套方法是
[14:08] 在這個他用周KD
[14:10] 這個拉的比較長線
[14:11] 周KD30以下
[14:12] 買進較大部位的大盤
[14:13] 他說這個大概1到1.5年會一次
[14:15] 其實如果你覺得這樣慢的話
[14:18] 趙華自己是會看
[14:19] 破月線可能就會買一點的
[14:21] 破季線也會再買一點
[14:22] 用這個周
[14:23] 如果1年到1.5年買一次
[14:25] 那確實你可能就是要很大筆的想法
[14:28] 這樣的念頭也是沒有錯
[14:29] 然後說
[14:31] 發現最令人心安是保有30%的現金
[14:33] 可以加碼
[14:34] 大漲大跌
[14:35] 都心安
[14:36] 才能好好的理性思考
[14:37] 這一點真的要推薦給所有想翻身的投資人
[14:41] 還有感謝陪我的所有節目
[14:42] 還一直保持正向熱關的趙華
[14:44] 在我還保有
[14:45] 有翻身資金的時候
[14:46] 整個轉換想法
[14:48] 而不是追逐多巴胺的
[14:50] 頻繁交易
[14:51] 那他也有在看
[14:52] 美國其他巨頭
[14:53] 都有在持續增加資本支出
[14:55] 那他覺得臺廠的相關供應鏈
[14:58] 也是趁有低檔的時候出手
[15:00] 然後延長爆股時間
[15:02] 就能夠維持生活品質
[15:04] 一夜想通
[15:05] 他寫的那一天是
[15:06] 夜盤臺值到漲800點
[15:07] 隔天也到漲800點
[15:09] 他說就沒有那麼樣的
[15:10] 相對剝奪感了
[15:12] 所以他就說
[15:13] 除了感謝跟分享
[15:14] 也是讓他在心裡鬆動時
[15:16] 回來看看這一篇
[15:17] 他就會再堅持
[15:19] 他已經想通了這樣的初衷
[15:21] 他要堅持下去這樣
[15:22] 所以我覺得在今天跟大家分享是
[15:24] 其實不止這一位分享
[15:25] 我覺得他寫得很具體
[15:26] 我昨天
[15:27] 因為有po一篇文章
[15:29] 是就是幫那個Garmin手錶
[15:31] 做一個小業配
[15:32] 但下面就很多人留言
[15:34] 就有跟我講說
[15:35] 他也是在最後聽我講到
[15:37] 那個配置的觀念的時候
[15:38] 因為一整年長那麼多了啦
[15:40] 所以他就決定
[15:41] 也換一點點到ETF
[15:43] 例如說買一點0052
[15:44] 那就跟上了
[15:45] 整個臺積電這兩天的大漲
[15:47] 心情就豁然開朗
[15:48] 就覺得好像這樣是不錯
[15:49] 但還是要強調
[15:50] 股市一定有漲有跌
[15:52] 所以現在一直往上走
[15:53] 你可能前前買的人
[15:55] 會覺得很開心
[15:56] 還是沒有買的人
[15:57] 會覺得越來越失落
[15:58] 對不對
[15:59] 沒有關係
[15:59] 年後他肯定還是會有出現到
[16:02] 回撤月線
[16:03] 甚至不排除
[16:04] 誰知道回撤季線
[16:06] 那個時候一定要記得
[16:07] 至少佈局一些些
[16:10] 不管市值也好
[16:10] 或是我們的戶口深山也好
[16:12] 那你的相對剝奪感
[16:13] 一定會可以降得很輕
[16:14] 沒錯
[16:16] 我想這位留言的聽眾
[16:19] 我覺得他做了一個
[16:21] 非常好的一個示範
[16:22] 因為我有看到一個
[16:25] 財經網站的一個調查
[16:27] 那他是調查說
[16:28] 就是過去一年
[16:30] 他用的時間點
[16:31] 應該是1月1號之前
[16:32] 就是去年整個國曆一整年的
[16:35] 那我印象中
[16:37] 他說調查出來
[16:38] 如果以百分比來看的話
[16:41] 覺得說去年自己的投資績效
[16:43] 還不錯
[16:45] 感到開心
[16:46] 大概兩成到三成
[16:47] 然後小賺的大概四成到五成
[16:51] 沒賺的可能20到30%
[16:54] 大部分有投票應該都有在投資
[16:57] 沒投資的應該也不會有興趣去點
[17:00] 你的投報率的一個評分
[17:02] 所以我們可以發現
[17:04] 去年即便是大多頭
[17:05] 大概只有20到30%的人
[17:08] 有在投資的人
[17:09] 這20到30%
[17:10] 是明顯感受到說
[17:12] 自己的投保率不錯
[17:13] 感到開心的
[17:14] 那四五成的人就可能沒什麼賺
[17:17] 小小賺一點
[17:18] 有跟上
[17:19] 但是也是有兩到三成人沒賺錢
[17:22] 那我想有幾個原因
[17:25] 第一個當然就是說
[17:26] 如果你去追逐盤面上一個很熱門的題材的話
[17:31] 其實有時候萬一他反轉的非常的特別
[17:34] 那又不是一個長線的趨勢
[17:36] 可能跌下去就回不來的
[17:37] 那大部分的投資人其實
[17:39] 可能就放著不管他了
[17:41] 那到年底結算
[17:42] 你看說我有什麼虧這麼多
[17:43] 我記得以前一個前輩跟我講過一個
[17:47] 一個比喻
[17:48] 這比喻雖然說聽起來有一點點
[17:52] 讓人不舒服
[17:53] 可是我覺得他比喻的蠻恰當的
[17:55] 他跟我說
[17:56] 其實做股票
[17:57] 有一個很大的原則
[17:59] 就是學習怎麼停損
[18:00] 就像你今天交往了一個男女朋友
[18:05] 如果發現性格不合
[18:06] 或者說發現兩個人相處的起來都不怎麼對勁
[18:10] 那就要趁早去做一個割捨
[18:15] 那股票也是一樣
[18:17] 你發現說我跟他沒有緣
[18:19] 或者說我真的是買錯了
[18:20] 行情已經下來了
[18:22] 那他的比喻就是說
[18:23] 他就像廁所裡面的汙垢
[18:26] 馬桶裡面的汙垢一樣
[18:27] 你越早處理你越好刷
[18:29] 你可能簡單拿個刷子
[18:31] 加一點清潔劑就刷掉
[18:33] 可是如果說你越來越不管他
[18:35] 哇那個積的很透
[18:36] 你可能又要加那個什麼蘇打粉
[18:38] 去買什麼強效的清潔劑
[18:40] 在那邊刷個老半天
[18:41] 才可以把它刷乾淨
[18:42] 所以停損就跟
[18:44] 馬桶裡面的汙垢一樣
[18:45] 你越早處理
[18:47] 它越是簡單
[18:48] 但是呢
[18:49] 如果你真的就放任不管它
[18:51] 你到最後你就要花很大的心力
[18:52] 甚至有的人就乾脆說
[18:54] 是不是當做傳家寶
[18:55] 傳給小孩子
[18:57] 甚至就不看了
[18:59] 對就不看了
[18:59] 所以我覺得這位
[19:00] 這位聽眾的留言很好
[19:02] 他有意識到自己的
[19:04] 工作形態
[19:06] 或家庭生活的形態
[19:07] 其實比較不適合去做這種
[19:10] 極短線的操作
[19:11] 所以他準備去佈局一些
[19:13] 可以長線持股的
[19:14] 那當然我也常常強調就是說
[19:16] 即便我們是
[19:17] 算是在這市場上
[19:19] 比較專業的投資人
[19:20] 我們自己有在做研究
[19:22] 有在看報告
[19:24] 有在看法說會
[19:26] 跑法說會
[19:26] 我們也是會看錯嘛
[19:28] 那看錯其實就好像前面講的
[19:30] 你就是要懂得斷舌離嘛
[19:32] 那再來一個就是
[19:34] 如果你真的覺得說
[19:35] 自己的選股能力不怎麼樣
[19:38] 或者說真的沒有時間做選股
[19:40] 像ETF
[19:41] 特別是這兩年開始陸續推出的
[19:44] 這種所謂主動型的ETF
[19:46] 其實績效也都表現得相當不錯
[19:49] 像我自己也買了一點
[19:50] 我是買那個
[19:51] 買那個記憶體壓比較重
[19:54] 我是買991
[19:55] 因為去年981
[19:57] 記憶體壓比較重
[19:58] 這也是一個策略
[19:59] 自己買一個壓力很大
[20:00] 叫別人買
[20:01] 因為第一個
[20:02] 現在很多記憶體的股票
[20:04] 都漲兩倍三倍
[20:05] 如果你閉著眼睛買
[20:06] 你可能不一定敢買
[20:07] 想說有都漲那麼多了
[20:08] 萬一像前幾年突然掉下來
[20:11] 也有可能跌回原點
[20:14] 甚至公司獲利就會轉為賠錢
[20:17] 所以你買個ETF也不錯
[20:20] 而且重點是大部分很多都
[20:22] 今年或去年才發的
[20:24] 去年底才發的
[20:25] 很多都還在十幾塊而已
[20:27] 你要入手也比較好入手
[20:29] 也比較好去均攤你的成本
[20:32] 不然的話你一張進去
[20:34] 可能就二三十萬
[20:36] 三五十萬
[20:37] 你根本買一張
[20:39] 你就已經保了
[20:40] 現在的股王是正二
[20:42] 正二四百多塊
[20:43] 對
[20:43] 正二應該以後有分拆
[20:45] 他已經在投票了
[20:47] 對
[20:47] 所以其實這是一個趨勢
[20:49] 或者像臺積電
[20:50] 現在一張快兩百萬
[20:52] 你要買一張也不好買
[20:54] 而且你買一張的錢
[20:56] 可能你就沒有辦法去做分批
[20:58] 進場的一個佈局
[20:59] 那你買一些臺積電比較高的
[21:02] 比如說0050
[21:03] 現在比例最高
[21:04] 0052
[21:05] 0052應該最高的
[21:07] 對
[21:07] 所以基本上就跟買臺積電差不多
[21:09] 那它的價格也在100塊以內
[21:11] 你就可以去做佈局
[21:13] 所以我是覺得說
[21:14] 如果是像這位聽眾朋友一樣
[21:17] 事業比較忙
[21:18] 家裡的這個事情也比較多
[21:20] 沒有辦法去做相當程度的一個研究
[21:24] 還有去做深入的一些
[21:26] 這個產業的一個調查的話
[21:29] 其實我認為
[21:30] 不管是主動型或被動型的ETF
[21:33] 你都可以著量去做佈局
[21:35] 那簡單來說投資是生活的一部分
[21:37] 但不是生活的全部
[21:39] 所以這樣子的方式
[21:40] 他剛也提到說比較不會去影響到
[21:42] 他正常的工作
[21:43] 正常的作息
[21:44] 那也可以參與到股票上漲時
[21:46] 那個投報率回饋的一個收穫
[21:50] 所以我是覺得說如果有類似像這位聽眾朋友有一樣類似的情況的話我個人是蠻建議去做ETF相關的佈局畢竟交給專業的人去做
[22:00] 總比我們自己在那邊瞎子摸象好多了
[22:02] 不然的話你今天追這個漲停
[22:04] 明天追那個漲停
[22:06] 其實有時候手忙腳亂也不一定賺得到錢
[22:08] 那看交易所每年我記得都會公佈
[22:13] 前一年這個市場當沖的這個盈虧
[22:17] 我記得沒有總結下來
[22:18] 沒有一年是全部人都賺錢
[22:21] 只是虧多虧少的問題
[22:22] 那大部分做的人
[22:25] 其實雖然說總結看起來是虧損了
[22:28] 但是呢
[22:28] 裡面賺錢的人
[22:30] 都是被那些厲害的高手賺走了
[22:32] 所以很多人會覺得說
[22:34] 我做極短線
[22:35] 好像看起來今天賺三千
[22:36] 明天賺五千
[22:37] 很快我就可以不用上班了
[22:39] 可是長期下來呢
[22:40] 沒有工具
[22:41] 沒有策略
[22:42] 沒有計劃的人
[22:44] 這些簡單來講就是韭菜
[22:47] 長期下來其實真的不容易賺到錢
[22:49] 有賺到錢的都一定是有工具有規劃
[22:52] 甚至他們有一些什麼什麼城市交易的
[22:56] 你看到股價在漲
[22:57] 他們可能就電腦城市一打進去
[22:59] 三分鐘之內你你程式碼張數按完
[23:02] 還沒送出去已經漲停收起來了
[23:04] 人家的速度比你快太多了
[23:06] 所以你跟著他以快打快
[23:08] 其實一般人是沒有優勢的
[23:10] 你不要用長線投資
[23:11] 或者說買ETF這樣的方式
[23:13] 比較不會每天好像要嘛就很FOMO
[23:17] 要麼就長追高殺低
[23:18] 比較不容易有這樣的情況出現
[23:21] 我想這個也是在股市大多頭裡面
[23:23] 一個不錯的方法
[23:25] 剛好提到主動CTF
[23:27] 昨天有一箇中史聽眾
[23:30] 有傳訊給我才發現
[23:31] 我講錯一個事情
[23:32] 我常常在講985A
[23:34] 但是我一直把985A
[23:35] 把它講成是他只買
[23:38] 就是市值前50大
[23:39] 那這位朋友他從10塊就買了985A
[23:42] 恭喜現在賺50%以上了
[23:44] 他說他看他的選股邏輯
[23:46] 應該是前150大
[23:47] 他都可以納入他的選股池
[23:49] 對
[23:50] 所以是我這邊講錯了
[23:52] 這邊趕快來更正一下
[23:53] 985A他立志
[23:55] 是希望但不保證
[23:56] 他們的願望是打敗0050
[24:00] 但是他也知道
[24:01] 如果只靠前50檔市值大的話
[24:03] 可能在配置上
[24:04] 還不夠他去超越0050
[24:06] 所以他的選股池
[24:07] 其實擴大到市值最大的前150檔
[24:10] 不過他的總持股是50檔
[24:12] 這邊特此更正
[24:13] 也謝謝這一位提醒我的聽眾
[24:15] 也恭喜你已經在這檔上面賺了五十幾趴
[24:18] 那剛剛我覺得心目哥講的很棒的一點是
[24:22] 其實還蠻多人
[24:23] 像剛剛有一個留言
[24:24] 剛才傳過來沒有多久
[24:26] 我也講一下
[24:26] 他也跟我說
[24:27] 他很喜歡聽我不厭其煩的丁寧
[24:30] 因為他的耳根子很硬
[24:32] 可是因為聽了丁寧之後
[24:34] 他有買這個00830就廢人辦的奧迪
[24:36] 他是選擇一個來回操作
[24:37] 因為廢辦是一個波動稍微比較大一點的市場
[24:40] 他要讓我堅信大跌的時候就持續的買入
[24:44] 所以現在也有小小獲利這樣子
[24:46] 然後他現在也是把賬面上賠的
[24:48] 去轉到市值跟主動式的ETF
[24:51] 希望馬年的賬面可以翻紅
[24:53] 也等於是現在
[24:54] 因為耳根子硬
[24:55] 所以可能過去一年
[24:56] 賬面是還沒有翻紅的
[24:58] 我想這樣的朋友可能不少
