[00:00] 欢迎收听赵华语古惑仔第1107集
[05:38] 是
[05:38] 所以我20岁就入市了
[05:40] 所以确实我
[05:41] 很震撼
[05:42] 那时候当然是年轻人很震撼
[05:44] 可是当然一段台股到现在
[05:49] 如果你历经了将近快40年
[05:52] 你会发现
[05:53] 总体来讲
[05:54] 所谓的市场的这种资金波动
[05:57] 一定会几年
[05:58] 可能会来一次
[05:59] 可是这一次确实是非常大的
[06:01] 一个资金的资金链
[06:04] 我们想说这一次
[06:05] 真的比较像台股刚出息
[06:08] 喷发那种情况
[06:10] 所以我覺得說你事實上搞不好爬網
[06:12] 搞不好你可以發現說
[06:14] 你去找一下1989年那一段
[06:16] 你會發現說那個資金的推擠
[06:19] 基本上是怎麼樣的一個造成
[06:21] 事實上你不要光看台股
[06:23] 其實連美股一樣
[06:24] 美股你會發現說不得了
[06:27] 一支股票它所產生的交易量能
[06:30] 就可以到一天五兆
[06:32] 等於是一個台灣的股市
[06:34] NVIDIA已經發生過
[06:36] Tesla已經發生過
[06:38] 未來你會看還有一支
[06:39] 叫SpaceX
[06:41] 没有错
[06:42] 对
[06:42] 所以我倒觉得说
[06:43] 而且它还要一拆四吧
[06:45] 对不对
[06:45] 我的量体就更大
[06:47] 所以如果资金一直围绕在
[06:49] 这种所谓的这个股市
[06:50] 是
[06:51] 全球的股市里面
[06:52] 那我觉得说
[06:53] 这个动能基本上还在情况下
[06:56] 我不觉得说
[06:57] 它马上就会所谓的反转
[06:59] 对
[07:00] 倒是觉得说
[07:01] 你可能在这个位置点呢
[07:02] 还是
[07:03] 对我来讲
[07:04] 我还是会避开这种
[07:06] 已经翻了两三倍
[07:07] 这种高档
[07:08] 刚下滑了这种股票
[07:10] 它风险值当然比较高
[07:12] 如果你去找到一些
[07:13] 比如说一样是热门的一些题材族群
[07:16] 它基本上是已经修正过回来以后
[07:19] 那有发动的一个迹象
[07:21] 那事实上这个反倒是有机会
[07:23] 因为动能可能会移转
[07:25] 这个时候我觉得说
[07:27] 为什么我会还进场的一个因素
[07:29] 因为我知道最近应该有很多
[07:33] 所谓的股市新手刚进来
[07:35] 这几年我想每年都会有一些
[07:37] 所谓的股市新手进来
[07:38] 那为什么我常常找的达人
[07:40] 一定要历经过多空循环
[07:43] 多空循环的好处是
[07:44] 也不会盲目乐观
[07:46] 因为看过崩盘
[07:47] 崩盘真的很惨
[07:49] 其实这几年
[07:50] 2022年那一波
[07:52] 因为这个二五战的六千点下杀
[07:54] 它还不太能算是真正的大崩盘
[07:56] 之前有更惨烈的大崩盘
[07:58] 经历过大崩盘的人
[08:00] 他来看这一波
[08:02] 就会更加的客观
[08:03] 例如说云翔哥是可以追溯到
[08:05] 这个1989年的资金的效应的盛况
[08:08] 所以现在看到这样的资金热潮
[08:10] 不会觉得很意外
[08:11] 甚至也可以合理的判断说
[08:13] 还没有到尽头
[08:15] 因为这个泡沫或资金的热潮
[08:17] 它会一直涌入
[08:18] 我们现在资金来源很多
[08:19] 如果比起1989年的话
[08:21] 我想我们至少历经过
[08:22] 在这个美国
[08:24] 这个所谓量化宽松
[08:26] 要得诺贝尔奖的
[08:27] 就是撒钱嘛
[08:28] 对不对
[08:29] 然后而且不止美国撒钱
[08:30] 其实各国政府都有相当多的
[08:33] 时间下是在做撒钱的
[08:35] 在降息低利率的环境中
[08:37] 资金非常的充沛
[08:38] 这些都是
[08:39] 还有就是AI带动的
[08:41] 整体企业获利的上扬
[08:43] 企业也变得有钱
[08:44] 继续做资本支出的撒钱
[08:46] 所以现在的资金量
[08:47] 因为现在的股票
[08:49] 大概1800档
[08:50] 当年
[08:51] 大概400只
[08:53] 大概400只
[08:53] 1800档只是上市
[08:56] 上市就上会不得了
[08:58] 我们现在上市过1800
[09:00] 不加新贵
[09:01] 加新贵可能会更多
[09:02] 可是现在资金量会比1989年还要多
[09:06] 还要膨胀N倍
[09:08] 现在好处是标的多
[09:10] 标的多我们又有一个很大的主流叫AI
[09:13] 这个主流比起当年可能我们听过的金融
[09:17] 房地产 资产股
[09:20] 然后原物料都还要大
[09:22] AI呢
[09:23] 大家讲说AI泡沫
[09:25] 那时候基本上如果你去对比2000年的网络泡沫的话
[09:29] 基本上这两个是真的差异是很大的
[09:32] AI是真的看到这个所谓的产出
[09:35] 跟它的这个终端可能的这个收益的需求
[09:38] 那网络泡沫的话就真的只是一直在烧钱
[09:41] 对所以还是有差异的
[09:43] 那另外也是刚讲说
[09:45] 资金你回溯去看这个1989年的资金动能
[09:49] 跟现在资金动能
[09:50] 你如果再回溯去看什么叫资金退潮
[09:53] 也就是说你去看一下2000年的资金退潮
[09:56] 还有2012年因为这个所谓的税的问题
[10:00] 就是等于是有资本利得税
[10:03] 这些相关的
[10:04] 又在重提的时候
[10:06] 资金动能掉到五六百亿的动能
[10:09] 那时候基本上当然
[10:10] 所谓的指数的走势
[10:13] 基本上跟现在是完全不一样
[10:15] 所以今天虽然洗刷
[10:18] 刚刚也特别提到
[10:19] 感觉上下超过1500点很多
[10:21] 但其实后来看看点数
[10:23] 跟这个形态还好
[10:25] 所以云翔哥在今天判断是尾盘去捡
[10:28] 不过今天的心路历程是如何
[10:30] 因为一早我们还觉得开开心心
[10:32] 大概11点之后才开始往下溜滑梯
[10:35] 对
[10:35] 那这边的时候你要怎么判断
[10:38] 今天不是一个高档的正式反转
[10:40] 因为爆大量
[10:41] 其实杀到快1000点的时候
[10:43] 是有点
[10:44] 我们是有点警备的
[10:45] 那这个看法是这样子
[10:48] 说你如果说
[10:49] 虽然我心脏是比较大颗
[10:50] 看过比较多的一个状况
[10:52] 听说今天制作人不断地反映
[10:54] 讲说你会不会怕
[10:55] 你会不会怕
[10:55] 对
[10:56] 他自己怕
[10:57] 不停地跟云翔哥说
[10:58] 你会不会怕
[10:59] 我说你觉得
[11:01] 我倒觉得是这样子
[11:04] 就是说会不会怕在于说
[11:06] 就是说市场
[11:07] 你要观测到一点
[11:08] 就是说
[11:09] 如果现在市场产生了一个
[11:11] 叫做所谓的
[11:12] 我们讲说市场一种崩溃性的
[11:15] 一个崩跌
[11:16] 就是说出现了好几次
[11:19] 连续性的跌停
[11:20] 或者是整排
[11:22] 就是所谓的之前热门股
[11:24] 整排是跌停
[11:25] 这时候等于是资金有一点
[11:27] 就是变成比较消极的情况的一个状况
[11:32] 然后整个市场都是一个
[11:35] 等于是大量的一个卖出
[11:37] 那这时候一定是一个长黑
[11:39] 而且不会说什么下影线
[11:40] 你会发现这个情况下
[11:42] 对我来讲
[11:42] 我也可能是会稍微做一些减码
[11:46] 那如果是你会发现说总体来讲可能一些跌停的股票或者是下来的股票在于那些已经喷发两三倍的股票涨很多的回档那是不是很合理
[11:58] 因为你总不能看这些股票
[12:00] 永远是他们在喷
[12:01] 所以说如果是这些股票
[12:03] 基本上回档比较多
[12:05] 甚至跌停
[12:06] 对我来讲
[12:07] 我看也不觉得会怎么样
[12:09] 就是说你要看
[12:10] 其他的这些股票
[12:11] 还有一些股票
[12:14] 它基本上是可能还是在涨
[12:16] 对不对
[12:16] 或者是说他基本上
[12:18] 对今天来讲
[12:19] 他的波动性没有那么大
[12:20] 那我倒觉得说
[12:22] 这有一个换手的一个机会
[12:23] 好
[12:24] 你看这个真的是身经百战
[12:26] 今天跌停加速
[12:28] 其实不太算多
[12:29] 今天中场的跌停加速
[12:31] 我刚刚看上市只有五家
[12:33] 那上柜的话
[12:35] 当然重挫的很多
[12:36] 然后上柜只有两家
[12:38] 所以今天可能是
[12:39] 集体的体感不太舒服
[12:41] 可是你说有没有恐慌到
[12:43] 人踩人
[12:44] 大家都跌停
[12:45] 整个族群全部刷一排绿灯
[12:47] 没有
[12:47] 但是有没有整个族群是跌比较重
[12:50] 有像今天CPO还是跌比较重
[12:52] 因为昨天应该说今天早上
[12:54] 这个Marvell才爆出来
[12:56] 其实还不差
[12:57] 但是因为昨天晚上美股的气氛
[12:59] 并没有算是太怎么讲
[13:01] 一致的往上
[13:02] 也是比较洗刷震荡的
[13:04] 结果后来Marvell就没有出现
[13:06] 很好的盘后表现
[13:07] 那今天我们的CPO就相对更弱
[13:10] 当然CPO跌到这边能不能接
[13:12] 等一下可以来拷问一下云香哥
[13:14] 但是先回到
[13:15] 我们先把时间回收到上个礼拜三
[13:18] 同样的情况
[13:18] 我们那一天跌破了四万点
[13:20] 其实很多人都觉得非常紧张
[13:21] 觉得要再一次的来洗刷了
[13:24] 结果没想到一个V转
[13:25] 就直接涨了五千点
[13:27] 大家知道云翔哥做了什么事吗
[13:29] 因为我跟其他来宾也有做分享
[13:31] 云翔哥在跌破这个月线的时候
[13:33] 按照纪律大幅减码
[13:35] 但是过两天正式站回月线
[13:38] 他也只好按照纪律大幅加码
[13:41] 那时候我有跟
[13:42] 那时候是小哥跟明翰来录影
[13:45] 我就跟他们两个分享说
[13:46] 你知道你今天云翔哥
[13:47] 把部位全部加回来耶
[13:49] 因为那天好像大涨一千多点
[13:50] 对对对
[13:51] 然后他们两个就同时看着我说
[13:53] 他这样子在大涨的时候加
[13:55] 他都不会怕
[13:57] 等一下过两天又下去吗
[13:58] 我说没有办法
[13:59] 那如果过两天上去呢
[14:01] 他们说对
[14:02] 然后果然
[14:03] 过两天是完全不回头的上去
[14:06] 可不可以讲一下
[14:07] 你按照这样的纪律
[14:09] 真的套句我们制作人说的
[14:11] 你加回来那天是涨一些多点都不会怕吗
[14:14] 事实上当然会不会怕的因子在于说
[14:19] 其实我比较怕的是在持续的一个灌杀
[14:23] 所以说第一次当然在这个减码
[14:27] 是我必要的一个措施
[14:29] 破月线
[14:30] 因为我们讲说七成可能降到五成
[14:34] 再破下去基本上当然就是对我来讲
[14:37] 就是一个警讯会不会翻空
[14:38] 那在这个点
[14:39] 我已经本来就预测好
[14:41] 如果它重回又站回到月线之上
[14:46] 那势必它这个所谓的
[14:47] 这个现行并没有破坏
[14:49] 所以这个多头的一个强势的行为
[14:52] 还是持续
[14:53] 那你问我会不会知道它非准
[14:55] 我当然不会知道
[14:56] 可是我是至少知道说
[14:57] 它能够勇于站回月线
[15:00] 而且资金
[15:01] 我讲说资金很重要
[15:02] 资金的动能基本上
[15:04] 还是维持在大概一兆以上的一个动能
[15:07] 那也代表说
[15:08] 大家对这个市场来讲
[15:10] 没有看坏
[15:11] 所以资金还是继续投入
[15:13] 那对我来讲
[15:14] 我就要保有现在的
[15:15] 这种所谓的强势的
[15:17] 一个资金行情
[15:18] 我其实怕的是
[15:20] 把这个资金行情
[15:21] 就是没有掌握住
[15:22] 好 因为那时候
[15:24] 问云翔哥他的反应是
[15:25] 我怕我手上没有股票
[15:26] 这才是世界上最恐怖的事
[15:28] 手上的第一十股好恐怖
[15:31] 当然是因为后面的反转
[15:34] 但是并不是全无判断
[15:36] 是会判断
[15:37] 后续反转的几率高
[15:39] 所以就勇敢的在反转第一天
[15:41] 赶快买回来
[15:42] 就回到月线上了
[15:44] 其实大家会觉得
[15:45] 好像涨一千多点
[15:45] 这天要追股票
[15:46] 可是追的话
[15:48] 你是追哪一些你追得下手的
[15:50] 对 我刚刚也讲到重点
[15:52] 就是说
[15:53] 其实在这些族群里面
[15:56] 当然我就不会去特别追说
[15:58] 比如说
[15:58] 所长停板的
[16:00] 对 所长停板的
[16:01] 然后比如说
[16:02] 基底当然是跟的
[16:04] 因为美光的一个运动
[16:05] 可是事实上
[16:06] 我们当然也清楚说
[16:07] 美光跟台湾的D-RAN股票
[16:09] 还是有一些差异性
[16:11] 对
[16:11] 它可能是在比较高端的
[16:13] 比如HBM
[16:14] 或相关的一些
[16:16] SSD的相关的一些东西
[16:18] 那跟这个DDR4
[16:20] 当然是差异
[16:21] 还是有
[16:22] 还是蛮大的
[16:23] 所以就是说
[16:24] 不会特别去追它
[16:25] 因为美光
[16:26] 对
[16:26] 那当然就是说
[16:28] 如果这个被动元件
[16:29] 你现在下午去追
[16:30] 当然我
[16:30] 我当然也会缩手
[16:32] 因为
[16:32] 这已经在一个月里面
[16:34] 喷翻了一两倍的距离
[16:37] 所以没有必要去
[16:38] 在这个时候去追逐
[16:40] 真的吗
[16:41] 所有的被动元件吗
[16:42] 因为所有被动元件
[16:43] 大大小小还蛮多的
[16:44] 没有
[16:44] 所以在被动元件里面
[16:46] 事实上我觉得说
[16:47] 如果这一块里面
[16:50] 你认为说
[16:50] 它已经是当然喷翻了
[16:52] 对不对
[16:53] 那可能可以找一些
[16:54] 之前有讲像心情
[16:56] 这些
[16:57] 保护元件的心情
[16:59] 它也是属于
[17:00] 被动元件的一块
[17:01] 只是说它是在
[17:03] 电源的保护元件
[17:04] 那当然现在
[17:06] 年薪清也很高
[17:07] 对
[17:07] 心情有没有锁呢
[17:09] 我看一下
[17:09] 因为我今天一早
[17:10] 也是看到心情立刻
[17:11] 就是一字
[17:12] 先是快要一字锁
[17:13] 对
[17:13] 后来锁回去了
[17:15] 锁回去了
[17:15] 好厉害
[17:16] 不过还是够强的原因是
[17:17] 因为就以他的
[17:18] 收益性来讲
[17:20] 他的本益比
[17:21] 还是比他们来讲
[17:23] 还是比较低
[17:23] 对
[17:24] 所以按照这样的一个逻辑
[17:26] 推下来
[17:26] 你会发现
[17:27] 今天这两天又在讲
[17:29] 这个所谓
[17:30] 这个陈泰明讲说
[17:32] 他还想去收什么
[17:33] 这个分离式元件
[17:36] 是
[17:36] 他还要继续做他的诟病大事业
[17:39] 对
[17:39] 然后呢
[17:39] 刚好最近又讲到这个
[17:41] 车用的这些元件
[17:44] 今天有个消息
[17:45] 大家有注意到吗
[17:46] 就是所谓的232关税的条款
[17:48] 有谈好了
[17:50] 所以这个汽车零组件
[17:52] 今天一开盘是刷一排红灯
[17:54] 所以你就可以朝这个方向说
[17:56] 现在对哪些族群可能有利
[17:58] 然后这个元件可能
[18:00] 本来就有一些涨价效应
[18:02] 如果又有关税降低的这个事情
[18:04] 那当然是一个比较大的利多
[18:06] 所以资金应该流向
[18:08] 最近可能比较有热度
[18:11] 然后有稍微有延续性的一只股票
[18:13] 因为被动元件很广
[18:15] 我觉得这是好处
[18:16] 或者说你可以延伸到
[18:18] 整个所谓功率元件都可以
[18:20] 就是跟电有关的
[18:22] 这个二集体
[18:23] 什么电容电感
[18:25] 他们都是元件
[18:27] 都各自有领域
[18:28] 然后刚刚云霞哥讲了一个很大的重点
[18:30] 就是车用在以前
[18:32] 就是大家都很讨厌的
[18:33] 觉得说粘到车又没有用
[18:35] 可是现在随着像这个关税已经谈定
[18:38] 或者说汽车市场有在回暖的情况下
[18:41] 车用它又变成一个助力了
[18:43] 因为它在AI的情况下
[18:45] 它原本的车用好起来了
[18:46] 所以我觉得这是一个很好的观察方向
[18:49] 那因为他们的用途
[18:50] 就算在消费性电子也有
[18:51] AI也有
[18:52] 最好的情况就是
[18:53] 有粘上了AI打进去了
[18:56] 原本手上那一块消费型的
[18:58] 也有在起色
[18:59] 我想这是现在有蛮多
[19:01] 为什么最近涨功率
[19:02] 原件一个很重要的原因
[19:03] 不是他们100%都在AI
[19:04] 而是原本的消费性市场有起色
[19:07] 对
[19:07] 而且现在你发现说
[19:08] 整个集团股都在贷
[19:10] 对
[19:11] 从国际集团
[19:12] 没错
[19:12] 现在你发现
[19:14] 现在在贷什么
[19:15] 中美金
[19:16] 中美金
[19:17] 环球金
[19:18] 环球金创历史高了吗
[19:20] 对
[19:20] 上千了
[19:22] 对上千了
[19:22] 对
[19:22] 那它就创历史高了
[19:23] 所以就我们想说
[19:24] 之前为什么
[19:25] 我会一直提中美金
[19:26] 原因也这样
[19:27] 就是说
[19:28] 确实它整个族群里面
[19:30] 也都是刚好这些公立原件也有
[19:32] 这个经援
[19:34] 相关的这些基础的一些东西都有
[19:38] 所以你发现说中美金喷成这样
[19:40] 所以今天你发现说
[19:42] 它那个8255
[19:44] 鹏城也是它的一个大资公司
[19:46] 刚好也落在这个所谓的分离式原件
[19:49] 这个所谓车用的原件
[19:52] 刚好这个题材也对
[19:54] 所以我觉得说
[19:55] 类似这样的一个状况
[19:57] 你可以把集团也把它合并
[20:00] 坐在里面来思考这个问题
[20:02] 中美金集团之前真的比较落后
[20:05] 但是环球金
[20:06] 有跟大家分享
[20:07] 细金源涨价这件事情
[20:09] 环球金是龙头厂商
[20:10] 但我觉得真的厉害
[20:12] 因为环球金之前的高点在972块钱
[20:15] 那个时候的环球金
[20:16] 我记得EPS大概都三四十块是蛮不错
[20:19] 那怎么涨到那么多呢
[20:20] 因为当时他要诟病一家德国的企业
[20:23] 所以大家寄予厚望
[20:25] 因为他只要诟病完
[20:26] 那一家德国的戏剧院厂
[20:27] 他就是妥妥的世界第一
[20:29] 后来诟病失败了
[20:32] 这个失败对他的打击很大
[20:35] 他从972元杀下来之后
[20:37] 又遇到2022年
[20:39] 那一波的6000点下杀
[20:40] 整个砍到我记得300多块
[20:43] 对差不多
[20:43] 就三分之一斩
[20:45] 所以今天盘中有破1000块
[20:47] 创历史新高的环球精
[20:48] 我们要为他拍拍手
[20:50] 他回来了
[20:51] 他回来了
[20:52] 他也创下历史新高了
[20:54] 因为它毕竟是细金元龙头
[20:56] 也是一家龙头厂
[20:57] 所以目前
[20:58] 我前几天在数
[20:59] 当国具起来的时候
[21:01] 我就想
[21:01] 到底还有哪一个龙头厂
[21:03] 没有创新高
[21:04] 说实话就剩下环球金
[21:06] 环球金现在也创新高了
[21:08] 我现在已经想不出来
[21:09] 台股哪一些跟AI相关的龙头股
[21:12] 还没创新高了
[21:13] 是
[21:13] 所以选择这种集团加持的
[21:16] 然后还没有涨那么多的
[21:18] 可能就会是这一波的选择
[21:20] 因为云翔哥之前
[21:21] 也有来受我们的专访
[21:22] 就讲他的老二老三折旋
[21:24] 那今天尾盘你去捡什么呢
[21:28] 就大概
[21:29] 我一直大概在找这些股票
[21:32] 像刚讲中美金
[21:33] 我还持续去捡
[21:35] 刚讲中美金的子公司
[21:37] 环球经营讲的
[21:38] 我讲鹏城
[21:39] 855鹏城
[21:40] 大概类似这样的股票
[21:41] 我大概就去捡
[21:43] 因为今天等于是题材
[21:44] 也在车用零件
[21:46] 降关税的问题
[21:47] 还有本来这些
[21:49] 就是功率元件
[21:51] 本来就最近还是很强
[21:52] 那你会考虑去买
[21:54] 汽车零组件吗
[21:55] 因为今天涨上来
[21:56] 就是什么根顶TVC
[21:58] 地宝
[21:58] 都是我们耳熟男
[22:00] 东洋
[22:00] 通通都所长停
[22:02] 我到时候就忍不住
[22:03] 问身边的人说
[22:04] 那你们会不会想要去买
[22:05] 汽车零组件
[22:06] 结果大家都被吓到过
[22:08] 所以就说
[22:08] 因为目前没有兴趣
[22:10] 怕一日好情
[22:10] 我可能会找一些
[22:11] 就是他
[22:12] 有跨两个族群
[22:14] 就你也是
[22:15] 这个AI伺服器相关
[22:17] 有的
[22:17] 然后同时也是
[22:19] 这个车用有的
[22:20] 尤其车用里面
[22:21] 当然最好
[22:22] 它是列在这个电动车里面
[22:24] 好
[22:25] 大家去找看
[22:26] 有没有多题材
[22:26] 例如我想到是
[22:28] 有一有车用的零组件
[22:29] 有切机器人
[22:30] 对对对
[22:32] 像这种的
[22:33] 也许他不用等到今天
[22:34] 不用等到什么条款
[22:36] 他就可以直接先
[22:38] 事前已经先涨过了
[22:39] 今天真的所有的车用相关
[22:41] 包括说我看到有一档
[22:42] 好久没有讲的
[22:44] 像华佛
[22:44] 好久没有看到他涨停了
[22:46] 美旅合金
[22:47] 用在车用上面的
[22:49] 诸如此类
[22:50] 我觉得大家可以看一下
[22:52] 那今天盘面上的被动还是非常厉害
[22:54] 尤其像石英元件
[22:55] 这个是在被动里面比较更慢来发动的
[22:59] 那我有讲我本来有经济嘛
[23:01] 卖飞了卖飞了就卖飞了
[23:02] 我没有想到今天石英元件
[23:05] 可以整体强到这种程度
[23:07] 所以还是一句老话
[23:09] 今天的台股还是有人接棒
[23:11] 虽然一开始我看到是汽车零组件
[23:14] 接棒的时候
[23:15] 我有吓就是有点毛毛的
[23:17] 哎呦传产接棒
[23:18] 可是没有不好
[23:19] 没有不好
[23:19] 因为我们常常讲汽车零组件
[23:21] 之前我记得在去年
[23:23] 大概11、12月我也讲过
[23:25] 为什么
[23:25] 因为进入到碰撞见忘记
[23:28] 总觉得要有一点表现
[23:30] 尤其是像东洋这种非常历史悠久
[23:33] 获利又好的公司
[23:34] 但后来是一直破底
[23:36] 我也是傻眼
[23:37] 而且他们的利润其实没有到太差
[23:40] 可是我觉得就是隐忧就那种我到底要被科多少关税我可能会输给日欧大厂的那个引优没有拿掉它也是比较传统对比较没有切到AI
[23:50] 对
[23:51] 好
[23:52] 所以大家就看自己的喜好
[23:54] 但是我觉得
[23:55] 至少在汽车零组件
[23:56] 这一块上面
[23:57] 所有厂商
[23:58] 比较担心的事情
[23:59] 拿掉了
[24:00] 那接下来就回到
[24:01] 市场机制
[24:02] 就是到底
[24:02] 使用零件
[24:03] 现在北美的状况如何
[24:05] 上次都是炒
[24:06] 那个保险法通过以后
[24:07] 可以用这个
[24:08] AM零件什么的
[24:09] 就回归到市场机制
[24:11] 获利好
[24:12] 大家要值利率或什么的
[24:13] 各自去思考
[24:14] 但是以我跟云翔哥
[24:16] 比较积极的个性来说
[24:17] 就最好还是要沾到新科技
[24:19] 沾到AI
[24:20] 沾到机器人都好
[24:21] 多题材比较保险
[24:23] 是
[24:23] 好那如果是这样子的话
[24:26] 今天假设难关度过
[24:28] 现在看夜盘也是一个
[24:30] 比较回稳的状况
[24:31] 没有在杀了
[24:32] 还有恢复小反弹
[24:33] 但是现在很可怕
[24:34] 现在晚上长得跟白天
[24:36] 长相差异很大
[24:37] 你还有在布选择权空单吗
[24:40] 有啊
[24:41] 你看嘛
[24:41] 我上礼拜布的
[24:44] 已经大概喷飞了嘛
[24:46] 那时候跟你讲说
[24:47] 我在布这个礼拜五的
[24:50] 这个结算的选择权
[24:53] 大概就脱离了三千点
[24:55] 脱离了三千点
[24:57] 突然间有稍微靠近一点
[24:59] 可是基本上也大概回不来
[25:01] 对
[25:01] 所以以目前的看来
[25:04] 就是我还是持续啦
