[00:00] 欢迎收听赵华谊股货载第1122集
[03:55] 你最好FED是能够降息的
[03:57] 来刺激经济
[03:59] 然后所以你看他很快的在
[04:01] 这个FED还没有开会之前
[04:03] 他就说我要赶快跟这个伊朗
[04:05] 签下这个和平协议书
[04:06] 就告诉你说
[04:07] 他其实非常在意
[04:08] 他今年的期中选举
[04:10] 因为一旦FED做了一些什么样的动作
[04:13] 基本上他就会卡住很多的东西
[04:16] 所以这东西基本上是非常重要的
[04:19] 所以我讲
[04:19] 我在我今天早上的程序上也写
[04:21] 我说只要FED不要乱动
[04:24] 基本上台股要过高
[04:26] 应该是没有什么太大的问题
[04:27] 所以你看今天基本上台股的股市
[04:30] 基本上它就跟着日韩股往上走
[04:33] 盘中大盘还有稍微有压一下
[04:35] 可是你也看得出来
[04:36] 今天其实贵买非常的强
[04:37] 其实今天贵买一直在均价上
[04:40] 但是其实贵买还差一点点就过高
[04:42] 所以今天是大盘领先先过高
[04:44] 贵买还没有
[04:45] 所以可以预期的是
[04:46] 整个端午节回来之后
[04:47] 贵买一定要创新高了
[04:49] 因为它已经被压很久了
[04:51] 在前段时间
[04:52] 因为整个市场的氛围
[04:54] 在这样其实大家对
[04:55] 整个联准会议的一个
[04:57] 无法预测
[04:57] 跟整个美裔战争的
[04:59] 一个尴尬的情况之下
[05:01] 其实指数一度是要下修的
[05:02] 我记得那时候
[05:03] 我还特别提了00632R
[05:05] 我说00632R
[05:06] 周大量高突破了
[05:07] 这是一个很不好的警讯
[05:09] 可是在这段时间
[05:11] 其实你看
[05:11] 00632R它再度破大量低
[05:13] 破大量低告诉什么
[05:14] 告诉你目前这个杂道
[05:16] 的闸门是拉起来的
[05:17] 就是目前是多头无碍
[05:20] 就是开绿灯的
[05:22] 所以今天大家
[05:23] 其实应该很嗨
[05:24] 因为今天大家
[05:25] 很多股票都是大涨的
[05:27] 那相对来讲
[05:28] 如果你现在是
[05:28] 现金部位比较高的人
[05:30] 现在就很尴尬
[05:31] 因为你怎么进场
[05:32] 其实每一个都很高
[05:33] 包括像GT很高
[05:35] 国际基本上
[05:36] 你根本买都买不到
[05:37] 国际今天又亮灯涨
[05:39] 我还卖废了
[05:40] 所以这行情基本上
[05:41] 就是让很多人会觉得
[05:43] 怎么才一个礼拜的时间
[05:45] 就变化这么大
[05:46] 所以我记得上次我们来股会宅的时候
[05:48] 还有在达人秀
[05:49] 我就讲说
[05:49] 你还是要维持五成的部位
[05:51] 你不能看太空
[05:53] 因为这个行情并没有到太空的地步
[05:56] 我说充其量
[05:57] 它就是一个修正而已
[05:58] 果然它打到月线下弯之后
[06:01] 月线又再度拉起来
[06:02] 所以现在贵买跟大盘月线
[06:04] 都是往上走的
[06:05] 月线往上走就是什么
[06:06] 就是一个多头的架构
[06:08] 我们每次来都跟同学大家讲说
[06:09] 不要忘记你要看形态
[06:12] 形态是月线上弯的情况之下
[06:14] 就算修正不会修正太久
[06:15] 如果月线下弯就要很小心
[06:17] 那什么之前要很小心
[06:18] 那就是月线下弯了
[06:20] 现在看起来又回到正常
[06:21] 这个确实行情来得
[06:24] 有点出乎预料之外
[06:25] 可是确实凯哥
[06:26] 是一定坚持手上
[06:28] 要有基本部位的五成
[06:30] 五成当然每一个人的想法不一样
[06:32] 有人杠杆已经开好开满了
[06:34] 有人比较保守
[06:35] 也许最近是降部位
[06:36] 但都没有关系
[06:37] 确实到了今天
[06:38] 台股创新高
[06:38] 而且很多的中小型股
[06:40] 在今天有族群性
[06:41] 所以今天的体感温度
[06:43] 应该相对是好的
[06:44] 我有看了一下盘面的族群
[06:47] 其实被动元件
[06:48] 真的非常之厉害
[06:49] 我还记得前几天
[06:50] 有跟大家哀号
[06:51] 把这个信商店跟国巨卖飞了
[06:53] 但没有关系
[06:54] 因为手上有其他的被动元件
[06:56] 就是这个族群
[06:57] 如果您是喜欢
[06:58] 你手上一定要有强势股的
[07:00] 说实话不能没有
[07:01] 对 说实话不能没有
[07:02] 昨天我们是价值投资的股余来
[07:04] 他也特别提到
[07:05] 整体台股的架构跟评价
[07:08] 必须往上调
[07:09] 因为他是价值派
[07:11] 那价值派怎么看现在台股
[07:12] 就是整体评价
[07:13] 你就是必须往上调
[07:14] 因为现在的状况就是不一样
[07:16] 成长性就是非常的高
[07:17] 被动元件您就一定要有
[07:19] 好 等一下来聊一下
[07:20] 可能被动元件
[07:21] 如果还没有办法上车的朋友怎么办
[07:23] 今天有另外一个功率元件
[07:26] 功率元件其实我们演讲很多很多次
[07:28] 可是今天是真的叫非常整齐的发动
[07:31] 有很多是一开盘就直接一字锁涨停
[07:33] 元件类的最近很好
[07:35] 另外一个IC设计类的锐域
[07:38] 我们都叫锐域是螃蟹
[07:40] 因为锐域的它那个logo像螃蟹
[07:42] 瑞玉今天已经是拉第二根涨停了
[07:44] 那也带动了很多IC设计有做表态
[07:47] IC设计这个族群
[07:48] 也有很多是中低价位的
[07:50] 大家比较容易介入的
[07:52] 那另外呢
[07:53] 今天有这个台积电跟这个艾克尔
[07:55] 签订了一个十年的封装的长约哦
[07:59] 这事情很耐人寻味
[08:00] 他为什么要跟艾克尔签这么长的约
[08:03] 业界说从来没看过台积电愿意签十年长约
[08:06] 这带动今天的封测股大涨
[08:09] 我要讲的是说
[08:10] 强势的被动或公路援建
[08:12] 您可能要有
[08:12] 可是像我很喜欢封册
[08:14] 我想大家听古惑仔一定都知道
[08:16] 我也等到封册回后怎么样
[08:18] 重新再起工
[08:19] 对所以盘面上是你要强势的
[08:22] 你要蹲点等的都有机会
[08:24] 这样我们来看一下
[08:25] 这个台建跟M科为什么要签这个合约
[08:28] 其实一个逻辑其实很简单的懂
[08:30] 就是其实川普不是讲吗
[08:32] 未来的半导体的制造要五成在美国
[08:35] 对
[08:35] 就告诉你说
[08:36] 未来台积电在美国的产出会大量的增加
[08:39] 可是你现在日月光到美国去投产
[08:41] 一定趕不上目前的一個台建的生產的速度因為台建是夾持著美國的資源在做一個投資的所以他勢必在當地要有一個封裝的產能來搭配
[08:52] 再來就是你可以看到
[08:53] 不管是Intel或者是其他的大廠
[08:57] 其實他們也都有拿到美國的補助
[08:59] 所以他們基本上也在美國
[09:01] 大張旗鼓的正在擴張當中
[09:04] 所以台電勢必要怎麼樣
[09:05] 要做一個很小心
[09:06] 就是他要先把他的產能先parking住
[09:09] 所以他跟Anchor做一個合作
[09:11] 基本上我觉得是
[09:12] 我就并不意外
[09:14] 但是其实封装的结构
[09:17] 其实我们之前有提过
[09:17] 其实这两年就是很好
[09:19] 那只是有些股票
[09:20] 基本上它之前就是很弱
[09:22] 今年最弱的晶圆店都拉长了
[09:24] 对
[09:25] 但是其实我是觉得
[09:26] 晶圆店不应该这么的弱
[09:27] 但是之前就是因为
[09:29] 它刚好面临到
[09:30] 整个ETF的调整
[09:31] 所以就让它的形态变坏
[09:33] 变坏之后
[09:34] 其实大家就一段时间
[09:35] 无人问津
[09:35] 可是它今天就拉起来
[09:37] 我看历程好像今天也是拉起来
[09:38] 所以感觉是今天封车
[09:39] 族群都拉起来
[09:41] 我还讲一下
[09:42] 大家其实
[09:43] 被动元件有一个很大的迷失
[09:45] 就是我之前有讲过
[09:46] 就是被动元件有两家公司很重要
[09:48] 因为就是和生堂一个信仓店
[09:50] 这两家是有吃到
[09:51] Envira的订单的
[09:53] 那其实你再看一件事情
[09:55] 就是被动元件
[09:56] 跟过去的被动元件是一样的吗
[09:58] 其实不太一样
[10:00] 不太一样
[10:01] 就算这一次的景气的变化
[10:03] 其实也是不太一样
[10:05] 大家常常用网通来比喻说
[10:07] 这次很像当年的网通
[10:08] 会不会是一个泡沫
[10:09] 你有没有注意到
[10:10] 其实我们整个AI在大涨
[10:12] 只有美国
[10:13] 台湾
[10:14] 韩国跟日本在大涨
[10:16] 它不是全世界都在大涨
[10:17] 很多地方还是跌的
[10:19] 很多还是跌的
[10:20] 有些地方近年可能还跌了四五成
[10:22] 所以告诉你
[10:23] 它跟当年的网络泡沫不太一样
[10:25] 当年网络泡沫是全世界疯狂
[10:27] 可是这一次是有AI的国家
[10:29] 才能够疯狂
[10:31] 所以你是强的有道理
[10:32] 强的有真理的
[10:34] 这是极客不太一样
[10:36] 再来就是被动元件
[10:37] 基本上这个时间点
[10:38] 你会觉得说好像它涨很多
[10:39] 可以讲一件事情
[10:40] 未来如果假设今天
[10:43] 希西威讲的是真的
[10:44] 黄勋讲的是真的
[10:45] 明年开始机器人就要大成长
[10:47] 机器人大成长
[10:49] 也会把什么
[10:49] 也会把被动元件的需求
[10:50] 整个都带上来
[10:51] 所以被动元件的需求
[10:53] 变成是
[10:53] 从现在一直到未来几年
[10:55] 其实都会是大成长
[10:57] 重点是在于说
[10:58] 你的被动元件
[10:59] 是否什么样的产品线
[11:01] 你能不能卡到目前的需求
[11:03] 就是你能不能卡到AI的需求
[11:04] 还是能不能卡到机器人的需求
[11:06] 还是你就一直都没有长进
[11:08] 一直还留在PC NB的时代
[11:10] 那就会比较麻烦
[11:11] 一直卡在PC跟NB的时代
[11:13] 从第三季开始就有一个警讯
[11:15] 就是你没有办法跟客户
[11:18] 百分之百的调涨报价
[11:19] 因为客户的状况很差
[11:21] 他不能让你调涨报价
[11:22] 那时候就是强弱就会分开来了
[11:25] 就是你如果是很高阶的
[11:27] 你可能真的是吃补
[11:30] 但是如果你真的是
[11:31] 做到这些市况比较差的产业
[11:33] 你可能就会原形毕露
[11:35] 所以这十点点
[11:37] 基本上不能讲说
[11:38] 你只要有备用件就好
[11:40] 不行
[11:40] 你还是要看
[11:41] 你的备用件到底是谁
[11:43] 我们看到最近
[11:44] 其实在大涨的过程里面
[11:45] 除了刚刚的和生堂
[11:46] 跟新商店以外
[11:47] 其实整个MLCC族群
[11:49] 很整齐地往上拉
[11:50] 但MLCC里面
[11:51] 其实还是有产业
[11:52] 还是有公司
[11:53] 是没有被注意到的
[11:54] 例如说像达芳
[11:55] 达芳吗
[11:56] 达芳是国内的MLCC的
[11:58] 第三大厂
[11:59] 它的产品做一直性的
[12:01] 所以它的东西
[12:02] 跟和生堂很像
[12:03] 可是市场上
[12:04] 其实不太注意到它
[12:05] 我稍微查一下
[12:06] 目前达芳它在100伏以上的高压MLCC
[12:09] 已经是它的大量出货
[12:11] 它的大量的产品
[12:12] 所以我觉得达芳也被低估
[12:14] 而且你仔细去看达芳
[12:15] 外资一直卖
[12:16] 可是市场可能没有注意到
[12:18] 再来就是备用链里面
[12:20] 其实还有一片就是
[12:20] 大家相对比较low end的
[12:22] 就是CHIPR
[12:23] 晶片店主
[12:24] 今天前一阵子国际在涨的时候
[12:26] 大家都看国际有MLCC涨
[12:28] 可是都没有注意到说
[12:29] 其实晶片店主也跟着在涨价
[12:31] 也跟着纳入了AI
[12:33] 所以你看像最近
[12:35] 慢慢在发动
[12:37] 就像大一跟天鹅
[12:38] 也开始在发动
[12:39] 也跟上这个族群的脚步
[12:41] 那大一最近也被纳入
[12:43] NVIDIA的认证
[12:44] 就表示说
[12:45] 其实他是一整串的
[12:47] 一直在跟上去
[12:49] 但是还是有一些比较虚的
[12:51] 我就不要一直讲他是谁
[12:53] 就是他是做塑胶电容
[12:54] 他还在涨停
[12:56] 但是你就知道说
[12:57] 其实产业别还是有区分的
[12:59] 你就是要很精确的去
[13:01] 看你的公司
[13:03] 到底是什么样的类型
[13:04] 或者是多看一下达人秀
[13:05] 你就知道说
[13:07] 我们的专家到底都在讲些什么
[13:08] 而不是说
[13:09] 今天市场上喊
[13:11] 你就跟着去买
[13:12] 这样就比较危险
[13:13] 凯哥是因为长期跑产业
[13:15] 所以他非常的清楚
[13:16] 像赵华现在不一定跟产业界
[13:18] 有这么多密切的来往
[13:20] 但是昨天
[13:21] 应该说前天也有跟大家交
[13:22] 如果大家不太清楚
[13:24] 整个被动元件有哪些公司
[13:25] 或是像有一个朋友就有留言说
[13:27] 到底CPU是哪些公司
[13:29] 我看每一台
[13:30] 每一台讲的都不一样
[13:31] 这个是因为
[13:32] 有时候它族群分散非常的广
[13:34] 不过被动元件还好
[13:35] 因为CPU是比较新的东西
[13:37] 所以导致什么呢
[13:39] 导致我有做CPU的封装
[13:40] 我也说我是CPU
[13:41] 我做检测
[13:42] 我做测试
[13:43] 我也说我有做
[13:44] 我做测试
[13:44] 我有做
[13:44] 对
[13:44] 然后所以你才会觉得很混乱
[13:46] 说到底怎么CPU
[13:48] 每一家讲的不一样
[13:49] 哪怕我有点投入
[13:49] 我都说我有
[13:50] 对
[13:50] 哪怕我是LED厂商
[13:52] 想要切CPU
[13:52] 我都说我是CPU
[13:53] 老厂其实那些
[13:55] 对不对
[13:56] 我们常常讲的光圣
[13:56] 莲芽
[13:57] 破洛威
[13:58] 华星光
[13:59] 其实原本的就那些
[14:00] 坏因为扩散太多
[14:01] 好拉回来
[14:02] 但被动元件
[14:03] 因为它是一个
[14:04] 比较成熟的产业
[14:06] 所以如果您用AI去告诉他
[14:08] 请帮我叫出被动产业的
[14:11] 被动元件产业的产业令
[14:13] 里面有哪些公司
[14:14] 会出来之外
[14:15] 你还可以问他
[14:15] 像刚刚讲到国际集团
[14:17] 大义算国际集团
[14:18] 日电贸易代理
[14:20] 蛮多国际的东西
[14:21] 还有像凯美是国际集团
[14:23] 最近都非常的强
[14:25] 所以现在集团背景的
[14:28] 你至少可以拿来当做第一个
[14:29] 那华新科二哥
[14:30] 也是有所谓的华欣集团的背景
[14:33] 我觉得至少你从这边选
[14:35] 然后凯克刚刚讲了
[14:36] 他特别会常常提到的是
[14:37] 信商店和和声堂
[14:39] 因为有拿到NVIDIA认证
[14:41] 那我会提到的是
[14:42] 信商店跟台庆科
[14:43] 因为跟台达店有签比较长的合约
[14:46] 所以大家各自去选择
[14:49] 自己喜欢的被动元件里面
[14:50] 还蛮多值得留意
[14:52] 那如果刚刚凯克说
[14:53] 他不好意思讲谁
[14:54] 说做塑胶的被动元件
[14:56] 他觉得还好
[14:57] 那就上网查一下是谁
[14:58] 就知道了
[14:59] 就查一下塑胶电容
[15:00] 这个是被动元件的部分
[15:03] 另外一个我觉得跟被动元件
[15:04] 有点像的就是功率元件
[15:06] 其实他们两个都是
[15:07] 散在全领域
[15:09] 那AI要用
[15:10] AI要升级
[15:11] AI要提升
[15:12] 他们也都跟电大部分都有关
[15:13] 所以功率元件在今天
[15:15] 也像是复制被动元件的想法
[15:18] 来了一波大涨
[15:19] 那要怎么分辨
[15:20] 这些所谓的分离元件
[15:21] 或功率元件的差异
[15:22] 其实刚刚赵华提到
[15:23] 就是说连锐域件都涨了
[15:25] 其实你就知道说
[15:26] 连锐域都涨
[15:27] 为什么锐域都涨
[15:29] 就是告诉你
[15:30] 整个成熟制成的目前的状况
[15:32] 都是在一个upgrade的状况
[15:34] 这边都包在成熟制成
[15:35] 报价都在往上调涨的情况之下
[15:37] 所以瑞玉当然
[15:38] 他的客户主要是网通市场
[15:40] 网通市场客户
[15:41] 看起来都还有赚一些钱
[15:42] 比如说像智益
[15:44] 这些都还有赚一些钱
[15:45] 他就可以跟客户讲说
[15:46] 我的晶圆的价格已经上来了
[15:48] 我要调涨报价
[15:50] 所以这是一个基本的想法
[15:52] 因为晶圆的价格往上涨了
[15:54] 所以像功率元件
[15:56] 或者像我们刚刚讲的
[15:58] 像這個瑞玉
[15:59] 它是做所謂的網通IC的
[16:02] 網通IC的龍頭
[16:02] 它們的製程
[16:03] 大部分都落在8到12吋
[16:05] 8到12吋
[16:07] 其實12吋用來比較少
[16:08] 8吋的可能比較多
[16:09] 像這個類比IC
[16:11] 大部分都在8吋
[16:12] 所以其實目前
[16:14] 以晶圓廠的狀況來講
[16:15] 其實8吋是非常短缺的
[16:17] 大家想說
[16:18] 怎麼會這樣子
[16:19] 不是
[16:19] 這個很low end的東西
[16:21] 理論上應該是不短缺
[16:22] 不是應該缺3奈米嗎
[16:23] 因為其實大家現在都往12吋在逃
[16:25] 反而是比較low end的東西
[16:27] 其实大厂是不太愿意投
[16:29] 所以像六寸八寸
[16:30] 基本上新进来的制程投入都很少
[16:33] 对比较少
[16:34] 所以就变成是
[16:36] 你之前是因为需求不好
[16:37] 可是现在是需求排挤了
[16:40] 就是大家一下子要产能都没有
[16:42] 就是你要六八寸都没有
[16:44] 你现在就变成是很尴尬
[16:46] 那再来就是公立原件
[16:47] 它有一个原因就是因为
[16:49] 还有一个排红条款
[16:50] 就是因为美国掐住中国的脖子
[16:52] 说你们做的一些
[16:54] 否车规的八寸的东西
[16:56] 不能卖到市场去
[16:57] 那它就给台湾产生很多的机会
[17:00] 所以你看
[17:01] 其实以功率元件来讲
[17:02] 它大概是四六寸
[17:03] 它其实不是很高级的东西
[17:05] 它不是四六寸
[17:07] 你像二极体就更low end
[17:08] 二极体大概是两寸到四寸
[17:10] 两寸到四寸
[17:11] 所以你基本上
[17:12] 你大概听IC设计的时候
[17:13] 你从来都没有听到人家讲说
[17:15] 二极体是IC设计元件
[17:16] 没有
[17:17] 最多就听到功率元件
[17:18] 可是功率元件
[17:19] 其实它已经是用功率元件
[17:21] 它不是IC设计的概念
[17:24] 所以告诉你说
[17:25] 基本上它是一个很low end的东西
[17:27] 但是很多的东西
[17:27] 因为刚刚有一个排红条款所以就给厂商很多成长的大的空间从去年安斯班到目前為止基本上安斯班在中國製造的產品是不能外銷到國外去的
[17:39] 所以你看像今天的盤中
[17:41] 大宗附頂就紛紛亮燈漲停
[17:44] 但其實這裡面還有一家
[17:45] 我覺得很特殊的
[17:47] 但也會有人講什麼紅罐店
[17:48] 什麼天玉這種
[17:51] 但是我覺得
[17:53] 他們可能都是我剛剛講的那個
[17:55] 就是因為有去紅的問題
[17:57] 他们是地上剪刀枪
[17:59] 可是其实在功率元件里面
[18:01] 还是有一个很重要的产品
[18:02] 就是未来的HVDC
[18:05] 是降压的IC
[18:06] 这个也放在功率元件里面
[18:08] 其实市场上其实不太知道
[18:10] 真的到底有谁做进去
[18:12] 这个我们
[18:13] 不要留到达人秀
[18:14] 我们现在就讲好了
[18:15] 就是广红科
[18:17] 有一家公司6693的广红科
[18:19] 有一家公司很特殊
[18:20] 因为它是当初的
[18:23] 茂迪的转投资
[18:24] 茂迪当初是在太阳能界
[18:26] 是一个天王
[18:27] 台积电一度投他
[18:28] 可是因为太阳能这个产品
[18:30] 其实走得很快
[18:32] 而且大陆厂商
[18:33] 一下就涨很大
[18:34] 所以这个产业化就没落了
[18:36] 可是当他在急盛期的时候
[18:37] 他就投了广红科
[18:39] 这广红科他就是在做
[18:40] 高压跟低压的
[18:42] 变压的一个IC
[18:44] 那就我所知道
[18:45] 目前他在HDVC的高中低阶
[18:48] 基本上都打进去
[18:49] 所以我觉得他会是
[18:50] 相对来讲
[18:51] 是整个功率研究院里面
[18:53] 又比较特殊的公司
[18:54] 比较特殊的公司
[18:55] 所以可能这些一波涨完之后
[18:57] 可能这个广泓科还在涨
[19:00] 因为如果你仔细去看
[19:01] 大宗跟这个
[19:04] 他们这些公司的股价
[19:06] 都是在昨天才创新高的
[19:08] 可是广泓科的股价
[19:09] 是早在一个月前就创新高了
[19:11] 它等于是先领涨
[19:13] 然后在这边盘整完之后
[19:15] 最近再又突破
[19:16] 这个跟前面那几家公司不太一样
[19:18] 前面几家都是到了今天才开始
[19:21] 大家都说六八寸很缺
[19:24] 我就开始涨给你看
[19:25] 可是它是我早就已经
[19:27] 东西是ready
[19:28] 我已经先涨了
[19:29] 好 因为我自己也在看
[19:31] 为什么我之前会喜欢看被动元件
[19:34] 因为被动元件是今年
[19:35] 大概二月以后
[19:36] 才开始陆续发动的
[19:37] 就是在大多头市场里面
[19:40] 大家会先发动的
[19:41] 一定跟AI高度相关
[19:42] 所以两三年前
[19:43] 这些组装代工厂
[19:45] 就先涨第一波了
[19:46] 什么散热
[19:46] 一些CCL
[19:48] 载板那种
[19:48] 跟AI高度连接的
[19:50] 他们就已经先开始发动了
[19:51] 那今年发动的有什么
[19:53] 被动原件是一个
[19:54] 时音原件
[19:55] 功率原件
[19:56] 很奇怪
[19:57] 都是原件类的
[19:58] 因为他们不是第一波被想到的
[20:00] 可是现在他们有需求了
[20:02] 好像刚刚凯哥讲到一个事情
[20:04] 我觉得很有在2021年的一个记事感
[20:07] 就是我们之前会觉得
[20:08] 大家缺的都是先进制程的
[20:10] 金元要做到12寸
[20:11] 大家都想要这个
[20:12] 谁要去投什么8寸厂
[20:14] 还6寸厂
[20:15] 还4寸厂
[20:16] 可是在2021年在抢金元的时候
[20:19] 其实就有同样的问题
[20:20] 大家就希望说
[20:21] 到底谁有6寸厂
[20:22] 谁有八吋厂
[20:23] 谁有越低阶的越好
[20:24] 我不晓得大家记不记得
[20:25] 新唐为什么在2021年
[20:27] 涨那么多
[20:27] 现在又开始涨了
[20:28] 新唐有一座六吋厂
[20:29] 新唐这座六吋厂
[20:31] 在产能不缺的时候
[20:32] 大家觉得是累赘
[20:33] 就是你一家IC设计公司
[20:35] 养什么六吋厂
[20:36] 后来现在缺了
[20:37] 变成又变加分
[20:39] 变薄了
[20:39] 对变薄了
[20:40] 它自己有一个六吋厂
[20:41] 所以新唐为什么
[20:42] 这一波格外强势
[20:44] 除了它是跟古王信华
[20:45] 做类似的商品之外
[20:46] 它有六吋厂
[20:47] 又变成一个很大的优势
[20:48] 我还记得那时候是旺宏
[20:50] 要卖掉他的六寸海八寸厂
[20:52] 然后大家来买的时候
[20:54] 我也是当年也是不懂事
[20:56] 就觉得说
[20:57] 谁要买这个六寸厂
[20:59] 还是八寸厂
[20:59] 然后连旺宏自己都不要了
[21:01] 结果后来就被人家强制
[21:02] 我记得好像是鸿海买走
[21:03] 还是谁买走
[21:04] 现在都变宝了
[21:05] 这就是市场有趣的地方
[21:07] 其实成熟制成
[21:09] 我觉得开第一枪好的是德仪
[21:11] 德仪缴出一个很亮丽的财报
[21:13] 告诉大家在公控产品
[21:15] 车用产品
[21:16] 以及部分的AI产品上面
[21:18] 其实成熟制成是用得上的
[21:20] 不是什么事情都要用先进制成
[21:21] 可是刚刚凯哥讲了一件事
[21:23] 假设是纯消费性市场跟PC市场
[21:26] 听到的都还蛮惨烈的
[21:28] 对
[21:28] 前两天我记得有一家公司开法
[21:30] 说也有提到
[21:31] 他们PC端的那一块的市场
[21:33] 可能要萎缩50%
[21:34] 所以这个事情
[21:36] 我觉得大家还是要区分开来
[21:37] 是
[21:38] 对
[21:39] 就是产业其实就是
[21:40] 走到这里
[21:41] 这个光灯一直照一照
[21:43] 你就要注意说
[21:44] 谁最终是会睁不开眼睛的
[21:46] 因为它没有这样的基本面
[21:48] 对
[21:48] 好 风策的话
[21:50] 我觉得刚刚凯哥有讲
[21:52] 其实大部分人风策的状况都很好
[21:54] 我们常常会点名的嘛
[21:55] 矽阁 新泉 奇邦 台新科
[21:59] 这个是矽阁的子公司
[22:00] 力成
[22:01] 虽然我们之前有讲到
[22:02] 力成唯一的小缺点是说
[22:03] 它的散出型风装
[22:04] 现在不确定
[22:05] 能不能跟台积电搭上线
[22:07] 但是业界知道
[22:08] 它的单接得非常满
[22:09] 因为它不只是散出型风装
[22:10] 它还有机体风装
[22:11] 还有先进风装
[22:13] 一般的车是HBM等等
[22:14] 所以立成最近的状况也不错
[22:16] 而金元店我这边自己
[22:18] 前几天应该说上几周
[22:20] 有跟大家聊过
[22:21] 因为我自己有认识
[22:22] 风策大厂的人
[22:23] 他们有提醒金元店的经营阶层
[22:26] 整个换掉这个事情
[22:27] 他们是比较留意的
[22:29] 但是我有说
[22:30] 这不代表金元店不会涨或会涨
[22:33] 可是你可以看到市场上
[22:34] 对于这件事情
[22:35] 因为那时候刚换的时候
[22:36] 投信是狂卖
[22:37] 所以它有点联动性
[22:39] 那你就要观察
[22:40] 投信什么时候愿意
