[00:00] 歡迎收聽趙華宇古惑仔第1019集
[05:04] 記憶體大漲
[05:05] 什麼大漲
[05:06] 載板大漲
[05:07] 其實這些都是
[05:08] 法人最近一直在買的標的
[05:10] 那因為法人在買
[05:11] 所以我猜啦
[05:12] 像今天優勢資本
[05:13] 應該就毫不留情
[05:14] 就直接往這些股票
[05:16] 轟出去了
[05:17] 人家有聽哦
[05:19] 因為趙志林講人家
[05:20] 他們有反應
[05:21] 但是他們講說
[05:23] 凱克真瞭解我們
[05:24] 因為他們現在是操作強勢股的
[05:27] 但是今天你看到
[05:28] 電力股其實也起漲
[05:29] 我們現在講
[05:30] 我說華晨看起來這是來真的
[05:32] 但我說如果要更確定
[05:34] 華晨是不是漲真的
[05:34] 要看一下中興電
[05:35] 如果中興電跟著漲
[05:36] 就告訴你真的是來真的
[05:38] 而且不是中興電漲而已
[05:39] 連大同都已經講說
[05:40] 他們也接到美國的案子
[05:41] 他們還連續發兩次
[05:43] 他們接到訂單
[05:44] 因為他們之前就是被打得很慘
[05:47] 其實張董也都調整得差不多
[05:50] 因為包括他子公司的什麼高層
[05:52] 董事長其實都換了他們自己的人
[05:55] 所以1月份本來就是他們一個要逆轉的一個結
[05:59] 要逆轉
[05:59] 就是逆轉那個當初那個空頭一直攻擊他們的那個結構
[06:03] 包括那個有關於華映在大陸這塊
[06:06] 他們也決定就是說先認賠
[06:08] 就是對他們決定要先認賠
[06:11] 就是把該打全部都打掉
[06:13] 大家還以為說他們就會不要管那一邊
[06:16] 沒有他們會先預期
[06:18] 那這樣他要認賠會不會是個利空呢
[06:20] 我覺得就算是利空也是利空出盡
[06:23] 所以你看重電裡面最爛的一家公司
[06:27] 他都做這個動作
[06:29] 所以告訴你其實重電今天漲也是剛好而已
[06:32] 每個上禮拜我特別提醒我們要看重電
[06:34] 因為臺建已經講了
[06:36] 其實AI不是泡沫
[06:38] 但是他很怕電力不足
[06:39] 所以告訴你說
[06:40] 其實全世界都很重視電力這個問題
[06:44] 那臺灣的電力股
[06:45] 基本上之前就好像是沒人要的樣子
[06:48] 感覺都很冷清
[06:49] 所以今天一整個發動
[06:52] 其實就開始拉起來
[06:53] 我之前有講過
[06:55] 季笛其實還要漲半年的價格
[06:57] 你這種東西你怎麼可能會說
[06:59] 這個時候你就止住就不漲了
[07:01] 其實報價還在漲
[07:02] 還在漲的過程
[07:03] 所以說中股票其實你很難講說
[07:06] 它要漲到什麼時候
[07:07] 而且我之前特別提到
[07:09] 威剛跟石原他們剛發完CP
[07:10] 這兩家非常的重要
[07:12] 因為他們會代表市場的人氣
[07:14] 你看衛剛今天創新高了
[07:16] 所以告訴你說
[07:17] 我猜衛剛創新高
[07:19] 接著實權會跟著創新高
[07:20] 因為他們就是一掛的嘛
[07:22] 然後我們上次
[07:22] 再提到一個小的通路股
[07:24] 叫林航
[07:24] 他今天亮燈漲天
[07:26] 他也亮燈漲天
[07:27] 所以告訴你
[07:27] 其實這個結構
[07:28] 跟我們上次來講的結構
[07:29] 基本上是一樣的
[07:30] 沒有改變
[07:31] 只是大家對於指數
[07:33] 一直這樣的猛漲猛漲
[07:35] 覺得有點煩了
[07:37] 我覺得煩了
[07:39] 所以在這幾天
[07:40] 在今天之前
[07:41] 很多人覺得說
[07:42] 哎呦
[07:43] 指數漲那麼多了
[07:44] 是不是就休息好了
[07:46] 殊不知你這一休息
[07:47] 持股一降
[07:49] 對不對
[07:49] 然後今天怎麼樣
[07:50] 今天漲給你看
[07:51] 尤其是前幾天在漲那個
[07:53] 莫名其妙的土方之亂的時候
[07:55] 就是資金從原本的主流股
[07:57] 去漲一些很奇怪的股票
[07:59] 那會讓你覺得說
[08:00] 你是不是賣原本的主流股
[08:02] 去買這些土方之亂的股票
[08:04] 或者是一些小型投機的
[08:06] 對那土方之亂的股票也很好笑
[08:08] 就是他在高檔的那一天
[08:10] 我就聽到我跟這些公司
[08:13] 比較熟的朋友講說
[08:14] 其實已經有人在借券了
[08:16] 而且我看的籌碼是
[08:17] 公司派都在賣
[08:18] 所以就覺得
[08:19] 這樣很危險
[08:21] 我還跟我一個朋友講說
[08:22] 你們要注意
[08:22] 外面已經有人在借券了
[08:24] 而且看起來都是業內的
[08:26] 他們還不相信
[08:27] 覺得鎖那麼強
[08:29] 對
[08:30] 可是果然啪啪就下來了
[08:32] 所以看起來
[08:34] 這些土方之亂
[08:34] 就又把一些資金lock住
[08:36] 因為有些人就是
[08:37] 棄AI
[08:39] 然後跑去買這些土方之亂現在你這資金就被AI之亂卡住了因為他說跌停你就是跌停所住嘛所以你會讓你覺得說很氣餒就說我明明就很看好啊
[08:49] 結果因為不小心
[08:51] 去做了一個錯誤的判斷
[08:53] 所以為什麼你要來上達人秀
[08:54] 就是達人秀告訴你
[08:56] 什麼是真正的趨勢跟主流
[08:58] 其實每次來
[08:59] 其實不同的來賓
[09:01] 其實大部分都會跟你講說
[09:02] 趨勢在哪裡
[09:03] 我記得我們前前次是講
[09:05] 家燈紅朔
[09:06] 可是今天像紅朔就休息了
[09:08] 也長很多了
[09:10] 然後我們上禮拜講說
[09:11] 世界先進跟聯店
[09:12] 今天蓬蓬也還在往上漲
[09:15] 就告訴你
[09:16] 臺電訂單的外溢
[09:18] 這件事情是很明確
[09:19] 因為臺電不斷地
[09:20] 往先進製程去
[09:21] 那就要把它的
[09:22] 原本的比較舊的製程
[09:24] 要開始要丟出來
[09:25] 否則它哪有那麼多人力
[09:27] 一直在不斷地
[09:28] 往新的製程這邊進步
[09:30] 所以它就是不斷地
[09:32] 在做外溢的動作
[09:34] 之前世界先進
[09:35] 也沒有什麼漲到
[09:36] 所以這波就漲得特別的兇
[09:38] 所以說我覺得大家比較大的問題就在於說
[09:41] 講都講到了
[09:43] 聽也都聽進去了
[09:44] 可是那個tempo就一直是很不順的
[09:48] 很不順的
[09:48] 就是你常常是賣了A
[09:50] 然後去買了B
[09:51] 然後過一陣子A又漲了
[09:53] 然後B又不動
[09:55] 我們常常講說如果趨勢沒有改變
[09:58] 你是不應該完全出清你的股票
[10:00] 對
[10:01] 我說形態破了沒有錯
[10:03] 形態破了我們是會有分階段的賣
[10:06] 我最想講就是
[10:07] 如果今天的均價沒有站上
[10:09] 你就不要再加碼
[10:10] 對不對
[10:10] 那大量低跌破
[10:12] 你就一定要減碼
[10:13] 這是基本的概念
[10:15] 那其實你去看
[10:16] 記憶體相關的股票
[10:17] 它有大量低跌破嗎
[10:19] 其實都沒有
[10:20] 它最多就是休息整理而已
[10:22] 對
[10:22] 那休息整理完之後
[10:23] 它還會怎麼
[10:24] 它還會再觸發
[10:25] 因為籌碼是被鎖住的
[10:28] 因為法人沒賣
[10:30] 主力也沒賣
[10:32] 那你其他人買啊賣啊
[10:33] 基本上對這個股票
[10:34] 是沒辦法撼動的
[10:36] 所以你看今天這樣上來
[10:38] 你可能會覺得說
[10:38] 哎呀我又沒有買到
[10:40] 那我告訴你
[10:41] 很簡單的方法
[10:42] 那你去買他的控股公司嘛
[10:43] 例如說像南亞科
[10:45] 你買沒有買到
[10:46] 你就去買南亞
[10:48] 對不對
[10:48] 華邦裡沒有買到
[10:49] 你就去買華興利華
[10:50] 至少他會跟上
[10:53] 就是你不會說完全都
[10:54] 沒有賺到錢
[10:56] 你至少會賺到錢
[10:57] 只是他可能稍微賣一點
[10:58] 但是你不會說
[10:59] 晚上睡不著覺
[11:01] 不開心
[11:01] 好好
[11:02] 因為凱哥現在幾乎都是禮拜五來
[11:05] 所以我們往往會總結
[11:06] 一個禮拜發生的狀況
[11:08] 像剛剛凱哥呢
[11:10] 他有提到一些事情
[11:11] 上禮拜五
[11:12] 其實講重電的時候
[11:13] 重電只有微微動
[11:14] 其實沒有什麼大動
[11:15] 而且是由華晨而已
[11:16] 其他什麼亞力啊
[11:18] 市電中心電都躺在那邊
[11:19] 但為什麼會提到電力
[11:22] 其實從去年下半年
[11:23] 我們就一直講到
[11:24] 電力這件事情
[11:25] 我們真的落後美國實在太多
[11:27] 這是一個很奇怪的事
[11:28] 美國就不斷地告訴你
[11:30] 他們在發展AI的過程中
[11:32] 真的極度缺電
[11:33] 那後來引發臺灣的
[11:35] 重電股漲
[11:35] 我覺得可能有一個
[11:36] 很重要的原因是
[11:37] 川普又在講
[11:38] 你們這些AI大廠
[11:39] 定要自己想辦法去買
[11:40] 那微軟說OK
[11:42] 那我們自己會想辦法
[11:44] 在這個AI用電上
[11:44] 我們會花錢買這樣
[11:46] 那一天開始
[11:47] 其實重電股就動了
[11:48] 可是說實話
[11:49] 之前在裡面的人
[11:50] 肯定很痛苦
[11:51] 因為他就是漲一漲就跌
[11:52] 漲一漲就跌
[11:53] 完全在橫盤整理
[11:55] 那蹲點的人如果離開
[11:56] 現在可能又很猜心
[11:58] 哎呀
[11:58] 就已經知道電力很缺了
[12:00] 那另外來看
[12:02] 今天雖然是一個
[12:03] 臺積電本人在漲
[12:05] 那也會有人就說
[12:06] 早知道就O-IN0050
[12:08] O-IN臺積電
[12:09] 也沒有什麼早知道的
[12:11] 其實昨天在聊法說也提到
[12:13] 臺積電它永遠都
[12:14] 還是會有跌的時候
[12:16] 因為不可能
[12:17] 就算你知道
[12:18] 很奇妙的一件事
[12:19] 你知道外資現在目標價
[12:21] 甚至高盛已經調到2600了
[12:23] 已經不是2330了
[12:24] 可它中間就是會有漲有跌
[12:26] 而且它跌的時候
[12:28] 你就還是會一樣的懷疑它
[12:30] 說它當初講的這個guidance
[12:32] 可能達不到
[12:33] 因為現在AI沒有想到那麼好
[12:35] 他會掉單
[12:35] 然後等他漲了
[12:37] 等他開法的時候
[12:38] 你會想就是這麼好
[12:39] 所以我們要克服這種心情
[12:42] 像今天可能就不是一個
[12:43] 適合去大追臺積電的時候
[12:46] 可是如果今天裝置股都休息
[12:48] 甚至再休息多天一點呢
[12:50] 那是不是又是一個
[12:51] 比較好的節奏了
[12:52] 就是他們有訂單
[12:53] 可他們在休息
[12:54] 對不對
[12:55] 所以凱哥一直會來這邊
[12:57] 跟大家做耳提面面的
[12:59] 就是這個原因
[13:00] 那記憶體不是不好
[13:01] 我們常常講
[13:02] 記憶體的迴圈
[13:03] 都還在往上走
[13:04] 可是你在裡面
[13:05] 因為它的波動大
[13:06] 或它分盤交易
[13:07] 你很麻煩
[13:07] 所以它就適合
[13:08] 你對這件事情
[13:09] 有認知的人
[13:10] 你有認知
[13:11] 你就勇敢地在裡面
[13:13] 甚至你有認知
[13:14] 你就勇敢地買
[13:15] 最多庫存的
[13:16] 或是生產經歷
[13:17] 業績現在大爆發的
[13:19] 就那幾家而已
[13:20] 對 阿凱哥
[13:20] 剛剛又提供一個方法
[13:21] 不然就買他們公司
[13:22] 是啊
[13:23] 對 不斷地在找方法
[13:25] 讓大家可以
[13:25] 安心地進入到市場
[13:27] 重點到
[13:28] 重點我真的覺得
[13:29] 在進入到市場
[13:31] 臺股都到31000
[13:32] 今天盤中幾乎是31500點了
[13:34] 那當然很多人說居高思文沒有錯
[13:36] 可是你不能永遠手上都沒有
[13:38] 否則你就會在高檔亂買
[13:40] 我覺得這是最恐怖的
[13:41] 對因為我們之前講說
[13:43] 大概這一波就是會到3200
[13:45] 其實也快來了
[13:46] 快了呢凱哥
[13:47] 就是我說大概年
[13:49] 大概農曆年的這個元宵節
[13:52] 其實會來到3200
[13:54] 對那所以指數其實來到這邊
[13:57] 當然大家會覺得說
[13:58] 一些問紅都問我說
[13:59] 資金到底要怎麼配置
[14:01] 不然說你也不可能
[14:02] 這時候你什麼現金八成
[14:04] 現金八成還得了
[14:05] 那不就封掉了
[14:06] 所以指數還在往上的過程裡面
[14:09] 我們先來看大盤
[14:10] 大盤今天是帶量過高的
[14:12] 所以它比之前會好一點
[14:14] 上禮拜我們來的時候
[14:15] 它基本上是
[14:15] 還沒有帶量的在往上走
[14:17] 那今天放一個大量之後
[14:19] 基本上今天的高
[14:20] 就會當做是未來的一個
[14:22] 轉折的觀察的位置
[14:23] 雖然今天盤中最高
[14:25] 我們是沒有站上了
[14:27] 但是其實目前還在
[14:28] 五日均價線上
[14:29] OTC也是
[14:30] OTC也是在五六軍家線上
[14:32] 可是貴買今天有點比較擔心
[14:35] 就是有人在害怕
[14:36] 所以其實害怕的心大家都有
[14:39] 其實不是大家每個人都吃了雄心爆子蛋
[14:42] 所以今天貴買爆大量
[14:44] 可是他盤中的軍家
[14:47] 最後一盤是破的
[14:48] 所以剛才其實大家也是害怕
[14:50] 但是我覺得也不用太害怕
[14:51] 是因為短線來講看起來沒有什麼大事
[14:55] 我特別講
[14:56] 因為其實臺灣最怕
[14:58] 其實就是不確定的東西出來
[15:00] 那不確定的東西
[15:01] 有什麼
[15:02] 會讓你很害怕
[15:03] 就是軍演
[15:04] 就是老公對臺灣做了什麼東西
[15:07] 可是我說
[15:07] 我那件事情就告訴你說
[15:09] 安啊
[15:09] 很多人都覺得說不是
[15:11] 我就是
[15:11] 我說其實
[15:12] 它其實就是一個示範性的效果
[15:15] 給老公看說
[15:16] 你短時間不要去動臺灣
[15:17] 對
[15:18] 你看它接下來
[15:19] 什麼國防案
[15:20] 然後包括這個
[15:22] 關稅案
[15:23] 其實都慢慢都
[15:24] 一顆石頭都落落
[15:25] 都開始落下來了
[15:27] 就告訴你說
[15:27] 其實沒有什麼特別需要害怕的
[15:29] 那短線來講
[15:31] 基本上指數還在往上的過程裡面
[15:34] 基本上我確實覺得
[15:35] 開始步調會讓你覺得一點抓不透
[15:39] 因為我記得上次我們來的時候
[15:40] 我記得那時候照來講說
[15:42] 很多都被關起來了
[15:43] 記憶體很多被關了
[15:45] 對那時候很多被關起來了
[15:45] PTP再這樣下去也看來要被關了
[15:48] 但是我們常常講
[15:49] 越關就越大尾
[15:50] 關出來可能就是疊一角
[15:52] 就繼續往上漲
[15:54] 所以你在看這個過程裡面
[15:56] 基本上
[15:57] 我覺得
[15:59] 你要看到威剛實權開始不漲了
[16:01] 那個風險性就開始變大了
[16:04] 那他們都還在漲
[16:05] 就不用太害怕
[16:06] 那他們還在漲就告訴你
[16:07] 他們還在漲告訴你
[16:09] 你要去買最強的
[16:10] 就是威剛實權
[16:11] 只是讓你感覺那個風向而已
[16:13] 你買最強的還是要去買經歷
[16:15] 包括像你看利基電也漲了
[16:18] 利基電這個美國要買他的廠
[16:19] 就告訴你說其實還是很缺
[16:21] 很缺
[16:22] 那我們上次有講到載板的部分
[16:24] 我說GB300
[16:26] 基本上NVIDIA
[16:27] 已經在認證臺灣的廠商
[16:29] 新興是已經
[16:30] 我上次有講
[16:31] 新興認證透過了
[16:32] 而他正在認證錦碩
[16:34] 這句話我想
[16:35] 我應該沒有講錯
[16:36] 我說南電沒有被認證
[16:38] 可是今天南電都亮燈漲停
[16:40] 就告訴你說
[16:42] 其實資金已經在
[16:43] 往這個族群發酵
[16:44] 而且你去看
[16:46] 新興跟南電
[16:47] 新興才剛過大量高
[16:49] 才剛過歷史高
[16:51] 錦碩是還沒有
[16:53] 所以如果他去複製記憶體的走勢
[16:56] 那你就知道說
[16:57] 其實載板這一波會走得非常的兇猛
[17:00] 因為其實他們兩個注鍵很像
[17:02] 他們都屬於景氣迴圈的概念股
[17:04] 你從來沒有看到說
[17:06] 股價在反映南電信心的高EPS的
[17:10] 沒有
[17:11] 他們現在都是業績
[17:12] 剛回溫
[17:13] 還沒有很明顯賺什麼大錢
[17:16] 就開始股價開始動
[17:17] 是
[17:18] 但你看到開始真的賺大錢的時候
[17:20] 那是第二波
[17:21] 就好像我們現在看南亞科一樣
[17:24] 很多人講說他就是股價淨值比到哪裡就結束了我說沒有他還有發展高階的東西他開始往本益比的方向去所以你看從那一段120到現在
[17:34] 我應該就漲得快一倍了吧
[17:36] 所以告訴你說
[17:38] 其實市場的那個tempo
[17:40] 其實是不斷的在改變
[17:41] 不斷改變
[17:42] 我有去真正去了解市場變化
[17:45] 你才不會人云亦云
[17:46] 才不會說OS是跟不上
[17:48] 好 因為今天早上
[17:49] 我就跟婉婷聊了一下
[17:51] 因為今天宅版總長停
[17:53] 那大家知道
[17:53] 宅版我一直有一個
[17:55] 從宅版這檔股票
[17:57] 我是錦碩嘛
[17:58] 一直可以從他身上體會到
[18:00] 一般投資朋友的感受
[18:01] 這中間我每次都在股貨宅
[18:03] 跟大家分享
[18:04] 股貨宅是我唯一
[18:05] 大概可以這樣大拉拉
[18:06] 跟大家分享
[18:07] 我心情的地方
[18:08] 我就說大錦碩
[18:10] 漲上來有一天
[18:11] 漲停沒有賣
[18:12] 我記得那時候是156還是158
[18:14] 後來就下來
[18:15] 到130
[18:16] 就心裡想
[18:16] 然後好忍耐一下好了
[18:18] 因為什麼呢
[18:19] 因為婉婷PCB女王告訴我
[18:21] 2026年是載板漲價的第一年
[18:23] 那時候還是12月而已
[18:25] 去年的12月
[18:26] 那今年又來了
[18:27] 它前一陣子不是有漲停
[18:29] 好像186吧
[18:30] 然後我就看它開開關關我想賣
[18:33] 然後我想說不行
[18:34] 我還聽說2026年是載板起飛的第一年
[18:37] 明年還更好
[18:38] 那現在是2026年的1月才剛開始
[18:41] 我怎麼可以賣
[18:42] 我忍耐
[18:42] 但它又下來了
[18:43] 我就可以體會那種感覺
[18:45] 就是你會在它漲上去的時候
[18:48] 你覺得很有信心
[18:48] 對 它這個要連漲兩年的
[18:50] 現在是第一個月而已
[18:52] 可是等他跌下來你就想
[18:53] 欸不對啊
[18:54] 他獲利其實就是沒有起來啊
[18:55] 兩天不漲就受不了
[18:57] 搞不好Price-in啊
[18:58] 對啊搞不好Price-in
[18:59] 我這一檔我抱超久的凱哥我跟你講
[19:01] 這個有聽古惑仔的朋友都知道
[19:03] 超級無敵久
[19:05] 這中間我就用他來體會這種
[19:07] 產業景氣在復甦的路上
[19:09] 大家的心情 對
[19:10] 後來他今天又漲停板了
[19:12] 所以我就跟婉婷說
[19:13] 欸他今天漲停板了
[19:14] 我又抱住這樣
[19:15] 我就說恭喜
[19:16] 然後我就說
[19:17] 但是昨天台積電的法說
[19:19] 好像沒有特別講到載板啊
[19:21] 婉婷說你傻傻的
[19:22] 他只要講AI沒有泡沫
[19:24] AI還在漲價升級
[19:26] 載板就是絕對受惠
[19:27] 不用他講出來
[19:28] 我們就知道
[19:29] 我說哦哦哦
[19:30] 可是我可以理解
[19:32] 但是我也必須講一件事哦
[19:33] 假如在上一次例如180幾
[19:35] 他開關關那天我真的賣了
[19:37] 我今天也不用用那種什麼
[19:39] 後悔到很難過痛苦的心情
[19:41] 來面對這件事
[19:42] 因為那就是一個選擇
[19:44] 對你覺得他可能已經背書了
[19:46] 你覺得合理了
[19:47] 你覺得後面給別人賺
[19:49] 那也OK啊
[19:49] 對 重點是在過程中
[19:51] 你有沒有學到說
[19:52] 真的如果產業是升級漲價
[19:55] 它是漲不停
[19:56] 因為還沒有到它真正獲利出來
[19:58] 等它EPS通跑出來的時候
[20:00] 就跟凱哥講的一樣
[20:01] 高EPS可能就不會漲了
[20:03] 對 我正在體驗這件事情
[20:04] 因為你不要忘記
[20:06] 基本上載板的良率是非常低
[20:09] 對 載板良率非常低
[20:10] 不好做
[20:11] 只有不斷地擴充產能
[20:13] 它沒有所謂的良率提升的問題
[20:16] 它沒有辦法良率提升
[20:18] always就是很難做
[20:19] 很難做
[20:20] 所以我就覺得很奇怪
[20:22] 為什麼南電一直沒有認證
[20:23] 我覺得很奇怪
[20:25] 就是說從EBITDA
[20:26] 一直到臺灣的新興
[20:27] 到錦碩
[20:28] 我覺得很奇怪
[20:29] 因為南電過去
[20:30] 也不是一個很low的公司
[20:33] 只是南電可能
[20:35] 它是一直跟著Apple抱很緊
[20:37] Apple抱很緊
[20:38] 所以今天有可能是因為
[20:40] CCL都在轉強
[20:42] 那尤其是CCL的材料
[20:45] 例如說像臺播
[20:47] 臺播漲停
[20:47] 因為今天盤中有傳出訊息說
[20:50] 好像Apple也要開始下來強產能
[20:53] 如果Apple要下來開始強產能
[20:55] 當然南電就會漲停
[20:56] 因為南電是Apple的子弟兵
[20:58] 所以他是跟Apple掛比較深的
[21:01] 所以其實你看那個華通也是
[21:03] 華通當初他就是沒有擁抱AI
[21:05] 他擁抱低軌道衛星
[21:07] 可是當低軌道衛星的風來的時候
[21:09] 他也一樣飛上天
[21:11] 所以基本上也不見得說
[21:14] 你哪個族群一定沒有抓到
[21:16] 就一定會怎麼樣
[21:17] 但就是說你就是擇優而報
[21:20] 你選擇一個好的
[21:22] 你覺得去世是對的
[21:23] 那我就是等嘛
[21:25] 我就是等
[21:26] 但是你不能說你always只單押一支
[21:28] 你可能其他就是小小的琢磨
[21:31] 就是小賺小賺
[21:32] 你自己有一檔主要的股票會大賺
[21:34] 那就很好啦
[21:35] 其實然後可能每支股票
[21:37] 每天都漲停板
[21:38] 這個有點太奢求了
[21:41] 但是你說我們達人們
[21:43] 裡面有沒有這樣的高手
[21:44] 我覺得一定有啦
[21:45] 一定有
[21:46] 就是你每天問他
[21:46] 他每天都要漲停板
[21:47] 沒有啦
[21:48] 我們達人都很
[21:50] 怎麼講
[21:50] 有自己一套邏輯
[21:52] 而且都很承認自己看好的
[21:53] 或沒有做好的
[21:54] 所以你問這些人
[21:55] 他可能就說有啊
[21:56] 我有
[21:56] 但是他沒有告訴你
[21:57] 他有多少的比重
[21:58] 可能他是一點點
[21:59] 對
[22:00] 他可能有自己重壓的股票
[22:01] 但是我們就說
[22:03] 我們在這個趨勢裡面
[22:04] 這不斷地在
[22:05] 幫大家做底力的動作
[22:07] 幫大家做篩選的動作
[22:09] 其實從達人裡面
[22:11] 匯集出來的股票
[22:11] 一定就是最厲害的
[22:13] 對
[22:13] 因為達人們
[22:14] 有不同的view
[22:16] 跟不同的見解
[22:17] 例如說像我在看
[22:19] 或是像韋泰在看
[22:21] 基本上有點差異
[22:22] 因為韋泰比較偏價值型選股
[22:24] 或者是像我們這個算價大師
[22:28] 或者是像這個中總
[22:30] 他們的看法其實都不太一樣
[22:32] 中總比較從大盤的角度
