[00:00] 欢迎收听赵华宜古惑仔第1146集
[02:25] 但就体感不好
[02:27] 你回血了
[02:27] 今天又掉下去了
[02:29] 是
[02:29] 这个盘基本上
[02:30] 我常常讲
[02:31] 一个指数的趋势
[02:33] 是不能月线下弯的
[02:34] 可是目前我们是
[02:35] 贵买跟大盘的月线
[02:36] 通通都下弯
[02:38] 没错
[02:38] 对
[02:38] 那通通下弯
[02:39] 贵买一定是跑比较远
[02:41] 那你就要等大盘止稳
[02:43] 那大盘其实昨天
[02:44] 一度有要站回大量低
[02:45] 可是
[02:46] 今天这个利空消息
[02:47] 就把它打下来
[02:48] 那所以告诉你就说
[02:50] 我们之前在讲说
[02:51] 其实第三季
[02:51] 是一个难做的季度
[02:52] 还记得吗
[02:53] 我们其实讲过
[02:54] 第三季不好做
[02:55] 那第三季度在这个情况之下
[02:57] 基本上我个人觉得
[02:58] 最大的跌点应该已经结束了
[03:01] 就是上礼拜五跟今天
[03:02] 大概已经差不多了
[03:04] 再来它可能是不会直接V转
[03:06] 但是它就是以盘代整
[03:08] 你们今天看到的就是
[03:09] 韩国它在加速的去杠杆
[03:11] 那其实这对台湾也算是一个好消息
[03:13] 就至少它加速完之后
[03:15] 它该杀的杀完一波
[03:16] 它基本上就没有什么可下杀的了
[03:18] 那这样基本上
[03:19] 整个国际股市相对会比较稳住一点
[03:23] 那再来就是你看到
[03:24] 像Google的这个财报
[03:26] 其实也不差
[03:27] 可是他的资本支出预算
[03:29] 提得非常的高
[03:30] 大家也很害怕
[03:31] 我想说你又要马儿肥
[03:33] 又要马儿不吃草
[03:35] 这点困难
[03:36] 因为他为了投入很多的资本支出
[03:38] 他未来才会缴出一个好的成绩
[03:40] 所以你不能只看负面
[03:42] 你要往正面角度讲说
[03:43] 他投了这么多的资本支出
[03:46] 他往AI去
[03:47] 那就会有人收回
[03:48] 所以谁收回
[03:49] 其实昨天有涨的Intel是收回的
[03:51] 因为整个Google的TPU
[03:55] 它的开发是联发科
[03:57] 是帮他做开发
[03:58] 台积电帮他做晶圆代工
[04:00] 它的封装用的不是Covas
[04:03] 而是IMI
[04:04] 也就是Intel的制程
[04:05] 做完之后再回到台湾来扯
[04:07] 其实这一挂是受惠的
[04:09] 可是因为股市在跌
[04:11] 其实大家就把这些利多视而不见
[04:14] 就一样这样洗刷
[04:16] 但我觉得它就是
[04:17] 未来就是一个好事情
[04:18] 就是你的Google的投了那么多钱
[04:21] 它不会是没有去处的
[04:23] 而这些钱基本上就投到台湾来
[04:25] 所以我觉得在台湾供应链
[04:26] 基本上是好的
[04:27] 但有的人会觉得说
[04:28] 那有没有Intel的供应链
[04:29] 我说Intel的供应链基本上不好找
[04:31] 为什么
[04:31] 因为Intel的供应链
[04:32] 基本上是台积电的供应链
[04:33] 所以不太有特别的
[04:35] 但是我说
[04:36] 你可以从联发科的这一个系列来找
[04:38] 相对的标的
[04:40] 比如说像日月光
[04:42] 像力晨这些
[04:43] 它们都是收回Google TPU的部分
[04:46] 那有叠下来
[04:47] 其实你就可以去找一个好的买点
[04:49] 那这个时间点
[04:50] 因为进入第三季的第一个月
[04:53] 马上七月就要结束了
[04:54] 所以大家你就会觉得很痛苦
[04:56] 那进入八月中的下旬
[04:59] 我觉得指数就不会给大家这么大的痛苦
[05:02] 就慢慢好一些
[05:04] 但是这个时间
[05:05] 大概也还要有将近半个月的时间
[05:07] 所以未来两周
[05:08] 基本上我觉得
[05:09] 就是你不要过度的去追强势股
[05:13] 因为这个盘是盘整盘
[05:14] 它不是V转
[05:15] 也不是强势上攻的股票的族群
[05:18] 你去攻强势股
[05:19] 你很容易追高
[05:21] 他就杀你
[05:21] 就掉下来
[05:22] 他就杀你
[05:23] 你反而去找那个
[05:24] 相对之前已经先压回的
[05:26] 或是我们之前常常讲过
[05:27] 因为筹资而下跌的股票
[05:30] 这个地方其实我觉得
[05:31] 你就可以试图去做一点
[05:33] 加码的动作
[05:34] 因为他们已经跌过了
[05:35] 这边就算再跌
[05:37] 其实也跌不了太深
[05:38] 他们顶多就是小跌一些
[05:40] 那你就在那边慢慢见部位
[05:41] 你不要说一跌下来
[05:43] 然后这边要show hand
[05:43] 那这样就很危险
[05:44] 你不是用show hand的角度
[05:46] 而是用开始见部位的角度
[05:48] 去找这些股票
[05:49] 例如说像今天的矽光纸
[05:51] 其实早上脸牙就有那个味道
[05:53] 可是我觉得早上应该有当冲跑进去
[05:55] 看到尾盘
[05:56] 平盘拉不上去
[05:58] 他就把它往下砍
[05:59] 但我觉得今天他有点是在
[06:01] 取量的一个感觉
[06:03] 就是他低档下他在吃货
[06:05] 所以我们也可以持续的观察
[06:07] 这个族群是不是如凯克之前讲的
[06:09] CPU在第三季有可能要发光发亮
[06:12] 那再是我们之前讲过的ABF
[06:15] 是不是真的长线这么好
[06:16] 投信一直在买
[06:17] 所以表示投信也认同凯克的看法
[06:20] 外资很奇怪
[06:21] 高盛出一个很好的报告
[06:23] 调高目标价
[06:24] 可是外资一直卖
[06:25] 所以这个地方基本上
[06:27] 他就有一个
[06:28] 让人家摸不着头绪的地方
[06:31] 就是为什么外资要卖
[06:32] 不是很好吗
[06:33] 你们也自己调高目标价了
[06:35] 可是为什么讲的跟做的不一样
[06:37] 这地方基本上
[06:39] 就可以花点时间去观察
[06:40] 不过理论上ABF这个族群
[06:42] 基本上他还是位置相对高的
[06:44] 所以当然在这个行情
[06:46] 大家都已经大盘越线下弯
[06:48] 他当然也要做修正
[06:49] 所以我觉得你把它当作
[06:50] 视为是股价的修正
[06:52] 我觉得应该是比较
[06:54] match市场的想法
[06:55] 你说他基本面有变坏
[06:57] 我觉得是没有
[06:58] 好 载板的话
[06:59] 真的波动大啦
[07:01] 看好是看好
[07:02] 大家真的要评估一下
[07:03] 自己在波动里的风险
[07:04] 同样的像这样的族群
[07:06] 就是例如说
[07:06] 他今天全面几乎跌停
[07:08] 今天就有一点这样的味道
[07:09] 这个时候可能你的心
[07:11] 可以大一点点
[07:12] 当然你的资金一定要分批
[07:13] 那如果像前一阵子
[07:15] 前几天其实载板
[07:16] 有全面涨停的
[07:17] 记不记得四熊都涨停
[07:18] 那个时候就不要贸然
[07:20] 在那边觉得你来不及了
[07:21] 一定要追涨停
[07:22] 因为现在的波动
[07:23] 在这样的热门族群上
[07:24] 真的非常的大
[07:25] 那细光子
[07:26] 大家都知道凯歌一直说
[07:27] 细光子第三届要发光发热
[07:29] 可是我相信前面开始接的人
[07:31] 应该手都软了
[07:31] 因为有的都打到三折了
[07:33] 可是这几天
[07:34] 真的最相对抗跌的细光子
[07:36] 绝对是其中一个很明显的族群
[07:39] 好今天发生什么
[07:41] 韩国去杠杆的事呢
[07:42] 也帮大家再补充一下
[07:44] 因为韩国不是有发现
[07:45] 很多个股的ETF吗
[07:46] 就杠杆型的
[07:47] 台湾没有个股的
[07:49] 杠杆型ETF
[07:50] 我们只有加权指数的
[07:52] 那他们本来说
[07:53] 8月的时候
[07:54] 要跟收缩
[07:55] 购买这些杠杆型
[07:56] 个股ETF的一些资金限制
[07:58] 结果哇
[07:59] 措手不及
[08:00] 今天宣布说
[08:01] 7月底就实施
[08:02] 我觉得韩国政府
[08:04] 蛮猛的
[08:05] 蛮狠的
[08:06] 蛮狠的
[08:06] 你能想象这个
[08:07] 发生在台湾吗
[08:08] 大家能想象说
[08:09] 我今天要有一个事情
[08:10] 可能是让你紧缩
[08:11] 就是让你不方便买
[08:13] 会伤害到你的
[08:14] 目前至少今天的股价的
[08:17] 本来8月才要上路
[08:18] 我忽然就给你上路
[08:19] 这个很凶
[08:21] 所以今天韩股一下子又跌到停止交易
[08:25] 因为他就说你户头里的钱
[08:27] 从原本的1000万韩环
[08:28] 你要有3000万韩环
[08:30] 你才可以去买这些杠杆型的商品
[08:32] 而且我只认里面的现金
[08:34] 只有现金才叫资产
[08:36] 立刻7月31号马上上路
[08:39] 没有8月上路
[08:39] 所以这个是韩国今天大跌因为我们开盘的时候其實我講有點窒息量有點撐就是在這邊你會覺得那應該殺不下去了結果就下去了但是加速趕底這件事情
[08:52] 韓國一定要趕快解決
[08:54] 所以他竟然那麼狠
[08:55] 就是早點了斷
[08:57] 對 早超生
[08:59] 不過另外一個
[09:00] 我覺得讓市場比較煩惱的就是油價了
[09:03] 因為這個可能要請凱哥來聊一下
[09:05] 今天還有一個消息
[09:06] 是川普有確定這個關稅嗎
[09:08] 其實這個東西還好
[09:09] 就10到12.5%
[09:11] 其实没有什么之前
[09:12] 对等关税拿出来
[09:13] 什么40% 50%
[09:14] 没有这东西
[09:15] 所以我觉得今天关税
[09:16] 应该不是一个罪魁祸首
[09:18] 可是每一站打不完
[09:20] 导致布兰特原油
[09:21] 已经跑到100块钱以上了
[09:23] 哇
[09:24] 这个事情有点伤脑筋
[09:25] 这事情就变成在总经面上面
[09:28] 一个有点
[09:29] 似乎处理不了的通膨升息
[09:32] 也是资金紧缩的问题
[09:33] 对
[09:34] 就是我们之前讲说
[09:35] 因为他们和谈了
[09:36] 所以这个油价就跌破了大量低
[09:38] 可是最近又慢慢回到大量中值了
[09:41] 一旦让它这样大量中值
[09:43] 基本上对资本市场相对上
[09:45] 它就是一个比较大的影响
[09:47] 对
[09:47] 我不许讲
[09:49] 其实当市场在多头的时候
[09:51] 其实油价或者是通膨
[09:53] 其实对AI股是没有什么影响
[09:55] 你要知道
[09:56] 它的影响性非常的小
[09:57] 因为AI的成长非常的大
[09:59] 可是当你的大盘是弱的时候
[10:01] 基本上你已经有点虚了
[10:04] 稍微风吹一下你就感冒了
[10:05] 所以当这个盘进入这个阶段的时候
[10:08] 你就要很小心
[10:09] 所以我讲说
[10:10] 你这时候你不要去做
[10:11] 过度去做追高的动作
[10:13] 甚至你要点做收敛的动作
[10:15] 为什么我们常常讲
[10:15] 00632
[10:16] 它就是一个反向指标
[10:18] 可是它现在是大量低站上了
[10:20] 00632大量低站上代表什么
[10:22] 代表就是多空并存的阶段
[10:24] 就这个市场现在是多空并存的
[10:26] 不是存多的
[10:27] 所以你一心的想要存多
[10:29] 你在这地方就会受伤很大
[10:30] 可是它也没有到大量高站上
[10:33] 也没崩盘
[10:34] 大量高站上就是要崩盘
[10:36] 它也没有
[10:36] 所以基本上
[10:37] 他就在这个地方来回区间的操作
[10:40] 所以在这时间点
[10:41] 基本上你可以就是大量低
[10:44] 又要破了去接一点
[10:45] 然后他又再弹上来
[10:47] 然后呢
[10:48] 过了大量的中值之后
[10:49] 你就可以减一点
[10:50] 因为我个人觉得
[10:51] 因为我开始跟赵华讲说
[10:53] 看起来前低是不会破
[10:55] 前低是不会破
[10:56] 应该也不能讲这么笃定
[10:58] 应该说不会深度跌破
[10:59] 不会说什么跌破了以后
[11:01] 又跌几千点
[11:02] 因为你现在最大的因素是
[11:03] 第一个是韩国
[11:04] 第二是油价
[11:06] 那油价基本上
[11:07] 我觉得川普也在犹豫
[11:08] 就是说
[11:09] 到底要怎么去处理这件事情
[11:10] 因为他如果处理得不好
[11:13] 他其中选举也不用选
[11:14] 所以这地方他就是
[11:16] 他也两难
[11:17] 韩国比较不两难
[11:18] 韩国就直接出手了
[11:19] 其实韩国的事情是直接的
[11:21] 他就直接出手了
[11:22] 其实他这些有点
[11:23] 类似什么概念
[11:24] 就是你房子的自备款
[11:26] 原本只要两成
[11:27] 现在突然告诉你说
[11:28] 到下个月
[11:29] 你要把你的自备款
[11:30] 提高到五成
[11:31] 对
[11:31] 而且你要拿现金来补
[11:33] 你觉得会有多少人
[11:34] 能够受得了
[11:35] 一定很多人受不了
[11:36] 因为你原本是七八成的房贷
[11:38] 你是靠银行在贷款
[11:40] 你突然拿那么多的现金
[11:41] 你能不能拿那么多的现金
[11:43] 举个例子像这样
[11:43] 对不对
[11:43] 所以这个就是很大的压力
[11:45] 所以我觉得
[11:46] 让他加速赶底
[11:47] 未必是坏事
[11:48] 让他加速赶底之后
[11:49] 台股反而就不会受到他的拖累
[11:52] 没错
[11:52] 因为你基本上看到
[11:53] 不管是美光或者是三星
[11:56] 不管是海里
[11:56] 基本上他们财报没有什么问题
[11:58] 市场的需求还是很强
[12:00] 所以他们现在不是产业面出问题
[12:02] 而是在于制度上出了问题
[12:04] 因为他让他们过度的贪婪
[12:06] 所以他现在在收缩这个贪婪
[12:08] 所以你就知道
[12:09] 一个贪婪的心
[12:10] 你要让他回到不贪婪
[12:12] 是不容易的
[12:13] 相对台湾的市场就没有这个问题
[12:16] 台湾顶多就是正二
[12:17] 就是我们是指数正二
[12:19] 我们倒没有个股
[12:21] 可以做到正二这种东西
[12:23] 所以大盘基本上在这个地方
[12:24] 有点起伏
[12:26] 所以你要留意的就是
[12:27] 当市场在起伏的时候
[12:29] 要很注意的是产业面的利空
[12:31] 刚刚我们讲到ABF
[12:32] ABF虽然今天大跌
[12:35] 可是昨天大跌是谁
[12:37] 昨天大跌是真顶
[12:38] 真顶昨天是有利空的
[12:39] 可他今天并没有大跌
[12:41] 他今天大概只有跌4%左右
[12:43] 他有澄清
[12:43] 反而他是真的有利空的
[12:46] 他今天反而没大跌
[12:48] 不要说你说
[12:48] 其实他不是产业面变坏
[12:50] 而是在修正股价
[12:52] 修正股价
[12:54] 所以像真顶的HDI
[12:56] 早上小朋友就问我说
[12:58] 凯克的HDI
[12:58] 他这个做坏了
[13:00] 会不会影响很大
[13:00] 我说不会
[13:01] 因为我们在看它的是ABF
[13:03] 不是它的HDI
[13:04] 但HDI现在是市场上很缺
[13:06] 包括从华通
[13:08] 你看华通要扩敞
[13:09] 代表什么
[13:09] 华通也要很积极地扩HDI
[13:10] 表示HDI需求很强
[13:13] 所以真领做坏了
[13:14] 基本上客户不会说
[13:15] 以后我们不要往来
[13:17] 而是说做坏没关系
[13:18] 你赶快把下一批做出来
[13:19] 因为我还需要HDI的板子
[13:21] 所以告诉你说
[13:22] 产业面是没有什么变化
[13:24] 产业面还是好的
[13:25] 但是个股筹码这边
[13:27] 相对要很重视
[13:29] 所以我们常常讲说
[13:30] 产业形态跟筹码
[13:32] 三者要三合一
[13:34] 你不能只看产业
[13:35] 如果你只看产业
[13:36] 你在这地方
[13:37] 你就会被卡在泥泞里面
[13:40] 因为产业面没有变化
[13:41] 你就要留意形态跟筹码
[13:43] 现在筹码尤其是形态
[13:44] 产业面没有变化
[13:47] 没错
[13:47] 为什么是多空交战
[13:49] 就是因为产业面跟基本面
[13:51] 没有变化
[13:52] 而市场解读的想法变了
[13:54] 昨天有提到Google财报
[13:55] 我们有跟大家聊
[13:56] 如果在一般顺丰的情况下
[13:58] 他告诉你我要大幅的资本支出
[14:00] 市场一定给你按一个赞
[14:02] 对不对
[14:02] 就算是EPS里面有灌了
[14:04] 所谓的一次性的认利
[14:05] 也没有关系嘛
[14:06] 扣掉以后还是水准之上
[14:07] 对不对
[14:08] 自由现金流转付
[14:10] 市场看得很严重
[14:11] 就觉得虽然你有赚钱
[14:13] 但是入不敷出
[14:15] 才会自由现金流
[14:16] 从2004年以来首度转付
[14:18] 市场气氛不好
[14:19] 这件事情就一直被拿出来编
[14:21] 一直被拿出来编
[14:22] 昨天还有特斯拉的财报
[14:24] 他也是自由现金流转付
[14:26] 那特斯拉也照跌
[14:27] 可是奇妙咯
[14:29] 那最新公布
[14:30] 就是今天凌晨的
[14:31] Intel财报
[14:32] 怎么大涨呢
[14:33] Intel怎么了
[14:34] 他也有讲
[14:35] 他说大家的资本支出
[14:37] 对我Intel是有利的
[14:38] 然后我自己的资本支出
[14:40] 今年感觉上
[14:41] 他是没有调整
[14:42] 但明年也会显著的
[14:44] 比今年多
[14:45] 市场就买单了
[14:46] 反正你今年还没有调
[14:48] 你是说明年
[14:48] 那没关系
[14:49] 别人资本支出
[14:50] 对你有利
[14:51] 那很赞
[14:51] 你的获利盈余
[14:52] 高速市场预期棒棒
[14:54] 美国政府挺你
[14:55] 棒棒
[14:55] 所以Intel股票就是在昨天
[14:59] 公布财报之后在盘后是大涨的
[15:02] 当然他后来有点受到盘市
[15:03] 整体比较冷清的压抑
[15:05] 可是这也证明一件事情
[15:07] 财报都没有问题好吗
[15:08] 大家的财报都没有问题
[15:10] Intel比较聪明
[15:11] 他不是今年大撒钱
[15:13] 他明年会大撒钱
[15:14] 市场就好没关系
[15:15] 那你今年没有大花钱
[15:16] 那就肯定你这样子
[15:18] 这是一个很奇妙的事情
[15:20] 但是为什么刚才讲到川普的事情
[15:22] 有点棘手
[15:23] 就是顺丰的时候
[15:24] 确实油价上去通膨
[15:26] 大家没有那么在意
[15:27] 可是现在就是因为有点逆风
[15:29] 然后又有一个感觉是
[15:30] 你川普老兄
[15:32] 早就说要结束这个战争
[15:34] 每一次都说七天结束
[15:35] 十天结束
[15:36] 签和平协议
[15:37] 我不签
[15:37] 这样来回已经要期中选举了
[15:40] 他还搞不定
[15:41] 那为什么会在八月中下旬
[15:43] 你觉得有机会市场恢复平静呢
[15:46] 我觉得就是说
[15:47] 你要知道
[15:48] 这场战局里面
[15:50] 其实川普的大嘴巴
[15:52] 还是一个很大的变数
[15:53] 就是他的大嘴巴会影响到
[15:55] 这市场的变化
[15:56] 甚至讲说
[15:57] 你们也可以来买我的Cotion
[15:59] 对啊 要不要买
[16:01] 天啊
[16:01] 我们不争气的有点想买
[16:03] 对不起
[16:04] 他说提早几毫秒而已
[16:05] 但是也才差几秒钟而已
[16:07] 他说毫秒不是秒
[16:08] 所以基本上
[16:10] 我认为基本上
[16:11] 他仍然是在一个国际的战略的
[16:13] 一个思量的角度上
[16:15] 所以他可以让他缓和一点
[16:18] 就是说我就不再继续的强攻伊朗
[16:21] 那你伊朗也要做一点的退让
[16:23] 我觉得伊朗是愿意的
[16:26] 因为他们在他们的外交端
[16:28] 其实一直有发出讯息说
[16:29] 他们是愿意再跟美国谈的
[16:31] 只是他不愿意就是直接
[16:33] 就是冷气吞声
[16:36] 就说我是完全投降的
[16:37] 那这伊朗大概是不会做
[16:39] 但是他是可以跟美国谈的
[16:41] 所以一旦只要传出说
[16:42] 伊朗跟美国再度和谈
[16:44] 我觉得油价就马上又跌下去
[16:46] 因为基本上
[16:48] 他纯粹是一个心里面的变化
[16:50] 再就是目前看起来
[16:51] 台湾对于油的需求
[16:53] 其实已经拖到10月去了
[16:54] 我觉得大家这个油的需求
[16:56] 其实也没有之前那么强
[16:57] 因为之前一段时间是解封了
[16:59] 这个海峡的部分
[17:02] 海峡解封之后
[17:03] 很多的油轮其实都出来了
[17:04] 所以再造成比较大的油的恐慌
[17:07] 我觉得就不是现在
[17:09] 我觉得现在变得油价上涨
[17:10] 还是心理层面的部分比较多
[17:12] 所以我们也只能且战且走
[17:15] 因为市场现在对利空是有反应的
[17:18] 因为前一阵子
[17:19] 其實像上禮拜我們一直提到一件事情
[17:21] 利多有點刺激不了對不對
[17:23] 但利空卻很反應
[17:24] 這就是典型市場現在氣氛差的一個象徵所以我們要期待的是什麼我們已经不是在期待利多来救市而是利空一直测试之后不跌了我觉得至少第一件事情要做到这个
[17:37] 可惜现在还是在一个利空来了
[17:40] 但重点我还是觉得韩国人实在很懵
[17:42] 对
[17:43] 就是真的很难想象
[17:45] 说八月要上路的东西
[17:46] 突然我告诉你现在马上
[17:47] 但这个事情可以解决
[17:50] 因为他就做了
[17:51] 他现在做他就砍了
[17:52] 那这个好解决
[17:53] 我觉得油价就要等市场气氛的恢复
[17:56] 其实有个东西也可以观察
[17:58] 就是美国的恐慌指数VIX指标
[18:00] 其实它没有在创高哦
[18:01] 也代表市场对于来来回回
[18:03] 反反复复的这些油价上涨
[18:05] 或是美益之战
[18:06] 它没有觉得有更恐怖
[18:08] 只是就是情绪不好的一个情况
[18:11] 所以现在我想
[18:12] 大家做股票会有种脱模的感觉
[18:14] 它不是恐慌
[18:15] 它不像说最大跌点那一天
[18:17] 或什么就觉得发生什么事
[18:19] 你是有点脱模
[18:20] 就是到底怎样我才能恢复到
[18:22] 我买了股票之后
[18:23] 只要是对的产业就能顺顺涨
[18:25] 我记得我有一次来节目
[18:28] 我有讲说
[18:28] 节目发觉我们的金融哥讲话了
[18:31] 他说我们的这个房贷
[18:34] 打到这里就可以
[18:35] 对
[18:35] 我真的讲说
[18:36] 其实市场会有可能
[18:37] 会把资金移到房地产去
[18:39] 是
[18:39] 银建股的股票
[18:41] 可能相对会开始变得比较好
[18:42] 有涨一两天
[18:43] 在第三季比较不明朗的情况之下
[18:45] 也许它就是一个避风港
[18:46] 现在就有这种氛围
[18:48] 就是其实资金是在避风港parking
[18:51] 之前比较冷的股票
[18:53] 其实它相对不跌
[18:53] 反而最近起伏很大
[18:55] 就是那个之前很热的股票
[18:57] 很热的族群
[18:58] 所以在这种情况下
[19:00] 已经很多人在里面的戏院
[19:01] 你就不要再去里面凑热闹了
[19:04] 你就先在外面等等看
[19:05] 或者是他之前戏院都已经没人了
[19:08] 例如说像CPU这种
[19:10] 人几乎都跑光了
[19:11] 那你就可以试着进来蹲蹲看
[19:13] 蹲蹲看也许戏就上演了
[19:15] 对不对
[19:16] 那在这个地方
[19:17] 你说我刚刚讲
[19:18] 因为这个时间点
[19:19] 大概还要拖两三个
[19:21] 两三个礼拜
[19:22] 就这个盘才会开始比较稳定
[19:24] 那当然会有人讲说
[19:25] 哇两三礼拜那是多久的时间啊
[19:27] 天啊好可怕
[19:28] 对不对
[19:29] 所以我们资金就可以往
[19:31] 相对来讲位阶比较低的去移
[19:33] 或者是我们讲长线的ABF
[19:36] 其实还是好的
[19:37] 那它今天跌停
[19:38] 其实你就可以去试着
[19:40] 接一点试试水温
[19:42] 因为我刚刚讲
[19:43] 今天ABF四雄里面
[19:44] 其实昨天最弱的真领
[19:46] 今天是没跌停的
[19:47] 所以它不是基本面的问题
[19:49] 对而是这个筹码的部分
[19:52] 出了问题
[19:52] 那我猜
[19:53] 昨天一定也有人去追ABF
[19:55] 对
[19:56] 下来
[19:57] 这边
[19:57] 我个人觉得
[19:59] 以ABF这四档里面
[20:01] 我认为投信
[20:02] 对于
[20:03] 新兴跟南电
[20:05] 一定是不离不弃
[20:06] 对
[20:06] 新兴跟南电是不离不弃
[20:07] 那我们刚刚讲
[20:08] 我们先讲过
[20:09] 新兴其实是比较
[20:10] 占AI成分比较重的
[20:11] 也就是说
[20:12] 它会是投信未来
[20:13] 持续加码的标的
[20:14] 一样
[20:15] 西西野柔其实也是
[20:17] 可是你看
[20:18] 这几天的联贸
[20:18] 也都被杀到跌停
[20:19] 今天联贸跌停
[20:20] 不过还被它前几天抗跌
[20:22] 其实论仔细看
[20:23] 其实联贸形态是比台光跟台耀都还要强的
[20:27] 好的
[20:27] 是比台光明显好
[20:28] 所以它有点类似补叠的概念
[20:30] 就是大哥没上去
[20:32] 我也不能跑太远
[20:33] 我就回来等待一下大哥
[20:35] 所以股价其实是
[20:37] 他在告诉你说
[20:38] 我的位阶已经很高
[20:39] 我需要休息
[20:40] 而不是说他位阶很高
[20:41] 你还要继续追他
[20:42] 希望他离大哥跑更远
[20:44] 这样就有点太离谱了
[20:46] 有点不合
[20:48] 没有这个没有什么
[20:49] 没有道义
[20:51] 伦理
[20:52] 大哥还坐在那里
[20:53] 你跑什么
[20:54] 所以大哥还坐在那里
[20:55] 你就不能跑太远
[20:57] 在附近等待
[20:58] 所以其实是各股
[21:00] 还是有一些族群脉络可循的
[21:03] 不完全是没有
[21:04] 只是我们可以看到
[21:05] 投信在近期的这段时间
[21:07] 你看它的买超前五十五大
[21:09] 基本上是什么金融股
[21:10] 营建股
[21:11] 军工股
[21:12] 投信不太买军工股
[21:15] 但是投信也开始买军工股
[21:18] 今天投信也开始买军工股
[21:19] 我们之前讲说
[21:20] 军工股可能是另外一个清流
[21:23] 因为他们不在AI的这个阵营里面
[21:26] 而且他们从马洗干净很久
[21:27] 对他们从马相对比较干净
[21:28] 所以他就是资金parking的地方
[21:31] 但我说他也不会parking太久
[21:32] 大概就是两三周的时间
[21:33] 所以你要嘛就是干脆减码一点
[21:36] 也不要全部出掉
[21:37] 减码一点在旁边看
[21:39] 看哪些族群相对是比较稳定的
[21:41] 或者是你去接那个未接相对比较低的
[21:44] 而不是说你现在把你的资金全部压进去
[21:47] 去压这未来这两周
[21:48] 我觉得这样会比较冒险
[21:49] 军工
[21:51] 凯哥之前也有特别聊到
[21:52] 因为我一直很担心
[21:53] 军工只有一两日行情
[21:55] 而且受政策的表决影响等等
[21:57] 但后来凯哥就独排众议说
[22:00] 他觉得这次真的不一样
[22:01] 因为这次是朝野两党
[22:03] 都有提供像无人机方面的预算
[22:05] 不是正跟否
[22:07] 是预算到底用哪一种的版本
[22:09] 然后再来的话
[22:10] 真的是变成避风港了
[22:12] 军工在这段时间
[22:13] 大家有钱会跑去哪里
[22:14] 还有速化
[22:15] 可是今天速化就呈现一个
[22:16] 很奇妙的状态
[22:17] 这也是我讲
[22:18] 现在已经不是看基本面盘
[22:20] 它有点筹码盘
[22:21] 速化不是前一阵子超级强
[22:22] 照理来说
[22:23] 今天油价上去应该更强
[22:25] 没有 因为涨太多
[22:26] 涨太多
[22:27] 前就有一点也从速化提款了
[22:29] 因为他们是右上角的股票
[22:31] 然后像工业电脑
[22:33] 虽然我这段时间一直提到
[22:34] 他们也是属于比较避风的
[22:36] 但是也要留意这个现象
