[00:00] 欢迎收听赵华与古货载第1105集
[04:38] 昨天该涨的
[04:39] 其实就差不多啦
[04:41] 所以代表
[04:41] 当然啊
[04:42] 昨天讲
[04:43] 120几档的这个涨停又创新高
[04:47] 那大家有些人会觉得
[04:48] 那个涨停的整个买盘
[04:50] 还没有完全宣泄
[04:51] 所以也许隔天还会开高
[04:53] 但是那些大部分都不是
[04:55] 很代表性的个股
[04:57] 那比较重要的是台积电
[04:59] 其实昨天就已经相对偏弱了
[05:02] 所以代表着
[05:03] 它现在是没有人气的
[05:05] 所以它没有人气
[05:06] 昨天相对偏弱
[05:07] 今天又稍微拉回
[05:08] 你指数要怎么上去
[05:10] 所以我觉得老实说
[05:12] 結論就是剛剛提到
[05:13] 要記得一件事情就是中東
[05:15] 其實講到
[05:17] 這個所謂的
[05:19] 在整個和談之後
[05:21] 尤其比較重要就是赫姆斯海峽一開放
[05:23] 就是最後的利多
[05:24] 未來不可能再靠這個美伊
[05:27] 再去激勵股市
[05:28] 但是要記得最後的利多代表未來
[05:31] 如果又出現
[05:32] 談不攏啦什麼
[05:34] 開放又不如預期
[05:36] 那個還是會讓股市有壓力
[05:39] 所以未來中東就是只有利空
[05:41] 没有利多
[05:41] 就我自己的感受
[05:42] 当然听起来有点恐怖
[05:44] 当然也没那么紧张
[05:45] 就是无论如何
[05:46] 要记得一件事情
[05:47] 战火上三月的跌幅
[05:49] 也不过如此而已
[05:51] 所以那个时候
[05:52] 都没有任何的迹象
[05:54] 市场已经恐慌
[05:55] 也不过如此
[05:56] 所以未来你要寄望
[05:58] 刚刚提到
[05:59] 中东战火不可能再激励
[06:01] 那当然可能会有压力
[06:02] 但是你要寄望
[06:03] 有多大的跌幅
[06:05] 老实讲也很难
[06:06] 所以回过头来
[06:07] 你说之前没有跟上车
[06:10] 那有没有机会来到四万
[06:13] 老师说往后看
[06:15] 你问我说
[06:17] 现在可以猜得到什么利空
[06:21] 我觉得只有一件事情
[06:22] 我觉得大家要稍微留意一下
[06:24] 就是回答的这个产品线要转变
[06:28] 就是上一次呢
[06:30] 在2024年的时候改朝换代
[06:33] 我不知道大家还有没有影响
[06:35] 那个时候在讲说快出来快出来
[06:38] 但是一直有良利的问题
[06:40] 无法量产的问题
[06:41] 下次问题
[06:42] 对
[06:42] 拖了接近半年
[06:44] 对
[06:44] 可能快要三季
[06:45] 两季到三季
[06:46] 对
[06:46] 两三季左右
[06:48] 所以那个时候
[06:49] 大家回去看
[06:50] 股市是有压的
[06:51] 有
[06:51] 对
[06:52] 那这一次再讲
[06:53] 下半年要再改朝换代了
[06:55] 是不是能不能顺利
[06:56] 这个我也打了
[06:57] 也蛮大的问号
[06:58] 因为
[06:59] 现在
[07:00] 从黄文轩的口中
[07:02] 或市场的角度
[07:03] 在讲都是
[07:04] 无缝衔接的
[07:06] 对
[07:06] 所以大家的设想
[07:08] 或者是市场
[07:09] 在估大家的營收獲利都是無縫銜接的
[07:13] 所以最後有沒有那麼順利
[07:16] 我覺得這個是比較大的問題所在
[07:18] 當然這樣的架構來講
[07:20] 回過頭來當時兩年前曾經因此而下跌
[07:25] 當然當時不只這個因素
[07:27] 當時下跌除了所謂的新產品出來卡關之外
[07:32] 當時還有美國經濟數據有稍微轉弱
[07:35] 還有當時還有一個問題就是
[07:37] 日本升息
[07:39] 当时有carry trade的问题
[07:41] 所以导致
[07:43] 当时三个利空夹击
[07:45] 股市稍微有一点点的拉回
[07:47] 但是如果这次来讲
[07:49] 只有
[07:50] 所谓新产品转换的下跌
[07:53] 我个人觉得结论就是会有压力
[07:55] 但绝对要记得
[07:57] 无论如何绝对不会像两年前那样
[07:59] 因为市场会继续教训
[08:01] 同一件事情再发生
[08:03] 跌幅一定会比那次小很多
[08:06] 因為你要記得一件事
[08:07] 上一次假設你是在上次24年講到
[08:10] Brainwell這個整個所謂的產品出貨狀況不如預期
[08:15] 你當時是認同你賣掉了
[08:18] 最後發現是一個錯誤的選擇
[08:20] 這一次再講新產品來又這個產品不順
[08:24] 你還會踩第二次雷嗎
[08:26] 理論上大家都有這個預期
[08:28] 所以跌幅理論上絕對會沒有像上次那麼嚴重
[08:32] 那這個是目前想像得到的這個利空
[08:35] 所以以现在43000要回到4万点
[08:38] 我老实讲
[08:39] 我个人觉得相对而言是有一点点困难
[08:42] 那现在的架构来讲
[08:44] 主要还是涨多是比较大的压力
[08:46] 而且刚刚提到
[08:47] 如果就基本面可能就是
[08:49] 这个新AI的改朝换代
[08:52] 可能中间会有杂音
[08:53] 但是趋势还在持续往上
[08:56] 所以投资人尤其刚刚提到
[08:58] 就是要等4万点
[08:59] 代表的就是你手上还有资金
[09:01] 还想加码的
[09:02] 你自己要去找好这个
[09:04] 你未来的这个进场的你的这个节奏
[09:08] 我还是建议大家就是
[09:10] 不要设想你一定要多少点要买
[09:14] 因为通常你现在会讲4万点
[09:16] 代表你沿路过来
[09:18] 可能已经这个所谓lose掉很多次
[09:20] 错过3万点
[09:21] 对3万5
[09:23] 也可能错过上一次回4万点
[09:25] 沿路都是那个
[09:26] 然后中间有回档的时候你又怕
[09:28] 因为会回档代表是有问题
[09:31] 简单来讲
[09:32] 3月的时候有回档
[09:33] 你又很怕真的戰火一來之後
[09:35] 然後那個鬼故事又告訴你
[09:37] 油價會創歷史新高
[09:39] 然後全球經濟會衰退
[09:41] 所以你當時你也信了
[09:42] 所以不敢進場
[09:43] 結果現在創高了又害怕
[09:45] 可是我要過一段時間
[09:47] 可能又講新舊交替不順利
[09:50] 你又害怕可能會衰退
[09:52] 結論我常講就是這個趨勢
[09:55] 已經兩年多了
[09:57] 這些其實都是舊的東西
[09:59] 那這個持續往上的架構是不變的
[10:03] 所以我結論就是提到
[10:05] 一開始就不要設好說
[10:06] 多少點你要買
[10:08] 那把握原則是大漲的時候
[10:11] 不用去追
[10:12] 但是只要震盪整理
[10:14] 你就必須要分批的布局
[10:16] 我持續重申
[10:18] 就是說你不見得一定要自己去抓點位
[10:20] 你應該就目前的角度
[10:22] 不要用空間下去看
[10:24] 就是我所謂的空間就剛剛提到
[10:26] 43000還是4200還是4100
[10:28] 不要你用时间下去看
[10:30] 你每可能每两周买一次
[10:33] 或每周买一次
[10:35] 把这个资金慢慢的投入
[10:37] 上礼拜有在教我们十天
[10:38] 分十天进场
[10:39] 对那个是
[10:40] 真的是比较短线的时间
[10:42] 因为在几涨你很怕
[10:44] 你就是把时间轴压得很近
[10:47] 那如果你今天可能开始
[10:49] 你觉得有机会回档
[10:51] 或者是可能要震荡
[10:52] 你可以把时间轴稍微拉长一点
[10:54] 每个礼拜时间到就固定进场
[10:57] 你先不用管它
[10:58] 现在的价位在哪里
[11:00] 否则永远都买不到
[11:01] 老实讲
[11:02] 我还是持续讲到一个观念
[11:05] 就是如果我刚刚提到的趋势是对的
[11:08] 你半年后一年后
[11:09] 这个股市又距离现在很远的距离
[11:12] 你到底是买在四万三
[11:14] 四万二还是四万
[11:15] 其实没有太大差别
[11:17] 当然讲出一个整数关卡
[11:19] 也是在问的意思是
[11:21] 有没有可能在比较明显的回档
[11:23] 但我还是觉得一定会有可能
[11:25] 就是这个可能是什么
[11:27] 我们无法预料
[11:28] 但是多头的架构
[11:30] 以及AI的景气是否向上
[11:32] 它就是一个非常强的支撑力
[11:34] 上礼拜我们聊一样的事情
[11:36] 因为上礼拜来
[11:37] 明海也觉得
[11:37] 财务会那么一咪咪
[11:39] 就又通通攻上去了
[11:40] 一堆公司创历史新高
[11:42] 像昨天有很多大牛股
[11:44] 也都喷到涨停板等等的
[11:45] 我们能够掌握的就是
[11:47] 在回档的时候
[11:49] 你会对你手上的股票有信心
[11:51] 甚至你有闲钱
[11:52] 你会再愿意进去加码
[11:54] 其实我们这段时间
[11:55] 一直在讲这件事情
[11:56] 那我昨天呢
[11:58] 无意间有看到一个
[11:59] 我在两个多月前回的留言
[12:00] 在理财大人秀
[12:01] 我现在想想真的蛮有意思的
[12:03] 同样的逻辑还是放在现在
[12:05] 因为我想上一波
[12:06] 从四万两千多回到四万的时候
[12:08] 就是很多人又开始觉得
[12:10] 搞不好这次是真的崩盘
[12:11] 那一次是
[12:12] 为什么两个多月前
[12:13] 那就是美伊战争
[12:14] 所以就有一个人问我说
[12:16] 他有听到也是我们podcast
[12:17] 那天是韦泰来
[12:18] 他听你们聊到
[12:19] 这个如果没有伊朗战争的因素影响
[12:22] 那台股多头向上的趋势还在
[12:24] 我那天也是告诉大家
[12:26] 回党就是站在买方
[12:27] 理论上就是跟AI达人
[12:30] 明翰讲的一样
[12:30] 因为我们的AI红利
[12:32] 吃好吃嘛
[12:32] 然后我就
[12:33] 但是他听了别人
[12:35] 就别人跟他说
[12:35] 现在AI到顶了
[12:36] 科技巨头的技术形态
[12:38] 当时都下弯
[12:39] 行程快要空头了
[12:40] 那油价如果一直上去
[12:41] 世界就毁了
[12:42] 他说那你听到这些
[12:44] 你不怕吗
[12:44] 怕
[12:45] 其实当然
[12:46] 油价如果一直上去
[12:48] 我怕
[12:48] 可是后来就有证明
[12:50] 因为川普
[12:51] 他还是不希望油价上去的
[12:53] 所以来来回回
[12:54] 即使这个和谈并不一定
[12:55] 现在肯定叫最后一次
[12:57] 但是油价看来
[12:59] 就是受到了一定的控制
[13:00] 如果油价真的一直上去
[13:01] 140 150 160
[13:03] 我跟敏汉都不会那么镇定了
[13:04] 我们就觉得这个事情是很严重
[13:06] 但我们那时候就立足在
[13:08] 好我们就观察油价
[13:10] 没有失控的情况下
[13:12] 我们相信AI景气向上
[13:14] 那你说技术形态没有错
[13:16] 如果大家非常喜欢技术形态
[13:19] 那一定要切记
[13:19] 你就要遵守技术形态做进出
[13:22] 跌破了短期均线的标股
[13:24] 你本来就该互利了结
[13:26] 那如果回档后
[13:27] 多头形态没破
[13:28] 又重新起工
[13:29] 你要买回来
[13:30] 不要总是说
[13:31] 好像AI泡沫
[13:32] 好像形态转空
[13:33] 你就什么都不干
[13:34] 也不相信基本面的好
[13:36] 然后就觉得世界末日
[13:38] 然后等到涨上来
[13:39] 又急呼呼的说
[13:39] 那下一次什么时候回档
[13:41] 因为如果心态没有改变的话
[13:43] 下一次回档
[13:44] 你一样会害怕
[13:45] 你一样会觉得完蛋了
[13:46] 对
[13:47] 好
[13:48] 那我们还是回到
[13:48] 台股的盘面上
[13:49] 因为最近的话
[13:51] 其实几乎所有的全职股都有涨
[13:53] 连国巨都已经飞天
[13:54] 热光也飞天了
[13:55] 但台积电是比较压抑的
[13:57] 这样的情况对明翰来说
[13:59] 是健康的结构
[14:01] 还是台积电自己有什么疑虑
[14:03] 其实台积电能有什么疑虑
[14:07] 我自己也想不太出来
[14:09] 最近是因为员工分红在吵架
[14:11] 前一阵子是Intel跟三星的抢单
[14:15] 对好
[14:15] 这两个事情
[14:17] 应该说相对来比较大的事件
[14:20] 所以记者都会问
[14:23] 我讲一下我的看法
[14:25] 这两件事
[14:25] 第一个讲员工分红
[14:27] 应该记得就是说
[14:30] 我觉得这件事情是不是真的
[14:34] 我觉得所谓的是真的
[14:37] 几率是高的
[14:38] 就对我自己的看法
[14:40] 为什么说这个几率是高的
[14:42] 要记得一个事情
[14:44] 大家先有概念
[14:46] 就是他所谓的分红
[14:47] 一开始讲的是一个比例
[14:49] 就是说它所谓的比例
[14:51] 它是用获利下去算
[14:52] 所以代表是说
[14:54] 简单的架构就是说
[14:56] 你今天的公司
[14:57] 如果你赚一百块
[14:59] 它可能原本要分
[15:00] 我们比较好算
[15:01] 比如说十个percent
[15:02] 这代表说十块钱
[15:03] 要去做员工分红
[15:04] 那现在有个问题就是
[15:07] 它第一季的获利是成长
[15:09] 五十八个percent
[15:10] 代表就是
[15:11] 这一季突然从一百赚到
[15:14] 一百五十八
[15:15] 然后呢
[15:16] 种种因素来讲
[15:18] 就变成简单而言
[15:19] 就是假设你去年
[15:21] 如果按照比例
[15:23] 假设都不动
[15:24] 你分到100万的奖金
[15:25] 其实你今年就会分到
[15:27] 158万奖金
[15:28] 是一个非常夸张的数字
[15:30] 然后呢
[15:31] 这个什么原因
[15:33] 我也不想
[15:34] 我也不知道
[15:35] 所以我们不要去预测
[15:37] 那有没有可能把比例降低
[15:39] 我也不敢讲
[15:40] 我说假设真的是
[15:41] 那我例如说
[15:42] 会出现一个现象
[15:44] 就刚刚提到
[15:45] 100块原本要分10块然後呢現在突然變分八塊而已因為原因是因為就算你一五八乘上八個比賽還是比原本多很多啊
[15:57] 所以這個
[15:58] 我這樣講好了
[15:59] 我以前在國泰
[16:01] 我們金控也是類似這樣
[16:03] 我們每一次在發獎金的時候
[16:04] 也是看當時的整個證券的獲利
[16:08] 來下去做所謂的分紅的一個角度
[16:12] 我們的分法也是一個概念
[16:14] 就是去年賺多少錢
[16:16] 然后再分到各部门
[16:19] 再分给各员工
[16:21] 所以数字一定会有变化
[16:24] 当然就我以前也会有期待
[16:26] 因为我们假设当时我们确实在
[16:29] 我在国泰的时候
[16:30] 那几年公司的获利是快速增长的
[16:33] 那会有一个现象
[16:34] 比如说这个公司去年获利增长三成
[16:38] 然后我去年假设
[16:40] 比如说我分一百万
[16:41] 代表我隔年是一定分到一百三万
[16:44] 答案不一定
[16:45] 但是公司会把握一个原则
[16:47] 就是你明明看到公司获利
[16:49] 已经成长那么多
[16:50] 我去年分100万
[16:51] 他今年不可能丢100万
[16:53] 除非我今年的烤鸡比去年低
[16:55] 我只要烤鸡是维持一样
[16:58] 他就会抓好原则
[16:59] 就是会一定会比去年高
[17:03] 也许是100一百二怎样
[17:05] 我觉得那个公司有公司的考量
[17:07] 而且在分的中间会有很多的因子
[17:10] 那我觉得现在应该是说
[17:13] 有这个考量
[17:15] 或者是有这些杂音
[17:16] 是说分比例怎样
[17:18] 那你要记得一件事
[17:19] 今天如果台积电的获利
[17:21] 一直都是维持稳定的
[17:23] 就是说
[17:23] 现在去年赚一百万
[17:25] 分十万
[17:26] 今年又赚一百万
[17:28] 结果只剩八八
[17:29] 只分八万
[17:29] 到最后会有一个问题
[17:31] 就是大家拿到的钱
[17:32] 会比去年少
[17:33] 然后这个一定会抗议
[17:35] 但是你今天就知道
[17:37] 公司获利是用喷出的
[17:39] 然后他没有完全按照比
[17:41] 因為不可能成長58%給你
[17:43] 他可能每個人拿到不一樣
[17:46] 但是我個人覺得
[17:47] 以我以前過往經驗
[17:49] 念歸念
[17:50] 等到錢撥下去
[17:51] 看到還是比去年多
[17:53] 大家不會有意見
[17:55] 所以我個人也不相信
[17:57] 以台積電的角度
[17:59] 你今年烤雞跟去年一樣
[18:02] 然後今年的分的錢會比去年少
[18:04] 我個人是不太相信
[18:06] 所以我覺得也許有些人
[18:07] 最後不是很滿意
[18:09] 因為我自己也知道
[18:11] 就我們以前一樣
[18:12] 分紅不可能讓每個員工都滿意的
[18:16] 這是必然的
[18:17] 但是一樣的問題
[18:18] 你要知道有時候不滿意
[18:19] 其實是因為
[18:20] 其實就是你的成績
[18:22] 就是我講你的考機的問題
[18:23] 照理講你的考機只要一樣
[18:25] 公司的獲利成長
[18:27] 不代表公司成長幾趴
[18:30] 就一定會分離幾趴
[18:31] 但是整個角度而言
[18:33] 你一定是往上
[18:34] 所以兩個問題
[18:35] 第一個就是
[18:36] 我覺得大部分是往上的
[18:38] 碎念在所難免
[18:40] 但是等到那個錢進來
[18:42] 看那個數字其實大家就可以接受
[18:44] 尤其是台積電那個分紅的那個數字是很恐怖的
[18:48] 所以拿到大家不會念
[18:50] 還有一個很大問題
[18:51] 就講說罷工
[18:52] 可是三星人家是有公會
[18:54] 在台灣來講其實是
[18:56] 老實講有部分行業之外
[18:59] 其他的產業其實是不太合法
[19:01] 所以我覺得以這個架構來講
[19:03] 其實這塊我覺得
[19:05] 我還是相信台積電會很有智慧處理這個事情
[19:09] 所以我覺得這塊來講不會是很大的爭議
[19:12] 另外一個的角度是在講三星跟intel的部分
[19:18] 那我結論有提到
[19:19] 剛剛也提到比如說三星現在賺很多錢啊之類的
[19:23] 可是有個問題
[19:25] 這幾年有一個概念就是台積電的這個資本支出
[19:30] 你把三星intel還包含幾個比較重要的龍頭全部加一加
[19:35] 五家加起來的資本支出還不如一家台積電
[19:38] 你會知道這個概念就是人家原本已經是王者
[19:42] 結果人家的投資又是你們全部加起來還不如他一家
[19:47] 所以代表這個中間的差距還在持續快速擴大當中
[19:51] 所以這個問題有沒有可能說
[19:55] 之前投資人員跟我講說現在Intel不一樣了
[20:00] 他是政府的資助啦
[20:03] 或者是這個所謂的
[20:05] 他有大量的資金
[20:07] 我常常講
[20:07] 如果錢
[20:08] 如果今天錢可以搞定的
[20:10] 今天半導體不是台灣可以說話的
[20:15] 因為講到錢
[20:16] 比我們國家有錢的國家這麼多
[20:20] 大家都在搶晶片
[20:21] 歐洲也想
[20:23] 日本也想
[20:24] 美國也想
[20:24] 每個國家都想
[20:25] 中國不想
[20:26] 哪個國家不想
[20:27] 有一个自己的这个所谓的晶片
[20:30] 有一个所谓的先进制程
[20:32] 但事实上就是做不到
[20:34] 所以他卡在
[20:35] 我还是觉得卡在两个重点
[20:37] 一个是技术
[20:38] 一个是人才
[20:39] 那这两块是很重要的关键点
[20:42] 所以我觉得老实说
[20:44] 我常常讲一个观念就是
[20:47] 现在看到比如说
[20:48] Apple
[20:49] 什么谁谁谁跟谁谁谁签订单
[20:53] 你要记得一件事情
[20:55] 他们也是不得已的
[20:57] 不得已的原因
[20:58] 我常讲今天他会找别人签订单
[21:00] 其实有两个因素
[21:02] 第一个当然是为了要分散风险
[21:04] 可是我觉得
[21:04] 现在更不是分散风险的时候
[21:07] 现在比较大的问题是
[21:09] 绝大部分是因为拿不到相对应的产能
[21:13] 所以会导致可能他必须要分散
[21:17] 去别的地方拿产能
[21:18] 甚至最近在讲到李在荣来台湾
[21:23] 去找联发科
[21:24] 很明显他就是
[21:26] 做什么事情
[21:27] 就是因为他有记忆体
[21:29] 那联发科的部分
[21:31] 他们可能有手机厂
[21:32] 或者是笔电
[21:34] 他们有需要合作
[21:35] 所以他用
[21:36] 大家都在讲
[21:37] 他有没有可能用他的记忆体
[21:40] 用包裹的方式跟他交换
[21:42] 我跟你签一个比较合理的价格
[21:44] 便宜卖给你
[21:45] 另外呢
[21:46] 未来的部分
[21:47] 你的订单是不是可以来我这边下单
[21:49] 我帮你做代工
[21:51] 所以代表他要去抢
[21:52] 这个所谓的台积电的单
[21:55] 那我跟你讲
[21:56] 你要先了解过去发生什么事情
[21:59] 就是高通跟联发科
[22:01] 他们一直以来是死对头
[22:04] 很重要的竞争对手
[22:06] 要记得一件事情
[22:07] 就是高通的这个所谓设计能力
[22:10] 长期而言是引联发科的
[22:13] 可是这几年
[22:14] 整个联发科能够逆势追过他
[22:18] 最重要的关键点
[22:19] 就是高通曾经不理智找别人代工
[22:24] 三星嘛
[22:25] 晶片门是不是
[22:26] 对
[22:26] 他曾经不理智找别人代工
[22:29] 付出极大的代价
[22:31] 就变成他的这个生育
[22:34] 稳定性
[22:35] 大家都打了很大的质疑
[22:36] 他有一个很重要的关键点
[22:38] 就在差在那个时间点
[22:39] 因为联发科有跟台积电合作
[22:42] 而且是很紧密的合作
[22:44] 所以他在先进产能
[22:45] 他可以分到一边一个
[22:46] 所以结论而言
[22:48] 现在有一个问题
[22:49] 我舉個例子
[22:50] 就像輝達跟AMD現在在競爭
[22:53] 其實最後的關鍵點
[22:55] 當然設計很重要
[22:57] 可是還有一個很重要的問題
[22:59] 你搶到的是5奈米
[23:01] 我搶到的是2奈米
[23:02] 如果你今天的設計
[23:05] 真的明顯比我厲害
[23:06] 也許還會影響不是那麼大
[23:08] 但你有沒有觀念
[23:10] 就是如果今天
[23:11] 我們兩個的設計差不多
[23:12] 可是你搶到的是5奈米
[23:14] 我搶到的是2奈米
[23:15] 我設計出來的
[23:16] 要嘛就是效率比你快
[23:18] 要嘛就是比你省能源
[23:20] 无论如何
[23:21] 最后我的晶片就是比你厉害
[23:23] 所以结论而言
[23:24] 就是大家现在不用想太多
[23:28] 就算我老实讲
[23:29] 就算三星intel的晶片再便宜
[23:31] 今天是我
[23:32] 我今天是这些大客户老板
[23:35] 我也不会因为你便宜去买你的东西
[23:37] 我一定先去台积电排队
[23:39] 现在的问题是
[23:40] 台积电排队完之后
[23:42] 还是有很多做不出来
[23:44] 所以只好去找其他人
[23:46] 所以我要提及就是說
[23:49] 記得一件事情就是
[23:51] 未來Intel 三星搶到訂單
[23:53] 甚至開始產出了
[23:55] 要關鍵點不是說
[23:57] 這個就代表整個台積電的王國結束
[24:01] 你要的關注點是台積電
[24:03] 它的產能利用率在哪裡
[24:06] 現在它的先進製程
[24:08] 幾乎都是九成以上接近滿載
[24:10] 那代表它就是能產多少
[24:12] 產多少 賣多少
[24:14] 大家都還在排隊
[24:15] 所以你根本不用
[24:16] 他的營收不會因為
[24:18] 三星或Intel接到產能
[24:21] 或產出之後往下掉
[24:23] 那就代表著
[24:24] 跟他根本沒關係
[24:26] 反正結論就是因為
[24:27] 大家買不到之後
[24:28] 去買其他的回來拼拼看
[24:30] 那願意冒風險的去冒
[24:32] 還有一些人就堅持
[24:34] 他就是不願意冒風險
[24:36] 因為這個一次出事之後
[24:38] 這整個那個所謂的生育會掉很多
[24:41] 所以每個人的策略不同
[24:43] 但結論來講
[24:44] 我刚刚提到
[24:45] 无论是刚刚提到的分红的架构
[24:48] 或者是这个Intel三星的部分
[24:51] 其实跟台积电都没有太大关系
[24:53] 那常常讲
[24:54] 那为什么它这么弱
[24:55] 其实很弱
[24:56] 其实老实讲非常简单的道理
[24:59] 就是挥达
[25:00] 因为挥达从财报过后股价就是弱的
[25:04] 挥达的股价会直接影响到台积电的ADR
[25:08] 那台积电ADR就会影响到台积电
[25:11] 所以你长期把两档股票的趋势画出来
[25:16] 其实是非常接近的
[25:17] 所以回答在财报之后就是不好
[25:20] 所以台积电自然就有压力
[25:23] 我觉得是很正常的事情
[25:25] 只是说台股很厉害的就是
[25:27] 在台积电休息期
[25:28] 他还是照样转强啊
[25:30] 根本就不影响
[25:32] 你看你觉得不算AI的被动云间
[25:33] 没有啦
[25:34] 开玩笑的
[25:35] 有啦
[25:35] 他们现在纷纷都一直诉求
[25:37] 他们在这个Varubing里面
[25:39] 裡面的MLCC是要大漲價的
[25:41] 都有訴求這些事情
[25:42] 是
[25:42] 這樣我的看法就是說
[25:44] 其實這個趨勢還在
[25:46] 所以大家不用緊張
[25:47] 那我之前也提到
[25:48] 過往的紀錄
[25:49] 它在財報後就是整理一兩週
[25:52] 那回過頭來要再重申
[25:56] 因為一樣
[25:56] 現在休息的時候你不買
[25:58] 等到創高的時候才要來問說
[26:00] 可不可以追
