[00:00] 欢迎收听赵华谊古货载第1062集
[05:28] 跟独裁政权是不太一样的
[05:30] 独裁政权的话
[05:32] 比如说枪杆子出政权
[05:34] 所以他可能是一个强人
[05:36] 然后扫荡了其他的势力之后
[05:38] 他站了上去
[05:39] 所以你把这个强人干掉的话
[05:41] 基本上这个国家就垮了
[05:43] 就像委内瑞那样子的一个状况
[05:45] 那可是呢
[05:46] 伊朗不太一样啊
[05:47] 他是一个比较偏向神权的一个组织
[05:51] 是是神权组织
[05:52] 那神权是怎样的一个概念呢
[05:54] 神权就是说
[05:55] 当我这个leader被干掉的时候
[05:57] 他下一个leader就准备好了
[05:59] 所以呢
[06:00] 你再干掉他第二个leader
[06:01] 他第三个leader又准备好了
[06:03] 他随时都有新的leader
[06:05] 能够呢
[06:06] 去领导他现在的组织
[06:08] 来跟你来做对抗的一个动作
[06:11] 所以呢
[06:11] 我们这次在看美国打伊朗的时候
[06:14] 就出现了几个非常大的问题
[06:15] 首先第一个
[06:17] 首领怎么打都打不完
[06:18] 因为随时都有新的上来
[06:20] 这第一个问题
[06:21] 那第二个问题的话呢
[06:23] 这是一个攻击成本不对等的战争
[06:26] 什么样的一个概念呢
[06:28] 各位你可以帮我注意一下
[06:29] 美国人打仗啊
[06:31] 基本上都是用空军啊
[06:33] 用轰炸用什么方式去打对方吗
[06:36] 可是你有没有发现啊
[06:37] 伊朗是怎么去回击美国的
[06:40] 他是用无人机在回击美国啊
[06:42] 那你要知道啊
[06:43] 一台F35的战斗机
[06:46] 一台的引擎轰炸机
[06:49] 飞到人家的上空要加油
[06:51] 要轰炸
[06:52] 如果不小心被干掉的话
[06:54] 你一台飞机的成本是多少钱
[06:56] 要不要几百万美金
[06:58] 上亿美金
[06:59] 可是一台无人机
[07:00] 它的造价才多少
[07:02] 它的造价就两三万美金而已
[07:04] 所以你在整体的攻击跟防御的成本上
[07:07] 是完全没有办法去匹配的
[07:10] 然后第三个
[07:11] 伊朗是个疯子
[07:13] 你一定要帮我记住这件事
[07:14] 伊朗是个疯子
[07:15] 你看其他呢
[07:17] 他在攻击其他国家的时候
[07:19] 他不一定会想要去跟他周边的国家一起
[07:23] 来做一些其他的fighting的一个动作
[07:26] 可是你有没有发现伊朗不太一样
[07:28] 伊朗的话他就感觉上就是
[07:30] 我就是一个穷光蛋
[07:33] 我就是一个光杆子
[07:34] 反正我输了我什么都不怕
[07:36] 你知道吗
[07:37] 战斗的时候最怕遇到什么
[07:38] 战斗的时候不怕你遇到理性的人
[07:41] 就怕你遇到疯子
[07:43] 而伊朗我们在看
[07:44] 这个战争的过程里
[07:46] 我感觉到
[07:46] 他就是遇到了一个疯子
[07:47] 所以你看他今天
[07:49] 美国对他讲什么
[07:51] 他马上就跟他做一个回击
[07:53] 说你今天要对我怎样
[07:54] 我就打算对你怎样
[07:56] 那你如果其他的国家
[07:58] 想要帮美国
[07:59] 那很简单
[08:00] 我也一起来打你
[08:01] 刚刚有提到
[08:02] 他连买美债的国家
[08:04] 他都想打
[08:05] 对没有错
[08:05] 地图炮
[08:06] 不管他有没有这样的能力
[08:08] 可是他就这么讲了
[08:10] 对
[08:10] 但是他如果有讲出来的话
[08:12] 其实其他的国家
[08:13] 就会去忌惮这样子的一个现象
[08:15] 因为毕竟你去打别人的时候
[08:18] 这个叫做海外战争
[08:20] 你自己的人无所谓
[08:21] 可是你如果真的
[08:23] 他不小心打到你本土的时候
[08:25] 你本土的反抗是很强的
[08:28] 尤其我们讲个比较实物一点的问题
[08:30] 美国本土多少年没有遇过战争了
[08:33] 他经得起一次两次的攻击吗
[08:35] 他是经不起的
[08:37] 而且以前我们在看
[08:38] 美国在打仗的时候
[08:40] 他会有一个很大的毛病是什么
[08:42] 就是呢
[08:43] 一旦战争的时间拖长了
[08:46] 他们国内反战的声浪
[08:48] 会非常非常非常的高
[08:50] 所以你看哦
[08:51] 他们美国不是每一次打仗都会赢哦
[08:54] 他打越南那一次没有赢哦
[08:56] 然后呢
[08:57] 那你看之前伊朗跟其他国家对抗的时候
[09:00] 比较著名的两伊战争
[09:02] 各位你知道两伊战争打了多久吗
[09:05] 打了足足八年的一个时间
[09:07] 所以你只要去动到伊朗
[09:09] 那个整个战争时间会拖很长
[09:11] 所以其实比较好的一个状况
[09:15] 是两方可以找到一个台阶
[09:19] 然后可以有一个下场的方式
[09:23] 不要让战争拖太久
[09:25] 不然我们按照以前伊朗跟其他国家
[09:28] 对抗的一个经验上面来看
[09:29] 他真的可以跟你玩很久
[09:31] 所以这个是我们比较担心的一个问题
[09:33] 所以一旦战争长期化
[09:36] 那刚刚赵华这边提到的一些现象
[09:39] 全部都会来了
[09:39] 比如说第一个你说石油的价格
[09:42] 已经从70块80块
[09:44] 现在飙到120块
[09:46] 然后像我们的行政院长
[09:48] 不是发了一份很有趣的内容吗
[09:52] 说我们经过中油的时候
[09:54] 要感谢一下中油
[09:55] 有吃掉部分的成本
[09:57] 对他帮我们吃掉了很多的一个成本
[09:59] 让了我们的民生物价的波动
[10:01] 不要这么的大
[10:02] 那其实反映的就是说
[10:04] 你现在战争它的外扩的影响
[10:07] 已经影响到很多民生相关了
[10:10] 而且更重要的是
[10:11] 各位你有没有注意到
[10:12] 最近的塑胶的价格
[10:14] 全部都翻转上去了
[10:16] 是所以二线塑化率现在涨
[10:18] 而且台数有发涨价寒了
[10:20] 对涨价寒
[10:21] 而且现在很多地方塑胶袋买不到
[10:23] 你要注意塑胶袋买不到
[10:25] 对了以前人家抢卫生纸
[10:27] 感觉说这个好像还蛮重要的
[10:30] 可是另外一个你想不到的是
[10:32] 因为战争的关系
[10:33] 你現在可能連塑膠袋都得要去搶
[10:36] 所以這個是你後面再衍生一個問題
[10:38] 那當然更重要的是
[10:40] 你的那個美債的這個價格
[10:43] 它會因為通膨發生的一個關係
[10:47] 它可能就會升息的
[10:48] 那你如果整個升息的話
[10:52] 請你要幫我注意一件事情
[10:53] 一旦它升息
[10:55] 現在的這些科技類股的高本益比
[10:57] 全部通通都會下修
[11:01] 所以這是我們在看
[11:02] 这个战争问题如果长期化导致通膨的这个影子重新回来的话
[11:08] 那其实你要注意我们现在看到的这些股票市场的荣景
[11:12] 可能都会受到非常大的一个伤害
[11:14] 好虽然呢我们在过去几周后有跟大家分享说
[11:18] 因为现在是景气上行的阶段
[11:20] 那可是可是也有特别提醒油价不能一直在高档
[11:24] 他就是一个景气的杀手
[11:26] 如果景气从上行变成了修正
[11:30] 那事情就会很大条
[11:31] 我厘清一下刚刚古宇讲的整体脉络
[11:35] 原则上大家还是希望地缘政治
[11:38] 它能够在一个比较合理的时间内结束
[11:41] 但是这次伊朗呢
[11:43] 它有一些事情是让大家比较忌惮的
[11:45] 第一当然它直接影响到油价
[11:47] 即使大家去释放什么战备出游啊什么的
[11:49] 都无法去中断
[11:52] 例如说荷姆斯海峡不能运油啦
[11:54] 像这样子的伤害
[11:55] 一时之间都没有办法去阻断
[11:57] 然后第二当然还是大家很害怕的核武的问题
[12:01] 对
[12:02] 就是现在一直在讲说
[12:04] 如果你这样
[12:04] 我可能要跟你同过余境
[12:05] 或是如果你炸到
[12:06] 我的什么核设施的话
[12:08] 可能就会引发
[12:09] 所谓的脏蛋
[12:11] 或者说有一些
[12:11] 核污染的问题
[12:13] 第三个就是
[12:14] 现在有AI
[12:14] 他要去炸
[12:16] 美国的AI资料中心
[12:17] 我觉得这件事情
[12:17] 蛮可怕
[12:18] 然后还有第四
[12:19] 就是因为川普上任之后
[12:21] 他一直对美债这件事情
[12:22] 努力的去维持说
[12:24] 美债不要爆掉
[12:25] 美债殖利率不要飙升
[12:27] 他有很多很多的方法
[12:28] 甚至要把林总会主席
[12:29] 换成自己人
[12:30] 对不对
[12:31] 因为保尔要退休了
[12:32] 当时其实你看到的CPI
[12:35] 有降下来
[12:36] 就是通膨真的有降温
[12:38] 但现在害怕的是什么
[12:40] 如果你今天回到
[12:42] 像那时候俄乌战的时候
[12:43] 通膨在升温
[12:44] 那从低利率开始就升息
[12:46] 从低利率升息
[12:48] 当然暴力升息
[12:49] 会带给大家很多的伤害
[12:50] 可是现在美国
[12:51] 有没有再暴力升息的条件
[12:53] 其实没有
[12:54] 你要从5%升到10%吗
[12:56] 那你的债会暴到哪里去
[12:58] 所以它就变成卡在那
[13:00] 因为我的基本利率就已经很高了
[13:03] 事实上之前的降息也不会降几码而已
[13:06] 根本就还没有真正进入到大幅降息循环
[13:09] 所以现在美国可以用的资源
[13:11] 他能不能再用升息来抵抗通膨什么的
[13:14] 他比较没有办法
[13:16] 所以现在美国有一点这样的困境
[13:19] 然后川普这几天又特别的安静
[13:21] 比较没有办法自信笃定的来告诉你
[13:24] 他可以把这个战争很快的弥平掉
[13:27] 再加上一个结构性的问题
[13:29] 就是我们常常讲
[13:29] 其实台韩在这一波
[13:31] 领先美股真的太多
[13:32] 那韩国今天当然是
[13:33] 跌他们主要的重灾区
[13:35] 一定是记忆体嘛
[13:36] 对
[13:36] 那台湾呢
[13:37] 台湾因为有神山
[13:38] 虽然神山
[13:39] 有好朋友跟我讲说
[13:42] 不要以为神山
[13:43] 在这一次的战争中
[13:44] 是安然无恙的
[13:45] 当然没有跟我讲原因
[13:47] 但不外乎是
[13:48] 虽然神山有几个月的
[13:49] 这个害器的准备量啦
[13:52] 可是这个害器
[13:53] 如果一直都有断供的问题
[13:55] 这可能是其一
[13:55] 其二是如果他的客户
[13:57] 有住药中心
[13:58] 可能要被炸的一些疑虑
[13:59] 之類的
[14:00] 好
[14:00] 會不會間接影響
[14:01] 現在真的不知道
[14:02] 現在如果以
[14:04] 大家截出來過去的成績
[14:05] 什麼上市櫃公司的營收
[14:06] 大家的展望
[14:07] 都沒有任何的改變
[14:08] 可是如果再演變下去
[14:10] 我們必須做好一個打算
[14:11] 光是台韓跟美股之間要拉近這個乖離的距離他就應該還有一段的修正期所以这些最坏的打算我们要先放在心上可是把最坏的打算放在心上
[14:24] 另外一方面预测不一定会准
[14:27] 预测有可能瞬间就化解了
[14:28] 忽然就不打了或什么的
[14:30] 所以我们的对策要先列进来
[14:33] 那今天古鱼来
[14:34] 因为他明明就是一个科技业的工程师
[14:37] 高管出身的
[14:38] 所以今天在产业上
[14:40] 还是稍微跟你问一下你的想法
[14:41] 我们先撇开你最擅长的半导体
[14:44] 因为下个月台积电又要办法说了
[14:47] 感觉上盘面上设备股是非常的强
[14:49] 对不对
[14:50] 因为我讲一句不好听的
[14:51] 你就算金银厂怎么了
[14:53] 你后来还要再盖吗
[14:54] 对没有错
[14:55] 好
[14:56] 那我们讲一下其他你比较少讲的产业
[14:59] 例如说这一次的今天的重灾区
[15:01] 也有在记忆体
[15:02] 上礼拜五也是
[15:03] 因为大摩出一个报告
[15:05] 而似乎也在今天
[15:06] 我们看到盘中记忆体的报价
[15:07] 也有验证
[15:08] 他觉得DDR4长到顶了
[15:11] 差不多了
[15:12] 那台湾又是以DDR4为主的一个记忆体领域
[15:15] 当然如果我们有Fresh相关的
[15:17] 感觉上就比较强
[15:18] 像旺虹的NoFresh
[15:19] 那大家到底在投资这一块的时候
[15:22] 问存我交付记忆体虽然有点奇怪
[15:23] 大家在投资这一块的时候
[15:25] 你会觉得它是一个乱世中可以减便宜吗
[15:28] 因为他们也缴出了非常厉害的月营收成长
[15:32] 这个嘛
[15:34] 我们还是要回归到记忆体产业的本质
[15:37] 记忆体产业的本质的话
[15:39] 它就是一个景气循环股
[15:41] 那景气循环股的话
[15:43] 它的特征是什么
[15:44] 赔的时候大赔
[15:46] 赚的时候大赚
[15:47] 所以像景气循环股
[15:49] 很多时候我们如果在做投资
[15:52] 你要么是看本益比在投资
[15:55] 你要么就是看报价在投资
[15:57] 所以你如果今天你在投资的过程当中
[16:00] 那你是看着它的报价在涨
[16:03] 所以你看好它
[16:05] 然后往这个方向去前进的时候
[16:08] 那你一定要帮我注意一件事情
[16:10] 如果当它的报价开始在回跌的时候
[16:13] 那你就要考虑它这一波的融紧
[16:16] 那可能很快的就会产生修正的一个现象
[16:20] 因为这种就是景气循环股靠报价为生的这些产业
[16:24] 它必然的一个现象
[16:25] 比如说你说记忆体
[16:27] 比如说你说像面板
[16:29] 比如说你说航运不都是一样吗
[16:31] 只要你报价开始回跌
[16:33] 那你的价格很快就会掉下来的
[16:35] 所以像刚刚赵华这边
[16:37] 他其实刚刚在开始录之前
[16:39] 大概跟我谈了一下
[16:41] 他目前看到的产业的一个资料
[16:43] 其实已经有很多的研究机构
[16:45] 已经开始在出具说
[16:46] 他们已经看到了
[16:48] 那DDR4跟DDR5
[16:50] 他目前的一个报价
[16:51] 竟然开始出现了下滑的一个现象
[16:54] 所以这代表
[16:56] 虽然大家都在讲说
[16:58] 机体的供应供不应求
[17:01] 可是他背后的话
[17:02] 似乎已经开始
[17:04] 有一些反弹的现象出来了
[17:07] 因为大家都想到一个很重要的一个问题
[17:09] 你如果最近去买手机
[17:11] 他们都跟你讲什么
[17:13] 我的手机要涨价了
[17:14] 你去买笔电
[17:15] 他跟你讲什么
[17:16] 我的笔电要涨价了
[17:18] 今天你去买显卡
[17:19] 我的显卡要涨价了
[17:21] 他的理由都是一样的
[17:22] 因为我的记忆体的成本暴增了
[17:25] 而现在市场上最可笑的事情是什么
[17:28] 你知道吗
[17:29] 你知道像辉达他最新的显卡编号叫5090吧
[17:34] 50系列嘛
[17:35] 对不对
[17:35] 然后他们现在要推一款
[17:37] cost down的版本
[17:39] 他现在要推什么东西你知道吗
[17:41] 他要推好几年前的30系列的显卡
[17:44] 重新回归到市场里面去
[17:47] 因为你要推30系列的显卡
[17:50] 他才能够把这个价格
[17:52] 全面性的压下来
[17:54] 然后让这一些电脑的玩家
[17:56] 他可以买得起显卡
[17:58] 我就问你一件事情
[17:59] 当你价格涨到一个程度
[18:02] 涨到大家都受不了的时候
[18:04] 你的需求到底会不会降下来
[18:06] 一定会降下来
[18:07] 这个是我们看到的第一个问题
[18:09] 然后第二个问题的话呢
[18:11] 各位
[18:12] 你一定要帮我记住一件事情
[18:13] 今天成也回答
[18:15] 败也一定是会在回答的身上
[18:17] 那我们过去台湾有很多的产业
[18:20] 比如说
[18:21] 你说新的散热技术
[18:23] 新的晶片的需求
[18:25] 新的载板的技术
[18:27] 新的散热技术
[18:28] 都是因为挥达的伺服器
[18:30] 他去做了很强的一个技术的迭代
[18:33] 然后呢
[18:34] 让他们的整体的一些毛利啊
[18:36] 营收啊
[18:37] 快速的一个成长
[18:38] 可是呢
[18:39] 你说回答他
[18:40] 有没有注意到
[18:41] 记忆体的价格暴涨的一个问题
[18:43] 可是我好像就还说
[18:44] 你们就开产能吧
[18:45] 我都包
[18:46] 对
[18:47] 但是呢
[18:48] 你要帮我记住一件事情
[18:49] 这种是两面手法
[18:51] 他一面在跟你讲说呢
[18:54] 你只要敢开出记忆体的产能
[18:56] 我一定全部都给你买下来
[18:58] 可是他没跟你说
[18:59] 他要买的是什么
[19:00] 他只说呢
[19:01] 你开记忆体嘛
[19:02] 对不对
[19:02] 这是第一个
[19:03] 但是他高阶的要用HBM之类的
[19:06] 那低阶的DDR4
[19:08] DDR他不一定要
[19:09] 然后第二个的话是说
[19:11] 你在这个记忆体大量需求的情况之下
[19:15] 他今天
[19:15] 他最近的话
[19:17] 他去开发了一个新的技术
[19:20] 这个技术的话
[19:21] 叫做KV快取
[19:23] 这个KV快取是啥意思呢
[19:25] 各位你可以不用去了解
[19:27] 他技术的原理是什么
[19:28] 你只要记住他的效果就好了
[19:30] 他宣称这套技术
[19:32] 一旦引入到新的伺服器里面当中
[19:36] 我的伺服器对记忆体的需求
[19:38] 只要原本的二十分之一
[19:40] 二十分之一是什么概念
[19:43] 你原本要出两百条的记忆体
[19:46] 他现在只要一条就可以搞定了
[19:47] 请问你的需求是不是大幅度的下降
[19:50] 所以各位
[19:51] 今天你在做记忆体市场投资的时候
[19:54] 一定要帮我永远的记住
[19:56] 它是景气循环股
[19:58] 它最前沿的探测器就是报价
[20:02] 一旦你发现报价开始出现修正的时候
[20:05] 一定是市场出现了一些替代性的技术
[20:09] 或者是说已经跪到
[20:10] 大家对他的需求产生萎缩的一个现象
[20:13] 才会导致他的报价再往下跌
[20:15] 所以当你看到基底很热很热的时候
[20:18] 那请你稍微静一下
[20:21] 好好的看一下报价去思考一下
[20:23] 他现在的话
[20:24] 如果报价没有办法继续往上攻
[20:27] 那你现在看到的基底的荣景
[20:29] 还能够持续多久
[20:31] 这是我们在投资市场的时候
[20:33] 你要注意的一个地方
[20:34] 那当然因为这一波的AI热潮
[20:37] 大家会去往前比拟很多的时代背景
[20:40] 例如说最早会去比什么网络泡沫
[20:42] 但是我觉得
[20:43] 不要把整个AI都
[20:45] 怎么讲
[20:46] 归类成同一个走向
[20:47] 我觉得机体是其中比较特别的
[20:50] 机体会格外的让我回想起
[20:52] 2020年的疫情时代
[20:54] 当时我觉得先进制程没有问题
[20:56] 就是台积电它发展先进制程
[20:58] 从三奈米变两奈米
[21:00] 我觉得那个是一个对的路
[21:01] 而且全世界没有什么竞争对手
[21:03] 不过那时候长最凶的是
[21:04] 成熟制程
[21:05] 还包括MCU Driver IC
[21:07] 都因为他们可能可以拿得到晶圆
[21:10] 就变成大家在囤库存中
[21:12] 这个算是什么讲呢
[21:14] 全部人都抢着
[21:15] 给他们拿货的一个状况
[21:17] 对
[21:17] 这个我想古于一定是有期期延
[21:19] 就以前在业内的时候
[21:20] 什么驱动IC
[21:21] 对
[21:22] 电源IC
[21:23] 然后微控制器
[21:26] 都不是很企业
[21:27] 然后联电的成熟制程
[21:28] 世界先进的成熟制程
[21:30] 也没有曾经满过账号
[21:31] 那可是大家就是要抢货
[21:33] 要囤货
[21:33] 它就会形成一个循环
[21:35] 你越怕抢不到
[21:36] 你就越高价抢
[21:37] 你越高价抢不到
[21:39] 你就包产能抢
[21:40] 逼着这些厂商也会想
[21:42] 有那么大需求吗
[21:43] 可是你要包
[21:43] 那就给你
[21:44] 我都还记得到最后末端的时候
[21:47] 晶圆厂那边就有跟我说
[21:49] 后来有某个IC设计厂商
[21:51] 用高于市价20%的钱
[21:53] 跟他要
[21:54] 他那时候其实已经感觉市场要反转
[21:56] 他说太好了
[21:57] 就把这一包给他这样子
[22:00] 然后没多久就传出
[22:02] 有IC设计厂商
[22:03] 决定违约也不要拿货
[22:05] 对
[22:05] 好 为什么讲到这个事情
[22:07] 因为大家知道成熟制程
[22:08] 它的进入门槛
[22:09] 自然是比较低一些
[22:11] 甚至有一段时间
[22:12] 它就略略有供过于求
[22:13] 或者驾动率不会满的情况
[22:14] 那现在记忆体
[22:15] 我们不敢说像HBN
[22:17] 它可能就会是
[22:18] 或者辉达未来
[22:18] 还要在记忆体上面
[22:19] 有一些升级跟规格
[22:21] 它就会像是先进制程
[22:23] 它的地位不一定会改变
[22:25] 可是如果你是做
[22:26] 承受制成的人
[22:27] 也就是DDR4
[22:29] DDR3这一块的人
[22:30] 可能就要小心一点
[22:32] 因为他囤到后来
[22:33] 他就终将会
[22:35] 因为这个产业
[22:36] 要再平衡一次
[22:37] 他就可能会成为
[22:38] 报价下的牺牲者了
[22:40] 没有错
[22:40] 那因为大摩提出这个警讯
[22:42] 我个人觉得是有点道理的
[22:44] 但并不代表
[22:45] 他要讲一件事
[22:46] 但2026年
[22:47] 不管是哪个华盲店的
[22:48] 获利都还是非常棒
[22:50] 尤其是像有一些摩租厂
[22:52] 什么威刚实权
[22:52] 囤了很多库存的
[22:53] 也会有非常棒的成绩
[22:55] 可是如果他们已经预估到
[22:57] 今年很棒
[22:58] 明年不一定的时候
[22:59] 那就会是一个压力
[23:00] 好
[23:01] 那这边还是要讲到是
[23:02] 记忆体往往是叠几根又会涨
[23:04] 所以大家如果去抓到这个区间的
[23:06] 自己很能抓节奏
[23:08] 我们觉得没有问题
[23:09] 因为他们获利真的很好
[23:10] 可是如果不懂抓节奏
[23:11] 他可能会像当年的海运股
[23:13] 你觉得好像要反弹
[23:14] 你进去追
[23:15] 他又下来
[23:16] 他后面会越来越难做
[23:18] 因为整个一次向上
[23:20] 那个空间会越来越少
[23:21] 这记忆体
[23:22] 我们再请古宇讲一个
[23:23] 然后我们就来讲对策
[23:24] 你要讲PCB
[23:26] 还是你要讲半导体设备
[23:29] 不对
[23:29] 你要讲矽光子
[23:31] 我要讲矽光子
[23:32] 我突然想到古余
[23:33] 今天突然跟我讲说
[23:35] 他要看矽光子的时候
[23:36] 我就觉得这完全失去
[23:37] 你价值股达人的狩猎范围
[23:40] 为什么你要讲矽光子
[23:42] 矽光子今天也算是有回档
[23:44] 可是整体来说
[23:45] 大部分的矽光子
[23:47] 在这一波里面的位阶
[23:49] 还是非常高
[23:50] 虽然今天上全跌停板
[23:52] 就是有一些指标性的叠听板
[23:54] 那其实呢
[23:56] 我们看细光纸啊
[23:57] 它是一个技术性的迭代啦
[24:00] 那因为我们在看
[24:02] 你在技术发展的过程当中啊
[24:05] 如果说这个技术呢
[24:07] 已经确定是要用在
[24:08] 现行的产品上面的时候
[24:10] 那通常呢
[24:12] 这一类的一个产业
[24:13] 它的一个梦想比
[24:15] 就会非常非常的高
[24:17] 所以我们现在在看
[24:18] 很多细光纸的族群啊
[24:20] 其实大家都会看到说
[24:21] 他好像公司也没赚什么钱
[24:24] 然后获利的展望好像也还好
[24:27] 那为什么他的股价会跑得非常非常的一个快
[24:31] 你如果是用基本面的方式去看他的时候
[24:35] 你会发现你根本会买不下手
[24:37] 而且你没有办法去做任何正确的一个估价
[24:40] 但是其实我们在看这个东西
[24:44] 我们会讲说他有没有办法起来
[24:48] 要取决于老板他有没有下重本
[24:52] 去投注这一块的勇气
[24:55] 因为我常常在讲说
[24:56] 你今天投资人
[24:57] 你手拿一百万两百万的时候
[25:00] 我就问你
[25:00] 你看好一档个股
[25:01] 你敢不敢直接把两百万全部说哈
[25:04] 你一定不敢的
