[00:00] 欢迎收听赵华宇古惑仔第1084集
[07:55] 而且我说的重点是说
[07:57] 在昨天大家都已经下到皮皮床的情况之下
[08:02] 在今天竟然能够直接往上去拉高
[08:05] 而且今天最高点是38989
[08:09] 然后昨天的高点最高
[08:12] 昨天最高点是38921
[08:14] 对921
[08:15] 所以差不到100点
[08:17] 就这样轻轻地把它越过去
[08:18] 那如果说就技术现行来看
[08:22] 对因为我觉得这个
[08:23] 其实在我昨天的分析当中
[08:25] 这种几率真的是很小
[08:26] 是三种里面
[08:28] 我觉得最小的一种
[08:29] 我今天说实话也傻眼
[08:31] 因为一开盘也是大涨了
[08:32] 这个六七百点上去的
[08:34] 所以我就开盘怎么那么猛
[08:36] 就没有想到
[08:37] 我就想会不会重演
[08:38] 跟昨天一样就收敛
[08:39] 其实盘中有稍微收敛
[08:40] 但后来就因为台电一直往上拉
[08:42] 就整个上去了
[08:43] 为什么刚刚稍微挨了一下
[08:46] 就是昨天这个在日K线
[08:49] 以加权指数来看
[08:51] 它昨天是一个带量的小黑K
[08:53] 然后流上下影线
[08:55] 而且上下影线是属于
[08:57] 长的那种上下影线
[08:58] 那么这种K线我们称之为防垂线
[09:01] 防垂线
[09:02] 那防垂线的用法就是
[09:04] 它的上影线高点跟下影线的低点
[09:07] 会分别成为他的转强跟转弱的一个观察点
[09:10] 结果呢
[09:11] 在今天就轻轻的就把它cover掉了
[09:14] 所以我刚才说
[09:15] 哇
[09:16] 这个是我昨天在分析的这个
[09:18] 三个情境当中
[09:20] 是我认为
[09:21] 我本来认为这个几率是最小的一种
[09:23] 就今天竟然就出现了
[09:25] 就出现了
[09:25] 对
[09:26] OK
[09:26] 那如果说是这种情况的
[09:29] 这个发生情况下
[09:30] 我有跟昨天我的学生讲说
[09:32] 如果说是这样代表什么
[09:34] 代表这个多头他还不死心
[09:36] 他还要继续往上走
[09:37] 没办法
[09:39] 我们就只好贴着盘在做
[09:40] 但是我必须要讲
[09:42] 那这个多头
[09:43] 他的背后是谁
[09:44] 我看一下今天盘中
[09:47] 在新台币的一个走势
[09:49] 在这个下午
[09:51] 大概三点左右的时候
[09:53] 我看到新台币的一个走势
[09:55] 是升值的一角
[09:56] 升值一角
[09:58] 那新台币的升值
[10:01] 基本上就会带动
[10:02] 外资这边的回补
[10:03] 所以如果说外资这边
[10:05] 要去回补在过去一两个月的
[10:08] 大麦的一个额度的情况之下
[10:10] 他这边回补这些大型权值股
[10:12] 似乎也是非常合逻辑的事情
[10:14] 所以我觉得在此处的部分
[10:17] 真的有可能就像大家现在心中所期盼的
[10:20] 早日看到四万点
[10:22] 都是有可能
[10:23] 只要在新台币
[10:25] 他还在持续走深的一个趋势
[10:27] 跟轨道之下
[10:28] 但是我必须要讲
[10:30] 从刚刚开始
[10:31] 我说这两天的盘式
[10:33] 我个人觉得
[10:34] 讲直白就有点拉大型
[10:37] 粗小型的味道
[10:38] 有一些部分的一些全资股
[10:42] 有些部分的小型股
[10:45] 它其实在早盘有拉
[10:46] 没有错
[10:47] 但是在中盘就迈压出来
[10:48] 然后甚至有一些像
[10:50] 我们刚刚提到ABF宅版
[10:52] 在宅版里面
[10:54] 像是8046
[10:56] 8046的南电
[10:59] 它早上是很快的攻到涨停板
[11:02] 但是在10点多的时候
[11:03] 就被掌停板就被打开
[11:05] 然后其他的包括像是
[11:09] 3189的锦朔
[11:11] 也是掌停板开开关关锁不起来
[11:15] 所以像这些都是我们在过去
[11:18] 我们在观察盘面
[11:20] 或者是个股上面的一些
[11:22] 会被我们打信号的一种记号
[11:25] 就是说它这个其实并不是
[11:27] 大家想象中的筹码的这么的稳定
[11:30] 那通常这样子的情况
[11:32] 隔天
[11:33] 当然下个礼拜一
[11:34] 下个礼拜一可能早上开盘
[11:36] 假设又开高的话
[11:37] 那可能短线上面的这种
[11:39] 格子冲的一个迈押
[11:40] 就会冲出来
[11:41] 然后当然刚刚所提到的一些
[11:45] 我刚刚有提到PCB
[11:47] PCB我觉得这一波最弱势的
[11:49] 指标股市2313的滑痛
[11:51] 好 低轨微信相关的
[11:53] 当然大家也现在知道原因了
[11:55] 因为这个SpaceX
[11:56] 在这个IPO的文件里面
[11:58] 有特别提到
[11:59] 这个商业模型
[12:00] 可能会有无法实现的
[12:03] 这个几率
[12:04] 因为我想我一太也
[12:06] 对这个IPO
[12:07] 也是很了解
[12:08] 我们大家在
[12:09] 不管是买基金买ETF
[12:10] 或是你要IPO
[12:11] 你要写报告
[12:12] 你要写一些公开说明书
[12:13] 那里面当然
[12:14] 你要对你的行业
[12:15] 或是不是这档基金的
[12:17] 绩效的风险
[12:18] 要有一些说明
[12:19] 但是我确实
[12:20] 也比较少听到
[12:21] 会有人讲说
[12:22] 这个商业模型
[12:23] 可能最后会不可成真或者是说他有提到AI上太空是一个非常非常严峻的事情等等的那当然写这个报告人应该是有点怎么讲
[12:34] 我觉得是比较遵循行业规则的
[12:36] 我觉得不太可能是马斯克本人
[12:38] 因为他一定会觉得
[12:41] 我一定做得到
[12:42] 我不管我做得到做不到
[12:44] 都会说我做得到
[12:45] 使命必达
[12:46] 感觉是如此
[12:47] 但我认为如何
[12:48] 我觉得他当然也很诚实
[12:50] 因为我们也讨论过非常多的
[12:51] AI上太空会遇到的困难
[12:53] 在马斯克嘴巴里面
[12:54] 虽然好像很轻松
[12:56] 而且你也相信
[12:57] 他会投资很多的资源
[12:58] 去做这个事情
[13:00] 但是不是能成真
[13:01] 我们没有一个人有把握
[13:02] 只是说这个文件
[13:04] 可能被有心人拿来披露
[13:06] 就是相关的
[13:07] 不管美国跟台湾的
[13:09] 卫星概念股
[13:10] 其实都涨非常多
[13:10] 美国也涨非常非常多
[13:12] 所以就因此受到了压抑
[13:14] 对那华通
[13:16] 因为他明明就是PCB
[13:17] 那之前在PCB里面
[13:19] 涨得比较慢
[13:19] 因为他跟AI的
[13:20] 大家觉得那种联系性
[13:22] 比较低吗
[13:22] 是因为低轨卫星这个题材
[13:25] 也导致这个光环一拿掉
[13:27] 即使它的本质
[13:29] 其实没有什么改变
[13:30] 它就大跌了
[13:32] 其实好多人在哀嚎华通
[13:33] 对
[13:34] 这几天我们看到了华通
[13:36] 就是在法轮的一个筹码
[13:38] 出现了180度的转变
[13:41] 态度疲惫
[13:42] 对
[13:42] 外资啊
[13:43] 投信啊
[13:44] 已经连续
[13:45] 就我目前这样看
[13:47] 从4月16号开始
[13:49] 大概都已经有连续6个交易日
[13:52] 都是站在这个卖方了
[13:54] 那在这种情况之下
[13:56] 当然其实之前
[13:59] 就是因为这个摩地轨卫星
[14:01] 相关的一些题材
[14:02] 然后去追高了这些的投资朋友
[14:05] 可能现在应该是非常的一个痛苦
[14:08] 那当然还有一些其他的
[14:11] 像我们看到
[14:12] 这几天有看到法轮在调节
[14:14] 还有6285的起机
[14:16] 这个也是有看到在投信的部分
[14:19] 已经连续五天都站在卖方
[14:22] 都是投信在砍
[14:23] 都是投信在砍
[14:24] 所以我还是要跟各位投资朋友提醒
[14:28] 就是说投信其实他买的时候
[14:30] 他真的很敢买
[14:31] 但是他砍的时候也很敢砍
[14:33] 所以如果说我们投资朋友手中的一个持股
[14:37] 刚好跟投信的一个买超的一个个股
[14:41] 是重叠的话
[14:42] 我会建议就是
[14:43] 如果说当这个投信
[14:46] 它出现的由这个买超到卖超的时候
[14:50] 我觉得我们也可能必须要
[14:53] 适时的去进行一个减码
[14:54] 因为以过去我们对投信的一个了解
[14:59] 它持股的比重可以从3%拉到10%
[15:03] 但也可能只有从10%降回3%
[15:05] 甚至降到0%都有可能
[15:07] 因为它的钱必须要做最有效率的使用
[15:11] 所以它会把钱抽出来去投入到其他
[15:15] 他认为相对比较有成长空间的一些个股
[15:21] 所以如果说各位投资朋友
[15:24] 你现在手中持股
[15:25] 你赶快回去检视一下
[15:27] 是不是最近看到投信在进行卖超
[15:32] 如果是的话
[15:33] 我会建议尽快的去做一些的调整
[15:38] 避免说他在整个行情在相对高档的时候
[15:42] 面临到比较大的一个损失
[15:44] 好
[15:46] 所以这边的话
[15:47] 就是
[15:47] 投信就是这样子
[15:49] 我们这一阵子一直在讲
[15:51] 就是所谓主动式基金的操盘
[15:53] 主动式ETF的操盘
[15:55] 它已经成为台股的一个很有趣的新势力
[15:58] 我们也是
[15:59] 说实话
[16:00] 第一次
[16:00] 因为它去年五月才开始陆续发行
[16:02] 我们也是第一次在这个商品上面开始学习
[16:05] 会不会有新的资金的操作方式
[16:08] 对
[16:09] 因为这几天看起来真的很厉害
[16:11] 我必须讲
[16:12] 你在怎么中小型股杀
[16:13] 你去看一些比较主流的
[16:15] 主动式的ETF
[16:16] 是不是都还是收红
[16:17] 还是啊
[16:18] 今天贵买下去
[16:19] 他们有受影响
[16:20] 就是张点收敛
[16:21] 可是还是涨哦
[16:22] 就代表说他们拿到钱之后
[16:24] 也不是只买这个很漂亮的中小型
[16:26] 他们也会有一些核心的大型股
[16:29] 是一直持有的
[16:30] 所以当大型股起来的时候
[16:31] 虽然他们没有像之前那么凶猛
[16:33] 可是还是涨的
[16:34] 你会觉得好像不管怎样
[16:36] 他们都是涨的
[16:37] 真的有这样一个情况
[16:38] 非常少看到收这种大黑K
[16:42] 昨天有
[16:43] 因为昨天的震荡真的大
[16:44] 就上冲下起1700点
[16:46] 所以你如果开盘高
[16:47] 收盘比较低
[16:48] 一定是黑K
[16:49] 这个是在技术形态上面的一个形态
[16:52] 那很难得看到这样的情形
[16:54] 所以我会觉得
[16:55] 这一股新的资金势力是很有趣的
[16:58] 也导致刚刚特别提到的
[17:00] 像奇迹之前也很猛
[17:02] 因为奇迹我们之前归类在是
[17:04] 基优的网通股
[17:06] 可是基优的网通股有涨吗
[17:08] 不好意思
[17:09] 你有沾到CPU的油涨
[17:11] 志邦为代表嘛
[17:13] 对不对
[17:14] 志邦超猛的
[17:15] 那你有沾到低轨卫星的
[17:17] 有涨
[17:18] 你老老实实做WiFi网通
[17:21] 什么你要未来的WiFi7
[17:23] 什么的
[17:24] 就比较不会涨了
[17:26] 就是如果你是传统
[17:27] 路由器
[17:28] 编点故事出来的才会涨
[17:31] 那当然奇迹
[17:32] 比如说他光编故事
[17:33] 奇迹真的有做低轨卫星的产品
[17:36] 比重是高的
[17:37] 所以他就率先在网通股里面
[17:40] 创历史新高
[17:41] 那像我们常常讲什么智艺
[17:43] 中磊就没他这么好的行情
[17:45] 那当然现在的状况就是
[17:47] 看看投信的想法吧
[17:49] 因为我也必须讲
[17:50] SpaceX挂牌这件事
[17:52] 也不会因为他的
[17:54] 这个报告书里面
[17:55] 有提到这些事情
[17:55] 他就不挂牌了
[17:56] 那你说现在
[17:58] 地骨卫星的用量
[17:59] 有没有增加
[17:59] 其实是有增加的
[18:00] 只是AI太空计划
[18:03] 什么时候会落实
[18:04] 不知道
[18:04] 本来就不知道
[18:05] 各位
[18:06] 本来就不知道
[18:08] 这个东西
[18:08] 什么时候会有营收
[18:10] 本来就不知道
[18:11] 所以奇迹华通
[18:12] 他们要的就是
[18:13] 等到风又开始吹回来
[18:15] 搞不好马斯克跑出来讲
[18:16] SpaceX挂牌
[18:18] 他变成全世界更猛的首富的时候
[18:20] 他又讲了一些话
[18:21] 低轨微星活过来了
[18:22] 投信愿意买了
[18:24] 我觉得这时候就会比较稳当
[18:25] 但是如果现在手上有
[18:27] 奇迹跟华通的朋友
[18:29] 对
[18:29] 韦泰爵怎么处理呢
[18:31] 因为我刚刚看到
[18:32] 有人已经忍不了了
[18:33] 他可能两百六七十买的
[18:35] 那跌到今天
[18:36] 觉得要挺损吗
[18:37] 会不会砍在他背骨
[18:38] 好
[18:39] 其实我刚刚有稍微
[18:41] 针对这个华通做了一下说明
[18:44] 因为华通为什么我会特别拿出来讲
[18:46] 是因为
[18:47] 如果今天的这个股价
[18:50] 只是因为短线上面的一个涨多拉回
[18:53] 那么可能就是因为追价买盘不够拉回
[18:57] 那通常这种情况
[18:59] 拉回做补量
[19:01] 补完量之后还有机会再上
[19:03] 可是我们今天看到的这个华通
[19:05] 他的情况并不是这样
[19:07] 它情况是之前有的这些持股
[19:10] 它在这边开始出现出脱
[19:13] 而且在量价结构上
[19:15] 它是呈现增量收黑的架构
[19:18] 那增量收黑可以代表什么意思
[19:20] 就代表说我今天不管价格怎么样
[19:24] 我就是往下砍就对了
[19:26] 这叫做贱卖
[19:27] 那通常这种股价
[19:30] 如果发生这种所谓贱卖的一个情况
[19:33] 其实它的修正的一个幅度
[19:35] 还有它的一个空时间
[19:37] 都会相对的比较长
[19:39] 跟比较深一点点
[19:41] 所以为什么我刚刚一开始
[19:42] 我特别去把这个华通
[19:44] 他拿出来讲
[19:45] 就是因为他现在的回答
[19:47] 跟我们过去所认知的
[19:49] 例如说量价背离之后的修正
[19:51] 它不是
[19:51] 它是不一样的
[19:53] 它是不一样的
[19:54] 那有没有哪一些是
[19:56] 那种所谓的量价背离的
[19:58] 一个这个修正
[19:59] 例如说有啦
[20:00] 我觉得像晶圆店
[20:01] 晶圆店虽然说法人也在调解
[20:04] 可是我有观察到
[20:06] 就是它的股价的一个回档跟修正
[20:08] 并不像这个华通
[20:09] 它是
[20:10] 华通是出量黑K
[20:12] 往下杀的那种
[20:14] 但是这个晶圆电视
[20:15] 我往上涨的时候没有亮
[20:17] 但是我拉回来的时候
[20:19] 我是有人在低涨做承接的
[20:21] 所以这种两种的
[20:23] 这种所谓的股价的一个修正模式
[20:25] 其实是不太一样的
[20:26] 那这个我们在这种操盘的时候
[20:28] 我们都会特别去
[20:29] 去做个区分
[20:31] 那我也对我的学生讲说
[20:33] 股票拉回有两种
[20:35] 跟444一样
[20:36] 有两种
[20:37] 一种是出货完的拉回
[20:39] 一种是量价结构被离职后拉回
[20:41] 那有种可以买
[20:42] 有种不能买
[20:44] 所以像现在的这种
[20:45] 所谓的十字路口
[20:47] 那么各位投资朋友
[20:49] 就必须要把
[20:50] 自己手中的持股
[20:51] 稍微去做一个区分
[20:52] 去看看它是不是有这种
[20:55] 贱卖的一个情况
[20:57] 有法人在贱卖
[20:58] 或者是有主力在贱卖
[20:59] 如果有的话
[21:00] 我也会建议你
[21:01] 在这个地方
[21:02] 也试试的去进行一个减码
[21:04] 好
[21:04] 这个有没有量价背离
[21:06] 有没有人就是不计代价
[21:08] 再砍等等的
[21:09] 可能要考量的事情相当的多
[21:11] 所以有时候我们会说
[21:13] 虽然叫做黄金右下角
[21:14] 或者是我们会讲
[21:15] 左侧价值进场
[21:16] 可是我们都有讲过大前提
[21:18] 大前提就是你要他先止稳
[21:20] 对
[21:20] 如果他没有止稳
[21:22] 就会变得很辛苦
[21:23] 像最近有一档股票
[21:24] 我觉得也可以拿出来讨论
[21:26] 因为这中间
[21:27] 也时不时会偶尔有人问我
[21:29] 不是很常
[21:30] 但有
[21:31] 每次问的时候
[21:31] 我都不晓得我该回答什么
[21:33] 叫做普瑞KY
[21:34] 因为今天刚好韦泰来
[21:36] 我们两个就常常在讨论
[21:38] 普瑞KY嘛
[21:39] 那后来我就不是很想讲
[21:40] 为什么
[21:41] 因为他就是一跌到
[21:42] 连老板自己都会说
[21:44] 我旗下的公司
[21:46] 就是普瑞KY最委屈
[21:47] 老板自己都这么说
[21:49] 甚至他也有十字库仓股
[21:50] 然后十字库仓股都还跌
[21:52] 那我和韦泰都觉得
[21:54] 真的已经就是委屈
[21:56] 可是他的最大的弱势
[21:58] 就是他在AI的风潮里面
[22:00] 它就算能沾到
[22:02] 它也是比较后面的
[22:03] 它还是以
[22:04] 纯消费性电子为主
[22:05] 就是跟刚刚讲
[22:06] 不管华通企机
[22:07] 就是那种
[22:07] 其实它以前大部分
[22:09] 它是在比较传统的那一块
[22:10] 然后现在摸到了
[22:12] 所谓新的题材上面
[22:13] 那当然沾到AI
[22:15] 跟沾到低轨卫星
[22:16] 我想都还是有一个优点
[22:17] 就是如果你沾到
[22:19] 你的业绩真的是会起来的
[22:20] 还有就是评价
[22:21] 至少要先让你做提升
[22:23] 不是本一比15倍
[22:24] 12倍也可以
[22:25] 这样的一个状况
[22:26] Procreate也是A设计
[22:28] A设计最近就是
[22:30] 走这种翻身风
[22:32] 他其实是跟着
[22:33] 这一波翻身风
[22:34] 我必须讲
[22:35] 如果要不是联发科带头虫
[22:37] 然后很多消费新IC
[22:38] 也开始跟着动
[22:40] 他不会动的啦
[22:41] 那但之前人家问我
[22:43] 我说
[22:43] 诶普洱开怎么啦
[22:45] 因为你们讲的时候
[22:46] 可能你今天是500多啦
[22:47] 还后来跌到400多
[22:49] 啊怎么了
[22:49] 啊真的没怎么了
[22:51] 就是就是资金不
[22:53] 没有就是觉得
[22:54] 没有要弄他啦
[22:55] 那现在怎么了
[22:56] 他也没怎么了
[22:58] 但是他有开法说
[22:59] 开法术的时候
[23:00] 他也是觉得说
[23:01] 其实他们的展望
[23:02] 都是很好的
[23:02] 都是会成长的
[23:04] 也许不像AI
[23:05] 是那种什么100%的成长
[23:06] 但是确定是会成长的
[23:07] 又努力做一些
[23:08] 新的产品什么的
[23:09] 体质又本来就非常的好
[23:11] 获利本来就非常好
[23:12] 所以一下子两根就来了
[23:14] 我也不知道
[23:15] 你说Procreate
[23:16] 是不是接到谁的大订单
[23:18] 然后传说是不是
[23:19] 他是不是Google概念股
[23:20] 不然怎么会这样
[23:21] 不是
[23:21] 对
[23:23] 就是一个价值低估的时候
[23:24] 他有时候会翻身
[23:25] 所以有时候去做价值股
[23:28] 或者是说
[23:29] 我们觉得他已经跌到比较委屈了
[23:31] 我们还是得看一下时势
[23:32] 要不然你就要非常的有耐性
[23:34] 因为普瑞KY自从我们讲完之后
[23:37] 我的一点点持股也是不断的放着
[23:39] 放到现在才翻正
[23:41] 中间当然也翻过那个付
[23:43] 可是这种公司跟你去买那种追高
[23:46] 然后因为这个是动能或题材来
[23:49] 那下来你要记得赶快停损停利
[23:51] 想法是不一样的
[23:53] 那这种持股也不太可能占我们非常大的部位
[23:56] 因为你总不可能把你所有钱压在上面
[23:58] 等他个天荒地老
[23:58] 就赚这两根嘛
[24:00] 对不对
[24:00] 好所以
[24:01] 见仁见智啦
[24:03] 这就是配置上面
[24:04] 我还是
[24:05] 很相信当初
[24:06] 普雷KY里面的
[24:08] 老板
[24:10] 跟我说他觉得
[24:11] 最委屈的是普雷KY
[24:13] 结果他另外一家叫
[24:14] 环宇KY
[24:15] 给我找到哪里去了
[24:16] 这就是你看哦
[24:18] 连经营者自己都
[24:20] 都知道什么是委屈
[24:22] 可是他也没办法掌握市场资金
[24:23] 就是爱
[24:24] 喜欢那种题材
[24:25] 非常热的
[24:26] 好
[24:27] 我们当时在讲
[24:28] PlayKY的时候
[24:29] 我们其实是认为说
[24:30] 它也是有高速传输
[24:32] 有
[24:32] 它有高速传输
[24:34] 没有错
[24:34] 它也有人问过我
[24:36] 我们会认为说
[24:37] 它迟早在这个
[24:38] 所谓的新一代的
[24:40] 这个AI的通讯上面来讲
[24:42] 它应该会有一席之地
[24:44] 不过就像刚刚赵宝说的
[24:46] 我们聊的时候500多
[24:47] 然后后来曾经掉到400多
[24:49] 对
[24:49] 那当然为什么究竟长那么凶
[24:52] 其实我有观察到那个了解了解就是那個九八夜這邊還是再强调一下因为昨天婉婷来后来就好多人到理财谈秀去留言说
[25:04] 什么希望这个统一投雇的陈川瑶
[25:07] 可以来上节目
[25:08] 或者说婉婷的下属
[25:09] 等一下统一投信
[25:11] 才会发ETF跟基金
[25:13] 统一投雇像婉婷
[25:14] 是提供咨询跟顾问的
[25:16] 这是两家不同的公司
[25:18] 当然都是统一的
[25:20] 都是统一
[25:21] 这算什么
[25:22] 统一集团
[25:23] 因为统一也没有金控
[25:25] 统一集团
[25:26] 下面的跟证券金融相关的公司
[25:29] 但投信跟投顾
[25:30] 其实他们不是同一个公司
[25:32] 还是要跟大家解释一下
[25:35] 是
[25:35] 因为我有注意到就是981A
[25:38] 他在最近有把这个普瑞做新增持有
[25:41] 所以我讲那怪不得
