[00:00] 歡迎收聽趙華與古惑仔第1014集1014
[07:30] 盤中有一隻手跑進來
[07:32] 買機體咯
[07:33] 那就顯見非常想要低階的人
[07:36] 還是很多
[07:37] 這個低階已經不是說什麼低位階
[07:39] 是只要有回檔就想接
[07:41] 可是這心情是不是痛苦
[07:43] 心情痛苦啊
[07:44] 那就像剛剛凱哥講
[07:45] 有些人可能就先跑了
[07:46] 知道要集體被關了
[07:47] 資金先落跑
[07:48] 我們一般散戶做得到嗎
[07:49] 可能也沒有那麼聰明
[07:51] 那麼利落
[07:51] 所以集體不是不好
[07:53] 也不是不會漲
[07:54] 也還有很多大戶
[07:55] 甚至不要忘記
[07:56] 南雅科0050
[07:57] 還沒有買完就被關了
[08:00] 對
[08:00] 所以他們肯定會在場內繼續等
[08:03] 但短線上面
[08:04] 因為這個被加入
[08:06] 像剛剛我們有講到
[08:07] 現在記憶體我念一下
[08:08] 有被關的華邦店
[08:10] 南雅科金豪科
[08:11] 利基店
[08:11] 威剛
[08:12] 育創
[08:13] 群聯
[08:14] 那還有誰在聽牌
[08:15] 其實像旺宏在聽牌
[08:17] 實權在聽牌
[08:19] 有好幾檔就聽牌中
[08:20] 說不準下個禮拜
[08:21] 是不是又一批進去
[08:23] 在這樣的情況下
[08:24] 做機體有點辛苦
[08:26] 可是凱哥說
[08:27] 如果你真的非常喜歡
[08:28] 那重挫下
[08:29] 目前還是站在買房嗎
[08:31] 是 因為我之前有講過
[08:32] 就是說整個機體裡面
[08:33] 你要看的
[08:34] 其實我那時候講過
[08:35] 要先看模組
[08:37] 有沒有
[08:37] 那時候其實整個顆粒
[08:38] 都還沒有拉起來的時候
[08:39] 我就說你要先看
[08:40] 威剛跟實權
[08:41] 那威剛是率先
[08:42] 7B就定價了
[08:43] 他就率先先拉
[08:45] 好那現在是實權訂完價
[08:46] 可是剛好實權被關
[08:47] 所以你要看的就是
[08:49] 實權的他的公司在
[08:51] 他到底有沒有放量
[08:53] 如果他沒有放量
[08:54] 就告訴你說他們還會繼續漲
[08:55] 還會繼續漲
[08:56] 因為目前實權的威剛
[08:57] 感覺上CB都是被鎖住了
[09:00] 都是被鎖住了
[09:01] 所以我說你可以從這地方
[09:02] 去看一點美港
[09:03] 就是說你到底要怎麼買
[09:05] 或怎麼去操作
[09:06] 那記憶體是一掛
[09:08] 記憶體又分為D6跟Flash
[09:10] 那我很早就講過了
[09:11] D6會先走
[09:12] Flash會走得比較慢
[09:13] 所以一樣就是說
[09:15] 去年今天掉下來了可是我覺得它應該還沒結束但是要不要馬上就去買我就覺得不急因為通常剛降溫的時候的前兩三天我是比較可怕的所以你大概就是等大概今天是禮拜五
[09:27] 也許下禮拜二
[09:28] 可能就是一個好的買點
[09:29] 而不是說今天你又盤中去搶
[09:31] 像今天我就有聽到人盤中去搶
[09:34] 什麼旺紅
[09:35] 然後尾盤又掉下來了
[09:36] 對 尾盤又掉下來了
[09:37] 盤中還很開心
[09:38] 說拉起來了
[09:39] 因為他可能買在
[09:40] 不是買在最低
[09:42] 因為彈起來中間一段發覺好像不死
[09:44] 又去追
[09:45] 追了之後又掉下來
[09:46] 就今天又被套
[09:46] 所以就是
[09:47] 早上已經認賠砍了一段
[09:49] 然後中間又搶
[09:50] 搶之後又被套
[09:51] 所以今天
[09:52] 他可能就不是賠這麼少
[09:53] 賠很多
[09:54] 因為他是兩段賠
[09:55] 兩段賠
[09:56] 但我說基本上
[09:58] 像旺宏這種股票
[09:59] 我覺得也可以等到他
[10:01] 快要結束關錦幣的時候
[10:03] 再回來買
[10:04] 因為他現在是
[10:04] 整個族群的氣勢
[10:06] 有點落掉了
[10:07] 落掉
[10:07] 所以我今天在我的
[10:08] 這個男神凱克FB上
[10:09] 就想說
[10:10] 記憶體居然也開始休息了
[10:12] 那大盤剩下
[10:14] 就剩臺積電門
[10:15] 所以你就要把目光
[10:16] 放到機體以外的族群去
[10:19] 所以今天機體族群以外的股票
[10:20] 也沒有在動
[10:21] 有哦
[10:21] 包括像之前
[10:23] 等一下我們要講散熱的部分
[10:24] 散熱之前
[10:25] 莫名其妙
[10:26] 被我們的教主講了一些話
[10:28] 然後就掉下來了
[10:29] 然後再來就是
[10:30] 今天的航太的部分
[10:32] 包括像華通
[10:34] 包括像文茂
[10:35] 其實都是亮燈漲停的
[10:37] 低軌微星
[10:37] 因為我昨天在木華哥節目
[10:39] 我就講說
[10:39] 還是可以看華通跟文茂
[10:41] 就是看起來
[10:42] 這個資金還沒結束
[10:43] 今天他們就亮燈了
[10:45] 所以告訴你其實這大盤還沒有死掉
[10:47] 我剛剛講了
[10:48] 大盤其實最大的風險是來自於
[10:50] 下個禮拜臺積電的資本支出
[10:52] 這個論點
[10:53] 這個論點如果是一個讓市場嚇一跳的
[10:57] 我覺得他回檔整理一下
[10:59] 可是這行情我認為還沒結束
[11:02] 還沒結束
[11:02] 就是說這行情我覺得已經是
[11:04] 已經在3萬英尺的高空上了
[11:07] 它就不容易掉下來啦
[11:09] 今天沒有破3萬英尺以下
[11:11] 基本上它就是安全的
[11:13] 對 除非突然有個什麼亂流
[11:14] 可是我覺得短時間看起來亂流不會有
[11:17] 為什麼?
[11:18] 因為美國去偷偷去打了委內瑞拉
[11:21] 就偷偷賞了老公一個巴掌
[11:24] 就告訴你說你敢再對臺灣怎麼樣
[11:27] 我就先對你的小弟下手
[11:29] 你不要以為我不敢
[11:30] 他果然就立刻把委內瑞拉就把他收掉
[11:33] 而且一個晚上就把他收掉
[11:34] 所以你看委內瑞拉事情之後
[11:36] 其實中共是不敢講話的
[11:38] 他很低調
[11:39] 為什麼?
[11:40] 因為他的北斗衛星的低軌道衛星
[11:42] 跟他的地面的華為居然完全都被美國所壓制住
[11:47] 這就是一個軍事上的一個強弱的分別
[11:51] 所以在這時間點我認為接下來
[11:53] 共軍再來臺附近做演習這件事情
[11:56] 應該也會開始暫時先消聲匿跡
[11:59] 所以在臺灣而言基本上
[12:01] 上一次那個軍演那麼逼近
[12:03] 基本上臺股都沒有跌的
[12:04] 那你都覺得還有什麼可以讓臺股跌
[12:06] 所以我覺得臺股就會一直漲到農曆年後
[12:09] 或農曆年後
[12:10] 所以我覺得反而這邊下來
[12:12] 我覺得是可以省勝選股票的好時機
[12:16] 不是說沒有股票要結束了
[12:19] 我覺得倒還不至於
[12:20] 每次我們禮拜五來
[12:21] 我跟總統就會講說
[12:22] 後面還有機會
[12:24] 還有機會
[12:25] 而且你看這兩天其實大盤
[12:28] 你覺得很弱嗎
[12:29] 其實今天大盤很多人喊說要空了
[12:31] 可是大盤中場還是站在均價線上
[12:33] 貴買也是
[12:34] 如果今天大盤禮拜五的收盤是破均價線
[12:37] 貴買破均價線
[12:39] 那我就會跟你講說
[12:40] 要稍微注意一下
[12:41] 確實貴嘛
[12:42] 有一點你要擔心是
[12:43] 他破了大量高的181
[12:45] 那他這個只要過幾天
[12:47] 能夠站回去
[12:47] 基本上也沒事
[12:48] 如果他離181越來越遠
[12:50] 確實就要開始小心
[12:51] 好 因為今天凱哥來
[12:53] 接下來30分鐘
[12:54] 都要麻煩凱哥
[12:55] 為什麼
[12:56] 因為我剛正在看
[12:57] 今天的漲跌幅排行
[12:58] 剛有提到
[12:59] 因為中大膽
[13:00] 也是這個禮拜五的固定常客
[13:02] 在理財達人秀
[13:03] 他們兩位對於法人
[13:05] 動向股市的下面的趨勢
[13:07] 這個想法很一致
[13:08] 可是如果回到產業上
[13:10] 其實中總保守一些些
[13:11] 那凱哥的話就對熱門題材
[13:13] 等一下會很多事情要說
[13:15] 我先來講
[13:16] 因為前幾天有提到
[13:17] 很多的漲停公司
[13:19] 都是那種很低價
[13:21] 然後搞不好你都不認識
[13:22] 也沒賺錢
[13:23] 但今天的不一樣
[13:24] 今天其實因為有很多的錢
[13:26] 應該從記憶體跑出來了
[13:28] 所以你會發現
[13:29] 這些錢在幹嘛呢
[13:30] 在開始重新排隊
[13:32] 要決定下一個主流是什麼
[13:35] 像今天的
[13:36] 剛剛講地軌道衛星
[13:38] 或是有摻雜到PCB的部分
[13:40] 今天是有很多檔還在創高
[13:43] 監點也在創高啊
[13:44] 雖然金居跑進去被關對不對
[13:46] 可是今天PCB在電板類在磚頭類
[13:49] 是都有人在創高的哦
[13:51] 這是其一
[13:52] 那剛剛講到低軌衛星也是
[13:54] 然後我們如果繼續看
[13:55] 今天影威又跑回來漲停板了
[13:57] 對不對
[13:58] 電影投控其實是創高
[14:00] 這也是板的一塊哦
[14:01] 好
[14:02] 然後我們還可以看到像華晨
[14:05] 今天漲了快七個百分點
[14:07] 電力股我們覺得他真的有點委屈了
[14:10] 是不是有一點機會
[14:11] 甚至像今天鬱金光跟大力光
[14:14] 不曉得大家有沒有注意到
[14:15] 大力光自從說他要切CPU
[14:17] 然後又實施庫藏股之後
[14:19] 真的相對強
[14:20] 另外還有大銀圍系統今天又漲
[14:23] 因為我們知道這一波機器人
[14:25] 還是非常之可憐
[14:26] 可是今天有沒有代表
[14:27] 今天好像也是有代表跑出來
[14:30] 還有今天的被動元件
[14:32] 金山店漲停板
[14:34] 所以你說今天有沒有一些人
[14:36] 蜜旺時節長聽辦
[14:37] 有沒有人在排隊
[14:39] 等著接收
[14:40] 記憶體出來的錢呢
[14:42] 還有今天
[14:43] 軍工股
[14:44] 雖然沒有像昨天那麼強
[14:45] 可是川普現在不斷地
[14:47] 在講國防預算這件事情
[14:48] 然後還講他的任內
[14:50] 臺灣不用擔心被打
[14:52] 是什麼意思呢
[14:54] 這邊的話
[14:54] 這麼多的產業
[14:56] 所以我說
[14:56] 接下來30分鐘
[14:57] 要交給凱哥
[14:58] 幫我們排一下
[14:59] 到底誰是優先
[15:01] 對不起
[15:01] 散熱剛剛miss掉了
[15:03] 黃文勳說到一句話
[15:04] 他說新一代的Rubin機櫃
[15:06] 水冷技術可以不需要
[15:08] 水冷機組的水溫下就能運作
[15:11] 但是今天高麗市長停辦
[15:13] 是不是他們也是被誤殺了
[15:15] 我覺得現在講一下PCB
[15:16] 其實我們從過完新一年之後
[15:19] 其實PCB有一段時間
[15:20] 感覺好像有點冷
[15:21] 就是法人在賣
[15:23] 但其實你在看
[15:23] 其實他是有秩序的在調整事故
[15:25] 就我之前講過
[15:26] 這個PCB的三雄
[15:29] 是
[15:30] 我剛才講過
[15:30] 金像店 電影跟高階
[15:32] 金像店休息
[15:33] 可是誰不上來
[15:34] 電影上來了
[15:35] 所以老大休息
[15:36] 老二上來了
[15:37] 所以告訴你
[15:37] 行情還在走
[15:39] 監點不用講
[15:41] 因為載板都在擴
[15:42] PCB都在擴
[15:43] 所以監點
[15:44] 當然他的需求就會很強
[15:46] 而且定影跟監點
[15:48] 其實最近的CB都要定價了
[15:51] 所以他們的走勢
[15:53] 相對就比較一致
[15:54] 所以你說PCB這邊
[15:57] 會不會吸走記憶體的錢
[15:59] 我覺得會
[16:00] 而且你看今天
[16:01] 其實在漲都是稍微整理過一段的
[16:03] 包括像今天的散熱也是
[16:05] 昨天我還跟我的朋友在講說
[16:09] 基本上散熱有點被誤殺了
[16:12] 但是也不要急著立刻就去買
[16:14] 那昨天可能就是最後的低
[16:16] 那今天就又上來
[16:17] 我們回過來講這個散熱的部分
[16:19] 就這散熱
[16:21] 老實講我自己也覺得很納悶
[16:23] 就是黃仁勳為什麼會講那句話
[16:25] 為什麼
[16:25] 對
[16:26] 但就是其實我們從產業問到的
[16:29] 基本上每一家都跟你講說
[16:31] 沒有啊
[16:31] 沒有
[16:32] 因為看起來法人也是這樣出具
[16:35] 就是說散熱廠商自己本身都覺得很影響
[16:38] 沒有影響
[16:38] 他們就覺得對目前的產業趨勢沒有影響
[16:41] 充其量就是說
[16:43] 他可能是不用放在冷氣機房裡面吹冷氣
[16:46] 但是這個是很奇怪的
[16:48] 就是會吹冷氣機房一定是你的機器太熱了
[16:52] 所以他已經內部的散熱做不完
[16:54] 還要靠外部的散熱
[16:56] 可是現在是外面的冷氣不用吹
[16:59] 可是內部的散熱還是需要
[17:01] 所以告訴你說
[17:02] 某種程度它的熱沒有再往上提升了
[17:05] 它的熱到這個地方
[17:07] 應該就是到頂了
[17:08] 應該這樣解讀
[17:09] 那基本上不管是均熱片
[17:11] 或者是散熱圍通道的部分
[17:14] 就是彎管的部分
[17:15] 基本上都還是需要的
[17:16] 所以昨天的建策打下來
[17:19] 業內就有在講說
[17:20] 其實建策可以回來買了
[17:22] 那高麗我就覺得有點納悶了
[17:24] 就是如果今天是可以不用再冷氣房吹
[17:28] 基本上它也沒有需要放在靜默室
[17:32] 來做降溫
[17:33] 你們覺得很奇怪
[17:35] 可是目前進入Rubin
[17:37] 還沒有這麼快
[17:38] 所以從高利貿那邊聽到的是
[17:40] 目前因為Rubin還在開發中
[17:43] 因為Rubin是今年的年中
[17:44] 才會出來的
[17:45] 但是Rubin之前的訂單
[17:48] 目前看起來狀況很好
[17:49] 像最近像經運
[17:52] 就是廣運的轉投資經運
[17:54] 他也要辦法說
[17:54] 他也是做類似的東西
[17:56] 他們是類似整個圖書館的概念
[17:59] 而且是連整個基地
[18:01] 他都要做在沉浸式裡面
[18:03] 所以感覺上這邊
[18:05] 我覺得你不敢買沉浸式的散熱
[18:08] 沒關係
[18:09] 反正我覺得高力或者是像網運
[18:12] 你不好操作
[18:13] 但是均熱片
[18:15] 散熱
[18:16] 齊紅
[18:18] 雙紅
[18:19] 是沒有影響的
[18:20] 建設齊紅雙紅
[18:20] 是沒有影響的
[18:21] 就目前這個趨勢來看
[18:23] 你現在把高力先拿掉
[18:24] 因為他還是有一點疑慮
[18:26] 因為畢竟教主講這句話
[18:28] 教主也不知道是
[18:29] 應該不會亂講話
[18:30] 所以我覺得你既然他有講這個話
[18:32] 你就稍微放一點疑慮在身上
[18:34] 所以你可以不要做股票
[18:35] 但是我覺得像奇鴻雙鴻基本上我覺得他們是沒有受到影響的所以我覺得他還是可以買的這是第一個就散熱部分去做一個定調那接著就是整個機器人的部分我覺得你要關注一件事情
[18:50] 就是馬斯特的機器人
[18:52] 基本上有可能會交給臺灣代工
[18:56] 這個是一個很大的機會
[18:59] 要注意
[18:59] 就是他有可能會交給臺灣代工
[19:02] 所以臺灣的一些大廠
[19:04] 已經開始在這個地方壓制滑水
[19:06] 所以有一個暖身感
[19:08] 對
[19:09] 所以其實已經守在這個地方
[19:10] 在做一個產業的佈局
[19:12] 雖然市場上現在都還沒有人講
[19:14] 但是凱克金就先告訴你說
[19:15] 看起來是這件事情是
[19:17] 有一個樣子
[19:18] 我們的機器人有救啦
[19:19] 有個樣子
[19:20] 對對對
[19:21] 包括像從我們昨天看
[19:23] 昨天看到臺灣金銳就漲停
[19:25] 臺灣金銳其實昨天有表態
[19:27] 昨天就漲停了
[19:27] 然後你看那個廣明
[19:29] 其實投信在默默買
[19:30] 但廣明看的部分
[19:31] 它是那個記憶體的
[19:33] 這個storage的部分
[19:35] 所以它有一點可能跟記憶體是一掛的
[19:38] 但是你基本上從臺灣經銳
[19:40] 包括像我們最近在看什麼大銀圍這些
[19:44] 其實他們都是很妥妥的
[19:47] 而羽絨
[19:47] 2233的羽絨也是
[19:49] 他們都是屬於機器人的概念股
[19:51] 那最近就慢慢在加文
[19:52] 慢慢在加文
[19:53] 所以我覺得
[19:53] 其實市場上還是有一群的資金
[19:57] 只是說你就不要一直說
[19:58] 你一定要parking在記憶體
[20:00] 對
[20:01] 因為我覺得有時候你在等待的時候
[20:02] 其實是通常會殺在最後
[20:04] 就是一開始你不賣
[20:06] 你是會賣在最後
[20:08] 就是最後殺你那一段
[20:10] 你反而是被洗掉了
[20:11] 你反而是受不了
[20:12] 所以我覺得你還不如
[20:13] 一開始就先減碼
[20:14] 等到它處置完之後
[20:16] 形態開始轉上來
[20:17] 所以我們常常在講
[20:19] 就是你要看它的
[20:20] 五日均價線跟十日均價線
[20:21] 是不是占上
[20:22] 均價線是不是占上
[20:23] 這三個都占上了
[20:24] 那就是一個
[20:25] 可以回來買的訊號
[20:26] 沒有的時候
[20:27] 基本上你就是先減碼硬硬
[20:29] 這是一個在操作上的
[20:31] 對應的方式
[20:32] 所以我覺得你這樣來操作
[20:34] 基本上就不會
[20:35] 因為今天
[20:37] 雖然大盤感覺沒有很冷
[20:39] 可是你內心很寒冷
[20:40] 就是像外面的太陽一樣
[20:42] 如果重一點它在記憶體的話
[20:43] 外面太陽
[20:44] 然後你內心都是記憶體
[20:45] 你就覺得特別的寒冷
[20:47] 特別寒冷
[20:47] 但是我覺得不需要這樣子
[20:50] 不需要這樣
[20:50] 因為其實我之前有講過
[20:52] 其實這個資金是一直在輪動
[20:53] 一直在輪動
[20:54] 而其實今年的族群
[20:55] 確實像低軌道衛星
[20:57] 不管是這個AI族群
[21:00] 或者是機器人
[21:01] 其實它就是都會輪動
[21:02] 再次我們講到航太的部分
[21:04] 其實航太的部分
[21:06] 我覺得目前看起來
[21:09] 臺灣確實是要很認真的在搞航太的部分
[21:12] 尤其是軍工的部分
[21:13] 你可以去看
[21:14] 臺灣其實很多的產業的發起
[21:17] 其實都是誰做的
[21:19] 都是政府做的
[21:20] 你去講一件事情
[21:21] 王永慶真的在說話裡面做了什麼
[21:22] 其實也沒有
[21:23] 那是政府讓他做說話
[21:25] 政府補貼很多的說話的關稅給他
[21:28] 在稅裡面給他優惠
[21:30] 你說臺積電的地下是誰挖的
[21:34] 難道是臺積電張忠謀挖的嗎
[21:35] 不是
[21:35] 張忠謀是在上面順勢就蓋成了這一棟
[21:38] 礦式的大樓
[21:40] 但是臺積電地基是誰挖的
[21:42] 是政府挖的
[21:43] 所以之前不是有部電影叫趙三澤
[21:45] 就告訴你說
[21:46] 其實臺灣有很多的
[21:48] 很優秀的人物
[21:50] 在這個地方默默的流汗流淚
[21:53] 為臺積電鋪城
[21:54] 讓他現在可以變這樣
[21:56] 所以我常常講說
[21:56] 臺積電這些大股東其實太過分了
[21:58] 其實他應該把這錢應該回饋給老百姓
[22:01] 因為這些都是拿老百姓的權去做的
[22:04] 其實你們現在臺電的市值這麼大
[22:07] 難道你們不應該捐一筆回來給政府嗎
[22:09] 我是這樣想
[22:11] 那一樣前幾年的重電
[22:13] 其實也是因為政府的關係
[22:15] 你不覺得是政府把他們推上去的嗎
[22:18] 如果政府沒有推
[22:19] 華晨現在可能還在幾十塊
[22:21] 那一樣當他現在決定要去推軍工的時候
[22:24] 就告訴你說軍工一樣是不可擋的
[22:27] 那1月份這個國防標案
[22:28] 他就要開這個招標說明書嘛
[22:32] 那目前他有五個標案
[22:33] 而且禮拜三吧
[22:36] 禮拜三在南港的漢來
[22:38] 有一場無人機論壇
[22:40] 那這一場裡面
[22:42] 漢翔的董事長有與會
[22:44] 是
[22:44] 所以告訴你說
[22:45] 這個無人機的老大
[22:48] 就是漢翔
[22:49] 他都列席在這裡面
[22:51] 所以告訴你
[22:52] 其實他們就是在集體的
