[00:00] 欢迎收听赵华谊古惑仔第1140集
[09:12] 因为其实我们还没开的时候
[09:15] 我就有一个表格
[09:16] 就是你后面
[09:17] 公司原本的时候
[09:19] 大家已经有期待
[09:20] 再把开出来的数字填进去
[09:22] 其实结论就是
[09:24] 它的数字其实都是
[09:25] 应该这样讲
[09:26] 公司给的区间的上缘
[09:29] 几乎都有达到
[09:30] 无论是营收 毛利率
[09:32] 各样的获利
[09:33] 获利最后是超标
[09:34] 那你最起码的营收 毛利率
[09:36] 其实都是公司给的区间的上缘
[09:39] 那你说很多人期待更高更高
[09:41] 那只是市场的传言
[09:43] 真正看到外资比较
[09:45] 等于说法术会前
[09:46] 这一个礼拜
[09:47] 几乎每一家都有出报告
[09:48] 大家给的毛利率
[09:50] 也都落在差不多公司的上缘了
[09:53] 所以也没有人敢
[09:54] 真正的大行敢预估
[09:57] 毛利率预估七字头的
[09:58] 其实也没有
[09:59] 那都是市场的传言而已
[10:01] 所以我常常讲
[10:02] 不要去看因为股价跌
[10:03] 或换个角度讲
[10:04] 其实这个公司之前就有提到
[10:08] 下半年的毛利率
[10:09] 他们压力会很大
[10:11] 他也讲了很清楚
[10:12] 两个因素
[10:13] 一个就是二奈米出来
[10:14] 另外一个是海外的扩产
[10:16] 所以他下半年毛利率
[10:17] 他也讲很清楚
[10:18] 就是2到3%的一个压力
[10:20] 那2到3%是一个很夸张的数字
[10:23] 对他们来讲
[10:24] 那但是呢
[10:25] 这个我刚
[10:26] 我那时候看这个礼拜
[10:27] 外资出的报告
[10:28] 其实就分两派
[10:30] 一种呢
[10:30] 就是有听话
[10:31] 就是下半年的毛利率
[10:33] 有稍微下修
[10:34] 但是幅度没有公司讲那么夸张
[10:36] 可能就是往下掉个一个percent
[10:38] 另外一派就是不信邪
[10:40] 就是觉得还会继续往上
[10:42] 然后就持续往上拉
[10:43] 但是幅度也不敢拉太高
[10:45] 因为公司毕竟就是讲会往下
[10:47] 那目前看起来就是
[10:49] 我个人觉得以这个架构
[10:51] 应该要记得一件事情
[10:53] 要对比不是说大家的看法如何
[10:56] 你要讲这个是连续剧的问题
[10:58] 公司之前怎么讲的
[11:00] 以现在公司的说法
[11:01] 第三季对第二季
[11:03] 大致上就是应该说
[11:04] 这个区间的range
[11:06] 有稍微掉一点点
[11:07] 一个percent左右甚至不到
[11:09] 可是上一次法说的时候
[11:11] 就有提到下半年
[11:12] 因为这个产能开出会掉2到3
[11:15] 所以代表着其实就连续剧的角度
[11:18] 现在是持续在上修当中
[11:20] 所以结论我常常讲
[11:22] 你必须要以前他的说法
[11:25] 到一直到每一季的角度
[11:27] 持续的关注
[11:28] 那另外就是呢
[11:29] 这个在法说会前
[11:31] 或看到股价之前
[11:32] 你先把数字写下来
[11:34] 出来结果是如何
[11:35] 又预期就又预期
[11:37] 现在反映的不是它基本面
[11:39] 现在反映的是市场的情绪
[11:41] 但市场情绪是来得快又去得快
[11:43] 你现在市场稍微悲观
[11:45] 你就跟着杀
[11:46] 过几天大家乐观
[11:48] 你再追回来
[11:49] 我觉得这个老实讲
[11:50] 不是操作的方法
[11:52] 不过这一次台积电在法术会前
[11:54] 是相对没有跌
[11:55] 因为大盘的状况不理想
[11:57] 中小型股的状况不理想
[11:58] 台积电的没有跌
[12:00] 感觉就要反向来说
[12:01] 他已经算厉害了
[12:02] 对
[12:03] 有这样的一个感受
[12:04] 可是我个人觉得
[12:06] 就换个角度讲
[12:07] 就刚刚赵华提到说
[12:09] 韩国人很羡慕
[12:10] 你看人家台积电
[12:12] 我就说
[12:12] 第二季的时候
[12:13] 你抱着三星海力士的时候
[12:15] 你有没有羡慕台积电
[12:16] 第二季涨都不涨
[12:18] 你的标翻的时候
[12:19] 你有没有羡慕台积电
[12:20] 不是等到你的标翻
[12:22] 然后开始坐头往下的时候
[12:24] 你去羡慕那个
[12:25] 之前没涨的开始补涨
[12:27] 这个概念是不对的
[12:28] 结论就是台积电第二季
[12:29] 是明显落后
[12:30] 不要说比韩国
[12:32] 他比起台湾
[12:33] 他就是落后
[12:34] 对不对
[12:35] 那最近为什么能抗跌
[12:36] 他就没涨
[12:37] 为什么会跌
[12:38] 是这个概念嘛
[12:39] 对不对
[12:39] 他没涨
[12:40] 对现在在杀的都是
[12:42] 之前涨很多
[12:43] 无论尤其是两种
[12:45] 一种就是
[12:45] 业绩没有改善
[12:47] 但是股价明显比业绩强
[12:49] 另外一种就是
[12:50] 根本没业绩
[12:51] 纯粹是认为
[12:52] 明年会有多厉害的
[12:54] 现在开始修正
[12:55] 当然我也老实讲
[12:57] 有部分就是也有获利
[12:58] 最近也跟着往下拉
[13:00] 但是重点都是大家毕竟位阶高
[13:02] 可是台积电是不争的事实
[13:04] 就是本益比二十几倍
[13:06] 对比韩国是高
[13:07] 但对比台湾的AI股
[13:09] 它真的是便宜
[13:10] 另外一点就是它第二季没涨
[13:12] 所以现在开始慢慢转强
[13:14] 我觉得是合理的现象
[13:15] 所以我觉得重申就是
[13:18] 不要应该是把那些涨很多的
[13:21] 这个个股
[13:22] 你可以稍微去减码
[13:23] 反而基优
[13:24] 然后呢
[13:25] 涨幅相对比较落后的族群
[13:27] 所以我觉得反而是目前布局的方向
[13:29] 但是现在布局的方向
[13:31] 其实蛮吃力的
[13:33] 必须讲
[13:33] 两位达人
[13:35] 各自有自己喜好
[13:37] 还有就是看事情的方式
[13:39] 例如说像
[13:40] 前一阵子非常夯的被动元件
[13:42] 明汉就三番两次提醒说
[13:44] 因为被动元件
[13:44] 在营收的成长率上面
[13:46] 比较跟不上股价的涨幅
[13:48] 一定要趁势做
[13:49] 如果反转
[13:50] 千万不要一直去捡
[13:51] 这件事情在最近就验证了
[13:53] 如果中间国际破一线就想捡
[13:56] 破900就想捡
[13:56] 那可能现在就是
[13:58] 真的非常非常的痛苦
[13:59] 这是其一
[14:00] 但是也有看好的嘛
[14:01] 例如说像明翰也觉得
[14:02] 修正下来的话
[14:03] 设备股这个有业绩的
[14:05] 这两天有反映到
[14:07] 台电法所暖身
[14:08] 风策股也不错
[14:09] 对不对
[14:09] 然后PCB
[14:10] 其实明翰有常常讲
[14:12] 回档要买PCB
[14:13] 但这边的话
[14:14] 就要接到婉婷这里来了
[14:16] PCB也不容易
[14:17] 因为婉婷也有收到那种私讯
[14:20] 或什么就跟她讲说
[14:21] 为什么星星都没有涨
[14:23] 我们就吓到说
[14:24] 你要看多长的时间
[14:25] 如果星星是今年以来的话
[14:27] 那涨很多
[14:28] 但欣欣如果是这一个月以来
[14:30] 你可能会觉得怎么搞的
[14:31] 上去又下来
[14:32] 而且输给南电
[14:33] 所以现在的话
[14:35] 两位如果接下来
[14:37] 以股价的位阶
[14:39] 跟所谓即将看到的第二季的季报
[14:41] 还是各自会看好
[14:43] 或是有警讯的产业
[14:44] 要不要各自我们来跟听众朋友分享一下
[14:47] 好
[14:48] 我先讲一下PCB
[14:50] 其实我今天来想要跟大家分享
[14:53] 就是有一些股票蛮常被问
[14:55] 像金像店
[14:57] 对那星星当然也有
[14:58] 星星我就被问到说
[15:00] 你推星星这两个月都不涨
[15:02] 对然后
[15:03] 其实我还蛮无言的
[15:05] 因为它今年以来真的涨非常多
[15:07] 然后其实涨
[15:09] 我觉得股价价格这件事情
[15:11] 我没有很喜欢聊
[15:12] 我喜欢聊产业趋势
[15:13] 然后从这个趋势跟你说
[15:14] 它方向变了没
[15:15] 它其实方向完全没有变
[15:17] 对可是我记得有一集
[15:19] 我来录完的时候
[15:21] 晚上就有
[15:22] 就是很厉害的操盘人
[15:24] 就赖我说
[15:26] 我今天catch到你在理财答案秀
[15:28] 其实在透露
[15:30] 你觉得宅版会休息
[15:32] 你没有感受到对不对
[15:34] 很厉害的经理人
[15:35] 谁啊
[15:36] 跟你同一家
[15:37] 没有没有
[15:38] 不是不是他已经退
[15:39] 他已经退
[15:39] 就已经离开了
[15:41] 对然后他就说
[15:42] 因为我那时候
[15:43] 我那一集的讲法是因为不缺
[15:46] 对但是那一集又被别人问说
[15:48] 我不是说不缺吗
[15:50] 对但我曾经有讲过很多次
[15:52] 就是不有很多种
[15:54] 所以你要先厘清
[15:55] 我今天讲的布不缺跟布缺
[15:57] 是哪个布不缺哪个布缺
[15:59] 我现在载板讲的是梯布
[16:01] 梯布一直都很缺
[16:02] 所以我那个时间点讲说
[16:04] 第二季梯布很缺
[16:06] 然后大家不够布不够
[16:08] 所以载板厂如果买不到布
[16:10] 它出货量无法增加
[16:12] 然后所以它的营收动能只剩下涨价
[16:15] 那只剩下涨价的话
[16:17] 它的动能可能就不够强
[16:19] 没有第一季这么强
[16:20] 所以月营收MOM如果成长性放缓
[16:23] 股价的强度也可能会放缓
[16:25] 然后我们之前讲的
[16:27] 这个Rubin出货
[16:28] 会造成它的载板面积变大
[16:30] 然后供需失衡的
[16:33] 再强劲涨价这件事情
[16:35] 又还没发生
[16:36] 所以第二季就会变成
[16:37] 是一个尴尬点
[16:38] 对可是我相信
[16:40] Rubin开始出货的时候
[16:42] 它的需求强度会更强
[16:44] 那如果有不那出货量就会增加那如果没不那就是涨价幅度可能会更高它会去排挤掉我不想接的订单我就不接但是我好的订单
[16:55] 我的利润率很高的
[16:57] 我就往那边去出
[16:58] 那我毛利率跟获利就会再往上
[17:00] 所以下半年我认为再办还有一次
[17:03] 还有往上的空间
[17:04] 但这个是大方向
[17:05] 我没有特别定义南电新兴锦朔
[17:08] 对就是一个大方向
[17:09] 那南电新兴锦朔
[17:10] 其实南电这一波
[17:12] 其实有一段时间比新兴弱
[17:14] 然后有一天
[17:15] 南电开始比欣欣强
[17:16] 然后就有人问我
[17:18] 说为什么
[17:18] 对
[17:19] 其实
[17:20] 其实
[17:21] 其实一开始是
[17:24] 南电开始可能
[17:26] 法人的关注度变高了
[17:28] 可能座谈会啊
[17:29] 或怎么样的
[17:30] 关注度变高了
[17:31] 然后他在这个
[17:33] 涨价的解释上
[17:34] 比较积极
[17:34] 对
[17:35] 然后再来就是
[17:36] 欣欣她有发
[17:37] 这个DR
[17:38] 她有募资的动作
[17:40] 那有时候募资的动作
[17:41] 其实对股价
[17:42] 会有一点
[17:42] 暂时性的干扰
[17:43] 然后这个跟基本面
[17:45] 其实没有关系
[17:46] 对
[17:46] 所以这个就回到
[17:48] 刚刚就也是明翰讲
[17:49] 或者赵华讲
[17:50] 就是其实你反而要去思考一下
[17:52] 现在南电短期上涨那么多了
[17:54] 会不会其实
[17:55] 你要再做一下调整
[17:57] 而不是去追涨很多的
[17:59] 因为其实这三档的方向性
[18:00] 在载板上都是一样的
[18:02] 那最近载板性的议题是
[18:04] 因为ABF太缺
[18:05] 然后BT
[18:07] 大家就不想做
[18:08] 因为BT过去的利润比较差
[18:10] 所以大家开始减少BT的生产
[18:13] 然后去做ABF
[18:14] 可是相对的
[18:16] 因为BT的供给减少了
[18:18] 然后BT谁在用
[18:19] 机体在用
[18:19] 对所以BT又瞬间涨价涨更多
[18:23] 这件事情很有趣
[18:24] 就是大家调来调去
[18:26] 反正就是我要产能都不够
[18:27] 我要追逐最好利润的东西
[18:29] 然后所以最近的议题
[18:32] 就是BT多的人
[18:33] 可能反而涨价的幅度
[18:34] 在第三季会变好
[18:36] 紧缩吗
[18:37] 对
[18:37] 对
[18:38] 所以很有趣
[18:40] 就是本来ABF很好
[18:41] 就没想到BT也跟着好
[18:43] 好
[18:44] 但是之前有一个传言
[18:45] 说三星说
[18:46] 我不要让BT涨价
[18:47] 有没有
[18:47] 就这种鬼故事
[18:49] 在市场上
[18:49] 真的是时不时就会传出来
[18:51] 对
[18:51] 那那个时候
[18:53] 其实也有短暂性的
[18:54] 对台湾的这个宅板厂
[18:56] 有点点干扰
[18:56] 杂讯上
[18:57] 可是我那时候被问
[18:59] 我就说
[18:59] 我从来没有听过
[19:01] 韩国的宅板厂
[19:02] 在全球PCB板厂前十大
[19:05] 所以他没有
[19:07] 他没有那么重要
[19:08] 他被砍价
[19:09] 可能是因为竞争力的关系
[19:11] 他竞争力不够强
[19:12] 所以他必须要被迫
[19:14] 他的客户就是示弱
[19:16] 是
[19:16] 对
[19:17] 那台湾的竞争力都比较强
[19:19] 所以我觉得不能相提并论
[19:21] 好
[19:21] 这个是在载板的部分
[19:23] 我们顺便把同博基板
[19:24] 也讲一下好了
[19:25] 因为今天台药迭亭版
[19:26] 台药的修正幅度
[19:27] 看起来是比较惊人的
[19:28] 本来一度就觉得要2000
[19:30] 就现在已经变1300了
[19:31] 那台光电
[19:32] 从6字头6000多块
[19:34] 因为它营收创历史新高
[19:35] 那一天有大涨
[19:36] 就现在变4000多块钱
[19:37] 好
[19:38] 所以同博基板没有不好
[19:40] 也没有没涨
[19:41] 可是每次一修正
[19:42] 大家的感受就是
[19:43] 是不是已经涨太多
[19:44] 涨完了
[19:45] 有这种的反应跑出来
[19:46] 我先从产业面的角度来看
[19:50] 其实第二季
[19:51] 同伯基板涨很多
[19:52] 所以大家的财报都会非常好
[19:55] 然后第二季主要
[19:57] 同伯基板在拉货的是
[19:58] AWS的全年三
[19:59] 那主要供应商是台广跟台药
[20:01] 所以也看得出来
[20:02] 他们的业绩很好
[20:03] 可是如果是
[20:04] 就法人的角度来看
[20:05] 法人会一样
[20:06] 大家会去买
[20:08] 比较就是最近期
[20:10] 看起来有变好的低阶
[20:12] 低阶旗鼓
[20:13] 好然后偏偏呢
[20:14] 最近有联贸公告了
[20:17] 五月份字节
[20:18] 那个毛率跳了十个百分点
[20:20] 然后再来就是南亚
[20:21] 因为低阶的就是一样嘛
[20:23] 大家高阶的产的不够
[20:25] 然后所以就
[20:26] 就是全部不愿意去做低阶的
[20:29] 那低阶的没有人做
[20:30] 反而就涨价
[20:31] 所以南亚也瞬间受惠
[20:33] 然后再来就是南亚
[20:35] 今年也很积极的去送高阶的东西
[20:37] 它目前是送验证中
[20:39] 可是过去它速度没有那么快
[20:41] 所以光是它送验证的速度变快
[20:44] 这件事情
[20:44] 市场就愿意给予它一定的评价
[20:47] 所以南亚过去的评价很低
[20:50] 那它现在被re-rating了
[20:51] 对所有的股价行为
[20:53] 在re-rating的那一段
[20:54] 就是本一笔跳升的那一段
[20:56] 是涨最快的
[20:57] 所以法人其实最近在做的动作
[20:59] 是去买南亚
[21:00] 然后去调节部分的相关CCL概念股
[21:03] 对所以单纯就是有一点
[21:05] 筹码挪移的概念
[21:07] 所以就是大家呢
[21:09] 一下缺这个
[21:10] 就觉得我要生产那个
[21:12] 然后又变成缺那个
[21:14] 有点像是
[21:15] 不管是资金的筹码
[21:16] 或是产品线
[21:17] 大家在轮来轮去
[21:19] 可是整体来看
[21:20] 还是一个持续向上的态势
[21:22] 其实我也觉得
[21:24] 也可以从筹码的角度来看
[21:25] 假设我就是只有一百块
[21:26] 我本来只卖两档
[21:28] 那我现在变成买四档
[21:29] 那我觉得我钱不够啊
[21:32] 我只好卖台光
[21:33] 卖台药
[21:33] 我要去买南亚啊
[21:34] 对那其实同样的概念
[21:36] 你如果就像过去这段时间
[21:38] 四五月为什么涨那么多
[21:39] 因为大家都融资去买韩股
[21:41] 去买台股
[21:42] 所以我们两个股市这么热
[21:45] 然后当你四代同堂
[21:47] 六代同堂
[21:48] 然后主管机关开始警示的时候
[21:50] 你的这个水
[21:51] 就是你的一百块
[21:52] 你没有办法变一百二
[21:53] 你可能变九十
[21:54] 那大家都要去杠杆的时候
[21:56] 股价就自然然会跌
[21:58] 有时候真的不是基本面的问题
[22:00] 是
[22:00] 因为敏翰刚刚也特别讲了
[22:02] 他觉得基本面上没有什么样的问题
[22:04] 但是各产业在你心里面的评价
[22:06] 是有很大的差异
[22:08] 对应该
[22:09] 我个人觉得反正区分
[22:11] 我觉得每一次
[22:13] 不要看着新闻去做股票
[22:15] 不要看着新闻认为说
[22:17] 到底好不好
[22:18] 其实数字会说话
[22:20] 因为毕竟这个都已经
[22:22] 整年度过了一半了
[22:24] 我刚刚讲你不用看
[22:25] 甚至根本不用看获利数字
[22:27] 光看营收
[22:28] 每个月看一下营收的表现就知道了
[22:31] 我刚刚讲第二季涨很多族群
[22:33] 确实就是数字没有那么好的
[22:35] 那回过头来PCB
[22:37] 因为刚刚婉婷在
[22:38] 所以我这细节不讲
[22:40] 反正这有个重点
[22:41] 就是你可以看一下PCB
[22:43] 当然不是所有的个股都好
[22:45] 没错
[22:45] 但是代表性的个股
[22:47] 包含CCL或者是讲ABF
[22:49] 几乎每一档营收
[22:51] 其实都是非常好的
[22:53] 那我觉得要追踪的部分
[22:55] 你要把心思花在
[22:57] 我常常讲
[22:58] 把心思花在基本面
[22:59] 不要把心思放在股价上
[23:01] 股价不是你决定的
[23:02] 你不是今天叠就怎样
[23:04] 等一下
[23:05] 这怎么可能不放在股价上
[23:07] 我就这边代表庸俗的
[23:08] 代表就是有我本人
[23:10] 可是会
[23:11] 你如果很在意股价
[23:12] 会发生两点
[23:13] 第一点你会很紧张
[23:15] 第二点一点帮助都没有
[23:16] 就是这样子
[23:18] 但实际上我常常讲
[23:19] 如果今天基本面
[23:21] 你比如说
[23:22] 结论而言
[23:23] 比如说这半年来
[23:24] 它都很强
[23:25] 到最近数字开始不太对
[23:27] 那你是不是考虑要减码
[23:29] 我觉得这个合理
[23:30] 可是如果数字
[23:31] 现在营收功夫他还在创高
[23:33] 尤其最近很多营收创高的个股
[23:35] 反而是跌的
[23:36] 那这时候你就开始解释什么
[23:39] 利多不长
[23:40] 你到时候下车过一段时间又转强
[23:42] 你又得追回
[23:43] 我觉得故事不断重复
[23:45] 或者是说AI这两三年的进程
[23:47] 其实有一个很大的重点
[23:49] 就是因为毕竟已经两三年了
[23:52] 现在不可能有机权升天
[23:53] 就是醒来每一天
