[00:00] 欢迎收听赵怀古惑仔第1136集
[02:20] 赵娃好 大家好
[02:21] 威良哥也有一点失望
[02:24] 好失望啊
[02:25] 因为刚刚我跟他讲说
[02:27] 你看明天可能放假几率真的蛮低的
[02:29] 他就说他超失望
[02:31] 我想说怎么会超失望呢
[02:33] 应该会觉得股市还有一天开盘
[02:34] 对台湾的最大赌场明天还要开盘
[02:38] 但是大家都其实这段时间比较累
[02:41] 心比较累
[02:42] 因为现在是比较没有行情的状态
[02:45] 其实这个就叫做预期心理
[02:48] 其实不要去多想
[02:49] 每天就这样顺顺的来上班
[02:51] 真的等到晚上八点的时候
[02:52] 听到放假了
[02:54] 多赚一个价
[02:55] 搞不好对不对
[02:56] 预期之外的利多
[02:57] 其实股价也是这样的反应
[02:58] 所以我觉得现在很多
[03:00] 在高位阶高档的股票
[03:02] 你说真的基本面有很糟吗
[03:04] 或者说趋势真的改变了吗
[03:06] 其实大部分可能来自于一些
[03:08] 规格的调整
[03:09] 或者说出货的递延
[03:11] 但是我觉得整个AI的
[03:13] 刚性需求还是非常强
[03:15] 而且整个AI的发展
[03:17] 不是说现在才达到第三局
[03:19] 甚至第二局吗
[03:20] 这些都没有变
[03:21] 可是问题就在于高位阶
[03:23] 所以有些利多消息
[03:24] 它会开始顿化
[03:25] 甚至变成短线的利多
[03:27] 促进了风险
[03:27] 这个我觉得就是近期
[03:29] 投资人可能心里面
[03:30] 会比较疲累的原因
[03:32] 要去调整一下
[03:33] 千万不要被可能长远的EPS
[03:36] 或法人的目标价绑架了
[03:38] 所以事情我们都讲说
[03:41] 基本面没有太大的改变
[03:42] 可是因为股票市场
[03:44] 涨到高点的时候
[03:46] 它会牵涉到评价的问题
[03:48] 就是当你很乐观的时候
[03:50] 自然市场的共识
[03:51] 就是评价无限上调
[03:52] 但市场开始出现
[03:55] 有点风吹草动
[03:56] 有人像获利老爷
[03:57] 现在进入到
[03:58] 所谓的暑假期间
[03:59] 也蛮容易在过往
[04:01] 是会一个
[04:02] 比较举棋不定的时候
[04:04] 蛮多大户赚了钱
[04:05] 就跑出去玩
[04:06] 我俩也想跑出去玩
[04:07] 对
[04:08] 所以我们也可以看到
[04:10] 在六月下旬的时候
[04:11] 事实上是有大户
[04:12] 筹码风动的状况
[04:13] 甚至投信
[04:14] 在整个上半年成长之后
[04:17] 也可以看到
[04:18] 他们对于主流类股
[04:19] 例如说像被动元件好了
[04:20] 也会出现说
[04:21] 我先获利调节一些
[04:22] 我先入贷一些
[04:24] 我再去转
[04:24] 看能不能转到一些
[04:26] 比较低位阶的个股
[04:27] 所以在七月份
[04:28] 这个第一个礼拜
[04:30] 跟第二个礼拜
[04:30] 我觉得就蛮明显有出现说
[04:32] 投信的资金
[04:33] 例如说像国巨好了
[04:34] 之前是投信的宠儿
[04:35] 可是后来就
[04:36] 一口气吐了非常多张出来
[04:39] 让它的股价
[04:40] 也大幅的做一个震荡
[04:41] 那既然被动元件的龙头
[04:43] 震荡这么大
[04:44] 其他的中小型股
[04:45] 难免也波动很大
[04:47] 可是基本面有没有改变
[04:48] 事实上涨价啦
[04:50] 升级啦
[04:51] 基本面继续往上走
[04:52] 随着六月营收节出来
[04:54] 可以发现是不会改变的
[04:55] 所以有时候换个角度想
[04:58] 股票市场在休息修正
[05:00] 然后热门股的回荡比较深的时候
[05:02] 反而是好的
[05:03] 只要不是因为基本面的改变
[05:06] 它评价修正下来
[05:08] 等到这些短线上面的移云过去之后
[05:12] 它又会恢复上涨
[05:13] 像今天
[05:14] 贝诺文剑和声堂创历史新高
[05:16] 终于过了它历史那个高点
[05:19] 到了四位数
[05:20] 一千多块钱
[05:21] 然后南电也大反攻
[05:23] 离他的前高并不远
[05:25] 南电今天是说涨停板
[05:26] 就是栽板
[05:27] 这些都是排面上
[05:28] 非常活泼的热门指标股
[05:31] 那今天是有表态的
[05:33] 所以感觉最近的选股
[05:35] 可能关键字就是在
[05:36] 要找有难的
[05:38] 有难的
[05:39] 有难编的难吗
[05:40] 对
[05:40] 从南亚
[05:41] 南电
[05:42] 南亚科
[05:43] 那不是同一个集团
[05:44] 在大家半开玩笑
[05:46] 我反而觉得
[05:47] 最近比较适合就是
[05:48] 在这个高档区
[05:50] 要懂得灵活操作
[05:52] 适时的要有一些进出买卖
[05:54] 我想这个还是取决在于
[05:57] 刚刚所讲的
[05:57] 关键是位阶
[05:59] 像四月份的时候
[06:00] 很多股票因为杀得够深的
[06:03] 而且那时候因为有各种的
[06:04] 系统性风险的笼罩
[06:06] 战争通膨
[06:07] 所以那个时候很多股票
[06:09] 其实就真的不要说
[06:10] 赚到一点迎头小利就急着跑
[06:13] 你可能咬到皮
[06:14] 后面还有整块肉
[06:15] 但现在不一样了
[06:16] 现在很明显就是
[06:17] 第三季整体的压力是比较大的
[06:19] 那在这个指数的部分
[06:22] 已经开始呈现高涨震荡的时候
[06:23] 很多个股其实
[06:24] 它变成是说
[06:25] 你要在利空当中找买点
[06:28] 然后在利多当中呢
[06:30] 去实现获利
[06:31] 那同时呢
[06:32] 同一个族群我觉得
[06:33] 当大家涨多之后
[06:35] 那个慢慢的位阶上面所产
[06:37] 展现的压力也浮现
[06:39] 它不会是起涨了
[06:40] 被动约一开始的时候
[06:42] 设飞表全部都上
[06:43] 常常一天刷十个以上的涨停吧
[06:45] 全部都上
[06:46] 那其实也不用说
[06:48] 去计较说谁是一线
[06:50] 谁是二线
[06:51] 谁是制造
[06:52] 谁是通路
[06:53] 其实说实在
[06:53] 刚开始差别不大
[06:55] 但是现在就差别就大了
[06:57] 现在有这个破线的
[07:00] 也有这个往上创历史新高的
[07:02] 所以我觉得在现在这个阶段
[07:03] 有点变成是说
[07:04] 适时的要买卖之外
[07:06] 也可能可以采取一些配对交易
[07:09] 像我个人的心得跟观察是
[07:11] 当然像和珍糖今天创新高
[07:14] 它非常好
[07:15] 它非常强
[07:15] 有的当然可以续报
[07:17] 因为他目前也没有出现败相
[07:19] 但是如果空手人要去追的话
[07:21] 我觉得岛不如呢
[07:22] 往下去开始留意了
[07:24] 像国巨或华星科
[07:26] 因为事实上毕竟
[07:27] 如果就六月份
[07:29] 或第二季营收
[07:30] 这样结算出来看
[07:32] 国巨的业绩表现
[07:33] 动能还是非常非常强
[07:35] 而且单月六月是创历史新高
[07:37] 那何胜浪也好
[07:38] 但是国巨的年增幅度
[07:40] 是比较更强的
[07:41] 所以我觉得岛不如说
[07:42] 这个时候去看看
[07:43] 就两者之间
[07:44] 未来可能会变成是
[07:45] 股完股后会
[07:47] 也许会互换领先
[07:48] 这种比价关系
[07:49] 对
[07:50] 所以呢
[07:50] 当这个国巨剩下九字头
[07:52] 那和生堂呢
[07:53] 冲破四位数的时候
[07:54] 我觉得这个时候
[07:55] 反而可以去留意一下
[07:57] 国巨只要呢
[07:58] 法人的卖压
[07:58] 如果呢
[07:59] 慢慢的
[08:00] 告一个段落的话
[08:01] 可能其实那个机会就来
[08:02] 那同样的道理
[08:03] 其实我最近也在观察
[08:04] 是说
[08:05] 载板里面的南电跟新兴
[08:07] 对
[08:07] 新兴比较弱一点
[08:08] 这两者之间来讲的话呢
[08:10] 预估2027年EPS
[08:11] 应该是在
[08:12] 伯仲之间
[08:13] 各家法人预估
[08:14] 可能会略有差异
[08:16] 但是应该基本上
[08:17] 都是在30块钱以上
[08:18] 那伯仲之间
[08:20] 所以其实如果就
[08:22] 价差关系来看的话
[08:23] 像5月底的时候
[08:24] 那时候是新兴先创历史新高
[08:26] 记得冲到大概
[08:28] 1120块上下
[08:29] 那时候大概领先南电
[08:31] 有220块
[08:32] 可是现在南电到超车了
[08:35] 这个领先大概有290块钱
[08:37] 所以这等于
[08:38] 经过了一个半月之后
[08:40] 南电直接
[08:41] 就一口气追了500多块钱
[08:42] 所以现在变成说
[08:44] 新兴相对是在
[08:45] 比较被低估的位置了
[08:48] 所以我觉得
[08:49] 如果同样的道理
[08:50] 持股者可以续报南电
[08:52] 等到他真的出现
[08:54] 有一些可能
[08:54] 跌破五日均线
[08:56] 或者说跌破十日均线的
[08:57] 一个讯号出现
[08:58] 但是如果空手的人
[08:59] 我觉得同一套资金
[09:00] 现在与其去追南电
[09:03] 然后去有点
[09:03] 想要拼拼看
[09:05] 明天还有没有新高
[09:06] 倒不如往下去蹲点新兴
[09:08] 我觉得这个报酬风险比
[09:10] 也就是CP值
[09:11] 可能会更好一点
[09:13] 那当然还是要对这个产业
[09:15] 这个领域
[09:16] 觉得它是会持续向上
[09:18] 我觉得这个也蛮重要
[09:19] 其实前几天
[09:20] 载板在跌得稀里哗啦的时候
[09:22] 我觉得大家都会觉得
[09:23] 这么高估值的产业下来
[09:26] 没有什么信心去捡它
[09:28] 但今天上来
[09:29] 我想心情又不一样了
[09:30] 不过也看得出来
[09:32] 我们那时候也有跟大家讲
[09:33] 载板这个事情
[09:34] 它的缺点是
[09:35] 在上半年
[09:36] 事实上它还没有什么
[09:38] 明显的供需缺口
[09:39] 它的缺口是下半年到明年到后年
[09:42] 它会逐步的放大
[09:43] 那因为载板之前
[09:44] 有一波已经扩过场了
[09:46] 所以目前看起来
[09:47] 涨价的幅度
[09:48] 也不能算是很大
[09:49] 所以在短线上
[09:50] 当他们出现
[09:51] 有些质疑
[09:52] 对不对
[09:52] 有些用量会不会
[09:53] 比较那么大
[09:54] 会不会被取代的时候
[09:55] 他们就会跌得
[09:56] 非常的迅速
[09:57] 因为涨很多
[09:57] 但是等到信心恢复的时候
[09:59] 你又会去想
[10:00] 它的缺口会逐年放大
[10:02] 它真的缺
[10:03] 下半年的涨价幅度
[10:04] 比上半年高等等的
[10:05] 这个事情
[10:06] 它又重新回来了
[10:07] 所以它蛮取决在
[10:09] 市场的气氛
[10:10] 这个也必须这么说
[10:11] 好
[10:12] 那我看到有一个讨论
[10:13] 我觉得很有趣
[10:14] 有一个
[10:14] 有一个网友就说
[10:16] 很奇怪
[10:16] 我锁定这个
[10:18] 南电新兴的时候
[10:19] 涨停就是锦硕
[10:20] 我锁定新兴锦硕的时候
[10:22] 涨停就南电
[10:23] 好像真的会这样
[10:26] 要不要包牌好了
[10:27] 这个我也试算过
[10:29] 对
[10:29] 在上半年
[10:30] 前面六个月来讲话
[10:32] 你还试算过
[10:33] 对
[10:33] 就是南电新兴锦硕
[10:35] 外加一个真顶
[10:36] 所谓的宅板四雄
[10:37] 对
[10:38] 每个月来做比较
[10:40] 到底谁最会涨
[10:41] 后来发现几乎每个月都不一样
[10:43] 对不对
[10:43] 但是时间拉长之后
[10:45] 整个半年结算的话
[10:46] 其实是趋近的
[10:47] 所以我觉得如果说
[10:49] 我们没有办法当神的话
[10:53] 有时候就干脆蹲点了
[10:54] 这个观察很厉害
[10:57] 如果每个月四档都不一样
[10:59] 就领头羊都不一样
[11:01] 可是过了半年
[11:02] 结果四档其实绩效差异没有太大
[11:05] 那当然就是找先落后的来蹲
[11:08] 就是如果在刚刚强调
[11:10] 产业前景大家觉得有信任的情况下
[11:12] 蹲点低的感觉上是胜率会高
[11:15] 只是内心上面的压力
[11:17] 自己要承担一下这样
[11:19] 而且转个念
[11:20] 或者说调整一个策略
[11:21] 就我们想表达意思说
[11:23] 载板虽然好像也不多
[11:24] 就四档股票四雄
[11:26] 可是你在每一个小破团
[11:27] 要抓到最会飙的那一档
[11:29] 还蛮难的
[11:30] 那与其挑战这个高空特技
[11:33] 那不如就是说
[11:34] 你在这个地面上去蹲点布局低的
[11:37] 那但是另外一个族群的特性就不一样
[11:39] 像细金园
[11:40] 那更少了 只有三雄合金 環球金跟台聖科這個 哇 為良哥的專門專長那這三檔的屬性又不一樣他們變成說通常有一檔漲停之後
[11:51] 另外兩檔當天都會跟進
[11:54] 像今天又是全部刷漲停了
[11:56] 對 所以這三檔的話
[11:57] 我覺得說實在的話
[11:59] 真的就折你所愛
[12:01] 我覺得倒沒有什麼太大的差異
[12:03] 是 好 這三檔的話
[12:05] 活潑的當然是合金
[12:06] 都有跟大家講
[12:07] 合金是我大概
[12:08] 也是少數
[12:09] 會看到很想要趕快追上去
[12:11] 但到这边我是有点追不上
[12:13] 有点违逆我的交易习惯
[12:14] 事实上我有挂过
[12:15] 合金的涨停板
[12:16] 就那天没有挂到
[12:17] 我就算了
[12:18] 很俗辣
[12:19] 但如果挂到
[12:20] 其实赚不少
[12:21] 可是没有挂到
[12:23] 然后那环球金
[12:24] 当然因为它的价位比较高
[12:26] 可是环球金对我来说
[12:27] 压力就会小一点了
[12:28] 因为环球金它
[12:29] 毕竟是龙头
[12:30] 获利非常的好
[12:31] 台胜科就真的是夹在中间
[12:33] 有时候都忘记有它的存在
[12:35] 甚至都会想到说
[12:37] 那干脆要不要买一下
[12:38] 还比较低的妈妈中美金
[12:40] 中美金融会是一个比较温和的选择
[12:43] 然后也比较稳当
[12:44] 因为它就像是一个
[12:45] 电子股里面的ETF
[12:47] 下面有一大堆的电子小公司
[12:49] 在它的怀抱里面
[12:50] 它的本业当然有一块太阳能
[12:52] 是比较拖累的
[12:53] 可是它的转投资
[12:54] 真的都还蛮争气的
[12:56] 所以也可以考量一下
[12:57] 细金园也是一个很典型的代表
[13:00] 大家还记得前几天
[13:01] 不是有一天什么国巨也打到跌停
[13:03] 华信科也打到跌停
[13:05] 环球金也打到跌停
[13:06] 大家都跌停
[13:07] 那现在怎么又来了
[13:08] 现在矽晶圆环球金又涨停了
[13:10] 就代表
[13:11] 其实涨价升级这个题材
[13:13] 是真的没有灭
[13:14] 只是很牵涉到市场上的筹码
[13:17] 什么时候把它凝聚起来
[13:18] 这个就比较难抓
[13:20] 所以我觉得魏良讲的
[13:21] 用蹲点的方式是蛮好的
[13:23] 就是如果长期或中期下来
[13:26] 绩效差不多
[13:27] 那就只是等大家在点火
[13:29] 那你就与其
[13:30] 人家点火你才冲上去
[13:32] 不如在那边坐着等人家点火
[13:34] 大概是这样一个情形
[13:35] 其实刚刚已经聊到
[13:37] 包括像记忆体
[13:39] 被动元件
[13:39] 载板细金源
[13:41] 这四个都是涨价产业
[13:42] 而且我觉得
[13:43] 都是比较有法人在关注
[13:46] 对对对
[13:46] 不管是说有券商
[13:48] 内外之券商
[13:49] 写研究报告去追踪
[13:50] 或者是说呢
[13:51] 有像投信呢
[13:52] 这些大法人的买盘
[13:54] 实际上进驻的
[13:55] 但是如果说再进一步
[13:56] 再拉出像什么
[13:58] 公率元件啊
[13:59] 实营元件
[13:59] 同样呢
[14:00] 他们可能也都有涨价新闻
[14:01] 不过不晓得
[14:02] 大家有没有观察或发现到
[14:03] 相对来看
[14:05] 就是法人报告可能比较少
[14:07] 剩货是没有
[14:08] 那同样的
[14:09] 投信的买盘也比较少
[14:11] 比较零星
[14:12] 所以我觉得其实
[14:13] 这对于同样
[14:14] 是贴上涨价标签产业来讲
[14:17] 那个未来可能
[14:18] 它的不管是涨价的爆发力
[14:20] 或者是续航力是不一样的
[14:22] 因为其实现在
[14:23] 真的要讲到说
[14:24] 几乎产品全部的品相
[14:27] 或规格都有在涨的
[14:28] 大概就是刚刚讲的
[14:30] 这几个产业
[14:31] 像被动元件
[14:32] 其实从电容电阻电感
[14:33] 都有涨
[14:34] 当然高阶的部分是涨更多
[14:35] 那记忆体也是一样
[14:37] 几乎各规格都有在做一个调涨
[14:40] 可是像石英元件或工历元件
[14:42] 它不是没有涨价
[14:43] 但第一个就是它是成本推升为主
[14:47] 所以这种压力其实是比较大的
[14:49] 因为成本让整个营运上面
[14:53] 面对到就是有点苦不堪言
[14:55] 必须要去进一步调涨的时候
[14:57] 它有可能会进一步在抑制在需求
[14:59] 那第二个就是
[15:00] 他们的调涨
[15:02] 其实只有针对少部分规格产品
[15:05] 那大部分其实他们的
[15:06] 营运的结构比重来看的话
[15:08] 还是消费性电子产品的比重多
[15:10] 所以其实有一部分的产品涨价
[15:13] 可是其他部分可能正在叠价
[15:15] 或者是还在去库存
[15:17] 那这整体其实
[15:18] 你正跟负两个力量一抵消之后
[15:20] 我觉得其实
[15:22] 有可能会有涨价一时的题材
[15:25] 但是那个续航力
[15:27] 确实是必须要稍微打点折扣
[15:30] 法兰可能比较会琢磨在
[15:33] 公立原件就是强茂
[15:35] 对不对
[15:35] 台办
[15:36] 强茂还比较会常出来讲
[15:38] 所以他们可能会比较多强茂的资料
[15:40] 然后台办
[15:41] 然后可能最近大家觉得
[15:42] 最夯的像是富鼎
[15:43] 可是其实富鼎
[15:44] 他没有很透明
[15:46] 富鼎的资料不是很好问
[15:48] 他后面有两个富爸爸
[15:49] 当然大家就觉得
[15:50] 这个更加的青睐
[15:51] 鸿海跟国巨集团
[15:53] 两个富爸爸在后面
[15:54] 可是因为公立原件
[15:57] 也不知为何
[15:58] 比较会出来讲的就是那几家
[16:00] 那就像威良讲的
[16:02] 因为他们整体的产值
[16:03] 没有到很大
[16:04] 所以法人比较不会
[16:05] 是把他们放在第一线
[16:06] 尤其是像现在
[16:07] 有很多的主被动ETF
[16:09] 其实他们的规模
[16:10] 都已经涨到超级大了
[16:11] 现在已经不是
[16:12] 以前那个基金
[16:13] 过100亿
[16:14] 就是叫做旗舰型基金的时候了
[16:16] 现在ETF没有1000亿
[16:17] 已经不能算是大型ETF了
[16:20] 所以这样的规模
[16:21] 他们势必也得找
[16:23] 整体的市值产值
[16:25] 比较大的领域
[16:26] 当然载板比较特别
[16:28] 因为我觉得载板
[16:29] 是狭带着未来的想象性高
[16:31] 还有AI纯度高的这件事情
[16:33] 而它也包裹在所谓的PCB里面
[16:36] 如果今天包裹在PCB里面
[16:38] 它就会是一个法人重视的产业
[16:40] 因为它的产值绝对够大
[16:43] 那在原件里面
[16:44] 当然被动原件应该也算是
[16:46] 或者是说像在IC设计
[16:49] 如果包进来的话
[16:50] 像电源类的IC
[16:51] 包括有一些
[16:53] 不管是切近AI的
[16:54] 做这个可以跟TPU
[16:56] 或者是做到那个所谓IP
[16:58] 跟AI高度比较相关的
[17:00] 可能也会是法人特别喜欢的
[17:02] 但如果说
[17:03] 它真的是非常focus
[17:04] 在消费性市场的
[17:06] 只是好像有一点转型
[17:08] 有一点点沾到AI的
[17:09] 可能就不会是大家
[17:10] 最优先考量的产业
[17:12] 那有时候你会说
[17:13] 可是他们长得很凶啊
[17:15] 好像MCU也长得很凶
[17:17] 它比较像是内资盘
[17:19] 就是内资主力
[17:20] 可能有一些特定的故事说起来
[17:22] 他们位阶低
[17:22] 就会顺势起来
[17:24] 可是我觉得
[17:24] 大家还是要分辨
[17:26] 如果是跟着主力盘
[17:27] 可能就是短坐
[17:28] 对
[17:29] 如果是法人盘
[17:30] 他就比较有机会
[17:31] 下去后再上来
[17:32] 下去后再上来
[17:33] 甚至屡创新高
[17:34] 还有就是要去比对一下
[17:37] 国际相关指标股的位阶
[17:39] 我觉得像最近就是
[17:41] 为什么刚才像被动元件
[17:43] 也会建议说
[17:44] 不要过度去追高和生堂
[17:46] 虽然看好他
[17:47] 这是当然的
[17:49] 因为目前毕竟就是说
[17:51] 在这个AI伺服器当中
[17:53] 和生堂几乎是独吃了
[17:55] 所谓的NPO MLCC
[17:56] 但是因为国际
[17:58] 国具现在在月线之下
[18:00] 然后呢
[18:00] 日本的春田制造所
[18:02] 就Murata
[18:02] 也是在月线之下
[18:04] 所以我觉得
[18:05] 在月线之上
[18:06] 然后创新高的
[18:07] 变成说
[18:08] 它有点跑在前面了
[18:10] 那这个其实
[18:11] 万一其他的大厂
[18:12] 没有跟上来的话
[18:13] 这个压力就大了
[18:14] 所以所谓的比价就是这样
[18:16] 要么就是呢
[18:17] 在原地等
[18:18] 等其他大厂跟上来
[18:20] 要么就是呢
[18:21] 去做拉回修正
[18:22] 对所以
[18:23] 追高的风险
[18:24] 在最近的盘
[18:24] 我觉得是特别重要
[18:26] 好
[18:26] 我想最近
[18:27] 追高的人
[18:29] 应该会有吗
[18:30] 这几天我有聊到是
[18:32] 如果最近看到盘上去
[18:33] 才去追的朋友
[18:34] 这段期间
[18:35] 就会面临到两个情况
[18:37] 一个应该大部分
[18:38] 都有套牢的问题
[18:39] 第一个你会发现
[18:41] 你只要追的几乎大部分
[18:43] 一个回档下来
[18:44] 都回档的蛮生
[18:45] 第二是
[18:45] 想要捡的朋友
[18:47] 也会遇到一个问题
[18:47] 没有钱了
[18:49] 钱不够了
[18:49] 钱加完了
[18:50] 我最近真的收到
[18:52] 蛮多朋友
[18:52] 是讲到钱加完了
[18:53] 为什么
[18:54] 因为之前只要一破月线
[18:56] 整理个两三天
[18:57] 随即上去
[18:58] 甚至创高
[18:59] 尤其是热门族群刚刚讲到的
[19:01] 贝龙运在好的时候
[19:02] 你就算没有买到新商店
[19:04] 没有买到金山店
[19:05] 你去买到日电帽
[19:06] 你去买到甚至比较慢一点的台青科
[19:09] 其实你都会赚钱
[19:10] 所以那个时候就会觉得没有关系
[19:12] 你没有买到所住的
[19:13] 你买没所住的
[19:14] 你没有买到被关的
[19:15] 你买没被关的
[19:16] 然后反正破完月线
[19:18] 有稍微修正
[19:19] 它就会再上去
[19:20] 但是这一次有点不一样
[19:22] 这一次就是破完月线
[19:23] 上去又下来破月线
[19:25] 所以就会有那种
[19:27] 那现在还要再加吗
[19:28] 开始产生了怀疑
[19:29] 那如果再加
[19:30] 已经没有钱了
[19:31] 如果明天再叠
[19:32] 感受变得很差
[19:33] 最近有一点这样的情形
[19:35] 可是必须跟大家分享
[19:36] 其实盘整就是整理
[19:39] 它往往应该是股市的常态
[19:41] 是我们这一年太变态
[19:44] 这个真的要有一点
[19:46] 要有一点怎么讲
[19:47] 股市经验就知道
[19:48] 其实股市盘整就算两三个月
[19:51] 对啊
[19:52] 都是正常的
[19:53] 可是我们已经一两年来
[19:55] 都一直习惯
[19:56] 就是下来就上去
[19:58] 下来就上去的
[19:58] 没错
[19:59] 这个就让我想起就是
[20:00] 我自己在1999到2000年那一段
[20:03] 网路科技高速发展
[20:06] 那个时候其实
[20:07] 我就是被多头行情惯坏的
[20:11] 因为那时候其实
[20:12] 很容易形成一个惯性思考
[20:14] 拉回就是买
[20:15] 拉回就是买
[20:16] 那反正呢
[20:17] 只要跌了
[20:17] 后面很快都会再创新高
[20:19] 所以每一次呢
[20:20] 就是只要拉回
[20:21] 你就是买进强势股
[20:23] 那甚至
[20:24] 当他创新高的时候呢
[20:25] 心里面总是又会后悔说
[20:26] 上一次买的不够多
[20:27] 这一次应该把握机会买更多
[20:29] 那一旦呢
[20:30] 这个想当然了
[20:32] 你如果说不断不断地去强化这种信念
[20:35] 或者说把这样的一个操作模式
[20:36] 变成是一个常态性的习惯的时候
[20:38] 那最可怕的就是
[20:40] 你会在股市最高点的时候
[20:42] 你的持有的部位会最大
[20:44] 所以只要呢
[20:45] 那个最后一次泡沫破灭
[20:47] 或者摔下去的时候
[20:48] 为什么常常有很多
[20:50] 不管是包括当时的我自己
[20:52] 或者说身边的朋友
[20:54] 那还有就是自己的一些长辈
[20:56] 还有后来我的客户
[20:58] 我发现很多人常常都是在多头市场
[21:00] 走了三年走了五年
[21:02] 大家都赚很多钱
[21:03] 但是后来空头市场
[21:05] 可能半年就会一次全部吐回
[21:08] 甚至变倒赔
[21:08] 那我觉得这种思维是比较可怕的
[21:11] 所以其实现在赵华就是
[21:13] 趁早提醒大家
[21:14] 我觉得他很好
[21:15] 现在当然目前看起来
[21:16] 还不是说多头要结束
[21:17] 只是说就是第二季的这种行情
[21:20] 也有可能会让一些股市的
[21:22] 比较新的朋友
[21:23] 有一点觉得说赚钱真的就是这么样的容易
[21:28] 其实获利的曲线
[21:30] 从来不会是一条直线
[21:31] 对
[21:32] 你不能用四月
[21:33] 或者说整个第二季的这个单月
[21:36] 或单季的报酬率
[21:37] 把它年化
[21:37] 乘以十二或乘以四
[21:39] 一年应该要赚这么多
[21:41] 我记得上次我有客户跟我讲
[21:42] 他大概七十几岁
[21:43] 他是一个室内设计公司的负责人
[21:46] 看得出来就是讲话很温吞
[21:48] 他也说他的投资经验不多
[21:51] 非常非常保守
[21:52] 所以他希望他大概就是
[21:54] 一个月获利30%就好
[21:56] 我差点从椅子上摔下去
[21:57] 他想说我非常保守
[22:00] 我只要一个月只要30%就好
[22:02] 我想告诉他
[22:04] 巴菲特常年的年化报酬率
[22:06] 其实只有19%多
[22:07] 好 到底是真的还是假的
[22:10] 说他的心情啊
[22:11] 是因为真的不了解股市
[22:13] 我觉得他真的不了解
[22:14] 因为以前都没有在做股票
[22:16] 就是资金蛮多的
[22:17] 只是如果他那么单纯觉得
[22:18] 一个月就可以赚30%
[22:20] 应该早就来投入啦
[22:21] 就是大概这半年一年
[22:23] 可能看到这个行情的疯狂
[22:25] 那以前因为资金多
[22:26] 所以都做非常保守的投资配置
[22:29] 包括以定存为主
[22:30] 对啊
[22:31] 所以怎么会有这个想象
[22:32] 不过说实话
[22:33] 世界很大
[22:34] 对
[22:34] 就是大家的想法
[22:36] 有时候确实
[22:37] 我会觉得有一点厉害
[22:40] 对
[22:41] 因为我们很常接触到
[22:44] 投资朋友嘛
[22:45] 或是听众或是观众
[22:46] 大部分其实我觉得
[22:48] 在这个节目
[22:48] 那么长期的经营下
[22:50] 我得到非常多
[22:51] 甚至等一下我们聊完
[22:52] 也可以再来念一下留言
[22:54] 我收到非常多好的回馈
[22:55] 但是也会有
[22:56] 让我有点
[22:57] 算是啼笑皆非吗
[22:59] 或者是说
