[00:00] 歡迎收聽趙華語古貨載第1030集
[02:02] 川普提名的聯準會新主席
[02:06] 華許先生
[02:07] 這個人是怎麼了嗎
[02:09] 還是黃金白銀有出現了
[02:12] 被調高保證金
[02:13] 怎麼了嗎
[02:14] 或者是我們講到說
[02:17] 單純的年前
[02:18] 如果以臺股來說
[02:19] 誒 秉總要退場了
[02:21] 資金要退場了
[02:22] 會瞬間退場嗎
[02:24] 好 這些事情
[02:25] 我們都可以好好來討論
[02:26] 以及華人訊在臺灣
[02:28] 結果人家問到OpenAI的事情
[02:29] 卻傳出了一個
[02:31] 那個1000億美元
[02:32] 並不是一個正式的承諾
[02:35] 我這嚇呆大家了
[02:36] 因為這個是AI永動機裡面
[02:39] 唯一一個真金白銀
[02:41] 拿出來的火種
[02:42] 如果這個1000億美元
[02:44] 沒有投下去
[02:44] 那後面一掛的
[02:46] 不管是用選擇權交易
[02:47] 投資交易
[02:48] 未來承諾的訂單
[02:49] 可能都泡沫
[02:50] 可能都泡沫
[02:51] 所以今天有很多的事情
[02:53] 要來討論
[02:54] 而這些事情
[02:55] 也像我們講的
[02:56] 當股市在跌的時候
[02:57] 你就會看到各種
[02:59] 不管是黑天鵝也好
[03:00] 各種恐懼的家總也好
[03:02] 突然的利多多變利空也好
[03:04] 可是要怎麼判別
[03:05] 先來歡迎今天來賓我的好姐妹
[03:07] 今天來的是統一頭顧的廖婉婷總經理
[03:10] 嗨 趙華各位觀眾朋友大家好
[03:12] 所以婉婷來今天就要解釋這麼多事情
[03:16] 不只是
[03:17] 超級多
[03:17] 不只是PCB女王了
[03:19] 就變成所有的事情都要講
[03:21] 好 我們先從哪一條講呢
[03:23] 是從聯準會主席
[03:24] 是或許怎麼了嗎
[03:25] 還是說黃金白銀
[03:27] 是因為保證金
[03:28] 到底哪一件事情
[03:29] 引發了這兩三天
[03:30] 原物料比特幣股市都在跌
[03:32] 我覺得保證金交易
[03:34] 這件事情影響比較大
[03:35] 真的
[03:36] 對 但是因為大家會嚇到
[03:38] 然後會搞不清楚
[03:39] 因為剛好WASH
[03:40] 就是聯合中會主席
[03:41] 這個又剛好宣佈
[03:42] 然後它市場對它的解讀
[03:44] 又比較偏硬
[03:45] 然後所以變成兩件事
[03:46] 加一起大家就嚇死了
[03:48] 但是偏硬這件事
[03:49] 我們剛才也有討論
[03:50] 就是川普非常明白的
[03:52] 跟WASH講說
[03:52] 你如果不好好執行降息
[03:55] 會把你抓去關
[03:56] 然後就是講一些很粗暴的
[03:57] 而且照理來說
[03:58] 可以得到他歡心的
[03:59] 肯定是在未來降息政策上
[04:01] 跟他一致的嘛
[04:02] 對
[04:02] 所以如果提高保證金
[04:04] 可能他就是
[04:05] 對於那些漲多的資產
[04:06] 真的有壓力
[04:07] 就像我一直印象很深
[04:09] 貨櫃行業那一次的破滅
[04:10] 就是在起交所
[04:12] 連續提高保證金到
[04:13] 你用股票的融資去買
[04:15] 都跟期貨去買
[04:17] 要壓的錢是一樣的的時候
[04:19] 他就崩盤了
[04:20] 因為我沒有必要扛
[04:21] 這麼大的這個風險波動
[04:23] 對
[04:24] 所以大家就會平倉
[04:25] 那反向平倉的時候
[04:27] 本來就會讓價格出現非常異常的波動
[04:29] 然後就會非常的擁擠
[04:31] 而且其實一月份
[04:33] 這個黃金白銀漲超級多的
[04:35] 所以這個擁擠交易
[04:37] 本來在反向了結的時候
[04:39] 都是很恐怖的
[04:40] 然後再來就是講
[04:43] 這個Fed主席Wash的這個狀況
[04:45] 因為他過去的經驗
[04:48] 是他不希望就是過度的干預市場
[04:50] 然後在這個金融海嘯後
[04:54] 2008年之後
[04:55] Fed就一直用QE
[04:56] 就用量化寬鬆
[04:58] 然後導致市場前資金氾濫
[05:00] 然後資金氾濫之後
[05:02] 大家已經習慣了
[05:03] 就是鴉片科上癮了
[05:05] 就很習慣了
[05:06] 所以總是會認為Fed就會大放水
[05:10] 可是其實川普政府上任之後
[05:12] 他就希望可以透過放鬆監管
[05:15] 然後把市場資金做一些回收
[05:18] 然後這個市場資金可以導到
[05:20] 真正讓可能讓銀行端
[05:23] 而不是央行端來
[05:24] 讓這個市場機制
[05:26] 回到一個比較正向的狀態
[05:27] 所以我們會比較解讀說
[05:30] 哇許他的政策呢
[05:31] 他可能不會像過去的
[05:33] 這個FED一樣
[05:34] 這麼撒錢QE
[05:36] 他反而會做這個去
[05:38] 資產負債表去的這個動作
[05:40] 可是他可能不會這麼快
[05:41] 他沒有必要一定要
[05:42] 一上任就做這件事情
[05:44] 可是大家好像解讀了
[05:45] 他一上任就會說資產負債表
[05:47] 所以就開始擔心流動性問題
[05:50] 那因為你如果擔心市場流動性不夠
[05:52] 你就會趕快把你買的所有商品全部獲利了結
[05:55] 不論股市債市還是金屬原物料價格
[06:00] 所以所有的價格你都看到都有被賣的狀況
[06:03] 股市就跌了
[06:04] 然後黃金白銀跌了
[06:06] 然後債券的話是直率反彈
[06:09] 直率彈升
[06:10] 其實就等於是債券被賣掉
[06:12] 對所有的大家就趕快把錢拿回口袋
[06:14] 因為害怕
[06:15] 那可是呢
[06:17] 實際上其實川普政府一直在講說
[06:20] 他想要放鬆監管
[06:21] 然後呢
[06:22] 剛好跟這個WASH的做法是有點像的
[06:25] 所以他如果把這個政策換成是
[06:29] 就是讓未來買債
[06:31] 不是透過QE
[06:33] 就是政府
[06:33] 不是透過FED去買債
[06:35] 而是讓銀行
[06:36] 就是可以更多的錢去買債的話
[06:39] 那實際上他就是把水管疏通了
[06:43] 對那水管疏通的話
[06:46] 其實像銀行
[06:47] 我如果買了更多債
[06:48] 其實我如果可以做一些
[06:49] 商品包裝
[06:52] 其實反而會讓貨幣是乘數效果出來
[06:55] 以前費的NISA QE去買債
[06:58] 你的乘數效果只有1
[06:59] 可是如果你是銀行去買債的話
[07:01] 你這樣滾了
[07:02] 再包裝成商品再賣再滾
[07:04] 它可以讓市場機制更活絡
[07:06] 然後貨幣乘數更高
[07:08] 所以反而最後市場上的錢
[07:10] 可能會更充裕
[07:11] 對
[07:12] 但是這個過渡的中間的調整期
[07:14] 就是為什麼現在大家會看到這些波動
[07:16] 就是一個調整
[07:18] 它是一個調整
[07:20] 可能是一個挑戰
[07:21] 對
[07:21] 而且它會源自於
[07:22] 對川普還是不見得這麼信任
[07:25] 可是反過來說
[07:26] 我自己是從一開始
[07:28] 應該他從上任開始
[07:30] 其實他鬧出了很多的事情
[07:31] 我必須講
[07:32] 因為他的終究希望
[07:33] 就是美股上漲
[07:34] 而且美債也不跌
[07:36] 他為什麼要這樣洗
[07:38] 當然很快
[07:39] 很大的一部分
[07:39] 就是要穩住美債的價格
[07:41] 然後他做的剛剛講的
[07:42] 婉婷講的
[07:43] 說讓銀行更去包裝一些
[07:45] 債券的資產來販售
[07:46] 然後有成熟效應
[07:48] 它一樣也是在讓債券市場
[07:50] 要趨於更穩定更好
[07:52] 就是這件事情
[07:53] 是我一直看到
[07:54] 而覺得肯定的
[07:55] 但大家可能看到
[07:56] 就是大家不爽
[07:57] 川普說會拋售美債
[07:58] 美債就變成不信任資產
[08:00] 美元也一樣
[08:00] 但這個不是川普要的
[08:02] 對 沒錯
[08:03] 所以我覺得這樣的核心思想
[08:05] 如果大家沒有的時候
[08:06] 大家就會對各資產的走勢
[08:08] 產生嚴重的不信任
[08:10] 或是不確定
[08:11] 但是我也知道
[08:12] 要有這樣子的核心思想
[08:13] 並不容易
[08:14] 所以我覺得
[08:15] 我們就是跟他講
[08:16] 是這樣
[08:17] 但是中間的波動
[08:19] 不見得大家能夠忍耐
[08:20] 但現在的波動
[08:22] 很多人就剛剛講了嘛
[08:23] 本來之前
[08:24] 臺股得了不會跌的病
[08:26] 黃金成為世界上
[08:27] 漲最快的
[08:28] 當然白銀
[08:28] 漲得比黃金還快
[08:29] 所以隨時買隨時賺
[08:31] 我還記得上個禮拜
[08:32] 就一堆開始黃金的亂象
[08:34] 去這個搶黃金
[08:36] 去這個實體店
[08:37] 大家排隊要買
[08:38] 當然也有人排隊
[08:39] 想說高檔要賣掉
[08:40] 亂成一團這樣子
[08:42] 那現在就開始
[08:43] 大家就在問了
[08:44] 那這樣子
[08:46] 這樣白銀一下子打六折
[08:47] 可以買嗎
[08:48] 因為賣也來不及了
[08:50] 說真的
[08:50] 因為一月的漲幅全部吐掉了
[08:53] 對
[08:53] 好那臺股現在到月線
[08:55] 是一個可以止跌嗎
[08:57] 我怎麼覺得
[08:57] 好像會跌個四五千點
[08:59] 已經開始有這樣子的言論
[09:01] 又跑出來
[09:01] 都是這樣
[09:02] 漲的時候無敵樂觀
[09:03] 跌的時候無敵悲觀
[09:04] 對
[09:04] 我上禮拜一直被問
[09:06] 什麼時候要上修
[09:07] 對
[09:08] 什麼時候要上修
[09:09] 然後現在
[09:09] 是不是隨時可以進場
[09:11] 對
[09:11] 然後現在開始問
[09:14] 什麼時候要止跌
[09:15] 幸好你沒上修
[09:17] 別人有上修
[09:18] 現在我今天有問婉婷說
[09:20] 人家上修到三萬九
[09:21] 你們嘞
[09:21] 她就說再觀察一下
[09:23] 對啊
[09:24] 因為其實不用急嘛
[09:25] 而且離我們之前目標
[09:26] 三四九八八
[09:27] 還有一些空間
[09:28] 然後因為我們投股
[09:29] 本來就抓這個一月底
[09:31] 這邊可能會有一些波動
[09:32] 對
[09:33] 本來上次你來又提到啊
[09:35] 對
[09:35] 好幾個綜合因素嘛
[09:37] 就是我們自己臺股
[09:37] 有農曆年前資金會收回的因素
[09:40] 對 貧種結賬
[09:41] 然後還有美國政府
[09:42] 其實要關門的問題
[09:44] 對
[09:44] 雖然這件事情
[09:45] 現在看起來沒有
[09:46] 好像應該不會關門了
[09:47] 對
[09:48] 但是又創造了新的問題
[09:49] 就是新任的聯準會主席
[09:51] 大家摸不清楚底細
[09:52] 對
[09:53] 其實
[09:53] 其實他過去的
[09:55] 的這個
[09:55] 發言
[09:56] 看起來是
[09:58] 是跟川普
[09:59] 我們認為
[10:00] 大家慢慢看清楚了之後
[10:01] 就會知道說
[10:02] 其實是安全的
[10:03] 他有一點點是短空長度
[10:05] 然後再來就是
[10:07] 我們在等待他發言
[10:09] 因為目前為止
[10:09] 他還沒有發言
[10:10] 所以他還沒表態的情況
[10:12] 大家會有點害怕
[10:13] 大家就已經慌成這樣
[10:14] 對
[10:14] 可是也許他一發言
[10:16] 就會是一個安撫市場明星的時間點
[10:19] 對
[10:19] 所以我覺得可以抓一下
[10:20] 他發言的時間
[10:21] 然後再來就是
[10:23] 其實年後啦
[10:25] 有很多事情
[10:26] 包括GTC大會
[10:27] Amedia GTC
[10:29] 然後Amedia財報
[10:30] MWC展
[10:31] 然後甚至就是FOMC會議嘛
[10:33] 那FOMC會議下一次三月份
[10:35] 這邊其實就可以定謀
[10:36] 告訴大家說
[10:38] 我們擔心過頭了
[10:39] 然後四月份又臺積電法說
[10:41] 所以實際上三四月份
[10:43] 其實還是有蠻多可以
[10:44] 讓大家知道景氣跟經濟狀況
[10:47] 其實是好的事件
[10:48] 那這個時間點
[10:50] 我們會比較認為
[10:51] 就是過年前的結賬
[10:54] 加上管理過大
[10:56] 本來就需要修正
[10:57] 然後摸不清楚的時候
[10:58] 你就會退場
[10:59] 觀望一下
[11:00] 還有一件事情
[11:01] 是我覺得比較短的
[11:02] 就是以前我們不會在乎月結賬
[11:05] 對
[11:06] 但是因為一月真的漲太多
[11:07] 不論任何交易單位
[11:09] 因為你知道法人的交易
[11:11] 是會有就是越停損
[11:14] 所以當我一月賺這麼多的時候
[11:16] 我就會思考說
[11:17] 我二月要不要報這種部位
[11:19] 過長假
[11:20] 對
[11:21] 然後把我一月如果獲利
[11:22] 吐回去之類的
[11:23] 對而且我二月
[11:24] 你好像我二月一號
[11:26] 今天第一天就跌這麼多
[11:27] 我可能如果我在一月底之前
[11:29] 我沒有做降持股的話
[11:31] 實際上我有可能
[11:33] 我一月大賺
[11:34] 但我二月會被停權
[11:35] 停權是被關門
[11:37] 被罰站那不能動的
[11:38] 對那種感受很差
[11:40] 所以為什麼上禮拜四五
[11:42] 其實我們就有看到一些
[11:43] 籌碼獲利了結的動作
[11:44] 其實跟這個法人結賬有關
[11:47] 所以這邊本來就會遇到
[11:49] 除了兵種結賬之外
[11:50] 法人也會因為一月賺太多
[11:52] 而二月乾脆不做的這種狀態
[11:54] 所以這個籌碼一定就會變得很凌亂
[11:56] 那法人賣掉誰買走
[11:58] 可能就是我們廣大的股民朋友
[12:02] 對所以這個籌碼凌亂本身
[12:04] 就需要再花點時間去做整理
[12:06] 像上禮拜我有跟大家分享說
[12:08] 有一些公司漲到
[12:10] 不管你是因為聽名牌有賺錢
[12:12] 或是它已經達到你的獲利率
[12:13] 不要那麼的覺得捨不得
[12:15] 對我也有賣飛啊
[12:16] 我上禮拜不是跟大家講說
[12:18] 因為那時候我看金融電300
[12:19] 我就賣嘛
[12:20] 然後後來就想說
[12:21] 外資看400算了後面100給人家賺但今天你就會覺得還好好這個當然是事後論但我賣掉的時候有手跟大家分享而且剛賣掉手是賣飛的對 所以飛走的時候你一定感受是蛤 真的耶
[12:33] 這個行情根本就沒有下來
[12:35] 可是如果你有這樣的停利機制
[12:37] 當遇到這樣風浪的時候
[12:38] 你就會再一次的想
[12:40] 對啊 還是要停利
[12:41] 那當然你要更訓練自己
[12:43] 是假如它真的漲到四百
[12:44] 啊 沒有關係啊 算了啦
[12:45] 對 然後最近很多人問我緊述
[12:48] 是因為我常常把頑停的話
[12:49] 拿出來講
[12:49] 可是我也必須講哦
[12:51] 因為大家知道
[12:52] 長期聽股貨載的朋友
[12:53] 我僅說建立的持股
[12:54] 是在兩位數
[12:56] 就是92到100塊之間
[12:57] 所以它在200多塊震盪
[12:59] 我是覺得可以承受
[13:02] 可是如果大家是200塊以上
[13:03] 進來買
[13:04] 你看它那個走勢
[13:05] 你真的心臟是很受不了
[13:06] 不是跌停
[13:07] 就是快漲停
[13:08] 不然它快漲停
[13:09] 又變快跌停
[13:10] 所以它都跟大家
[13:11] 買的位階有關係
[13:13] 像我們最近
[13:14] 常常被大家探討到說
[13:16] 你要不要報股過年
[13:17] 其實我覺得
[13:18] 像如果我跟婉婷
[13:19] 或者是其他的達人們好了
[13:21] 當然有的人是不能買股票的
[13:22] 舉例舉例
[13:23] 如果是已經把手上的資金
[13:25] 都配置在自己理解的商品
[13:27] 以及是合理的
[13:28] 自己覺得的成本價的話
[13:30] 有沒有報股過年
[13:31] 根本不重要
[13:32] 因為他要買要進出
[13:35] 完全是取決於這個商品
[13:36] 他到底是不是現在夠便宜
[13:38] 或他是不是該停利或停順
[13:39] 還是按照這個
[13:40] 對
[13:41] 對我來說不會有那一種
[13:43] 因為我要過年了
[13:44] 所以我就賣
[13:45] 可是對於
[13:46] 秉總大戶
[13:47] 還有剛剛講到的法人自營
[13:49] 等等的
[13:50] 投信大概也沒辦法啦
[13:52] 對
[13:52] 但是自營就有可能
[13:53] 說我一月賺這麼多耶
[13:55] 我何必在二月博這個風險
[13:57] 所以上週四五
[13:58] 很多人有傳訊息問我說
[14:00] 尾盤為什麼都有人在調節
[14:02] 我說那當然有大戶覺得
[14:03] 他要先離場啊
[14:04] 不跟你玩到最後一刻啊
[14:06] 所以這才是
[14:07] 我們可能是小股民在風浪中
[14:09] 要自己為自己資產做打算的話
[14:12] 要理解法人的思維啦
[14:14] 對
[14:15] 那如果大家手上是
[14:16] 自己很理解的資產
[14:18] 也配得好好的
[14:19] 那確實不用因為
[14:20] 長假來
[14:21] 反而在今天
[14:22] 跌到月限
[14:23] 或是你本來就喜歡
[14:24] 黃金白銀
[14:25] 結果跌那麼多
[14:26] 確實你要去思考
[14:27] 你要不要這個時候
[14:27] 建立一點基本的
[14:29] 因為這個基本的
[14:30] 已經比一個月前
[14:31] 便宜了嘛
[14:32] 對
[14:32] 跌到月限嘛
[14:33] 一個月的平均價來了嘛
[14:35] 對
[14:35] 那當然這邊
[14:36] 還有另外一個事情
[14:37] 就是華雲區這次來臺灣
[14:38] 反而沒有造成
[14:39] 旋風
[14:40] 有沒有
[14:41] 趙元燕什麼
[14:42] 沒有紅雞友啦
[14:43] 但是其他的都還好之外
[14:45] 例如說人家問他說
[14:46] 請問你跟群聯合作的心得
[14:48] 他說誰
[14:48] 誰
[14:49] 然後我看
[14:50] 大家就覺得
[14:51] 本圖一直傳
[14:52] 對
[14:52] 然後就會覺得說
[14:53] 那剛好機體
[14:54] 今天又全數回檔
[14:56] 又打到跌停
[14:57] 三星海力士
[14:57] 包括上禮拜五的美光
[14:59] 也是跌
[14:59] 所以大家對機體
[15:01] 這種又愛又恨
[15:01] 跌停好像去撿
[15:03] 又會再創高
[15:03] 可是今天這樣
[15:04] 大家又覺得
[15:05] 好像玩完了
[15:06] 好那中間還有一個就是
[15:08] OpenAI
[15:08] 本來NVIDIA
[15:10] 說要投一千億美元
[15:11] 就黃軒又說
[15:11] 這個事情是還沒有定案
[15:13] 並不是一個承諾
[15:14] 對
[15:14] 那可是這次又有點嚴重了
[15:17] 對啊
[15:17] 有動機
[15:18] 那怎麼辦
[15:19] 害怕
[15:19] 這個事情我們要怎麼來嚴肅一點
[15:21] 因為上個禮拜微軟會跌
[15:23] 就是跌他們的資本支出大
[15:25] 可是回收的讓大家覺得太慢了
[15:27] 我覺得CSP
[15:30] 它其實有一些會跑得快跑得慢
[15:32] 然後我們其實可以看一下
[15:34] 那個AI大圓模型
[15:35] 現在比較好的實際上是Google Gemini
[15:38] OpenAI其實確實GPT是不錯
[15:40] 但是它的收線
[15:42] 或者是它的這個覆蓋度
[15:45] 確實沒有像Google這麼強
[15:47] 然後Google最近從Gemini 3上了之後
[15:50] 它一直在打價格戰
[15:51] 就讓這個Church GPT一直節節敗退
[15:55] 所以OpenAI確實會蠻有壓力的
[15:58] 然後它有東西又牽扯到
[16:00] 包括NVIDIA
[16:00] 包括Oracle
[16:01] 然後還有AMD
[16:04] 然後甚至可能有一些品牌廠像Dell
[16:06] 可能等等都會有受到影響
[16:08] 所以確實我覺得短時間內
[16:11] 大家會對於AI的資本支出
[16:14] 或者是成長性會有一些質疑
[16:17] 這個是短期
[16:19] 我覺得可能沒有辦法
[16:20] 這個每一次在財報季後
[16:22] 我覺得都會來一次這個校正
[16:24] 如果你是先保守預期
[16:28] 然後CSP的這個資本支出很樂觀
[16:31] 所以你就會很嗨
[16:31] 那但是這一次是CSP
[16:34] 全部都很嗨的資本支出
[16:35] 大家就會反而過度的在乎風險
[16:38] 對我覺得這是好事
[16:40] 然後OpenAI這件事情
[16:44] 我其實確實會有點擔心
[16:47] 會有點謹慎
[16:48] 對可是因為我自己抓今年的
[16:50] 這個就是AI基礎建設這一塊
[16:54] 本來就不是全部仰賴
[16:56] 大元模型這些廠商像CSP
[16:58] 因為還有這個主權AI的建制
[17:01] 那主權AI的建制
[17:02] 其實回過頭來
[17:03] 就還是以NVIDIA為主
[17:05] 就包括之前講的
[17:06] 沙烏地阿拉伯歐洲等等
[17:08] 甚至中國自己本身
[17:09] 那這一塊其實還很小
[17:11] 但是今年往明年看會擴大
[17:14] 所以我還是會認為
[17:15] 這邊是漲太多的
[17:16] 這個本益比的修正
[17:18] 那OpenAI扮演的角色
[17:20] 還是很重要
[17:21] 只是它的借款成本
[17:25] 如果再繼續飆高的話
[17:26] 就會讓大家對於
[17:27] 這個信任度就會下降
[17:29] 好 跟大家再溫習一下
[17:31] 因為我剛剛自己也溫習一下
[17:32] 這個永動機的結構是如何
[17:34] 其實最早最早就是NVIDIA
[17:36] 說它要拿1000億美元
[17:37] 投資OpenAI
[17:38] 當時的OpenAI
[17:39] 根本就是當紅炸子雞
[17:41] 就是誰只要沾到OpenAI
[17:43] 聽起來就會是雞犬升天
[17:45] 這個非常的
[17:47] 就本一筆就被拉昇這樣子
[17:49] 可是這是第一筆
[17:51] 真金白銀有提到的
[17:53] 接下來OpenAI
[17:54] 他就說到
[17:55] 他想要去給甲骨文訂單
[17:57] 我記得那個訂單更大
[17:59] 好像是5000億美元還是多少
[18:01] 然後那時候大家開始在計算了
[18:03] OpenAI拿得出這樣的錢嗎
[18:05] 這樣的錢從哪裡來
[18:06] 市場上募資也不可能
[18:07] OpenAI自己也沒有賺錢
[18:09] 有問號
[18:10] 可是當時又還是
[18:12] 我記得甲骨文剛開始財報也沒有那麼差
[18:14] 所以就也加持了甲骨文
[18:17] 然後再來就是AMD
[18:19] 對不對
[18:19] 他就說跟AMD有達成一個協議
[18:21] 如果未來AMD的業績到多少的話
[18:24] 他們會有一些股權上的合作跟交換等等的
[18:26] 可是就完全這根錢拿出來
[18:29] 現金白銀沒有任何關係
[18:31] 所以整筆錢裡面就只有NVIDIA的那一千億
[18:35] 後來就發生了什麼事呢
[18:37] 就開始大家懷疑
[18:38] OpenAI的現金流
[18:39] 有這麼樣的充沛嗎
[18:40] 真的能付嗎
[18:41] 然後發生了甲骨文
[18:42] 他在財報會議上說
[18:43] 他有一筆未來的訂單
[18:45] 幾千億美元
[18:46] 大家就質疑說
[18:47] 可是這個你收得到錢嗎
[18:49] 而你自己的流動現金
[18:50] 看起來並不是很夠
[18:51] 還導致甲骨文的債券是大跌的
[18:54] 因為一度要被
[18:56] 懷疑會被踢出投資的平等
[18:58] 而現在甲骨文又在做大型的裁員
[19:01] 所以這一點段的事情
[19:02] 他從永動機
[19:04] 變成了一個連環套嗎
[19:07] 但另外一方面
[19:08] 本來被黃元勳壓著的馬斯克
[19:11] 他反而最近是很活躍
[19:13] 因為他有提到
[19:14] 就是這個SpaceX
[19:15] 今年年終要IPO
[19:17] 是地球表面上
[19:19] 最大的一件IPO之外
[19:20] 最近今天其實像
[19:22] 聲達科盤中還創歷史新高
[19:23] 就是低軌衛星概念股
[19:25] 今天在盤面上還是厲害的
[19:27] 所以這種此消彼長
[19:28] 真的是投資市場中
[19:30] 很有趣的事情
[19:31] 就是我覺得今年
[19:32] 大家想法很快
[19:33] 跑很快
[19:34] 然後訊息也傳很快
[19:36] 然後技術演變的也好快
[19:38] 然後像馬斯克
[19:40] 他的這個衛星
[19:41] 其實大家都知道
[19:42] 但他居然給你玩一個新的
[19:44] 就是AI搭著衛星上太空
[19:46] 對 太空AI
[19:47] 對 然後他這兩天就喊出說
[19:50] 他要發射百萬顆
[19:52] 對
[19:52] 我今天看到這件事情的時候
[19:54] 我還去確定再看一次
[19:56] 是不是百萬顆
[19:57] 對 因為十萬顆
[19:59] 我覺得我們的地球
[20:00] 天上已經佈滿了衛星了
[20:02] 居然還講百萬顆
[20:04] 你跟我講一樣
[20:04] 我就想說
[20:05] 如果真的有外星人
[20:06] 他會覺得
[20:06] 哇塞
[20:07] 這地球人真的會製造
[20:08] 連垃圾都製造到
[20:10] 太空上面去了
[20:11] 對
[20:12] 因為現在這個
[20:14] 整個AI的機櫃
[20:15] 好像一年也才幾萬櫃
[20:17] 他居然要百萬顆
[20:19] 但這就是馬斯克風格
[20:21] 對
[20:21] 他有可能
[20:22] 把事情看得非常早
[20:24] 也許不會是明年
[20:25] 發射這麼多
[20:26] 可能是未來十年後
[20:27] 對
[20:28] 但是他確實就是
[20:29] 很有遠見
[20:30] 好
[20:32] 所以現在就變成此消彼長
[20:33] 大家現在有點倒向馬斯克這樣的陣營
[20:36] 但當然今天機器人就讓大家有點失望
[20:39] 我們剛才有在討論說
[20:40] 機器人的好光景怎麼才三五天
[20:43] 今天就全體集體重挫
[20:45] 這族群真的比較倒黴
[20:47] 就是馬斯克有講
[20:48] 他其實特斯拉的產線
[20:49] 有一部分要停掉
[20:50] 要來做機器人
[20:52] 本來覺得是很大的加持
[20:53] 而且也要在歐洲首度開賣人形機器人
[20:56] 但就好那麼幾天
[20:57] 今天是全面大回蕩
[20:59] 當然像佳能
[21:00] 加能他要現增
[21:02] 現增價幾滴
[21:03] 就66塊
[21:04] 我覺得影響到他
[21:04] 可是其他的什麼上銀
[21:06] 達明
[21:07] 全部都回的亂七八糟
[21:09] 這個族群真的是有點
[21:10] 有點倒黴
[21:11] 可能今天的盤
[21:14] 我覺得今天就是大小通殺
[21:16] 幾乎
[21:16] 盤面上亮點
[21:18] 其實確實蠻少的
[21:19] 對
[21:19] 除了
[21:21] 不過那個上全漲停
[21:22] 我覺得還蠻意外
[21:23] 今天CPU還算不錯
[21:25] 他不是每一檔都好
[21:26] 也有跌到快跌停板的CPU
[21:28] 但是上全就漲停
[21:29] 我記得他好幾家好像是紅的
[21:31] 或者疊很少
[21:32] 算是相對強的族群
[21:35] 然後另外讓我蠻意外的是散熱
[21:38] 散熱也是紅的
[21:39] 因為那天就說這個0050趙元燕
[21:41] 裡面有齊紅
[21:43] 我覺得這個有點激勵到
[21:45] 因為這個黃仁勳把散熱講下去
[21:47] 結果齊紅參加的時候
[21:49] 大家又覺得散熱應該是沒問題
[21:51] 又起來了
[21:51] 對可能沒有那麼糟
[21:52] 他之前疊太重了
[21:54] 然後外資今天又發了報告
[21:56] 所以重新推升一下
[21:58] 對啊
[21:59] 好那記憶體的部分
[22:00] 你要comment嗎
[22:01] 記憶體哦
[22:02] 很難哦
[22:03] 我每次講到記憶體
[22:04] 我都只能跟大家講
[22:05] 趨勢沒有走完
[22:06] 可是他這樣洗
[22:07] 真的要看大家自己心態如何
[22:10] 沒錯沒錯
[22:11] 對然後因為
[22:11] 其實記憶體
[22:12] 我覺得比較麻煩的就是
[22:14] 有時候庫存
[22:16] 它在哪裡我們不知道
[22:18] 對所以有時候廠商
[22:19] 他囤了庫存
[22:20] 然後需求確實真的在
[22:22] 真的很強
[22:23] 然後供給
[22:25] 有些供給開不出來
[22:26] 也讓這個供需失衡報價大漲
[22:29] 可是因為
[22:30] 我相信一定有一端曾經
[22:33] 或者是有一些通路上
[22:34] 有塞了一些庫存
[22:35] 所以有時候報價的波動
[22:37] 對股價的影響的敏感度
[22:39] 就會很重
