[00:00] 歡迎收聽,照華語股貨載地1182級AI半導體大爆發,選對投資標的要靠真功夫咯。
[08:27] 可是凱哥很早以前就說九月會升息。
[08:29] 但是我個人覺得,上次我來講嘛,因為我挖的是他們廢的裡面少數的風向球。
[08:34] 他居然會講說九月有可能不升。
[08:38] 我覺得他一定是看到了什麼東西。
[08:39] 所以我才講說,這地方也許不是說不升,是延後升。
[08:43] 變成12月。
[08:45] 對,他就往後一次。
[08:47] 可是這樣事情不就沒完沒了?
[08:48] 可是如果你往後一次其實我覺得也沒有不好
[08:52] 就是至少美國期中選舉之前它就不生嘛
[08:54] 可是那你就是要拖過九月的這一次
[08:58] 就是九月這次確定就是不生
[09:01] 然後它再拉一波
[09:02] 然後又開始在這邊橫向整理
[09:04] 因為基本上它又拖到12月
[09:06] 所以我個人就覺得那還不如痛快來一刀
[09:09] 對啊
[09:09] 是吧就是早一刀晚一刀嘛
[09:11] 而且這一刀我之前講過它是一個提前的預防性的升息他不是真的說我這次升完之後就後面一直升不是所以我覺得這樣還不如早一點升一升讓市場把這個慣性稍微做一點扭轉
[09:24] 但我覺得就是現在就是卡在這裡很麻煩
[09:27] 卡在這裡很麻煩
[09:28] 我們就回頭來看股票了
[09:30] 對不對
[09:30] 我今天早上去樓下梳化的時候
[09:33] 他們就鼓起勇氣問我說
[09:35] 請問這個主動元件功率元件還有沒有救還會起來嗎
[09:41] 然後我覺得因為我可能做的是說實話我覺得做比較正規的財經內容我就跟他說我必須跟你講因為現在市場就是對於這些過去漲很多的然後但是業績並沒有完完全全跟上的族群沒有什麼胃口啦就是沒有什麼想要資金集中過來所以我沒有辦法在現在告訴你他們還會再起來嗎他們還有救嗎我說你反而要去思考的是就你到底為什麼當初買這樣子的領域的公司你沒有出廠的時間點
[10:10] 這第一個,雖然聽起來很討人厭,因為他們可能只想聽到有啦哪一檔,富庭喔,可以啦,紅唇啊,可以,他們可能只想聽到這個。
[10:19] 好,可是我必須很坦白的說,這些都是我們在講,雖然他們有漲價題材,可是他們的業績其實並不是最好的那一群,所以他們必須非常吃市場在熱的時候的那個勢頭。
[10:30] 那你現在問我主動元件或被動元件,我都會告訴您說,比較,還不如看被動元件,可能被動元件到昨天還有一些話題上的新聞,你可以看到盤面有點貨。
[10:40] 總的來講,如果您想要更多資訊,請在下方留言。
[11:10] 這些我按照這樣的節奏繼續進行我資產的規模的擴大。
[11:14] 那我覺得這邊大家可以聽聽看啦,那凱哥的想法呢?
[11:19] 是現階段為什麼再好的成績好像市場上即使喔前兩天有反應的今天也都跟你殺一根下來?
[11:26] 對,因為我剛剛講嘛,其實現在資金都是比較偏短線的。
[11:30] 再來就是這個成交量縮了。
[11:31] 其實成交量縮了基本上你要推動台建這麼大的股票,它就會比較吃力。
[11:37] 那一樣成交量說了,他會把資金放在比較主流的族群上面,你如果不是主流的族群,例如說我們剛才講說功率元件,他可能就不是主流族群,他可能是第二流或者是第三流的族群,那他就沒有太多的資金了。
[11:52] 那主力在操作的時候,基本上他也會在看說目前的股價位置,因為現在是之前的反彈之後拉起來,到這個地方基本上原本就是相對一個高原的位置。
[12:03] 你像今天還有在往上走的就相對會比較逆曲喔
[12:08] 就會比較逆曲
[12:08] 就是說他為什麼已經休息完一段時間之後他還可以逆勢往上
[12:12] 他不畏懼大盤
[12:13] 我們就要去觀察這個
[12:15] 那再來就是說你像有一些個股啊
[12:17] 基本上他們走的就比較投機
[12:19] 比較投機
[12:20] 例如說像不能講說投機
[12:23] 比較轉機
[12:24] 例如說大盤開始休息了
[12:27] 生技股就開始拉起來了
[12:28] 你看看很多生技股都在漲
[12:30] 很多人都在講說什麼FDA查賞過了啊
[12:33] 驗證也過,藥證也拿到啦,他們就開始漲,為什麼?
[12:38] 因為大盤量縮嘛,量縮他就可以在特定的族群上面去Cooking,
[12:42] 尤其是那個籌碼相對乾淨的,
[12:45] 例如說像我最近有在看到一家就是漢達,
[12:47] 嗯,漢達,他就乒乒乓乓就漲了一大段,
[12:50] 是,漲了一大段,那他確實也是FDA的藥證過了,
[12:54] 是,他相對就是比較有東西,那有些是根本就還沒有東西,
[13:00] 現在我那天遇到一家創投,然後我就問他說,你們有投一家公司,最近股價很強,在漲什麼?他說不好意思,那個股票我們已經賣了。
[13:11] 我說最近這麼強,為什麼你們要賣了?他說因為我們就覺得他好像沒有跟上進度,所以股價其實跟基本面有時候也不完完全全的是能夠相連接的。
[13:22] 他還是卡在籌碼,他就說他們創投賣了之後好像有特定人去把籌碼收走了,就往上拉上來一段。
[13:29] 所以基本上我們常常講說股價基本面是很重要,因為基本面會去support公司,但是有些公司是完全就是沒有基本面,它純粹是籌碼面。
[13:40] 比如說我們早期有提過一檔叫1727的中華化,它今天也沒什麼跌,那告訴你說它的籌碼基本上還是很集中。
[13:48] 那這個時間點基本上你就要想說你的籌碼你要把資金大量的放在這個族群上面還是少量就好,我還是建議少量就好。
[13:56] 因為畢竟他們不是主流
[13:58] 我覺得你還是要把目光放遠一點
[14:02] 我們在講說封測這個族群
[14:05] 或者是散熱這個族群
[14:07] 或者是像ABF這個族群
[14:10] 他們就是長線是好的
[14:12] 你就是趁他壓回來的時候去找點買
[14:14] 不是找點進去買
[14:17] 是找好的點位進去買
[14:20] 就進去蹲
[14:20] 基本上因為這個勢頭
[14:22] 基本上是個多頭的勢頭
[14:24] 你蹲完你總是會有收穫的,而不是說他跌下來我又不敢買,然後我又把資金放很大量去這些相對比較轉機性的公司。
[14:33] 那其實這樣就會到時候說,這個原本的主流資金開始拉起來的時候,你是手上沒有股票的,然後漲了兩三成之後你又去追,你又相對又可能要套在相對的高點。
[14:42] 這就是一個拿捏的問題,拿捏的問題。
[14:45] 所以我覺得大家現在可能就覺得說好像都卡住了,不太動,不太動。
[14:51] 但是我們之前在講封測的時候其實本來也很不好啊
[14:56] 最近也稍微漲了一段上來
[14:58] 其實被動元件我也是講
[14:59] 我一直講說何生堂信商店很好
[15:02] 可以留意
[15:03] 其實一直到今天信商店都還很強
[15:05] 何生堂昨天拉漲停板
[15:07] 接近漲停板
[15:08] 他是創新高的哦
[15:09] 他是創新高的
[15:10] 所以你說他們有沒有在漲
[15:12] 有哦
[15:13] 只是你有沒有把握好的時機
[15:15] 然後呢買定離手
[15:17] 還是你一直就是用看的
[15:19] 用看的
[15:20] 因為我確實也知道在這段時間,尤其是最近這兩三週,很多人都是用看的,就是不太敢買。
[15:27] 你手上抱的股票就是你原先套牢的股票,那你就是隨著這個行情的起伏。
[15:32] 例如說今天有人問我說,欸凱哥凱哥那個什麼IET啊,然後還語KY啊,今天都跌很重。
[15:40] VPU方面的。
[15:41] 今天都跌很重。我說,欸你不能這樣講喔,你去看那個IET、KY它已經漲了快一倍了捏。
[15:47] 他從300多也漲到600多
[15:49] 對
[15:50] 環境科學大概也沒有漲一倍
[15:51] 但也漲了六七成了
[15:53] 他們居然就是漲多
[15:54] 然後你看其實大量低就跌破了
[15:56] 大量低跌破告訴你們就是要休息嘛要整理
[15:59] 所以你不能說形態你完全不在意
[16:01] 然後你只希望他漲
[16:03] 這樣是不對的喔
[16:04] 就是你看他漲
[16:06] 形態破了
[16:07] 你還是要注意到他形態破了
[16:09] 而不是形態破了
[16:10] 你還是覺得說欸他應該要繼續漲
[16:12] 好
[16:12] 因為剛有講到漢策啦
[16:14] 這位新貴的國王
[16:16] 當然因為9月10日到14日是辦理申購要抽籤啦,這個動籤率大概不到0.4%
[16:23] 那凍結多少資金呢?超過5000億的資金
[16:27] 所以這幾天量能也許還也受到這一件事情算內資的影響力
[16:33] 5000億被凍在抽,汗測,不簡單啦,一個人要索200多萬元在這個上面
[16:38] 希望有動籤的朋友有機會的話分享一下您的喜悅
[16:42] 因為我忘記上次抽什麼,有人就說他真的抽到耶
[16:45] 好,就很恭喜,那剛剛講到新貴,現在生技股又有一波的新掛牌的或者是新貴的浪潮,像大家可能前幾天討論最多一定是傑利康啦,因為有很多的知名主力朋友在裡面,那我覺得有趣的也是他最近就跌,為什麼?因為他結出來的營收,8月份只有4000元的營收,這就是生技股我們很難捉摸的地方,很難去體會營收跟股價的關聯性,當然可能因為這個營收市場也有一點點嚇到啦,
[17:14] 不然的話每天30%的漲,我看到好多散戶朋友就留言說,每天30%的漲,我決定我今天進去,啊怎麼我今天進去之後就變不一樣了。
[17:24] 好,這就是大家在觀察籌碼或是自己在買這類型,你自己也很清楚它的風險投機性比較高一點的公司的時候要承擔的。
[17:34] 大部分人應該很難all in在這樣的公司,還是老老實實的回來。
[17:38] 現在我們來看看,為什麼我們會覺得,搞不好這段時間被動元件會比主動功率元件還要有一點機會。
[17:46] 第一是市場的人氣看起來是有慢慢的比較先回到被動的部分,然後之前漲也是被動先漲再帶動主動,所以他們本來就有一個主從的關係。
[17:55] 然後再來當然昨天講到的是,春田製作所可能有部分的標準MLCC的產品要陸續的停產,但其實很遠哦,它好像2027、2028、2029各自有停產的料號。
[18:07] 可是這好遠喔,所以昨天落手我就有點擔心說是不是都是隔日充點火,不過看起來像剛剛凱哥講的像信唱店,它今天就還有一定的支撐力度,所以我們就一個一個聊,凱哥覺得台積電值得投資嗎?凱哥覺得被動元件這一波他們的籌碼恢復了嗎?
[18:25] 我覺得你可以看到台積電業績基本上它就是穩穩的往上爬嘛,所以我們之前其實在講說2330以下不是代號2330,是股價2330以下基本上是線的買點,因為你怎麼看它其實目前本比還是很低,所以應該是很值得長線的投資人就是持續的買進,holding一定的部位。
[18:45] 那所以我想說你與其要去做定時定額去買ETF,那也不如定時定額來買台積電吧,因為台積電其實就是台股裡面的領頭羊嘛,航母。
[18:56] 背動元件
[19:26] 這就是我們所謂供給的問題。
[19:28] 例如說我們之前有提過,
[19:29] 像和生堂、信商店都有供給不足的問題喔!
[19:33] 是廠商要去追產能的。
[19:35] 可是你有聽到國巨說他被追產了嗎?沒有。
[19:38] 那你像今天在漲的時候,其實有一個廠叫光潔,他大漲。
[19:42] 那光潔基本上他是大陸風華高科的轉投資。
[19:46] 所以他其實是跟大陸的被動元件漲的比較相關。
[19:50] 因為基本上Molotov在停產的這一塊基本上都屬於比較中低階的被動元件
[19:56] 中低階MLCC也就是它是比較偏消費型的產品
[20:00] 那你可以從最近的不管是Apple的新機或者是未來的NB
[20:06] 你都感覺到說好像未來不是很樂觀
[20:10] 因為大家的資金都被排擠了嘛
[20:12] 因為大家錢都投到AI去了
[20:15] 所以你像Apple的新機發表
[20:18] 我過往會稍微看一下,我這次連看都沒有什麼看
[20:22] 這次不是有新的嗎?
[20:23] 對啊,可是我居然連看都沒有什麼看
[20:25] 我也沒看,但我有買
[20:27] 可是我沒有很大的吸引力要去換新機
[20:31] 你沒有?好,時間到我要換
[20:33] 很多人在Apple新機上市之前就去買新日星
[20:38] 就覺得它是興趣,應該會漲
[20:40] 可是Apple新機發表之後,新日星是跌的
[20:43] 跌慘了
[20:44] 而且它在它還沒發表之前就開始跌了
[20:46] 對
[20:47] 在前一週就漸高了
[20:49] 就是這個故事感覺就是沒有要發酵
[20:52] 它就已經要跌下來
[20:54] 那我真的講過啦
[20:55] 其實新一星的margin並不好做這個東西
[20:58] 再來就是其實它這個東西的價格也真的是很高
[21:01] 就是因為現在記憶體很缺嘛
[21:03] 所以你iPhone的新機你不要說是折疊機
[21:06] 你當然18一台都要賣到六七萬
[21:09] 我昨天預告
[21:10] 沒有好想看你看你的
[21:12] 我只有買256而已
[21:13] 256的話是4萬4千多
[21:16] 現在很少在用256啦
[21:18] 現在至少都要用512以上
[21:20] 可是我256舊的容量沒嗎
[21:22] 我不是那種很愛拍照的人
[21:24] 所以最基本款我記得昨天預購是44800
[21:28] 你看256就44800
[21:31] 最基本
[21:32] 大家一般都用到512甚至於更高嘛
[21:35] 我窮人我窮人
[21:37] 一定就會更貴
[21:38] 不是窮人的問題是偏好的問題
[21:40] 就是像凱哥現在還在用14
[21:42] 你看我都還
[21:43] 我是15
[21:44] 你看我都已經多久沒有換新機了
[21:46] 就告訴你說
[21:47] 它會排擠到一些的消費
[21:50] 排擠到一些消費
[21:51] 明年目前看起來NB的狀況也不好
[21:53] 對
[21:54] 所以你想一件事情
[21:56] 好不起來
[21:57] 姆拉塔為什麼要不做這些產品
[21:59] 其實不是告訴你
[22:01] 他怎麼樣賺的比較少
[22:03] 而是他就是不好賺
[22:05] 他不好賺
[22:06] 所以他也懶得跟
[22:07] 台灣的廠商跟大陸廠商在這邊殺價競爭
[22:10] 就乾脆讓給你們好了
[22:12] 那你可以看到過往都是這樣
[22:13] 過往都是這樣,過往就是日本的被動元件到了一個階段,他就把他比較中低階的放棄。放棄之後其實這個台灣廠或大陸廠都會股價再漲一段,就說我好像吃到這個餅了,但是過一陣子就開始消瘋了,為什麼?因為這個東西就其實就是比較紅海的市場,紅海的市場。
[22:32] 所以昨天其實有人在問我說這個怎麼看?
[22:34] 我就說我認為會漲
[22:36] 但是基本上可能還是要看比較領先的這個族群
[22:41] 就是比較有出AI的這一塊
[22:43] 比較AI出的這一塊比較多的
[22:45] 它可能會持續的上揚
[22:47] 因為它會零漲
[22:49] 那消費型的你就是看國巨嘛
[22:51] 你看國巨so far它還有基美喔
[22:54] 因為這次的這個摩拉塔是連這個
[22:58] 一般的這個鋁電容的部分要放棄,它要加強固態電容,這樣固態電容其實就是,彈值電容,它就是積美的天下嘛,我覺得積美的天下,可是你看國際並沒有因為這樣大漲喔,沒有,所以告訴你說基本上這塊可能它的占比也不高,那今天市場,以鋁電容來講,我們上次提到金山電嘛,所以今天它跌下來,可是今天利融電相對是有挺住的,
[23:25] 因為利用電本來就有打進NVIDIA只是他可能沒有這次直接被點名到受惠於這個台達轉去光寶這個訂單的部分
[23:35] 但是他相對就有支撐了
[23:37] 我是比較好奇就是我看到那一幫很可憐
[23:41] 就是投信好像是ETF賣出來
[23:44] 因為每天都500 500 500的賣
[23:45] 然後外資已經在接了
[23:47] 可是今天又因為這個行情又不太好
[23:50] 他又往下跌
[23:51] 所以我就在觀察一件事情就是
[23:52] 你們有發現一件事情
[23:54] 如果是投信一直賣,外資一直在買,那會不會有一天此消彼長,投信賣不下去,是不是他就應該要漲?
[24:01] 所以我覺得這其實就給你一個市場的訊號,就是說其實是有股票可以讓你減便宜的,很好啊,而且他就是你都看得到的投信。
[24:10] 所以我覺得也不見得不好。
[24:12] 那你說你要不要再去一直在追和聲堂跟信倉店?
[24:17] 我覺得基本上他們的形態都已經是第二段往上走了。
[24:21] 所以你應該是壓回來在前高那個位置去等他們
[24:24] 就是你也不要盲目的去追
[24:26] 盲目的去追
[24:27] 那所以還是有股票可以買
[24:30] 只是每一次那個勢頭一來的時候
[24:32] 那個第一個時間你可能都抓不到
[24:35] 通常就是第二根第三根
[24:37] 然後第二根第三根你可能就一去追又追高
[24:39] 所以既然他已經漲上去
[24:41] 你就把自己鎖定好
[24:43] 那我疊回來第一根的收盤價的位置
[24:46] 我就在那邊等他
[24:47] 這樣不是很好嗎
[24:49] 這個觀念
[24:50] 請不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[25:20] 為什麼我要買到130塊?這樣我貴三成耶!可是130塊續工的機率就變高了,因為市場的共識凝聚起來了嘛!先知總是孤獨的,也代表先知很少,我們就不要覺得自己會是全市場最厲害的那個人。
[25:36] 所以如果今天看到一個東西的勢頭已經起來了,好像今天何時才能殺尾盤,他隨著盤勢暴動,這就是難做的地方,可能昨天你會覺得,欸不是很厲害嗎?這個轉單消息一來大家都點火,各位尾盤他就硬生生給你殺下去。
[25:49] 可是要反著想,昨天在拉的時候我也不會動,我就覺得說因為一個新聞就這樣忽然拉,那當然前幾天有比較在橫盤整理的時候我就應該布局拉,但反而今天殺的時候你就可以看,它又回到原點了,那是不是你真的對它未來在MRCC進階到AI的領域是有信心的,你想著量收的,是不是又是一個機會,我覺得要用這樣反過來看這段時間會比較舒服,就像今天我還是進去撿,前幾天我有跟大家分享,這兩天雖然盤不錯,
[26:19] 可是我沒有什麼買點可以買,因為就幾乎逼近歷史新高,可是你又看到前面有一堆壓力在那裡,那今天反應壓力啊,今天反應壓力又符合我講的兩三天又跌了一千多點,所以就是我的初步進場點,可能明後天,應該明後天不會跌,抱歉,放假,可能下禮拜,或是今天晚上CPI的狀況不好,下禮拜還可以有再減的機會,那就再減啊,因為這樣子蹲對於第四季絕對是好事啊,我覺得這樣的概念,如果心裡面沒有一個雛形的話,
[26:49] 那就會變成這一波大家都做不到
[26:51] 對啊你看前一段時間那個ABF是不是跌得很兇
[26:55] 其實今天他們就沒什麼跌了
[26:57] 今天那個最後一個燒房子的就是南電
[27:01] 今天南電沒跌啊
[27:03] 告訴你說他是最後一個燒房子的
[27:05] 基本上他都已經不跌了
[27:07] 那就告訴你其實這個族群就是符合我們剛剛講的
[27:10] 你找好的點位開始要準備去做切入的動作
[27:13] 反而是那個最近剛漲過的
[27:16] 你就籌碼相對比較亂
[27:17] 你就先避開來
[27:19] 所以基本上投資原則就是這樣,就是他先殺下來了,你反而又可以很冷靜的去尋找好的買點。
[27:26] 那他剛漲上去,很多籌碼在裡面,基本上你就等籌碼洗出來之後再進場。
[27:33] 所以你這樣就不會說老是追高,然後就被套到,追高就會套到。
[27:38] 那像最近像設備股我覺得也陸續都有在升溫。
[27:43] 哎唷,凱哥跟我海淵的族群都很像。
[27:45] 但是也有像今天像佳登他就跌下來了。
[27:47] 家燈連續兩天跌下來的煙
[27:49] 但是當然你看它上面爆大量嘛所以它一定是要壓回這裡沒錯沒錯它爆大量可是你仔看它的籌碼,基本上大戶外資就沒有走啊,所以我覺得既然是這樣子,如果你上面沒有減碼的人,那你這邊就是要看什麼樣的位置之後再去做加碼的動作,因為它是大量低跌破的哦,所以它可能至少要洗上五到六天以上,但是這也不就告訴你說剛好利用大盤的不好,你去看它的底部到底在哪裡,然後再去做承接的動作。
[28:18] 最近的盤就很磨耐心,但是他也很符合啊,其實大部分的時候盤是本來就不太應該要那麼激動,是因為我們在四五六七月都太激動了,真的,每天不是什麼千點漲就千點跌,然後一下給你殺到哪裡去,現在盤就是悶悶的沒有錯,然後量能也比較小,可是他就是一個常態,那這時候考驗的就是耐性跟信心。
[28:43] 像剛剛被動元件講到預幫,其實有好幾個達人朋友都說,被動元件裡面可能就他最委屈了吧,可是委屈還會更委屈耶,這個世上的磨難真的是齁。
[28:52] 那麼多人都講說他是相對便宜的,可是哪一天他長起來了才急急忙忙去追的時候又會後悔說,啊那時候那麼多人講他是最委屈的。
[29:00] 設備和封測我也有同樣的感覺,我們每天做節目,每天都會稍微講到,自己心裡面也會很希望說,啊哪一天噴了我就可以縮嘴啦,你看我就告訴你吧,你看你看我也希望有這樣的時候齁。
[29:12] 可是我覺得現在就是耐心決勝,不可能說我講完馬上大漲就是最好的,大家可能也上不了車。
[29:20] 所以我覺得現在維繫著我們剛剛講到的如果你喜歡的公司,你喜歡領域,它忽然出現比較明顯的跟著盤式下殺的時候,就是足量買一點買一點的時間點,這樣才有辦法攤平成本啦。
[29:32] 對,包括買ETF也是很簡單的原理,也是這個樣子。
[29:35] 跌到例如說像我我怎麼掛價呢我跟大家舉例像今天盤中跌到八九百點嘛我就想說哎第一波下殺其實那個八九百點我沒有下單我也沒有掛到可是我看他又慢慢兜上來變成只有跌六七百點的時候我就去看今天到目前為止最低點大概在哪裡那如果這個低點假設跌八百五好了那再下去一點點是不是就大概是一個跌一千點的點位好這是以今天來說可是如果累積兩三天其實已經跌一千點了所以我就會先去掛已經出現了
[30:05] 我會把我出現過的最低點當作我今天想要採買的第一批,後來好快就又成交了,因為大盤又再下去,那就有更便宜的價格,所以我就再掛了第二批,就是我就再掛再疊個大概三四百點左右的那個價位再掛掛看這樣。
[30:21] 總之我今天掛的兩次的股票,應該說ETF為主,都成交了大概有七八成,所以今天是有買到東西的,而當然不可能把子彈就都打完,所以我還是要預想今天晚上CPI呢?
[30:35] 如果它跟PPI一樣,市場是有點壓力的。
[30:37] 公債殖利率呢,剛剛有特別提到,你會覺得4.9%跟5%好像沒有差,以10年前公債來說。
[30:43] 可是事實上,其實大家知道債券市場的金額其實是比股票市場大嗎?
[30:49] 我覺得大家可能有時候都會忽略這個事情,會一直覺得,啊買債券的人很笨啊,什麼債挖。
[30:54] 可是債券市場反而是資金最大的市場哦。
[30:58] 所以當今天10年期供貸殖利率破了5%
[31:02] 它真的會吸引相當多的穩定型的資金再度挪移到債券
[31:06] 而對股票的風險更加的沒有辦法承受
[31:09] 因為無風險利率已經5個百分點以上了
[31:11] 我覺得還有又兩年期的好像也4.5%
[31:14] 你買個短債也有4.5%
[31:15] 你又不用擔長債未來的破動風險
[31:18] 這些都還會蠻吸引一些穩定的基金過去的
[31:21] 所以我覺得這樣的資金流向大家還是要留意
[31:25] 所以我覺得如果下禮拜有低,我還是會持續站在用我的方式去減的方式,而且要保持耐性,真的要保持耐性。
