[00:00] 歡迎收聽趙華宜古惑仔第1025集
[18:54] 然後特別是它的
[18:55] 相對來講
[18:56] 它的殖利率又比較高了
[18:58] 然後它過去的
[18:59] 整體的這些財務資料非常穩定的話
[19:02] 那其實在很多做價值股投資的
[19:07] 投資朋友來看的話
[19:08] 其實這是一個非常好的一個投資標的
[19:11] 它等同是說你用比較低的一個價格
[19:13] 去買到比較多的一個部位
[19:17] 那當然在做這種類股的一個投資
[19:20] 它會有一個小小的問題
[19:22] 就是你一定要把你的心態給放下來
[19:25] 你不能夠期待就是說
[19:27] 他跟現在市場的題材股啊
[19:30] 或是一些很明顯的成長股去做比較
[19:33] 然後期待他明天啊
[19:35] 後天啊
[19:35] 大後天啊
[19:36] 一個禮拜後
[19:37] 股價有很大的一個波動
[19:39] 那其實呢
[19:40] 買這種型別的股票的話
[19:42] 那你反而希望的是
[19:43] 他每天的價格波動是比較小的
[19:46] 讓你有充裕的一個時間
[19:49] 可以來做佈局的一個動作
[19:51] 所以我常常會跟投資朋友
[19:52] 做一個溝通
[19:53] 就是你今天你要去做存股
[19:55] 然後呢你想存的是什麼型別的公司
[19:58] 你是focus在成長股上面
[20:01] 還是呢你是focus在題材股
[20:04] 還是你是要focus在那一些
[20:05] 目前是沒有題材加持
[20:07] 所以他的股價相對來講是很穩定的公司
[20:11] 這個是你在投資的過程中
[20:14] 你要去做選擇的一個地方
[20:16] 那你如果今天選了成長股
[20:18] 那你的指標就是他的成長效能不能夠維持下去嗎
[20:22] 一旦他不能夠維持
[20:23] 那你當然就要趕快跑
[20:24] 那你如果是題材股的話
[20:26] 那個就更乾脆了
[20:28] 他現在題材還有沒有討論的熱度
[20:29] 如果沒有了
[20:30] 那你也得趕快跑
[20:32] 因為很多題材股本身
[20:34] 他不一定有非常好的一個基本面
[20:36] 甚至說他謠傳的基本面
[20:39] 最後可能不會實現
[20:41] 所以這是我們在
[20:42] 投資不同型別的個股的時候
[20:45] 你要先瞭解到他的一個特性
[20:47] 然後去定義說
[20:48] 你的退場時期要怎麼去做設計
[20:51] 你才不會在投資的過程中
[20:53] 比如說抱著不會動的價值股
[20:56] 然後一天到晚在抱怨說
[20:58] 為什麼他的股價都不會動
[20:59] 然後呢
[21:00] 在這個過程裡面的話呢
[21:04] 又頻繁的去做一些換股
[21:06] 左跳右跳左跳右跳的
[21:08] 這樣子你反而在
[21:09] 整個投資過程中
[21:10] 什麼都沒有賺到
[21:11] 這是比較可惜的一個地方
[21:12] 所以配置是重要的
[21:15] 必須講
[21:15] 如果說你100%
[21:17] 放在你心目中的價值股
[21:18] 當然它是真的價值股
[21:20] 有的人會很長期抱著
[21:22] 不會動
[21:23] 但其實沒價值的股票
[21:25] 對沒有錯
[21:25] 我必須講
[21:26] 它不是不一定不會漲
[21:28] 我的意思是像現在這種情況
[21:29] 剛剛開玩笑說連面板都會漲
[21:31] 當然群創是因為有三廚型封裝的題材
[21:33] 但是其他的面板其實也有跟漲
[21:35] 跟漲的過程並沒有看到
[21:38] 他們的獲利隨之上揚
[21:40] 甚至都還在虧損
[21:41] 最近這樣的股票不少
[21:43] 所以他們並不見得是價值股
[21:45] 但他們會漲所以有的人他抱抱很久但你發現你抱著他也沒有股息啊或者是就算有股息他可能一趴兩趴對然後也沒有成長性啊
[21:56] 對
[21:57] 那如果你抱這樣的公司
[21:59] 你覺得沒關係
[21:59] 我就是做長期存股
[22:01] 奇怪他為什麼不漲
[22:02] 我還真不知道有什麼理由漲
[22:04] 因為有一些高股息的公司
[22:05] 其實今年以來也是有表現的
[22:07] 因為有有一些高股息的公司
[22:09] 或者說像風水輪流轉嘛
[22:11] 他至少有股息做保護
[22:12] 所以會漲上去啊
[22:13] 好像華通
[22:14] 可能過去我們覺得
[22:15] 殖利率還不錯
[22:16] 不會漲
[22:17] 結果低軌衛星來了
[22:18] 也是翻倍漲
[22:19] 所以如果你本來就有股息
[22:21] 在做保護
[22:22] 你在存它的時候
[22:23] 你會覺得至少有零股息
[22:25] 然後題材來了
[22:26] 風來了
[22:27] 莫名其妙評價上升了
[22:29] 那就會賺到
[22:30] 如果評價一直沒有來
[22:31] 你喜歡的公司
[22:32] 例如說像最近
[22:33] 如果他真的沒有AI
[22:35] 他是很傳統的消費電子
[22:36] 尤其是notebook相關的
[22:38] 那你可能就要抱著
[22:39] 零股息的想法
[22:40] 跟他搏鬥
[22:41] 搏鬥到誰呢
[22:42] 搏鬥到記憶體垮了
[22:44] 他才會起來
[22:45] 對
[22:46] 可能大家要對自己手上的股票
[22:48] 這方面的認知
[22:49] 對
[22:50] 因為其實以前我們過去
[22:52] 在做這種價值股投資
[22:54] 有很多時候
[22:55] 都是會報道
[22:57] 他出現題材
[22:59] 然後再來做初清
[23:01] 或是換股的一個動作
[23:03] 那因為這種東西
[23:04] 在我們過去投資的時候
[23:06] 還蠻常見的
[23:07] 比如說你看像最近的話
[23:09] 有一間公司叫可靈位
[23:11] 你看像可靈位
[23:12] 那不一樣的意思吧
[23:14] 他那個是土方之亂
[23:15] 然後被鎖
[23:16] 土方之亂的話
[23:17] 他算是一個題材
[23:19] 但是我們講的是說
[23:21] 如果可領衛
[23:22] 他沒有發生土方之亂的時候
[23:24] 其實他過去是很多存股族
[23:27] 他的一個非常穩定的
[23:29] 投資的標的物
[23:30] 因為他成長性不高
[23:32] 然後但是他的一個殖利率
[23:34] 跟現金的股息又很大
[23:35] 所以大家都很喜歡
[23:37] 買來做配息的一個動作
[23:38] 那當然他遇到題材的時候
[23:40] 他莫名其妙
[23:40] 突然就飆上去了
[23:42] 可是你要去思考一件事情
[23:44] 他這個飆上去是他的成長性造成的飆上去
[23:48] 還是說他只是純粹題材
[23:49] 把它鎖住然後飆上去
[23:52] 那你如果像這種的話
[23:53] 當然有賺就趕快要做獲利了結的動作
[23:57] 但是如果是像華通這種型別的是說
[24:00] 他的這一次的題材的話
[24:02] 是會帶動他的營收獲利毛利率同步在做增長的
[24:06] 那這時候你不能夠跑太快
[24:08] 因為他後面還有很大的一個發揮的空間
[24:11] 但是不管是華通或是可領位
[24:15] 其實在題材發生之前
[24:17] 它這種就是所謂的很標準的
[24:20] 所謂的價值型存股的一個標的物
[24:22] 所以你也不要再想說
[24:23] 為什麼價值型的存股的標的物
[24:27] 存的過程中
[24:29] 沒有馬上看到獲利的數字
[24:32] 那是因為你原本
[24:33] 在選擇這種標的物的時候
[24:35] 你的要求就不是說
[24:37] 它馬上會出反應的
