[00:00] 欢迎收听赵华宇古货仔第1153集
[04:08] 我为什么那么乐观
[04:09] 我说如果
[04:11] 6月22当时会保守的
[04:13] 你4月5月你就保守
[04:15] 就是这种中间在抓这个过程
[04:17] 其实这个世界上不可能
[04:19] 有人知道高点在哪
[04:21] 回过头来低点在哪里
[04:22] 到底上礼拜四是不是最低点
[04:25] 也没有人知道
[04:26] 礼拜五大涨之后会给大家信心
[04:29] 但是一定是最低点
[04:30] 到目前为止我也不敢有人站出来说
[04:33] 我就确定这个就是最低点
[04:36] 39000不会再下去了
[04:38] 对我只能这样说
[04:39] 任何人都是只能边走边看
[04:43] 这我个人的中心思想
[04:44] 所以回过头来
[04:46] 我就觉得结论只有几个
[04:49] 第一个就是不用在意这个波动
[04:51] 那最主要的关键点
[04:53] 你要回过头来去看
[04:54] 到底发生什么事情
[04:56] 我会说结论就是半年来
[04:59] 涨了100%或者是50%的台股
[05:02] 修正本来就是很正常的现象
[05:04] 那而且我要跟大家讲
[05:07] 到底大家常常讲
[05:08] 是不是AI有问题了
[05:09] 是不是经济出了什么问题
[05:11] 我说如果出问题
[05:13] 不会只叠涨多的族群
[05:16] 就这七月来在修正的
[05:19] 就只有台湾韩国跟非版
[05:21] 你看到道琼S&P500
[05:23] 欧股或港股陆股
[05:25] 几乎都没有修正
[05:26] 所以很明显
[05:27] 如果今天经济真的出问题了
[05:30] 你以为这个资金会那么客气
[05:33] 说这个没涨的
[05:34] 我们就先放他一马
[05:35] 没有这回事
[05:37] 回头看一下
[05:37] 22年在修正
[05:39] 或者是08年金融风暴在修正
[05:42] 任何的
[05:43] 不管有涨没涨的族群
[05:45] 大家一定都是同杀
[05:47] 这是必然的
[05:48] 所以现在很明显的
[05:49] 就是长多的族群在修正
[05:51] 所以七月一直到
[05:53] 从上礼拜五的现象
[05:55] 都可以再再证明
[05:56] 你可以看到七月在修正
[05:57] 一样的问题
[05:58] 在修正的过程当中
[06:00] 如果你持有的是
[06:01] 比如说非电或者是金融股
[06:05] 其实你也觉得七月还好
[06:07] 七月修正很严重的是什么族群
[06:09] 就是第二季长最多的族群
[06:12] 被动元件最惨了
[06:13] 对不对
[06:13] 刚刚讲到打四折三折
[06:15] 被动元件
[06:16] 所谓的功率元件
[06:17] 接下来也是受难的
[06:19] PCB相关的有一些材料上游的
[06:23] 也叠得很惨重
[06:24] 所以都会是之前说实话
[06:26] 涨最快最凶的一些族群
[06:28] 对因为我有统计
[06:29] 从今年高点下来
[06:30] 甚至七八甚至有接近九成的
[06:34] 修正的个股
[06:35] 那其实这么
[06:38] 等于说这段时间叠很深的
[06:40] 几乎都是年初以来
[06:42] 涨很多的族群
[06:43] 那这个故事有没有改变
[06:45] 答案都没有
[06:46] 其实这些族群都是对的
[06:48] 纯粹就是
[06:49] 涨多在修正的过程当中
[06:52] 或者是说
[06:52] 为什么这么剧烈
[06:54] 我们可以讲一个概念
[06:55] 就是第二季有超涨的格局
[06:57] 在修正的时候
[06:58] 又会出现超跌
[07:00] 简单来讲
[07:01] 就是说
[07:01] 我们举个例好了
[07:03] 就是说
[07:03] 股价它可能价值就是120
[07:05] 那它等到它冲过120
[07:08] 可能会冲到180
[07:09] 一路都是超涨
[07:10] 但它修正的时候
[07:11] 就一路跌破120
[07:13] 他也刹不住
[07:14] 跌到100
[07:15] 之后再慢慢的
[07:16] 等于波动减少之后
[07:18] 才会来到他该有的价值
[07:20] 所以应该说
[07:21] 这段时间大幅震荡
[07:23] 其实我觉得
[07:24] 本来就是蛮合理的现象
[07:25] 那我个人觉得
[07:26] 就是你只要一开始就了解到
[07:29] 其实这个就是
[07:30] 就是涨多修正而已
[07:32] 然后再来就是
[07:33] 这个再来要怎么操作
[07:35] 这个每个人的状况就不一样了
[07:38] 这没办法讲一个原则
[07:39] 套用所有人
[07:40] 因为就我的角度
[07:42] 我还是讲嘛
[07:43] 我就是高持股
[07:45] 所以对我来讲
[07:45] 我两个礼拜出国
[07:47] 我常常讲
[07:48] 就真的是因为
[07:49] 我现在有学员
[07:50] 所以他每天会有问题
[07:52] 所以时间到
[07:53] 我必须开一下电脑
[07:54] 去看一下问题
[07:55] 帮大家回答一下
[07:57] 顺便看一下
[07:57] 昨天晚上美股
[07:59] 跟今天的台股
[08:00] 不然我以前的过去经验
[08:03] 我出国两个礼拜
[08:04] 三个礼拜
[08:04] 我老实讲
[08:05] 我连股票开都不开
[08:07] 对我来讲
[08:08] 其实我常常讲
[08:10] 我抓的是一个
[08:11] 一季一年的趋势
[08:13] 我不会因为这一两个礼拜
[08:14] 出现很大的一个波动
[08:16] 就导致整个趋势的翻转
[08:18] 我这样讲
[08:19] 短线我还是觉得
[08:20] 什么东西是最重要的
[08:22] 就是这些个股的财报
[08:24] 从台积电的说法
[08:26] 四大云端业者的说法
[08:27] 甚至到辉达的说法
[08:29] 这个我会非常关注
[08:30] 因为我今天买股
[08:32] 就是为了这些理由
[08:33] 那这些人只要说法说
[08:35] 他们的看法还是维持不变
[08:37] 那自然呢
[08:38] 这个修正的部分
[08:39] 就是涨多的一个架构
[08:41] 或者是反过头来讲
[08:43] 如果今年上半年没涨
[08:45] 结果现在在拼命破底
[08:48] 那是不是出了什么问题
[08:49] 我们就可以来讨论
[08:50] 我们确实应该要找出问题
[08:52] 今年涨幅出现一个
[08:54] 不可思议的现象
[08:55] 而且全世界应该说
[08:57] 尤其是非半台湾韩国的人
[08:59] 几乎都已经没有风险意识
[09:01] 突然开始出现很大的压力
[09:04] 把一些在赚钱的时候
[09:07] 没有考虑到风险的人
[09:08] 洗刷出去
[09:09] 这是每一次
[09:10] 这个股市必然的过程
[09:13] 那我刚刚讲的
[09:14] 就是这个时间点
[09:15] 就是检视自己的
[09:16] 这个所谓的持股的
[09:18] 这个应该说
[09:19] 自己的时间轴
[09:21] 还有这个杠杆的状况
[09:23] 还有呢
[09:24] 到底能够承受的风险
[09:25] 但结论我要提一个重点
[09:28] 就是上礼拜五
[09:29] 这个架构
[09:29] 在下跌的过程当中
[09:31] 洗到市场
[09:32] 全部都受不了了
[09:34] 然后呢
[09:34] 终于出现暴力式反弹
[09:37] 我知道
[09:37] 一出現很明顯它就是兩個結論
[09:40] 第一個過往經驗
[09:41] 它就是最痛苦的狀況已經過
[09:43] 因為你再回頭去看
[09:45] 你看到08年
[09:46] 它當時在下跌的時候
[09:47] 幾乎都沒有很像樣的強勢反彈
[09:51] 它跌的不會很重
[09:52] 它每天都
[09:53] 等於是溫水煮青蛙
[09:55] 小跌小跌小跌
[09:56] 跌很久之後才發現
[09:58] 出了大事才開始崩跌
[09:59] 前段在下跌的過程當中
[10:01] 其實它都是每天跌一些
[10:03] 然後從頭到尾不反彈
[10:05] 現在是快速下跌
[10:07] 出现暴力式的反弹
[10:08] 其实老实讲
[10:10] 我觉得第一个关键点
[10:11] 就是最痛苦的状况已经过了
[10:13] 我觉得几率是非常高的
[10:15] 可是过往经验
[10:16] 也不要以为这样就开始V型反弹
[10:19] 这个过往经验也不会出现
[10:22] 你看我在讲
[10:23] 我们不要讲光在里面的人的心态会怎样
[10:27] 很多人在下跌的过程当中
[10:30] 尤其是这个很凑巧的时间
[10:33] 礼拜五大幅反弹
[10:34] 刚好在礼拜四
[10:36] 那天的下午
[10:37] 在交易的过程当中
[10:39] 我接到电话
[10:39] 是一个以前就一直有联系的
[10:42] 一个记者朋友跟我联系
[10:43] 然后他就跟我讲
[10:45] 他说今天不是问盘
[10:46] 他自己有一个私人的问题
[10:48] 他受不了
[10:48] 要来问我一下
[10:49] 他意思说
[10:50] 反正他就买了两张的被动元件
[10:52] 然后他现在已经
[10:54] 我看一下理论上
[10:56] 可能已经应该说赔了六七成以上了
[10:59] 然后问我说这个该怎么办
[11:01] 我就直接跟他讲结论
[11:03] 我是说论点不变
[11:05] 我以前就讲
[11:05] 被动元件它的基本面是有好转的
[11:08] 但股价的反应
[11:09] 已经远比它的基本面高很多
[11:12] 所以在里面的人就是只能买强
[11:14] 往下不能摊
[11:16] 但是那个礼拜四
[11:18] 我就跟他讲
[11:19] 记得一件事情
[11:20] 这个时间点
[11:21] 你是被动元件在里面
[11:23] 你受不了的
[11:24] 所有人都已经受不了了
[11:26] 所以你切记
[11:27] 一定不要在这个时间点卖掉
[11:30] 那你以后之后要减码
[11:32] 你就要记得
[11:33] 反弹到没有利的时候
[11:35] 你把最基本就可以卖掉
[11:38] 用同样的资金转到
[11:40] 整个说基本面有跟上
[11:42] 它的这个股价脚步的个股
[11:44] 那确实我那时候
[11:46] 他一直来问
[11:47] 我就知道市场的那个压力
[11:49] 压力大到要打电话
[11:50] 给一个在国外的人
[11:52] 对
[11:52] 我就知道说
[11:54] 真的越来越接近
[11:56] 准备反弹的时候
[11:57] 果然礼拜五反弹
[11:58] 那我刚刚讲
[11:59] 很多人是砍在礼拜三礼拜四
[12:01] 我可以相信
[12:02] 但是你要记得
[12:03] 这个市场上还有很多人
[12:05] 就像我那时候跟他讲
[12:06] 你要减码但不是现在
[12:08] 很多人也在等着反弹到无力之后
[12:11] 要减码的人也有
[12:13] 也还是有不少
[12:15] 所以弹到没力之后
[12:17] 一定他会有第二次的迈押
[12:18] 再出现第二只脚
[12:20] 这才合理
[12:20] 所以应该说目前的筹码
[12:22] 经过这段往下之后
[12:24] 确实有明显的好转
[12:26] 但是还是有很多人等着反弹要减码
[12:29] 所以可以预期未来上来之后
[12:31] 整个压力慢慢的增加
[12:34] 尤其是看到
[12:34] 礼拜五 礼拜一 礼拜二
[12:36] 反弹力道越来越小
[12:38] 但是我个人觉得
[12:39] 现在不要去看
[12:40] 现在的观察重点
[12:42] 不在它指数涨低
[12:43] 在这些反弹的强势族群
[12:46] 就比如说刚刚提到的
[12:47] 被动或主动
[12:48] 或者是这个记忆体
[12:50] 细菌源等等
[12:51] 这些跌很深的
[12:52] 几乎每天涨停的
[12:54] 现在的这个幅度
[12:55] 是不是能够延续
[12:56] 只要慢慢发现
[12:58] 这些每天涨停的个股
[13:01] 開始慢慢的漲不上去
[13:03] 開始翻黑
[13:03] 那個時間點才代表著
[13:05] 整個反彈的格局結束
[13:07] 並不是從指數
[13:08] 因為指數有一個很大的問題
[13:10] 是台積電是一個很重要的重心
[13:12] 前一段時間老實講它幾乎沒什麼跌到而且禮拜五那根反彈它还占回所有均线超级猛所以结论而言他扭曲了这个指数所以我常常讲
[13:23] 不要从指数的角度出发
[13:25] 你要从这些中小型代表型的个股
[13:28] 这段时间修正了七八成的个股
[13:31] 在这段时间反弹
[13:32] 几乎大家已经
[13:34] 就是六清不认
[13:36] 看到就是抢
[13:37] 所以这段时间
[13:38] 这个气氛到底能够延续多少时间
[13:40] 我觉得是很重要的关键
[13:42] 如果等待板台稍微告一段落
[13:45] 我不断强调
[13:46] 就是大家还是要检视一下
[13:47] 自己的手中的持股
[13:49] 到底是
[13:49] 我觉得后续的问题就是
[13:51] 我长线的部分
[13:53] 我还是比较乐观
[13:54] 所以我觉得
[13:54] 未来还是会过高
[13:56] 就是讲指数的部分
[13:58] 还是会过高
[13:58] 但是不代表所有的个股都会过高
[14:01] 特色就是往下压的时候
[14:03] 所有的包含这一段时间
[14:06] 甚至到六月营收创历史新高个股
[14:08] 这一段时间还是有跌得乱七八糟
[14:11] 那特色应该说未来反弹的时间点
[14:14] 在反弹的过程当中
[14:17] 谁还能过高
[14:18] 我只能说比较有信心
[14:19] 就是数字是对的
[14:20] 那数字没有那么好的
[14:22] 也不代表说一定不会过高
[14:24] 但是我个人觉得说
[14:25] 也许未来五种五个族群
[14:28] 也许两个过高
[14:29] 我觉得合理
[14:30] 不可能未来再像第二季一样
[14:32] 所有的族群都过高
[14:34] 其实今天台股已经有一些人过高了
[14:37] 川湖我没有记错话
[14:40] 川普今天过高了
[14:41] AI的代表之一
[14:43] 对不对
[14:43] 既然因为我刚刚在犹豫说
[14:45] 我到底要先请明翰讲
[14:46] 是各个云端财报的资本支出
[14:49] 事实上就是订单
[14:50] 这件事情
[14:50] 一个大轮廓
[14:51] 还是先从产业
[14:52] 后来明翰选择先讲被动
[14:54] 所以我们就先把被动
[14:56] 这件事做了解
[14:57] 被动明翰的想法一直都是
[14:59] 他在涨的时候
[15:00] 他有他的道理
[15:01] 因为第一
[15:02] 确实有开始涨价
[15:03] 第二
[15:04] 营收确实有开始加温
[15:06] 但是涨一倍跟涨五倍
[15:08] 是不是能配得上
[15:09] 它的营收的动能
[15:11] 这件事情就是民汉觉得比较小担心的
[15:15] 所以才会提醒说
[15:16] 当势头来了
[15:17] 大家要做被动的时候
[15:18] 可以就趁势而做
[15:20] 可是回挡的话
[15:21] 你不要一路减一路减一路减
[15:23] 我觉得这个事情
[15:24] 在这一波你不在的时候
[15:25] 真的是完全验证了
[15:28] 但是被动到了这样的地步
[15:30] 它是不是有达到
[15:31] 所谓营收成长跟股价合理呢
[15:33] 可以来做一点点观察了
[15:35] 尤其有一个新的政策
[15:37] 就证交所昨天下午公布的
[15:39] 处置股
[15:40] 因为这一次大家知道吧
[15:42] 被动在叠的过程中
[15:43] 超级倒霉的
[15:45] 叠着叠着就被关了
[15:46] 华新科被关那一天
[15:48] 超级惨的
[15:49] 叠停锁死
[15:50] 根本就没有卖盘
[15:51] 然后呢
[15:52] 还叠到怎样呢
[15:53] 因为他还是一直叠
[15:54] 没有买盘嘛
[15:55] 又叠到二次处置
[15:57] 哇
[15:57] 那这个族群又万劫不复了
[16:00] 你知道吗
[16:00] 事实上我有听到
[16:01] 有一些业内主力讲说
[16:02] 我砍不掉啊
[16:03] 对不对
[16:04] 就是我砍
[16:05] 完全砍自己的脚
[16:06] 我砍到跌停板都没人收
[16:08] 因为我就是大户啊
[16:09] 那怎么办
[16:10] 连大户都不一定有全部跑掉
[16:12] 所以后来昨天证交所就讲了
[16:14] 这个储值股
[16:15] 两分钟做一次就好了
[16:17] 大概都五天
[16:18] 最多七天
[16:19] 用这种方式
[16:20] 然后高价股另外看
[16:21] 没有公布标准
[16:22] 高价股另外看
[16:23] 所以你觉得这个方式出来的话
[16:26] 对于整体被动
[16:27] 或是以后的储值股
[16:28] 会有什么影响
[16:29] 我这样讲
[16:31] 我觉得应该
[16:32] 我们先回过头来
[16:33] 为什么要储值
[16:34] 大家先有这个观点
[16:35] 简单来说
[16:35] 市场有点过度疯狂
[16:37] 他希望市场稍微冷静一下
[16:39] 然后他会越来越刁难你
[16:41] 让你越来越不容易交易
[16:43] 希望你冷静一下
[16:45] 然后呢
[16:45] 让这个股价的波动相对变小
[16:48] 这是过往的
[16:49] 他原本一开始的用意
[16:50] 他有个问题就是
[16:51] 他出手相对有点太重的情况下
[16:54] 所以会导致每一次在关门跟开门的时候
[16:58] 股价都容易有大幅波动
[17:00] 那这个他现在的架构应该说
[17:03] 他希望这个处分的力道
[17:05] 而且老实讲不是小
[17:07] 其实我觉得小蛮多的
[17:09] 小很多
[17:09] 两分钟抽一次最多关七天
[17:12] 对
[17:12] 而且它甚至一次两次
[17:14] 全部都变成一样
[17:15] 所以它等于是真的下手
[17:18] 突然小得非常多
[17:19] 我觉得结论而言
[17:22] 这个政策没有一定的绝对好坏
[17:25] 当然第一个好处是什么
[17:26] 就是未来从正常交易到关门到开门
[17:30] 再回到正常交易
[17:31] 中间的波动会小得非常多
[17:35] 所以就不会每次一关门就突然就跌停
[17:37] 等到快开门之前
[17:39] 多大家卡进去
[17:40] 一开门就涨停
[17:41] 这未来的这个情境会越来越少
[17:43] 这是必然的
[17:44] 但是它一定会带来相对的坏处
[17:47] 就是你要记得
[17:49] 人家原本这个政策是为了让大家冷静
[17:52] 那我有个问题
[17:53] 未来这个冷静的效果就会变
[17:55] 又会变淡一点点
[17:57] 所以我觉得这个没有一定的好坏处
[18:00] 但是确实我觉得应该说
[18:02] 让这个股价的连续性
[18:04] 不要有这么大的落差
[18:06] 就是每一次为了要关门又开门
[18:09] 会导致非常大的震荡
[18:10] 那未来应该说
[18:12] 我觉得就是主管机关觉得
[18:14] 他也觉得说每一次他这样动作
[18:16] 可能震荡幅度太大
[18:18] 他先用把他这个
[18:19] 稍微缓解一点的方式
[18:22] 未来如果再观察
[18:23] 就是把这个政策缓解之后
[18:26] 发现完了
[18:27] 冷静的效果很差
[18:28] 这不管怎么锁
[18:29] 大家一路飙涨停
[18:31] 他就必须要再下更重的手
[18:33] 那以后也许再做调整
[18:35] 最起码现在先让这个
[18:37] 市场的这个氛围
[18:39] 不要因为这个
[18:40] 所谓的储值的部分
[18:42] 导致股价有这么大幅的波动
[18:44] 那我个人顺便补充一下
[18:46] 我就提到这个被动元件提及
[18:49] 其实最记得几个观念
[18:51] 就是基本面有好转
[18:52] 有好转
[18:53] 其实有人缴出来的营收不错
[18:55] 因为我们都不用用形容词
[18:56] 看一下营收
[18:57] 没有错
[18:57] 应该说他们特色呢
[19:00] 就是前两年有AI的时候
[19:01] 他几乎没有动
[19:02] 今年有好转
[19:03] 但是老实讲
[19:05] 它好转幅度是没有到达
[19:07] 整体上市柜的均值
[19:08] 对 均值
[19:09] 连均值都没有
[19:10] 它连均值都没有
[19:12] 所以它有个问题
[19:13] 它股价明显变成市场的主流
[19:15] 这个听起来就不合理了
[19:18] 就扛不住
[19:18] 到后来会扛不住
[19:19] 但是你现在来到现在
[19:20] 它都跌了七八成六七成了
[19:23] 我刚刚的疑问就是这个
[19:24] 然后又处置了拿掉了
[19:26] 所以结论而言
[19:27] 就是照理讲
[19:28] 我觉得应该说
[19:30] 如果我们今天不发生
[19:32] 这个第二季
[19:33] 这个所谓山坡事件
[19:35] 就冲上去又下来
[19:36] 如果不发
[19:38] 假设没有这个
[19:39] 我会觉得
[19:39] 被动营现在的价格
[19:41] 是符合投资的原则
[19:43] 可是有一个比较大的问题
[19:45] 就因为上次有这个
[19:47] 这个很大的一个山坡
[19:48] 上面会有很
[19:50] 未来会有比较大的压力
[19:52] 所以会导致他们未来的涨幅
[19:54] 其实会受到蛮大的限制
[19:56] 这是必然的
[19:57] 那将说
[19:59] 经过这次教训
[20:00] 未来呢
[20:01] 大家也会理智一点
[20:03] 就是会发现
[20:05] 其实它的营收有成长没错
[20:06] 可是它就是不值得
[20:08] 股价涨好几倍
[20:09] 然后慢慢的大家就可以去理解了
[20:12] 但是我个人的角度
[20:14] 我会觉得回过头来
[20:16] 就是现在的价格是OK的
[20:18] 但是你不要再去期待
[20:20] 它未来会再回到第二季
[20:22] 那就老实讲不切实际
[20:24] 市场当时有一个不合理的激情
[20:27] 这个激情光这次被打了一拳之后
[20:31] 应该就会明显醒来
[20:33] 我甚至再讲白一点
[20:35] 我这个纯粹是形容
[20:38] 比较夸张的架构
[20:40] 这个被动原件
[20:41] 上一次的容景
[20:45] 也是一样
[20:46] 跟这次有点类似的故事
[20:48] 当时也是
[20:48] 所谓日本厂
[20:50] 跑去做电动车相关的被动
[20:53] 那个时候也是冲到一千多块
[20:55] 那个已经
[20:56] 我记得八九年前之类的
[20:58] 然后后来
[20:59] 当时也在讲
[21:00] 就是日常都跑去做高阶
[21:02] 然后我们台厂就很肥
[21:04] 2018年
[21:04] 对跟这一次架构很像
[21:06] 这一次是日常都跑去做AI
[21:09] 所以这次我们也跟着就膨胀了
[21:12] 没错故事都对
[21:14] 但是问题是这个架构
[21:16] 因为毕竟我常常讲的
[21:17] 要是我还是会直接买
[21:20] 直接吃到AI
[21:21] 我个人比较不喜欢买外溢效应
[21:25] 这没有一定的对错
[21:26] 外溢效应的涨价的
[21:29] 它的波动性比较大
[21:30] 但是它的稳定性非常的不足
[21:33] 有一个问题
[21:33] 这种族群我常常讲
[21:35] 买红不买黑
[21:36] 再强你就追
[21:38] 但是翻黑千万切记不要买
[21:41] 因为下来
[21:42] 可能就是整个故事结束的时候
[21:45] 那我还是觉得
[21:46] 结论就是
[21:47] 被动元件现在其实已经
[21:49] 慢慢回归它的价值
[21:50] 那如果你要把时间拉长
[21:52] 谁的指数慢慢的往上涨
[21:56] 我觉得这样的期待是合理的
[21:58] 但是如果说你买在多少
[22:00] 你就觉得你要等着解套
[22:02] 我个人觉得
[22:03] 这个可能会等非常长的时间
[22:06] 好 这个验证了
[22:08] 因为一开始大家会觉得
[22:09] 没有啊 我接后面都会上去
[22:11] 但是你看这波下来真的很凶
[22:13] 我们先解决被动元件这一题
[22:15] 第二题我们先来讲CPU好不好
[22:17] CPU的话
[22:18] 昨天罗明光学有讲到一件事情
[22:20] 其实CPU现在大家抢的也很凶
[22:23] 尤其是它上网材料
[22:24] 像零化银等等的非常的缺
[22:26] 那这个东西因为不管灰打台电
[22:28] 所有的大厂
[22:29] 他是肯定要往光通讯的
[22:30] 这条路上走的
[22:31] 所以未来他会变得非常缺
[22:33] 还讲了一句
[22:34] 甚至比记忆体还要缺
[22:35] 那台厂的CPU说实话
[22:38] 在这一波股灾发生前
[22:40] 他就自己先股灾了
[22:41] 他已经是股灾的前哨站
[22:44] 就是CPU族群
[22:46] 但是CPU族群
[22:47] 大概都打对折
[22:48] 我看了一下
[22:49] 大家都打对折
[22:50] 可是他们有呈现一个
[22:51] 先叠先止叠的态势出来
[22:53] 那今天昨天都是盘面上
[22:56] 几乎非常多喷涨停的
[22:57] 这个族群怎么看呢
[22:59] 他现在打下来了
[23:00] 刘冰光学又出来背书了
[23:02] 而且看起来黄仁勋对CPU的琢磨也是很深的
[23:05] 好CPU的故事
[23:06] 我觉得跟我们刚刚讲的被动
[23:08] 被动可以套用在很多
[23:10] 被动可以套用在一个原则
[23:13] 很多族群都第二季才起涨
[23:15] 就两年前没起涨
[23:17] 功率原件也是
[23:17] 很多就是最起码五六种以上
[23:20] 全部都第二季起涨
[23:21] 那些都可以套用在被动原件
[23:24] CPU不一样
[23:25] CPU的涨幅是比较前面
[23:27] 很前面的
[23:28] 对它是很前面
[23:29] 所以它刚刚确实就是
[23:30] 台股还没股灾
[23:31] 它自己就先股灾
[23:32] 因为第二季资金突然要跑去买
[23:35] 第一位接族群
[23:36] 它不是
[23:37] 而且会有个问题
[23:39] 为什么CPU修正的幅度比较大
[23:42] 它当时是跟着AI涨
[23:44] 可是它有个缺点
[23:45] CPU里面受惠的
[23:47] 这个程度其实很参差不齐
[23:50] 我常常讲
[23:52] 这个不用去讲哪一档个股
[23:54] CPU的个股持有的
[23:56] 自己检查一下营收就知道
[23:58] 没错
[23:58] 就是CPU里面
[24:00] 不到三成均值的
[24:02] 其实蛮多的
[24:03] 就是营收年增率
[24:04] 对
[24:05] 上半年累积的年增率
[24:07] 不到三成
[24:07] 其实蛮多的
[24:09] 所以结论而言
[24:10] 确实它从两个层面角度出发
[24:13] 要记得就是CPU的部分
[24:15] 我们在讲
[24:16] 它通常是在讲光通讯
[24:18] 光通讯确实现在很缺
[24:21] 原因就是因为
[24:22] 如果真的比较长之间的机柜
[24:25] 它必须要靠着光纤下去连接
[24:27] 现在还没办法真的用细光纸直接封装
[24:31] 但是它现在就是直接走
[24:33] 这个所谓的光传输的角度
[24:36] 那些中间的这些耗材
[24:39] 或者任何材料
[24:40] 现在确实蛮缺的
[24:41] 但是我刚刚提到
[24:43] 记得一件事情就是
[24:45] 这半年来
[24:47] 尤其在这一次经过这个第二季大涨压回
[24:51] 我觉得可以给投资人一个
[24:54] 等于说一个学习的机会
[24:57] 就是记得啊
