[00:00] 欢迎收听赵华宜古惑载第1137集
[11:01] 盘中最多大概跌了1.4个百分点
[11:04] 所以今天可能美股的部分
[11:06] 也会受到韩股的一个牵累
[11:07] 那出现比较明显的拉回
[11:09] 所以我觉得这个短线上来讲的话
[11:12] 会变得比较难判断
[11:13] 难判断原因在于说
[11:14] 因为礼拜三就是台词期的结算
[11:16] 所以礼拜三的台词期结算
[11:18] 外资空调的所谓那么高
[11:19] 会不会随着国际股市的偏弱
[11:21] 而有顺势压盘的迹象
[11:23] 那变成说指数要等到
[11:25] 礼拜四的台建法说会之后
[11:28] 才会有比较相应的反弹
[11:29] 所以这几天的交易当中
[11:31] 我觉得大家可能就会变成说
[11:33] 你到底应该要做什么样的操作
[11:36] 是接下来的关键
[11:37] 那我会认为
[11:38] 就是说
[11:39] 目前来看
[11:41] 因为马上要进入到
[11:42] 美股的一个超级财报周
[11:43] 所以如果今年
[11:45] 大概七月份的下旬
[11:46] 这些所谓的云端巨头的一个资本支出没有太大的改变的话甚至有上修的空间那可能我觉得下半年行情还是有可以期待的地方那可能大家就变成说
[11:58] 这几天台股在拉回的过程里面
[12:00] 你就去寻找一些落难的股票
[12:02] 在一个重要均线的附近
[12:04] 去做一个低档的承接
[12:05] 我觉得反而是一个比较好的做法
[12:07] 那落难股票
[12:08] 其实现在排名上还蛮多的
[12:10] 因为有很多的强势主流股
[12:12] 不是到了季线
[12:14] 甚至说有到半年线的关卡
[12:16] 那我们就讲说
[12:17] 如果你确定下半年
[12:19] 整个资本支出没有改变
[12:20] AI的故事还是会成长的话
[12:22] 你不妨去看这些落难的股票
[12:24] 也许可以找到一些好的股票
[12:26] 去逢低减便宜
[12:28] 那后续有没有机会
[12:29] 就像捡到当时的联发科
[12:31] 当时很多像联电这种落难股票
[12:34] 捡到之后
[12:35] 反而股价大幅度的拉高
[12:36] 我觉得这时间点
[12:37] 反而是大家可以放慢脚步
[12:40] 那好好去寻找一些好的公司
[12:42] 趋势没有改变的
[12:43] 基本面也没有变差
[12:44] 甚至说营收在创业率新高
[12:46] 但股价反而是回到相对低档区的话
[12:49] 我觉得逢低去布局这样的股票
[12:51] 比较安全一些
[12:52] 好 因为上礼拜也有聊到一件事
[12:54] 我也是观察
[12:56] 普罗大众给我的一个反应
[12:58] 就是说已经买到没有钱了
[13:00] 可以理解
[13:02] 因为这一波下修
[13:03] 因为中小型股下修
[13:05] 那以前的惯性是这样
[13:06] 也有跟大家聊到
[13:07] 前几次惯性是以大盘来说好了
[13:10] 回撤月线
[13:11] 破月线一两天
[13:13] 然后那个时候
[13:14] 如果你敢积极的买一些股票
[13:15] 后面就上去了
[13:17] 后面不但上去
[13:18] 甚至还创新高
[13:19] 对不对
[13:20] 就算没有创新高
[13:20] 也是赚钱
[13:21] 所以感觉是好的
[13:23] 就算买ETF也一样
[13:24] 感觉是
[13:25] 我只嫌我自己减不够
[13:28] 就没想到就上去了
[13:29] 这会造成一个什么样的情形
[13:31] 几次这样惯性下来
[13:32] 每一次下来
[13:33] 大家赶减
[13:34] 甚至高档刚下来
[13:36] 大家可能就迫不及待的进去减
[13:38] 减着减着发现子弹没有了
[13:40] 但是子弹没有了
[13:41] 以前可能会上去
[13:42] 你就觉得那没有问题
[13:44] 但这一次没有马上再上去
[13:46] 而是在月线这边晃啊晃啊晃
[13:49] 甚至刚刚汉玮哥也讲到
[13:50] 有一些甚至ETF也是
[13:52] 已经到季线附近晃啊晃啊晃
[13:55] 没有马上上去
[13:56] 钱又花得差不多
[13:58] 感觉就会变差
[13:59] 判断就会下降
[14:01] 心情就会变不好
[14:03] 我想这是这两三个礼拜
[14:05] 很明显的
[14:06] 这一切都源自于所谓的惯性改变
[14:09] 当然赵怀会非常的关注
[14:11] 这一次惯性改变的问题
[14:12] 因为刚刚特别提到
[14:14] 我们在讲所谓的货币紧缩
[14:15] 这个不是开玩笑
[14:16] 就是当大家喊
[14:18] 这个三代同堂
[14:19] 四代同堂
[14:20] 六代同堂
[14:21] 可能你会觉得听到麻痹了
[14:22] 融资也打死都不退
[14:24] 而且说实话
[14:25] 没有跌到什么断头
[14:26] 所以其实一点都不痛
[14:27] 我跟汉伟也讨论过这个问题
[14:29] 因为真的没有认真洗刷过
[14:32] 所以就会变成
[14:33] 在上攻的过程中
[14:35] 你攻一攻
[14:35] 就有点攻不上去又下来
[14:37] 可是下来又不干脆
[14:39] 因为大家真的是
[14:40] 带着钢盔往前冲
[14:41] 所以它会变成一个
[14:42] 在区间震荡中
[14:44] 甚至有一些股票
[14:45] 叫做温水煮青蛙也好
[14:47] 或者是忽然急跌
[14:48] 你来不及走也好
[14:49] 体感就会越来越差
[14:51] 要如何克服这个情况
[14:54] 我觉得刚刚浩远哥
[14:55] 讲到一个重点是
[14:56] 放慢脚步
[14:58] 就这个时间点
[14:59] 如果你觉得
[15:00] 已经例如说
[15:02] 跌到你觉得该停损好了
[15:03] 或者是说像周老师
[15:05] 常常讲到的
[15:05] 不要被套牢
[15:06] 所以你应该强势股回挡
[15:07] 五日线甚至十日线
[15:08] 虽然是获利回吐
[15:10] 或是有一点受伤
[15:11] 但是先走
[15:12] 把现金换回来
[15:13] 我觉得这件事情
[15:14] 在现在变成是
[15:16] 你要很认真去考虑
[15:19] 因为不见得凹单能回来
[15:21] 那另外一方面
[15:22] 如果大家想要去捡东西
[15:23] 我还是不改初衷
[15:24] 因为像今天的话
[15:25] 我看到还是很多
[15:26] 刚刚讲到的
[15:27] ETF不但破月线
[15:28] 甚至往季线走
[15:29] 那有比前两天
[15:30] 还要低点的时候
[15:31] 我还是有减一点点
[15:33] 那为什么
[15:34] 因为ETF买进的成本比较低
[15:36] 就一两万两三万
[15:38] 你就可以买
[15:38] 不像有时候
[15:39] 你去买一些现股
[15:40] 刚刚讲到
[15:41] 好被动元件杀下来
[15:42] 看到国际今天快跌停板
[15:44] 我觉得突然觉得
[15:46] 那时候的麦菲
[15:47] 现在是不是宝物回来找我了
[15:49] 那时候麦菲
[15:51] 你干嘛笑出来
[15:51] 那时候一直在呐喊
[15:53] 国际新商店麦菲
[15:54] 结果现在两档都回到
[15:56] 就是比卖掉的时候
[15:58] 更低的价格
[15:59] 甚至还低不少的时候
[16:01] 富鼎比较猛
[16:02] 富鼎虽然今天打到跌停板
[16:04] 但是还是离我当时
[16:06] 麦菲的价钱
[16:07] 他还是比那时候高
[16:08] 所以后面谁来飞太远
[16:10] 但是这时候要不要减
[16:12] 其实会真的很犹豫
[16:13] 也许只能花一点点的小钱减
[16:16] 要不然你的子弹真的会很快打完
[16:18] 因为它是一个
[16:19] 还算是一个中高价股
[16:21] 一张如果你用现股买
[16:23] 还是要八九十万的公司
[16:25] 所以你的钱会很快就打完
[16:26] 顶多买一点零股
[16:28] 但是买一点零股
[16:29] 你可能会觉得没什么意思
[16:30] 就会在这种时间点上面
[16:32] 放慢脚步
[16:34] 拉长战线
[16:35] 我觉得是很必要的
[16:37] 与其你越接越低
[16:39] 不如你慢慢的接
[16:41] 涨上去的时候
[16:42] 你可能小怨叹说
[16:44] 啊接的不够
[16:45] 但这就是运气跟你的承受度
[16:47] 和你的认知到这边
[16:49] 像我就是会选择
[16:50] 那就现在很慢很慢的接啊
[16:53] 因为它一直在月线附近
[16:55] 一直在季线附近
[16:56] 混来混去
[16:56] 那你就慢慢接啊
[16:58] 搞不好还破呢
[16:59] 还破的时候
[17:00] 你到底有没有勇气
[17:01] 把你已经准备好的现金
[17:02] 继续拿出来投入
[17:04] 我觉得这就是
[17:05] 很考验的一件事情哦
[17:06] 但无论如何
[17:07] 还是回到我们的基本面上面
[17:09] 我们现在真的有点被国际股市
[17:11] 还有就是资金紧缩的政策干扰了
[17:13] 可是如果你说大家的基本面
[17:15] 我觉得还是一句老话
[17:16] 第二季六月营收陆续结出来
[17:19] 甚至到七月
[17:20] 我觉得大家的基本面状况
[17:21] 应该还是不错的
[17:22] 也可以关注一下美股财报的状况
[17:25] 对啊
[17:26] 所以我们跟大家讲
[17:27] 就是说大家还是要去确定一下
[17:29] 大趋势有没有改变
[17:30] 各国轮动或是整个盘面上的信心
[17:34] 结构或是整个族群的转弱
[17:36] 我觉得都是难免会遇到的事情
[17:38] 因为今年说真的
[17:40] 就像刚刚讲的
[17:41] 你看大盘今年以来
[17:43] 从1月份到现在已经7月中了
[17:45] 大盘居然没有跌破月线
[17:47] 超过三天以上
[17:48] 就代表这一波
[17:50] 为什么大家觉得说
[17:51] 拉回就可以再来买方
[17:52] 就是因为整个行情的一个走势
[17:55] 真的是强到
[17:56] 大家会觉得说
[17:57] 这个钱好像很好赚
[17:58] 只要任何拉回都是买点
[17:59] 那为什么最近感受那么差
[18:01] 第一个你看大盘回到月线了
[18:03] 第二个贵买指数回到季线了
[18:05] 第三个费办指数也跌破季线的关卡
[18:07] 所以整个结构上面是在转弱
[18:09] 那你用过去
[18:10] 可能今年的前六个月的操作方法
[18:13] 在最近就觉得很痛苦
[18:14] 怎么股票越减越便宜
[18:16] 减到都没有钱了
[18:17] 那追强势股追突破的
[18:19] 一追隔天就变成大跌
[18:20] 所以这个感受上
[18:22] 但会觉得会变得非常的差
[18:24] 那还是跟大家讲
[18:25] 我们要跟大家说的是
[18:26] 这个只是一个短线上资金
[18:29] 或说族群
[18:29] 或说整个盘面上的结构的改变
[18:32] 但整个大趋势方向
[18:34] 并没有太大的一个变化
[18:36] 因为如果你看到今年
[18:37] 在所谓的基本面的条件
[18:39] 我们就讲以台湾的
[18:40] 六月营收已经全部公布出来了
[18:42] 其实很多公司也继续创下
[18:44] 所谓的营收历史新高
[18:46] 那整体上的上市柜营收
[18:48] 前六个月应该都交出
[18:50] 历史新高的成绩单
[18:52] 那不管你看我们的硬数据
[18:53] 所谓的出口啊
[18:55] 经济成长啊
[18:56] 也都维持一个上修的状况
[18:58] 所以我们跟大家讲
[18:59] 就是基本面的趋势没有改变
[19:01] 那国际上来看的话
[19:02] 你看到这些AI的资本支出
[19:04] 这些科技巨头的股票
[19:06] 其实最近有一些慢慢的一个转强
[19:08] 你光看美股的情况
[19:10] 在上个礼拜我们休市期间
[19:12] Meta股价是创价两个月新高
[19:15] 因为它可能要扩大它的AI资本支出
[19:18] 然后挥打股价是重新回到5兆美元的市值
[19:22] 那也就代表说你看到国际上里面
[19:25] 跟AI相关的一些科技巨头
[19:27] 其实股价也没有特别的弱
[19:29] 也是进行一个高低继续的轮动
[19:31] 所以目前整个一个AI的架构
[19:33] 或趋势没有改变的情况里面
[19:35] 大家还是可以冷静下来
[19:37] 就像刚刚赵老师所说的
[19:38] 你可以慢慢做
[19:40] 你可以慢慢的去看
[19:42] 你心中这个想要买的股票
[19:45] 有没有回到你真的可以认同
[19:47] 他的位置去抵接他
[19:48] 你以前会觉得说
[19:49] 股票好像明天不买
[19:51] 他就喷出去了
[19:52] 那你现在股票
[19:53] 你是可以等到月线的一个买点
[19:55] 可以等到季线的买点
[19:57] 所以如果说大家之前
[19:58] 有先做好一些资金的控管的话
[20:00] 其实现在心情应该是好的
[20:02] 但大家可能就是之前
[20:03] 就是做得顺风顺水
[20:05] 钱打得太快
[20:06] 所以反正现在拉回来的时候
[20:07] 没有资金可以做一个进场
[20:09] 所以这时间点
[20:10] 我觉得就要去做一些
[20:11] 所谓缩减战线的动作
[20:13] 你可能要去
[20:14] 过去你可能是打得很善
[20:15] 你可能每一个
[20:16] 什么涨价题材都买一点
[20:18] 记忆体被动元件
[20:19] 主动元件
[20:20] 吸金元
[20:21] 载板
[20:21] 什么都有
[20:22] 那我觉得这时候
[20:23] 你可能就要去缩减
[20:24] 也许你要把
[20:25] 比方说你涨价题材
[20:27] 你只看好一两个
[20:28] 那你可能把其他
[20:29] 可能买得比较善的股票
[20:30] 涨得跟跌得
[20:32] 趁着破线
[20:33] 或说在整个行情可能反弹的时候
[20:35] 去做一些减码的动作
[20:37] 把资金集中到一些你真的认同
[20:39] 他可能未来的一个后续的趋势
[20:41] 会看好的一个股票
[20:42] 我觉得是一个比较好的操作方法
[20:44] 那你会说
[20:45] 那什么叫做后续趋势可以看好的股票
[20:47] 我觉得简单去讲分成两块
[20:50] 就是说第一个他在未来AI的占比
[20:52] 或说他的一个相关的
[20:55] 所谓的科技的含量
[20:57] 或说他的含金量比较高的
[20:59] 那就是你可以做一个核心布局的股票
[21:01] 比方说我们讲台湾的三台
[21:03] 台积电 台达电 台光电
[21:05] 他们都是当中的代表
[21:06] 那另外一种就是所谓的一个
[21:08] 你现在可以看到
[21:09] 它可能未来半年或未来一年
[21:11] 它的业绩都会很好的股票
[21:13] 那股价遇到拉回的时候
[21:14] 我觉得就可以逢低承接
[21:16] 举例来讲
[21:17] 比方说你可以看到
[21:18] 载板族群
[21:19] 他们就是未来可能在一年到两年之内
[21:23] 缺货缺口的都会非常严重
[21:25] 那只是说股价现在没有拉回
[21:27] 但以后遇到拉回
[21:28] 你就可以做一个承接
[21:29] 那又或者是说
[21:30] 像AI相关的一些重要的核心零组件
[21:34] 比方像散热啊
[21:35] 像滑轨啊
[21:36] 甚至连伺服器的组装代工
[21:38] 或者说机壳
[21:39] 或者说PCB
[21:40] 我觉得这些都是确定性很高
[21:43] 你可以知道说
[21:43] 未来的一个基本面
[21:45] 都会持续的好转
[21:46] 那我觉得这些公司
[21:47] 就会变成说
[21:48] 你在拉回的时候
[21:49] 你最早会知道说
[21:50] 我买它
[21:51] 但是未来半年一年之内
[21:53] 它的股价营收跟获利
[21:55] 都还在创造一些新高
[21:57] 我觉得这是你可以
[21:58] 勇敢的承接的个股
[21:59] 那你说你也比较想要去承接
[22:02] 所谓涨价概念股的题材的话
[22:04] 我觉得你可以考虑像记忆体
[22:06] 像被动元件
[22:08] 目前来看他们涨价趋势没有改变
[22:10] 那只是说位阶有高低不同
[22:12] 那像被动元件是从高档刚开始回跌
[22:15] 所以它筹码
[22:16] 我觉得需要一定一段时间的沉淀
[22:18] 那记忆体是整理了很久
[22:20] 那现在低档区还没有回到月线的关卡
[22:23] 那你就可能要看到
[22:24] 这些股票在低档区
[22:26] 有没有一些所谓筹码转强的
[22:28] 那股价慢慢回到所谓月线之上
[22:30] 它可能就是你可以优先去选择一个标的
[22:33] 比方说你看到原本大家很期待的礼拜五
[22:36] 那个台阶没有公布营收
[22:38] 但那额额额照样召开法说会
[22:40] 法说会线上法说
[22:41] 对那法说会照样召开
[22:42] 原本大家都很乐观期待
[22:44] 因为成绩很棒啊
[22:45] 对啊
[22:45] 记忆体就很麻烦在这件事情
[22:47] 刚好今天还有一个
[22:48] 因为还有一个是对记忆体很了解的
[22:50] 那我也常常讲我都抓不到
[22:51] 因为我听到那个成绩我觉得超级赞
[22:53] 可是呢
[22:54] 结出来的股价反应就不一定
[22:56] 对因为今天是被海力士拖累下来
[22:59] 对啦
[22:59] 对那海力士的利空是来自于哪
[23:01] 就是说韩国的券商说
[23:03] 海力士他可能在这个月月底
[23:06] 公布出来的营收
[23:07] 会比市场预期来的更差
[23:09] 大概差了8个百分点
[23:10] 原因在于说
[23:11] 因为海力士他大概有4成5成的
[23:14] 一个营收占比是HBM
[23:16] 那HBM过去是签所谓的长约
[23:18] 所以现在所谓的低润的价格
[23:21] Netflix的价格的上涨
[23:22] 跟HBM的长约价格的一个涨幅
[23:25] 相比来看
[23:25] 反而海力士因為長遠牽的多
[23:28] 他的漲幅就相對落後
