[00:00] 欢迎收听赵华与古破在地1081集
[02:26] 有一万个以上的订阅
[02:27] 这个脸书上面有公布
[02:29] 金周刊的联络方式
[02:31] 想买书的朋友
[02:32] 直接去跟出版商
[02:33] 就是金周刊去做联系
[02:35] 那希望他们赶快把
[02:36] 还有一点点的库存
[02:38] 卖给需要的朋友们
[02:40] 是的
[02:40] 因为真的是要绝版
[02:42] 因为市面上真的找不太到书了
[02:44] 是
[02:44] 对
[02:45] 我说我只有很多朋友都在买
[02:46] 对
[02:47] 我这不是今天的重点
[02:48] 今天的重点就是
[02:49] 今天就是
[02:50] 怎么感觉这个
[02:52] 每一战争提不断
[02:54] 新周已过万重山
[02:56] 就是感觉好像我们这个资本市场的船
[02:59] 已经都开出来了
[03:00] 就好像这个大型邮轮
[03:02] 两周的库存就已经
[03:04] 马上就要来抵达台湾的这个麦寮港
[03:07] 但是两周基本上还是不太够用
[03:09] 所以邮价基本上
[03:11] 看起来是不容易大跌
[03:13] 邮价看起来
[03:15] 它就会卡在这个大量中值
[03:16] 跟下缘的附近
[03:18] 那这个告诉你资本市场就没有再害怕
[03:21] 如果今天再站回大量中值
[03:23] 可能就开始怕
[03:24] 可是看这一波
[03:25] 他最多就来到大量中指
[03:26] 他就下来了
[03:27] 那今天这个盘很奥妙
[03:28] 就是早上其实大家都很担心说
[03:31] 完蛋了完蛋了
[03:32] 因为今天大盘好强
[03:33] 会不会贵买就要开始怎么样
[03:35] 开始回挡大休息
[03:37] 可是早盘台积电冲高之后
[03:40] 尾盘的台积电又破了均价线
[03:43] 贵买本来早盘是弱的
[03:45] 贵买尾盘又转强了
[03:47] 今天中场贵买是涨1.84%
[03:49] 是比大盘的1.75%来得多多多
[03:53] 就是你看就是一个
[03:54] 因为台积电也杀了韦凡
[03:57] 难免
[03:57] 你就可以知道说
[03:58] 其实今天还是贵买领先大盘
[04:01] 虽然大盘是站上军架线的
[04:03] 可是航母没有发动
[04:05] 这样告诉你
[04:06] 大盘是走不了太远
[04:07] 可是大盘也是要交代
[04:09] 因为韩国都创新高了
[04:11] 我们之前讲过
[04:11] 台湾不能跟人家比
[04:14] 台湾要跟自己比
[04:15] 因为我们是全球
[04:16] 最核心的AI成分的国家
[04:20] 所以我们市场
[04:21] 当然要领先人家创新高嘛
[04:23] 那么贵买早就已经创新高了啊
[04:25] 所以我们的大盘也要交代一下
[04:27] 所以今天早盘就交代了
[04:28] 可是今天大盘的交代
[04:30] 并不是靠好母
[04:31] 而是靠发哥跟台达电
[04:33] 对台达电也好威啊
[04:34] 对那我们之前有讲过了
[04:36] 这个行情不要一直看台积电
[04:38] 一直看台积电你会赚不到钱
[04:39] 我说你要看台达电
[04:40] 台达电一路往上涨
[04:42] 今天台达电的供应链里面
[04:45] 像建策今天也亮灯涨天
[04:46] 是
[04:46] 因为建策是有交台达的
[04:49] 就是在散热的这个族群里面
[04:51] 那今天起泓也大涨
[04:52] 所以告诉你说
[04:53] 其实资金已经有点在挪移
[04:55] 挪移
[04:56] 就是今天CPU有点稍微转弱
[04:58] 但我觉得这不是坏事
[05:00] 就是市场上面本来就不能
[05:02] 一个资金一直在单一个资金
[05:04] 一直跑一直跑
[05:05] 这样跑久会疯掉的
[05:07] 就是市场会进入疯狂
[05:09] 就好像我们现在看新贵一样
[05:11] 新贵一天多股票涨三成四成的
[05:14] 其实我查一下
[05:16] 有些公司根本基本上
[05:17] 就没有到那个位置
[05:18] 但是市场就是疯狂的追
[05:20] 所以我觉得这也是很可怕
[05:22] 一旦回转的时候
[05:24] 丑媳妇还是要见公婆
[05:26] 万一掉下来的时候
[05:27] 大家可能的手脚就要快一点
[05:29] 如果你是操作新贵市场的
[05:31] 今天的联发科大长
[05:33] 其实我们刚刚一开始
[05:34] 就跟赵华在聊
[05:35] 其实他把整个IP族群都带起来
[05:38] 还带动了IC设计族群
[05:39] 那我个人觉得
[05:41] 带动IP族群是有道理的
[05:43] 因为我们在很早以前
[05:44] 我们就跟赵华在聊说
[05:46] 那个四星KY
[05:47] 为什么一直不涨
[05:48] 我不知道大家有没有印象
[05:50] 不过这个事情我有跟大家分享
[05:53] 因为世新KY跟创意
[05:54] 我们不要讲厂长两档
[05:56] 创意是业绩已经先进来了
[05:59] 去年就进来了
[06:00] 所以创意绝对我自己个人
[06:02] 在IP里面的话
[06:03] 它一定是第一首选
[06:04] 有业绩的一定
[06:05] 可是世新KY是因为亚马逊的订单
[06:08] 它有一点点的延后了
[06:09] 但不是没有
[06:11] 在今天市场的环境气氛
[06:14] 没有很好的时候
[06:15] 世新KY其实前阵是被压抑到破前低的
[06:17] 可是现在资金回来了
[06:20] 那大家想想他又不是没订单
[06:21] 订单只是在后面
[06:22] 所以他也涨
[06:24] 那世青KY跟创意在涨
[06:26] 其实我觉得发哥在IP上
[06:28] 跟这两家比的话
[06:29] 说实话这两家还是比较强的
[06:32] 对所以这两家涨是有道理
[06:34] 那发哥除了带IP
[06:36] 或者说IP也带了发哥
[06:38] 发哥今天更猛的是
[06:39] 把中低价的A设计全部一挂
[06:42] 全部像肉粽一样
[06:43] 还没有等我节奏拉起来
[06:45] 当然就是说因为你大盘是过高的
[06:47] OTC也过高的
[06:48] 那过去印象中
[06:50] 台股要跟着这些指数过高的族群
[06:52] 应该是IC设计
[06:53] 而不是大家过去没听过的CPU
[06:56] 可是这段是CPU一直在往上走
[06:59] 可是我们的IC设计却一直都没有上来
[07:01] 所以今天这个我觉得是
[07:04] 因为过度的压抑
[07:06] 所以就稍微拉了一下
[07:07] 但是我觉得你后面还是要看
[07:09] 它的体质
[07:10] 看它的体质
[07:12] 就是说IP公司涨是合理的
[07:14] 但是你看它今天连M3E都涨
[07:18] 没错
[07:18] 我觉得连精力科都长进
[07:20] 所以告诉你说
[07:21] 其实IP公司也有分
[07:24] 真的有料跟
[07:26] 只有看到订单
[07:28] 但是不见得能够
[07:29] 大家出货的族群
[07:31] 我就说我们在看
[07:33] 世新跟创业
[07:34] 他就是在大家实时是
[07:35] 他有订单
[07:36] 他也出不了
[07:37] 他也出得了这个单
[07:38] 他也出得了
[07:39] 可是有些公司是
[07:40] 订单确实也很多
[07:42] 他们就是出不了货
[07:44] 但是股票市场
[07:46] 今天没有在犹豫
[07:48] 全部都要让它涨停
[07:49] 因为有希望
[07:51] 今天是有希望最美的行情
[07:53] 所以它有希望它就涨停了
[07:55] 但是回过头来就是说
[07:56] 因为它去年的基期很低
[07:58] 那今年可能像N3
[08:00] 它今年可能就柔油体会进来
[08:02] 所以今年可能相对去年
[08:03] 业绩确实也会好
[08:05] 但是真的讲到IP这个概念
[08:08] 它还是落后
[08:09] 但是市场上其实没有在管
[08:11] 就是你只要
[08:12] 因为你看今天伊朗族群也在涨
[08:14] 就是神盾跟安国
[08:16] 就是IP里面比较腰
[08:19] 比较不是靠获利
[08:21] 对
[08:21] 那去年的神盾
[08:22] 因为他有把他投的一家公司
[08:25] 叫做前瞻科技
[08:27] 没错
[08:27] 那前瞻科技去年他认了一些亏损
[08:29] 那今年他就会重回来
[08:31] 再这样今年前瞻要挂牌
[08:33] 所以感觉上他就是要
[08:35] 夹着这一个母仪子贵的讯息
[08:37] 要重新在市场上大展身手
[08:40] 那刚好要夹着发哥
[08:41] 今天大亮灯大涨停
[08:43] 那所以他就连带上了
[08:46] 所以基本上从一个AI
[08:48] 一个Google的TPU
[08:50] 就衍生出后面这些
[08:52] 就是它不是跟ASIC相关的
[08:55] 它只是IP公司它也涨
[08:56] 那甚至于它
[08:57] 跟IP公司也没有什么关系
[09:00] 它只是IT设计它也涨
[09:01] 就是大家都乱涨一通
[09:03] 但是我就说
[09:04] 基本上气势起来之后
[09:05] 你就要尊重它
[09:06] 但是先前比较强的CPU
[09:09] 短线回来整理
[09:10] 先前的设备公司回来整理
[09:12] 我觉得他们应该
[09:13] 后面也还会再涨
[09:14] 所以你就要拿捏
[09:16] 就是說他什麼時候這些愛設計談完了
[09:18] 可能直接用回來到原本的族群去
[09:21] 而不是說每天看漲然後你也不追
[09:25] 然後漲很多你才要去追
[09:27] 然後最後要套
[09:28] 然後你就說哎呀怎麼辦
[09:30] 我又套在很高的位置
[09:32] 所以我們其實都在第一時間
[09:34] 就跟大家講說這個族群開始發動了
[09:36] 你可以留意
[09:37] 像我們剛才講像什麼世新KY創意這種
[09:43] 我認為你這時候去追應該都還有肉
[09:45] 都还没有什么太大的风险
[09:47] 对
[09:47] 但是你说像安国
[09:50] 像这个神盾这种
[09:52] 这种如果你再等两天
[09:54] 你再去追就要小心
[09:55] 因为他们这种股票
[09:57] 刚刚赵岳讲
[09:58] 他们就是比较妖媚
[09:59] 对
[10:00] 妖媚的女子是不容易追的
[10:02] 要很小心
[10:02] 对
[10:03] 应该是说
[10:05] 无忌呀
[10:07] 漂亮的女人
[10:08] 要小心
[10:09] 但他们的漂亮
[10:10] 是在股价上面很吸引人
[10:12] 如果说我们稍微搭配
[10:13] 一点点所谓的基本面
[10:14] 其实是蛮容易分辨
[10:16] 什么样的股票是可以买的
[10:18] 但是我也必须承认
[10:19] 有时候当资金一来
[10:21] 这些相对之下
[10:22] 它的筹码比较轻
[10:23] 然后它不管有没有获利第一是之前可能无人问问一段时间了所以崇巴也洗得比较沉淀了管他有没有获利这个族群在涨他就很容易连续拉涨停
[10:35] 你就会觉得非常的被吸引
[10:38] 有人可以赚到这样的钱
[10:40] 但是我跟凯哥虽然我们喜欢标股
[10:42] 我们也喜欢会上涨的股票或成长股
[10:44] 可是我们两个还是会倾向
[10:46] 我们觉得他是比较扎实的
[10:48] 我觉得这件事情是蛮有共识的
[10:52] 而比较扎实的
[10:53] 虽然它也许不像标股长这么多
[10:55] 可是它长得会让你比较安心
[10:57] 而且也会长
[10:58] 我觉得这个是蛮重要
[11:00] 甚至入窑之马力
[11:01] 例如说如果你今天是把时间拉长到一整年
[11:04] 你那些腰的可能都已经跌回去了
[11:07] 可是厉害的都还在长
[11:08] 对我觉得这件事情也是
[11:10] 大家在持股上面可以去思考的一个方向
[11:13] 那当然今天我觉得有一个
[11:15] 也许是优点也许是缺点
[11:17] 就刚刚讲到的很多的IC设计
[11:19] 也不管你有没有真的获利
[11:21] 或是是不是
[11:22] 大家都缺CPU
[11:23] 大家都缺MCU也来
[11:24] 有没有
[11:25] 成熟制成的也来
[11:26] 反正就先涨
[11:27] 因为位阶比较低
[11:29] 当然很多人
[11:30] 像你看发哥
[11:31] 发哥虽然今天是创新高
[11:33] 可是发哥的位阶不高
[11:35] 因为有人是创新高完
[11:37] 再创新高
[11:37] 你跟台达店比起来
[11:39] 那个线差多多
[11:40] 那线差超多
[11:41] 因为台达店是从1000到2000
[11:42] 发哥是从1900回到1400
[11:46] 再回2000
[11:46] 对不对
[11:47] 所以发哥的这一系列族群
[11:50] 就是IC设计IP挂
[11:52] 你严格来说
[11:53] 虽然创高
[11:54] 或者是接近创高的这些公司们
[11:57] 未接跟别人比起来
[11:59] 早就已经不一样了
[12:00] 对
[12:00] 因为他们是比较低估的
[12:02] 所以我觉得这里面
[12:03] 如果今天这种热潮
[12:05] 因为现在看起来
[12:06] 又是一个万里无云
[12:08] 怎么讲
[12:08] 因为战争这件事情
[12:10] 感觉上你已经不太可能
[12:12] 再爆出比之前更严重的
[12:14] 大家根本就不鸟
[12:15] 都不理
[12:16] 所以为什么赵华在上礼拜讲说
[12:18] 这段时间
[12:18] 说是个股表现
[12:20] 可能会比ETF跑得还要快
[12:22] 但是如果大家真的没有办法掌握
[12:24] 现在个股的轮动
[12:25] 例如说今天CPO回档
[12:26] 你还是不敢买
[12:27] 那你就还是用ETF来帮你操作
[12:30] 也是可以的
[12:31] 其实像CPO
[12:33] 我就说有一档股票也可以留意
[12:34] 就是我们之前讲很久
[12:35] 就是比较落后的联军
[12:36] 他也是可以留意的
[12:38] 因为他有一档股票
[12:39] 他有一档子公司要挂牌了
[12:42] 那我如果没记错
[12:43] 好像是元杰吧
[12:44] 他也是一家很不错的CPO公司
[12:47] 那他也是母义子贵
[12:48] 所以基本上你就知道说
[12:50] 有些公司你有抓住他的题材
[12:52] 那他回档的时候
[12:53] 其实就是一个好的布局的时间点
[12:55] 你不要在这时候
[12:56] 你还在拼命去追联亚
[12:57] 因为老人他已经涨到这边来
[12:59] 会不会太over了
[13:00] 其实很难讲
[13:00] 那回过头来就说
[13:02] 刚刚我们在讲说CPU缺
[13:03] 其实CPU缺
[13:04] 其实第一个时间想到的就是威慎
[13:06] 对
[13:06] 所以威慎在涨停
[13:08] 所以威慎连拉好几根
[13:09] 其实他不是今天才涨停
[13:11] 他已经连拉好几根
[13:12] 就看你喜不喜欢威慎
[13:13] 他就是有营收
[13:14] 那他就是有这个题材
[13:16] 那你说CPU缺
[13:18] 老实讲
[13:20] 我觉得这其实是蛮tricky的
[13:22] 就是说
[13:22] 当你的记忆体的报价涨那么多
[13:26] 然后大家都因为记忆体的缺货
[13:28] 没有办法大出消费品的时候
[13:30] 你的CPU是会大量吗
[13:33] 应该是不至于
[13:34] 应该是要减量
[13:35] 但是你说CPU缺
[13:37] 是不是有人就是
[13:38] 本来他是CPU的供应商
[13:39] 例如说像Intel
[13:40] 是不是他把他的CPU减量了
[13:42] 他转到更高阶
[13:44] 他想要去挤去AI
[13:46] 所以他造成他原本的
[13:47] 这一个短期的shortage
[13:49] 这是有可能的
[13:51] 一样啊
[13:51] 就是你在看MCU
[13:52] 也是一样的概念啊
[13:54] MCU其实最近长最凶的
[13:55] 其实是新唐啊
[13:56] 其实新唐
[13:57] 对对对
[13:58] 新唐其实跟MCU
[13:59] 没有什么关系
[14:00] 其实他在反映的是
[14:01] 他跟我们的股王
[14:03] 信华
[14:04] 是有做同样东西的
[14:06] 可是信华人家就是已经
[14:08] 一直在大量出货了
[14:10] 那他一直在认证
[14:11] 而且你看他最近的消息是
[14:12] 他也去出低轨道卫星
[14:14] 所以你就知道说
[14:16] 我常常讲
[14:16] 当一家公司
[14:17] 你过度的产品
[14:19] 你都有涉入的时候
[14:20] 严格讲
[14:21] 你就是样样通
[14:22] 样样松
[14:23] 就不够专精
[14:25] 我比较喜欢的就是
[14:26] 你是很专精
[14:27] 在做某一个产品线的
[14:29] 我在想说
[14:30] 当初在美滤
[14:31] 它跌到25块的时候
[14:32] 我发现他们讲的故事
[14:33] 都没有改变
[14:34] 我就觉得
[14:35] 我去一趟大陆场看一下
[14:36] 果然他那时候就讲说
[14:37] 他们快要接到Apple的单了
[14:39] 是
[14:39] 后来美滤就从25
[14:42] 直接涨到100多块
[14:43] 所以一家公司
[14:44] 如果OS是讲同样的故事
[14:46] 你就要很认真去想说
[14:47] 那他是不是讲真的
[14:48] 那如果他三不五
[14:49] 所以跟你讲
[14:50] 他做不一样的东西
[14:51] 你觉得他有那么多的产能
[14:52] 那么多的RD人员投入吗
[14:54] 你就要打一个很大的问号
[14:56] 我们没有特意要去批评
[14:58] 哪一家公司怎么样
[14:59] 只是这是一个投资的逻辑
[15:01] 跟你在选股的技巧
[15:03] 我很想要直接说
[15:07] 但是我就忍耐着说
[15:09] 就是有一些IC设计公司
[15:11] 因为毕竟它是消费性的IC
[15:13] 所以它难免就是
[15:15] 可以东占西占
[15:16] 有一阵子无人机很好
[15:19] 对不对
[15:19] 大家有没有印象
[15:20] 因为那时候国防预算
[15:21] 要大量的采购无人机
[15:22] 当然现在国防预算
[15:23] 都会有一些朝野两党
[15:25] 要争执的问题
[15:26] 就没那么热了
[15:27] 但当时热的时候
[15:28] 我不晓得大家有没有印象
[15:29] 有非常多家
[15:31] 从来没说过
[15:32] 要做无人机的公司
[15:33] 都说自己有无人机
[15:35] 可能他是做晶片
[15:37] 就说有无人机晶片
[15:38] 他可能曾经有一些
[15:39] 模组制造经验
[15:40] 他说他可以做组装
[15:41] 大家都来说的时候
[15:42] 有几家
[15:43] 真的是变色龙
[15:44] 到有一点让我shock的
[15:46] 然后等到像之前元宇宙
[15:50] 那也有一票人说做元宇宙
[15:52] 像现在CPU
[15:54] 其实也有一票人说做CPU
[15:56] 其中有
[15:57] 我大概有观察三到五家公司
[16:00] 是几乎每一次有什么热门题材
[16:02] 他都有做
[16:02] 对
[16:03] 他都有做
[16:04] 没有错
[16:05] 所以那三到五家
[16:06] 说真的
[16:07] 就算他天天在那边拉涨停
[16:09] 我真的也比较不会碰
[16:11] 因为事实证明
[16:12] 当你的线拉长来看
[16:13] 他们都会回去
[16:14] 甚至跌得比原本还要低
[16:16] 所以我才会讲说
[16:17] 如果要做这类型的股票
[16:19] 不是不行做
[16:20] 因为他们很腰
[16:21] 然后筹码已经沉淀过了
[16:23] 那就用技术形态去做就好了
[16:25] 一旦转落就走
[16:26] 也不要觉得你有麦菲
[16:28] 你有赚他一根两根
[16:29] 就不错了
[16:30] 因为我和凯格都一样
[16:32] 不可能什么事情都有做的啦
[16:33] 那每一次有新的题材
[16:35] 你就有做
[16:35] 那那些跟云好几年的是
[16:37] 是笨蛋吗
[16:38] 对
[16:39] 怎么讲到这来
[16:40] 今天明明是一个
[16:41] 还是一个很好的盘
[16:43] 今天是很兴奋的
[16:44] 对还是很兴奋的盘
[16:45] 那新贵更猛哦
[16:46] 我们可能都没有
[16:47] 一直跟大家讲新贵
[16:48] 新贵其实的成交量
[16:50] 应该这几天
[16:50] 都是一直在创历史新高
[16:52] 然后有一天
[16:53] 记得是昨天吧
[16:54] 好像有超过20档的涨幅
[16:56] 因为它没有涨离谱限制嘛
[16:57] 超过20档的涨幅是20%
[17:00] 然后还有很多熔断
[17:01] 这个也都是现在
[17:03] 你说我们过热
[17:04] 其实我觉得有一点
[17:05] 可是如果大家在比位阶的话
[17:07] 那今天涨IC设计
[17:08] 也有它的道理
[17:09] 就比位阶之下
[17:11] 台股这么热
[17:12] 还有一些位阶
[17:13] 相对比较合理的
[17:14] 没有错啦
[17:15] 所以我刚刚讲说
[17:16] 资金在轮动
[17:17] 所以这某程度也是一个好事
[17:19] 就是大盘其实
[17:20] 它不要过度的
[17:21] 一直聚焦在某些族群
[17:23] 它让资金稍微轮动一下
[17:25] 但轮动会有一个缺点嘛
[17:27] 轮动就是会有人会被甩掉
[17:29] 对
[17:29] 所以就是我们在看
[17:31] 你到底对原本的AI
[17:33] 你到底是不是有没有认证
[17:34] 有没有用功
[17:35] 你是把股票全部卖光
[17:37] 去追这些有的没有的股票
[17:38] 还是你就是做一部分的减码
[17:40] 然后去追这些强势股
[17:42] 我觉得比较好的操作模式是
[17:44] 你就留一些
[17:45] 然后去追强势股
[17:47] 因为你这样
[17:47] 才有办法观察到
[17:49] 你的股票是不是再度开始转强了
[17:50] 对
[17:51] 而且你可以看到
[17:52] 其实这两天
[17:53] 其实沙地的股票
[17:54] 很多其实大家都留下影线
[17:56] 就跟你说
[17:57] 其实它不是真的结束
[17:59] 只是短线的资金
[18:01] 可能就暂时离开这里
[18:03] 那因为市场本来就有一批
[18:04] 我记得上礼拜
[18:06] 我们还在讨论死因原件
[18:08] 死因原件今天就休息了
[18:10] 但是我们那时候讲说
[18:11] 基本上它也是老实讲
[18:14] 获利能不能跟得上
[18:15] 也是一个比较大的问题的股票
[18:17] 可是一下就啪
[18:18] 涨了一大段
[18:19] 那就一开始就是因为筹码很干净
[18:21] 所以当然就很容易涨
[18:22] 可是涨到这边
[18:24] 普世都皆知的时候
[18:26] 很多的什么IG都在讲
[18:29] 实行元件的时候
[18:30] 你就要注意说
[18:30] 这股票怎么以前没人看
[18:32] 现在已经到处
[18:33] 连投股老师都在讲了
[18:35] 那是不是很危险
[18:36] 你就要观察
[18:37] 那当然你说他们有没有阻力在那边
[18:39] 有
[18:39] 确实也有大咖在里面
[18:41] 但是短时就是涨太多了
[18:43] 所以他就進入整理
[18:44] 因為講到十一元件
[18:47] 也是凱哥來那一天
[18:48] 我不是有講到經濟嗎
[18:49] 然後我不是有跟
[18:50] 這個聽眾朋友分享說
[18:52] 我個人會比較傾向
[18:53] 就是現在要陸續出經濟
[18:55] 但是會留金居嘛
[18:56] 結果我今天一打開
[18:58] 我就傻眼了
[18:59] 經濟變成20分鐘分盤了
[19:01] 它又再度被處置
[19:02] 5分變20分
[19:04] 哇咧
[19:04] 20分真的
[19:05] 對我來說
[19:06] 連我這種
[19:07] 就是算是有在教育的人
[19:09] 都覺得很煩
[19:09] 因為你圈錢要買的
[19:11] 那個動力比較強
[19:12] 可是你圈钱要卖的动力会比较弱
[19:15] 我也说不上来为什么
[19:17] 因为你圈钱要买
[19:18] 一定是他非常吸引你
[19:20] 那你现在赚钱
[19:21] 获利拉开了
[19:22] 是不是一定要卖呢
[19:23] 20分钟要圈钱
[19:24] 好懒哦
[19:25] 虽然APP现在都可以直接进去圈
[19:28] 所以他就影响到我了
[19:29] 那我就想没有关系
[19:30] 既然20分钟分牌
[19:31] 我今天就来看他怎么走
[19:32] 哇这走势超颠簸的哦
[19:34] 就是忽上忽下
[19:36] 虽然20分钟
[19:37] 但是那个20分钟真的是神出鬼没
[19:39] 上去又下来
[19:40] 我觉得挺有趣的
[19:41] 最后更猛的说在品牌
[19:42] 对
[19:44] 所以我今天就看了一场戏
[19:45] 就还没有办法处理它
[19:47] 我觉得大家手上有股票
[19:48] 有时候也不妨用这样的观察角度
[19:51] 观察看看
[19:51] 那今天我做一件事情
[19:53] 我觉得也可以来跟天文分享
[19:55] 也可以跟凯哥分享
[19:56] 今天一定大家很fomo
[19:58] 我觉得
[19:58] 我今天有做了一个事情
[20:01] 大家都知道我有一个部位是债券
[20:03] 我今天有卖了部位的债券
[20:05] 转到主动式的ETF
[20:08] 因为上个礼拜一直跟大家讲
[20:10] 我有在听个股
[20:11] 那说实话我的管道很多
[20:13] 所以在个股上面
[20:14] 真的是现在真的是名牌满天飞
[20:17] 但涨到今天
[20:18] 我会觉得说
[20:19] 如果你很在意所谓的资金效率
[20:21] 那我又不想投新的钱下去了
[20:24] 因为都已经创历史新高了嘛
[20:26] 但是你又看这个态势
[20:27] 好像真的是很猛
[20:28] 因为我现在想不出来
[20:29] 黑天鹅在哪里
[20:30] 所以我就用平转的
[20:32] 什么叫平转
[20:33] 也不能说平转
[20:33] 就是我把债券卖了一部分
[20:35] 钱拿出来之后
[20:36] 今天立刻就去买了
[20:38] 祖宗市的ETF
[20:39] 然后分散在
[20:40] 我平常有在观察的
[20:41] 可能是联动大盘的
[20:43] 他希望打败大盘的
[20:44] 也有大家很耳熟能详的
[20:45] 这个992981
[20:46] 当然要强调一件事哦
[20:48] 今天一开盘的时候
[20:49] 其实非常多的主动式ETF
[20:50] 还是一个溢价的状况
[20:52] 可是你可以看到
[20:53] 他们从盘中之后他们有努力的去收敛那个溢价当然因为盘涨上来了所以其实我们买台股的这些ETF他们做这个券商造势去收敛那个溢价他们是有一些方法的
[21:04] 所以我就在收敛溢价的时候
[21:06] 去转进了这些主动式ETF
[21:08] 那当然会说
[21:09] 你在历史创新高的时候买
[21:11] 不会怕吗
[21:12] 我怕明天再创新高嘛
[21:14] 所以我用平转的
[21:16] 就是我把比较不会动的钱
[21:17] 转到我觉得比较会动的
[21:19] 那如果明天跌呢
[21:20] 那我今天没有投新的钱啊
[21:22] 明天跌后天跌
[21:23] 我就可以把新的现金再放进去
[21:26] 这是我今天在我自己克服
[21:28] 好formal
[21:29] 而且我觉得好像真的
[21:30] 不会回档的那个心情下
[21:32] 做的一个决定
[21:33] 我觉得可以跟大家分享
[21:34] 也是蛮诚实
[21:35] 就跟大家分享
[21:36] 我今天在做这个事情
[21:37] 对因为你大盘过高
[21:39] 基本上他就不容易有大回档
[21:41] 你说小回档有可能
[21:42] 但是大回档就很难
[21:43] 这个气势太强
[21:45] 因为他本来是不过高要压回的
[21:47] 而且我观察早盘
[21:49] 你看早盘其实
[21:50] 不管是大盘或贵买
[21:51] 其實他就一度有一點日KD開始要交叉
[21:54] 要向下的味道
[21:56] 大概在10點之前
[21:58] 可是10點之後
[22:00] 大盤的KD就拉開來了
[22:02] 然後更重要的是
[22:04] 櫃買是尾盤又拉起來
[22:06] 所以告訴你說
[22:06] 基本上他就多頭氣勢還在
[22:09] 多頭氣勢還在
[22:10] 所以多頭氣勢還在的時候
[22:11] 很多人問我說
[22:12] 什麼股票可以買
[22:13] 什麼股票不可以買
[22:14] 我就想說基本上你想買就買吧
[22:16] 因為他就是一個多頭
[22:17] 多頭其實兄弟爬山各自努力
[22:20] 每家公司他想爬哪一段
[22:23] 其实你不知道
[22:24] 但是他在爬你就尊重他
[22:26] 你也不要说你要去看空他什么
[22:28] 没有必要
[22:28] 对那他可能休息一下
[22:30] 可能就又再涨起来
[22:31] 所以我觉得基本上
[22:33] 只要是原本的20日线是守稳的
[22:36] 站在5日均线上的
[22:38] 基本上你都不用看得太保守
[22:40] 就顺着让他去继续往上爬就好了
[22:43] 不用说我们什么大盘过高
[22:46] 是不是要自己先设停利点
[22:47] 我觉得都不需要
[22:48] 其实你也不用太自己去吓自己
[22:51] 但是我说过
[22:51] OTC现在确实是有点过了
[22:53] 所以你要留意的是
[22:54] OTC万一它开始有一天
[22:56] 突然爆量留一根长黑
[22:58] 基本上就要做一点的减码
[23:01] 对
[23:01] 我们不能说
[23:02] 在过的时候还一面的看多
[23:05] 而要稍微带一点警觉性
[23:08] 对
[23:08] 好
[23:09] 因为这一波上来
[23:10] 我知道大家
[23:11] 虽然我跟大家讲说
[23:13] 这一波上来之后
[23:14] 就是每一顿话之后
