[00:00] 欢迎收听赵华依古惑仔第10101集
[06:02] 自己反手卖
[06:03] 虽然那是不同人
[06:04] 好不同的
[06:05] 发报告的跟买卖的是不同单位的
[06:07] 大家还是要有点概念
[06:08] 对但是就是对于
[06:09] 大家在市场的资金的积极度
[06:13] 这是我最会优先看的
[06:15] 那我觉得最近的季度算是
[06:17] 还蛮
[06:18] 其实还是蛮不错的
[06:19] 真的吗
[06:20] 我觉得外资在三万
[06:21] 涨到四万的时候
[06:22] 它有点跟不上
[06:23] 就是没有像重演过去
[06:26] 有那种外资不断买超的状态
[06:28] 其实今年以来
[06:29] 我觉得台股有点独自美丽
[06:30] 就外资的买超
[06:31] 我没有觉得跟得上盘式的热烈
[06:33] 应该说我觉得内资逐渐壮大到
[06:36] 外资已经好像不是那种
[06:39] 可以就是自己影响全部的那种感觉
[06:41] 对
[06:42] 那尤其是像看我们
[06:44] 不是像大家常常在讲
[06:45] 009
[06:47] 981A
[06:48] 981A
[06:49] 每天
[06:49] 台湾人每天
[06:51] 除值50亿到100亿
[06:53] 好 0050
[06:53] 也有这样子
[06:54] 对 可是你看
[06:55] 光是它一档基金
[06:56] 如果我们随便
[06:57] 就抓最近的平均
[06:59] 2500亿的size
[07:00] 它
[07:01] 全部都要在台股
[07:03] 我们如果看外资好了
[07:05] 我们现在看到外资
[07:06] 如果还不错大的外资
[07:07] 可能
[07:08] 它的基金2000亿
[07:09] 3000亿就很大了
[07:10] 它放在台湾可能是
[07:11] 里面的10%
[07:13] 或里面的20%
[07:14] 所以其实跟内资的这个ETL相比
[07:17] 是size变很小的
[07:19] 所以反而是外资的影响力
[07:21] 现在看起来对台股市场
[07:22] 有一点点的下降的味道
[07:24] 因为内资更强了
[07:26] 那我还要去相信小摩的五万点吗
[07:28] 它的利润是什么啊
[07:29] 这就有趣
[07:30] 因为我特别看他的报告
[07:32] 因为我们以前自己的经验
[07:34] 就是外资报告
[07:35] 我觉得这件事情很有趣
[07:36] 就是因为外资的报告
[07:37] 本来就不是写给我们一般人看
[07:39] 对吧
[07:40] 他写给客户看
[07:41] 他写给专业的人看
[07:42] 然后客户如果买单的话
[07:43] 就显他很厉害这样子
[07:45] 对所以外资的报告
[07:46] 常常都是
[07:47] 我们大多数的一般人
[07:49] 就是看热闹的
[07:50] 但我们都不知道门道
[07:51] 到底怎么看
[07:52] 例如说我第一个看到
[07:53] 这种指数的报告
[07:55] 我会认知说
[07:55] 他想要看多
[07:58] 那他想要看多的原因
[08:00] 八成是他要推他们家的
[08:02] 一些写买
[08:03] 就是overweight
[08:05] 要买进的股票
[08:06] 那五万点是怎么来的
[08:08] 因为他是有写
[08:09] 最乐观五万点
[08:11] 又来了
[08:12] 最不乐观是
[08:13] 他最不乐观放4万点
[08:15] 那不错
[08:15] 现在已经是最不乐观的状态了
[08:17] 卡到那个地底的门槛
[08:19] 然后中间放好像4万7
[08:21] 所以他其实就是
[08:23] 说穿了他抓一个4万到5万的区间
[08:25] 超大
[08:26] 参考性好像有点低
[08:28] 虽然参考性低
[08:30] 可是可以看得出来
[08:30] 他就正向表列
[08:31] 对
[08:32] 可是我觉得他列出有一些数字
[08:34] 就蛮有趣的
[08:34] 他说在过去的几年
[08:36] 台股的市值已经从原本2022年的
[08:39] 2兆美金变成5兆美金
[08:41] 这个成长是很可观的
[08:43] 那在MSCI指数
[08:45] 台湾在所谓的新兴市场MSCI指数
[08:49] 现在已经来到亚洲最大了
[08:52] 是占23到24%
[08:54] 这很大
[08:55] 如果你看过去三年前
[08:58] 可能才占23%之类的
[09:01] 所以自从AI出现以后
[09:03] 台湾的这MSCI占比一直被挑胜
[09:05] 我们刚讲的是新兴市场
[09:07] 新兴市场就包括
[09:08] 亚洲的话就是日本不是
[09:10] 其他都是新兴市场
[09:11] 那如果我们讲到
[09:12] 全球的MACI指数的话
[09:14] 台湾现在已经被
[09:15] 一路提升到2.8%了
[09:18] 我记得我以前在外资的时候
[09:19] 可能台湾是
[09:20] 1%吧
[09:22] 我记得我们在全世界的市值
[09:24] 也已经是
[09:25] 例如第七名
[09:26] 对
[09:26] 所以其实你看
[09:28] 以外资角度
[09:29] 看来就不太一样
[09:29] 我们台湾大家会看说
[09:31] 什么好
[09:32] 会不会涨
[09:32] 大家都在看这种东西
[09:33] 可是外资变成说
[09:35] 我可不可以放更多钱来台湾了
[09:37] 对吧
[09:38] 原本例如说我的
[09:38] 我刚刚随便举例的
[09:40] 我的基金是3000亿
[09:41] 我原本放在台湾只能放300
[09:43] 我现在是不是可以把它提升到
[09:45] 500 600 700
[09:47] 往上提升
[09:48] 那这样的话
[09:49] 才会让外资愿意把更多钱放在这边
[09:52] 好
[09:53] 所以这个是一个态度的表列
[09:56] 就是至少对台湾的重视度
[09:58] 有明显的往上跑了
[10:00] 那也因为我们市值大
[10:01] 市值大像这种MACI
[10:02] 它是一种所谓看市值
[10:04] 或者被动式调整的
[10:05] 它本来就要对我们是更加的重视
[10:07] 这是一定要的
[10:08] 我还记得一件事情
[10:10] 就蛮久远之前
[10:11] 就是那时候中国在快速崛起的时候
[10:13] 其实资金都一直流向中国
[10:15] 就是他们的权重一直被挑生
[10:17] 我们终于
[10:18] 我们就一直被挑降
[10:19] 我们终于
[10:20] 久久之前记恨一下
[10:21] 我们超过他们了
[10:22] 对
[10:23] 那现在的话
[10:24] 我们的权重是一直往上挑生
[10:25] 因为他们的资金流还是非常的不方便
[10:29] 对于外资来说
[10:30] 好
[10:30] 这是题外话
[10:31] 那我们就继续进入到产业的部分
[10:34] 因为刚刚布莱有提到
[10:36] 可能他抓整体的指数
[10:39] range很大
[10:40] 只能是一个正向表列
[10:41] 但是产业就影响力很大
[10:44] 对不对
[10:44] 前一阵子的联发科
[10:45] 我们自己都有点傻眼
[10:47] 因为我们有很多联发科的同学
[10:50] 对吧
[10:51] 联发科每年送很多人来念书
[10:53] 所以我们真的认识很多同学
[10:55] 不见得觉得自己的公司
[10:57] 是不够优秀
[10:58] 可是也有提到一件事
[11:00] 我觉得跟其实外资内资的报告
[11:02] 也很吻合
[11:03] 就是其实今年的
[11:04] 整体成长性是不亮眼的
[11:07] 甚至就持平就了不起了
[11:08] 这是在获利营收上面
[11:10] 可是没想到在法税会上讲的是
[11:12] Ethic的数字有可能会翻倍
[11:15] 其实那个数字并不是一个大数字
[11:17] 只有这个期待竟然让外资就调升
[11:19] 联发科的目标价到5000
[11:21] 而且重点是后年估EPS估到400块钱
[11:25] 最有趣的
[11:26] 你既然刚刚已经提到联发科了
[11:28] 因为我前阵子
[11:29] 可能几个月前去联发科演讲
[11:31] 然后最有趣的就是
[11:33] 联发科的员工
[11:34] 只有一件事不做
[11:36] 什么事
[11:36] 不买
[11:37] 就是他绝对不买联发科
[11:39] 我跟大家分享
[11:41] 因为我自己在脸书
[11:43] 写了多嘴了一句话
[11:44] 后来有被公司关切
[11:45] 我就说群创跟友达不一样
[11:48] 我想听我Podcast的朋友
[11:49] 一定都知道
[11:49] 为什么我觉得群创跟友达不一样
[11:51] 就是两家当初在卖场的时候
[11:53] 我必须讲
[11:54] 可能当然友达的朋友
[11:56] 也可以来反驳
[11:57] 群创在卖场的时候
[11:58] 他有想到后端的一些技术连结
[12:00] 以及把这场卖掉之后
[12:02] 他们可以拿来
[12:03] 就是拿到的钱
[12:04] 或是说卖给的对象
[12:06] 可以做什么连结
[12:07] 因为这个事情
[12:08] 我是比较清楚
[12:09] 然后所以
[12:09] 而且像所谓的
[12:10] 三出行封装
[12:11] 他们真的是比较早
[12:12] 做切入等等的
[12:13] 因此我觉得
[12:14] 不是说两家都转型
[12:15] 说哪一家比较厉害
[12:17] 可是确实我觉得
[12:18] 在转型的积极度上面
[12:19] 我觉得群创
[12:20] 是给我看到一个方向的
[12:22] 然后我说
[12:23] 唯一一样的
[12:24] 就是两家的员工
[12:25] 其实都看不太起
[12:27] 自家的公司
[12:28] 真的啦
[12:29] 大家去网路上逛嘛
[12:31] 只要看到群创在涨
[12:32] 或有的还在涨
[12:33] 下面就会有内部员工说
[12:35] 烂死了
[12:35] 上面的主管都在怎么样怎么样
[12:38] 我不知道在涨哪一条的
[12:39] 我觉得还是很烂
[12:40] 内心受创
[12:42] 然后联发科呢
[12:43] 我必须呼吁一下不如
[12:45] 因为同学多嘛
[12:46] 希望不要来念书
[12:47] 会去编黑名单
[12:49] 就是他们也会提到就刚刚讲到的其实成长性在这两年是比较辛苦的尤其是手机市场的状况不好对他们可能自己都万万没有想到会因为这个ethic的议题
[13:00] 可以忽然爆喷
[13:02] 我觉得有趣的就是
[13:03] 常常产业端
[13:05] 就算你在产业里
[13:05] 可能会有一点理解的落差
[13:07] 是因为大家在产业会看现在
[13:09] 可是你在金融的
[13:11] 大家都在找未来的故事
[13:12] 未来的故事
[13:13] 你现在
[13:14] 例如说你现在我在做
[13:15] 现在的工作是手机
[13:16] 你就觉得
[13:17] 那个还没一撇
[13:18] 但其实高
[13:19] 可能上面的
[13:20] 上面的董事长
[13:21] 对
[13:21] 订单都谈好了嘛
[13:22] 对
[13:23] 所以这件事情是
[13:24] 我们也觉得挺有趣的
[13:26] 好
[13:26] 但是回到
[13:27] 就是从联发科
[13:28] 其实联发科引爆了一系列
[13:30] 联发科甚至引爆了一系列
[13:32] 是有关于像
[13:33] 不只是先进制程
[13:34] 而是成熟制程
[13:35] 消费性市场
[13:36] 虽然让它长的是
[13:38] 所谓的ethic
[13:39] 可是后面接棒的
[13:40] 例如说像最近
[13:41] 什么功率原件
[13:42] 然后那些所谓的
[13:44] 电源管理IC
[13:45] 都觉得有机会
[13:47] 可以参到AI的一咖
[13:48] 就等于是在AI里面
[13:49] 你不一定是用到
[13:51] 最高阶的AI晶片
[13:52] 而是各个元件
[13:53] 可能都会有升级
[13:54] 或涨价或用量提升
[13:56] 然后大家就不只是
[13:57] 消费性电子
[13:58] 它有蔓延下来
[13:59] 所以最近联电也很强
[14:01] 对然后联电又有
[14:02] 跟Intel合作的这个项目
[14:04] 但世界就比较弱
[14:05] 所以延伸着联发科
[14:07] 这一挂的IC设计
[14:09] 或是成熟制程类的东西
[14:10] 其实外资最近是蛮关注的
[14:13] 非常非常多的报告
[14:14] 我们都看到好多报告
[14:15] 就像我刚刚一开始讲的
[14:17] 报告再出
[14:18] 这些股价还是会反应
[14:20] 是
[14:20] 所以还没有到行情
[14:22] 真的不好
[14:23] 因为真的不好的时候
[14:24] 是没有在理这些事情
[14:26] 就大家都急着要跑
[14:27] 但现在的资金
[14:28] 大家是
[14:29] 应该说
[14:30] 简单来说
[14:31] 他是还在找东西买
[14:32] 对吧
[14:33] 所以如果有大家
[14:34] 很看到什么事情
[14:34] 市场上反而会
[14:36] 更集中的把那些资金塞去
[14:38] 现在还比较
[14:39] 没有被这么多卖超的
[14:41] 不像涨很多了
[14:43] 他就开始跌了
[14:44] 对
[14:44] 所以后来发哥的崛起
[14:46] 其实我觉得很好
[14:47] 因为市场上就变成
[14:48] 最近台移电在休息
[14:49] 可是发哥
[14:50] 大地光
[14:51] 甚至等一下我们要聊的国巨
[14:53] 都是成为另外一个
[14:55] 全职股出来撑盘的
[14:56] 不过我先延伸到联电跟世界先进
[14:59] 因为上个礼拜五
[15:00] 台移电就在盘后发了一个公告
[15:02] 他要处分掉世界先进
[15:04] 让他的股权
[15:05] 就降到所谓的20%以下
[15:07] 以后就用权益法认列就好了
[15:09] 这个市场那时候是非常的shock
[15:11] 不过他一天就解决这个事情
[15:13] 他在礼拜一用巨额的盘后交易
[15:15] 就把世界先进卖完了
[15:17] 但世界先进
[15:18] 经此一役
[15:19] 就有一点点
[15:20] 让大家蒙上了一层
[15:21] 说不上的阴影
[15:23] 可是联电就有一点
[15:24] 是比世界先进逆势强
[15:26] 在外资的报告里
[15:27] 也呈现了这一点
[15:28] 我觉得市场上的投资人
[15:31] 很多时候都会想太多
[15:33] 就是你会去揣测
[15:34] 台链为什么要卖世界
[15:37] 是不看好了吗
[15:38] 说到我了吗
[15:38] 我就在揣测
[15:39] 还是大家会很特别在说
[15:41] 是觉得之后不好了吗
[15:43] 不行
[15:43] 可是
[15:44] 我跟妳講更可怕的是
[15:45] 還有其他的創意精彩
[15:47] 彩玉會不會也有
[15:48] 就是各種延伸
[15:50] 就是各種害怕
[15:51] 但是其實台積電
[15:53] 他怎麼做這個決策
[15:54] 他的理由是怎麼
[15:55] 我們不知道
[15:56] 通常很多時候都是為了一些
[15:58] 不是我們想的那種很可怕的事情
[16:01] 對
[16:02] 他肯定說要釋出一些
[16:03] 更多的股權去做其他事情
[16:05] 或者是怎麼樣
[16:06] 其實很多時候這個理由就是
[16:08] 我常常喜歡跟
[16:09] 像我們自己的聽眾說
[16:11] 沒有理由的事情
[16:12] 你不如就不要花过多的精力去找理由了
[16:16] 没有理由
[16:16] 是你来听听我们蛊惑
[16:17] 两家在PK
[16:19] 应该说你自己研究不出来一个所有感染
[16:22] 你不如听听别人意见
[16:23] 就此打住就好了
[16:24] 像我就觉得这种通常
[16:27] 你涨多开始遇到某一件事情
[16:29] 开始拉回
[16:30] 如果有兴趣要低阶的
[16:33] 你都不应该一笔就打进去
[16:35] 低阶的策略一定都是去用一个
[16:37] 那种你分批的策略去进行
[16:39] 不然如果你买进去
[16:41] 又继续再叠个二三十趴
[16:43] 那就尴尬了
[16:44] 但是据说外资确实是比较看好联电
[16:46] 外资是比较看好联电
[16:48] 我看最近有一个比较大报告
[16:50] 就是在写整个成熟制程这一块
[16:52] 其实说穿了
[16:54] 因为我们看外资报告看久
[16:56] 其实很多都知道他这个要包什么
[16:58] 经文可能会写
[16:59] 什么上修联电
[17:01] 但下修世界先进
[17:03] 下修环球金
[17:04] 怎么好像没有一个很明确的
[17:06] 但我一看就知道
[17:07] 他这篇就是要推联电
[17:09] 他只把其他东西一起包进来
[17:11] 这样写起来才有说服力
[17:12] 对吧
[17:13] 成熟制程
[17:14] 可能最坏已过
[17:16] 接下来不会再这么烂了
[17:18] 相对之下
[17:19] 你看跟最近很常那种
[17:21] 编动语件
[17:22] 或者是之前的记忆体
[17:23] 大家都在涨价
[17:24] 大家都很好
[17:25] 可是成熟制程比较像是
[17:27] 之前很烂哦
[17:28] 消费这么烂好几年了嘛
[17:31] 然后成熟制程一直都有
[17:32] 就是只有疫情期间是有景俏
[17:34] 但后来都是功过于求的一个感觉
[17:36] 所以就变成说
[17:38] 有机会不会再这么烂咯
[17:40] 的这一个说法
[17:41] 但是我觉得
[17:42] 很多很好的东西
[17:44] 从去年开始
[17:44] 不管是什么PCB
[17:46] ABF
[17:46] GET
[17:47] 各路都在涨价以后
[17:49] 其实很多东西都贵了
[17:50] 自然大家就回来看这种
[17:52] 那有什么还没有
[17:53] 还没有涨起来的
[17:54] 之后也会觉得
[17:55] 有机会好的
[17:56] 那再加上
[17:57] 从美国的
[17:58] 你看什么
[17:59] CPU这块
[18:00] Intel开始
[18:01] 这一个话题又被炒起来了
[18:02] 所以大家就看到
[18:03] 那台湾的联电
[18:05] 是不是有机会
[18:07] 从这边
[18:07] 如果他们之后
[18:08] 社会开始涨价
[18:09] 但这些都还是预期中
[18:11] 所以你看现在的营收
[18:13] 是还没有显示的
[18:14] 那这就很像什么时候
[18:16] 很像去年9月以前的记忆体
[18:19] 9月的时候
[18:21] 记忆体是已经开始发生营收了
[18:23] 但是讲记忆体涨价这件事情
[18:24] 可能要再往前推半年
[18:26] 但是股价那时候也是有先动的
[18:28] 好所以世界先进跟联电
[18:31] 我是这样想
[18:32] 其实如果追溯以前
[18:34] 大多数的时候
[18:36] 世界先进的本益比都比联电高
[18:39] 有很长的一段时间
[18:40] 然后大家也会问说
[18:42] 例如说赚的钱
[18:43] 没有差异很大
[18:44] 为什么世界先进的本益比
[18:45] 比较高一点点
[18:46] 当然因为他的母公司是
[18:48] 台积电这件事情
[18:49] 我想给了他很大的加持
[18:50] 然后筹码可能也比较集中
[18:52] 这也给他很大的加持
[18:54] 所以当今天台积电降持股到
[18:55] 我记得19%
[18:56] 就是真的就是所谓的
[18:58] 要降到20%以下这件事
[18:59] 降下来之后
[19:01] 大家难免会有点觉得
[19:03] 在筹码上
[19:04] 或者是说
[19:05] 当然筹码看起来
[19:06] 现在是传说
[19:07] 是可能给恩智普
[19:09] 或是反正都是外资收走
[19:10] 它盘后巨额交易
[19:11] 不见得是看得出来是给谁
[19:13] 因为就是会有外资来出手
[19:15] 把它接走这样子
[19:16] 所以我觉得筹码也不至于乱
[19:18] 因为它单笔应该是给特定人士接走了
[19:20] 但是对于评价上面
[19:22] 可能大家就会对于
[19:24] 它不是那么高持股的台积电子公司
[19:26] 就会有一点点做调整
[19:28] 倒不是说它技术一定输联电很多
[19:31] 或是什么的
[19:32] 但联电终究还是成熟制成里面的一哥
[19:35] 讲到这个
[19:37] 我们以前做这种股权
[19:39] 不是就这种
[19:40] 他一次转换股权
[19:41] 通常就是在
[19:42] 你盘后一次敲就结束了
[19:44] 不过有什么盘中在那边
[19:45] 大家不要以为
[19:46] 盘中会卖好几万张出来
[19:48] 就死定不会
[19:49] 怎么可能他卖不掉
[19:50] 通常要公布出来这件事情就是
[19:52] 我已经谈好谁要接了
[19:55] 然后我盘后就一笔
[19:56] 戳两万张之类
[19:57] 戳掉就结束了
[19:58] 所以盘中跌停是下到人去卖的
[20:00] 对
[20:00] 所以这件事情
[20:03] 刚刚布鲁有讲
[20:04] 在外资的眼光来看
[20:06] maybe
[20:06] 他就觉得世界
[20:07] 有一点点难免
[20:09] 失去了过去
[20:10] 被罩住的那个光环
[20:11] 可是台电给他的扶持
[20:13] 或者说机台给他
[20:14] 订单转给他
[20:15] 我觉得那个东西
[20:15] 是不太会改变的
[20:16] 不会
[20:16] 但联电可能就有点委屈
[20:18] 以前都
[20:19] 为什么我本益比都低于他
[20:21] 现在轮到我了
[20:23] 那环球金
[20:24] 我觉得倒也没有看淡
[20:25] 原因是前阵也大涨
[20:26] 因为矽金远也要涨价
[20:28] 所以现在涨价这件事情
[20:30] 只是从前面最快涨价
[20:32] 涨得最凶的
[20:33] 供不应求的到后端
[20:34] 也许没有到供不应求的地步
[20:36] 可是会涨价
[20:37] 就像被动元件
[20:39] 现在也是这样的味道
[20:40] 现在就在期待
[20:41] 以后会不会也有可能呢
[20:43] 对吧
[20:44] 有啦有涨了啦
[20:45] 国际说他有发涨价
[20:46] 我说那个成熟之程
[20:48] 因为联电
[20:49] 我跟你讲
[20:50] 这件事情很有趣
[20:52] 联电也是在去年底的时候
[20:53] 我有跟同学请教过
[20:55] 我说你们要不要涨价
[20:56] 他说没有
[20:57] 对
[20:57] 就是非常确定的说没有
[20:59] 我说可是中国大陆那边不是涨价
[21:01] 他说那是他们啊
[21:02] 然后他说也不是全面涨啊
[21:04] 至少我們沒有
[21:04] 可是後來到了最近
[21:05] 他們就真的要漲價了
[21:07] 對啊
[21:07] 所以你看才差幾個月
[21:09] 不過我覺得有趣就是
[21:10] 因為像我現在
[21:11] 我今年其實花
[21:12] 前陣子有一段時間沒來
[21:14] 我就在請團隊忙
[21:15] 用AI幫我找出一些那種
[21:18] 我以前可能大部分時間
[21:20] 只看台灣的成交金額排行
[21:22] 對吧
[21:22] 因為錢去哪裡
[21:23] 這是最明顯的
[21:24] 然後我請團隊幫我用AI
[21:25] 抓出每天的
[21:27] 美股 日股 韓股
[21:29] A股 陸股的成值排行
[21:31] 就可以很明確看出
[21:32] 全世界的錢
[21:33] 它都是在往哪一个主题聚集
[21:35] 那像其实
[21:36] 讲到的这种CPU
[21:38] 成熟制成
[21:39] 我觉得最明显
[21:40] 就是一开始
[21:40] 四月的Intel
[21:42] 传在美股传出来
[21:43] 然后就看到
[21:44] 大家都开始找
[21:46] 成熟制成的
[21:47] 这一个主题
[21:48] 还有什么故事
[21:48] 是
[21:49] 好
[21:50] 所以它就是一个资金流向
[21:51] 上面大家可以观察的
[21:53] 对对对
[21:53] 等一下布鲁也会教大家
[21:54] 如果我们只是一般人
[21:56] 我们有没有可能
[21:57] 像金融机构那样捞资料
[21:58] 等一下会来教大家
[21:59] AI现在很方便
[22:01] 就像凌晨的时候
[22:02] 这个Google的产品开发者大会
[22:05] 它就是Gemini的进化版
[22:07] 其实我有三个
[22:08] 我有CheerGPT
[22:09] 我有Cloud
[22:10] 我有这个Gemini
[22:11] 我觉得Gemini的用词
[22:14] 它是比较符合我的喜好的
[22:16] 对
[22:17] 我觉得大家可能会各自有自己
[22:18] 然后CheerGPT
[22:20] 事实上它有进步一些
[22:22] 你跟Gemini比较合得来
[22:24] 对
[22:24] 我跟Gemini是比较合得来
[22:26] 那在这个Google的大会里面
[22:27] Gemini的进化是一个大重点
[22:29] 那AI眼镜也是一个新的产品
[22:31] 大家可能已经有点忘了
