[00:00] 歡迎收聽趙華宜古貨載第1045集
[10:40] 因為記憶體
[10:41] 昨天其實市場上面
[10:43] 這個俄語很多
[10:45] 好幫大家也整理一下
[10:47] 當然第一
[10:47] 大摩把群聯給降頻了
[10:49] 之前我記得
[10:51] 一直升頻群聯的
[10:52] 不也是大摩嗎
[10:53] 沒有關係
[10:54] 然後第二個
[10:54] 當然是美國有
[10:55] 這個所謂的做空機構
[10:57] 股價漲多
[10:58] 自然會盯上
[10:59] 它盯上是Sandy
[11:00] 昨天有在節目中
[11:01] 跟大家稍微分享
[11:02] 他認為市場把Sandisk
[11:04] 當作是下一檔揮打
[11:05] 這樣是不對的
[11:06] 他也是認定
[11:07] 他們是一個景氣迴圈股
[11:09] 諸如此類
[11:09] 其實記憶體的利空
[11:11] 多半都是這樣的雜音
[11:12] 然後還有當然
[11:13] 我們也常跟大家提醒
[11:15] 在中國大陸的擴產
[11:16] 這個還是不容小覷的原因是
[11:18] 他們也許不一定能擴到
[11:19] HBA那麼高階的商品
[11:21] 但是在DDR系列的話
[11:22] 他們的擴產
[11:23] 是會對我們有影響的
[11:24] 因為這一塊
[11:25] 我們臺灣的廠商也是時時在注意中國大陸的廠商的一個進度所以這些都會是短線上面的雜音但是應該說短線上面看未來的雜音
[11:36] 但現實面上面報價確實是居高不下
[11:39] 而且或是供不應求
[11:41] 這個是現在現實上確實是如此
[11:44] 對 講到記憶體的部分
[11:46] 其實我剛才自己在自己的頻道
[11:49] 我有稍微跟大家分享到
[11:50] 就是說臺灣的記憶體的一個產業地位
[11:55] 其實真的不如美國跟韓國
[11:58] 甚至如果說把2026年拿開來看
[12:02] 就是臺灣的這個具體的一個廠商
[12:05] 其實全球市佔率是不到5%
[12:07] 但是2026年有研究機構預估
[12:12] 中國大陸的基底有15%
[12:15] 所以其實他們
[12:16] 如果像剛剛趙華所提到
[12:18] 他們如果說真的發
[12:19] 就是出了一些就是
[12:20] 例如說去瓶頸
[12:22] 順利的去化了
[12:24] 然後量產出來了
[12:26] 然後因為他們現在的製程大概是14奈米
[12:30] 然後南亞科是10奈米
[12:33] 他們現在是製程上還輸給我們沒有錯
[12:35] 在DDR4的部分
[12:37] 但如果說要接下來他的這個持續的推進
[12:40] 其實他們在這個成本的優勢上
[12:44] 的確是有他的一個優勢存在
[12:46] OK好
[12:47] 但是我做完這個研究之後
[12:50] 其實我的結論並不是叫大家去買賣記憶體
[12:54] 因為我們看完了整個機體產業裡面
[12:57] 我發現其實風策才是臺灣的競爭優勢
[13:02] 從機體轉過來風策
[13:05] 不管機體風策或是所有的晶圓的風策
[13:09] 為什麼
[13:10] 因為你說比顆粒
[13:13] 比機體顆粒
[13:14] 其實臺灣不會比得上美光
[13:16] 也比不上三星或者是海力士
[13:19] 然後你說要比這個比較成熟的DDR4的部分
[13:24] 這個其實大家
[13:25] 其實心裡面都有一把尺
[13:28] 就是說假設中國到期來
[13:29] 臺灣一定是受到壓縮的
[13:31] 可是不管是美國
[13:33] 不管是韓國或者是其他國家
[13:37] 他們所生產的記憶體
[13:38] 其實基本上
[13:39] 他們都會需要臺灣的風策的一個產能
[13:43] 所以你看到今天記憶體一直跌
[13:46] 真正強拉的並不是
[13:49] 記憶體相關的個股
[13:50] 而是風扯
[13:51] 像今天南茂拉漲停板
[13:53] 對
[13:53] 不過他也是有一段時間的修正
[13:56] 對
[13:56] 我們也有注意到他
[13:57] 對
[13:58] 南茂他今天是漲停板
[14:00] 而且看起來呢
[14:01] 應該下個禮拜
[14:02] 就會再創這個破斷性高
[14:04] 其實南茂的現行
[14:05] 大家可以看一下
[14:06] 因為我覺得今天有好些
[14:08] 漲可能快停板的
[14:09] 或者漲停板的
[14:10] 都漲這樣
[14:11] 就是你會覺得
[14:12] 怎麼這個
[14:13] 可能年前就在跌了
[14:15] 然後跌跌跌
[14:16] 這三天也都沒他的事
[14:17] 今天一根掌
[14:18] 因為他跌的
[14:19] 不能算非常深
[14:20] 跌得比較久
[14:21] 然後一根掌
[14:22] 他又快要回到前高
[14:24] 那種感覺
[14:25] 今天很多都這樣
[14:26] 那像今天重電
[14:27] 華晨是創新高
[14:28] 那華晨之前
[14:29] 也是在年前
[14:30] 大家覺得
[14:30] 重電又不行了
[14:32] 結果連續
[14:32] 長兩天之後
[14:34] 他今天就創歷史新高
[14:35] 是
[14:35] 對
[14:36] 所以其實
[14:36] 我們回到剛剛
[14:38] 大家都有機會
[14:38] 對
[14:38] 回到剛剛記憶體的部分
[14:40] 我就覺得
[14:40] 其實大家應該去
[14:41] focus在
[14:42] 風策
[14:42] 對
[14:43] 記憶體的風策
[14:44] 好像剛剛的南茂
[14:46] 還有今天其實系格也漲停了
[14:47] 系格漲停
[14:48] 那大家可能很關注的是歷程
[14:50] 歷程也混了一下
[14:51] 歷程今天
[14:52] 收盤是說在平盤啦
[14:54] 歷程也是在250附近混
[14:56] 對它畢竟是
[14:57] 可能股本是比較大
[14:58] 對
[14:59] 那再加上今天MSCI調整嘛
[15:01] 它可能多多少少有點影響
[15:03] 是
[15:03] 然後再來像是有轉機的像華泰
[15:06] OK
[15:07] 然後再來其實像這個
[15:09] 之前年前有看到華東
[15:10] 對但華東比較辛苦
[15:12] 華東這個交加的集團
[15:14] 一直在賣華東
[15:15] 華芳店一直在賣華東
[15:17] 對
[15:17] 所以我倒覺得
[15:19] 其實大家在記憶體這塊
[15:21] 我個人看法就是
[15:22] 其實應該要從這個風策部分去看
[15:25] 因為這個產業比較不會被
[15:27] 國外的競爭者去做一個打壓
[15:31] 是
[15:32] OK
[15:32] 所以我覺得這部分是
[15:33] 我會持續做關注的
[15:35] 然後
[15:36] 不愧是在意價值面的
[15:38] 黃金右下角
[15:39] 然後
[15:41] 最近大家都在講說
[15:43] 不知道買什麼
[15:43] 對不對
[15:44] 我剛好前兩天
[15:45] 應該是前天
[15:48] 這麼好
[15:48] 你現在來告訴大家
[15:49] 可以買什麼了
[15:50] 我去看了一個
[15:51] 一個掛新貴的股票
[15:54] 那家公司叫做景美
[15:57] 哪一個景美
[15:59] 就是景美的景美
[16:00] 就是景美嗎
[16:01] 就是木柵旁邊景美
[16:04] 很好笑
[16:05] 他們那個董事長
[16:07] 致辭的時候就說
[16:09] 景美科技在土城
[16:11] 不在景美
[16:12] 為什麼要這樣子
[16:14] 他用一個地名
[16:15] 當然你說景美
[16:17] 可以是景色很美
[16:18] 對對對
[16:19] 可是又有這個地名
[16:20] 對對對
[16:21] 他就幽默地開場
[16:22] 說景美科技不在
[16:24] 景美在土城
[16:25] OK好
[16:26] 景美他是在做什麼
[16:29] 他在做那個
[16:30] 探針卡的機構建
[16:31] 探針卡真的很行
[16:32] 真的就是
[16:34] 現在只要講到探針卡
[16:35] 你看我們前兩天有講到
[16:37] 我記得開春第一天
[16:38] 高價探針卡
[16:39] 是不是都在回檔
[16:40] 就是影威金色旺系
[16:42] 都很慘
[16:42] 沒有今天大家又全部回去創新高了
[16:45] 中探針都已經漲
[16:46] 第三根
[16:47] 那時候是低價的在漲
[16:49] 可是高價大家覺得可能資金一套
[16:51] 然後就會想說先休息一下
[16:53] 但也沒休息多久
[16:54] 今天影威多少
[16:56] 5500是不是
[16:56] 收盤是5115
[16:59] 那是後來有下來
[17:00] 最高是5220
[17:01] 對
[17:01] 就其實他有創一個
[17:03] 那個幾乎要接近前高
[17:05] 對
[17:05] 又回來了
[17:07] 那個新過前法術會是
[17:08] People Mountain People Sea
[17:10] 人山人海
[17:12] 真的探針兩個字
[17:15] 非常好
[17:16] 這家公司怎麼可以吸那麼多的法輪
[17:20] 然後那個Q&A的部分
[17:23] 聽起來那個
[17:24] 不好意思
[17:25] 我講實話
[17:26] 那個問題就是塞好的問題
[17:27] 就是你知道怕QA太冷淡
[17:31] 所以那個主辦單位會去塞一些問題
[17:34] 我懂
[17:35] 因為我有主持那個實體論壇
[17:36] 然後每一次主辦單位都會擔心說
[17:39] 會不會現場都沒有人問
[17:40] 尤其是那種
[17:41] 有時候是金融商品
[17:42] 他們都會先給我三點題目
[17:43] 我心裡想真的不用
[17:44] 現場早就問爆了
[17:46] 是
[17:47] 然後那個
[17:48] 昨天我聽到那個
[17:49] 我個人覺得就是
[17:51] 先say的
[17:52] 所以say好我的題目
[17:53] 然後這時候
[17:55] 我的疑問就來了
[17:56] 那為什麼其他法人都不問
[17:58] 這個情況之下
[18:00] 就有兩種可能
[18:01] 法人都沒興趣
[18:04] 或者說法人
[18:05] 其實早就已經有定見了
[18:07] 法人有定見
[18:09] 但是我覺得如果法人
[18:10] 是真的看好的時候
[18:12] 多多少少還是會問
[18:13] 但是以前我跟那個
[18:15] 我想韋泰可能也知道
[18:17] 有時候我們不喜歡
[18:18] 在全部的人前面問
[18:20] 對
[18:20] 我們想把人帶到
[18:22] 對對對小房間
[18:23] 所以在表定的
[18:30] 那個時間到了之後
[18:32] 留下來的法人真的很多
[18:34] 這就double check
[18:35] 我剛剛說二選一
[18:37] 到底是大家是都沒興趣
[18:39] 還是大家都有心裡的想法
[18:42] 但是他不想要
[18:43] 就我想問到我獨家的內容
[18:45] 不要跟別人分享
[18:46] 尤其是我們那時候是
[18:47] 以採訪單位的時候
[18:48] 更希望是這樣
[18:49] 對對對
[18:49] 終於想把總經理拉到旁邊
[18:51] 額外問他說
[18:52] 今年EPS多少
[18:53] 然後問手機號碼
[18:55] 然後他們都被挾持
[18:56] 把手機號碼拿出來
[18:58] 不給都不好意思
[18:59] 對
[19:00] 結果呢
[19:01] 他成效價52塊
[19:04] 然後我朋友問我說
[19:05] 我說這個股票
[19:06] 因為它
[19:07] 我一鼓一背在三塊錢
[19:09] 我說大概七十塊錢
[19:11] 應該很快就看到
[19:13] 就要開盤開七十
[19:15] 最高拉到四百三十五
[19:18] 我真的覺得
[19:19] 我不用跟我說好強
[19:23] 我說不是好強
[19:24] 是好扯吧
[19:25] 就是新貴股票
[19:26] 因為有時候充滿
[19:27] 還算是集中
[19:28] 然後又沒有漲跌幅限制
[19:30] 那它漲到四百三
[19:31] 沒有熔彈啊
[19:32] 沒有
[19:32] 沒有熔彈
[19:33] 因為那時候新貴
[19:34] 我們看到好多熔斷力
[19:36] 連達明都漲到要熔斷
[19:38] 對不對
[19:38] 然後那個
[19:39] 但是你看達明新貴800多
[19:41] 掛牌之後
[19:41] 那真的七七慘慘七七
[19:43] 那這個
[19:44] 不要追這種公司
[19:46] 就是說探針當然是不錯
[19:47] 如果你能夠一開盤
[19:48] 什麼七八十追到
[19:49] 那當然是大家的本事
[19:50] 但300多
[19:51] 而且像有時候新貴很有趣
[19:53] 因為他可以一股一股成交
[19:55] 大家還記得那個LiPay
[19:57] 那時候LiPay也是
[19:58] 其實有人用靜唸的想法
[20:00] 因為他的籌碼很少
[20:02] 就一股一股買
[20:03] 好像買到一千多塊錢
[20:04] 可是後來就下修
[20:05] 回來六七百之類的
[20:07] 現在又不好意思
[20:08] 我還沒有看到
[20:09] 來一配最新股價
[20:10] 但是新貴就是
[20:11] 這麼有趣的地方
[20:12] 對
[20:12] 我並不是要跟大家講
[20:14] 要去追這個股票
[20:16] 我只是要跟大家講說
[20:17] 我們在看產業
[20:19] 跟看市場的時候
[20:20] 跟一般人可能不太一樣
[20:22] 對
[20:22] 我們會去看
[20:23] 這市場上面的熱度
[20:25] 是
[20:25] 對
[20:25] 其實像我去現場看
[20:27] 我只是看法人的感覺而已
[20:29] 我並不是要去聽
[20:30] 因為
[20:31] 臺上他們講的那些的
[20:34] 這個information
[20:35] 基本上在一般研究報告
[20:37] 就看得到
[20:37] 是
[20:38] 我其實不太需要去
[20:39] 花時間去看
[20:40] 但是我怎麼親自去現場看
[20:42] 氣氛
[20:42] 就看那個氣氛
[20:43] 我們也是氣氛仔
[20:44] 我跟你講
[20:46] 氣氛仔很重要
[20:47] 我真的以前
[20:49] 我那時候還在這個
[20:51] 萬寶投顧的時候
[20:53] 那我就常跟著
[20:54] 研究員們去看公司
[20:56] 他們真的很好
[20:58] 因為有時候他們會覺得
[20:59] 萬寶比較像是
[21:00] 投顧色彩很濃
[21:01] 有些那個公司還會挑
[21:03] 但是當時我認識很多大的證券的
[21:07] 什麼富邦群一等等
[21:08] 他們都會幫我弄名片
[21:09] 弄他們裡面女生的名片
[21:10] 給我讓我換進去
[21:11] 現在可能不work了
[21:12] 因為現在已經在熒光幕前出現
[21:14] 以前是熒光幕後
[21:15] 所以大家可能沒有分那麼清楚
[21:17] 那真的就是一個氣氛仔
[21:18] 就真的你會看到很多的
[21:20] 法說羅幾個剛剛講到的人山人海
[21:23] People mountain people sea
[21:25] 那可能大家心裡面都有一些盤算
[21:28] 如果沒興趣怎麼會來呢
[21:30] 大家都不問問題
[21:31] 是沒興趣嗎
[21:32] 不是
[21:32] 大家都想要有獨家的內容
[21:35] 對
[21:36] 所以我覺得這個事情是
[21:37] 是很有意思的
[21:39] 是真的有在跑現場的人才知道
[21:41] 那大家知道嗎
[21:42] 星星不是剛開完法說嗎
[21:44] 下個禮拜星星還有閉門法說
[21:46] 那這個閉門法說
[21:47] 就不是我們一般人可以進去的
[21:49] 要受邀請才能去的
[21:50] 小型的
[21:51] 那顯然
[21:52] 就是顯然他們還有一些想法
[21:55] 是沒有辦法在大型法說
[21:57] 跟大家講的
[21:57] 你看這是不是很有趣
[21:58] 這次喜歡跟趙華尚
[22:02] 鼓舞賽的約定
[22:04] 我們都聊得很開心
[22:05] 都聊些五四三
[22:07] 對啦反正
[22:09] 就是從這些法人的那些態度
[22:12] 好我要繞回來
[22:13] 我們當初講這次要講
[22:14] 市場還是有熱門產業
[22:17] 是大家非常非常在意的
[22:19] 然後那些產業可能
[22:21] 就算現在已經漲上去
[22:25] 可是大家
[22:25] 因為未來還是持續看好嘛
[22:28] 因為像探針卡
[22:29] 因為臺積電
[22:31] 臺積電它的未來的一個建廠
[22:34] 尤其是在COAS這一端
[22:36] 在未來三年跟五年
[22:38] 都還在持續的一個擴產
[22:40] 然後探針卡的部分
[22:42] 當然這其實也是跟我們
[22:45] 在年前跟大家分享的
[22:47] 外溢效果有關
[22:48] 為什麼這家公司
[22:50] 我剛剛提到的
[22:51] 那個景美
[22:52] 不在土石
[22:53] 不在景美的景美
[22:55] 為什麼這麼受歡迎就是因為之前這個他的所謂機構建啊本來像在影威裡面啊或中探針裡面啊或等等的他們其實這些大廠
[23:07] 本來自己就有機會做
[23:09] 可是就實在是因為
[23:10] Corehouse的一個擴產太快
[23:14] 快到那個產能訂單他們
[23:16] 硬接不詳
[23:17] 只好把這個訂單就分出來
[23:20] 所以我們去看產業
[23:21] 是看他整個的一個邏輯
[23:24] 是看產業的邏輯
[23:26] 那如果這個邏輯持續的會成立的話
[23:29] 當然它的股價就有機會
[23:30] 再持續的往上再度走高
[23:32] 所以剛說到我們的股後
[23:34] 影威
[23:35] 我覺得很可能在這樣子的一個趨勢之下
[23:40] 我覺得它應該
[23:41] 下個禮拜應該就有機會
[23:43] 再度創下歷史新高
[23:44] 我想大家知道最落後的
[23:46] 當初是庸制科技
[23:47] 那就是如同韋泰講的外溢效應
[23:50] 當大家開始拼命找產能的時候
[23:53] 已經幾千塊了
[23:53] 這幾家這個影威旺系等等的金色
[23:56] 他們據說產能真的排不進來了
[23:59] 所以庸志這邊就開始有
[24:01] 稍微能夠接他們可能吃不下的單
[24:04] 那他就從這個400塊
[24:06] 一路漲到現在已經900多塊錢了
[24:08] 非常近
[24:09] 庸志再這樣漲下去
[24:10] 也會變成千元股
[24:12] 那我記得庸志真的是等了非常久
[24:15] 因為那時候在探針漲的時候
[24:16] 有一些投入朋友有聽到我們聊說
[24:18] 那最落後就是庸志
[24:20] 但確實他讓大家磨得非常苦
[24:22] 可是如果能夠忍耐到現在
[24:24] 那真的又不一樣了
[24:26] 比當初我們講
[24:27] 那400塊的價格
[24:28] 真的是已經翻倍了
[24:29] 而且是跑得非常快
[24:31] 有時候股票就是這樣子
[24:32] 你知道它在這個產業
[24:34] 是很熱門的
[24:35] 可是它就是不漲
[24:36] 那你要不要等呢
[24:37] 說實話
[24:37] 連我都覺得我很難判斷
[24:39] 所以我都會常常強調說
[24:40] 你也可以等
[24:41] 你也可以去追強
[24:43] 就是你也可以動能
[24:44] 你也可以像維泰式黃金
[24:45] 右下角
[24:46] 然後或者是我們找到它
[24:47] 一個起漲點的時候
[24:48] 再進去讓你的資金
[24:50] 比較有效率等等的
[24:51] 對我們常常也會跟大家分享這件事情
[24:53] 但要講的就是
[24:54] 不管從新貴這個景美
[24:56] 不再景美再土城的景美
[24:58] 變新的slogan了
[25:01] 或者是說像像擁制科技
[25:02] 或者是我自己剛好也有朋友在做探針
[25:05] 而且是輔導要掛新貴而已的
[25:08] 那他本來是輔導的券商
[25:10] 都想說可能不會有大的券商
[25:12] 可是現在有一兩家大的券商
[25:15] 知道他們是做探針系列的
