[00:00] 歡迎收聽趙華宇古貨載第1022集1022集
[02:39] 那丹麥生氣了
[02:40] 丹麥說我要把我的
[02:41] 長線養老基金裡面的美債
[02:43] 通通賣掉
[02:44] 現在大家打仗都是用錢了
[02:47] 用錢在打仗
[02:48] 好 先來歡迎今天的來賓
[02:49] 到底今天的跌
[02:51] 只是剛開始跌
[02:52] 還是隻會跌今天
[02:53] 今天來賓是我們的
[02:55] 型男股神
[02:55] 威良哥
[02:56] 大家好
[02:57] 今天的跌是隻會跌今天
[02:59] 還是今天剛開始跌
[03:01] 我覺得現在的臺北股市呢
[03:04] 就像是凌晨一點的賭場
[03:06] 凌晨一點的賭場
[03:07] 你有去過嗎
[03:08] 就是有
[03:09] 大傢什麼樣的氛圍
[03:11] 什麼樣的氛圍
[03:12] 就是說呢
[03:12] 其實還是蠻熱鬧的
[03:14] 但是呢
[03:15] 有一些大概呢
[03:16] 這個第一批早鳥啊
[03:17] 九點十點吃飽就來賭的
[03:19] 這個已經賺得波滿盆滿
[03:21] 差不多呢
[03:22] 可以買單離場了
[03:23] 或是賠光了
[03:24] 沒有
[03:25] 這個
[03:26] 真的有賭性的人
[03:28] 賠光
[03:29] 再去借錢
[03:30] 再去提款
[03:30] 就不走了
[03:31] 我懂
[03:32] 就跟你show hand all in
[03:33] 我再拼下去
[03:34] 因為還早
[03:35] 距離天亮
[03:36] 還有好幾個小時
[03:37] 是
[03:37] 對
[03:38] 所以現在是凌晨一點的賭場
[03:40] 那我覺得真正危險
[03:41] 大概是差不多凌晨
[03:42] 三點過後
[03:44] 會比較危險
[03:45] 就是快要天漏曙光了
[03:46] 要打烊回家了
[03:48] 所以基本上
[03:49] 因為我們現在在倒數
[03:50] 是什麼
[03:51] 就是農曆春節的風光
[03:52] 還有一段時間
[03:54] 不過呢
[03:55] 歷年來
[03:56] 一月份
[03:57] 大概就是一些中低價位的
[03:59] 做夢小型股
[04:00] 會最活潑
[04:01] 那這個時候呢
[04:02] 真的不用有太好的基本面
[04:04] 認真你就輸
[04:05] 對
[04:05] 就是要有點半夢半醒
[04:08] 這時候呢才最好玩
[04:09] 所以呢
[04:10] 就是操盤之前要先喝兩杯酒
[04:12] 不是
[04:13] 就是說
[04:14] 其實現在看題材為重
[04:16] 不是說基本面的數字
[04:17] 那我覺得當然這個
[04:19] 投機的味道
[04:20] 它會在某一個時間
[04:22] 可能就會突然終結
[04:24] 那這個時間呢
[04:25] 現在就在倒數
[04:26] 我覺得接近到一月底
[04:28] 可能會比較危險
[04:29] 但現階段我覺得
[04:30] 今天剛好就是剛剛趙華開場
[04:32] 提到的幾個因素
[04:34] 幾個利空
[04:34] 剛好它就是形成一個共伴效應
[04:37] 那一次反應在今天
[04:38] 可是或許明天過後
[04:40] 就不會那麼糟糕了
[04:41] 好 因為你說什麼大事呢
[04:43] 現在也覺得好像也還好
[04:45] 因為我們對美國的關稅
[04:47] 看起來目前應該算坦定了嘛
[04:49] 這個行政院也有出來
[04:50] 做一個簡單的記者會
[04:51] 雖然還沒有把細節公佈
[04:53] 但看來這個15%是談好了
[04:54] 好那談好了
[04:55] 對我們來說
[04:57] 跟越南比我們還比較低
[04:58] 跟日韓我們是一樣的
[05:00] 當然細項裡面的規則
[05:01] 還有哪一些要談
[05:02] 我們可能還不知道
[05:03] 但至少是這個情形
[05:05] 那你說他要去買格林蘭
[05:07] 到底關我什麼事
[05:08] 如果講直白一點
[05:10] 會有這感覺
[05:11] 但是因為美股跟臺股是聯動的
[05:14] 所以難免
[05:15] 美股漲到這邊
[05:16] 他在高檔
[05:16] 難免也會有一個大幅洗刷
[05:18] 所以今天美股在跌
[05:20] 你說臺股自己要一個人很強
[05:21] 其實我們從元月以來
[05:23] 我們比美股強
[05:24] 這已經是一個很厲害的事情了
[05:27] 也等於是說
[05:28] 今天川普他做了很多的措施
[05:29] 臺股會認為
[05:30] 其實還真的有點不關我的事
[05:33] 那你今天AI要發展
[05:35] 或是你有一些其他的想法
[05:36] 你要我去那邊設廠
[05:37] 是因為你需要我
[05:38] 那我都是照長不誤
[05:40] 可是那因為現在
[05:41] 丹麥說他要把這個美債拋售
[05:44] 所以造成這個美債殖利率
[05:45] 確實有在往上跑
[05:47] 那美國這邊也會有一些些的震盪
[05:49] 就會有點擔心了
[05:50] 因為整體的金融市場
[05:52] 不管今天是債市或股市
[05:54] 它難免都會有一個聯動的效應
[05:56] 所以為什麼黃金又跑上去了
[05:57] 變成現在黃金到底是投機商品
[06:00] 還是避險商品呢
[06:01] 看起來現在避險
[06:03] 大家也不選債了
[06:03] 因為動不動就會有人威脅說
[06:05] 我要把美債丟出來
[06:06] 所以大家就把錢集中跑到黃金去
[06:08] 所以無論如何
[06:10] 對臺股來說
[06:11] 也許不是川普要跟丹麥斗的問題
[06:14] 而是美股今天開始高檔震盪的時候
[06:16] 我們難免就會受到一些傷害
[06:18] 那大家也可以看到
[06:19] 之前都在漲AI概念
[06:21] 那現在很多漲的
[06:23] 例如說重電
[06:24] 當然它也是AI概念
[06:25] 可是它比較落後
[06:25] 對
[06:26] 那軍工
[06:27] 這就不是AI概念了
[06:28] 這就回到我們自己的軍備採購
[06:31] 以及今天其實
[06:32] 好像美國政府
[06:33] 也有播一個款項
[06:35] 說要防護臺灣的一些軍備
[06:38] 他要播一個款項
[06:39] 針對臺海問題
[06:41] 這也是蠻有趣的
[06:42] 不曉得大家有沒有注意到
[06:43] 這個新聞
[06:43] 然後那我們知道
[06:45] 像生化家就是剛剛
[06:47] 威良有講到的
[06:48] 其實基本面並沒有明顯的好轉
[06:50] 可是今天什麼汗雷啊
[06:52] 家精啊
[06:52] 全部都噴起來
[06:54] 所以這種低位階的在盤面上
[06:56] 還是形成了補漲的效應
[06:58] 所以以威良來說
[07:00] 如果覺得這個事件
[07:01] 非經濟因素跟臺灣可能關聯也不大
[07:03] 短線震盪而已的話
[07:05] 那我要選擇的是
[07:07] 進去接跌停板的記憶體
[07:09] 還是繼續找這型別前景不錯
[07:12] 但沒有漲到那麼高的
[07:13] 那我們先來聊一下記憶體好了
[07:16] 那因為呢
[07:17] 記憶體九條好漢
[07:18] 九檔指標股
[07:20] 被關禁閉
[07:21] 那今天呢
[07:22] 先放出兩個了
[07:23] 就是群聯跟預創
[07:25] 那這個通常呢
[07:26] 關禁閉的標股
[07:27] 如果是在分盤處置的尾段
[07:30] 開始呢
[07:31] 往上走高衝高
[07:33] 那往往呢
[07:34] 一旦解禁之後
[07:35] 就比較容易引發
[07:36] 獲利了結賣壓
[07:37] 所以就會反向的往下波動
[07:39] 像今天的群聯跟預創
[07:41] 就是做出了一個教學範本了
[07:43] 那因為基本上這兩檔呢
[07:44] 今天就是直接就往下灌押了
[07:47] 所以我認為這個也對
[07:48] 包括就是在本週
[07:50] 還有下週陸續要出關的
[07:52] 像南亞科
[07:54] 華邦電
[07:55] 萬鴻這些個股
[07:56] 我覺得大概
[07:57] 目前手上的持股人
[07:59] 心裡面就會有一些壓力
[08:00] 所以這個賣壓會開始提早反映出來
[08:02] 那畢竟整個記憶體
[08:04] 其實大家要去注意一件事情
[08:06] 像1月19號南亞科法稅會過後
[08:09] 那幾乎大部分的市場法人
[08:11] 都做了同一件事情
[08:12] 就是把今年的EPS上修
[08:14] 那目標價不意外的也上修
[08:17] 就是現在的目標價一直都在追股價
[08:20] 但是呢
[08:21] 同時也要留意到就是呢
[08:23] 大部分的法人
[08:24] 就是預估的2027年EPS
[08:26] 都會比2026年顯著的掉下去
[08:29] 所以換句話說呢
[08:31] 就是如果今年的EPS會是最高峰
[08:35] 那股價呢
[08:36] 不太可能就是繼續走走走
[08:39] 然後長多延續到2027年
[08:41] 應該會是在今年的某個時間點就見到高點
[08:45] 那至於說這個某個時間點
[08:47] 因為今年還那麼長
[08:48] 那大家可能又會很好奇
[08:49] 那會是哪個時間點
[08:51] 那雖然我們有水晶球可以去做一個測量
[08:55] 不過呢
[08:56] 如果按照那顆給出的漲價的指引來看的話
[08:59] 第一季的一個漲幅
[09:01] 以今年來看是相對比較大的
[09:03] 但是也已經會開始放緩
[09:05] 那後續二三四季來講的話
[09:07] 這個漲幅就會越來越趨緩
[09:09] 所以看起來呢
[09:10] 應該蠻有可能就是在第一季
[09:12] 有可能至少它會開始出現到
[09:15] 一個相對的高點
[09:16] 然後開始進入到可能震盪
[09:19] 甚或是比較明顯的回撤
[09:21] 所以我認為空手的人
[09:23] 真的不要現在看到利多
[09:25] 才想要衝進去
[09:27] 那已經持股的人
[09:28] 就要回歸到自己的記憶體
[09:31] 到底是用什麼樣的策略在做投資
[09:33] 包括你是買了很多檔
[09:35] 自主記憶體ETF
[09:36] 還是你是當中擇優擇強
[09:38] 佈局少數一兩檔
[09:40] 還有就是說目前的記憶體佔總持股的比重還有你自己的成本在哪裡我覺得這個配套的現在的策略應對的方式就會不一樣因為簡單舉例來講如果你的南亞科成本在50塊60塊
[09:53] 那這邊漲多拉回
[09:54] 其實也沒什麼壓力
[09:55] 但是如果已經是追在200塊以上的人
[09:57] 碰到震盪的時候
[09:58] 這個時候可能就要呢
[10:00] 好好來檢視一下籌碼的變化
[10:02] 好不過對於南亞科的法書會
[10:04] 我這邊倒是要跟我兩個討論一下
[10:07] 因為像我看到大摩是把他
[10:08] 今年的EPS大幅調降
[10:10] 從55調到29.9
[10:12] 明年還是估50幾
[10:14] 而且大摩給了一個很有趣的評論
[10:16] 他說因為本來預估
[10:17] 納爾科第一季的
[10:18] 這個漲價激增率
[10:19] 要高達55到60%
[10:21] 就後來只有20幾%
[10:22] 他說因為納爾科是有紀律的
[10:25] 在做這件事情
[10:27] 就是合理而有紀律的
[10:29] 在公平對待自己的客戶
[10:31] 然後我覺得他這個評論很有趣
[10:33] 但是我也有看到
[10:34] 有一些國內的法人
[10:36] 確實就是還是維持
[10:37] 對今年納爾科
[10:38] 可能EPS40塊
[10:39] 三幾塊的一個評價
[10:41] 這樣子沒有去調動它
[10:42] 所以這邊就會變得好亂
[10:44] 就會變成我自己個人覺得
[10:46] 其實我聽了非常多
[10:48] 包括外資朋友
[10:49] 內資朋友
[10:49] 給我那兩個的預估
[10:50] 亂到不行
[10:51] 對
[10:51] 所以也會有大模這種
[10:53] 忽然就給他EPS腰斬的
[10:54] 也會有人覺得
[10:55] 維持展望不變的
[10:56] 也會有人覺得
[10:57] 你維持秩序是對的
[10:58] 所以我後來就會覺得
[11:00] 是不是這些獲利成績
[11:02] 已經不是這麼重要了
[11:03] 在記憶體裡面
[11:04] 好像訊息面主導了一切
[11:06] 那昨天我覺得猛的是
[11:08] 利基電
[11:08] 那但是利基電看來就補跌了
[11:10] 對不對
[11:11] 今天利基電就幾乎殺到跌停板
[11:13] 昨天該跌的沒有跌
[11:14] 今天還回來
[11:15] 那內爾科昨天還做了一件事情
[11:17] 就是澄清市場說
[11:18] 他資本支出500億元
[11:20] 他說這件事情還沒有過
[11:22] 董事會還在稽核中這樣
[11:24] 所以現在好像一有雜音出來
[11:26] 我管你EPS是多少
[11:27] 就先殺再說
[11:28] 然後等到美光又漲上去了
[11:30] 或者大家又講說
[11:31] 現在我記得不知道哪一家
[11:33] 就講說Netflash到年底
[11:35] 錢都已經沒有貨了
[11:36] 然後又漲上去了
[11:37] 好像現在記憶體整體都按照的是
[11:39] 氛圍和題材在走
[11:42] 確實
[11:43] 就是說因為短線呢
[11:45] 不太可能說這個前後幾天
[11:48] 基本面突然呢
[11:49] 翻天覆地的改變
[11:51] 所以短線呢
[11:52] 股價呢
[11:52] 為什麼一下可以漲一下跌停
[11:54] 這個顯然一定是就是
[11:56] 要麼跟著國際的指標股波動
[11:58] 要麼就是呢
[11:59] 市場的投資情緒氛圍改變
[12:01] 那其實剛才講到就是
[12:03] 南亞科的這個預估EPS
[12:05] 那我剛才有特別強調就是
[12:06] 多數法人的看法
[12:08] 我認為就是
[12:09] 今年是高點
[12:10] 那大摩那個報告
[12:11] 我也有注意到
[12:12] 我是覺得他蠻特別的
[12:13] 對
[12:13] 他狠狠的大刀一砍
[12:15] 今年的EPS
[12:16] 砍半
[12:17] 對砍了幾乎一半
[12:18] 但他明年還是50幾
[12:19] 對
[12:19] 那如果這個能夠
[12:21] 變成是一個共識
[12:22] 我覺得會比較有利於
[12:24] 就是股價的
[12:26] 中長多的趨勢延續
[12:27] 因為我們一定要知道
[12:28] 就是說
[12:29] 在長期的投資上面
[12:31] 明年的獲利
[12:32] 能不能比今年更好
[12:34] 這個是在拉回的時候
[12:35] 敢買進的底氣
[12:36] 但如果知道說
[12:37] 今年呢
[12:38] 就是會衝上最高峰
[12:40] 那明年相對會下滑的話
[12:41] 那就如同剛才所講的
[12:43] 這個很可能在今年的
[12:44] 某個時間點
[12:45] 它會結束整個波段的走勢
[12:47] 那另外就是記憶體
[12:49] 我再補充一個觀察
[12:50] 就是說
[12:51] 畢竟說實在話
[12:52] 雖然大家認為說
[12:54] 這一次可能是遇到了
[12:55] 難得一見的結構性成長
[12:57] 不像是以前都只是呢
[12:59] 供需改變的景氣迴圈
[13:01] 但是這種結構性成長
[13:03] 說實在話
[13:04] 最大的增長動能
[13:05] 還是來自於AI所帶動的HBM跟DDR5的需求
[13:10] 那才會有原廠把產能調配之後呢
[13:13] 因為資源的移轉
[13:14] 那所以呢
[13:15] 這個DDR4跟DDR3
[13:16] 所謂的空缺出來的
[13:18] 就讓國內的廠商能夠
[13:21] 也跟隨著大幅度的受惠
[13:23] 但是如果以評價角度來看的話
[13:25] 我是認為國內的記憶體公司
[13:28] 大概除了群聯之外
[13:30] 那其他的公司呢
[13:31] 應該還是比較適用於用股價淨值比
[13:35] 而不是成長股的本益比來評價
[13:37] 那這個股價淨值比
[13:38] 到底該給到多少倍
[13:40] 其實如果像南雅科
[13:41] 它的股淨比
[13:42] 現在都已經是衝破極限了
[13:44] 但是我覺得這個天花板
[13:46] 應該是不太適合去超過美光
[13:50] 我個人會認為
[13:51] 因為我剛才強調
[13:52] 就是現在真正最大商機
[13:54] 那一塊最高毛利的
[13:55] 其實還是在於美光三星海力士
[13:57] 所以如果就這樣的一個評價來看的話
[14:00] 美光的三倍的PB
[14:03] 或者說如果真的要用本益比來看的話
[14:05] 它大概也是在9倍附近
[14:06] 所以我覺得國內相關的公司
[14:08] 如果你用EPS
[14:10] 那就是對應本益比的9倍
[14:12] 那如果你是用
[14:13] 未來的淨值來算的話
[14:15] 那股淨比大概乘以3倍
[14:17] 我覺得就差不多算是
[14:19] 可以掌握的合理價了
[14:21] 合理的目標的這個位置
[14:22] 但是如果真的還要再往上調高的話
[14:25] 那我不是說沒機會
[14:26] 但我只能說多頭市場
[14:27] 本來就會有不合理的事情
[14:29] 但不合理的事情
[14:30] 就取決在市場氛圍了
[14:32] 是對
[14:33] 就是我們常常會講說
[14:35] 他現在勢頭就是這樣子
[14:36] 對所以本益比無限上綱
[14:38] 但是這種東西的缺點
[14:39] 就是當他跌的時候
[14:40] 你很難預設什麼東西
[14:42] 叫做跌到有價值
[14:43] 跌到合理
[14:44] 對那剛剛至少
[14:45] 威良提出一個評論的方式
[14:48] 就是你總不可能比美光厲害吧
[14:50] 因為這一波的問題
[14:51] 是在HBM的需求
[14:52] 然後把這個DDR4 DR5的產能
[14:55] 給排擠掉了嘛
[14:56] 所以造成很奇妙的倒掛
[14:57] 就DDR4的價錢還比DDR5還要高
[15:00] 所以臺灣的廠商就因此撿到槍
[15:03] 那我們是屬於撿到人家
[15:04] 就是選擇先不要做的部分
[15:07] 對
[15:08] 所以你的評價比美光還要好
[15:09] 是詭異的
[15:10] 再加上大家不要忘記
[15:12] 雖然大家可能不在乎了
[15:13] 就是美國的商務部長
[15:15] 盧特尼克有講到
[15:16] 要克這個記憶體100%的關稅
[15:18] 很多人說
[15:19] 這就代表記憶體是很厲害的
[15:21] 但某種程度來說
[15:22] 不管他後面有沒有克
[15:24] 現在在美國設廠就是美光
[15:25] 所以美光就是一定是
[15:27] 美國最保護的
[15:29] 又是最受惠的
[15:30] 他創高一定很合理
[15:31] 可是如果我們的評價
[15:32] 是超過美光的評價
[15:34] 那就有點詭異啦
[15:35] 當然臺股淺碟市場
[15:36] 有時候勢頭來了會超漲
[15:38] 這個很正常
[15:39] 可是這就是一個
[15:40] 主人與狗的問題
[15:41] 那你現在就不可能
[15:43] 一直跑在主人的前面
[15:44] 你還是得修正一下
[15:46] 那至於修正多少
[15:47] 會不會再漲
[15:48] 因為以在目前報價
[15:49] 還是往上走的趨勢
[15:51] 當然你不能說
[15:52] 記憶體已經走完了
[15:53] 可是記憶體
[15:54] 有沒有瘋狂震盪
[15:55] 有
[15:56] 那還是考驗著
[15:57] 你是屬於信仰類的
[15:59] 就是你對這個事情
[16:00] 你可以很處之淡然
[16:01] 然後就像之前
[16:02] 大家做貨櫃航運
[16:03] 每次跌停
[16:04] 下一次又會再創高
[16:05] 所以每次跌停都是好機會
[16:06] 它也許會延續一陣子
[16:08] 可是就是考驗你
[16:09] 願不願意在這樣的產業裡面
[16:12] 做這樣的投資
[16:13] 那還是去做別的
[16:15] 這也是一個好選擇
[16:17] 因為這個臺股這麼精彩
[16:19] 真的有時候也不必單念一枝花
[16:21] 那我想其實大戶或者法人
[16:23] 也是這樣子想法跟邏輯
[16:26] 因為一旦有更多新的族群
[16:29] 加入輪動的時候
[16:30] 畢竟原本可能過度集中
[16:32] 傾斜在記憶鐵資金
[16:34] 他也可能就會開始
[16:35] 適時適量的流出來
[16:37] 那這個也能夠加惠於
[16:39] 其他的族群
[16:41] 那當然像軍工
[16:43] 我想這個威良之前
[16:44] 也蠻常在幫我們follow的
[16:46] 那這個事情有趣了
[16:48] 因為通常當國防部
[16:49] 說出這個好的訊息的時候
[16:51] 隔天就會大漲了
[16:52] 但是軍工有點分階段
[16:54] 釋出這個1.25兆的軍購案的時候
[16:57] 因為他也沒有還公佈
[16:58] 標案什麼時候要
[16:59] 得標場上是什麼
[17:01] 不過已經有跟業界稍微打聽了
[17:03] 大概有幾家廠商是確定會有標案的
[17:05] 那今天盤面上強的
[17:07] 也是曾經就接過標案的
[17:09] 其實講白就這樣
[17:10] 你接過標案
[17:11] 那你的獲利也不錯
[17:12] 就代表你在技術跟獲利能力上是不錯的
[17:15] 那如果體質又是比較純
[17:17] 例如說他可能真的90%都是在做軍工的
[17:20] 不是那種插邊
[17:20] 說我本業本來是紡織
[17:23] 我本業本來是投影機
[17:25] 我本業本來是別的
[17:27] 然後但是我有投資軍工
[17:30] 那就比較插邊
[17:30] 對
[17:31] 如果他是很純的
[17:32] 就是我就是做
[17:33] 國建國造
[17:35] 我就是做國家級的無人機
[17:37] 軍購用的無人機
[17:38] 或什麼的
[17:39] 那他可能相對之下
[17:40] 或他本來就是在做
[17:42] 航太維護
[17:42] 本來就有錢
[17:43] 在今天盤面上
[17:45] 看起來就比較強
[17:46] 對
[17:46] 那我自己個人
[17:47] 也是常跟聽眾朋友分享
[17:49] 雖然軍工的股性
[17:51] 真的還蠻爛的
[17:52] 但是我還是認為
[17:53] 當這個軍購案一下去
[17:55] 然後國防佔GDP的預算
[17:56] 拉上來
[17:57] 包括川普這邊
[17:58] 也在增加軍購的採購
[18:00] 所以我覺得這些如果接下來有標案
[18:03] 有標到的數字
[18:04] 或者是廠商名字出來
[18:06] 應該還會有延續性
[18:08] 但是我紙筆都準備好了
[18:10] 我在等你講那個
[18:11] 應該有機會得標的代號
[18:14] 今天有漲田不就是有得標過的嗎
[18:17] 給大家一個很好的線索
[18:19] 也有EPS
[18:20] 但是能不能漲就跟剛剛我們提到的一樣
[18:23] 他就是需要一個集體性的勢頭
[18:25] 要不然像雷虎被關
[18:27] 我覺得雷虎的問題就是
[18:28] 他永遠是帶頭大哥最活潑
[18:30] 可他的獲利就是沒有辦法開得很好
[18:31] 好
[18:33] 那我覺得其實看軍工股
[18:36] 那當然有時候大家
[18:38] 如果以國內市場來講
[18:39] 可能還是會覺得多數都像是本夢比
[18:42] 因為營收還沒有大幅度的成長
[18:45] 或者說獲利沒有爆發
[18:47] 所以算起來的本益比都超級高
[18:49] 不過其實這真的是一個全球的趨勢
[18:52] 那我個人通常也是先從
[18:54] 國際的軍工龍頭指標股來看
[18:57] 那不管是美國的歐洲的
[18:59] 甚至像為什麼日本股市
[19:01] 韓國股市的軍工股都強
[19:03] 都是因為現在大家
[19:04] 真的是看到這些地緣政治風險
[19:07] 跟川普當道
[19:08] 所以畢竟國防預算
[19:10] 不論是自發
[19:12] 或者是有一點被威脅利用
[19:14] 去做一個提升
[19:15] 所以如果我們要掌握
[19:18] 全球軍工股的走勢
[19:19] 很簡單
[19:20] 直接去看0965
[19:22] 這一檔ETF的走勢
[19:24] 它最近的股價
[19:25] 也是創下掛牌以來新高就代表國際的軍工股也是大多頭那國內這邊呢稍微有時候呢比較溫吞一點常常呢有一個利多訊息之後好像一日行情又休息
[19:37] 那畢竟就是國防預算
[19:39] 雖然是這個金額就是擺在那邊
[19:41] 但是終究他還是要透過立法院
[19:44] 那這個就是會有一點政治議題
[19:47] 沒有錯
[19:47] 對
[19:47] 所以但是我覺得
[19:48] 臺灣是卡在這上面
[19:49] 對對對
[19:50] 這個政治議題
[19:50] 當然他是
[19:51] 會拖延利多要實現的時間點
[19:56] 但是我覺得終究還是會過
[19:58] 因為畢竟這個國家的軍事防衛
[20:03] 這個不管是什麼顏色
[20:05] 講得很小心
[20:05] 終究就是大家是會有志一同的
[20:09] 只是說在政治角力當中
[20:11] 可能要先找到一個交集共識
[20:14] 所以這個力度是有點低延
[20:16] 不過因為既然這一次的國防預算
[20:19] 這麼樣的龐大
[20:20] 所以國內的軍工股
[20:22] 我覺得應該大部分都有機會受惠
[20:25] 因為這個不是少數一家兩家三家
[20:28] 能夠吃得下來的
[20:29] 對那根據瞭解業界的想法
[20:32] 也是這一次你只要
[20:33] 只要簡單講就是說
[20:35] 你的技術產品不要說真的太拉扎
[20:38] 太落後太多的話
[20:39] 那國防部的立場也是希望說
[20:42] 因為一開始
[20:43] 這個是臺灣的國防的國家隊
[20:45] 希望能夠讓大家都能夠先來語錄均沾
[20:49] 所以能夠一起來共同分食
[20:51] 這個可能千億元的商機
[20:54] 那後續來講
[20:55] 當然競爭力強的公司
[20:57] 他可能就會有第二波
[20:59] 第三波的標案陸續拿到
[21:01] 對所以確實看到
[21:03] 像這個無人船的部分
[21:05] 1300艘
[21:06] 那看起來以隆德造船
[21:09] 連續兩天都衝上去了
[21:11] 應該不曉得是不是
[21:12] 剛才趙華提到的
[21:14] 可以先留意的名單
[21:15] 可是至少他有EPS
[21:17] 我覺得裡面有EPS
[21:19] 我覺得最委屈一定是全訓
[21:20] 但是我覺得不管在講
[21:22] 什麼無人機無人船
[21:23] 可能大家都會比較沒有辦法想到它
[21:25] 因為它是比較做飛彈
[21:26] 然後裡面當然也會有一些生化家的因素
[21:29] 但是比較長生化家長它
[21:30] 覺得很奇怪
[21:31] 重點還是在那個飛彈
[21:33] 但是因為這種採購案
[21:34] 感覺上這種針對整機的無人船無人機
[21:37] 感覺上比較能夠聯想
[21:39] 所以全信雖然是我喜歡的股票
[21:41] 可是我不會一直跟大家推薦它
[21:43] 是因為它的股性才爛到爆炸
[21:44] 可是你說像羅德造船
[21:47] 或是長龍航太
[21:48] 甚至是雷虎好了
[21:49] 他們的股信都比較容易
[21:51] 在軍工的風起來的時候
[21:53] 做一個領頭羊的角色
[21:55] 然後如果其中又有EPS的話
[21:57] 我覺得那就更加的保險
[21:58] 又有EPS
[21:59] 他又可以受到
[22:00] 整體風吹的時候的
[22:02] 這個引領作用
[22:03] 那就是最好的選擇啊
[22:04] 對
[22:05] 但是還是要強調啦
[22:06] 就像剛剛魏良講的
[22:08] 軍工他始終在臺灣
[22:09] 會有一點點受到
[22:11] 政策上的一些壓抑
[22:12] 因為就如同剛剛提到
[22:14] 如果你去看
[22:15] 有那種國防防衛的ETF
[22:17] 他買的很多是德國的軍工
[22:19] 歐洲的軍工
[22:20] 哇那些都漲到爆了
[22:22] 所以這檔ETF
[22:22] 才會創下掛牌來的新高
[22:24] 那為什麼會這樣
[22:26] 講到軍工
[22:26] 也是因為我看到
[22:27] 這檔ETF的表現很好
[22:29] 就代表說
[22:29] 它還是有機會
[22:30] 聯動回臺灣的
[22:31] 就像最近中電在漲啊
[22:33] 我們之前也是
[22:33] 一直在講說
[22:34] 其實在美國的
[22:35] 電力基礎建設
[22:36] 這件事情
[22:37] 是他們如火如荼
[22:39] 在做的
[22:39] 他們有好多相關的股票
[22:41] 已經漲翻了
[22:42] 那臺灣也有ETF去投
[22:43] 美國電力的基礎建設
[22:45] 其實那一檔ETF
[22:47] 也是創下掛牌來的新高
[22:48] 你就會想說那臺灣這些電力概念股
[22:51] 為什麼都不動
[22:51] 對那些重電甚至延伸到電線電燃
[22:55] 想著想著它就動了
[22:56] 甚至輪流像昨天中興電漲停
[22:59] 股性最差的也漲停
[23:00] 今天換亞力漲停
[23:02] 所以他們會動
