[00:00] 欢迎收听赵华谕古货载第1053集
[03:28] 那暂时可能出现了
[03:29] 就是本波的最低点
[03:31] 那这个低点会不会跌破
[03:32] 我个人认为高几率
[03:34] 是不会再灌破低点了
[03:36] 那因为第一个就是说
[03:37] 这次主要下跌的原因
[03:39] 就是地缘政治风险
[03:40] 也就是战争
[03:41] 然后后续又连串的
[03:43] 就是引发了油价暴涨
[03:45] 不过呢
[03:46] 因为历年来的经验跟数据来看
[03:48] 战争对于股市的影响
[03:50] 它的波段回挡幅度是有限的
[03:53] 那更不会呢
[03:54] 造成就是股市呢
[03:55] 长周期的下跌重挫
[03:57] 也就是说呢
[03:58] 也许战争
[03:59] 这个当然
[04:00] 这个规模可大可小
[04:01] 历史可短可长
[04:03] 那但是
[04:03] 我不是军事专家
[04:06] 所以没办法去这个
[04:07] 推论说
[04:08] 到底这个战争
[04:09] 它到底会打多久
[04:10] 只能说
[04:11] 我们从今年
[04:12] 有美国期中选举的角度来看
[04:14] 应该是川普会希望尽快落幕
[04:16] 但是万一
[04:17] 万一这个战争
[04:18] 真的拖长了拖久了
[04:19] 但是对股市
[04:21] 它仍然不会是造成
[04:22] 一个长周期的影响
[04:23] 大家其实只要简单的回想一下
[04:25] 就是2022年的俄乌战争
[04:27] 一开始大家也觉得应该是
[04:29] 很快俄罗斯就是攻无不克
[04:31] 这个战争就会结束
[04:33] 结果一打打了四年多
[04:35] 可是股市并没有走四年的空头
[04:37] 所以战争对股市的冲击影响
[04:40] 应该是非常短暂的
[04:41] 第二个就是说
[04:43] 当外资出现了史上最大卖超之后
[04:46] 当下你会觉得很可怕
[04:48] 很痛
[04:48] 不过其实这个往往也是
[04:50] 行情加速赶底的一个讯号
[04:52] 因为外资尤其现在因为他们也是
[04:55] 比较多的资金规模都是放在这个被动式的ETF
[04:59] 那被动式就是这样子
[05:00] 跌他就是卖
[05:01] 然后资金搬失回潮
[05:03] 回去拥抱美元
[05:04] 但是一旦行情回稳之后反弹或者是反攻了
[05:08] 那当然被动式外资他也要买回来
[05:10] 所以可能当下的卖压就是将来潜在的买盘
[05:14] 这是相对的
[05:15] 而且我们现在的台股的那支义和团
[05:18] 也不是吃素的
[05:19] 大家不要忘记
[05:20] 你看去年外资也卖
[05:21] 或者说甚至时间拉久一点来看
[05:23] 从2020年疫情到现在
[05:25] 外资累计是卖了3.5兆台币
[05:28] 可是行情呢
[05:29] 这个大盘指数是从8500点
[05:31] 最高涨到35000点
[05:33] 所以其实这个行情的筹码结构
[05:35] 长期来讲其实在转变的
[05:37] 内资是有一定抗衡的力道
[05:39] 所以我认为啦
[05:40] 就是在恐慌的时候
[05:42] 这个冷静去找买点
[05:43] 通常就是自胜的不二法则
[05:45] 那因为既然刚才提到嘛
[05:47] 外资创了史上最大单位卖超
[05:49] 然后礼拜又创了史上第二大的跌点
[05:52] 那这么这么样的一个极端值都出现了
[05:54] 其实我个人是一点都不会想要站在卖房
[05:57] 我老实说
[05:58] 我完完全全没有动过一丝一毫念头
[06:00] 是要站在卖房
[06:01] 那刚好呢就是不久前嘛
[06:03] 就是月出公司发薪水
[06:05] 然后再加上原本账上就还有一点现金
[06:07] 反正呢我就把这些现金
[06:09] 真的是几乎啦
[06:10] 用到一毛不剩
[06:11] 全部打进去了
[06:13] 好
[06:14] 这个威良哥的现金
[06:16] 跟他的这个薪水
[06:18] 不是我们深斗小民
[06:20] 可以比你的
[06:22] 但是我们先认真回到
[06:25] 刚刚讲到的分析上面
[06:26] 因为这几天我也跟大家分享
[06:28] 确实在之前一直涨一涨
[06:30] 涨到三万五千五
[06:31] 对不对
[06:32] 这个过程中
[06:33] 大家都觉得
[06:34] 是不是都不会回档了
[06:35] 真的过程中就是formal
[06:36] 就是好害怕
[06:37] 不会回档了
[06:38] 每天都觉得一直往上走
[06:40] 那个时候我也很苦恼
[06:41] 因为那个时候
[06:42] 我有跟大家分享说
[06:43] 要不你就硬着头皮
[06:44] 如果说你的手上持股
[06:46] 非常非常的低
[06:47] 你必须硬着头皮
[06:48] 先建立一点持股
[06:50] 虽然有可能是追高
[06:51] 可是总不能都没有
[06:52] 就是手上
[06:53] 不管你在上涨或下跌
[06:55] 你就是要有小卖
[06:56] 那个是喊给
[06:57] 手上已经没有持股的人听的
[07:00] 那还有当然是
[07:01] 过程中也会很多人讲说
[07:03] 卖飞了
[07:04] 都不敢买回来什么的
[07:05] 那也要鼓励大家是
[07:07] 那你可以想想
[07:08] 你卖飞的股票
[07:08] 有没有遵照当初
[07:10] 你是怎么样的停利出场
[07:11] 如果有不敢买回来
[07:13] 我觉得那是下一个课题
[07:14] 可是至少你有先获利入袋
[07:16] 那我想这次回档
[07:17] 大家的想法就会反过来
[07:19] 本来觉得是卖飞的
[07:20] 现在想幸好
[07:21] 幸好我有获利入袋
[07:23] 所以我有钱
[07:24] 可是面临的挑战就是
[07:26] 可是回档怎么又变得这么恐怖
[07:28] 因为在上涨的过程中
[07:29] 我有提醒大家
[07:30] 一定会回档
[07:31] 不可能永远都在涨
[07:33] 可是每一次回档
[07:34] 你都会觉得很恐怖
[07:36] 怎么办
[07:36] 所以就有提醒说
[07:38] 像威良我想他的想法
[07:39] 跟我应该是非常非常一致的
[07:40] 这次的回档
[07:42] 到底是空头的前兆
[07:43] 到底是景气要衰退
[07:46] 还是因为地缘政治风险
[07:47] 乖离率过大做的修正
[07:49] 那现在看来啦
[07:50] 以目前为止拿到的一些总经数据
[07:52] 或是各个上市规公司的获利
[07:54] 或是像昨天公布甲骨文的财报嘛
[07:56] 对不对
[07:57] 好美国企业财报等等
[07:58] 都一直提醒说
[08:00] 没有看到景气出现衰退这个选项
[08:03] 所以还是地缘政治风险
[08:04] 跟台股乖离比较大的一个回档修正
[08:07] 以这个为主的话
[08:08] 那回档到月线
[08:09] 甚至到季线都是买点
[08:11] 对那威廉哥刚刚又讲到
[08:14] 礼拜一又出现极端指示
[08:15] 史上第二大跌点加上外资史上最大卖超
[08:18] 那当然就是子弹打进去
[08:20] 但因为威廉哥的薪资跟现金
[08:23] 不是我们可以比拟的
[08:24] 倒不是这个重点啦
[08:26] 所以我也讲礼拜一我做了什么事情
[08:28] 那天也很坦白的
[08:30] 就直接脸书先发
[08:31] 然后Parker也有讲
[08:32] 就是我的大户朋友都去买台积电起货
[08:35] 捡到最便宜有1740这么便宜
[08:38] 我就只敢在旁边买了五口小台积气
[08:41] 因为一口两万多而已
[08:42] 但是呢今天
[08:43] 大会朋友其实昨天就有陆续出场了
[08:46] 那我是今天就把小台机齐获利了结
[08:50] 那先讲
[08:50] 昨天也有跟维泰聊到吗
[08:52] 因为这个是杠杆
[08:53] 他也有一点点小抄底的味道
[08:55] 觉得台机2000你不敢买
[08:57] 19你不敢买
[08:58] 18你不敢买
[08:59] 为什么17你还不买呢
[09:01] 对不对
[09:01] 2000你都觉得很二万了
[09:03] 那都17了
[09:04] 对不对
[09:04] 打了这个八折了
[09:06] 八五折了
[09:07] 好
[09:08] 所以
[09:08] 但是那是小
[09:09] 那是杠杆嘛
[09:10] 期货你要保留
[09:11] 你就是要转仓
[09:12] 那我现货有
[09:13] 所以我现货是没有动的
[09:15] 现货依旧是维持在
[09:17] 如果有跌升到月性基线
[09:19] 加码
[09:19] 但期货就是有点开开心心了
[09:22] 也让自己觉得
[09:23] 短短两三天就赚了一点钱
[09:25] 所以小台机器
[09:26] 今天就上岸了
[09:27] 把它卖掉了
[09:28] 但现货没有
[09:29] 现货还是秉持着
[09:30] 如果今天再涨上去
[09:32] 看你要不要适度做停利
[09:34] 如果没有就继续累积部位
[09:35] 因为很现实的一件事情是
[09:37] 在恐慌中
[09:39] 你去做这种短缀
[09:40] 不会让你赚到
[09:41] 我这种人好不好
[09:42] 就一般股民
[09:43] 不会赚到大钱
[09:44] 真的会赚到大钱
[09:45] 就是你累积的部位
[09:47] 正确累积在你信任的商品上
[09:49] 经过一段时间之后
[09:51] 涨了
[09:52] 你才有办法从这个大部位
[09:54] 赚到足够的获利
[09:55] 我觉得这个是投资的本质跟核心
[09:58] 所以我最近几天的操作
[10:00] 是这个样子
[10:01] 上了宝贵一课
[10:02] 你少在那里
[10:03] 你少在那边讨厌
[10:05] 真的啦
[10:06] 但是你刚刚讲说你打完了
[10:08] 你打什么标的可以公布吗
[10:10] 当然可以啊
[10:11] 我先讲
[10:12] 这个因为其实像很多民众
[10:15] 甚至分析师自己大概不太清楚说
[10:18] 我们到底可不可以交易
[10:20] 那可以的话是交易什么标题
[10:21] 其实有分析师也是可以买卖个股
[10:24] 但是必须要事前申报
[10:26] 然后也要事后申报
[10:28] 那大家想想看
[10:28] 这种突然恐慌急杀的时候
[10:31] 你还要事前申报就来不及了
[10:33] 所以我们可以完完全全不用申报
[10:36] 自由进出的就是ETF
[10:37] 对于分析师来说真的
[10:39] 所以我也很喜欢
[10:41] 在整个进出灵活方面
[10:43] 就善用ETF这个好工具
[10:45] 那基本上
[10:46] 就是在礼拜一的时候
[10:47] 我就把手上
[10:49] 现金盘点完之后
[10:50] 可以算是几乎平均
[10:52] 分配在三档ETF
[10:53] 分别就是0052
[10:55] 00981A
[10:57] 00991A
[10:58] 投资闲必有风险
[11:00] 请先祥悦公开说明书
[11:02] 我先来讲
[11:05] 0052大家知道小台积
[11:06] 买不下去台积就买0052
[11:09] 为什么
[11:09] 因为台积
[11:10] 你说买零股当然也是一个方法
[11:12] 但是很多人喜欢一张
[11:14] 那如果你买台积一张真的不行
[11:16] 像我昨天讲到的
[11:17] 礼拜一讲到的五口小台积
[11:19] 只表彰500股台积
[11:21] 也只有半张
[11:22] 真的是没有雄厚资本
[11:24] 不太容易加码
[11:25] 但0052现在应该是
[11:27] 四万五千块钱左右
[11:29] 今天应该有在涨
[11:30] 因为我前两天买的时候有到四万四千多块钱对所以在这个价位大家对买一张或是半张可能压力就没有那么大了那更遑论这个主动式ETF讲的这两档我想市场上很红
[11:43] 规模也一直在膨胀
[11:44] 前两天下休我们还在讨论说
[11:46] 大家知道吗
[11:47] 这两档的规模是逆势增加
[11:49] 当然其他也有可能
[11:50] 现在台股投资人变得很厉害
[11:52] 以前还在基金时代的时候
[11:54] 台股在下跌
[11:55] 那个我俩一定知道
[11:56] 大家就赎回
[11:58] 没错
[11:58] 所以基金就被迫说
[11:59] 你赎回我只好卖股票
[12:01] 我卖股票你又赎回
[12:02] 因为绩效变差了
[12:03] 就恶性循环
[12:04] 现在不是
[12:05] 现在是下跌的时候
[12:06] 哇 投资人好聪明
[12:07] 我逢低继续加码
[12:09] 这些主动ETF
[12:11] 被动ETF
[12:11] 所以大家的规模都膨胀
[12:14] 超级猛
[12:15] 好 981A我想大家很熟了
[12:17] 统一的
[12:18] 那991A是富华未来50
[12:20] 这个是现在排名上的新宠
[12:22] 像前几天幸福哥来讲
[12:24] 他也买这档
[12:25] 因为这档好像是
[12:26] 记忆体的含量特别高
[12:27] 所以哇 今天很刺激
[12:29] 今天又找到6%
[12:30] 还有一点
[12:31] 他的千金股比重也最多
[12:33] 千金股
[12:33] 现在信华又回万元了
[12:35] 对不对
[12:36] 或者是影威
[12:37] 这种探针卡
[12:38] 我们一般人
[12:39] 从旁边从他一千块
[12:40] 看到六千块
[12:41] 他还有宏靖
[12:42] 对不对
[12:42] 所以这一档很猛
[12:43] 这一档的话
[12:44] 现在他的波动
[12:46] 甚至比980也已经来得大了
[12:48] 很夸张
[12:48] 那我有跟大家分享说
[12:50] 因为980也越涨越大
[12:51] 那以前大家会讲说
[12:52] 这个涨到五六百亿
[12:54] 甚至要上千亿的话
[12:55] 会不会转身很困难
[12:57] 但因为现在台股成交量也放大
[12:59] 今天只有六千多亿
[13:00] 我们叫只有六千多亿
[13:02] 因为我们已经看到上兆了
[13:04] 所以五六百亿六七百亿的ETF
[13:07] 要在里面
[13:08] 反而它还有一定的影响力
[13:10] 并不一定都不能说做好调整
[13:13] 它反而有发挥影响力
[13:15] 又还能调整
[13:16] 所以威尔根买的
[13:18] 就是大家可以参考的
[13:20] 0052加991A加981A
[13:24] 其实我买0052的想法
[13:26] 当然大家绝对很清楚
[13:28] 绝对就是因为为了押宝台积电
[13:30] 对我一直以来呢
[13:31] 就是把台积电视为是我的最爱
[13:34] 也是鼓励呢
[13:35] 所有投资朋友投资的标准配备
[13:37] 但我觉得其实一般人
[13:38] 像我们的听众朋友
[13:39] 其实你跟我的状况不一样
[13:41] 因为你可以很自由的去买台积电
[13:43] 所以有的时候回头想想
[13:45] 大家常常在比较所谓的
[13:46] 含积量高跟低
[13:47] 除非呢
[13:48] 你是希望有台积电
[13:50] 又另外顺便参与其他的产业或个股
[13:53] 那如果你的想法很直接
[13:55] 就是我就是要台积电
[13:57] 其实直接买台积电的个股
[13:59] 这个存度是百分之百
[14:00] 那我没有办法
[14:01] 所以我退而求其次
[14:02] 我找一个
[14:03] 这个是70%的台积电
[14:05] 这个已经是最高含量
[14:06] 那刚才听赵华也聊到说
[14:08] 你的大户朋友
[14:10] 高手朋友
[14:10] 也是买台积电
[14:11] 所以我真的觉得说
[14:12] 这表示说
[14:13] 真的当行情有危机的时候
[14:15] 真的让大家信心
[14:16] 是能够最凝聚的标的
[14:18] 最不怕震荡或短套的
[14:19] 其实还是台积电
[14:20] 对
[14:21] 像今天我想有很多人会觉得
[14:23] 买台积电还是
[14:24] 虽然今天有一度
[14:25] 涨到五个百分点
[14:26] 我觉得真的已经非常多
[14:28] 可是如果是其他的股票
[14:29] 对不对
[14:30] 记忆体的
[14:31] 那两颗今天又很涨停了
[14:32] 然后细光子
[14:33] 我跟大家分享
[14:34] 我刚刚有跟魏良讲
[14:35] 我说我都一直跟大家讲说
[14:37] 细光子我要等光盛甩回季线
[14:39] 但是发现他在接近季线的时候
[14:41] 他又20分钟分盘
[14:42] 我真的是好像等不到
[14:44] 那今天细光子
[14:45] 其实也没等到波罗威第一盘
[14:46] 就直接所涨停
[14:48] 真的很猛
[14:49] 都不管分盘交易的
[14:50] 就直接上去
[14:51] 所以我会觉得好吧
[14:52] 我对这些个股可能没那么命
[14:54] 但可能大家还是很喜欢个股
[14:56] 因为像这个热门的PCB
[14:59] 今天也有很多档涨停
[15:01] 今天涨停的低轨卫星
[15:02] 我们曾经讲过的热门股
[15:05] 个股的魅力就在这里
[15:06] 我们买ETF也是有四五趴的涨幅
[15:09] 也很开心
[15:09] 可是你看到你的个股有一根亮灯
[15:11] 你的感受就是不一样
[15:13] 所以我们讲完ETF
[15:15] 回到个股的上面
[15:16] 我发现好像以今天涨停的股票来说
[15:19] 依旧是围绕在我们讲的这些热门产业
[15:22] 没有什么不同
[15:23] 但是这些产业在你的心目中
[15:25] 如果今天涨停
[15:26] 或是接下来
[15:27] 我们又遇到有甩回的时候
[15:28] 你的优先顺序是什么
[15:30] 基本上简单排序来看
[15:33] 我会认为就是
[15:34] 第一首选应该是在
[15:36] 光通讯细光子CPU
[15:38] 好你跟我
[15:39] 好啊可恶我捡不到
[15:41] 那第二个部分
[15:43] 我的顺序应该会是在
[15:44] 整个广泛的PCB
[15:47] 包括载板
[15:48] 包括CCL
[15:49] 包括载板
[15:50] 包括同博专针等等
[15:52] 这整个广泛的PCB
[15:54] 那第三个才会是记忆体
[15:56] 那我个人的顺序
[15:57] 会把低轨卫星放在第四
[15:59] 不过确实这四大主流
[16:01] 四大金刚
[16:02] 大概就是在战争之前
[16:03] 原本的主流
[16:04] 那因为战争确实
[16:05] 不会改变基本面趋势
[16:07] 所以资金一回流
[16:08] 我看也是这四个族群
[16:10] 今天是最火热的
[16:11] 好
[16:12] 所以这个顺序的话
[16:14] 依旧是围绕在这上面
[16:15] 有没有出人意表的
[16:16] 好半导体设备
[16:17] 对不对
[16:18] 或老AI
[16:19] 现在真的都没有人
[16:20] 管老AI了耶
[16:21] 老AI也会给他排名啦
[16:23] 大概排100名吧
[16:25] 这么现实
[16:27] 这样持有这些广大伪装红海人会难过
[16:30] OKOK
[16:31] 大概排比较后面一点
[16:33] 就是还是顺势操作
[16:35] 对不对
[16:36] 老AI没有不好
[16:37] 其实老AI可能接下来高股息TF
[16:40] 在换股或者是要进入除权息旺季的时候
[16:42] 大家又重新会用这个股息的角度来看他们
[16:46] 但是我觉得现在市场有比较现实一些
[16:48] 就是市场喜欢比较新的题材
[16:51] 然后老AI他也有AI
[16:53] 可是你会觉得
[16:54] 就是他们真正的发酵期
[16:56] 就是从可能伪创四五十五六十
[16:59] 广达一百以下
[17:00] 开始涨红海一百一
[17:02] 盘了八年
[17:04] 现在都有点忘记那个历史了
[17:06] 然后一下涨上来
[17:07] 这个有反映到
[17:08] 他们接到所谓的AI伺服器代工的这一块
[17:11] 但是接下来的
[17:13] 他们在AI伺服器上面
[17:14] 或是有一些人可能切了散热什么
[17:16] 如果没有再更进一步的想法或刺激
[17:19] 或者说他们接的业务会在倍数大成长
[17:22] 可能那个刺激性就不见了
[17:25] 可是像地轨卫星
[17:26] 可能大家就会觉得
[17:26] 然后记忆体现在缴出来的成绩
[17:29] 都会是可怕的年增
[17:30] 例如说南亚科
[17:32] 对不对
[17:32] 这个营收就年增了几百趴
[17:35] 获利也配破自己
[17:36] 也是成长了几百趴
[17:38] 那诸如此类的
[17:39] 那光通讯其实
[17:40] 以它原本的光通讯产品来说
[17:43] 也有部分的公司
[17:45] 其实在成长
[17:46] 不过光通讯
[17:47] 以二月的获利成绩来看的话
[17:49] 二月是比较
[17:51] 大家是比较平均
[17:52] 没有什么大成长
[17:53] 只有联亚
[17:53] 比较明显的有成长
[17:55] 所以光通讯这件事情
[17:57] 我很喜欢
[17:58] 但是我没有等它甩到
[18:00] 足够的价位
[18:01] 这个大家就真的是
[18:02] 依自己的骨感
[18:03] 和自己喜好的
[18:04] 风险成熟度
[18:05] 来评论
[18:07] 那当然昨天还有一个事情
[18:08] 是讲到甲骨文
[18:10] 因为这个甲骨文
[18:11] 它是一个AI
[18:13] 会不会泡沫的源头
[18:15] 最早最早
[18:16] 其实甲骨文是先领涨的
[18:18] 然后加上又跟OpenAI
[18:19] 要合作
[18:20] 当时真的叫做
[18:22] 被OpenAI卷到的都是永动机
[18:25] 但是后来OpenAI
[18:27] 被人家觉得
[18:28] 哎呦你筹资可能会出问题
[18:29] 还有挥打还讲
[18:30] 哎呦我可能就不会投给你那么多了
[18:33] 然后也有人讲说
[18:34] 啊这样子你给甲骨文的订单
[18:36] 不就是巴拉票
[18:37] 所以甲骨文跌很多
[18:38] 甲骨文跌50%以上吧
[18:41] 这就是美股恐怖的地方
[18:43] 但是昨天他公布财报
[18:45] 业绩跟财策都优于市场预期
[18:47] 盘后就涨了9个百分点
[18:50] 我觉得如果这个AI永动机
[18:52] 破灭后又从甲骨文这边重建信心
[18:55] 美股的科技巨头
[18:56] 能够恢复往上走
[18:58] 接下来又有辉大的GTC大会
[19:00] 可能AI这件事情的疑虑率
[19:02] 被拿走
[19:03] 对盘面上的老AI
[19:05] 或者是新AI应该都有帮助
[19:07] 没错
[19:08] 那我觉得之前刚好也有
[19:10] 投资朋友问到说
[19:11] 那甲骨文跌好惨
[19:12] 有腰斩
[19:13] 那他因为先前
[19:15] 他是在银行买那个股权转换产品
[19:18] 对
[19:18] 再就被换成甲骨文的股票
[19:20] 问说要不要续报
[19:21] 其实我刚才讲说
[19:22] 既然都换了
[19:23] 而且就是看起来
[19:24] 股价应该是在相对低点
[19:26] 就先续报
[19:27] 为什么
[19:27] 因为其实甲骨文
[19:28] 它绝对不会是一个地雷股
[19:30] 它存在很久了
[19:31] 它从软体时代就自发到现在
[19:33] 那只是我觉得先前甲骨文
[19:35] 可能也许是这个创办人Allison
[19:38] 他有点想要
[19:39] 圆他的世界首富的梦
[19:41] 所以在这个未来的愿景部分
[19:44] 他大饼确实是吹得大一点
[19:45] 画得大一点
[19:46] 所以那时候一度市值也冲破一兆美元
[19:48] 但他印象中是做了一天的首付
[19:51] 不过确实就是他有享受一个
[19:54] 当时溢价比较高
[19:56] 高本一笔的光环
[19:57] 可是他的整个营运的体质
[20:00] 跟现金的状况
[20:01] 其实没有真的说
[20:02] 好像快要什么爆发危机了
[20:04] 或者说根本就是一个地雷企业
[20:06] 并没有
[20:06] 他还是有相当不错的一个现金流
[20:08] 跟他一定的一个营运体质存在
[20:11] 只是说我觉得在
[20:13] 现在因为他回到了地位阶
[20:15] 所以市场在看这个财报跟财策的时候
[20:18] 就比较容易会把它解读为利多拉
[20:20] 如果你现在还是让它再创历史新高
[20:22] 可能又会对这份财报财策又不买单了
[20:25] 所以我觉得整个AI股
[20:28] 现在看起来
[20:29] 今年为什么我刚才会说
[20:31] 在下游的部分
[20:32] 当然是夸大一点
[20:34] 说排名排到100名
[20:36] 但是就是说
[20:37] 可能不会是我
[20:38] 希望给投资朋友建议的首选
[20:41] 因为毕竟今年大家看到
[20:43] 很多的AI升级趋势
[20:46] 驱动了零组件的涨价
[20:47] 那这些涨价呢
[20:49] 其实对于下游来说
[20:51] 它都会形成是一个
[20:52] 毛利率压缩的一个问题所在
[20:54] 那当然第二个还有就是呢
[20:55] 辉达现在有一点自己的
[20:57] 不管是说在他的一个市值的保卫
[21:00] 或者是说股价的一个拉抬上面
[21:03] 我觉得也少了一些兴奋剂
[21:05] 因为就是大家好像已经看不到
[21:07] 辉达的毛利率能不能呢
[21:09] 在这个七十几趴的一个高基础之上
[21:12] 能够呢再拉高
[21:13] 那一旦他没办法维持住
[21:15] 现在七十几趴
[21:16] 只要你那个掉到毛利率哪怕是69
[21:19] 6字头一出现
[21:20] 我觉得对辉达的股价会形成非常非常大的压力
[21:24] 那这个就如同呢
[21:25] 当初像苹果为了要保自己的毛利率的时候
[21:27] 一定就会开始先找代工厂
[21:30] 那开始呢去洽谈就是分散订单啊
[21:33] 然后配合可能就是在代工价格上面的一些调整
[21:36] 这个部分的施压
[21:37] 我觉得也会是让可能像鸿海伟创广达
[21:41] 这个头顶上的一个压力
[21:42] 所以我觉得当然这些老AI竞争力
[21:45] 绝对是放在全球
[21:47] 绝对是第一第二强
[21:48] 那他们的
[21:50] 不管是本益比
[21:51] 甚至像鸿海
[21:52] 你甚至可以用
[21:53] 股价净值别角度来看他
[21:54] 我觉得都是很便宜的
[21:56] 那放着当然不吃亏
[21:58] 但是就是
[21:59] 要去思考评量
[22:01] 就是如果你的资金有限
[22:02] 那今年的多头行情里面
[22:05] 会不会希望说
[22:05] 参与更多的一些
[22:07] 次族群或个股的爆发力
[22:09] 好
[22:10] 所以资金有限
[22:12] 这件事情也是蛮现实的
[22:13] 所以有时候为什么
[22:14] 我们会说
[22:15] 不是不推个股
[22:16] 可是个股真的很有趣
[22:17] 我们其实大部分的时间
[22:19] 也都是在讲个股
[22:20] 可是对于要加码的时候
[22:22] 例如说什么叫分批进场
[22:23] 什么叫逢低布局
[22:25] 那大家可能买
[22:26] 用ETF的方式
[22:28] 资金会比较省
[22:29] 但是又可以扩充到
[22:30] 刚刚讲的所有的族群
[22:32] 这是有机会的
[22:33] 例如说
[22:34] 你如果真的非常想要老AI
[22:36] 但是如果你把钱呢
[22:38] 一直重压在红海上
[22:40] 你会觉得很费心
[22:41] 你一直重压在伪创上
[22:43] 你会觉得很费心
[22:44] 但是如果你选择的是一档
[22:46] 比较好的
[22:47] 例如说高息的ETF
[22:49] 我们虽然比较少讲高息ETF
[22:51] 是因为它过去一年的绩效表现
[22:52] 真的比较弱
[22:53] 可是今年以来
[22:54] 其实高息ETF有陆续复活
[22:55] 因为他们在换股上面
[22:57] 他们也会有一些想法
[22:58] 是不是就全部都是非常非常高息
[23:01] 不会动的
[23:01] 还是有沾到AI的高息
[23:03] 其实大家都有各凭本事
[23:05] 所以今年以来
[23:05] 有一些高息ETF
[23:06] 也是有缴出两成以上的报酬率也不能说是很烂今年也才两三个月而已对不对虽然不能像有一些标股可能两三个月你已经涨五成一倍了可是高息贴付
[23:18] 它毕竟还是有怎么样
[23:19] 用高息或是低坡的方式
[23:21] 抵御这个市场震动的好处
[23:24] 那还有现在还有主动高息
[23:27] 主动高息就是我一方面
[23:29] 可能40% 30%的钱
[23:31] 拿去做主动的成长型选股
