[00:00] 欢迎收听赵华与古惑仔的周末特别版
[03:50] 7月7號那天我們有一個黑K跌下來了
[03:54] 可是就趨勢來講
[03:56] 我們的大盤那天已經進到盤層了
[03:59] 進到盤層我們的資金就要調節了
[04:02] 本來你滿倉的all in的
[04:04] 那時候最流行的all in三代四代
[04:07] 我們討論好幾次
[04:10] 所以那時候要趕快減倉
[04:11] 大盤盤層要減到五成
[04:13] 手上已經不漲的跌的
[04:17] 你就給他賣一賣
[04:18] 把錢收回來
[04:19] 到7月17號有一根長黑
[04:22] 我們大盤就轉空了
[04:24] 所以實際上可以追溯到7月初
[04:27] 7月中
[04:28] 我們的大盤就已經開始往下走了
[04:30] 如果你會看技術分析的K線
[04:33] 這些變化
[04:34] 再加上趨勢
[04:35] 你很早就已經知道大盤會跌
[04:38] 只是我們不知道會跌到哪裡
[04:40] 因為跌到哪裡也是市場來決定的
[04:43] 所以一直跌跌跌到我們的這個那天破四萬
[04:47] 大家都想說大概完蛋了沒機會了
[04:50] 那同樣的在跌破四萬那一天拉了一個下影線
[04:55] 第二天就一路反攻
[04:56] 而且第二天是跳空
[04:58] 跳空大漲好幾千點
[05:00] 他就反攻
[05:02] 所以那一天又告訴我們一個訊號
[05:04] 這邊已經跌完了
[05:05] 他要開始反彈了
[05:07] 一直彈到今天都還沒有下來
[05:10] 所以就我們的技術面來講
[05:12] 我們的大盤是一個強力反彈
[05:15] 他不但站上月線站上季線
[05:17] 剛才講已經到4萬6
[05:19] 我們的歷史高點才4萬8
[05:22] 對差2000多點而已
[05:24] 所以一個反彈又好像快要回來了
[05:27] 所以在這個經歷中
[05:28] 我相信大家是不是希望說
[05:31] 哎呀我也可以知道7月初
[05:33] 我就先減碼把錢收回來
[05:35] 那現在反彈我又有機會等股票來做
[05:39] 那有些股票當然比大盤
[05:41] 翻转的还要快
[05:42] 已经变多头
[05:43] 那你不妨现在又可以开始
[05:46] 用技术面已经转多的股票
[05:48] 你去做
[05:49] 林医老师也是觉得
[05:50] 如果现阶段才进来
[05:52] 去找转多的股票
[05:53] 依旧还算安全吗
[05:55] 我认为现在当然进场是很安全的
[05:58] 因为这波反弹
[06:00] 有很多朋友问说
[06:01] 他好可惜这波反弹没做到
[06:03] 大家都觉得自己是股神
[06:05] 可以抄底在最低点
[06:07] 但是其实做不到
[06:08] 做不到啊
[06:09] 这本来就是做不到的事情嘛
[06:10] 那现在当然第一波反弹
[06:12] 第一只角很强嘛
[06:13] 所以我们现在就等待第二只角
[06:15] 确认多头之后我们进场
[06:17] 那会不会没有角了
[06:19] 好多人在问这个事情
[06:20] 那其实我们在技术分析里面
[06:23] 朱老师有教过
[06:23] 如果他没有角
[06:25] 其实K线横盘也视为一只角
[06:27] 对 K线有可能会用以盘带点
[06:29] 对 所以其实这两天很多股票
[06:32] 就是这个礼拜很多股票
[06:33] 都是K线横盘突破
[06:35] 那这一只角一突破
[06:36] 股价在20日均线之上
[06:39] 20日均线向上
[06:40] 它就轉成多頭了
[06:41] 所以我倒會覺得說
[06:43] 過去的紅頭反彈是給我們一個訊號
[06:46] 代表我的股價強力急跌之後
[06:48] 又急漲上來
[06:51] 這個訊號告訴我
[06:52] 這隻腳很強
[06:53] 所以代表後面的多頭
[06:54] 我一定要好好把握所以過去那個反彈沒做到也沒關係但多頭沒做到就不太應該了因為我跟兩位學到一個東西很重要例如說那一天7月17號一個大長黑
[07:06] 很多人就會覺得算了啦
[07:08] 我不要跑了
[07:09] 其實那是一個非常強力告訴你
[07:11] 盤要往下灌的訊號
[07:13] 很多人覺得那天跌那麼多了
[07:15] 我就忍耐一下
[07:15] 是物資後面還有更低
[07:17] 還有就是7月31號反轉那個大紅黑
[07:20] 很多人說漲那麼多了
[07:22] 那來不及了
[07:23] 其實那就是一個網上很強烈的訊號
[07:26] 對兩位來說這兩個訊號其實強烈到不行對不對
[07:29] 對所以其實我們也不講不要去摸底不要摸頭
[07:34] 如果他多頭沒有出現頭頭低
[07:36] 我們本來就做多繼續做嘛
[07:39] 所以在那個時候
[07:40] 歷史高點回來的時候
[07:41] 我們還說回後買上漲可以有機會再創歷史高點
[07:45] 可是7月7號就沒有了
[07:47] 因為他就是沒過去
[07:50] 所以我們對趨勢還有這些K線的掌握
[07:54] 各位一定要把它精進
[07:57] 因為我們是散戶
[07:59] 說實在話
[08:00] 很多一些怎麼早知道的消息
[08:03] 我們可能沒有那麼專業
[08:05] 甚至於國外的一些總經數據
[08:08] 或者產業的基本面
[08:11] 我們可能一般人沒那麼多時間
[08:13] 去研究到那麼透徹
[08:15] 但是如果你能夠把圖看懂
[08:17] 你至少知道趨急避凶
[08:19] 或者要避開風險
[08:21] 把這些位置如果能抓到的話
[08:24] 你至少不會大賠
[08:27] 這個其實蠻重要
[08:28] 就是一般人做股票
[08:29] 他真的他就覺得說我有賺
[08:32] 我有賠
[08:33] 可是不知道為什麼賺
[08:35] 也不知道為什麼會大賠掉
[08:37] 如果能夠知道這樣子的話
[08:39] 又有一個好方法掌握
[08:40] 我相信你賺的時候會大賺
[08:42] 你賠的時候你也跑掉了
[08:44] 我相信這是大家最想要知道的
[08:47] 我能夠賺到錢
[08:48] 然後賠錢的時候我又不再
[08:51] 我又走掉那就最厲害了
[08:54] 實際上如果你在技術分析上
[08:56] 能夠掌握這些我們講轉折
[08:59] K線的轉折訊號
[09:01] 你真的可以怎麼樣
[09:03] 可以有錢買到早知道
[09:06] 人家說難買早知道
[09:08] 但是你學了技術分析
[09:09] 你就可以知道
[09:10] 這根K線的訊號
[09:12] 我早知道我就該跑了
[09:14] 所以每一次的歷史都會重演
[09:18] 都是這樣
[09:19] 所以能夠盡早的學會這些訊號
[09:22] 我相信你就可以掌握你自己手上那支股票
[09:27] 因為股票很多
[09:28] 你不可能去管到別人的股票
[09:30] 你把你手上這支股票的命運給他掌握住
[09:33] 那其實就是你在股市獲利的最大機會
[09:37] 不過我這邊想要再追問朱老師一件事
[09:40] 其實我印象很深
[09:40] 去年對等關稅的板子拿出來暴跌
[09:44] 朱老師常常上理財達人秀就有聊
[09:47] 他說其實大盤那時候就緩緩的已經跌破了月線
[09:51] 所以再怎麼說手上的資金都要先解碼到五成以下
[09:55] 對不對
[09:56] 這一次除了剛剛講的那一根轉折大黑K之外
[10:00] 有沒有其他輔助讓你覺得要先把資金水位降低的訊號
[10:04] 好
[10:04] 我們一般是以大盤的位置
[10:08] 或者你做股票個股的位置
[10:11] 但是總資金的投入就是以大盤來做我們總資金的控管
[10:17] 大盤多頭都沒有變
[10:19] 不管他怎麼強
[10:21] 只要他多頭
[10:22] 我們的資金可以加到七成八成
[10:25] 但原則上我們比較不希望大家all in
[10:29] 當然有時候機會太好
[10:31] 很多人忍不住了就all in
[10:33] 但是我們大概會到八成最多九成
[10:36] 那大盤我剛有講進到盤整
[10:39] 我們就大概把它降到五成
[10:42] 降到五成因為它盤整有時候時間短
[10:44] 有時候時間很長
[10:46] 如果時間很長
[10:47] 你大概也知道這個盤並不是很理想
[10:51] 空投一確認
[10:53] 如果我們只做多不做空的話
[10:56] 你的資金要趕快降
[10:58] 要降到四成
[10:59] 然後再上不來就要降到三成
[11:02] 所以基本上我們前陣子
[11:04] 跌到7月31號最低點的時候
[11:06] 應該你是三成的資金在股市裡面
[11:10] 那這一陣子反彈我相信你很高興
[11:13] 因為你有七成的資金都是現金
[11:16] 然後你現在就可以選好的反轉強勢的股票
[11:20] 你就可以開始布局
[11:22] 但是因為大盤現在是反彈
[11:23] 它並不是盤整
[11:25] 所以如果你看到第二隻腳
[11:28] 就像我們剛才頭一樣
[11:29] 你現在就可以變五成了
[11:31] 三成變五成了
[11:33] 那如果大盤真的把底也打出來了
[11:36] 多头也确认你又开始加码了
[11:38] 六成七成这样做
[11:40] 所以永远要顺到这个趋势的方向
[11:43] 调节手上的资金
[11:45] 这个好处就是说大跌的时候
[11:47] 你心很安
[11:48] 因为你有七成资金在手上
[11:50] 那三成即使万一控制不好
[11:53] 那大概就是一个停损
[11:54] 那你有七成资金等现在好机会
[11:58] 其实我可以跟大家讲
[12:00] 我们的大盘现在
[12:01] 大家就在等最好的机会
[12:04] 因为它已经证明了
[12:06] 他開始轉槍了嘛
[12:07] 這一路的反彈就在證明
[12:09] 這個低點已經沒有了
[12:11] 就是類似破4萬點的低點
[12:13] 那這樣子我們如果再等他
[12:16] 把這個架構做好
[12:18] 就是趨勢的架構做好
[12:20] 那我們就可以開始做股票
[12:22] 就可以操作股票
[12:24] 所以任何時候
[12:25] 只要你先具備好這些
[12:28] 技術分析的專業條件
[12:30] 他什麼時候都會有機會
[12:32] 那你都可以用技術分析
[12:35] 在市场获利
[12:36] 好
[12:37] 这个是在大跌之前
[12:38] 朱老师会观察的一些指标
[12:40] 那这边要请教林英老师了
[12:42] 就是刚刚讲到
[12:43] 现在当然我们都会觉得
[12:44] 对啊
[12:45] 四万点那时候就是底了
[12:46] 不过这是事后论
[12:49] 当下发生的那一天
[12:51] 那除了后来隔天的
[12:53] 一个大红K之外
[12:54] 林英老师还有观察什么
[12:55] 因为我觉得这是
[12:56] 我自己个人比较困扰的是
[12:58] 一直没有看到
[12:59] 所谓的底部大量这件事
[13:01] 而是用一个正常的中量
[13:03] 在微微往上推
[13:05] 所以你觉得当时候
[13:06] 如果想要进场
[13:07] 稍微捞一点便宜股票的人
[13:09] 应该观察什么
[13:10] 好
[13:10] 我想其实在我们的技术分析里面
[13:13] 有一个底部触底条件
[13:16] 它是很明显的
[13:17] 就是说我们这一次
[13:18] 在7月30号那一次
[13:21] 是不是受了一个十字边盘线
[13:22] 7月29号出现一个大量长黑K
[13:25] 我们把图再往前推
[13:27] 其实在29号之前
[13:29] 我们的大盘已经是
[13:31] 弹后下跌连续三根实体长黑K了
[13:34] 那在我们的K棒理论来讲
[13:36] 下跌连三黑
[13:37] 尤其是低档
[13:39] 它是很容易出现止跌讯号的
[13:41] 所以你把图打开
[13:43] 其实在7月29号
[13:45] 7月30号的时候
[13:47] 已经有三根长黑K下来
[13:49] 而且那三根长黑K威力都很强
[13:52] 几乎都是这种扫融资
[13:54] 扫断头甚至我本身有在期货公司的同事他说那个期货斷頭更可怕就在那三天裡面不論是股票斷頭期貨斷頭但重點是這些斷頭的股票都集中在高價股
[14:08] 因為這些高價股都是高檔高融資的股票
[14:11] 那一殺下來之後
[14:12] 我就已經知道連續三根黑K下跌
[14:15] 已經是短線空投的低檔
[14:17] 再加上7月30號出現止跌的變盤線
[14:19] 這兩根K棒是一個很重要訊號
[14:22] 那这个重要讯号来自于
[14:24] 它刚好在重要的支撑撑住了
[14:27] 这个重要支撑除了四万点之外
[14:29] 其实如果你把图打开
[14:31] 把图往左边看
[14:32] 它前面有个转折低
[14:34] 刚好也撑住
[14:35] 还有这一次的最低点
[14:37] 四万点三万九千点
[14:38] 这次刚好碰到我们大盘的半年线
[14:41] 它刚好碰到向上的半年线
[14:44] 刚刚好都没有破
[14:45] 就一个十字变盘线最低点碰到
[14:48] 这都很厉害的
[14:49] 因为你最低点刚好碰到线
[14:51] 这代表有人控盘控在这里
[14:53] 那不然怎么会这么刚好
[14:55] 所以这根十字变盘线出来之后
[14:57] 其实我们就要有警觉了
[14:58] 可能大概杀到这里是差不多的
[15:01] 但最重要关键是
[15:03] 隔天7月31号的大量长虹棒
[15:05] 因为那根大量长虹棒
[15:07] 是开盘跳空往上
[15:09] 那我们空方力道很强
[15:11] 它强到一个程度之后
[15:12] 竟然隔天开盘跳空
[15:14] 收一个大长虹
[15:15] 那个是一个重要转折
[15:17] 即使没有量
[15:18] 但是在我们的技术分析领域里面
[15:20] 价格是最重要的
[15:22] 价格只要转折逆转往上的话
[15:25] 量后面都可以补出来的
[15:27] 所以或许我们可以学到一点就是
[15:29] 当我的股价连续下跌到低档
[15:32] 然后连续长黑下来
[15:34] 这些都是K棒的反应
[15:35] 那遇到重要支撑
[15:36] 而且三个重要支撑
[15:38] 我们刚刚有讲
[15:38] 包括你的半年线
[15:40] 你的前低还有整数关卡
[15:42] 它撑住了之后
[15:44] 有没有支撑就看隔天
[15:45] 结果7月31号
[15:46] 大量红黑转折往上
[15:48] 那就确认有支撑了
[15:50] 而且那根長紅真的很厲害
[15:51] 所以在那種長紅情況之下
[15:53] 你看融資又斷頭
[15:55] 訊號出來了
[15:56] 即使沒有大量
[15:57] 可是扎扎實實
[15:58] 那個長紅棒就是有人進場
[16:00] 這種位置我覺得其實都
[16:02] 可以逆勢強一點反彈
[16:04] 是
[16:04] 當然到時候還要繼續觀察
[16:06] 是因為國際股市還在動盪
[16:08] 那時候因為這一波
[16:10] 說實話我們不是鎮壓
[16:11] 就要從韓國開始
[16:13] 還有美國可能擔心
[16:14] 會升息這種外在的變數
[16:16] 所以雖然已經心裡面有底
[16:18] 但是要試可能也只是
[16:19] 先小量去
[16:20] 小量
[16:20] 对小量
[16:21] 我这边补充一下
[16:23] 刚才赵华讲
[16:24] 这一路上涨
[16:25] 好像都没什么量
[16:26] 很担心
[16:27] 就是八九千亿的量
[16:29] 其实不用担心
[16:30] 不用担心了是不是
[16:31] 现在反而不要放大量
[16:33] 现在反而不要大量了
[16:34] 对因为现在已经到上面来了
[16:36] 上面一爆量
[16:38] 就是反弹结束
[16:39] 反弹就结束了
[16:40] 但反弹结束好不好
[16:42] 好啊
[16:43] 我们就在等它结束
[16:44] 要不然每个人都说
[16:46] 老师这怎么办
[16:47] 都没办法追
[16:49] 所以最近大家就要注意一下
[16:52] 不要放出大量
[16:53] 你如果一放到1.2 1.5兆的话
[16:57] 那就麻烦了
[16:58] 他就要回党
[16:59] 那这回党是好啊
[17:00] 我们刚刚有讲
[17:01] 我们有纪律嘛
[17:02] 如果他回党出来一个长黑
[17:04] 把五日军线跌破
[17:06] 那我们就准备看他什么时候
[17:09] 完成第二只脚
[17:10] 那第二只脚我们又可以知道
[17:12] 他坐在什么地方
[17:14] 坐在哪个位置
[17:15] 那我们又可以再来推断
[17:17] 這個大盤未來說會很強
[17:20] 還是短期還要整理
[17:22] 這都是因為我們在技術分析上
[17:25] 可以先去等待的
[17:27] 我們如果把這些機會都能夠掌握
[17:30] 大盤底部出來了
[17:32] 我剛剛就講資金可以加到5成了
[17:35] 加到5成甚至於好的股票
[17:37] 會領先大盤吧
[17:39] 你也可以先做了對不對
[17:40] 因為大盤都不跌了
[17:42] 我的股票是多
[17:43] 當然我就可以先去開始去做股票
[17:47] 其实很多人可能都会只看短短眼前几天
[17:51] 但股票是一辈子的事情
[17:53] 对不对
[17:53] 所以朱老师宁愿等到图是好的
[17:56] 不要觉得谈了就没了
[17:57] 就跟叠的时候觉得叠了就没了一样
[17:59] 不过这次我们台湾有个比较特殊的情况
[18:02] 就是我们有所谓的储值股制度
[18:04] 大家又很集中在某些热门产业的时候
[18:07] 当下你就会觉得
[18:08] 我知道技术型他要我走了
[18:10] 可是我卖不掉
[18:12] 这真的很尴尬
[18:13] 不过幸好我们的制度改了
[18:15] 所以接下来我想整个盘面
[18:18] 用所谓的技术形态操作
[18:19] 它的准确度跟灵敏度
[18:21] 应该就可以完全的回来
[18:23] 那这一次我有身边有些好朋友
[18:24] 也开始觉得痛定思痛
[18:26] 要学习
[18:27] 就有问我说
[18:28] 那朱老师跟林老师的课程
[18:30] 能不能学得会
[18:31] 我就其实我自己有点犹豫
[18:33] 因为我自己是跟朱老师学
[18:35] 可是我就一直很半吊子这样
[18:36] 所以今天两位其实要讲的是
[18:40] K-BONK它也可以是一个很简单
[18:42] 入门的百科对不对
[18:44] K-BOND是技术分析的基础
[18:48] 基础
[18:49] 对因为没有K-BOND
[18:50] 什么都没有了
[18:51] 对了
[18:51] 所以本来就要把K-BOND
[18:53] 把它弄得很清楚
[18:55] 每根K-BOND的变化
[18:57] 它代表什么讯号
[18:58] 然后你在配合趋势
[19:01] 你的位置
[19:02] 那你自然对股票的
[19:04] 所有的都可以做一个掌握
[19:07] 做一个掌握
[19:08] 那第二个我在讲
[19:10] 技术分析男女老少
[19:12] 不分年纪大小都会学会
[19:14] 因為他真的沒有高升學問
[19:16] 明明就有點還是需要專心學
[19:19] 而且紀律最重要
[19:21] 他不像我們在學校讀書
[19:23] 又是數學又是國文又是考試
[19:26] 他都沒有
[19:27] 就是你學了一個規則
[19:31] 你按照這個規則再去練習
[19:34] 你慢慢就可以掌握
[19:36] 技術分析的訣竅了
[19:38] 所以技術分析任何人都可以學
[19:40] 我就講大家都知道
[19:42] 我57歲才學
[19:43] 我也不是二三十歲去學技術分析
[19:46] 但是因為我五十七歲是五頁遊民
[19:49] 所以我比較專心學
[19:51] 就是每天都在上課
[19:53] 每天都在那個
[19:54] 那有些人因為工作忙或怎麼樣
[19:57] 可能就沒有辦法去教室或上課
[20:01] 所以我跟林映老師也就特別說
[20:04] 去開發這個所謂的線上的影音課
[20:09] 你晚上回來有空就看個半小時
[20:12] 你一天乾一點
[20:13] 大概兩個禮拜你也全部看完了
[20:16] 好像全部的課都上過一遍
[20:18] 所以現在的資訊發達網路發達
[20:21] 大家的學習應該是更簡單了
[20:25] 更容易
[20:26] 而且還有一個好處
[20:28] 以前我去上課的時候
[20:29] 如果聽不懂或怎麼樣
[20:30] 那就下一期再報名
[20:32] 現在的影音課你可以重複看
[20:35] 對
[20:36] 真的只要你有心學
[20:38] 真的不怕學不會
[20:40] 可以重複看
[20:41] 可以問你們問題嗎
[20:42] 有群組服務啊
[20:44] 現在都有群組服務嘛
[20:46] 你還有人幫你解答
[20:48] 或者是你有問題都幫你解答
[20:51] 所以只要你有興趣
[20:53] 課程內容都很淺顯易懂就是你一定聽得懂你不會說聽不懂的重點就是你學完了要在股市裡面實務經驗上你要多去驗證
[21:06] 你每一次驗證每一次驗證
[21:08] 久了你就有心得了
[21:10] 你就會抓到這些上漲下跌的位置
[21:14] 以後你做股票絕對不會像現在那麼痛苦
[21:18] 賺上去也不知道什麼時候賣
[21:20] 跌下來也不知道什麼時候買
[21:21] 然後被套牢也不知道什麼時候解套
[21:24] 反正大概就是一般散戶的問題
[21:27] 你都可以有K線
[21:29] 你能夠看懂的話
[21:30] 這些應該都會解決
[21:32] 因為我們今天我也特地幫大家
[21:35] 這一堂課叫做K線實戰百科
[21:38] 我有列出一些
[21:39] 可能投資朋友手上會有的股票
[21:42] 讓兩位空中稍微解讀一下
[21:46] 因為像南亞科創歷史新稿
[21:48] 可是像華邦電旺宏就還沒有
[21:50] 所以要不要挑其中一檔
[21:52] 来帮大家走图一下
[21:53] 说华邦电旺宏
[21:55] 目前有没有谁是反弹到这边
[21:57] 还值得介入的
[21:58] 好我们看好了
[22:00] 华邦电因为它价位比较低一点
[22:02] 这个切入也比较容易
[22:04] 其实华邦电我们先讲
[22:06] 有的人买在高点
[22:09] 现在还在等解套
[22:11] 对不对
[22:12] 但是如果你用我们的K线的转折的话
[22:15] 一样6月22号就是最高点的那根黑K
[22:18] 然后第二天就跌下来了
[22:20] 但第三天6月25號他又上去了
[22:23] 然後6月26號又一個黑黑下來
[22:26] 這就是我剛剛講的
[22:28] 不管你是大盤不管你是股票
[22:30] 你已經出現頭頭低了
[22:32] 就是說他已經進到盤整了
[22:33] 換句話說
[22:34] 這支股票如果你空手你就不能來買了
[22:37] 如果你是有多單你也應該要走了
[22:41] 所以你看你在那時候走的時候
[22:43] 大概是220
[22:45] 那後來跌到120
[22:47] 你看這個差距有多大
[22:50] 你那時候走了
[22:51] 你留了這個220
[22:53] 就是留了22萬
[22:55] 那你現在下來的話
[22:56] 120
[22:57] 你可以買兩張
[23:01] 前面就有訊號是可以離場
[23:03] 他是來得及離場
[23:05] 那現在就是好了
[23:06] 這事情已經過了嘛
[23:08] 那我現在
[23:09] 哇 那既然這樣子
[23:10] 他又轉強了
[23:11] 我什麼時候來買
[23:13] 所以7月30號
[23:14] 也他就跟著我們的大盤
[23:16] 7月30號就最低點
[23:18] 而且他留了一個很長的上影線
[23:21] 換句話講那天就出現了
[23:23] 超級大量的變盤線
[23:25] 那我們就要注意第二天
[23:27] 那第二天他跳空
[23:28] 因為大盤跳他就漲停了
[23:30] 所以好多股票不怕沒有人要的
[23:33] 他因為你疊疊到那麼深
[23:36] 他又好哪個不要每個都要搶
[23:39] 那大盤一轉強第二天就漲停
[23:41] 他從第二天一直到今天
[23:44] 他都沒有跌破五日均線
[23:45] 換句話說他沿著五日均線走
[23:48] 但是有一個訊號很強烈
[23:50] 他8月10號把7月23號的高點突破了
[23:54] 換句話講他現在也不是空頭了
[23:56] 他變頭頭高了
[23:58] 那現在我們要做這支股票很簡單
[24:00] 就跟大帆一樣等第二隻腳就好
[24:02] 我們大帆也是突破前高了
[24:05] 昨天上節目就是突破前高了
[24:08] 那今天繼續突破
[24:10] 那我們現在只要他第二隻腳完成
[24:12] 他就變多了
[24:13] 那我們又可以開始做他
[24:15] 所以像這個股票
[24:16] 大家就看他什么时候回来
[24:18] 不过这两天已经有回来的讯号
[24:20] 因为连续两天都黑K
[24:22] 代表这个地方他要回档
[24:25] 那我们就把钱准备好
[24:26] 然后你看他回档
[24:28] 只要他的架构没变
[24:30] 月线不要跌破
[24:32] 那我们又可以开始做了
[24:33] 好所以这是机体选了华邦电来聊
[24:35] 还有我想PCB上游
[24:37] 我也是被问到
[24:38] 决定把问题转嫁
[24:40] 就是所谓做高阶通博的金居
[24:43] 金居也是之前寄予厚望之后
[24:45] 它是不止腰斩
[24:46] 可能还打到三折四折
[24:48] 那最近也有一些反攻
[24:50] 但反攻力道还是偏弱
[24:51] 好
[24:52] 那我们先看
[24:53] 有没有高档的讯号
[24:55] 可以让我们先
[24:56] 高档先获利了结
[24:57] 所以你可以看
[24:58] 进入分析图
[24:59] 在6月
[25:00] 6月22号的那一天
[25:02] 它高档最高点758块
[25:04] 已经出现了一个长上影线
[25:06] 对
[25:06] 在我们的技术分析里面
[25:08] 长上影线就代表
[25:09] 已经拉高有人在出货了
[25:11] 因为它拉最高又杀低
[25:13] 那第二天就不能跌了
[25:15] 因为第二天只要一跌下来
[25:16] 那就证明我昨天是有人在卖股票
[25:18] 所以6月23号那一天长黑下跌
[25:21] 长黑下跌就把6月22号的
[25:24] 上影线的K棒的低点跌破
[25:27] 这一跌破那糟糕了
[25:28] 高档形成一个高档的夜星组合
[25:32] 这个K棒的三根K棒组合
[25:34] 这个也会在实战百科交吗
[25:36] 会
[25:36] 而且这个夜星是
[25:39] 反转力道最强的夜星组合
[25:41] 而且你仔细看它还有量加贝离
[25:44] 所以这种的现象
[25:46] 其实如果你手上有这档股票
[25:48] 有这个金均
[25:49] 在6月23号那一天
[25:50] 你应该就多单要出场
[25:52] 因为6月23号那一天
[25:54] 也跌破五均
[25:55] 多头回档
[25:56] 那你本来就应该要跑了
[25:58] 好假设你不跑
[25:59] 也凹单
[26:00] 你想说好一根没关系
[26:02] 对不对
[26:02] 我就是凹一下
[26:03] 反正我做长线嘛
[26:04] 那最慢其实在接下来的两三天
[26:06] 它跌破月线
[26:08] 而且它破月线
[26:09] 也是一根大量长黑破
[26:11] 这一破下来
[26:12] 破月线又大量长黑
[26:14] 这个股票真的已经不行了
[26:15] 因为跌破月线
[26:17] 我们的多头就已经转弱了
[26:18] 反上来了
[26:19] 那现在形态好了吗
[26:20] 对
[26:21] 那我们来看反弹
[26:22] 那跌到270开始做反弹
[26:25] 但你就发现
[26:26] 如果在最近的时间
[26:28] 各种股票的反弹来看
[26:30] 它是弱的
[26:31] 很多股票都强力反弹
[26:32] 可是它的角度很平缓
[26:35] 而且它反弹到月线就有压
[26:37] 重点是它的月线很陡
[26:39] 所以我们看到
[26:40] 我们的K棒也很清楚的知道
[26:42] 我們的紅K反彈到月線就出黑K
[26:45] 而且還是一根長黑
[26:47] 這個黑K我們可以把它視為是一個
[26:49] 長黑的這個覆蓋線
[26:51] 那覆蓋線一下來
[26:52] 股價跌破了五均
[26:54] 當然我在8月11號這一天有出現底底高
[26:57] 那8月12號用跳空把前高給過
[27:01] 就轉成多頭確認了嘛
[27:02] 可是它還是弱啊
[27:04] 因為月線還在向下
[27:05] 更何況在往上季線也是壓力
[27:08] 所以如果就同時間空投反彈的股票比較起來
[27:11] 这波跌幅太大了
[27:13] 跌幅太大
[27:14] 这个多方的力道
