[00:00] 歡迎收聽趙華與古惑仔的新春特別版
[13:11] 這一波的記憶體
[13:12] 其實他們都是有一些
[13:13] 特定的想法
[13:14] 就是說他們覺得
[13:15] 他們把餅畫得大一點
[13:17] 那他就逐夢踏實
[13:19] 就是說我夢是這樣做
[13:20] 但是我們就一步一步的
[13:22] 往前踏
[13:22] 而不是說
[13:23] 這個夢很大
[13:24] 然後就覺得說
[13:25] 這是虛無縹緲
[13:26] 不是
[13:26] 他們是有一個很大的夢
[13:28] 然後就逐夢踏實
[13:29] 所以在投資上
[13:30] 你也是一樣
[13:31] 就是說
[13:31] 你可以看到一個VTUAL
[13:34] 但是你可以自己設幾個
[13:35] 邁奧斯洞去發
[13:36] 那一樣
[13:37] 如果你不會設邁奧斯洞
[13:39] 你可以用股價設邁奧斯洞
[13:40] 你可以把股價
[13:42] 例如說
[13:43] 它站上了什麼位階
[13:45] 你就做加碼的動作
[13:46] 什麼位階在站上
[13:47] 你在加碼的動作
[13:48] 其實你就會發覺
[13:50] 其實很多股票
[13:51] 其實是可以這樣做的
[13:52] 那我其實
[13:54] 我講白的
[13:55] 其實我認為我最終
[13:57] 我覺得我轉型到這個位置
[13:59] 我覺得很好
[14:00] 其實我就是把
[14:02] 就是受人以魚
[14:03] 就是我不是直接給你魚
[14:05] 我是教你怎麼釣魚
[14:06] 對
[14:07] 那我覺得在業界裡面
[14:08] 其實也很少人願意這樣做
[14:10] 就是大部分人都覺得
[14:11] 我自己賺就好
[14:12] 為什麼要分享給別人
[14:13] 但是我就覺得說
[14:14] 這市場這麼的大
[14:16] 為什麼你不願意分享給別人
[14:17] 就好像剛剛趙華講的
[14:19] 其實做投行
[14:20] 這個基本上就是進入一個藏寶庫的概念
[14:23] 而在座的你的每一個同業
[14:25] 基本上大家都是共同來這個藏寶庫裡面挖寶的
[14:29] 只是他挖的可能是一個神燈
[14:32] 你可能挖到的是一個戒指
[14:34] 但基本上他都是寶
[14:35] 只是挖大挖小的問題而已
[14:38] 所以這裡頭就沒有什麼敵人
[14:39] 其實大家都是共同在這個船上
[14:42] 在做一個積極的人
[14:45] 我說的說也蠻好的
[14:46] 就是我覺得在這裡沒有所謂的競爭對手
[14:50] 一本是投信彼此的那個績效競爭
[14:53] 我覺得那也只是一個假象
[14:55] 因為你終於會離開這個職場
[14:57] 對
[14:57] 可是這些本職權你都帶走了你離開了你還是可以繼續發光發亮我覺得沒有競爭對手這句話非常非常好因為現在臺股有1700、800檔股票那你說我有遇過
[15:10] 我有遇過有人是
[15:11] 好像老師講了一個A股票
[15:13] 然後他就覺得說
[15:14] 你怎麼可以去電視上
[15:15] 把它講出來
[15:16] 可是有人相反
[15:17] 說老師你這個A股票
[15:18] 為什麼你不去電視上
[15:19] 把它講出來
[15:20] 讓大家來買
[15:21] 不管怎麼說
[15:22] 雖然是1700、800檔
[15:24] 當然你去研究冷門價值股
[15:26] 是大家都不認識的
[15:27] 你默默地賺
[15:28] 也有聽過這種神秘大戶
[15:29] 可是我覺得那確實不是
[15:31] 一般投資朋友能夠做到的
[15:32] 我覺得一般投資朋友
[15:34] 比較能夠做到的
[15:35] 就是在現在熱門的這些裡面
[15:38] 你說熱門的篩出來
[15:39] 可能就300檔哦
[15:40] 因為我們知道
[15:42] 以2025年來說就非常明顯
[15:44] 上漲的公司600多檔而已
[15:46] 下跌的公司1200檔
[15:48] 所以你說熱門的又會漲的
[15:51] 其實每一年它的池子
[15:53] 都不會算是太大
[15:54] 當然越大
[15:55] 可能採品的人會越高興
[15:56] 因為你會覺得
[15:57] 我價值也能漲
[15:58] 傳承也能漲
[15:59] 科技也能漲
[15:59] 可是如果今天都是集中在一些熱門的族群
[16:03] 其實就那麼三五百檔股票的話
[16:05] 你就從裡面去把你的配置做起來
[16:08] 我覺得那個是非常非常簡單的方式
[16:10] 然後為什麼說沒有競爭對手
[16:12] 你也不用在意說
[16:13] 是不是好多老師都在喊這檔
[16:15] 記憶體不就告訴你
[16:16] 當今天全市場的人都在喊這檔
[16:18] 他還是照長不悟嗎
[16:20] 但我覺得還是要觀察
[16:22] 例如說
[16:22] 如果現在投信跟外資真的一直賣一直賣一直賣
[16:25] 一直在賣你手上的股票
[16:26] 而你除非你有非常堅定的信仰說
[16:29] 他們真的都不懂他的價值
[16:30] 可是我搞得很清楚
[16:32] 那當然就不要管他
[16:33] 但如果你也是跟著市場在走的
[16:35] 你就會知道說
[16:35] 他目前可能短線上就會走弱了
[16:38] 是不是要先獲利了結一趟
[16:39] 先去佈局其他籌碼上
[16:41] 或是形態上比較強的
[16:42] 我覺得至少我們在這個市場裡面
[16:45] 做到很基本功這些事情
[16:47] 你每年要掙報酬
[16:49] 除非是大空頭年
[16:50] 我覺得真的不算是太困難的事情
[16:53] 然後不要去羨慕別人
[16:55] 其實我覺得這段時間
[16:56] 我好常分享就是
[16:57] 不用去羨慕別人
[16:58] 因為每一檔股票都會有他的走法
[17:01] 那你是可以堅持你門道的人
[17:03] 你就可以賺得很久
[17:04] 我覺得這個是很重要的事情
[17:06] 對 再來就是要用善用工具
[17:08] 就好像說我們達人秀
[17:09] 其實是一個工具
[17:10] 其實像凱哥有一套軟體
[17:12] 叫關鍵黃金K
[17:13] 它也是一套工具
[17:15] 就是你不能說你完全都沒有產值
[17:18] 你就要想要挖寶
[17:19] 基本上這還是會有點難度的
[17:21] 但是你就是善用工具
[17:23] 就是多方面的訊息
[17:25] 然後有了訊息之後
[17:26] 你就怎麼樣
[17:26] 你就輔助於一套
[17:28] 例如說某一個系統
[17:29] 像我的關鍵黃金K
[17:30] 它就可以讓你判斷
[17:32] 什麼時候是一個
[17:33] 好的進場的位置
[17:34] 什麼時候是一個
[17:35] 該退場的位置
[17:36] 那其實多一套工具
[17:37] 基本上對你的投資
[17:39] 就會大有幫助
[17:40] 還是要幫凱哥宣傳一下
[17:42] 因為達人們多少少
[17:44] 為什麼可以
[17:45] 比較輔助於
[17:47] 我真的是蠻
[17:48] 怎麼講
[17:48] 我覺得蠻好的
[17:50] 對不是說今天
[17:51] 在幫凱哥打廣告而已
[17:52] 就是說凱哥有他的工具
[17:54] 大家也知道像小哥有他的工具
[17:56] 阿格里有他的工具
[17:57] 然後古玉有他的工具
[17:58] 那一定是他揣摩過
[18:00] 這樣的工具
[18:02] 組合了這些引數之後的勝率
[18:05] 跟他的習性
[18:06] 會跟你自己的風格
[18:07] 是最為貼近的
[18:08] 所以如果你是喜歡凱哥的朋友
[18:10] 就可以參考一下
[18:11] 凱哥用的工具是什麼
[18:12] 對他同樣的
[18:13] 你喜歡籌碼
[18:14] 但可能你看小哥
[18:15] 你喜歡技術形態
[18:15] 你可能看朱老師
[18:16] 但我覺得都不要去說
[18:18] 你看人家有弄這個
[18:20] 他其實就是來給你賣錢的
[18:21] 其實我覺得蠻無聊的
[18:22] 我再解釋一下
[18:24] 等在過年期間
[18:25] 講這個事情
[18:27] 因為我的軟體其實
[18:28] 很多人講說
[18:29] 凱克的軟體很好用
[18:31] 那我有大家多麼知道軟體
[18:32] 那是不是大家都走同樣的一步路
[18:34] 這也不會
[18:35] 但是重點是
[18:36] 其實凱克軟體還很少人用
[18:37] 因為我目前的在手的使用者
[18:40] 只有48位
[18:41] 全股票市場這麼多人
[18:43] 竟然只有48位用我這套軟體
[18:45] 所以你就不用擔心說
[18:46] 你的這個套路會被人家看穿
[18:48] 我覺得不用擔心
[18:50] 因為之前也是有人在看
[18:51] 這個朱老師的基礎形態嘛
[18:53] 因為朱老師的教學
[18:54] 也是學生眾多
[18:55] 然後他們也會跟朱老師抱怨
[18:57] 因為那時候
[18:58] 我幫他開一個單元
[18:59] 就專門教這樣子
[19:01] 他們就說
[19:01] 老師你在外面一堂課
[19:02] 都收的比較貴一點
[19:04] 可是你跑到達蘭秀免費教
[19:06] 那我們的秘密
[19:07] 都被人家學走了
[19:08] 朱老師有點無奈
[19:09] 後來我們就經過這麼多年
[19:11] 我必須跟大家說
[19:12] 除非你有心
[19:13] 不然學不起來
[19:14] 真的
[19:14] 對
[19:15] 就是再多人在看
[19:16] 為什麼
[19:17] 就是你會覺得說
[19:19] 大家都知道啊
[19:20] 多頭形態
[19:21] 或是籌碼集中
[19:22] 你覺得講這句話很簡單
[19:23] 可是他套用到
[19:25] 你每一個人的個性
[19:26] 跟心魔的時候
[19:27] 你就知道真的事情
[19:28] 沒那麼簡單
[19:28] 該買你不會賣
[19:29] 該買你不會買
[19:30] 所以要記得
[19:32] 有好用的工具
[19:34] 你要有對他一定的信任
[19:36] 跟你要守紀律
[19:37] 這個是不變的
[19:39] 永遠永遠不變的事情
[19:41] 好那今天很謝謝凱哥
[19:43] 到這個我們的新春特別版
[19:45] 跟大家分享
[19:46] 也希望大家過完長假之後
[19:48] 在新的馬年來到
[19:49] 能夠有自己更棒的一套
[19:52] 操作配置跟邏輯
[19:53] 馬年繼續賺錢
[19:54] 祝大家馬年一路長紅
[19:56] 好
[19:57] 新年快樂
[19:58] 拜拜
