[00:00] 欢迎收听赵华仪古货载第1144集
[02:43] 就算是首当其冲的
[02:45] 对
[02:46] 所以那时候我跟布鲁
[02:47] 请教了很多问题
[02:49] 尤其跟苹果的沟通
[02:50] 并不是非常的
[02:51] 非常的无不解
[02:53] 但是呢
[02:57] 古惑仔是一个免费的频道
[02:59] 所以常常希望大家多多的
[03:02] 体恤这一个免费的频道
[03:04] 当然我们大部分收到的都是一片好评
[03:06] 真的是谢谢大家
[03:08] 那偶尔我们也会有一些置入的内容
[03:11] 也希望大家多多支持
[03:12] 因为它是一个一千多集来都免费的频道
[03:15] 好话不多说
[03:17] 我们先来跟布鲁聊一下
[03:19] 这一次的风暴
[03:20] 当然一开始从我们一直提醒大家
[03:23] 去杠杆
[03:24] 美国韩国台湾
[03:26] 其实都一直提到
[03:27] 杠杆开太高了
[03:28] 资金要收缩
[03:29] 然后美国有所谓的升息效应
[03:31] 那韩国也有杠杆系ETF
[03:33] 可能发太多了的问题
[03:35] 那真的来了
[03:36] 很不巧的还发生在台积电
[03:39] 开完一个法说之后
[03:41] 那从那时候到现在
[03:44] 因为布鲁是专门看外资报告的
[03:47] 我先问第一件事情
[03:48] 这个外资到底在这一次的
[03:50] 各国修正之前
[03:52] 有提出任何的
[03:53] 你觉得有意义的警讯吗
[03:55] 或者是修正之后
[03:56] 他们现在的态度
[03:57] 有任何改变吗
[03:58] 你说在修正之前
[04:00] 提出警讯吗
[04:01] 当然是没有啦
[04:02] 不过多多少少会有
[04:04] 例如说会说
[04:04] 华尔街会说
[04:05] 现在的本益比太高啊
[04:07] 什么这种事情
[04:08] 我们偶尔也是会听到
[04:09] 但我总觉得这种
[04:10] 有人可以
[04:12] 大家我们下点以后
[04:13] 总会觉得有人有先讲
[04:14] 但先讲那种
[04:16] 他其实是从头到尾都讲空的
[04:18] 对因为通常
[04:19] 市场在好的状况
[04:20] 你只要看外资报告
[04:22] 这种大家一定都是
[04:22] 往上调的
[04:23] 越涨越往上调
[04:25] 看那个外资报告的
[04:26] 那个目标价调法
[04:27] 永远都是这样子
[04:28] 所以我觉得要先知道
[04:29] 真的是偏难
[04:30] 那所以我比较提倡
[04:32] 金流的看法
[04:33] 就是一直
[04:33] 我们看现在
[04:35] 并且你去觉得
[04:36] 现在要怎么走的几率
[04:38] 比较高
[04:39] 这个对我们一般人来讲
[04:40] 比较
[04:41] 怎么讲
[04:41] 比较有办法
[04:42] 让我们去执行
[04:43] 我们该做的事情
[04:44] 不然预测预期
[04:45] 那你要去
[04:46] 不如预期的时候调整
[04:48] 那常常都来不及
[04:49] 好
[04:50] 所以有啦
[04:51] 其实多多少少外资
[04:53] 也会有像那种
[04:53] 大卖空的经理人
[04:55] 对不对
[04:55] 之前就一直告诉大家
[04:57] 要放空辉达
[04:58] 这个Parentier
[04:59] 然后放空谁
[05:00] 都有讲
[05:00] 其实也算是狙击成功
[05:02] 因为开始是失败
[05:03] 可是他讲了很久
[05:04] 他讲很久
[05:05] 所以市场上有分两种
[05:07] 一种永远多头
[05:08] 其实永远多头的人
[05:09] 还是比较吃香
[05:10] 一种是永远末日博士
[05:12] 对
[05:12] 其实末日博士是长期存在的
[05:14] 他就偶尔崩跌
[05:15] 说他们就对了这样
[05:16] 所以大家在这个市场上
[05:18] 其实如果以一个长时间来看的话
[05:21] 我们常常讲
[05:22] 以台股的市值或美股的市值
[05:23] 它也是永远往右上走
[05:25] 这件事情倒是没改变
[05:26] 可是这两年往右上走的速度变快了
[05:29] 就是因为AI时代的来临
[05:30] 那我们也讨论过实在是太多次
[05:33] 就是AI有没有泡沫什么的
[05:34] 我个人觉得
[05:35] 它就像是大家后来开始用手机
[05:38] 已知用火
[05:39] 它不太容易趋势反转
[05:42] 但是中间一定会有公司起落
[05:44] 一定会有指数的起落
[05:46] 我觉得这个是我们必须要面对的
[05:49] 那这一次的回谍
[05:50] 目前我当然不能说
[05:51] 断定到际限就是一个满足
[05:53] 可是我也必须讲
[05:55] 接下来我们会有很多大型的
[05:57] 美股的云端业者的采报
[05:58] 他们肯定还是讲好话
[06:00] 那台积电
[06:01] 其实他在这一次的法说会上面
[06:03] 顶多帮成熟制成
[06:05] 加了一个不确定性
[06:07] 可是自己的本身
[06:09] 他还是讲得很好
[06:09] 对啊
[06:10] 就是包括
[06:11] 这个年的营收成长率会高达40%
[06:15] 這個也超出原本的預期
[06:17] 毛利率我覺得市場當初顧得太高
[06:19] 說什麼第二季要70
[06:20] 其實真的沒有
[06:22] 他當初的猜測
[06:23] 高標就67.5
[06:24] 所以他繳出來是超過67.5
[06:26] 第三季可能會有一點小影響
[06:28] 不一定比第二季高
[06:29] 我覺得這些都是在預期內的東西
[06:32] 就是遇到一個整體市場
[06:34] 剛好
[06:36] 集所有
[06:36] 例如說我韓國跌那麼多了
[06:38] 美國非辦也跌那麼多
[06:39] 你們台灣還沒跌
[06:40] 我覺得剛好集所有的恐懼一身就出現了
[06:43] 我觉得我们要有一个
[06:44] 先有的认知
[06:45] 就是现在这种环境
[06:47] 尤其是你看我们五六月
[06:49] 长了这么多
[06:50] 会有的波动
[06:52] 自然就会放大
[06:53] 通常就是你前面怎么长的
[06:54] 你要开始修正的话
[06:56] 它就怎么修正
[06:56] 前面如果长得很少
[06:58] 修正就会很小
[06:59] 长得很多修正就会很大
[07:00] 我觉得这个是我们要
[07:01] 先应该有的认知
[07:02] 所以不用每次都觉得
[07:03] 发生什么事就好像崩盘
[07:05] 我们可以
[07:06] 像赵老讲
[07:07] 先从大环境开始看
[07:09] 大环境你把它摊开来
[07:10] 整个产业面
[07:11] 大家看
[07:12] 其实你看大多数人讲都差不多了
[07:14] 没有太大的改变
[07:15] 比较像是一些筹码面的修正
[07:19] 长太多的修正
[07:20] 或者是有些杠杆上过头的部分
[07:23] 那这种大家正在修正的时候
[07:25] 你看拿出来讲的利空
[07:27] 其实你一想象看下来会觉得
[07:29] 这些好像都没有一个新的
[07:33] 你要讲什么
[07:33] 中国AI Kimi
[07:36] 那不就跟之前Deep Sea那一样吗
[07:38] 然后要讲到什么去杠杆
[07:40] 我觉得去杠杆这个很有意思
[07:41] 就是你光看一个国家的人民
[07:44] 封什么ETF
[07:45] 就可以看出这个国家
[07:46] 人民的不同
[07:47] 民族性
[07:48] 对吧
[07:48] 台湾是封高股息
[07:50] 00940那个时候
[07:51] 大家喜欢领袭
[07:52] 韩国是封高杠杆
[07:55] 可是高杠杆的这些商品
[07:57] 很多是五月底才出出来的
[07:59] 所以你要说
[08:00] 全部都是因为这波造成的吗
[08:01] 我觉得到比较像是
[08:03] 这波在修正
[08:04] 大家拿出来讲的
[08:05] 其中一个理由罢了
[08:06] 因为修正就是股市市场的必然
[08:10] 就是来来回回是一个必然
[08:12] 然后刚刚讲到民族性
[08:13] 我必须讲
[08:14] 并不是大家喜欢高股息
[08:16] 这个是事实
[08:17] 大家喜欢息
[08:18] 这个是有的
[08:19] 因为我们以前台湾的殖利率
[08:21] 在全世界是排前三名的
[08:22] 我们有很多很好的公司
[08:24] 但是因为可能
[08:26] 大家会觉得高本益比
[08:28] 是在美国市场或是哪里
[08:29] 台湾的本益比
[08:30] 一直都压得比较低
[08:32] 我不去说
[08:32] 所以也造就了一些
[08:33] 也许它的成长性
[08:34] 没有那么强的价值股的存在
[08:36] 所以有段时间
[08:37] 大家很喜欢股息
[08:39] 可是这次高股息
[08:40] 为什么会涨
[08:40] 是因为股息和价差双赚
[08:44] 你领着息
[08:46] 你又赚到了价差
[08:48] 这么开心
[08:49] 这才是高股息
[08:50] 那时候卖爆的原因
[08:52] 因为高股息的发行
[08:54] 刚好是在2022年的年底开始
[08:56] 有一波的发行
[08:57] 就跟主动式ETF
[08:59] 在2025年的5月出现第一档
[09:02] 完全是一个天时地利人和
[09:05] 所以大家爱的
[09:06] 一方面你会觉得
[09:07] 有息做保护没有错
[09:08] 另一方面大家爱的是价差
[09:10] 其实韩国的高杠杆
[09:13] 也是天时地利人和
[09:15] 记忆体营收获利这么好
[09:16] 其实我觉得这些金融机构
[09:19] 都很知道什么时候该卖什么商品
[09:21] 没有我们比较幸运
[09:23] 因为我们是发行在低点
[09:25] 可是它五月发
[09:26] 其实记忆体已经涨一大段了
[09:28] 可是这种说法大家都会买
[09:29] 对它一定会募得好
[09:31] 所以我们会有市场上有一个说法
[09:33] 当它募得很烂的时候
[09:34] 你们就知道它后面的绩效会好
[09:36] 因为我记得那时候
[09:38] 印象最深是2022年的10月
[09:40] 应该是00919发行
[09:42] 为什么印象很深
[09:43] 是因为他有来理财大人秀
[09:45] 做置入
[09:46] 然后那时候好难讲你知道吗
[09:48] 因为2022年的10月
[09:49] 就是一片
[09:50] 已经烂了一年了
[09:51] 而且那时候国安基金
[09:52] 已经说进场
[09:53] 进场有兴奋一下
[09:54] 又下去了
[09:55] 又打到低点
[09:56] 好像连进场都没屁用的时候
[09:58] 所以市场是根本没有信心
[10:00] 成交量萎缩
[10:02] 然后在谷底
[10:02] 这时候商品发行
[10:04] 大家就在骂
[10:05] 那时候还有人跑到
[10:06] 我的留言板骂说
[10:07] 你永远不要再说
[10:08] 后面会反弹了
[10:09] 不会反弹了
[10:10] 你们现在只会跌到
[10:11] 一万以下什么什么
[10:12] 好
[10:12] 919在那个时候诞生了
[10:14] 后来就缴出
[10:15] 喜叉双转的量力成绩单
[10:18] 那981A
[10:19] 像这类型的商品
[10:20] 在5月对等关税
[10:22] 刚结束的时候发行
[10:23] 大家说反弹而已啦
[10:25] 死猫跳
[10:25] 川普后面还有什么招
[10:27] 你又不知道
[10:27] 所以一开始
[10:28] 大家也不敢碰主动式
[10:30] 对
[10:30] 后面就超好
[10:32] 对
[10:32] 那后来等到幕报嘛
[10:34] 940之乱
[10:35] 连这个没有开户
[10:37] 都要在这个称贱营业厅的大厅哭嘛
[10:40] 说我没有开到户什么的
[10:41] 940之乱
[10:42] 还有就是403A
[10:44] 981的同门师兄弟也是幕报嘛
[10:47] 对那个时候开始就出现了震荡
[10:50] 对对真的是什么时候开始
[10:52] 真的差很多
[10:53] 所以我常常因为我们常常
[10:55] 大家都很喜欢说选股选股
[10:56] 其实我觉得说穿了
[10:57] 散户其实是选市才是最有用的
[11:00] 好真的
[11:01] 好但是还是要强调
[11:03] 事实上后面也花了很多的力气
[11:06] 跟大家讲
[11:06] 940虽然募报之后
[11:08] 缴出来的成行单
[11:09] 可能也不如预期
[11:11] 因为后来价值股
[11:11] 纷纷的修正
[11:12] 但是它并不是一个
[11:14] 错误的商品
[11:15] 我觉得这个东西要理清
[11:17] 是观念上面
[11:18] 高股息
[11:19] 它如果告诉你的是
[11:20] 奉行着价值股
[11:22] 会配很好的股息
[11:23] 而不是只着重在
[11:25] 单纯的成长性上的话
[11:26] 那它的责任就是
[11:27] 配一个好的股息给大家
[11:29] 所以它每年
[11:30] 如果有10%的报酬
[11:31] 其实已经非常好
[11:32] 我觉得它是
[11:33] 矫正了一下大家的观念
[11:35] 高股息在今年
[11:36] 后来也复活啊
[11:37] 因为今年
[11:38] 很多的价值股
[11:39] 也告诉你我有AI了
[11:40] 所以又重新再演一次
[11:42] 那同样的
[11:44] 主动市在这段时间
[11:45] 它也有修正
[11:46] 对不对
[11:46] 因为大家说
[11:47] 主动市不是万灵丹了
[11:48] 瑶石金母也不行了
[11:50] 从这个32叠到25块多
[11:52] 但又如何
[11:53] 其实收入蛮少的
[11:55] 对
[11:55] 第一是我觉得
[11:56] 它不像个股的
[11:57] 崩跌幅度那么高
[11:58] 然后第二是
[11:59] 它本来就高波动商品
[12:01] 当你想受到
[12:02] 它前面可以帮你赚
[12:03] 100%以上
[12:03] 后面叠个20 30
[12:05] 甚至40%
[12:06] 它都是一个正常的状态
[12:08] 对
[12:08] 它跟大盘比起来
[12:10] 以总体的绩效
[12:11] 从它发行到现在
[12:12] 它还是超越大盘
[12:13] 我觉得它并没有失职
[12:14] 所以大家真的要有一点
[12:16] 商品的概念
[12:17] 再来去区分说
[12:19] 到底它是如何
[12:20] 当然同样的商品
[12:22] 一定会有表现上的落差
[12:23] 可到目前为止
[12:24] 不管被动式
[12:25] 主动式
[12:26] 高息型
[12:27] 我觉得他们都没有失去
[12:28] 他们发行到目前为止的格调
[12:31] 和本质
[12:32] 这个是我必须帮他们说的
[12:33] 我觉得主动式
[12:34] 其实一开始出来
[12:35] 大家很多人在说
[12:36] 这是一个什么
[12:37] 动能型的ETF
[12:39] 不太好吧
[12:40] 可是我觉得
[12:40] 目前看到现在一年多了
[12:42] 其实我觉得
[12:43] 它的整体的表现
[12:45] 算是蛮稳定的
[12:46] 好 所以在
[12:47] 布鲁有听我前两天讲
[12:49] 因为我有提到一件事是说
[12:51] 礼拜一
[12:52] 我明明知道在季线下
[12:54] 相较于过去
[12:55] 它应该是个好买点
[12:56] 对不对
[12:57] 季线下
[12:58] 然后基本面没改变
[12:59] AI依旧强劲
[13:00] 应该是好买点可是在那天我还是整理了个股对然后我刚才有跟他分享他说但他听到我有买ETF我说对再度的跟听众朋友分享那样的心情在当时其实去杀低个股
[13:12] 当然不见得是一个对的事
[13:14] 可是你也必须面临到
[13:16] 很多的个股融资维持率
[13:17] 就在120
[13:18] 110
[13:19] 130
[13:19] 就代表有人要断头了
[13:21] 离拜一应该蛮多断头跑出来的
[13:23] 对
[13:23] 那我是全线股
[13:24] 我完全没有断头压力
[13:26] 可是我也会有一个压力是
[13:27] 可是有一些
[13:28] 如果是比较高Beta的股票
[13:30] 它可能被别人断头
[13:31] 我会有一点压力
[13:32] 对不对
[13:33] 就像我跟大家讲
[13:34] 例如说我把凯美
[13:35] 最后的被动元件
[13:36] 也给卖了
[13:37] 是因为我觉得国巨
[13:38] 真的看来还是要断头的
[13:39] 一副那种样子
[13:41] 后来也证实
[13:41] 应该是有断了
[13:42] 对
[13:43] 所以我就决定
[13:44] 把我手上会有压力的
[13:45] 股票卖掉
[13:46] 可是我又觉得
[13:47] 季线下很便宜
[13:48] 那这样不是违背
[13:50] 我的想法吗
[13:50] 如果只有卖东西
[13:51] 那我就还是相信
[13:53] ETF去买ETF
[13:54] 好
[13:54] 这件事情也凸显一件事情
[13:56] 我很清楚
[13:57] 即使我在股票市场这么久
[13:59] 我很清楚
[14:00] 哎 季线下我不应该再杀敌
[14:02] 可是我也很清楚
[14:03] 人性上面你就是有压力
[14:06] 然后我有跟布鲁讲
[14:07] 好 假设我1000块买国企
[14:09] 假设啦
[14:09] 一张用现股的话100万哦
[14:12] 那叠下来变600多万
[14:14] 你账上已经亏了三四十万
[14:16] 就算你不卖
[14:17] 你要再掏出60万
[14:19] 去再买一张现股做摊品
[14:21] 你说资金压力大不大
[14:23] 我想对一般人来说压力有点大
[14:25] 所以那个时候
[14:26] 如果你是买ETF的人
[14:27] 一张1万多 2万多
[14:28] 甚至贵一点三万多
[14:30] 还好啊
[14:30] 或是你买到00
[14:32] 像0052
[14:33] 六万块五万块
[14:34] 还好啊
[14:35] 对
[14:35] 所以加买一贴服
[14:37] 确实有效可以降低
[14:38] 这种在资金上的压力
[14:40] 个股真的就很取决在
[14:42] 大家的信念
[14:43] 然后大家的资金水位了
[14:45] 我很同意赵老讲的
[14:46] 因为我觉得市场好的时候
[14:48] 大家聊基本面多好多好
[14:50] 我觉得这个是完全可以理解
[14:51] 但是当你
[14:51] 比较大的波动震荡来临的时候
[14:54] 通常都回到我们要怎么做嘛
[14:56] 对吧
[14:57] 你这边发生一件事情
[14:58] 那你是有余裕去做加码
[15:01] 还是去重新进场
[15:02] 还是你其实已经满手套牢的股票
[15:04] 这是完全不一样的
[15:06] 所以像我自己的看法
[15:07] 我会觉得
[15:07] ETF当然是一个很好的操作的方式
[15:10] 不知道买什么就先选这个
[15:11] 反正这准不会错
[15:13] 那我觉得另一个可以看的
[15:15] 通常像礼拜一
[15:16] 我记得礼拜一的时候
[15:18] 我们早上开盘
[15:19] 研究员就拉出这个
[15:20] 全部这些
[15:21] 前阵子热门股的维持率
[15:24] 融资维持率
[15:25] 就大概很多都是
[15:26] 一百一十几到一百三
[15:28] 所以礼拜一的很多跌停
[15:30] 应该都是断头朝看出来的
[15:32] 那通常看到这种时候
[15:34] 我就觉得气氛是到一个
[15:36] 因为情绪是到一个极致的
[15:38] 那当然你在这边买会有压力
[15:39] 所以如果你要试着参与这种
[15:42] 短期有机会反弹的
[15:43] 你可以分批个至少
[15:45] 例如说两三趟三五趟
[15:47] 看你自己可以怎么去承受
[15:48] 我觉得就比较是一个
[15:50] 比较明确可以做的方式
[15:52] 好
[15:53] 就是每一个人的状况不一样
[15:55] 我刚刚也在跟布鲁讨论说
[15:57] 好多人传讯息来
[15:58] 都希望有标准答案
[16:00] 就是例如说这张股票
[16:02] 到底什么样的状况
[16:03] 你应该买应该卖
[16:04] 很不幸的
[16:06] 每一个人的状况不一样
[16:08] 资金所谓不一样
[16:09] 你什么时候买的不一样
[16:10] 你的个性如何
[16:11] 你是不是能够跌20%
[16:13] 依旧是笑咪咪
[16:14] 还是说涨20%
[16:15] 你觉得还能继续抱
[16:16] 其实说实话
[16:17] 还有就是你对他的了解
[16:18] 你那时候为什么会买
[16:20] 只是听邻居跟你讲
[16:21] 还是你已经看完
[16:22] 所有的产业研究
[16:23] 大家都小瞧这件事情
[16:24] 因为每个人的不一样程度
[16:26] 真的很夸张
[16:27] 对
[16:27] 所以当这件事情发生的时候
[16:29] 有时候有的问题
[16:30] 我是没有办法给标准答案的
[16:31] 可是当你自己设立一个标准的时候
[16:34] 你千万不要在事情发生的时候
[16:36] 你自己没有自己处理的答案
[16:38] 因为很多时候大家会喜欢问
[16:39] 你会怎么想
[16:40] 我就跟你讲
[16:41] 我会怎么做怎么想
[16:43] 可是你不一定做得到
[16:44] 没错
[16:45] 跟你没关系
[16:46] 对
[16:46] 好
[16:48] 怎么讲那么多
[16:49] 没有回答到我的问题
[16:50] 哪一个问题
[16:51] 就是外资
[16:52] 在台积电法说会后
[16:55] 其实我有看到大家
[16:56] 还是蛮多家调升了
[16:58] 台积电的目标价
[16:59] 但是市场就那么有趣
[17:01] 如果气氛好
[17:02] 哇 一调升不得了了
[17:03] 可能涨7%
[17:04] 可是呢 气氛不好
[17:06] 调升了还是跌7%
[17:07] 但是我看到大部分是调升
[17:09] 大部分调升
[17:09] 我有大概整理一下目标价
[17:11] 现在都落在
[17:12] 应该都3500到4000这个range
[17:14] 最高应该要给到4200之类的
[17:18] 那调升归调升嘛
[17:20] 那股价跌归跌嘛
[17:21] 但我觉得常常就是市场在跌之前
[17:24] 它不是那种涨到高点突然翻转的
[17:26] 都是六月中就开始不好做不好做
[17:29] 然后市场一直涨不动以后
[17:31] 台进一个法说
[17:32] 有点像是加速赶底这个修正
[17:34] 但我目前看到的目标价
[17:36] 大部分大家都还是给的蛮高的
[17:40] 那我所谓的高
[17:40] 我不是说感觉上给多高
[17:42] 例如说像今天有一篇
[17:44] 微影给到八千多
[17:46] 那我会去看的是
[17:47] 大家给的评价都落在
[17:49] 乃一年的
[17:50] 预估了几倍
[17:51] 那其实
[17:52] 光是我们看最近
[17:54] 其实这波修正以来
[17:55] 最强的ABF
[17:56] ABF最近的一些目标价
[17:59] 其实都是用
[17:59] 2028年的EPS在给
[18:01] 2028
[18:02] 你要说很远吗
[18:04] 是真的蛮远的
[18:05] 因为现在2026
[18:06] 对
[18:07] 但是这就是
[18:08] 我常会说
[18:09] 目标价根本就是艺术
[18:10] 因为现在是
[18:11] 2026年7月
[18:13] 当你往年底靠近的时候
[18:15] 28年其实就没这么远了
[18:17] 所以我们可能会觉得说
[18:18] 你2028年给到现在
[18:20] 那你要怎么再继续上修
[18:21] 你有两个修法
[18:22] 第一个是
[18:23] 本益比它其实没有给到很高
[18:25] 例如说像现在给到最高的南电
[18:27] 是2028年的21二倍吧
[18:29] 然后新兴几次说
[18:30] 他们是用
[18:31] 2028年的
[18:32] 16倍18倍之类的
[18:35] 所以你要说真的很夸张吗
[18:36] 我觉得没有到这么夸张
[18:38] 因为代表他们上修的是
[18:40] ABF整个产业
[18:42] 这三年来整体的
[18:43] 整个市
[18:45] 有个叫Total Adjustable Market
[18:47] 整体市场的成长
[18:48] 跟ABF载板会有的缺口
[18:51] 所以他们上修的是
[18:52] 整体的获利比较多
[18:54] 所以我整个看起来
[18:56] 我是觉得ABF给的
[18:57] 这个评价没有到很夸张
[18:59] 所以这就可以证明说
[19:01] 为什么这一次跌下来
[19:02] 大家比较愿意承接的
[19:04] 最明显的是ABF
[19:05] 那ABF里面最明显的是南电
[19:08] 因为南电
[19:09] 最近这个高盛的报告
[19:11] 他们给最高是因为
[19:12] 南电的这个ABF的价格
[19:15] 比较是所谓的SPA price
[19:16] 就他们的价格是跟着市场在浮动的
[19:19] 那例如说新兴
[19:19] 它可能很多是榜长约什么的
[19:21] 所以最容易浮动的价格
[19:24] 在接下来会涨价市场里面
[19:26] 它可能最可以受惠到
[19:27] 这个涨价的趋势
[19:28] 对
[19:29] 现在说2028
[19:30] 听起来也不是很高
[19:32] 气氛不好的时候
[19:33] 就不是这么想
[19:34] 不过看出来
[19:36] 这波修正ABF再办
[19:37] 还是厉害的
[19:38] 对南电对不对
[19:39] 虽然前两天
[19:40] 这个在跌的时候
[19:41] 有吃了两根跌停板
[19:42] 但随即
[19:43] 现在就快要把失土全部收复了
[19:46] 哇 今天宅版很凶
[19:47] 今天宅版是全面涨停的一个态势
[19:50] 对
[19:51] 而且不如说啊
[19:52] 他虽然久久来一次
[19:53] 他上次来啊
[19:55] 竟然也是在聊宅版
[19:57] 而且那时候星星才目标价是500
[19:59] 是不是
[20:00] 对
[20:00] 诶 还不知道多久
[20:02] 现在星星就是
[20:04] 目标价已经调到1000以上了
[20:05] 对 现在1000
[20:07] 因为我今天还特别整理了一个
[20:09] 就是刚好
[20:10] 我觉得蛮有意思
[20:11] 因为我是一阵子来一次
[20:12] 是
[20:13] 所以我每次约好要来的时候
[20:15] 我不知道当天的盘会长怎么样
[20:16] 有可能是崩跌的
[20:17] 因为我们早就约好了
[20:18] 有可能是大涨的
[20:19] 有可能是不动的
[20:20] 那我其实最不喜欢就是不动的
[20:22] 那这种有波动的盘
[20:23] 我觉得反而就蛮有意思的
[20:25] 因为我每次来之前
[20:26] 我会去看我上一次来的那个简报
[20:28] 到底讲什么
[20:29] 上一次来竟然是
[20:30] 赵华德为什么国际目标
[20:31] 叫他踩600那时候
[20:32] 因为你看起来很严谨
[20:34] 但是你是双子座不是吗
[20:36] 我是双子座
[20:37] 这句话说完之后
[20:39] 因为川普的关系
[20:40] 变得一句很吊唾的
[20:41] 还有那个习近平
[20:42] 对因为上次来
[20:44] 他讲的是宅版
[20:46] 而且现在目标价
[20:47] 大家是纷纷的在提高
[20:49] 但是我这边有个小
[20:50] 因为我们等一下会讲被动
[20:51] 也会讲联电
[20:52] 因为成熟制成
[20:53] 在这个
[20:54] 台积电开法术会之前
[20:55] 其实外置也是调高平等的
[20:57] 但是我们先把ABF
[20:58] 这一part讲完
[20:59] 对因为ABF确实就是
[21:02] 以目前的获利成绩来看
[21:04] 本益比高到爆炸
[21:05] 你说2028合理没有错
[21:07] 但是2028谁知道
[21:08] Who knows
[21:09] 现在如果用今年
[21:10] 看超多都搞爆炸
[21:12] 今年是高到一个爆炸
[21:14] 要不是大家的持股成本
[21:15] 有比较低的话
[21:16] 真的后面你追的人
[21:17] 会很难过
[21:18] 就是会很害怕
[21:20] 因为你有看到营收成长
[21:22] 没有错
[21:22] 因为去年基期很烂
[21:23] 去年有人还赔钱
[21:24] 所以基期低
[21:26] 所以今年的年增率高
[21:27] 都是合理
[21:28] 但年增率再高
[21:29] 对应起现在的股价
[21:31] 都还是搞不好
[21:32] 党党要上千的那种态势
[21:34] 对
[21:35] 真的叫党党要上千
[21:36] 没跟大家开玩笑的那种气势
[21:38] 真的连那个真鼎
[21:40] 红海说要处分真鼎
[21:42] 只有昨天反弹少一点
[21:43] 今天照样给你拉涨停
[21:45] 这种气势真的超级夸张
[21:47] 我们要如何保持这个信念
[21:50] 其实我觉得它要搭配形态
[21:53] 因为我不去讲细光子
[21:55] 其实那时候讲细光子
[21:57] 也是看到2028年
[21:58] 谁敢讲今年细光子就能大爆发
[22:01] 没人吧
[22:01] 所有的外资报告讲细光子
[22:03] 也是看2028
[22:04] 可是说倒就倒
[22:05] 真的就倒
[22:06] 是腰斩甚至打四折三折的都有
[22:08] 金流不在了
[22:09] 就没有用了
[22:10] 金流形態壞掉了就沒用
[22:12] 可是ABF看來就是金流形態都沒壞掉
[22:15] 你剛好講到形態
[22:16] 因為我今天特別整理了一個
[22:18] 因為我平常喜歡看的是成交金額的排行榜
[22:20] 就是最大的錢都塞在哪邊
[22:22] 基本上我上節目都會提到
[22:24] 你一天裡面有基本上市場
[22:27] 全市場一半的錢就塞在前二三十名了
[22:30] 所以看前二三十名有誰這一次修正
[22:34] 頂多就是打到月線就攤起來了
