[00:00] 欢迎收听赵华宇股货载第1133集
[03:42] 很严重还真奇妙
[03:44] 市场是有反应的
[03:45] 我们先来请浣远哥讲一下
[03:48] 我刚刚讲到上礼拜一个量缩的情况
[03:50] 显示进入到7月之后
[03:52] 大家那个观望的心情跑出来了
[03:54] 到今天还是一个这样的情形
[03:56] 你觉得原因在
[03:57] 什么东西的疑虑没有被拿掉吗
[04:00] 我觉得当然主要在于说
[04:01] 国际的主流股都在走弱
[04:03] 其实最简单的观察
[04:05] 就是你看美股的废办指数
[04:07] 废办指数目前是跌破月线的关卡
[04:09] 甚至快要回撤到季线的关卡
[04:11] 所以当废办指数转弱的时候
[04:13] 又搭配什么
[04:14] 外资在六月份卖超台股是六千多亿
[04:18] 起步空单水位来到八万口以上
[04:20] 所以筹码面不好
[04:21] 國際股市的一個主流族群在轉落
[04:24] 所以當然大家就會覺得說
[04:26] 這個盤好像要買股票
[04:28] 又有點這個怕怕的
[04:29] 你說台股有真的落到哪裡嗎
[04:31] 看起來也沒有
[04:32] 因為剛剛其實招牌提到了
[04:33] 你看台積電那麼強
[04:35] 台積電現在其實是每天慢慢的亡店高
[04:38] 那所有軍艦都踩在腳底下
[04:40] 所以代表說台股最少
[04:42] 還有台積電的力多撐在那邊
[04:44] 讓指數看起來
[04:45] 雖然大家半信半疑
[04:47] 但又覺得說這行情也不能放掉
[04:49] 那变成说盘面上资金跟主流不断在轮动当中
[04:53] 所以我们会看到以今天的状况来看
[04:56] 我觉得让大家冲击最大的
[04:58] 还是在于说这些所谓的台股的涨价概念股
[05:01] 是轮流遇到所谓鬼故事的一个袭击
[05:04] 所以其实刚刚提到
[05:06] 从记忆体开始到之前
[05:08] 这个Semian S出报告
[05:09] 说这个光通讯要递言
[05:12] 800BTC要等到之后才会正式的一个量产
[05:16] 所以你看我们台湾相关的台大电光保科
[05:18] 到矽光紫竹型全面性的拉回
[05:21] 那上个礼拜
[05:22] 我这礼拜还跟大家讲
[05:23] 康宁的玻璃桥节的一个相关题材
[05:27] 又让公众再叠一次
[05:28] 然后到上个礼拜
[05:29] 你看到所谓的Meta
[05:30] 还有所谓的苹果
[05:32] 不管是所谓的
[05:34] 未来可能资本支出要递延
[05:36] 或说苹果喊到
[05:37] 记忆的报价太贵
[05:38] 你就可以看到
[05:39] 台股相关的涨价概念股
[05:41] 几乎全部都被鬼故事洗礼过一波
[05:44] 所以让大家就觉得说
[05:46] 这盘面上到底有没有那种
[05:48] 强势一直涨的股票
[05:49] 那目前来看
[05:50] 当然还有公率元件
[05:51] 那公率元件的问题
[05:53] 当然在于说
[05:53] 第一个
[05:54] 他们现在变成
[05:55] 很多股票被处置
[05:57] 是
[05:57] 所以筹码集中在
[05:59] 少数的大户手上
[06:01] 所以你发现到这些股票
[06:02] 要不就开涨停
[06:03] 不然你就不敢追
[06:04] 那变成说
[06:05] 它变成资金的一个避风港
[06:07] 那另外也可以看到
[06:08] 今天类似所谓的IC风色族群
[06:10] 也传出来涨价的题材
[06:12] 所以你看到今天
[06:13] 什么晶圆店
[06:14] 南茂福茂科
[06:15] 然后相关的风色股
[06:17] 其实表现都还不错
[06:18] 那除了这两个电子股以外
[06:21] 你会发现到
[06:21] 资金就转进到一些
[06:22] 传产族群
[06:23] 所以军工股啊
[06:25] 生技股啊
[06:26] 甚至说最近的
[06:27] 这个化工的股票
[06:29] 然后纺织的股票
[06:31] 也开始转强
[06:31] 所以整体上你会发现到
[06:33] 台股只有一兆多的成交量
[06:35] 但盘面上开始
[06:36] 传产股慢慢崛起了
[06:38] 你就可以感觉到
[06:39] 这个所谓的一个
[06:40] 主流族群
[06:41] 有越来越难做的趋势
[06:43] 那个涨势的延续力道
[06:45] 也开始慢慢在放缓
[06:46] 所以为什么大家会觉得说
[06:48] 这盘感觉到了这个
[06:50] 虽然说离历史新高非常接近
[06:52] 但怎么操作难度变得这么高
[06:54] 甚至你看每天
[06:55] 我们其实在六月份的时候
[06:56] 感觉得到盘面上
[06:58] 其实很清楚
[06:59] 就是盘面的涨跌加速
[07:02] 就可以看到当时的一个盘式的结构
[07:04] 六月份很明显主流在电子股
[07:06] 所以虽然说
[07:07] 可能什么上涨加速少
[07:09] 然后下跌加速多
[07:10] 但上涨加速
[07:11] 集中在那些被动元件
[07:13] 主流族群一直涨
[07:14] 但来到七月份
[07:15] 大家可以发现到
[07:16] 其實盤面上上漲加速比下降加速多很多
[07:19] 但是上漲加速的股票都集中在傳糖股
[07:22] 所以大家就沒有感覺
[07:23] 好像我手上的主流股票怎麼都一直在跌
[07:27] 那我覺得都是跟剛剛提到的
[07:29] 我們看到第一個美股跟外資的籌碼
[07:32] 跟盤面上這些所謂的漲價概念股
[07:34] 都面臨到一些利空的消息的影響有關
[07:37] 那大家也會覺得說
[07:38] 那為什麼這些漲價概念股
[07:40] 遇到鬼故事就跌比較重
[07:41] 其實很簡單嘛
[07:42] 因為漲多就是最大的鬼故事
[07:44] 所以当你遇到这个波段高或历史高
[07:47] 又遇到一个消息面的冲击的时候
[07:49] 很多人会想说我先跑再说
[07:52] 所以刚刚提到了Semi-Alice
[07:53] 对今天台股我觉得冲击是很大
[07:56] 甚至连今天的日本股市跟韩国股市
[07:58] 都受到这个报告的一个影响
[08:00] 那简单跟大家描述这个报告的内容
[08:02] 简单来讲就是说
[08:04] Semi-Alice在这个
[08:05] 礼拜五美股国庆日的时候出了报告
[08:08] 它连续贴了好几篇的贴文
[08:11] 都提到说
[08:11] 这个辉达在今年的
[08:13] 三月份的GT大会
[08:15] 他有推出一个新的机架
[08:17] 机架的一个解决方案
[08:20] 叫CABLE
[08:20] 那CABLE简单去讲
[08:22] 就是我们现在看到
[08:22] 那个相关伺服器机柜
[08:24] 是一层一层的堆叠
[08:26] 很多的这个相关的CPU GPU
[08:29] 机体做成一层的伺服器
[08:31] 然后做一个滑轨
[08:32] 推进去拉出来
[08:33] 然后CABLE机构
[08:34] 是把这个伺服器
[08:35] 从横的机柜
[08:36] 从那个相关的晶片组合
[08:39] 从横的转为直的
[08:41] 直立式的
[08:42] 跟一个书一样
[08:42] 一本一本这样放进去
[08:44] 那这个机柜要能够运转的关键
[08:47] 就在于
[08:47] 它那个所谓的书架式的排放
[08:50] 中间有一个PCB的中板
[08:52] 这中板负责连接
[08:54] 所有的CPU的晶片的扩展
[08:56] 那现在问题在于说
[08:58] 这个中板它运用了什么
[09:00] M9的材料
[09:01] Q部
[09:02] 跟72层的PCB的堆叠
[09:05] 简单去讲就是
[09:06] 现在所有难度最高
[09:08] 就是这个PCB中板
[09:09] 那这个Semius提到说
[09:11] 这个中板目前看起来
[09:12] 良率非常的低
[09:14] 低到辉达可能要放弃
[09:16] 这个解决方案
[09:17] 所以未来的Cable的机架
[09:19] 就没有办法正式的量产
[09:21] 跟运行
[09:22] 那这消息一出来之后
[09:23] 你看到台光电就开高走低
[09:25] 直接下到电影板
[09:26] 台耀也出现重挫
[09:28] 但我们讲同博机板三雄
[09:30] 为什么连帽看起来没事
[09:31] 为什么他没事
[09:33] 因为他跟这些规格
[09:33] 比较没有关系
[09:34] 对他不是M9
[09:35] 他做到所谓的M6 M7
[09:38] 所以M6 M7反而会有受惠
[09:40] 因为你不推最高的一个规格
[09:42] 所以代表你旧的
[09:44] 所谓沿用的一些机制
[09:45] 或者说技术
[09:46] 它反而有放量的空间
[09:48] 所以目前这份报告
[09:49] 对于反而那些
[09:51] 拥有最先进技术的厂商
[09:54] 它造成冲击是大的
[09:55] 但你现在
[09:56] 已经本来已经打到
[09:57] 汇达供应链
[09:58] 你本来没有吃到
[10:00] 很高的这种技术红利的公司
[10:01] 反而受惠程度高
[10:02] 因为他们就是能够分到
[10:04] 更多的一些
[10:05] 所谓订单的一个来源
[10:06] 所以你看到今天盘面上
[10:08] 像伺服器当中
[10:09] 我们讲PCB板
[10:10] 跌最多是谁
[10:11] 金像电
[10:12] 因为金像电的技术能力最好
[10:14] 但是其他的什么金城科
[10:16] 汉语博
[10:17] 相对来看
[10:18] 影响就没有那么大
[10:20] 所以我跟大家讲
[10:21] 就是说目前你看到盘面上
[10:23] 如果因为这些利空消息
[10:25] 会跌的股票
[10:26] 也就代表说他们短暂涨太多了
[10:28] 那再加上什么
[10:28] 本益比偏高
[10:30] 那刚刚提到了
[10:31] 除了这个以外
[10:32] 今天冲击还有所谓的载板族群
[10:34] 那载板我觉得也是一样
[10:36] 因为你想看
[10:36] 72成的堆叠当中
[10:38] 也会运用到很多载板的一个技术
[10:41] 所以载板我觉得今天也受到这样一个影响
[10:44] 所以我们最简单去看
[10:45] 你看今天日本股市的EBITDA重挫
[10:48] 然后连带到连被动元件也受到影响
[10:51] 因为我觉得整个机架改变
[10:53] 大家就想到说
[10:54] 那我们未来需不需要这么多的一个
[10:58] 高功率的保护元件
[10:59] 所以我觉得这个是一个连带的效应
[11:01] 那你说你同样情况
[11:03] 那为什么今天的功率元件没事
[11:05] 我覺得其實簡單去講就是籌碼的問題
[11:07] 是
[11:08] 所以我覺得回歸到以盤面上的狀況來看
[11:10] 最近我覺得台股的難度變高了
[11:12] 因為漲價概念股漲勢開始不延續
[11:15] 所以我覺得這時候就要回歸到
[11:17] 那可能就要以業績來取勝了
[11:20] 好
[11:20] 其實公立園建金盤中有幾檔是有打開但是有鎖回去打開的時候其實也代表市場的信心在那瞬间还是有点松动但是身为资金的避风港因为今天有非常多的热门族群出事
[11:33] 被动元件也是
[11:34] 今天这个信仓店 金山店等等
[11:37] 打到跌停板和生堂
[11:38] 这些热门的股票打到跌停板的时候
[11:41] 最后他们还是选择了
[11:43] 在那次目前控盘比较明显的
[11:45] 所谓的功率元件
[11:46] 真的叫做那次控盘比较明显
[11:49] 那是不是能够延续
[11:51] 这个大家谁也说不准
[11:52] 我们就是且战且走
[11:54] 因为它现在是用一个高角度
[11:55] 开始往上攻
[11:56] 我说功率原件的部分
[11:57] 随时如果说有集体的下挫
[12:00] 那也不是什么奇怪的事情
[12:01] 不过严格来说
[12:03] 就大家的长相还是有点差别
[12:05] 就是之前我们会讲说
[12:07] 像载板
[12:07] 同伯基板在涨的时候
[12:09] 在创新高的时候
[12:09] 你去追很容易就被烫到
[12:11] 但是回来到底能不能接
[12:13] 可能大家就觉得很有压力
[12:15] 因为本益比拉得非常高
[12:17] 我个人觉得
[12:18] 同伯基板的基本面
[12:20] 还是在目前比较跟得上
[12:22] 对 载板是有很强大的年增率
[12:25] 可是以绝对的数字来说
[12:26] 载板确实
[12:27] 每一笔高到有点无法评估
[12:29] 这就是身为手上
[12:31] 一个有锦朔的人
[12:32] 一下从900多
[12:34] 我那时候想说不会吧
[12:35] 我的大锦朔
[12:36] 要从两位数报到四位数了吗
[12:38] 结果后来就一下杀回700多
[12:40] 如果大家是在
[12:41] 七八百块才去布局
[12:42] 甚至追在900以上
[12:43] 压力就会很大
[12:44] 所以对汉伟来说
[12:46] 因为你题材猎人
[12:47] 现在这些题材
[12:49] 你觉得到底是不是致命的问题
[12:52] 因为这个semi-analysis
[12:53] 真的是蛮猛的
[12:54] 我觉得它的东西会有一种
[12:56] 我觉得跟之前大家看到的小作文
[12:59] 会有一起同工之妙
[13:00] 只是我们的很多小作文
[13:01] 是希望把它炒上去
[13:02] 就它会写一半真一半假
[13:04] 就例如说
[13:05] 我相信在未来的机会
[13:07] 里面所用到
[13:09] 不管是什么中介层或M9
[13:11] 甚至未来有什么M10好了
[13:12] 那个良率现在肯定不会高
[13:14] 就它写的事情
[13:16] 一定这个东西是真的
[13:17] 就像我们在讲说
[13:19] 未来缺口会放大
[13:20] 未来要用CPU
[13:21] 那现在的良率不好
[13:23] 这个确实
[13:24] 对不对
[13:24] 一定是真的
[13:25] 可是他如何去
[13:27] 干扰到这个市场
[13:28] 例如他的结论是
[13:30] 那可能
[13:31] 这一个台北机柜
[13:32] 就要到2028
[13:33] 可是是不是真的
[13:34] 这个就不知道
[13:35] 因为他本来可能是
[13:37] 2027
[13:38] 现在可能2028
[13:39] 这个就随便讲了
[13:40] 那良率低
[13:41] 一定是真的
[13:42] 就是现阶段
[13:42] 所以他把真假的事情
[13:44] 混在一起
[13:45] 你也不能说
[13:46] 他不会实现
[13:47] 搞不好真的就
[13:48] 延到2028
[13:49] Who knows
[13:50] 但也可能有克服掉
[13:52] 就像我们之前
[13:53] 也常遇到MV
[13:53] 所有的机种
[13:54] 不管你是机贵
[13:56] 什么东西的
[13:57] 它都会有
[13:58] 一开始良率不够好
[14:00] 然后开始有点
[14:01] delay的状况
[14:02] 难免的
[14:04] 这中间一定会来来回回
[14:05] 可是后来等到它量产之后
[14:06] 相关的理论业厂商
[14:07] 又歌舞升平
[14:08] 又通通创新高
[14:09] 所以我们要如何判断
[14:10] 这样的半真半假的
[14:13] 推测出来的时候
[14:14] 什么东西是你在下跌
[14:16] 例如说到月线了
[14:18] 甚至说快要到基线可以建
[14:20] 什么东西是暂时先不要碰
[14:22] 我觉得这有点难回答
[14:24] 也就是说
[14:25] 所以才问你
[14:26] 其实我觉得重点在于说
[14:28] 他所有报告的一个癥结点
[14:30] 就在于说
[14:31] 你的时间点的一个先后顺序
[14:34] 是
[14:34] 也就刚刚提到
[14:35] 你说这个Cable的机柜
[14:36] 2028年才量产
[14:38] 所以你现在2027年
[14:39] 去反映到明年有点太早
[14:41] 股价修正拉回
[14:42] 但这个量产会不会继续下去
[14:43] 也会
[14:44] 所以我觉得就变成说
[14:45] 他可能会造成股价
[14:47] 会修正它的一个估值
[14:48] 因为有点提早反应了嘛
[14:50] 那但是他并没有提到说
[14:52] 未来这个需求会不见啊
[14:54] 也没有跟你讲说
[14:54] 辉达改了这个相关的
[14:56] 短暂良率不加
[14:57] 不采用之后
[14:58] 未来就不用了
[14:59] 所以他我觉得会造成
[15:01] 股价的波动
[15:02] 那我觉得这一家
[15:03] 所谓Semi-Alerts的机构的
[15:05] 这个争议点非常的多啦
[15:07] 那为什么他的报告
[15:08] 大家重视
[15:09] 是因为他过去在
[15:11] AI这个硬体时代来临的时候
[15:13] 因为他掌握到
[15:14] 很多产业的消息
[15:15] 所以大家很重视
[15:16] 他讲的研究报告
[15:17] 那在2023年到2025年
[15:19] 那段时间
[15:20] 他其实报告都可以
[15:21] 讲到一些关键的
[15:23] 零组件的一个成长
[15:24] 所以大家花了很多钱
[15:26] 去订阅他相关的一个
[15:27] 专业研究报告
[15:29] 那现在的问题再来说
[15:31] 大家觉得他有点是
[15:32] 球员兼裁判的感觉
[15:34] 就是说他会出很多的报告
[15:36] 去讲出一些是是而非
[15:38] 就是他产业内容是对的
[15:40] 但他下的结论
[15:41] 会让那个产业看起来
[15:42] 短暂受到冲击
[15:43] 但这个冲击之后
[15:45] 大家发现到
[15:45] 后面他可能就跟
[15:47] 他里面点别的公司
[15:48] 收了顾问费之后
[15:50] 他又出了一个相对
[15:52] 可能是中性的报告
[15:53] 甚至转为看多的报告
[15:54] 让那家公司的股价往上涨
[15:56] 所以目前的话
[15:57] 就觉得说这份报告
[15:59] 就这一个研究机构
[16:00] 它的中立程度不太够
[16:02] 就一边出看坏报告
[16:04] 一边收你的顾问费
[16:05] 收了你的费用之后
[16:06] 就写了一个看多的报告
[16:08] 就有点类似在
[16:09] 收保护费的一个感觉
[16:11] 所以我会觉得说
[16:12] 如果你是因为这个报告
[16:14] 而去卖你手中的持股的话
[16:16] 我觉得你可能要看一下
[16:17] 就是第一个我们讲怎么检视
[16:20] 你看他的营收基本面
[16:22] 有没有因为这个报告消息出来之后
[16:25] 出现明显的下滑
[16:26] 如果是有的话
[16:27] 代表他的报告是有所本的
[16:28] 因为你不可能够说
[16:29] 这个台股涨到这个历史新高
[16:32] 所有报告都是鬼故事
[16:34] 我认为一定有真有假
[16:35] 那有真跟有假的检视的方法
[16:38] 就是你要去看营收的一个表现
[16:39] 营收有些时候太慢
[16:41] 现在还好
[16:42] 因为现在马上就可以检视六月营收
[16:43] 但你如果是这个
[16:45] 七月中旬之后
[16:47] 你要等到8月才能够检视营收
[16:48] 就有点太晚
[16:49] 所以第二个检视点
[16:50] 就是看所谓的法人的一个操作
[16:53] 没错
[16:53] 也就是说你看到
[16:54] 最近很多那种落难的股票
[16:56] 为什么跌得比较重
[16:57] 是因为看空报告出来之后
[16:59] 法人是在卖房
[17:00] 所以就变成说筹码转落
[17:03] 然后融资一直在增加
[17:04] 就会让他股价反弹不上去
[17:05] 所以我觉得第二个检视就是说
[17:07] 比方说今天的Semius
[17:08] 报告出来之后
[17:09] 你要去看的是
[17:10] 相关的PCB同步基板
[17:12] 相关的载板族群
[17:14] 有没有看到外资投信
[17:16] 自行商同卖
[17:17] 同卖一天没有事情
[17:18] 但同卖三天以上的话
[17:20] 就代表这报告
[17:21] 可能就不是一个空穴来风
[17:23] 真的有影响到
[17:24] 相关的研究机构的评价
[17:26] 那这当然就会造成股价的跌势
[17:29] 会有比较明显凶狠的状况
[17:31] 那第三个检视在哪
[17:33] 就是说这些东西出来之后
[17:34] 因为它是国外的研究机构
[17:36] 所以如果您有海外的
[17:38] 相关的指标性公司
[17:39] 可以参考的话
[17:40] 你就可以当做一个检视点
[17:42] 因为一般来讲
[17:43] 我们讲说这种国外的研究报告
[17:45] 那华尔街有这么多的一个
[17:47] 相关的这个投顾公司
[17:49] 他们也会针对这报告里面
[17:51] 去研究他的一个供应链
[17:53] 有没有这样一个消息
[17:54] 所以理论上来讲
[17:55] 我觉得国外的一些大厂
[17:57] 他们股价反应会比台湾更加的直接
[17:59] 所以如果说你讲到
[18:00] 刚刚讲的这个台光电大跌了
[18:03] 抖三没事
[18:03] 那代表这看起来就不是一个大的问题了
[18:06] 所以可以透过这三个方法去一一检视说
[18:09] 你当你手上的涨价概念股
[18:11] 或说强势的涨多个股
[18:13] 遇到这种国外的研究机构的
[18:16] 看空报告的时候
[18:17] 怎么样去看你手上个股的
[18:18] 一个安全的状况
[18:20] 因为刚刚我有提到说
[18:22] 为什么我觉得CCR
[18:22] 相较之下
[18:24] 因为营收台光电结出来
[18:25] 创新高
[18:26] 创新高那些股价创新高
[18:27] 今天就被狙击了
[18:29] 不是说大家现在就立刻
[18:31] 看到台光电跌停就跑去介入
[18:33] 我觉得倒也不必
[18:34] 可是像我自己会去看
[18:36] 就你刚刚讲的二哥跟三哥
[18:37] 三哥联贸是因为
[18:38] 他比较不受到这些高规格
[18:40] 两绿的问题
[18:42] 这很好玩
[18:44] 这跟金居跟荣科一样
[18:46] 对
[18:47] 因为荣科
[18:48] 就是去年大家一直在说
[18:49] 这个荣科可能要通过
[18:51] 这个高阶同博的一些认证
[18:53] 事实上
[18:53] 他一直没有拿到认证
[18:55] 到现在我们录音的同时
[18:57] 应该还没有
[18:58] 等一下再去确认一下
[18:59] 可是他拿到一个什么东西
[19:00] 他拿到金居不做的东西
[19:02] 但是我金居有公告
[19:03] 去年底的时候
[19:04] 他有两三项同博标准品
[19:06] 他不要做了
[19:07] 因为他把产能移到
[19:08] 比较高阶的同博
[19:09] 然后这个东西就给荣科拿去做
[19:11] 那可是一开始想说
[19:13] 这东西没利润啊
[19:14] 可是呢
[19:15] 因为高阶同博的需求
[19:17] AI的发展
[19:17] 科技的发展
[19:18] 所以连这些标准品也涨价了
[19:20] 标准品涨价了
[19:22] 荣科就提早转亏回赢了
[19:24] 这个故事在我们的联贸身上
[19:27] 可能也会有类似的效应
[19:29] 当然联贸不是从亏损赚赢
[19:31] 是有赚钱的公司
[19:32] 可是它的获利
[19:33] 可能就会比预期来得好
[19:35] 那台药二哥夹在中间
[19:37] 其实台药中间
[19:38] 也有被人家传说
[19:39] 什么掉单啦
[19:39] 抢单的
[19:40] 它的修正幅度
[19:42] 我觉得是比较大一点的
[19:43] 比台光店大的
[19:44] 所以我今天有在看的是台药
[19:46] 那我会狭带的是
[19:47] 看六月营收
[19:49] 如果六月营收
[19:50] 还是一个创新高的态势
[19:51] 我觉得回档减这些
[19:52] 我会觉得心比较安
[19:53] 那载板
[19:54] 我觉得载板是一个
[19:55] 非常靠势头的
[19:56] 就跟今天的功率一样
[19:58] 其实功率并不是
[19:59] 每一家都有营收的成长
[20:01] 有很多营收就微幅成长而已
[20:04] 当然很多人说在后面
[20:05] 现在市场上不是说
[20:06] 已经半年都买不到
[20:07] 就未来半年都抢不到公立原件吗
[20:10] 有没有这样我真的不晓得
[20:11] 坦白讲
[20:12] 这可能要再去跟公立原件的厂商
[20:14] 再确认一下
[20:15] 这个东西有点中说小风云
[20:17] 有缺有涨价我觉得有
[20:19] 还没有反映在现在的营收上
[20:21] 我也承认
[20:22] 但是这个事情就是
[20:24] 你还没有看到成绩
[20:25] 那载板现在是有很大年增率
[20:28] 没有错
[20:28] 可是载板因为去年的成绩太烂
[20:30] 所以那个年增率的幅度
[20:31] 看起来虽然很亮眼
[20:32] 可是股价的波动就会非常大
[20:34] 我觉得载板不妨去守一个
[20:36] 例如说技术线形上的关键支撑
[20:38] 我觉得这个可能比较实在
[20:40] 到那个关键支撑的时候
[20:41] 去买一部分的载板
[20:43] 因为真的缺
[20:44] 我必须讲
[20:45] 载板就打听得到
[20:47] 真的缺
[20:48] 真的在涨价
[20:48] 我觉得到了关键支撑
[20:50] 去做一些减便宜
[20:52] 是可以试试看的
[20:53] 可是停损要设好
[20:54] 因为它这样一震荡
[20:56] 你看就忽然一层两层
[20:58] 就一下就蒸发了
[20:59] 我觉得如果成本比较高的朋友
[21:01] 是真的会抱不住
[21:02] 那被动元件
[21:04] 我看是筹码比较松动
[21:05] 国巨已经土羊开始卖了好几天了
[21:08] 虽然他今天的股价是相对比较撑
[21:10] 但是我觉得因为已经涨了好几倍了
[21:13] 所以在这个高档
[21:14] 我觉得他震荡也会变凶
[21:15] 那国巨的话
[21:16] 我们一直在看他是不是守1000块大关
[21:18] 因为他很少回到月线
[21:20] 他的月线大概就在980几块钱这边
[21:23] 今天一度就触到月线有守住
[21:26] 如果他有守在月线上
[21:27] 也许是一次又不错的进场点
[21:30] 因为过去大概三个月几乎都没有碰到月线
[21:33] 那大哥要先稳住
[21:34] 大哥稳住
[21:36] 像什么合唱新唱店
[21:37] 金山店才有机会
[21:38] 再往上攻
[21:39] 我觉得这个是
[21:40] 排面上一些观察的
[21:41] 那至于封测
[21:42] 我自己是比较有信心
[21:43] 因为我跟汉伟分享
[21:45] 就自己的好朋友
[21:46] 在封测大厂说
[21:47] 这个单真的不要担心
[21:49] 真的是非常多
[21:49] 然后日月光喊涨
[21:51] 日月光还喊出说
[21:52] 为什么要涨
[21:53] 有三层理由吗
[21:54] 什么原料上场
[21:55] 资本支出的扩充
[21:56] 有的没有的三层
[21:57] 金元店也说要涨
[21:58] 测试要涨
[21:59] 所以不管封装测试
[22:01] 都要涨
[22:01] 大家都要涨的情况下
[22:03] 我觉得
[22:03] 冯测是业绩上面
[22:05] 我个人觉得最稳定的
[22:07] 一样是我会找他
[22:08] 形态比较好的来做介入
[22:10] 对啊
[22:10] 因为刚刚跟大家讲
[22:12] 就比方说最近很热
[22:13] 就是主动元件跟被动元件
[22:15] 那这两个族群
[22:16] 第一个如果大家看营收表现
[22:18] 应该你说那种
[22:19] 爆发性成长的公司并不多
[22:21] 那被动元件
[22:22] 现在还要公布六月营收
[22:23] 那实际上虽然看到涨价寒
[22:25] 但反映在营收的成长数字上来看
[22:28] 我觉得也没有看到非常亮眼
[22:30] 就是说你可以看到
[22:31] 像记忆体已经涨了一大段时间
[22:32] 暴力的年增都300% 600%這樣的情況
[22:36] 那現在當然被動員件我覺得有在漲
[22:38] 那國區的部分你說年增有到100%嗎
[22:40] 應該也沒有
[22:41] 所以他們會變成說因為要公佈營收
[22:44] 那股價其實現在台股的被動員件
[22:47] 大家有去比較一下
[22:48] 跟美股跟日本股市比較起來今年台股的被動員件是討贏全球股市所以也代表我覺得短暢來看的話被動元件這一塊的資金看起來是有一點鬆動不管是法人籌碼或主力籌碼
[23:01] 那跑到哪裡
