[00:00] 欢迎收听赵华语古货载第1065集
[22:10] 像今天市场气氛一变
[22:12] 其实热门的股票
[22:13] 还是受到蛮大的波动影响
[22:15] 对
[22:15] 但如果今天是市场的气氛
[22:17] 恢复正向的时候
[22:18] 我想这个议题
[22:20] 它应该会被
[22:20] 非常被重视
[22:22] 被宣传开来
[22:23] 对
[22:23] 其实媒体有引用
[22:26] 就是国外的新闻
[22:28] 确实有点到光模块PCB
[22:30] 但我自己
[22:30] 我去问了一下
[22:31] 但你还没有大奖
[22:32] 你大奖就不一样了
[22:33] 没有
[22:34] 没有那么有影响力
[22:35] 但我去问了一下
[22:36] 其实光模块目前
[22:38] 是还没有紧到六个月
[22:39] 对
[22:40] 我想应该是传统AI的PCB
[22:42] 或者是交换器
[22:44] 或者是比较高阶的AIPCB
[22:45] 有六个月
[22:46] 我觉得有可能
[22:46] 可是光模块
[22:47] 因为它的爆发量
