[00:00] 歡迎收聽《照華語古惑》在第1169集,今天是2026年的8月25號。
[03:38] 可能性可能不高可是有效的壓抑了一下公債殖利率繼續往上跑這件事
[03:44] 那這個事情我想以民漢來說絕對不是所謂的黑天鵝但是會干擾盤面
[03:49] 對,應該說會干擾盤面,我個人覺得先講一個結論就好,我一直覺得這個時間點的問題,我先給大家一個概念,就是說這個美債殖利率走高到底是不是一個很大的風險?
[04:05] 我要跟大家提到,其實今年的四五月的時候,其實美債殖利率也有一度用噴出的階段,但是因為股市很好,大家就不在意,這樣你就理解了。
[04:18] 現在美債殖利率上升到4、5月前,老實講都還沒有,其實就是因為伴隨著盤面。
[04:31] 或者是我常常講,我前兩天跟投資人在聊的時候,假設對等關稅,當時一宣布,或者是美伊一開戰,
[04:41] 當時大家一定,我跟你講不用看到股市開市,大家即使都沒有交易,你看到那種訊息你一定會緊張。
[04:49] 你看到如果今天不開市,今天指數都沒有跌,你看到說債建值利率走高,你會不會擔心?
[04:56] 其實老實講,大家會擔心的人並沒有想像那麼多。
[05:00] 那反而是這個,最主要重點在哪裡?當你不擔心股市跌的時候,你剛好時間搭配得上,你就開始擔心了。
[05:08] 其中有幾個比較重要的關鍵點
[05:13] 第一個就是殖利率
[05:15] 先講一個最重要的關鍵點
[05:17] 現在殖利率尤其是30年期的持續創高
[05:21] 但是有個問題
[05:23] 如果你看到10年期、2年期到3個月
[05:25] 時間越短幾乎都沒有動
[05:27] 現在很明顯的就只有長天期動
[05:30] 我常常講了這就代表著
[05:32] 其實並沒有大家想像的那麼嚴重
[05:35] 這個就是論點,就是回到當時七月股市在下跌的時候,我那時候一直跟大家講,你不用緊張,為什麼不用害怕?
[05:43] 因為七月在下跌的過程當中,只有非半韓國、台灣、日本,這幾個國家上半年漲很多了,拼命在跌。
[05:51] 綜合指數,美國的S&P500、道瓊、歐股幾乎都沒跌,為什麼?因為之前沒有漲,自然就沒有跌。
[05:58] 我說那將領你有什麼好害怕?
[06:00] 你就看一下當時如果是經濟反轉、進攻風暴來臨,不管你有漲沒漲,一定都是先殺再說。
[06:09] 一樣的問題,就是說你今天殖利率只有一些長天期的走高,就代表著並不是真正的風險的到來。
[06:18] 這是第一個很重要的關鍵點。
[06:21] 第二我覺得如果我看到外資的報告分析他一直提到有一個很重要的因素就是這個市場的資金只有一套
[06:31] 那我覺得他這個道理也蠻清楚他意思說這個市場資金呢大家市場持續在瓜分
[06:38] 人家一直在提到4%現在已經來到5.3了為什麼還不夠香
[06:44] 就是你的所謂的殖利率不斷往上走高代表就是價格不斷走低
[06:49] 就是代表著簡單而言5%代表著我們其他細節不講就是你今天投入100塊持有一年代表你就可以無風險領回5%
[07:00] 那為什麼4%你可能覺得不夠來到5%了居然大家還不買帳
[07:05] 其實光有一個很直接對應的這個商品是什麼就是公司債
[07:11] 這應該說這個時間點是從去年下半年開始
[07:15] 其實AI是24年就開始了
[07:17] 可是前段在投入的時候因為雲端業者錢很多所以他根本不用借他光自己的錢都花不完
[07:23] 所以他24年25年上半年他用了一年半把自己口袋的錢花了差不多了
[07:30] 所以從25年下半年之後他就開始發債
[07:33] 所以你看到這些雲端業者的債務是從去年下半年開始明顯增加
[07:37] 那你先有個概念嘛無風險利率都有5%的這些固然他們是很大的公司
[07:44] 可是一定要比5%更高這是很基本的
[07:47] 那簡單而言大家在投資的時候就會覺得沒有錯這些它的利率比這個公債更高
[07:55] 沒錯它有擔有風險可是你也許現在還在擔心說它自由現金流夠不夠啊
[08:01] 它會不會賺的錢夠不夠你無論怎麼分析你都是在分析它的股價會不會跌
[08:07] 但是從來沒有人會擔心這些大型雲端業者會倒吧
[08:11] 所以它只要不會倒代表你買它的債永遠都領得到利息
[08:15] 其實你是不需要考慮它,所謂買它債的人你是不需要考慮它的營運,你只要考慮它會不會倒。
[08:21] 它這些雲端業者總不會有人認為它會倒,所以它不會倒的情況下就代表你都可以乖乖領息,所以其實跟美債的無風險利率落差並不會很大。
[08:32] 那但是明明利息就比較高,然後它沒有大量發債,自然又會影響到美債,所以就這個是一個效應。
[08:40] 另外一個我覺得更直接的就是投資人應該就可以很清楚明白
[08:45] 如果說4%不夠一直往上拉拉到5%5.1%、5.2%一直到5.3%為什麼大家一直覺得不夠
[08:52] 我說嘛報一年5.2%、5.3%對比以前或其他固定收益商品算是非常吸引的沒錯吧
[09:00] 可是加權指數上半年漲五成欸你怎麼對比
[09:04] 所以我常常講現在你回到兩年前可能投資人有一筆錢
[09:09] 他會來跟我講我現在有一百萬,我股債要怎麼配置?現在拿一百萬我要怎麼買股票?這話不會有人說我要怎麼股債配置,簡單而言現在市場上不管你利率再高,從不斷往上攀,可是你對比股市,真的是沒辦法對比。
[09:26] 好,當然不應該把股債當作同一種商品在比它的績效,但是大家會去比所謂的機會成本。
[09:34] 對,就是債它就是告訴你除非它倒,要不然它息一定會給你,股就不一定嘛對不對?
[09:40] 股沒有說你買了一定漲,股也沒有說一定要配股息給你喔,我現在獲利沒那麼好我就不配,我獲利好我就配之類的,股的變數比較多。
[09:49] 可是呢,完全不一樣的性質,可是機會成本上,難免你就會有一個感受是,要是我all in在股,我就賺了很多啦,我為什麼要去配債呢?這個情緒是不能否認的。
[10:02] 所以這個情緒就造成說,只好一直在美債這邊,可能直立率要一直往上,才會有人願意把資金挪過去。
[10:09] 那現在當然因為直立率上升,你也可以看到有點資金在稍微挪移了,因為美國科技股交易量就有點掉下來。
[10:15] 對,應該說剛剛提到從他本身債券的角度出發,他遇到兩個很明顯的對手,一個是這個公司債,而且不是那種小型有風險的,是那種大型的風險很低很低的,幾乎有辦法去批明美債的,他明明他無論如何利率就是比你高,那為什麼要去買美債?
[10:35] 這也是一個吸引力。
[10:36] 好一周我們只好美債自炒繼續拉高殖利率
[10:40] 你繼續拉高人家的公司再出來又得比你高
[10:44] 又得跟啦
[10:45] 我覺得這個是有點可怕的循環
[10:47] 因為它是基準
[10:48] 就公債殖利率是別人發債的基準
[10:50] 基準無論如何我風險在地我都得往上墊
[10:54] 所以這個幾乎就是一個無止盡頭
[10:57] 另外一個又有一個剛剛也沒錯
[10:59] 股債本來就是不一樣的商品
[11:01] 但是長期而言股債也敲敲板效應也不能說沒有
[11:05] 一邊太好,另一邊就會相對比較弱。
[11:09] 簡單來講,就我的觀點,我會覺得在線殖利率這個問題是沒有辦法解決的。
[11:16] 就現在的角度,幾乎是很難向下反轉。
[11:19] 我剛剛講,就我以前的觀察,它唯一的解法很簡單,就是所謂的美國降息。
[11:26] 對,就是整體利率環境降息,可是現在條件又不允許。
[11:30] 我覺得還不是說不允許,我講的以前都是對的。
[11:34] 這兩波降息對公債殖利率效果很差
[11:41] 應該說持續率很低
[11:42] 因為那時候第一次預防性的時候
[11:44] 其實十年期啦
[11:45] 因為我自己比較看十年期
[11:47] 有降到3.7%
[11:49] 但是後來就彈回去了
[11:50] 對那個就是簡單來講
[11:52] 就是它那個在降息過程壓下去
[11:54] 只要那個風頭一過
[11:56] 它馬上就彈回來
[11:57] 所以大家其實都在做這個短線的一個價差
[12:01] 然後呢賺到錢之後又轉往股市
[12:03] 股市有辦法長久
[12:33] 這兩點是關於股市的重呢,大家就會跟大家講說會壓抑這個科技股的表現,那論點就兩個嘛。一個就是,大家就概念就好了,就是說通常在預估這家科技類股的價值,它是用未來的一個可能,比如說獲利或營收把它折現回來。
[12:47] 折現呢,如果現在利率拉高,代表折回來就會折比較多,所以代表限值就比較低。
[12:52] 這個觀念聽聽就好,不理解也沒關係。
[12:55] 另外一個就是他們畢竟他們現在要借款,所以我們剛剛提到嘛,你4的時候我借5,你5的時候我就得借6,所以他們壓力會越來越大之類的,是講這兩個論點。
[13:08] 但是你要記得一件事情,所有人都在講,殖利率拉高會壓抑科技股表現,但從來沒有人講,殖利率拉高科技類股會崩盤,為什麼?
[13:18] 為什麼?記得一件事情我個人覺得大家有點自己嚇自己
[13:21] 因為真的會出事是什麼?不是殖利率走高是殖利率走低啊
[13:27] 因為你要知道以前如果經濟出問題所謂的金融風暴其實會發生什麼現象?
[13:34] 就是股市拼命的往下跌債券殖利率往下債券價格會走高
[13:39] 因為避險嘛
[13:39] 對大家會往那邊跑
[13:41] 所以現在發生的事情呢我最後的結論就是真正的恐怖是殖利率往下
[13:47] 結果現在大家把殖利率往上也當利空
[13:51] 反正我個人覺得
[13:52] 所以結論就是提到到底是殖利率走高才跌
[13:58] 還是因為跌了大家才認為是殖利率走高是兇手
[14:02] 我覺得這個尤其我剛剛前段提到
[14:04] 其實四五月的殖利率當時在往上衝的時候比現在更兇狠
[14:09] 大家自然也不怕
[14:10] 所以我整個給我的感受就是有點雞生蛋單身雞
[14:16] 重點還是因為現在下跌了,大家才放大檢視債券殖利率的問題。
[14:21] 只要後續整理過後開始走高、走多頭了,大家自然又會忘記這件事情。
[14:28] 你記得喔,這次5.34,下一次過高的時候,你未來會發現過5.34,大家也不害怕了。
[14:35] 所以我還是覺得,整個殖利率本來就不是重點,只是大家現在因為股市壓回而恐慌所導致的,把兇手怪給他而已。
[14:44] 我也認為是短線上的因素啦,因為你說現在要變成什麼暴力升息環境也不可能,要暴力降息環境也不可能,所以它就會變成在這邊來回今天想要擔心市場的時候就會說科技巨頭的舉債這麼多啊,上次不是聊到三兆美元的隱藏債務啊,那如果今天無風險利率都那麼高,那麼之後舉債這些債務怎麼還得出來呢?
[15:07] 好,如果有一天,真的有一家公司,他告訴你,我的債信我還不出來,因為我AI投資之後我沒有辦法回收,那就是恐怖的開始,必須講,回歸到他自己本身營運的狀況的時候,才會是一個真正的崩盤。
[15:23] 那史上當然也有發生過金融市場的崩盤,不過那都是一些因為衍生性金融商品的問題嘛,就像08年的金融海嘯,也伴隨著當時有很多的,例如說投資什麼生殖能源,不曉得大家還記不記得。
[15:37] 就是夢做的已經太大了,通常都是夢做的太大而無法回收的時候會有這問題。
[15:44] 那現在大家都緊盯這些AI公司,可是AI公司不一樣啊,它繳出來的都是創歷史新高的財報啊。
[15:50] 台灣的上市規公司繳出來都是創歷史新高的財報啊。
[15:53] 所以它並沒有發生在以前我們說夢那麼大,股價那麼高,借錢借那麼多,可是大家的EPS沒有成長,沒有發生這樣的事情。
[16:03] 所以我覺得真正要發現問題一定是我們兩個發現財報出現了衰退,真的沒辦法回收,真的出現這樣的Bug的時候,我覺得那個才有可能是我們認為的崩盤的機會高。
[16:16] 那現在就是把握每一次震盪的下修,其實像今天盤中跌了四五百點的時候,我也就去掛一點東西,因為昨天跌四百多,今天跌四百多,兩天加在一起就有超過一千點的下修,又到月限,符合我買進。
[16:32] 基本上就算是ETF也好的原則,所以我今天就有小小加碼一些東西。
[16:38] 我覺得用這樣一些你自己平常的操作邏輯,一些原則,其實這段時間雖然無聊歸無聊,
[16:43] 就是所謂的狹幅震盪也好,亮碩也好,但並不會怎麼講,並不會覺得失落或是覺得無所適從,沒有方向感這樣。
[16:52] 對,應該說他最後還是要把握自己的節奏。
[16:56] 其實這幾年給我的感受就是這個回過總結還是提及AI的需求真的是非常非常的強勁
[17:07] 那帶動所有的這個個股的一個部分的獲利都還在持續創高
[17:12] 我永遠一直講一個很重要的關鍵點
[17:15] 你遇到這些枝枝節節你會害怕
[17:19] 只有一個問題就是因為你對這些數字面你真的是看得太少
[17:26] 你對於這個上市櫃這些公司它的營收、它的獲利,然後或者是現在台灣的這些出口或訂單,你這些數字多去看看,你就會發現現在的股市為什麼能夠漲那麼多,完全是配合著這個基本面不斷的持續創高。
[17:44] 如果你了解這個基本面加上股價走勢,你把圖全部畫在一起,全部都疊在一起,你就會發現中間遇到這些包含關稅、包含戰火、包含聯準會、包含川普胡說八道,最後其實這個影響的成績真的很有限,包含聯準會怎樣這些都不是重點。
[18:05] 因為我常常講對比剛剛講的這些雜訊
[18:08] 如果我們就這兩年角度而言
[18:10] 衝擊最大的一定是關稅
[18:12] 因為當時關稅假設真的按照他那個邏輯
[18:16] 每個國家平均課快三成
[18:18] 那這個經濟面真的會受不了
[18:21] 可是你只要記得當時在四月那時候台出來的時候
[18:25] 那時候剛好也在這個所謂的財報公布期
[18:28] 四大雲端業者扛著這個關稅無論怎麼課
[18:32] 他們也說那個是他的事情
[18:34] 我就是我的AI資本支出就是要提高
[18:37] 所以回過頭來連關稅都擋不住他們繼續投資了
[18:42] 所以中間擔心殖利率偏高
[18:45] 他會不會你我剛剛講關稅他要課三成他都充了
[18:50] 你現在在擔心殖利率拉高一兩個Percent
[18:53] 會不會以後他們還不出錢
[18:55] 就是我講的
[18:56] 表示你沒有去看一下他們現在的獲利是怎麼噴出的
[19:00] 其實他們現在呢
[19:01] 結論就是他們確實不斷的獲利走高,所以不用去擔心這些枝枝節節的事情。
[19:08] 所以如果就操作而言,就是你自己持股的這個拿捏,那如果拉回的時間點,其實在這個軌道上其實都還是一個布局的機會。
[19:19] 好,不過反正我們兩個都是站在有明顯拉回就是給機會的這個立場下,我們剛剛也有討論說,但是美國財政部說的這些話是必要的。
[19:28] 因為我們剛就聊到說像我們的國安基金為什麼說可以來聽聽看我們台灣怎麼做
[19:35] 大家有印象嗎?前陣子我們也不是也跌了那個所謂的9000點
[19:39] 尤其有很多中小型股跌到大家斷頭
[19:41] 這個還是蠻痛的喔
[19:42] 因為後來我們就發現這個證券劃波瑜很罕見的出現下降了
[19:48] 就大家真的在上一波受傷了不想買股票了
[19:52] 真的有發生今年以來的首次喔
[19:55] 但是我們有沒有做什麼事政府有做什麼事
[19:58] 例如第一,他可能就先穩住台積電跟金融股嘛,指數就大型以全職來說就沒有跌的那麼多。
[20:05] 第二,還記得嗎,融資維持率要我們重算嘛,要那些機構網站不能公布他們自己算的,要以政府為准,說融資維持率沒有到全面斷頭這些的。
[20:15] 那時候我也覺得不可思議,在股票市場那麼久,第一次聽到政府要干預這個事。
[20:19] 還有一個最明顯的,大家那時候就在吶喊國安基金喔。
[20:21] 一開始國安基金我記得前幾年說要護的時候大家都說浪費納稅人的錢漸漸的大家也學聰明了發現國安基金進場都是賺錢走而且不要沒印象去年大家還在提案說國安基金5000億嘛要增資到一兆嘛可是國安基金到底花多少錢護盤呢我們最新一次因為5月多國安基金正式完全退場大家知道這次花多少錢嗎這只投122億欸只投122億為什麼去年還會講說
[20:51] 這幾千億可能還不夠,還要再弄到一兆什麼的,就是給信心嘛,只花一百多億為什麼還要支撐到一兆呢?史上花最多也好像是一千億左右吧,但幾乎沒有,近幾年都是一百、兩百這樣把它花一花就沒有了。
[21:07] 所以這個政府出來要大家相信的力量是很厲害的,市場資金和共識一旦凝聚之後就會恢復上行,所以我覺得財政部,就美國財政部做這個事情是對的啦。
[21:19] 對,那也希望華許在這個Jackson後,雖然他說不要再任何前瞻之影,但是也不要嚇大家就好了。
[21:26] 對對對,現在確實就是不要嚇大家就好了,因為你要他講的多正向,我個人覺得蠻難的,因為畢竟以現在來講有這個戰火油價,相對來講還沒辦法完全壓下來之前,你也沒辦法希望他講得多樂觀,說未來他們的利率是往下行的,我覺得理論上說不出這樣口。
[21:46] 只能說不要嚇大家說搞不好未來會更鷹派其實整體架構就不錯
[21:52] 另外剛才提到政府的部分
[21:55] 其實我也覺得美國政府應該一直以來以川普的個性就常常很會說但真的不見得會做
[22:04] 但是我覺得以現在的角度確實應該是這樣
[22:09] 因為我也認為剛剛我們就分析就知道以這個美債殖利率要大幅走低其實是難的
[22:15] 而且我個人覺得,簡單而言,如果真的出現大幅走低,那股市就完了,因為這代表著現在已經,應該說大家就不見得,現在錢掏出來大家不會只覺得只想買股,代表已經開始想買債了,表示只有一個就是你真的股價已經貴到人家不想買,或成長力道縮小,甚至風險已經開始增加,所以就短線而言,其實美債殖利率是很難大幅下去的,所以它真正實質的動作,
[22:45] 我覺得效果都很有限。
[22:46] 那把那些錢去做更有效率的事情,然後口水互盤一下。
[22:51] 那當大家這個不聊,應該說大家信心稍微潰散的時候,講點話,或者是呢,就真的下去一時一時買一些,然後呢,攤出來給大家看我有買,然後大家信心慢慢就恢復。
[23:05] 那這個時間點也不是吸引大家跟著他去買這個美債,可是最起碼讓持有美債的人不用擔心說,
[23:13] 現在5.3不拋售搞不好5.5要不要乾脆賣掉5.5再重新買回來
[23:19] 那最起碼讓這些人有點信心自然壓力就會大幅的降低
[23:23] 回過頭來就像剛剛提到的這個台灣的這個國安基金一樣
[23:28] 可是我覺得這個故事有點不太一樣
[23:30] 因為你國安基金一開始他的定義就是已經就是來護盤的
[23:35] 然後呢
[23:36] 而且他說非經濟因素的護盤喔
[23:38] 後面什麼因素都不管了
[23:40] 對,應該說它本身就是具有護盤的意義存在。
[23:45] 那它每一次進去它就是要把戰線拉長,所以它一定是緩慢的持續的加碼。
[23:52] 因為它不可能,這個有時候經濟一衰退可能就是有可能拉到半年一年以上的時間。
[23:58] 那只是因為這一段時間呢,這幾年因為AI的效應,所以導致指數拉回的空間其實都是非常短暫,空間也不大。
[24:07] 所以他進去來講反而都很難賺到很多的錢,或者說老實說就是他沒辦法投入比較大筆的資金。
[24:15] 只是講到這個我就會順便講一下之前台灣政府一直在講到主權基金的東西。
[24:22] 我反而覺得台灣政府現在已經討論很多次了,但是結構都還沒出來。
[24:28] 我反而覺得主權基金會比國安基金拉高這個額度要重要。
[24:33] 因為國安基金永遠就是出事的時候進去救援的。
[24:37] 不是真的在幫我們做投資規劃
[25:07] 現在AI趨勢的浪潮之下,尤其我之前看過台灣人持有台積電的比重,老實講比想像的低蠻多的。
[25:16] 這代表著現在因為股市不斷走高,所以這幾年的股市關注度是有拉高。
[25:25] 但事實上我平常在生活中還是有遇過很多的一般國民,他常常講到投資,他自己錢都不夠用拿來投資。
[25:38] 這個時間點其實政府就應該拿錢出來,應該說在這個AI的進程你要有兩個重點,第一個你要看得懂趨勢,第二點你要有資金。
[25:51] 這個有一些可能國民他不見得看得懂這個趨勢,所以他不太敢投,每天都在覺得1200台積電很貴,2400台積電很貴,等到5000的時候永遠都覺得很貴,所以永遠都沒辦法進場。
[26:06] 另外一種是他也覺得這個是趨勢,可他就沒有錢,所以這個政府就要去解決這個問題。
[26:12] 第一呢,他政府也覺得這個趨勢是對的,而且政府有錢,他就應該有一個主權基金幫忙投資,然後呢這幾年有辦法賺得到錢,未來就有辦法分享給國民。
[26:23] 當然,現在他的這個議題持續有在進展當中,只是我不知道什麼時候才能夠成真。
[26:31] 所以長期而言,其實靠國安基金要去賺到錢其實是很難的。
[26:36] 因為它本來就不是以賺錢為目的的一個東西。
[26:40] 那未來台灣應該要有一個專門投資賺錢的一個,就是剛剛提到主權基金,我覺得對整個國家會更有幫助。
[26:48] 好,當然我們也許沒有直接投台積電啦,但是像大家如果有買ETF的話,就間接會持有台積電的機率是很高的。
[26:55] 這也是另外一種第四大法人的崛起,其實是透過所謂的ETF,就是去買了我們的一些相關權支股。
[27:03] 所以沒有自己買到一張台積電沒有關係,也可以買一些含積量很高的ETF一次一次。
[27:11] 我們常常講百分之七十幾的台積電的股權都在外國人的手裡。
[27:15] 有一次啊,就不知道在聊什麼事情,因為外資一直在賣台股嘛。
[27:18] 我就說一人一張就可以把台積電的股權買回來,兩千三百萬張。
[27:25] 開玩笑,但是確實啦,我覺得我們有這麼有價值的一家企業在台灣。
[27:30] 這個絕對是我們蠻天時地利人和的,尤其這一波的AI,絕對台灣是紅利吃好吃滿的,所以為什麼明漢會有這樣的建議?我們應該是最了解我們其實在這個風口浪尖上賺到多少錢的,我們是最了解的。
[27:45] 好,但是反正國家日理萬機嘛,我們的證交稅、證索稅等等的,最近好像也是有點超收,所以明年才會要什麼普發一萬嘛,不要普發啦,拿來做操盤也不錯,我這樣講會不會被罵,好,我們離開這個議題,回到盤面上。
[28:05] 好,那明翰常常在聊的一件事情就是,只要有遇到比較明白的回檔,甚至我們也不要想是不是回到死亡,我們都不用做這麼些的預測,事情來了我們做對策就是了,因為我們也不可能每天都有錢一直投進去,所以手上有資金的時候,又遇到像我常常講啊,千點啊,兩千點的回檔,就可以來著量買一些,那明翰的想法應該還是一樣,第一梯隊就是找已經有業績的,例如說像PCB跟設備,
[28:35] 其實設備這一波反彈的幅度不強耶。這一波不知道為什麼,就是明明業績滿手,我也非常的喜歡。我也不急啦,說實話我也沒有急到說設備全部都要V轉,我也沒有這個想法。但是很超值,我必須講,很多的設備股的狀況是很超值的。所以這個時間慢慢去物色一些設備股或是PCB股,我覺得是一個好的策略。
[28:57] 對,應該我覺得喔,這個業績面我常常講,反正我只顧這個它的業績,我不顧股價,股價不是我決定的。
[29:07] 那這個PCB的部分它有個優勢,就是它確實應該說它有上中下游,其實各有強勢的部分,我們講的是業績,各有強勢。
[29:20] 那所以導致話題不斷,所以資金一直都會在裡面輪動。
[29:24] 當然最近的特色就是CCO也還不算差,載板也不算差,都還在高檔。
[29:32] 但是裡面也有一些就是業績很好,比如說上游包含這個波千莎什麼,其實他們業績面也都沒掉,但股價就跌比較多。
[29:41] 或者是到了PCB,比如金像電,其實它比較下游的,然後呢其實它的業績面也都沒有掉,但股價就是相對來講就是比較弱。
[29:51] 那問我什麼原因我就說沒有,就我的觀點而言就是資金的輪動而已。
[29:56] 那什麼時候轉強我也不知道,我常常講的就是持有者我只能跟你講你只要有耐心他一定會還你公道,只是需要時間。
[30:07] 回過頭來設備族群有點類似,但設備族群比起PCB真的是不能比啊,設備族群真的已經安靜很久,就是市場都不太關注。
[30:17] 那憑良心講大家也知道說AI資本支出不斷增加,然後呢卡了很多關,不管你是卡在所謂晶片還是零組件,大家都要擴廠。
[30:30] 所以設備族群一定都是很直接的這個受惠者,而且人家業績也給你看到,訂單也給你看到,可是資金就是不進來。
[30:39] 那這個我覺得類似就像類似組裝廠也差不多,那業績面也都還在走高。
[30:45] 當然這個其中大家又會講到說講到一些它的弱點比如說組裝就受它毛利率偏低
[30:52] 就是因為組裝跟去年同期比有一些還是微降的因為就所謂的學級曲線跟零組件採購的問題
[30:59] 對可是我一定說沒有錯就是剛剛提到嘛因為尤其他們又有一個比較明顯的弱點就是他們的產品很多然後產品每一次不同的再轉換又會壓低他們的毛利率
[31:10] 但是我會覺得老實講對應他們的股價有點不太公平
[31:16] 因為你說毛利率是缺點可是人家的獲利是創高
[31:19] 那最後你對股東最重要的當然就是說營收、毛利跟獲利
[31:26] 他就是這三塊下去所謂的構成
[31:29] 可是如果對比最重要對一個股東來講一定是獲利獲利最重要
[31:34] 因為中間只是一些成法跟過程而已
[31:38] 最後一定是獲利,雖然說人家有稍微不好的地方,沒錯,那這個就是他們產業的結構,相對來講本來就是低毛利的這個所謂產業結構,那加上他們因為新產品不斷進來,毛利率又走低,可是人家獲利不斷走高,而且營收不斷創高,我常常講就是說,以他們這個結構,他們落後,可應該說落後大盤我還可以接受,可是落後大盤很多,這個就有點不太合理。
[32:07] 我會覺得其實設備族群有點這個狀況,設備族群還沒有他們這個什麼毛利很低的問題。
[32:14] 設備族群通常的問題是他們的認列時間點比較跳動,但是長線你就是比較不能用一兩個月或一季,你把時間拉長你會發現他們的營收也都還在走高,那整個獲利的部分也還在穩健向上。
[32:30] 但是因為休息太久自然會導致他的毛利率,應該說本益比相對是比較低的。
[32:36] 最後就是提到這個絕對是一個可以佈局的產業,而且應該是比較值得長線佈局。
[32:45] 但是我個人覺得因為如果最後回過頭來以一個相對就是股性不好,最後只能有點類似,就是像組裝廠、設備族群這些最後只能把它怪罪到說這個股性不好。
[33:02] 那我會覺得就是說有AI以來他們也不是沒當過標股過,只是時間不是很長加上距離現在比較久遠了,自然就會把他配到所謂的股性不加族群。
[33:14] 那我個人覺得股性不加族群記得絕對因為人家有數字絕對不是說這個族群就不能投資。
[33:21] 我會覺得你第一你要把時間拉長,第二最最最重要的就是你比例一定不能高,因為他現在就是沒表現,你只要比例拉高你就很難過。
[33:31] 因為你就是他就在那邊整理他也沒他就算不疊他光在那邊整理然後人家大家長你的就是不長你抱著就不舒服可是我意思說你應該用分散的角度他是你一個其中的一檔衛星持股那你在比例不要太高的情況下你其他的都有在往上你也不會感覺到說這一兩個比例不高的不長你就會壓力很大但是我剛剛講了就是資金總會輪動
[34:01] 基優沒錯,但是漲多了,最後總是會有追不上去的時候。
[34:06] 那當大家不追,時間到自然又會回到比較低位階的族群下去做移動。
[34:12] 因為其實我常常講的就是,我自己的觀點,用一個比較大的架構就可以看到,
[34:17] 24年、25年,從台股跟美股的特色都可以看到,就是市場比較喜歡大型、基優很明顯,
[34:26] 到2026年就明顯轉向中小型族群加上有夢有題材的只要位階低都有機會動只是風險波動大風險相對比較大看投資人適不適合
[34:40] 所以我常常講資金還是會輪動到今年輪動的速度又更快
[34:45] 所以只要記得基優好處就是它下跌空間是有限的了不起就是最後不漲而已
[34:52] 比例不要太高,長報在那裡,讓你分散佈局,等到時間到,公道回來的時候,你自然就有機會跟著往上。
[35:22] 怎麼了?理由有很多,但是我覺得反而是理由後面這件事情有沒有辦法被解決。
[35:28] 好,例如金像店好了,之前是投信一直在賣,總之投信就不凝聚,因為一直很擔心它所謂的採購成本上升這件事情。
[35:37] 那即使繳出來的營收財報數字都還是很好,但大家顯然都預期接下來可能有些挑戰,所以不太回來。
