[00:00] 欢迎收听赵华语古惑载第1075集
[09:29] 那这一块是损失得起的
[09:32] 对
[09:32] 就像我常常跟大家讲你的核心一定是你可以担得起的风险可以常常稳定成长的你不会因为它上涨或下跌患得患失但是如果你非常喜欢刺激的个股非常喜欢热门的题材
[09:43] 你就用小部分去做
[09:44] 对这个小部分就会成为
[09:46] 也许是你的成就感来源
[09:48] 当然巴尼比较特别
[09:49] 它是以反指标作为成就感来源
[09:51] 那大家如果变成一个正指标的成就感来源
[09:54] 我觉得那也很棒
[09:56] 而且不会让你真的在财富上
[09:58] 有非常大压力
[09:59] 我可能讲严肃了
[10:00] 但确实我看完之后
[10:02] 就觉得非常认可
[10:03] 这样的一种经营方式
[10:06] 因为它公布出来
[10:07] 就是一种经营方式
[10:08] 然后就像我
[10:09] 常常跟大家分享
[10:10] 我每天在做这个内容
[10:11] 对不对
[10:12] 我没有办法像云翔哥一样
[10:13] 压到一亿元
[10:14] 在这些中小股上面
[10:16] 所以我的核心
[10:17] 也大部分是我自己
[10:18] 觉得比较稳定的
[10:19] 不管是买主动型ETF
[10:21] 被动式的ETF基金
[10:22] 或者是市值型的商品
[10:24] 那我也有说
[10:25] 我有抽一部分出来做个股
[10:26] 为什么
[10:27] 这样我才能跟得上
[10:28] 热门题材的卖动
[10:29] 这样我才会有
[10:30] 个股今天涨停板的快乐
[10:32] 所以他对我来说
[10:33] 是有这样的加成效果的
[10:35] 有点扯远了
[10:37] 但回到云翔哥身上
[10:38] 他成为台版8PP这件事情
[10:41] 现在的准确度也非常吓人
[10:43] 以前有有人在理财单位
[10:45] 经常会留言说
[10:46] 谢谢云翔哥买put
[10:48] 救了全台股
[10:50] 是救全台股
[10:52] 真的是非常厉害的
[10:55] 某种指标
[10:57] 讲实在话就是说
[11:00] 其实我自己也蛮开心
[11:01] 为什么
[11:01] 因为你现股很多
[11:04] 对
[11:04] 因为现股来讲
[11:05] 就是说
[11:05] 其实我真的很希望
[11:07] 我的P打水漂
[11:08] 坦白讲
[11:09] 打水漂当然是
[11:10] 打水漂有这种模式
[11:11] 对不对
[11:12] 打水漂最好是
[11:13] 你的指数要涨
[11:15] 如果你打水漂
[11:16] 指数不涨
[11:17] 基本上没有意义
[11:18] 对
[11:18] 所以这种反指标
[11:20] 是很好
[11:20] 就是说
[11:21] 他买了越多
[11:23] 指数喷得越多
[11:24] 这是一个好事
[11:25] 对
[11:26] 好 所以你看
[11:27] 大家也要注意
[11:28] 云翔哥的操作方式
[11:29] 是这样子的
[11:30] 先来判断
[11:31] 我们常常讲
[11:31] 我这个频道常常讲一件事
[11:33] 我们一定都有所谓的预判
[11:35] 因为我们的动作
[11:36] 一定是跟随着我们的预判
[11:38] 对不对
[11:38] 可是我们的动作
[11:40] 会让我们的风险降低
[11:42] 就是所谓的对策
[11:43] 云翔哥也认为
[11:45] 谈崩是正常的
[11:46] 那市场甚至有可能会利空顿化
[11:48] 这个预测是对的
[11:50] 目前今天看起来是对的
[11:52] 可是他也怕他自己预测出错
[11:54] 所以他就去买了put
[11:55] 我觉得这种观念
[11:56] 真的全部的人
[11:58] 都要去反复的揣摩
[12:00] 就是为什么我们要做预测
[12:02] 可是更重要的是对策
[12:03] 就像我也觉得
[12:04] 可能今天他会怎么样
[12:06] 谈崩
[12:07] 但是崩的不多
[12:09] 那我自己的做法
[12:10] 也许我不像云翔哥这么积极
[12:12] 或我反向做一个空方的避险
[12:14] 我就是不会在这两天追
[12:16] 我觉得这个是我自己的做法
[12:18] 对不对
[12:18] 那当然我今天看了一下
[12:20] 有一些主动式的
[12:21] 可能今天反而表现不如个股好
[12:24] 因为今天个股多了两个东西
[12:25] 刚刚讲被动元件
[12:26] 还有一个就是说
[12:28] 中国那边有提到
[12:29] 要开放上海福建来台湾自由行
[12:32] 所以今天有很多的旅游股
[12:34] 它是涨停版的
[12:35] 这两个族群加进来
[12:37] 才会让今天的涨停加速
[12:38] 比大涨1500点那天还要多
[12:40] 但我刚刚也问了云翔哥
[12:42] 被动他十分看好
[12:43] 但旅游股他就先步了
[12:46] 而且云翔哥之前有一段时间
[12:48] 很常在中国有耕耘过一段时间
[12:50] 他觉得这个议题比较容易
[12:51] 反正也还没开放
[12:53] 台湾这边并没有真的接球
[12:56] 然后再来是一条龙的
[12:58] 入客来台模式
[12:59] 并不是真的造福
[13:01] 说实话大多数的厂商
[13:03] 这个我们就略
[13:04] 因为云翔根本要投这一块
[13:06] 我们先来讲今天
[13:07] 为什么今天你会减到
[13:09] 有点超乎你自己预期
[13:11] 就减太多了吗
[13:12] 应该这样讲
[13:14] 就是说
[13:15] 事实上在台股
[13:16] 大概操作很久了
[13:18] 其实你发现说
[13:21] 遇到某些事件
[13:22] 我们讲说利空顿化这件事情
[13:24] 事实上对很多市场来讲
[13:27] 大概几乎都是一样
[13:28] 比如说我们先谈前面一次的
[13:31] 我们讲说去年4月
[13:32] 这个关税的这个事件
[13:35] 那当然这个叠得很凶对不对
[13:37] 可是当慢慢的这个关税的这个议题
[13:40] 其实还存在的情况下
[13:42] 一直到5月份延伸到6月份
[13:45] 基本上都没有谈定
[13:46] 按理讲是一个不利的
[13:47] 可是因为这种所谓的利空顿化之后
[13:50] 你发现其实感觉不利的情况下
[13:53] 它指数往上是一直在涨
[13:55] 那这一次其实坦白
[13:57] 也差不多这个意思
[13:59] 就是说你会发现
[14:00] 其实这个事情来讲
[14:03] 看起来是没有完全完转
[14:06] 可是目前来讲
[14:08] 指数却已经拉到接近创高
[14:11] 台股又比所谓的
[14:13] 这些其他的市场特别强
[14:15] 那也代表说
[14:16] 对这个看法来讲
[14:18] 就是事件已经
[14:20] 几乎我觉得已经顿化了
[14:23] 那顿化以后
[14:24] 大家就是说资金
[14:25] 愿意再投入这个市场
[14:27] 这很重要
[14:27] 你会发现说
[14:28] 为什么之前讲说
[14:30] 如果台股是落在这个量
[14:32] 落到这个六千亿以下
[14:34] 那我基本上可能我就
[14:35] 维持这个比较低水位
[14:36] 因为代表着这个市场
[14:38] 大家有意愿意把钱投进来
[14:40] 那现在不一样啊
[14:41] 现在就是大家
[14:42] 还是维持在大概七八千亿
[14:44] 对不对
[14:45] 的这个水准以上
[14:46] 那代表说
[14:47] 这个资金的流入的情况是还不错
[14:52] 那所以你会发现说
[14:53] 中小型股是比较有利
[14:56] 因为之前能够到
[14:59] 这个上兆的资金量
[15:01] 也代表说
[15:02] 大家很愿意投入
[15:03] 这个所谓的全资股
[15:05] 对大型的一些全资股
[15:06] 那如果说现在这个量
[15:08] 维持在七八千亿
[15:09] 那你发现很多中小型股
[15:11] 今天很强
[15:11] 可能今天有破百只的
[15:13] 一个早点板
[15:14] 刚才讲说117
[15:15] 不过是因为有加入
[15:16] 刚刚讲了两个族群的加入
[15:18] 被动跟旅游
[15:19] 对
[15:19] 那当然刚刚也讲了
[15:22] 旅游我是比较不去碰
[15:24] 因为我觉得说
[15:25] 如果是國內的旅遊
[15:27] 那不是應該是接國內的團客嗎
[15:30] 不是接大陸的團客嗎
[15:32] 這是一點
[15:33] 那消費有沒有消費在真正的
[15:36] 就是國內的一個消費裡面
[15:39] 以台灣目前來講
[15:43] 就是說這個市場
[15:45] 我倒覺得說
[15:45] 很多的所謂的輪動性來講
[15:48] 都一直還是圍繞在所謂的AI這一塊
[15:52] 所以AI里面从这个封测
[15:56] 因为从台积电延伸下来
[15:57] 就是封测设备
[15:59] 基本上这个都还跑不掉
[16:00] CPU还是很强
[16:02] 对不对
[16:02] 那再一直
[16:03] 前面一直延伸过来
[16:05] 就是被动元件了
[16:07] 为什么被动元件
[16:08] 因为很明显就是说
[16:09] 在被动元件涨价
[16:11] 是一个议题
[16:12] 另外一个就是说
[16:14] 在AI的这块组群里面
[16:16] 包括AI伺服器
[16:17] 你会发现
[16:18] 被动元件的需求量变大了
[16:20] 它是倍增好几倍
[16:21] 所以就是说
[16:22] 被动元件这个倍增
[16:25] 就是用量倍增
[16:26] 加上说它这个所谓的
[16:28] 涨价的一个
[16:30] 等于是从铝制电容
[16:33] 板制电容
[16:34] MLCC
[16:35] 几乎都动了
[16:36] 所以代表说
[16:37] 被动元件涨以后
[16:38] 龙头就是一个重点
[16:40] 这个等于是
[16:42] 国巨
[16:43] 国巨
[16:43] 它已经
[16:44] 今年又几乎创高
[16:47] 几乎
[16:47] 对 还没有
[16:48] 几乎创高
[16:48] 但是也来到300了
[16:50] 有打过一次
[16:51] 所以我倒觉得说
[16:52] 如果以这样来讲
[16:53] 就是被动语言相关的
[16:54] 这些比较
[16:56] 我们讲说
[16:57] 股本比较小的这些族群
[16:58] 你会发现
[16:59] 今天很多都非常强
[17:01] 很多都直接开门就锁涨停
[17:04] 所以我倒觉得说
[17:05] 还是可以从里面
[17:06] 去找到一些关联性
[17:08] 因为今天还有像
[17:10] 我注意很久很久的
[17:11] 时音元件
[17:12] 我刚才还跟云翔哥说
[17:14] 幸好我是一个
[17:15] 有时候可以抱很久的人
[17:17] 其实也没多久
[17:18] 四五个月对不对
[17:19] 像这个石英元件的龙头经济
[17:21] 其实因为那时候就知道说
[17:22] 他们也算是
[17:23] 那时候跌到80吧
[17:25] 以殖利率来说已经非常好了
[17:27] 但是他一样也是在所谓的AI里面
[17:30] 大家会有点半信半疑说
[17:31] 会用到很多石英元件吗
[17:33] 会涨价升级吗
[17:35] 被动元件也是
[17:36] 一开始大家会觉得
[17:37] 会涨价升级吗
[17:38] 虽然一开始从什么
[17:39] 淡值电容要涨
[17:40] 可能那时候就说
[17:42] 只有国具转投资的
[17:43] 有这个淡值电容
[17:44] 可后来有听到像电感
[17:46] MLCC都有涨的情况下
[17:48] 至少被动元件在涨价提材
[17:50] 应该明明就是有
[17:52] 可是股性却非常非常的差
[17:54] 一直在落后的状况
[17:56] 那十一元件
[17:57] 这边也跟大家报告
[17:57] 就是他们可能不见得有
[18:00] 所谓的什么大幅升级
[18:02] 可是用量提升跟涨价是有的
[18:05] 只是看他们族群比较小一点
[18:08] 所以看市场上
[18:09] 什么时候来留意这族群
[18:10] 但我们应该可以先看到
[18:11] 所谓被动元件的部分
[18:12] 对因为被动元件
[18:13] 刚刚也提到一个重点
[18:15] 就是说
[18:15] 其实被动元件
[18:16] 以前大家认为说
[18:17] 因為他是毛利低的一個族群
[18:19] 也沒有很低
[18:20] 他沒有很高
[18:22] 像有一隻像2428嘛
[18:25] 那個辛勤對不對
[18:28] 辛勤
[18:29] 熱敏店主
[18:29] 他是做對他是熱敏店主
[18:31] 他是做等於是保護元件
[18:33] 那保護元件裡面你看他的最大的一個
[18:36] 一個供應給誰
[18:37] 台達電
[18:38] 台達電800V800V的這個高壓子流這一塊
[18:42] 等同我大概有看一個數據就說
[18:45] 因為一個AI伺服器
[18:46] 他可能要用到這樣的一個相關的材料
[18:50] 他搞不好就要賺300塊美金
[18:52] 對 所以對他來講他的這個毛利大概
[18:55] 估值啦 就是2027年的估值就有到41.1%
[19:00] 2026的估值是大概40%左右
[19:02] 所以以這樣的情況下看來
[19:04] 就是說 欸 毛利還是很高啊
[19:06] 所以估可能說EPS可能估到14塊多
[19:09] 股價可能才這個100多塊等於是大概本益比17倍所以變成說目前看起來就很多像這個立龍電影室它等於是EPS十幾塊
[19:20] 然後本來還一直有走在100塊左右
[19:23] 突然間就噴起來
[19:25] 那我倒覺得說
[19:26] 可以去找一些相關
[19:27] 就是說其他毛利還不錯
[19:29] 對不對
[19:30] 然後它的這個所謂的
[19:32] 未來一兩年
[19:33] 在真的AI伺服器裡面
[19:34] 運用還不錯
[19:35] 蠻多的
[19:37] 那我覺得說
[19:38] 它的一个机会点也会蛮大的
[19:41] 所以这一次被动元件是不是涨真的呢
[19:44] 个人觉得会比较真
[19:46] 因为我觉得它会呼应到
[19:49] 有一些市场的资金大户
[19:51] 我不晓得大家有没有记得
[19:53] 我们前几天有讲
[19:53] 虽然还在半信半疑当中
[19:55] 但可以看得出来
[19:56] 因为中小型股一直都还蛮热的
[19:58] 所以看来那一支大户
[20:00] 是没有要放过这一波的
[20:02] 那被动元件肯定它一定有这样题材之外
[20:05] 被动元件有一个好处
[20:06] 刚刚讲到新型它的获利是非常好
[20:08] 其实大部分的被动元件都有赚钱
[20:11] 我觉得这件事情是
[20:12] 他们很可贵的一个特质
[20:14] 赚多赚少而已
[20:15] 那也有人赚七八九块
[20:17] 都有哦
[20:18] 其实都有
[20:19] 国巨其实也算蛮赚钱的
[20:20] 应该是十来块
[20:21] 所以这个礼拜国巨的法说
[20:23] 跟他的年报会结出来的资讯
[20:26] 就变得非常重要
[20:27] 如果他非常肯定被动元件的
[20:29] 整个涨价趋势的话
[20:30] 那这些有赚钱的被动元件公司
[20:33] 其实我觉得个人觉得蛮有机会
[20:35] 因为并不是不赚钱
[20:36] 还蛮赚钱
[20:37] 所以也不止被动元件
[20:40] 你发现其实在台积电门
[20:43] 这一块也是非常强
[20:45] 但这边我想问您
[20:46] 就是台积电门
[20:48] 这礼拜有法说
[20:49] 但台积电门真的很夸张
[20:51] 像君华今天又一根掌平板
[20:53] 快两千块钱是怎么回事
[20:55] 所以台积电门
[20:57] 有没有可能在台积电法说前
[21:00] 有一点点反而叫利多出尽的问题
[21:02] 还是还好
[21:03] 他现在比如说
[21:04] 上次我们还有提到
[21:06] 等于是在未来两年的估值
[21:08] 它的资本支出可能达到超过900亿美金
[21:11] 也就是你想说
[21:13] 两年要有三兆台币的投入
[21:18] 当然对这些设备股来讲
[21:19] 它就有一个激励作用
[21:21] 所以我倒觉得说
[21:22] 其实这个已经
[21:24] 我们讲说
[21:25] 已经把这个利多先公布情况下
[21:29] 我倒觉得说法说后
[21:30] 其实要再喷的机会
[21:32] 我觉得倒会比较
[21:35] 没有那么强烈
[21:36] 因为数字已经有估值一个这样
[21:39] 除非说那个估值
[21:40] 可能又破千亿
[21:42] 那不一样
[21:42] 那倒觉得说
[21:44] 其实在有一些比较落后一点
[21:46] 其实现在比较落后
[21:47] 我觉得还是风策
[21:48] 还是风策
[21:49] 因为风策跟被动元件
[21:50] 有一点像是
[21:51] 他们其实获利都不错
[21:53] 对
[21:53] 可是却长期本一笔偏低
[21:55] 因为你设备需求
[21:57] 你发现说
[21:57] 设备需求这么大
[21:58] 那也代表说
[22:00] 风策厂
[22:01] 他的资本数也很大
[22:02] 所以最后光明
[22:03] 今天又创高
[22:05] 云翔哥以前很常讲
[22:06] 一直不知道他大没有印象
[22:07] 就是台新科
[22:08] 系格的子公司
[22:09] 今天也是一样
[22:10] 台新科我们那时候讲
[22:12] 大概进行100
[22:13] 100左右
[22:14] 那现在已经到170
[22:17] 对170几
[22:18] 所以台新科跟系格
[22:20] 他是母子公司
[22:22] 这两次基本上都一直在创高
[22:23] 齐邦
[22:24] 对对
[22:24] 最标的是齐邦
[22:26] 所以我觉得相对应
[22:28] 就是比较久一点的
[22:31] 就是横盘一点的
[22:33] 我觉得历程是有机会的
[22:35] 但历程是不是有一点点
[22:36] 被记忆体最近的行情拖到
[22:38] 因为最近记忆体说实话
[22:40] 一直预证乏力
[22:41] 今天也是同样的情形
[22:43] 可是我觉得说
[22:44] 可能要去关注一下
[22:45] 历程虽然说在这个
[22:47] 就记忆体这一块
[22:49] 大家觉得说会不会有被拖累
[22:51] 可是真实你看就是说
[22:53] 在记忆体这一块
[22:54] 未来有机会真的会赚到钱
[22:57] 可能大家會講說跟著美光走HBM這一塊
[23:01] 所以現在美光一直在
[23:03] 資本支出在這一塊
[23:04] 現在唯有台灣就是立成
[23:07] 所以立成跟美光合作在HBM這一塊
[23:11] 是有比較大的一個投入
[23:13] 所以我覺得說後續來講
[23:15] 這個天春還是大家對他估值很好
[23:17] 所以甚至估到是2027年的估值
[23:21] 是接近21塊多
[23:23] EPA是21塊多
[23:25] 这里有这个
[23:26] 第一应该是估出来的
[23:28] 是一块多
[23:28] 所以2026年估值
[23:30] 也到大概将近15块左右
[23:33] 所以我倒觉得说
[23:34] 这一块基本上
[23:36] 可能大家去看一下
[23:37] 就是说
[23:38] 虽然是有记忆体这一块
[23:39] 可它还是有它HBM
[23:41] 这一块的未来性
[23:42] 我可以理解
[23:44] 为什么今天云翔哥
[23:45] 会减了比较多
[23:46] 因为像刚刚讲到
[23:48] 不管是被动元件
[23:49] 我们又把理由讲了
[23:50] 就是这一波
[23:51] 如果内资主力
[23:52] 想要继续做下去的话
[23:53] 它应该会是一个
[23:54] 很好的选择
[23:55] 对不对
[23:55] 封测也是
[23:56] 那历程
[23:58] 我虽然刚刚嘴巴上讲说
[23:59] 他应该是有点
[24:00] 被记忆体的气氛拖到
[24:01] 但大家不要忘记
[24:02] 他其实跌了一段时间
[24:04] 就是记忆体在涨的时候
[24:05] 他已经开始休息了
[24:07] 他从200%下来
[24:07] 对他就已经休息了
[24:08] 那现在记忆体在休息
[24:10] 可是照理来说
[24:11] 对不对
[24:12] 如果说
[24:13] 今天连成熟制成
[24:14] 都可以涨的话
[24:15] 那他没有理由不涨的
[24:17] 为什么
[24:17] 因为他就是
[24:18] 阶单阶得满满满
[24:19] 我管你今天
[24:20] 记忆体上游的经历
[24:22] 或是你的库存
[24:23] 会不会因为价格的波动
