[00:00] 欢迎收听赵华谊古货载第1130集
[09:13] 但是我也觉得有一个评价的上线天花板
[09:17] 就是以前在节目当中也分享过
[09:19] 比如说南亚科的本益比再怎么高
[09:22] 我觉得不应该高过于美光
[09:24] 那同样的道理
[09:26] 华邦电 旺宏 力基电
[09:28] 我想都是类似的情况
[09:29] 因为毕竟我们姑且不是说
[09:33] 好像国内的记忆体比较像是在赚机会财
[09:36] 那这个当然也不是说贬低他们的本身的竞争力
[09:39] 但事实上当然现在因为AI时代
[09:41] 最稀缺的战略资源
[09:44] 是在于高频宽记忆体HBA
[09:46] 国内其实没有真正直接吃到这一块商机
[09:49] 而是用现在的产能去填补
[09:52] 可能DDR5 DDR4这个市场
[09:55] 当然这个市场的报价漂亮
[09:57] 现货价格飙涨之后
[09:59] 带动合约价也飙涨
[10:01] 所以他们的毛利率也快速的扩张
[10:04] 可是在未来如果说
[10:05] 以重要的战略地位来讲
[10:07] 那个稀缺性
[10:08] 我觉得还是比不上HPM
[10:10] 所以其实看起来就是
[10:11] 评价会也遇到了一个上限的瓶颈了
[10:14] 好 评价上限瓶颈
[10:16] 这个各自考量
[10:19] 对不对
[10:19] 如果您相信投信
[10:20] 他一直买
[10:21] 业绩又很好
[10:22] 因为现在如果开始要结
[10:23] 所谓的六月营收
[10:25] 还有所谓的第二季的季报
[10:26] 应该他们都还是非常厉害的族群
[10:28] 不过他们可能就会呈现一个波浪状
[10:31] 因为长久了
[10:32] 筹码比较乱了
[10:33] 以及刚刚讲到的
[10:34] 也许你要跟国际大厂做一下比较
[10:36] 所以我们也有来宾
[10:37] 你有提到說這麼喜歡記憶體就直接去買美光
[10:40] 就直接去買韓國的記憶體
[10:43] 也是一種方法
[10:44] 確實對好那我們回到盤面上其實我自己個人覺得主規動還有行情之外细金园我真的也是觉得蛮有趣的因为细金园虽然环球金有创新高今天中美金创历史新高
[10:55] 可是以位阶来说
[10:57] 都不算是非常高角度
[11:00] 对以位阶来说
[11:01] 都是离他们的前高不算太远的地方
[11:03] 尤其是环球金花了非常多力气
[11:06] 大家去看
[11:06] 把那个环球金的线图打开
[11:08] 你就知道他这次回到1000块以上
[11:10] 是花了多大的一个很久很久的时间
[11:13] 才回来的
[11:14] 那细金园确实也在一个
[11:16] 涨价升级的题材里面
[11:18] 对不对
[11:18] 它是比较后段的
[11:19] 所以我觉得到了下半年了
[11:21] 如果从去年到现在
[11:23] 已经起涨一整年的
[11:24] 没有经过回档修正的
[11:27] 就不一定能够会用
[11:29] 过去那样子
[11:30] 涨四五倍的方式在涨
[11:31] 可是如果是新的
[11:33] 就今年的涨价题材
[11:34] 刚开始发酵的
[11:35] 我觉得它的接棒延续率
[11:37] 会比较强
[11:38] 不晓得威良的想法是
[11:40] 确实
[11:41] 因为细金园的产业逻辑上面
[11:43] 它主要就是跟在两个产业的后面
[11:46] 一个就是晶圆代工
[11:48] 一个就是记忆体
[11:50] 所以当我们看到台积电的先进制程
[11:53] 产能被预定一空要涨价
[11:56] 然后成熟制程的世界先进联电也跟进涨价
[12:00] 这就告诉你
[12:01] 其实细晶圆的第一只春燕就飞来了
[12:05] 第二只春燕当然就是记忆体了
[12:07] 上一次其实在2016到2018年的时候
[12:11] 也有过这样子的一个产业循环的逻辑
[12:14] 就是记忆体上去
[12:15] 然后就带动了细晶圆
[12:17] 那细晶圆往往它的一个复苏跟成长的进度
[12:22] 差不多会落后记忆体
[12:24] 大概两季左右
[12:25] 所以配合刚刚所讲的
[12:28] 这个记忆体从去年的大约此时开始起涨
[12:31] 所以刚好涨了周年
[12:33] 那所以你有没有发现
[12:34] 大概差不多就是在去年底今年初的时候
[12:37] 细晶圆也开始慢慢的垫高上来
[12:40] 当然近期就是属于一个加速度的上涨了
[12:42] 所以其实从产业的一个
[12:44] 跟进的角度来讲
[12:46] 我觉得有的时候
[12:47] 大家如果真的错过了前面的晶圆代工联店
[12:50] 或者说错过了记忆体相关的个股
[12:53] 那这个时候去留意细晶圆
[12:55] 其实当然是还有肉可以吃
[12:58] 那今天刚好呢
[12:59] 国内法人凯基投顾也出了一篇报告
[13:02] 就指出呢
[13:03] 细晶圆就是要迎接下一个超级循环来的
[13:07] 现在都超级循环
[13:08] Super Psycho
[13:09] 对
[13:10] 那这个就代表说
[13:12] 也看到就是说
[13:13] 跟过去类似的一个产业逻辑
[13:16] 又再一次的复刻
[13:17] 而且这一次的力道绝对是更强
[13:20] 因为既然记忆体
[13:21] 现在的一个涨价的动能
[13:23] 这个远比过去任何一次
[13:25] 报价上涨的空间
[13:26] 还要来得更凶悍更强大
[13:29] 那这一次细金元
[13:30] 当然跟进的一个上涨的空间
[13:33] 我想不管是涨价的力道
[13:35] 或者是说持续的时间
[13:36] 应该都会更值得期待
[13:38] 那当然常常说这个系经员
[13:40] 要选股说难其实也不难
[13:43] 因为最主要的
[13:45] 最主要来讲
[13:45] 其实是三家公司
[13:46] 对因为我俩有在打人秀
[13:48] 很仔细的讲过三家公司的差异
[13:51] 老大就是环球金
[13:52] 最活泼的就是合金
[13:54] 那最中规中矩的叫台胜科
[13:57] 有父爸爸父妈妈撑腰的
[13:59] 因为他是台数跟日本的三口
[14:02] 联手转投资的
[14:04] 所以其实主要是这三家
[14:06] 那我通常是不太会把汉磊家金拉进来
[14:09] 他们可能会比较更偏向
[14:11] 因为毕竟他的细金元是在六寸以下
[14:14] 那另外就是可能会比较归类为在
[14:16] 碳化矽啊
[14:17] 碳化钾是所谓第三代半导体
[14:19] 对对对
[14:20] 可能稍微比较不一样
[14:22] 但是当然
[14:22] 因为大家如果只有
[14:24] 捞来捞去三浪股票可以买的时候
[14:25] 通常可能这个市场的资金买盘
[14:28] 没办法满足了
[14:29] 就会外溢扩散
[14:31] 但如果真的要扩散
[14:32] 让我选三雄之外的第四档
[14:34] 当然就是环球金
[14:35] 他妈妈啦
[14:36] 中美金
[14:37] 没错
[14:37] 所以今天也涨停板
[14:38] 大家也比较买得下手
[14:40] 200块以内
[14:41] 对
[14:41] 那因为其实
[14:42] 当然长远来看
[14:43] 中美金
[14:44] 它还是有那个太阳能
[14:46] 这个营运事业部的包袱存在啦
[14:49] 不过这一块
[14:49] 当然慢慢慢慢的
[14:51] 就是逐年一直在降低这个比重
[14:52] 所以现在它也慢慢
[14:53] 就是提高
[14:55] 对于半导体产业上面
[14:57] 可以认列的一个营收比重
[14:59] 所以看起来呢
[15:00] 如果中美金市场能够
[15:02] 大家觉得说
[15:02] 它甩掉以前一些
[15:04] 比较负面的包袱的话
[15:05] 它长期其实它的股价跟市值
[15:08] 确实是一直都被低估的
[15:10] 因为我们知道
[15:10] 它持有环球金的股票比重
[15:13] 就将近一半
[15:14] 大概46 47%
[15:16] 所以其实如果按照
[15:18] 中美金光是持有环球金的股票市值来看
[15:22] 就已经超过它自己本身的市值了
[15:24] 当然我知道
[15:25] 对股票有长期在研究追踪
[15:27] 对于这样子的题材
[15:29] 大概不是只有今年
[15:30] 因为早在10年前
[15:32] 它就是这个样子
[15:33] 也就是说十几年下来
[15:35] 中美金持有环球性的价值
[15:37] 一直都超过它自己的价值
[15:38] 只是说市场就是没有办法
[15:40] 对它给予一个比较高的评价水准
[15:43] 所以我刚才强调
[15:44] 就要看它的太阳能的亏损的包袱
[15:48] 能不能甩掉
[15:48] 如果甩开的话
[15:49] 市场认同中美金现在就是一个半导体公司的话
[15:53] 那评价当然就有机会在长期来讲
[15:56] 大幅度提升
[15:57] 评价是个很微妙的事情
[15:59] 对
[15:59] 说要提升就马上提升
[16:01] 对不对
[16:01] 即使获利没有改变
[16:03] 举一个最简单的例子
[16:05] 联发客
[16:05] 发哥在那时候一路落难
[16:09] 跌到一千出头块钱
[16:11] 一千四五百块钱的时候
[16:12] 大家就说因为今年的发哥
[16:15] 获利不会比去年更好了
[16:17] 那也会觉得在ASIC
[16:19] 或者是跟AI相关的进展上
[16:21] 可能要明后年才会有成绩
[16:22] 但后来一篇的外资报告
[16:24] 就颠覆了这件事情
[16:25] 以及发哥自己在法说会上面
[16:26] 讲到他ASIC的成果
[16:29] 会比大家想象到
[16:30] 今年就有营收进来等等的
[16:32] 一下子你就可以从1500块
[16:33] 变成5000块的公司
[16:35] 这种就是评价
[16:36] 即使你明明在最近
[16:38] 不会有任何营收上的改变
[16:40] 可是评价改变
[16:41] 中美金也在等这样的机会
[16:43] 刚刚讲到
[16:44] 它持有的子公司
[16:45] 其实大家都陆陆续续是有赚钱的
[16:47] 环球金是最大一块
[16:49] 你说什么鹏城
[16:50] 虽然鹏城最近好像没有跟着
[16:52] 整体二集体算飞得比较高
[16:54] 可是它也算稳定获利的公司
[16:55] 它这些旗下公司加起来
[16:58] 明明就整体价值远远超过中美金
[17:01] 他应该呈现的股价
[17:02] 可是因为那是子公司
[17:04] 大家还是有时候蛮严苛的
[17:05] 不是你自己赚的
[17:06] 要是今天全部都是中美金
[17:08] 你自己赚
[17:08] 那评价肯定不一样
[17:09] 可是有时候一个转念
[17:11] 一个转念就是
[17:12] 不会啊
[17:13] 他现在有这些子公司超级棒
[17:14] 他自己本业如果亏损
[17:16] 就刚刚讲太阳能的部分
[17:17] 如果没有那么占拖累的话
[17:19] 忽然之间评价大翻身
[17:21] 那很可怕
[17:22] 因为他的本益比一直都不是太高
[17:24] 那如果一下评价大翻身
[17:26] 对于明后年的期待
[17:27] 突然有人出了一个
[17:28] 让你觉得
[17:29] 你先不要管
[17:30] 它会不会实现的报告
[17:32] 那可能就不一样
[17:33] 现在确实坊间充满了很多
[17:36] 我们没有办法预期
[17:37] 会不会实现的报告
[17:38] 这个是真的
[17:39] 就是例如说
[17:41] 有人说后年发哥
[17:42] 可以赚到EPS400
[17:43] 我真的不知道
[17:44] 我必须讲
[17:45] 就是跑了那么久
[17:47] 一段时间的半导体
[17:48] 我知道大家会爆发性成长
[17:51] 可是我会觉得
[17:52] 我自己都不知道
[17:53] 这个利润
[17:54] 有没有可能成真
[17:56] 所以现在你去说台股的本益比
[17:58] 好像没有到很高
[18:00] 或说以未来来说
[18:01] 但很难讲
[18:03] 对
[18:04] 因为现在看起来对于明后年
[18:06] 为了把这些
[18:06] 看起来涨了好几倍的股价
[18:09] 变得合理
[18:10] 大家的预估真的都非常乐观
[18:12] 都有点让我不太知道
[18:14] 他们的利润基础是什么
[18:16] 有一些报告说真的
[18:17] 没错
[18:17] 赵华就是有经验
[18:19] 其实我也曾经在股货仔节目聊到过
[18:22] 比方说
[18:23] 3081联亚
[18:25] 它的市场最高目标价是5000
[18:27] 这个是根据2029年的预估EPS
[18:32] 这个应该是目前算是最夸张的
[18:35] 我所讲的最夸张不是指目标价
[18:37] 而是直接拿到大后年的EPS
[18:40] 所以这个时候真的是让人匪夷所思
[18:44] 或许公司有一定的技术实力
[18:46] 这个当然是毋庸置疑
[18:48] 不过我有时候怀疑
[18:50] 讲到两三年后赚多少钱
[18:52] 恐怕连公司老板自己都不知道
[18:54] 因为科技股
[18:56] 科技产业
[18:57] 其实就是瞬息万变
[18:59] 有的时候呢
[19:00] 可能连下一季都可能
[19:02] 翻天覆地的改变了
[19:04] 就像我想不久前
[19:06] 大家在期待这个CPU
[19:08] 结果后来发现呢
[19:09] 可能又会呢
[19:10] 面临到一些技术上面的
[19:12] 一个替换革新等等
[19:13] 那这个本来就是
[19:15] 科技在发展创新的过程当中
[19:18] 它会不断的就是
[19:19] trying arrow
[19:20] 就是去尝试
[19:21] 对而且对很多的大厂
[19:23] 对辉达
[19:23] 对台积电来说
[19:24] 他往往都不是去单压重压
[19:27] 一个解决方案
[19:28] 而是我可能同时
[19:30] 我有好几个team
[19:31] 那在同时间开发呢
[19:33] 两种三种技术
[19:34] 那未来可能就是比良率
[19:37] 比成本效益等等
[19:38] 所以这个部分本来就是
[19:40] 可能有一些期待跟想象
[19:42] 但是如果回归到
[19:43] 我们要评估一档股票
[19:45] 真的是在做功课研究的话
[19:47] 我觉得啦
[19:48] 大家当然要去多看法人报告
[19:50] 但是呢就是根据2027
[19:52] 就是明年度
[19:53] 下个年度的EPS来当作参考就可以
[19:56] 但是如果是讲到2028或2029
[19:59] 那我会觉得就是纯欣赏就好
[20:02] 好
[20:03] 它就是一个业界找原因
[20:05] 像CPU
[20:06] 那既然你讲到CPU
[20:07] 等一下也来聊一下
[20:08] 因为最近真的算是跌得蛮惨的
[20:10] CPU
[20:11] 他们如果估到27 28 29
[20:14] 其实我觉得参考性真的很低
[20:16] 原因是都还在市产
[20:19] 或是送样的阶段
[20:20] 台湾的CPU厂商
[20:22] 原本的光通讯模组
[20:24] 传统的是真的有人在获利
[20:27] 我们最常举例
[20:28] 就是像光圣这样的公司
[20:29] 对不对
[20:29] 可以赚一个资本额以上
[20:31] 真的你说
[20:32] 台股能赚一个资本额
[20:33] 就真的还不错啊
[20:34] 当然在这个AI时代
[20:36] 很多人的营收大喷涨的时候
[20:38] 也许一个资本额
[20:38] 已经不算是非常厉害
[20:39] 但在产业里面
[20:41] 它算是真的不错了
[20:42] 但这是传统的
[20:43] 用传统的当一个base
[20:45] 我有赚钱
[20:46] 我就发展新的
[20:47] 所谓细光子
[20:48] 或者共同先进光学封装的技术
[20:51] 那但是那一块技术还没有来
[20:53] 甚至有人会吵
[20:54] 等你去做那一块
[20:55] 你原本的光插拔就没了
[20:56] 先不用扯这么多
[20:59] 那这样的东西要怎么样
[21:01] 要有一个势头
[21:02] 就是先不论外资那只鞋的报告
[21:05] 到2028 2029合理不合理
[21:07] 可是我今天头心一起拱
[21:09] 外资也愿意买
[21:10] 大家因为之前大摩也很看好过
[21:12] 那个上泉啊
[21:13] 还特地到那个台积电的法说
[21:15] 大摩的那个分析师
[21:16] 还特地一直在追问CPU的进度
[21:19] 因为当时我记得上泉好像两三百
[21:21] 他出了一个600的报告
[21:22] 对
[21:22] 所以当他愿意拱的时候
[21:24] 就开始通通会一起
[21:26] 那有势头
[21:27] 又有前景
[21:28] 又有新技术的时候
[21:29] 那就是去支撑这个族群
[21:31] 可以一起往上走
[21:32] 甚至头信的买盘
[21:33] 就会陆续的进来嘛那现在大家可以看到他现在就是有一点点你不能说是过街老鼠但是只要有一些坏消息你看它头信每一家我刚刚打开主要的那些CPU不论什么光圣上全联亚
[21:44] 什么的
[21:44] 全部的头信都连卖连卖连卖连卖
[21:46] 恨不得卖到手上都没有为止
[21:48] 然后又出现了康宁
[21:50] 说他有一个新的玻璃桥接技术
[21:52] 可能2030年可以出来
[21:54] 就不用什么传统FAU这个技术了
[21:57] 可能技术要二选一之类的
[21:59] 我们都不是技术达人
[22:00] 但是就像刚刚威良讲的
[22:03] 他在这中间一定会不断地尝试
[22:05] 看哪一种最好
[22:06] 那大厂也不会单押一种技术
[22:08] 所以这中间有利空出来的时候
[22:10] 如果今天筹码信心很足
[22:12] 也许利空都打不倒
[22:13] 可是因为现在筹码就是在弃守
[22:15] 所以这个族群
[22:16] 加上获利不足以支撑
[22:18] 他的本益比的时候
[22:19] 他就会比较辛苦一点
[22:20] 对他就会比较辛苦一点
[22:22] 那你说公率被动系金援
[22:25] 那他们就很合理吗
[22:26] 我不敢说他们叫做很合理
[22:29] 可是你可以看到势头就在他们身上
[22:31] 那势头在他们身上
[22:32] 又真的在发涨价函
[22:34] 那你就知道说
[22:35] 那大家对于明后年
[22:36] 他在涨价啊
[22:38] 他是真的有获利
[22:39] 获利可能会再更好啊
[22:40] 你就姑且信之
[22:41] 我觉得现在是在一个
[22:43] 这样的气氛里面
[22:44] 所以回到CPU
[22:45] 到底手上有CPU
[22:46] 或是一直在旁边看
[22:48] 你想要去逢低
[22:49] 介入CPU的朋友
[22:50] 要怎么来做
[22:51] 我会建议啦
[22:52] 其实就先以呢
[22:54] 技术面跟筹码面当做
[22:56] 要不要续报与否的
[22:58] 最主要依据
[22:59] 因为呢
[23:00] 讲到所有的明后年的
[23:02] 基本面的预测
[23:04] 我觉得那个还是有一点
[23:05] 虚无缥缈
[23:06] 就是有一些很好的机会
[23:08] 潜在的商机存在
[23:10] 那也有很厉害的技术实力
[23:12] 但是毕竟呢
[23:13] 现在就是引用刚才赵华讲的嘛
[23:16] 市场的势头啦
[23:17] 或者说这所谓的氛围
[23:19] 跟可能三个月前
[23:21] 就是不一样了
[23:22] 所以那时候大家可以接受
[23:23] 一起来期待
[23:25] 想象一下明后年爆发的业绩有多高
[23:28] 但是现在呢
[23:29] 大家就要看到
[23:30] 可能就是拿出真金白银的EPS了
[23:33] 所以其实很简单
[23:34] 我觉得也不是所有的光通讯的股票
[23:37] 全挂了全倒了
[23:39] 而是就是月线季线
[23:41] 是不是呢
[23:42] 在脚底下
[23:43] 或者是呢
[23:44] 变成已经是盖头的压力
[23:46] 这个就是第一个强弱分水里
[23:48] 避开呢
[23:49] 或者停损那些呢
[23:50] 已经跌破月季线的
[23:52] 那续报的就是呢
[23:54] 站在月季线之上的
[23:55] 那另外呢
[23:56] 就是如果先前是因为呢
[23:57] 跟着投信
[23:59] 那我觉得我们常常说
[24:00] 就是你跟法人就不要跟半套
[24:04] 对
[24:04] 包括刚才其实聊到
[24:06] 我想延伸就是说
[24:07] 记忆体也是
[24:08] 就是说法人他也不会把
[24:10] 虽然他们有买记忆体
[24:11] 但投信他不会
[24:13] 所有的持股打开只有记忆体
[24:15] 他可能也有些PCB
[24:16] 也有些被动元件
[24:18] 所以当记忆体万一不好的时候
[24:19] 对他的冲击就不会那么样的集中
[24:22] 不会是一记KO的重拳
[24:25] 所以第一个当然就是说
[24:26] 族群要适度的分散
[24:28] 适度的
[24:29] 那第二个如果当时法人买
[24:31] 那他现在也发现苗头不对了
[24:33] 或者说基于资金效率考量
[24:34] 他也先卖一趟
[24:35] 那这个时候我觉得
[24:37] 我们既然敢跟他进
[24:39] 也要有勇气跟着他出
[24:41] 好因为这个
[24:43] 真的一退场
[24:45] 那个蝶市
[24:46] 真的不是像我讲说ETF
