[00:00] 歡迎收聽《照華語古惑》載地1176集,今天是2026年的9月3號。
[06:07] 對,因為那就跟你的資金動能有關係嘛,因為你的資金動能如果反轉了,那你後面的東西它就有一口氣全部帶動的一個效果。
[06:16] 可是呢,今天我想要跟投資朋友講的就是另外一個故事了,現在的資金動能正在往下走。
[06:25] 我今天其實跟古瑜在錄音前,我就先問他這個事情,因為我記得有一年啦,就是第一顆紅燈的時候,古瑜就有提醒說,雖然只是第一顆,
[06:35] 可是因為看到市場上的資金動能不太夠,所以要我們注意,但這一波股語的想法是不一樣的,是認為這一波的資金動能真的非常強勁,所以才會覺得在狹帶著我們在這個上市櫃公司的營收外交訂單都非常非常厲害,所以開到第八顆後面應該還有。
[06:51] 而且在這個過程中,其實資金都一直非常充沛,不過我們有一些隱憂,例如說那時候換這個Bower要換滑雪的時候,
[07:01] 事實上我們就有發現,美國政府從市場購債的那個舉動,就是已經有減緩了。
[07:08] 就是說它減少對市場放錢,來取代這個升息的可能性。
[07:15] 那現在就已經變成從3月每一站打到現在,沒有辦法結束的情況下,9月有可能升息。
[07:22] 而且剛剛跟這個古瑜在講,日央要升息,由於它的背景原因。
[07:27] 然後歐央、澳央都升息,對不對?
[07:30] 所以全世界竟然進入到了一個升息環境,甚至有人說台灣央行是不是也可能要考慮升息的一個情形。
[07:38] 所以資金動能你還觀察到什麼?
[07:40] 其實我們看資金動能最簡單的話就是看M1B的指數。
[07:45] M1B的指數它其實代表的是說你現在放在活儲戶頭裡面去,隨時動用可以拿來做投資的錢。
[07:56] 到底它是呈現增加的趨勢還是屬於減少的一個趨勢?
[08:02] 因為我們在過去股票市場很熱的時候,投資朋友會去做什麼事情?
[08:08] 一個要嘛去解定存,一個要嘛把它的保單解掉,然後把錢拿回來,要嘛你去做值借。
[08:16] 那你這些錢如果你要去做股票市場的投資,你會再把它做定存嗎?
[08:21] 不可能嘛,你一定會放在你的活儲戶頭裡面去嘛。
[08:24] 所以我們常常會觀察說活出戶頭的錢有沒有在增加?
[08:28] 如果活出的錢一直在往上做增加的話,就代表現在市場能夠拿來放到股票市場的錢,也會跟著同步往上來做一個提升。
[08:39] 而這個資金的動一旦往上的時候,你也知道嘛,台灣能夠投資的標的又不多,對不對?大概就兩個嘛,要嘛股票市場,要嘛是房地產。
[08:49] 現在房地產相對來講在央行的管制之下,它的流通性變得比較差了。
[08:55] 這時候錢會往哪裡走?
[08:58] 股市。
[08:59] 當然全部都衝到股票市場裡面去了。
[09:02] 所以這就是造就了我們這一波股票市場融緊的一個非常重要的因素。
[09:08] 錢沒有辦法到房地產去,就全部湧到股票市場裡面來。
[09:13] 打房入股。
[09:14] 對,打房入股,然後股市一路上漲的過程當中,又帶動了更多的資金往裡面去做投入。
[09:23] 可是呢,我們也發現到一個很有趣的現象。
[09:26] 什麼現象?
[09:26] 就是呢,央行雖然他的嘴巴沒有說他要升息,可是呢,他已經找了很多單位去喝咖啡了嘛。
[09:34] 對不對?他有找銀行喝過咖啡啊。
[09:38] 他也有去跟政企局那邊也喝了一點咖啡啦。
[09:42] 喝什麼啦?
[09:43] 然後證券商那邊也喝了一點咖啡嘛,對不對?
[09:47] 然後這些你知道嗎?這些單位啊,喝完咖啡之後呢,他們都做了一件很有趣的事情。
[09:52] 怎麼樣?
[09:53] 銀行那邊,他現在呢,你要掛勢的利率變高了。
[10:00] 確實,還有像直接利率不斷提高。
[10:04] 對,你要做抵押貸款啊,或是理財性貸款啊,利率提高,額度變小。
[10:10] 然後在券商那邊的話也發生了另外一件事情
[10:14] 你今天去借不限用途的資金通常都是一年一月一年一月
[10:19] 可是現在你有沒有發現到一個很有趣的現象
[10:23] 時間到了要續約是不是?不好意思
[10:26] 之前的條件不算數,重議
[10:30] 我有遇到聽眾朋友還真的有回饋我這件事情
[10:34] 因為例如說以前有人買再訓行的商品
[10:38] 他會覺得第一跟他的房貸利率可以做一個套利價差
[10:41] 然後再來的話他可能會再拿去做值借
[10:44] 就是雙重槓桿
[10:46] 但他說後來時間到了要再去做值壓的時候
[10:49] 利率大幅調高
[10:51] 沒有辦法用原條件再來談
[10:53] 而且態度很硬
[10:54] 所以他就說哇
[10:56] 那那個套利空間就變得很稀薄
[10:58] 就是再槓桿的空間變得很稀薄
[11:01] 所以就借不下去了
[11:02] 應該說就壓不下去了
[11:04] 那不只是利率提高
[11:06] 你的額度也變相的縮水了。
[11:09] 額度也縮水,對。
[11:10] 對,所以你看喔,這些動作後面都在跟我們講相同的一個故事。
[11:16] 就是呢,現在我們的政府的單位要把資金的槓桿做一個回收的動作。而呢動作,而資金槓桿回收力度到底強不強,其實也就反映在N1B的數字上。
[11:30] 所以投資朋友如果有興趣,你可以到央行官網查一下N1B目前的狀況,你一定會發現N1B目前正出現逐月下降的趨勢。
[11:44] 所以這個趨勢的話,如果繼續往下走,就回到我剛剛前面跟你講的那一句話嘛,人是英雄錢是膽嘛,你的錢被收走了,你的膽子還會大嘛。
[11:55] 所以我們在景氣的燈號還在維持熱絡的一個同時,店要景氣這件事情,現在資金的動能有下滑的一個跡象,所以在投資的過程中保持樂觀,但是千萬不要過度樂觀了。
[12:11] 因為錢被收到某個程度之後,市場的震盪是很容易變得非常激烈的。
[12:17] 這是我們在投資的過程中必須要注意的一個地方。
[12:20] 因為如果從所謂的產業發展,或者從目前為止我們拿到的數據,上市櫃公司的營收動能、外銷訂單,都是非常非常非常熱的。
[12:34] 甚至就可以說是可能近二三十年來沒有看過的一個榮景的一個狀態。
[12:39] 但因為現在陸續在解八變營收,像我們剛剛講到南電,他今天盤中的諜聽有可能是講第四季動漲,因為是漲價概念,所以一聽到動漲就覺得壓力很大嘛,像記憶體也是啊,其實記憶體漲的多不多多,然後非常多的大型廠商在講到明年的預算的時候都會說記憶體就是占成本最高的,而且明年看來記憶體還會漲,可是漲勢會趨緩這件事情,就會對股價來說有一點壓力。
[13:05] 那越南店今天也公布了八月營收,結果它的八月營收是成績越減,這也是我剛剛有跟古瑜在聊的事,也跟聽眾朋友其實分享過,其實我們的一二季狀況非常非常的好,可是進入到第三季就會有一點壓力了,因為零組件在漲價的過程中,有可能會有部分的廠商例如提早拉貨,因為他怕後面越漲越多,所以會有一些小囤貨的狀況,那當然囤貨也會造成說大家覺得,哦,就是這個需求真的非常暢望,是可以繼續漲,但是那個漲幅很難,
[13:35] 這些都是我們在第三季的時候可能會遇到的難關。
[13:41] 那在狹帶以,例如說Vera Rubin在出貨的時候,也可以看到昨天台達店的訊息就呈現壓力。
[13:47] 什麼訊息咧?就是它在零組件上面會有那一種良率到底夠不夠啊,因為是新的機種啊,還有採購上的成本會增加。
[13:55] 那我們都很期待,是不是前一波台股有修正9000點,已經把這些利空給消化掉。
[14:02] 股癒是非常在意資金動能的,如果資金動能沒有恢復的話,我們可能就要稍微提高警覺一下下。
[14:10] 就有點是談上來,每個人想說很容易就過4萬、8萬、9萬、5萬,可是事實上在動能減緩的情況下,差那個1000多點,它就有可能變成一個有點遙遠的距離。
[14:22] 沒有錯,我們在投資的過程裡面,你一定要仔細的去觀察你的資金動能到底有沒有恢復。
[14:29] 然後另外一個的話,就像剛剛趙華講的,我們前一波的高點是48000嘛,可是呢,你如果從技術線型的角度去看啊,它如果一直卡在48000以上上不去的話,投資朋友就要稍微謹慎一下,這邊可能會久了是會容易出問題的。
[14:46] 這是呢,我們給投資朋友一點小小的提醒。
[14:49] 你說就技術線型?
[14:50] 對,沒有錯。
[14:52] 欸,趙華你不要忘記一件事情。
[14:54] 我沒有忘記,我沒有忘記。
[14:55] 我們早期也是做技術線型出身的啊。
[14:58] 我沒有忘記。
[14:58] 只是我們因為工作型態的關係,不得不轉向基本面的一個投資嘛。
[15:05] 但是呢,我的老本行我是沒有忘記的。
[15:08] 好,工作型態的關係,像現在是在這個國際的半導體展,
[15:12] 古於照理來說應該會在展場帶著大家去看展。
[15:15] 那他現在卻坐在這邊跟我們聊資金動能,
[15:18] 這是當然的啦
[15:48] 這些事情真的已經提早做了一些反應了,所以修正的時候你也不能說他有什麼不對,加上他現在是漲到被處置,所以今天有很多的股票開高走低翻黑,像南亞科剛講到記憶體,他本來是全世界最強的記憶體,因為他是率先在全世界創歷史新高的,可是今天也是重挫的一個狀況,在個股上面加碼會有壓力之外,因為像個股他的金額比較大,就算是加零股,有時候你也會覺得錢很快就加了,
[16:18] 這幾個資金都已經被打完了,所以如果我們又遇到一次像先前,因為現在有一些這樣資金動能的問題,我們不能排除修正的機會,那我們用基金這樣的工具加碼,事實上可能是最方便與小資族的。
[16:32] 其實趙華你要這樣子講的話,我也不能夠說你是錯的。
[16:37] 哪一件事啦?就是沒有去看展來這邊的事。
[16:40] 我們看展的話,以前我在公司上班,我百分之百一定會去看展,可是自從我離開公司之後的話,我們就以節目為重。
[16:51] 雖然今天是個看展的重要的時間點,但是趙華邀請我來上節目的話,我一不容辭立刻出現在這個地方。
[16:59] 你上完就去啊。
[17:00] 上完之後再過去的話,可能展已經快要收攤了,那個比較不方便過去。
[17:05] 好,那當然說我們在看台股投資的這一塊,其實剛剛趙華點出了一個重點,就是說你今天在看個股的輪動啊,事實上它的速度是非常快速的,甚至說你今天就算是你是業內的這些投資朋友們,你要去掌握這個輪動啊,也沒有你想像中這麼容易哦。
[17:28] 所以我們在投資裡面最簡單的方式是什麼?
[17:32] 除了說我們過去常談的這些ETF相關的產品之外
[17:38] 其實很多投資朋友都是希望他的投資是有被照顧到的
[17:43] 那你如果今天有這樣子的一個想法
[17:46] 其實我們的台股基金是非常適合那些沒有空去看盤的投資朋友
[17:52] 他來做這些工具上面的使用
[17:55] 而且台股的基金的表現可圈可點,而且整體表現上我們用數字來幫各位投資朋友做一個說明。
[18:10] 如果從誠心的資料統計上來看,台股有147檔主動式的基金,近一年平均報酬率有126.5%。
[18:22] 這是平均耶
[18:23] 對這是平均喔
[18:24] 其實蠻厲害的
[18:25] 因為我記得主被動的ETF也很難達到這個成績
[18:29] 而且它是平均
[18:30] 對
[18:30] 那這個數字的話呢
[18:33] 是遠遠的去超越到我們加權指數的90.4%的一個漲幅
[18:38] 那其中126黨的台股主動式基金
[18:41] 近一年的報酬率表現
[18:44] 它超越指數的漲幅
[18:46] 你知道它的占比是多少嗎
[18:48] 超過85%
[18:50] 是
[18:51] 也就是說我今天看到的這些台股的主動式的基金幾乎每一檔都把加錢指數按在地上摩擦
[19:01] 這個數字是非常驚人的一個資料
[19:05] 而且近一年報酬率的前三名我幫各位稍微念一下
[19:09] 因為我們資料沒有辦法秀給各位看
[19:12] 那我們大概念一下讓各位去了解一下台股有哪一些優秀的基金
[19:17] 例如斯羅德 台灣樂活中小基金近一年漲幅高達206%
[19:25] 元大的多多基金也有203%
[19:31] 另外一檔統一中小基金也有196%
[19:37] 這幾檔加起來有接近200%的效果
[19:44] 還有其他幾檔各位比較耳熟能詳的,我們把他近三年的數字念給各位聽一下。
[19:51] 像安聯台灣科技基金,他近三年的累積報酬率高達386%,野村紅運也有383%,野村台灣運籌有360%。
[20:06] 你知道嗎?這些數字,有時候你把它攤開一看之後啊,你有沒有覺得好像把錢放在台股基金的話,它整體的表現也算是非常的優秀嘛,對不對?
[20:19] 好,因為真的也有聽眾朋友或是投資朋友跟我們分享說,以前啊,因為基金的規模我們常常講百億以上就叫大基金,但是現在ETF啊,千億以上比比皆是啊,就很容易就募到一千億。
[20:31] 但是如果以績效來說,當然主動的魅力是大家就哇我每天就是ETF,每天看你換什麼股啊,搖石金母在做什麼啊,哪一個經理人在做什麼啊,很刺激。
[20:45] 可是有投資人分享說,是不是因為基金的操盤人就是他不需要每天被你盯他在幹嘛。
[20:53] 所以好像默默的繳出主動基金主動式的ETF好像更為卓越的績效。
[20:59] 我說當然都給大家一點時間,因為所謂的主動ETF掛牌都才一年多的時間,但是似乎有這樣的態勢。
[21:29] 這些都是被同業狙擊的,或者是被很多投資朋友監看他們每天換股的狀況。
[21:37] 事實上是監看沒錯。
[21:38] 我跟你說,確實是如此。
[21:40] 你如果今天有興趣,你在Google搜尋上面去打主動式ETF持股監測,你會發現滿滿的軟體,每天都在幫你監測他們操盤的效果。
[21:53] 伍玉也弄了一個APP還是什麼在監控。
[21:56] 對,沒有錯。
[21:57] 你明明就有。
[21:58] 我們也有在做監控啊對不對
[22:00] 可是呢你在監控這個過程裡面
[22:02] 當然我們也想要去了解他換股的一個邏輯
[22:05] 我們也想要去了解他換股之後的一個想法
[22:08] 以及後面的績效表現嘛
[22:10] 那可是呢這樣子的一個動作呢
[22:13] 反倒造成了這些主動式的ETF
[22:16] 他們在一些操作的手法上面呢
[22:20] 據他們所說啦
[22:21] 反而沒有辦法太過於靈活
[22:24] 所以我們在主動式ETF發行之後,再回過頭來去看這些傳統的台股基金。
[22:33] 結果因為他們揭露了頻率沒有這麼高,反倒是讓他們的經理人的話,可以好好的去按照他原本的邏輯想法去做操盤的一個動作結果現在績效就有點反過來的在台股基金的部分反而交出了非常亮麗的一個表現
[22:52] 其實我剛剛前面就講到了嘛
[22:54] 今天的話呢147檔裡面竟然有125檔
[22:58] 他的績效都是超越指數的一個報酬
[23:01] 那這個數字的話就等同是說
[23:04] 我今天我的牌標每天給你看的話
[23:06] 我按照我的邏輯、我的選股的方式去做一個操作的話,其實我交出來的績效表現是可以遠勝過被動指數的一個效果。
[23:17] 所以我要跟投資朋友講一件事情,如果你今天在台股市場裡面投資,你真的希望可以拿到更好的一個績效表現的話,那你應該要化被動為主動,更積極一點,你才能夠得到你想要的那一個績效的一個效果。
[23:35] 好,所以的話,既然已經知道所謂的台股基金有這樣的一個績效表現,因為說實話,績效就是最好的行銷啦。
[23:43] 對,沒有錯。
[23:44] 但是,大家就會來比什麼呢?比去哪裡買,對不對?它是一個手續費啊,最划算啊。
[23:50] 因為長期累積下來的話,像我們也常常講嘛,假設今天同一個指數,不同的ETF都要發行這個指數的商品,那就是比,不好意思囉,手續費啦,管理費啦,相關的費用啦。
[24:02] 那剛好基金的話,我們有一個老朋友,我想在節目裡面也常常提到就是基富通。
[24:07] 跟基富通買基金,真的應該讓其他的同路牙癢癢的吧。
[24:13] 要PK這個對手真的太難了。
[24:16] 但我們就很持平的說,他應該是個最划算的選擇。
[24:19] 對,其實我們過去在做這個台股基金的投資啊,我常常要做很多的表格,來跟我的這些學員朋友們去溝通一件事情。
[24:31] 這就是你要怎麼買,哪個通路買,買什麼,什麼方式買,你才有機會去拿到最優惠的這些費率或是成本這些相關的一個效果。
[24:42] 但是趙華有一件事情我們必須要坦白說,自從這個基富通跑出來之後,這些表格我根本就不用做了你知道嗎?
[24:53] 只要我今天只要問他一件事情,第一個你是要買台股基金嗎?
[24:58] 第2個,你想要手續費最便宜嗎?
[25:02] 沒有錯。
[25:03] 第3個,你希望不要有信託管理費嗎?
[25:06] 沒有錯。
[25:07] 那我跟你說,你的選擇非常的簡單。
[25:10] 立刻衝到肌膚通裡面,馬上做開戶的一個動作。
[25:14] 你在那裡的話,就可以得到所有你想要的一個東西。
[25:18] 因為它本身是一個半官方的性質。
[25:22] 所以你在裡面要做長期投資,
[25:25] 這幾乎是保障的一件事。
[25:29] 而且你今天要講說,
[25:31] 他的信託管理費的部分幾乎就不收啊,
[25:35] 而且手續費的部分幾乎長年都是維持在裡。
[25:39] 所以你把這個條件放到投信的平台或是在各個銀行的平台,
[25:45] 不管他們有沒有做任何的促銷,
[25:48] 你把它放在一起看,
[25:50] 基富通的話幾乎就是現在市場裡面最低最低的那一個你去買台股基金最好的一個方式
[25:58] 所以你今天如果問我說老師台股基金去哪裡買最便宜請你永遠都幫我記住三個字基富通這樣子就對了
[26:08] 這真的是平心而論是這個樣子而且很適合各種人例如說你隨時隨地想下單的
[26:15] 這就是我們在想的地方。
[26:45] 這幾個股票的投資方法是特別讓你可以方便長期去扣款,堅持到你退休之類的一些做法之外,它還有像低檔自動扣,這個我們之前也有介紹過,那本來剛介紹的時候因為台股熱呼呼嘛,沒有什麼低檔讓你扣,所以想說有這個功能扣不到啊,但前一波7月下跌的時候,大家都扣到囉,那談起來的時候心裡面就小確幸,那時候扣的時候想好像難得看到要一直去補錢,因為都有扣到。
[27:14] 結果現在談起來了,有賺到。這個感受很奇妙。假如台股真的像剛剛古宇講的我們還是要考量全球現在資金環境有一點點小的變數,又有再一次的機會,那你自己手按不下去,就讓這種自動機制幫你扣。
[27:31] 對,事實上我們在做這種台股基金的投資,很多人都會關心說我到底要怎麼買,我才有機會可以增加我整體的報酬率表現。
[27:42] 其實它的絕招就兩個東西,第一個絕招我們宣傳很久了,請你把你的自動的定期定額的機制幫我把它設定下去就對了。
[27:54] 對,定期定額要設定。
[27:55] 因為定期定額的時候,它就是時間到就從你的帳戶裡面去做扣款的一個動作。
[28:01] 這個動作是一個即時的、自動性的,可以讓你不用去看到標的物的價格,自動完成交易。
[28:10] 這件事情很重要,你有沒有發現,如果讓你自己去手動下單的話,你看到那個價格會不會猶豫一下?
[28:18] 會啊,漲的時候也會猶豫,我會不會買貴了?跌的時候也會猶豫,會不會明天繼續跌?
[28:25] 你這樣子趴來趴去,你最後就什麼都沒有了。
[28:29] 所以自動化的機制可以幫你解決你不敢下單的問題。
[28:34] 當然這邊還有一個小技巧,是我們要跟投資朋友做一個分享。
[28:38] 你知道要怎麼讓定期定額做得更有效率嗎?
[28:42] 最好是跟你的薪資的入帳日同一天,或者是隔一天。
[28:48] 所以常常有6號扣款這件事啊。
[28:50] 對,沒有錯。為什麼要6號扣款?因為5號發薪嘛。
[28:53] 立刻就被搶劫。
[28:55] 你不要用搶劫這個名詞,立刻為未來的自己做好投資的規劃。
[29:03] 這樣子的話就能夠確保你每次扣款的動作,你的帳戶裡面都有足夠的錢來做這樣子的一個扣款。
[29:11] 當然除了定期定額之外,剛剛趙華這邊有講到,這個基富通的平台裡面有一個非常獨家的功能,叫做低檔自動扣。
[29:21] 低檔自動扣,簡單來說,可以設定當我今天回檔,比如說3%、5%、10%或15%,你可以自己去做一個設定。
[29:34] 一旦我投資的這檔基金,它在20天裡面累積的一個跌幅,超過你設定的這個數字的時候,它就會自動幫你做加碼扣的一個動作。
[29:49] 而且有件事要注意,它不是只扣一次,你如果今天是連續一直維持在你設定的那個範圍內,它可是會連續扣的。
[30:00] 那這樣子的話就代表說,你的這個標低維持在一個相對低檔的時候,你可以達到最多次的一個扣款。
[30:09] 那這樣子的話,當你的市場開始回溫反彈的時候,那你的績效當然就往上提升了啊,是不是?
[30:17] 所以我們常常在講說
[30:19] 你在投資的過程當中
[30:21] 你要怎麼去善用平台的一個機制
[30:25] 好好的去使用
[30:27] 你就可以得到最好的一個效果
[30:29] 而且更重要的
[30:31] 我們之前有跟基富通的平台去聊過這件事情
[30:35] 我當時是這樣子問他的
[30:37] 你們這個機制到底背後有沒有一些理論的基礎
[30:41] 去幫你做這樣子的一個背書
[30:44] 你知道嗎
[30:46] 平台的窗戶跟我說什麼嗎?他拍著胸脯跟我說,老師,我們這個是有交給學術單位幫我們去做過驗證的。
[30:56] 就是說我們這個機制怎麼去設定,用幾天的週期去看,然後設多少的幅度,他在長期投資的過程當中,他可以創造出最好的一個收益效果。
[31:08] 我們拿到這個結論就把這樣子的一個結果設計在我們的平台裡面直接讓投資朋友來做一個使用
[31:18] 所以投資朋友們基富通的這個功能就等同是說人家都已經幫你做好驗證了你就只要拿來用就對了
[31:28] 並且,在目前的情況下,我們已經有一個很好的計畫,就是把定期定額與低漲自動扣結合在一起。
[31:38] 我們已經通過驗證有機會幫你爭取到績效最大化的一個非常好的機制。
[31:48] 並且,在目前的情況下,我們有看到有些人在下降了,例如是在下降3%或5%的時候,有去加碼來做一個回測,其實很清楚。
[31:55] 不過我跟你講,其實7月的時候我們產生很多見證者,只是他們比較害羞,要不然就請他們直接自己說。
[32:02] 同事就有人在這段時間扣很多啊,現在就笑呵呵的啊,天天的心情看起來都不錯。
[32:09] 我記得我上次看到你那個同事的時候,他臉上都掛著笑容啊,他就說,原來低檔自動扣效果如此的驚人啊。
[32:17] 但是呢他比較不像我們會在那個麥克風的前面侃侃而談
[32:21] 不然的話我們直接找那個當事人那個親自來做一個解說一定是更有說服力的
[32:28] 沒錯
[32:28] 不過也沒關係啦如果他沒有辦法呢過來跟我們做一個親身見證的話呢
[32:33] 我也呢用回測的一個角度來跟我們的投資朋友做一個說明
[32:38] 到底呢定期定額搭配低檔次動扣合在一起他會產生怎樣的一個效果
[32:45] 我這邊的話我們用安聯的台灣科技以及統一的黑馬幫各位做一個回測
[32:52] 這個回測的時間的話我從2023年的9月1號一直回測到2026年的8月31號
[33:00] 那我的條件是這個樣子的
[33:02] 加碼的條件就是說我的淨值叫前20日跌到3%的時候我就加碼3000塊
[33:09] 那跌到5%的時候我就加碼5000塊
[33:13] 那我們這邊來做一個比較
[33:15] 如果相同的時間裡面,安聯的台灣科技我只做定期定額的話,績效不錯喔,有181%。
[33:25] 聽起來是不是不錯?
[33:27] 可是呢,我如果今天是用疊3%就做加碼的話,它可以讓你提升到267%啊。
[33:36] 你有沒有覺得這個數字非常的一個驚人?
[33:39] 那你如果是跌5%加碼的話呢,它也有223%的一個效果。
[33:45] 是,就很明確的往上走。
[33:47] 對,那你會不會想說,會不會只有台灣科技基金才是這個樣子?
[33:51] 所以我今天幫你做另外一檔。
[33:53] 這個統一黑碼的部分呢,我也做給你看。
[33:56] 只做定期定額的話呢,它有123%。
[33:59] 那我如果跌3%就加碼的話呢,可以提升到189%。如果是這一檔跌5%加碼的話呢,甚至可以高達202%。所以我們從這個數字的平均值可以提升到189%如果是這一檔跌5%加碼的話甚至可以高達202%所以我們從這個數字上面來看
[34:11] 其實就非常的明顯
[34:12] 只做定期定額可不可以幫你爭取到績效
[34:16] 當然是可以的
[34:18] 可是你如果今天要讓你的績效有機會更上一層樓的話
[34:23] 回檔的時候記得那個不是給你落跑用的
[34:27] 那個是給你加碼用的
[34:30] 你一旦透過機制幫你做一個加碼的動作,後面市場的行情回升的時候,我想你得到的這個數字會讓你非常的感動。
[34:40] 這是我們在這邊想要跟投資朋友做提醒的一個地方。
[34:44] 好,那除了看到這個,剛剛聽到是報酬率,因為有加碼的關係,所以總報酬,就是你的部位有長大,這是我一直很訴求的一件事情。
[34:53] 有時候你看到一個高報酬率不代表說你的部位長大了很多,你可能是一個低部位,但是因為有在低檔加碼,所以當股票市場回暖的時候,你的總體水位,我覺得那個是最有感覺的,這也是投資在累積財富上面很重要的一個意義。
[35:09] 當然現在通路那麼多,我們剛剛講了以前可能還是一個你要跑到現場的時代,你要紙本來往的時代,那基富通最好的就是它是可以線上就審核開戶的,那現在有加入新的金融機構就是郵局。
[35:24] 那其實呢基富通的部分呢,它目前的線上有26家銀行的部分可以讓你來做一個開戶的那個審查。
[35:34] 網銀審核。
[35:35] 對,可是呢在台灣有一個通路非常的大。
[35:38] 但是如果今天要去他那邊去做一個開戶的話,他常常會被卡住,因為他是送紙本的。
[35:47] 可是現在他也加入了線上審查的一個機制,這個單位的話就是郵局啊!
[35:54] 郵局,台灣的郵局其實非常多家耶!
[35:57] 對,其實郵局的話他不僅家數多,其實他的郵政儲君的金額、庫存量也是非常非常的大。
[36:06] 這幾個大部分人有銀行帳戶,但郵局帳戶幾乎人人都有。
[36:15] 所以一旦把郵局通路也納進來之後,就等同是說會去參與投資的朋友,他可以更方便的去做開戶的動作。
[36:27] 不然你說我在基富通要去做投資然後我要去對接一個帳戶去扣款的話
[36:33] 我如果今天我只有郵局的帳戶結果我都還跑到現場去做那個送件的一個動作那不是很麻煩嗎
[36:41] 可是現在啊我跟各位投資朋友講不用再麻煩了
[36:45] 你如果只有郵局的帳號的話呢也可以直接在線上就完成這個資格的一個審查
[36:52] 讓你可以輕鬆的去跟基富通的這個帳號去做對接的一個動作
[36:58] 而且更重要的是現在郵局這邊還有一點點小小的活動
[37:01] 你如果今天在郵局這邊的話完成這個所謂的授權綁定的話
