[00:00] 歡迎收聽趙華與古惑仔新春特別版
[02:48] 你那時候提到
[02:49] 你考大學的時候
[02:50] 不管怎樣
[02:51] 就是要念商學院
[02:53] 要念金融相關科系
[02:54] 那為什麼一路以來的轉折
[02:56] 會讓你現在決定
[02:57] 你要繼續深耕投顧事業
[02:59] 好 其實一開始我
[03:02] 因為我爸是老闆
[03:04] 對 之前之前
[03:06] 所以我以前
[03:06] 我算以前算是家小康
[03:09] 但是大概在國中高中
[03:11] 就體會到什麼叫家到中落
[03:13] 哇 你要現在講那麼把你的
[03:15] 沒有沒有沒有
[03:16] 我是我的
[03:17] 我的意思是
[03:18] 為什麼會想要從經濟
[03:21] 其實我一開始沒有很確定
[03:23] 我到底要所謂的商學
[03:25] 還是金融系
[03:27] 金融產業相關
[03:28] 我就覺得我就是想要當老闆
[03:30] 對我小時候就這樣想
[03:32] 對那我
[03:33] 因為我覺得我爸影響我的
[03:34] 所以我那時候其實填大學的時候
[03:36] 我也是懵懵懂懂啊
[03:37] 就是財經跟經濟到底操在哪
[03:39] 誰鬼才知道對不對
[03:41] 那進去之後
[03:41] 選錯應該要選財經
[03:43] 因為經濟系他比較偏理論
[03:45] 對學術派
[03:47] 可能就是經濟
[03:48] 什麼總經啊
[03:49] 個經啊
[03:50] 等等
[03:50] 對可是財經
[03:51] 它就會比較偏向投資
[03:53] 對就比較不一樣一點點
[03:55] 對那可能會比較偏向是
[03:57] 我公司的這個規模啊
[04:00] 基本面到底是怎樣
[04:02] 會比較不一樣
[04:03] 經營公司不是應該念什麼器管那一類嗎
[04:05] 器管它教你的是什麼SWAP分析啊
[04:08] 對那不太一樣
[04:09] 可是財經是可能去分析這間公司的PE啊
[04:13] EPS等等
[04:13] 好像邏輯會有點不一樣
[04:15] 當然裡面所有的那個通識
[04:16] 都還是會上到一樣的課程啊
[04:19] 只不過當下我其實
[04:20] 就像我剛剛講
[04:21] 我全部都不知道啊
[04:23] 隨便啊
[04:23] 就體驗一個系
[04:24] 然後就進去就進去了
[04:25] 對
[04:25] 那主要的方向就是
[04:27] 商學或者是金融
[04:29] 那最後剛好
[04:30] 我也不知道
[04:31] 到底是哪一個才是怎樣
[04:32] 因為我也沒有做很多研究
[04:34] 對
[04:34] 小時候比較皮嘛
[04:36] 然後就考大
[04:36] 然後就進去
[04:37] 然後就經濟系
[04:38] 對
[04:38] 因為我在大學的時候
[04:39] 一度想要轉系
[04:40] 但成績太爛轉不過去
[04:42] 對對對
[04:43] 你要轉什麼系
[04:43] 那個
[04:44] 因為我跟艾倫念同一間大學
[04:46] 對對對
[04:47] 你要轉什麼系
[04:47] 你要轉什麼系你說
[04:49] 什麼
[04:50] 誒
[04:51] 資管還是氣管
[04:53] 我忘了
[04:54] 你算了你
[04:54] 我忘了
[04:55] 反正
[04:56] 轉我們新聞系也就算了
[04:57] 沒有新聞系絕對轉不過去
[04:59] 真的嗎
[04:59] 對
[04:59] 因為世新的新聞系是
[05:01] 對啊
[05:02] 要求比較嚴格
[05:03] 對
[05:04] 然後我就想說
[05:05] 因為那時候經濟系嘛
[05:06] 就是太理論的東西
[05:07] 我覺得很痛苦
[05:08] 是
[05:08] 對
[05:09] 那當然我還是勇敢的
[05:10] 給他弄到畢業
[05:11] 這個
[05:13] 因為艾倫之前也有稍微聊過啦
[05:15] 對不對
[05:16] 就是父親經商
[05:17] 而且會做股票
[05:18] 對
[05:18] 而且甚至也有參加
[05:20] 桃酷老師的會員
[05:21] 沒錯
[05:22] 但是這些給你的印象都是負面的是的所以其實我在201617、18年我就有分析師執照了但是我到了22年23年吧
[05:33] 23年才進來投顧這個產業
[05:35] 因為我中間其實對
[05:36] 不瞞您說
[05:38] 其實跟您的看法是一樣的
[05:39] 對投顧老師的看法是一樣的
[05:40] 是什麼
[05:41] 就是比較沒有這麼正面的
[05:44] 你說的
[05:45] 對對對
[05:46] 口耳下
[05:48] 有點老實
[05:48] 我現在要自己罵自己
[05:50] 我罵自己不行
[05:51] 現在也是職業嘛
[05:53] 所以當下我其實蠻抗拒這個職業的
[05:56] 可是我又覺得我想要
[05:58] 因為自己從大學就有在看股票
[06:01] 所以我就覺得也自己
[06:03] 那有沒有另批蹊徑
[06:05] 就現在網路時代嘛
[06:07] 那就自己從Instagram開始經營起來
[06:09] 那剛好也運氣不錯
[06:10] 那時候達到的是高股息的熱潮
[06:12] 所以網路的流量有稍微上來一點點
[06:15] 就這麼一點點而已
[06:16] 然後剛好又運氣不錯
[06:18] 就認識幾個貴人
[06:20] 那其實也就知道就是顧德里面某一位哥
[06:23] 那後面他也給我
[06:25] 我們就合作
[06:26] 那最後想說
[06:27] 實際可能也可以試試看這個職業
[06:30] 因為我覺得也可以
[06:31] 我覺得自己更成熟一點
[06:33] 我不是指思想
[06:35] 我是說對於股市的一些看法
[06:37] 又稍微更成熟一點
[06:39] 所以我就想說那試看看
[06:40] 那當然試看看
[06:41] 中間一定這兩年我其實很糾結
[06:44] 對啊
[06:45] 中間就是你一定知道嘛
[06:47] 我一直跟你抱怨過很多事情
[06:49] 對
[06:49] 可是
[06:50] 我不會說的
[06:51] 不要殺了我
[06:51] 好
[06:52] 也不能講抱怨
[06:53] 其實就是這個工作的壓力
[06:55] 到底來自於什麼地方
[06:57] 對
[06:57] 然後又跟我的個性
[06:59] 其實有點衝突
[07:00] 因為像我
[07:01] 如果自己買賣股票
[07:02] 那虧錢隨便嘛
[07:03] 自己的錢虧了就算了
[07:04] 自己控制住就好
[07:05] 可是帶會員去買股票的時候
[07:08] 那個壓力對我來講
[07:09] 我覺得會很沉重
[07:11] 因為可能
[07:12] 雖然我可能不痛不癢
[07:14] 就是我
[07:15] 我的財產沒損失嘛
[07:16] 但是相信我的會員
[07:18] 有損失的時候
[07:19] 這件事情對我來講壓力非常大
[07:21] 所以我也在那個時候
[07:23] 一度懷疑自己到底適不適合
[07:27] 對因為是我不夠厲害
[07:28] 讓會員賺錢嗎
[07:30] 還是說我抗壓性不夠
[07:33] 因為我自己知道
[07:35] 這檔輸了我就下一檔賺回來
[07:36] 因為我的風險都控制在
[07:38] 他不會讓你破產的狀態
[07:40] 但是當有負面聲浪的時候
[07:43] 我自己的抗壓性就非常低
[07:44] 所以那時候我就很猶豫
[07:46] 我到底要不要合約到了之後
[07:48] 我就回去乖乖做我的訂閱
[07:50] 或者開節目
[07:52] 這樣子
[07:53] 因為身為一個在旁邊看的人
[07:55] 其實你是一個矛盾的結合體
[07:58] 跟這個職業非常矛盾
[08:00] 確實他是想要
[08:02] 就是你是想要賺更多的錢
[08:04] 然後必須也
[08:06] 像小明也講過同樣的話
[08:07] 他本來在大的金控做總經研究員
[08:10] 為什麼要來當投顧老師
[08:11] 因為他知道做這個業績起來的話
[08:15] 真的是賺錢比較快
[08:16] 這個就是非常現實
[08:18] 就把它當成一份職業
[08:20] 你可能出入職場
[08:22] 像我自己從記者才兩萬多
[08:24] 然後有的人可能進入當工程師
[08:28] 就六萬多
[08:28] 那可能當投顧分析師
[08:30] 就很有機會
[08:32] 立刻有十萬以上的收入
[08:35] 這個是保守的說
[08:37] 那些大老師就更加的誇張
[08:39] 所以這絕對是一個誘因
[08:40] 可是為什麼說艾倫在我眼中
[08:42] 是一個很矛盾的人呢
[08:44] 他很叛逆
[08:46] 他的個性其實很硬
[08:48] 很叛逆
[08:49] 很喜歡內心其實是在唱反調
[08:52] 可是他又很關心他的會員
[08:55] 就是說你又很怕傷害到別人
[08:57] 影響到別人
[08:58] 然後你就在這種糾結裡面
[09:00] 進入了當投顧老師
[09:02] 然後你還是會有一點點
[09:04] 對我來說你還是有一點點的偶包
[09:05] 對
[09:06] 你有偶包之外
[09:07] 你可能也希望你是一個正直的
[09:10] 你又叛逆
[09:11] 可是你又正直
[09:12] 所以這些特質在你的身上集合起來
[09:15] 我就眼睜睜看著你
[09:16] 覺得真的很痛苦
[09:17] 對
[09:18] 就是我今天在電視臺
[09:20] 其實我一開始進來也很痛苦
[09:22] 可是當我習慣之後
[09:23] 我覺得我好愛財經
[09:24] 然後我好愛講話
[09:25] 我好愛跟大家分享
[09:28] 對
[09:28] 可是你的工作卻是讓你
[09:31] 是真的是要去磨合
[09:32] 你內心的種種內耗的事情的
[09:35] 對
[09:36] 因為這件事情對我來講
[09:38] 它
[09:39] 怎麼說
[09:41] 我覺得我
[09:42] 比較偏向的是
[09:44] 我喜歡默默一個人
[09:47] 對
[09:47] 我很挨啊
[09:49] 對
[09:49] 然後我也不喜歡回訊息
[09:52] 然後也不喜歡互動
[09:54] 我個人
[09:55] 對對對
[09:55] 但是我做的工作
[09:57] 這些東西我都必須要做
[09:58] 對
[09:59] 你不要解釋你不回訊息的事
[10:01] 我有回訊息
[10:02] 我的意思是
[10:04] 譬如說有
[10:05] 就是可能會固定追蹤我的人
[10:08] 可能會有一些丟訊息過來
[10:09] 對對對
[10:10] 那我就有的時候
[10:11] 我會
[10:12] 一方面我也不喜歡看留言
[10:14] 然後我也不喜歡回訊息
[10:16] 因為我都會覺得
[10:18] 對我來講
[10:18] 它有一點在消耗我的能量
[10:20] 就我是一個
[10:21] 一個人的時候是非常
[10:22] 我可以
[10:23] 我很需要用手機
[10:26] 但我用手機
[10:27] 不是為了要跟哪一個人聯絡
[10:28] 我可以自己在那邊滑短影片
[10:30] 然後自己看長影片
[10:30] 玩玩遊戲
[10:31] 這樣我就結束了
[10:33] 所以雖然我手機不離身
[10:34] 但我很少去
[10:36] 為了要工作去回
[10:38] 當然了主管那些會回
[10:39] 工作裡面
[10:40] 我的意思是指
[10:41] 譬如說
[10:42] 有追蹤我的人啊
[10:44] 有跟我講什麼啊
[10:46] 我通常都不會馬上回
[10:47] 我知道我知道
[10:48] 我可能一看到
[10:49] 然後我可能會當一下哪一天星期的哪一朝我全部回我知道我知道你怎麼都知道因為我會賴你啊我又沒有這樣對啊我還是會回你啊他算是有盡快回我是這麼覺得
[11:01] 當然啊
[11:02] 沒有這是朋友之間
[11:03] 可是就是我剛剛講的
[11:05] 我現在做的工作
[11:06] 都跟我自己的個性
[11:08] 是非常的衝突的
[11:10] 然後呢
[11:11] 因為我們那時候合作節目嘛
[11:12] 那我這邊的話
[11:13] 大家可以發現
[11:14] 我是來了我幾乎都會回
[11:15] 然後就算沒有回
[11:16] 按個愛心這樣子
[11:17] 可是我就看到艾倫
[11:18] 就開始長雜草了
[11:20] 然後就很想說要不要我幫你回好了
[11:22] 怎麼都不回
[11:22] 他可能有段時間有回
[11:23] 後來就都不回
[11:24] 對
[11:25] 很多人其實經營到現在
[11:29] 你有一票你的fans
[11:30] 可能也很喜歡你
[11:31] 就會稱讚你
[11:32] 可是你也不回
[11:33] 爸你不回就算了
[11:35] 稱讚你也不回
[11:36] 對
[11:37] 就我只能跟
[11:39] 剛剛如果你有在聽的
[11:40] 我就說謝謝你的支援
[11:42] 對
[11:42] 我說這樣算回應了吧
[11:44] 不過這樣也是一種神秘感的經營
[11:46] 但我覺得比較特別的是說
[11:48] 就我的瞭解啦
[11:50] 就像頭顧老師
[11:51] 對於自己的持股
[11:53] 到底是普惠買了啊
[11:55] 特惠買了啊
[11:56] VIP買了啊
[11:57] 清代買了啊
[11:58] 其實都不會講得很清楚
[11:59] 有賠錢賣的啦
[12:00] 也不會講
[12:01] 一定都是講自己賺錢的
[12:03] 那你確實到後來
[12:04] 我看你都是賠錢的也講
[12:06] 賺錢的也講
[12:07] 是不是所有的會員買也講
[12:08] 然後是清代
[12:10] 只有清代買
[12:11] 你也講
[12:11] 你選擇這樣做
[12:13] 其實一開始也很痛苦
[12:14] 其實這就跟剛剛我提到的東西是
[12:18] 一脈相承的
[12:19] 因為我直播是開留言的
[12:21] 但開留言對我來講
[12:23] 我必須講
[12:23] 這對我壓力也很大
[12:25] 可是為什麼還是堅持要開留言
[12:28] 因為這樣子會比較有互動感
[12:30] 然後會覺得你這個
[12:31] 不能說是老師
[12:33] 因為我把慢慢的形象
[12:35] 塑造成是一個
[12:36] 我也是一個在操作股票的人
[12:39] 那我們其實是同樣的狀態
[12:41] 只是你需要我跟你講要買什麼
[12:45] 但不會是我一副高高在上的樣子
[12:48] 可是這種東西就像我剛講的
[12:50] 我很討厭看留言
[12:51] 因為留言當然我覺得我的酸民算非常少
[12:54] 我必須說
[12:55] 但還是會有
[12:56] 尤其是當我的會員如果虧錢的時候
[12:59] 他們一定還是會不爽
[13:01] 不爽他們需要一個情緒的管道去抒發
[13:03] 那在幹嘛
[13:04] 在直播上就直接給你留言
[13:05] 所以後面我就會覺得說
[13:07] 好既然是不管是你會不會講
[13:10] 都一定會有人講
[13:12] 那不如我就自己當那個講的人
[13:15] 就是今天如果我們賺錢
[13:16] 我也不會就是歌功頌德
[13:19] 哇好厲害
[13:20] 可是就會說我們確實有賺錢
[13:22] 我們有做到
[13:23] 那如果有虧錢
[13:24] 對不起這次沒做好
[13:25] 我們這次真的虧錢
[13:27] 所以我覺得這種方式會變成是
[13:29] 對我來講就是去減少了
[13:33] 我看到我覺得不舒服的一些文字
[13:36] 就是你已經把話說在前頭了
[13:38] 賠錢我也有說
[13:40] 並不是所有的會員買
[13:41] 我也有說
[13:42] 我可能錯過了我也有說
[13:44] 大家就沒話說了
[13:46] 就開始轉移目標到說
[13:48] 喔 艾倫好帥喔
[13:49] 對啊
[13:50] 其實某方面來講
[13:53] 奇妙的一個聊天室
[13:55] 某方面來講
[13:56] 我也覺得這個是
[13:57] 我覺得對我來講壓力比較小的
[14:00] 因為大家就裡面
[14:02] 聊天室不會是負面情緒
[14:05] 對我來講也不會是負面情緒
[14:07] 那我就會覺得
[14:08] 這個方式雖然每天直播
[14:09] 我覺得開聊天室
[14:11] 因為我覺得
[14:11] 你知道我跟你講
[14:12] 我現在覺得最簡單的
[14:13] 我就是影片錄好
[14:15] 時間到白浪去
[14:16] 因為反正我也不看留言嘛
[14:18] 所以被罵我就
[14:18] 那個留言幫我
[14:20] 你2026確定沒有要改一下這件事嗎
[14:22] 我還在思考
[14:23] 對對對
[14:24] 他的思考的這個
[14:26] 迴旋比恐龍還要緊
[14:28] 對啊
[14:29] 因為我想說那是最簡單嘛
[14:30] 反正好的時候就好啊
[14:32] 不好的時候
[14:33] 反正我節目上也講嘛
[14:34] 只是我不用
[14:35] 我就不會有看到壓力
[14:37] 就是有人留言什麼
[14:38] 雖然現在我覺得
[14:40] 大概九成九的留言都是好的
[14:43] 對
[14:43] 但是確實嘛
[14:45] 總是會有零點一趴出現的時候
[14:47] 對
[14:47] 零點一趴真的很少了
[14:49] 其實他會讓我搞到說
[14:51] 今天如果我們的節目上來
[14:53] 如果是罵我的
[14:54] 我可能還會研究一下
[14:55] 要不要毀他
[14:56] 還是說要刪嗎
[14:57] 還是留著
[14:58] 如果是講艾倫的
[14:59] 馬上我就把他秒殺
[15:01] 真的假的
[15:01] 所以
[15:02] 因為覺得他就是不喜歡
[15:04] 然後他的個性又會
[15:06] 內耗會想很久
[15:07] 所以有時候我都會想說
[15:09] 我好像變成在跟觀眾講
[15:10] 就是我們
[15:11] 我好像在錄影片
[15:12] 其實我在錄podcast
[15:13] 對
[15:14] 因為我覺得我們個性差異
[15:17] 在這個部分就差很多
[15:18] 例如說那時候覺得
[15:19] 艾倫是很有潛力
[15:21] 我就會馬上提出合作的邀請
[15:23] 然後我就會殺你一個措手不及
[15:25] 就是我現在就要
[15:26] 對
[15:26] 我就是要
[15:27] 你不要想了
[15:28] 可是他就會說
[15:28] 你讓我想一下
[15:29] 對啊
[15:30] 我需要思考一下
[15:31] 對
[15:31] 對
[15:31] 沒有錯
[15:34] 不是啊
[15:34] 我就會
[15:35] 其實這裡牽扯到
[15:36] 我覺得我的個性偏保守
[15:38] 對啊
[15:39] 我們又很開放
[15:40] 我也很保守
[15:40] 不是那方面
[15:42] 是有新的合作
[15:46] 或者是新的一條路的時候
[15:47] 我會觀察很久
[15:50] 殺你的措手不及
[15:51] 對對對
[15:52] 所以像前幾次
[15:54] 確實都是被殺的一個莫名其妙
[15:56] 奇怪
[15:57] 你怎麼突然
[15:59] 一個月每天都來東森錄影
[16:02] 對對對
[16:03] 對啊
[16:04] 然後就也是這樣嘛
[16:05] 杭不狼當也
[16:07] 對啊
[16:07] 也一年多
[16:08] 對
[16:08] 所以這邊要來問的就是
[16:12] 因為我們本來預計錄個15分鐘
[16:14] 好像都超過了
[16:15] 就是要來問的是
[16:17] 那後來你決定了要留在投顧業是因為你找到了收入跟內耗的平衡嗎簡單一點講就是收入遠遠大於內耗就這麼簡單
[16:28] 不太直白
[16:30] 這當然才是你留下來的原因
[16:32] 對
[16:32] 但是我必須說
[16:35] 這個我也覺得
[16:35] 給大家一個想法
[16:36] 其實這跟選股票一樣
[16:38] 因為選股票
[16:39] 其實你要找的是一個
[16:40] 熱門產業
[16:41] 你要有熱門產業
[16:42] 你才有動能
[16:42] 那現在我的職業
[16:44] 我必須說臺灣
[16:45] 我單指臺灣
[16:46] 但其他我不太確定
[16:48] 臺灣現在其實只有幾個熱門產業
[16:50] 一個一定是科技業
[16:52] 對
[16:52] 而且要跟AI相關
[16:54] 對科技導國
[16:54] 這一定沒辦法講
[16:56] 那另外一個受惠的是誰
[16:57] 那絕對就是證券金融業
[16:58] 尤其是金控股
[17:01] 這個方面我覺得非常厲害
[17:03] 尤其證券類
[17:04] 然後投信類
[17:04] 他們偶爾是大公司
[17:06] 那個都一定賺到報
[17:07] 那可是你賺到報
[17:09] 那個跟員工
[17:10] 如果你是基層員工
[17:11] 我相信關聯性沒這麼大
[17:13] 對也許會有每年的分紅
[17:15] 但我覺得它不會到
[17:18] 是讓你可能很有感的一個狀態
[17:21] 可是另外一個職業就是證券了
[17:24] 那證券其實我的產業
[17:25] 我必須說剛好也運氣不錯
[17:27] 它就是一個超級熱門產業
[17:29] 大家都想要買股票
[17:30] 尤其現在臺灣股市就是
[17:32] 一下就一月漲了這麼多點
[17:35] 對啊那漲了這麼多點
[17:37] 其實現在大家討論的
[17:38] 就會是說股票可以買什麼
[17:40] 那股票可以買什麼就是什麼
[17:41] 這有動能嘛
[17:42] 那有動能那成交量這麼大
[17:43] 那受惠當然是我的職業
[17:45] 所以我的職業對我來講
[17:47] 其實跟選股票一樣
[17:48] 我選到了一個熱門產業
[17:50] 而且這個熱門產業
[17:51] 目前還沒有動能退散的樣子
[17:53] 所以我會覺得
[17:54] 一方面這一個應該也就是
[17:56] 會非常有前景
[17:57] 應該說近期
[17:59] 可能三五年不用擔心的一個產業
[18:01] 那我在這裡已經經營了一段時間
[18:04] 所以當然收入又跟著拉起來
[18:06] 那現在又還是這麼熱門
[18:08] 所以我覺得跟爆股票一樣
[18:10] 它還是很熱
[18:10] 它沒有跌破五日均線
[18:12] 那當然我還是留在這個產業
[18:13] 對啊
[18:14] 我的想法是這樣
[18:15] 會導艾倫來聊這個
[18:16] 也多少想跟大家講
[18:18] 進金融業有很多種管道
[18:20] 像我之前遇到的是
[18:21] 如果他不是有非常顯赫的
[18:23] 財經的學歷的話
[18:24] 他可能會去當營業員
[18:26] 因為想要當這個
[18:28] 比較知名金融業的研究員
[18:30] 都不那麼容易
[18:31] 但是投顧像這種
[18:33] 跟那種所謂的
[18:35] 金控下的投顧
[18:36] 比較不一樣的
[18:36] 他是特許產業
[18:37] 他算特許產業之外
[18:39] 他的門檻沒有那麼高
[18:41] 就會變成是說
[18:42] 也許你的學歷背景
[18:44] 並不是什麼頂大
[18:45] 或國外留學回來
[18:46] 但是至少你有考到證照
[18:48] 我覺得證照是真的
[18:49] 相對是很重要的
[18:50] 像在這個金控下的
[18:52] 那些研究員
[18:52] 反而他們不見得有證照
[18:53] 他們可能是靠學歷進去的
[18:55] 這個我們也跟他們聊過
[18:56] 是揹著這個頂大金融系
[18:59] 或財經系的光環進去裡面
[19:01] 可是他們反而覺得
[19:02] 反正接下來不用拋頭露面
[19:04] 就不用認證照
[19:05] 如果進入頭故事
[19:06] 學歷沒有那麼重要
[19:07] 可是證照就相對是重要的
[19:09] 你才能出來講嘛
[19:10] 那抗壓性是另外一種了
[19:12] 研究員可能他也會揹負著
[19:14] 今天報告給長官
[19:15] 或是操盤人的東西不OK
[19:17] 七八點就在那邊開棗
[19:19] 會被罵個勾屑靈頭
[19:20] 那可是如果做投顧的分析師
[19:22] 就是剛剛講到的
[19:24] 你要面對你的會員
[19:25] 或者面對一般的觀眾大眾
[19:27] 然後你要去承受
[19:29] 他們反饋給你的壓力
[19:30] 以及你有沒有讓他真的
[19:31] 因為你是親自跟他們講的
[19:33] 所以他們有沒有賺錢
[19:34] 真的就是源自於你
[19:36] 不是那份報告而已
[19:37] 所以這些壓力
[19:39] 如果扛得過來的話
[19:40] 其實這份職業
[19:41] 在未來我想三五年不會退燒
[19:43] 他也可以帶來比一般的上班族
[19:46] 更好的收入
[19:47] 我覺得這個大家想要進金融業的話
[19:49] 是可以思考看看的
[19:50] 對所以我會覺得牽扯到回來
[19:54] 就算你不是想走這個產業
[19:56] 我也覺得不管
[19:57] 可是我相信你的聽眾
[19:59] 一定都是會買股票
[20:00] 所以也不用叫大家說要投資理財
[20:02] 但還是有跟大家講說
[20:04] 最好就是在這樣的環境裡面
[20:06] 理財是最基本的一件事情
[20:07] 沒有錯
[20:08] 所以我會覺得大家不要
[20:10] 如果你還沒動手的
[20:11] 那也不要覺得三萬二就無法動手
[20:14] 我覺得長時間來講
[20:16] 一定都會有高高低低
[20:19] 所以你高的時候去買
[20:21] 那你低的時候也記得要勇敢買
[20:23] 那長時間下來的成本會是一個
[20:26] 會趨緩
[20:27] 那條線會趨緩
[20:28] 那到後面如果再度有像這樣子的大行情
[20:32] 你才有可能把握到下一次
[20:33] 那種三四十年才見到一次的行情
[20:36] 所以呢
[20:37] 就簡單一點講
[20:39] 每個月有錢的
[20:40] 就稍微多做一點買進
[20:41] 然後當然要買好的股票
[20:43] 不要買一些有的沒的
[20:45] 然後時間到
[20:47] 它慢慢的堆疊上
[20:48] 會有一些複利效果出現
[20:50] 對啊
[20:50] 好就是以前有一個
[20:52] 已經退休的經理人
[20:53] 也是跟我講
[20:54] 這個你就高的時候買一點
[20:56] 低的時候要買一點
[20:57] 他說好像廢話
[20:58] 可是就是這樣
[20:59] 對對對
[20:59] 然後他就退休了
[21:00] 好好
[21:01] 確實就是
[21:05] 大家也不要覺得
[21:06] 現在就不會再遇到
[21:08] 這樣的行情了
[21:09] 也不要覺得就不會修正了
[21:10] 還是會哦
[21:11] 還是會
[21:12] 所以修正的時候
[21:13] 如何把握
[21:14] 這個全世界只要是
[21:15] 比較積極的市場
[21:16] 例如說美股臺股
[21:17] 長時間來看
[21:18] 是往右上角走的
[21:20] 沒錯
[21:20] 所以把握回檔的機會
[21:21] 有時候比把握上漲的機會
[21:23] 還要重要哦
[21:24] 好那今天
[21:25] 很謝謝這個艾倫
[21:26] 新年快樂
[21:27] 再講一句吉祥話吧
[21:30] 這個馬
[21:31] 馬捏馬
[21:32] 祝大家這個馬到功成
[21:34] 好不好
[21:35] 這個馬上有錢
[21:37] 馬得有夠順
[21:38] 好不好
[21:38] 哈哈哈
[21:40] 好
[21:41] 那很謝謝艾倫
[21:42] 也跟國後仔的朋友說掰掰
[21:44] 大家掰掰
