[00:00] 歡迎收聽《照華語古惑》載訂1173集,今天是2026年的8月31號,今天也是8月最後一個交易日哦。
[04:26] 所以大家原本預期這一次的這個華許會不會針對長債的問題有一些所謂政策上的透露,但華許還是席至如今,我覺得這就會讓市場有一點失望。
[04:37] 對,那我覺得也是代表他這次演講講完之後,大家好像聽了什麼,但好像又沒有得到什麼。
[04:43] 可是這不就是聯準會很常常一貫的,我覺得他做的是對的,前面的也是這樣,Bower也是這樣啊,很容易有這樣感覺。
[04:51] 因為華許他的一個政策主張就是說他不希望市場對於聯準會有太多的前瞻指引的預期
[04:57] 沒錯啊
[04:58] 對 他希望的是說政策要有這個即時性
[05:01] 所以數據不好我就會降息 數據好我就升息
[05:04] 那跟著數據走不要讓市場有提早的預期
[05:07] 我覺得這是他的一個過去希望跟市場的溝通
[05:11] 但我覺得現在從他上任以來的幾次的會議跟發言之後
[05:15] 大家好像覺得還是比較喜歡以前這種的有充分的溝通 有充分的預期
[05:20] 大家對聯準會不會有太大的一個想像?
[05:23] 那我覺得整體上來看的話還是回歸到目前我們還是看整個利率去看整個行情的變化。
[05:30] 那在上個禮拜所謂的兩年期的公債值率上升的大概11個基點,那就代表說市場是預期9月份有可能會升息。
[05:38] 那12月份目前來看可能不會升息,但到明年可能會再升息一次,所以代表最近這半年可能會升息兩碼,所以整個利率市場比較激情的反應。
[05:47] 上個禮拜五美股的費半就出現了重挫,甚至連輝達原本的財報之後,漲了8.7%。
[05:56] 利率升高之後就回吐了一半的漲幅。
[06:01] 所以這個我覺得就造成今天台股一開盤就有一定的壓力。
[06:05] 整體上一開盤台股最多跌了880點,然後日本跟韓國跟大陸其實也都全面性的拉回。
[06:12] 所以早上看到美國的電子盤,就是SRAM的電子盤,也是呈現比較明顯的開低。
[06:19] 那這開低當然也跟今天早上美國跟伊朗又開打有關。
[06:23] 所以這個就讓市場第一個就是利率在走高了,然後油價又上漲了,那不就逼著花旗一定要升息嗎?
[06:32] 是,這聯想就更濃烈了。
[06:34] 對,那還好啦,就是說剛剛習教授有提到,還好我們尾盤有MSCI的這個升高權重所帶動的買盤。
[06:41] 推升指數只小跌200點,盤中一度跌破無線關卡,出現補量,留長下影線。
[06:49] 我覺得今天1.2兆的量是8月以來的新高量。
[06:54] 有沒有意義呢?因為是因為季度換股嗎?
[06:58] 我覺得就季度現行來講當然有意義存在,因為今天是留了一個下影線,是帶量的。
[07:03] 所以我覺得今天盤中的低點大概在45000,我記得是600多點。
[07:09] 那個地方如果能夠在近期守穩的話,那我覺得對於指數目前的一個多方形態還是有利的。
[07:16] 因為最早在上個禮拜五啦,台股是收、站上了46,320點,就我們常常在講的廢坡南西係數,反彈0.786的位置。
[07:27] 那一般來講反彈能夠站穩0.786代表後面會回升,所以指數可能就要突破48,218點的歷史高點。
[07:35] 所以我覺得今天的一個下影線最好伴隨是一個補量,然後又收穩在五日線之上,代表我們覺得九月份台股要攻心高的這個企圖心還在。
[07:45] 所以剛剛提到就是說今天這個大量低點,第一個你要觀察的是,如果最近在九月份沒有被跌破的話,那五日線沿著五日線上揚的一個態勢我覺得都還沒有改變。
[07:56] 甚至我覺得指數接下來是,因為明天就是九月份了,馬上要公布八月營收。
[08:03] 8月營收,其實上個月7月份我們台股已經有200多家公司營收創歷史新高。
[08:11] 那理論上來講,其實輝達跟你講啦,Valubin即將在8月份開始做一個小量出貨,然後第4季會開始快速的拉貨。
[08:19] 所以也代表說很多公司,其實現在的營收也開始開出很亮眼的成績單。
[08:24] 所以8月營收我覺得對於指數來講是利多。
[08:27] 然後台積電9月10號也要公布他的8月營收。
[08:31] 台積電以他的財策來算,7月份營收是4600多億歷史新高,但是如果要達到財策的話,8月、9月這兩個月加起來要一兆的營收,所以平均起來一個月要5000億的營收。
[08:47] 所以我覺得代表從這段時間一直到9月10日之前,可能營收的利多對於指數來講還是有正面的幫助。
[08:56] 所以剛剛提到今天的量出來之後,但有些股票漲,有些股票跌,但我覺得大家應該可以更把你的目光焦點放在今天有族群性的股票在表態的,還有說有些股票在創新高的,他們可能在9月份的上旬應該是盤面上的重點。
[09:11] 好,等一下會來跟大家聊誰是今天盤面上有族群性表態的,那華許呢?那時候我就想說大概美國人聽英文聽得比較清楚吧?
[09:20] 但我可以理解市場上的一個感覺,因為大家對滑雪跟對鮑爾的想法是不一樣的。
[09:27] 鮑爾就是很明白的跟川普不對盤,都已經講到我去查你是不是新蓋這個大樓有沒有貪污,都已經講到我要老子把你抽掉換掉什麼的,就那時候是劍拔弩張的。
[09:40] 所以大家就會覺得川普想降息這個事情無庸置疑,川普不要通膨,川普怎麼樣,但是鮑爾可能跟他反著做。
[09:47] 所以保爾偏硬的時候大家不會覺得很奇怪,但或許當初因為大家覺得這個是川普人才對,可是他一直就有點延續著保爾路線,就是說我今天一定要看到通膨降下來,不然沒什麼好講的,反而就會形成你對他的期待跟他的表現永遠都有一個落差,就好像他沒有要聽川普的,他也沒有要釋放出任何的善意給這個社會,給這個世界,然後他又一直不希望有前瞻指引,所以你就會說不準,會不會九月突然還跟他講,
[10:17] 這幾個字的確實是不確定性因素,但在華許身上比較強烈。
[10:27] 你家川普講什麼你也沒在管,川普也控不了這個利率。
[10:33] 當然今天早上美伊又重新開戰,還是影響盤面。
[10:37] 看不懂的時候就看油價有沒有上去,看不懂的時候就看飛得化學生系機率。
[10:43] 幸好是南韓開很低,可是南韓有慢慢拉起來,所以我們就相形之下我們的盤就略顯小悶,但是就沒有說一路崩下去,因為盤中我跌到800多點,本來想說哇今天再來一個千點我又可以好好大買了,但一閃即逝,所以今天沒有做太多的動作,這個是在整個利率環境上面,我覺得大家可以留意的,我覺得它也是9月的一個變數,
[11:08] 因為說實話,9月如果真的再有一些升息的風聲,我覺得是會影響盤面的。
[11:14] 這個東西在這個滑雪的態度上,大家就可以看到市場其實對於這波反彈上來之後,又開始變成對利空有點敏感。
[11:22] 對,所以我覺得這個是要留意的。
[11:25] 然後再來的話,盤面上今天有一些族群性,包括其實PCB也有族群性哦。
[11:30] 因為新星被搜索之後,後來大家就發現好像事情有點小嚴重,我們被帶走15個人啊。
[11:35] 有那種所謂部門的總經理,聽起來的話今天早上又傳出還被二度搜索,事情似乎沒有那麼快落幕。
[11:45] 投信有沒有賣呢?等一下當然我們可以看一下盤後資料,但今天只有成交3000多張,你說投信要賣到哪裡去?恐怕有點難。
[11:53] 6日聽到的也是投信不太容易在今天,當然盤前就先掛嘛,就能賣一定先賣,賣不掉的話,明天如果再一根,那就又觸到投信的停損點。
[12:04] 停損點大家該怎麼處理?這就是大家現在會比較擔心的。
[12:08] 但是會轉單給誰呢?其實六日就有人聊說,如果他是一般的PCB版,那可能真頂KY,會轉給金像電、會轉給劍給劍頂啊,甚至會轉給這個華通啊,HDI啊,就是看它到底是哪一塊現在有問題。
[12:24] 然後再來,這些事情還不是我們說的算,你要看美國,美國人買這些產品說什麼嗎?
[12:32] 這很現實,說實話很現實,如果有人覺得我還是照買,因為很缺,我沒有在意你洗產地睜一隻眼閉一隻眼,可能事情就比較容易過去。
[12:41] 但如果追究起來說那這批我全部都不行都不能買,這家公司的東西可能很多東西都不能買,那個東西延續到後面就比較嚴重了。
[12:50] 那剛剛有跟漢偉在聊說,投信至少會有一個事情,就是短期內不容易再大買回來,這個是現實,現實到不行的。
[13:02] 你要怎麼去說服你們的內規內控長官,說他發生這個事情之後我後面還要重壓。
[13:08] 我覺得這個就是一個比較嚴重的問題了。
[13:11] 所以盤面上的族群今天有PCB,等一下漢偉會講像記憶體也是這一次MSCI調整的重點,我們就一項一項來講。
[13:20] 對,我覺得新這件事情當然今天盤前是大家非常關注的一個重點,第一個是手上有的人,當然今天很多人去排隊賣,賣都賣不掉。
[13:28] 賣不掉,我自己好朋友就賣不掉,他自己也有講沒有排到。
[13:31] 對,因為一開盤就大概9萬多張、10萬多張的一個掛單在那邊等,然後從這個盤前8點45分,股票起伏就一架所跌停。
[13:40] 對,股票解僱也成交不累。
[13:41] 放空要避險的人也都排不到。
[13:43] 沒錯。
[13:43] 所以當然今天對於整個載板族群來看的話,
[13:46] 比較有趣的是剛剛其實趙華提到的,
[13:49] 禮拜有禮拜天大家小作文到處飛。
[13:51] 是的。
[13:51] 對,你看到今天開盤盤前,
[13:53] 第一個,南電直接就拉高。
[13:55] 好,因為他們覺得如果今天擴展到ABF,
[13:58] 它會是首先受惠。
[14:00] 僅說還有大股東賣股的問題。
[14:02] 對,那後來發現到,
[14:03] 畢竟這個新出來曾經說,
[14:05] 目前受到檢調調查是PCB的部門,
[14:08] 這幾個股市的股市是否會有更多的影響?
[14:38] 這就是我們今天所謂的主動式的ETF,我覺得今天應該是有些人在害怕在數回。
[14:43] 因為我們大致上可以看到今天其實以台股爆成交量的主動型ETF,我大概去掃了一下,前面大概十名都是有新興的成本股。
[14:53] 那也代表說今天可能就是大家會覺得哇,那如果我手上像981A新興就是它的第三大持股,那我不想要新興這樣跌停下去,那會不會先去做一些數回的動作或賣出的動作。
[15:05] 當有這樣的現象之後,你會發現到它的跌勢開始擴散,擴散到我們一開盤的時候,第一時間講到今天是載板出事情,那為什麼被動元件跟著跌?
[15:15] 那為什麼今天的矽晶元跟著跌?它們都不是受到減掉的調查,也跟整個轉單或是相關的一個產業並沒有太大的關係。
[15:23] 但後面你會發現到它的關聯性在於說,因為這些所謂主動式的ETF,它們都有交叉持股。
[15:29] 假設我們講說有一些所謂的大咖或市場的資金會擔心說我信心賣不掉,那我可能我手上有竹東型硬碟,我也有信心的,我去做一些贖回,贖回的同時可能他就會影響到他其他高持股的一個表現。
[15:43] 所以你看到國巨,國巨是981A的第六大持股,那就我覺得有部分這樣的一個可能就是今天整個被動元件在日本股市的表現也不好,
[15:53] 搭配上大家可能擔心投信的一些連鎖性的賣壓。
[15:56] 所以就造成說,它反而擴散出去,不是擴散在PCB族群,反而擴散到其他的主動式ETF的一些交叉矢股上面。
[16:04] 所以我覺得這個事情當然大家就要去關心的是明天新興股價的表現怎麼樣。
[16:11] 因為今天既然大家賣不掉,我覺得如果你手上有的,明天應該還是要乖乖去排隊。
[16:16] 因為畢竟它從高檔這樣跌下來,今天的賣壓如果賣不掉的話,
[16:21] 這幾個股票的投資項目是如何?
[16:51] 那會影響到,但他目前他主要題材還是在載板,載板不受影響的話,我覺得對信心的評價不會有太大的衝擊,現在衝擊在於說籌碼面的問題,很難說這個籌碼面會賣壓到要賣幾天才能夠宣洩完畢,但我們可以舉例來說,比方說像建設,建設當時也是這樣的情況,就是說這個微通道蓋板傳出來的吊單,吊單之後你會發現頭信一開始賣不掉,那後面等到打開的時候,頭信再賣一段,讓建設股價又是在多跌的那一段下,
[17:21] 這幾個大小的投資選擇,有什麼想要看的?
[17:51] 在這個情況下,我認為,這件事,對於公司的未來評價,一定會有影響。
[18:03] 這幾個股票的影響,在長期來看,載板還是力度的題材,但我們還不知道這件事情到底剪掉調查之後,後面有沒有後續的影響跟法輪的態度。
[18:14] 所以整體上,如果你手上有信心,不要貿然低接去攤評,手上有的,明天試看看,如果明天賣不掉的話,我覺得禮拜三就觀察一下有沒有低檔爆量,再做處理。
[18:25] 這幾個股票的轉單效應是否有改變?
[18:55] 請不吝點赞 订阅 转发 打赏支持明镜与点点栏目
[19:25] 第一個是如果是以這個主動型ETF的一個贖回的停損效應來講不會是一個重大傷害
[19:32] 可能今天有些賣家宣洩完畢就完了
[19:34] 那對新鷹來講可能要觀察
[19:36] 那對整個族群的轉單效應我覺得就回歸到堅強的股票
[19:40] 有沒有反正在買方還是隔從了一個買盤進來
[19:43] 我覺得就會影響到你明天的操作
[19:46] 因為這個事情就牽涉到到底嚴重性是怎樣
[19:52] 剛剛我覺得漢偉講得很好
[19:54] 我有看到一些報告是比較正規的PCB研究機構出的,他會認為因為這一次如果就他們的財務的狀況來說,跌幅大概20%,這不是我講的,是真的是有相關的大型的投估出去的報告,是比較合理的,那20%就兩根停板嘛,可是是不是會停呢?股價行為不一定,股價行為不一定,但是以他的財務真正可能會受到的影響,不管是轉單啦,掉單啦等等的,大概就是一個20%的影響。
[20:24] 這可以跟大家聊
[20:54] 後面投信當然可以買,就是怕被判了一個什麼東西,那真的就比較麻煩。
[20:59] 剛剛講到嚴重性,例如說剛剛講到建設,建設人才啊,從5000多塊的最高點一路修正到那個腰斬2500、600塊錢,然後又回到新高點。
[21:08] 好,那投信有沒有買回來?有,後來投信買回來。
[21:11] 但是建設出的問題就是,可能未來規格的改變,對不對?
[21:15] 它本益比相對比較高,然後出債級的時候又是在歷史新高的一個位置殺下來,所以殺得那麼重。
[21:21] 但是這不影響投信後面要不要買回來嗎?
[21:24] 因為後來發現你已經把本來比較高的評價疊完了,
[21:28] 那後面搞不好告訴你,
[21:29] 對啊,我還是照樣出現在有的要的貨,
[21:33] 本來未來的事情就還沒有入伍的營收,
[21:36] 但它只是疊評價而已,評價合理了,
[21:38] 夢又開始點起來了,
[21:40] 誰知道規格後面會不會又更新到一個對我有利的,
[21:42] 又上去了。
[21:43] 所以規格改變雖然看起來殺傷力很強,
[21:46] 但比較有減便宜的機會。
[21:48] 訂單、調單或延遲也是有撿回來的機會。
[22:18] 這幾個股價連續跌停的原因是因為投資者不太會買投資,除非像之前還發生過,有人說這次怎麼會扯到群聯呢?
[22:48] 大家可能已經有點忘記了,因為去年之前有一個假帳風波,假帳風波就比較嚴重啦,如果財報有一點不實的問題,那投信就會對這家公司相較之下比較小心。
[23:03] 美超為為什麼大家會一直覺得,就算他長起來好像也心裡面有點怪怪的,就是曾經也有財報的問題,假帳風波會比較嚴重一些。
[23:12] 在這個情況下,如果是有合理的解決方案,那清泉或法律事件也會稍微再比較嚴重一些。
[23:19] 但清泉有合解的可能,清泉可能是對方不對,我沒有清理權你來告我。
[23:24] 可是如果像這種事,洗慘地真的就是要看最後的結果了。
[23:29] 因為還有像之前的中興電的雲豹裝甲車案,踩到紅線,踩到紅線就會讓頭線很長一段時間真的不敢碰。
[23:38] 星星目前他如果沒有辦法完全全身而退的話,這個等級確實重了一些。
[23:44] 對啊,因為會影響到後面所謂的法人對他的一個整體的評價啦。
[23:49] 那第一個事情就是說,這件事情除了法律層面以外,他後面的財報該怎麼認列,
[23:54] JP所謂的洗產地的一些後面這個不管是哪一個客戶接到的單子,
[24:00] 要不要做一個所謂的營收的回沖啊,退貨的一個動作啊,
[24:04] 那我覺得這就影響到可能法人要去評估,那你到底第三屆的財報,
[24:08] 這個部分對於你的財報影響是多少?
[24:11] 那第二件事情就在於說,這個洗產地這件事情到底是偶發事件還是說故意為之?
[24:17] 故意為之就代表說,他現在是這個中國廠把這個PCB版運回來台灣做加工,然後貼了台灣的一個出產地再運送到他下一個客戶那邊去。
[24:28] 那現在大家調查就是說,那你這件事情到底有沒有必要回來台灣做加工?如果以前可以直接從中國出貨,你特地運回來台灣加工?
[25:01] 這件事我們要求市民更加清楚才能做評論,但這件事不能當作火災,只是小事,我覺得目前來看是比較嚴重去看待這件事。
[25:14] 對於整個產業的影響,如果只控制在新興本身,對整個台灣的產業供應鏈沒有造成影響的話,我覺得還好。
[25:23] 那你看到禮拜二小說是說到,那如果新興被調查席產地,那會不會影響到台灣AI供應的出貨?因為很多都用新興的PCB版嘛,那如果美國要調查有新興版的要先暫時停止出貨的話,對我們這個可能八九月份營收就造成影響。
[25:40] 我覺得目前來看應該不會那麼嚴重啦,所以整體上來講我們還是希望說這件事情可能就到新興為止,那後面就看新興本身怎麼樣去應對這件事情的變化就好了。
[25:51] 好,這個希望手上有心心的朋友啦,就是這兩天還是試著就是減輕壓力,那這個事情誰也料不到,如果料得到投信,我們今天早上也跟團隊在聊啊,我說如果料得到你就會發現有些公司啊,早就在新聞出來之前,什麼外資投信就在落跑了,大戶就在退,然後沒消息,對不對,啊這次是所有人都跑不掉,對,所以大家都在同一條船上,有人就說那怎麼辦,真的還沒怎麼辦,就是天降意外,這個是連法人也沒辦法,
[26:21] 這幾個人可能都不知道,甚至搞不好連內部人都覺得被迅雷不及掩耳的情況下發生的,所以沒有看到前面有什麼真的超級厲害的籌碼跑掉。
[26:32] 就算有跑掉,也就是剛好創高,我獲利了結一下,這樣的小確幸是有看到有人po的,但是跑掉的人也知道自己就是一個比較運氣好,可能就想要挺立這樣的情況。
[26:42] 要不然以技術形態來說,也不太容易在那一天就全部跑掉,因為他就剛好創高壓回正常到不行嘛,什麼線也沒破嘛。
[26:51] 那因為創高的關係發生這個事情,恐怕這個災害就會稍微大一點點,因為有人說,阿其邦不是之前也被搜索,這邊還漏了一個,內線交易。
[27:01] 內線交易這個事情呢,也可大可小。
[27:04] 例如說其邦的事情是比較久,比較多年以前的,突然又被翻起來。
[27:08] 然後呢,內線交易這件事情有時候金額不大,或者是,這樣講很奇怪啦,但是理由,例如說舉個例子,可城好了。
[27:17] 可城也有被講過內線交易,為什麼?
[27:19] 因為他們在實施庫藏股之前好像可成的親朋好友就有買嘛
[27:23] 可是事後你來看就是這些親朋好友其實他們本來就是地緣分點本來就有固定一直在買
[27:29] 對那買了都不能實施庫藏股嗎
[27:32] 或是實施庫藏股之前多久是不是不能買
[27:34] 也許這個界線就沒有畫得很清楚
[27:36] 可是至少他不是在實施庫藏股宣布前一天大買特買
[27:39] 所以這樣那些交易大家就會覺得好像略有一點彈性之類的
[27:43] 當然法有法但是法裡面也有情嘛
[27:47] 所以這個東西看大家怎麼看
[27:48] 也有人覺得只要一踩到我就不能碰,但也有人覺得這個事情後面評估覺得其實它的體質沒有改變,那可能怎樣怎樣又會買回來。
[27:57] 我覺得這些就是在大家在看到一個利空事件的時候可以去表列的。
[28:03] 好,那我們真的花了不少時間講,錦碩今天的情況應該是合作大賣他的關係。
[28:08] 一開始覺得會不會有轉單,但是一聽到跟MBF沒有關,那不好意思那還反映另外一件事就是合作大賣。
[28:15] 那我也必須說合作真的加油合作加油合作真的好喜歡賣他的轉投資本業好不好七月營收年增一咪咪加油啊七月應該要年增很多的真的加油只能這樣講對好不好真的跟其他的那些組裝代工人比起來合作自己的本業營收就是要加油嘛對啊那對景碩來說也好啦就是我大股東今天一起來做這個節目的主持人就是我大股東
[28:45] 一口氣倒出來讓我今天也吃一根蝶蜜也好啦
[28:48] 至少之後可不可以先勞過我
[28:50] 先去賣別人
[28:51] 我覺得這些都是大家今天排名上可以思考的
[28:55] 我們回到MSCI上面
[28:57] 今天的話調升權重比較多是在記憶體
[29:00] 那記憶體其實是有典方表現的
[29:02] 這個就還有一個的專長了
[29:04] 對啊因為今天原本大家本來是六檔嘛
[29:08] 就是這個納科華邦店
[29:09] 然後群聯
[29:10] 然後再去剛才南電錦碩
[29:12] 搭配台藥
[29:13] 那被這個原本新增然後沒有被新增進去的那三檔就是
[29:18] 景碩、南電跟台耀都因為處事的關係所以這一次沒有被
[29:24] 正式納入到成分股
[29:25] 所以代表說資金就集中在剛講的那三檔上面納爾科
[29:29] 群聯跟華邦電
[29:30] 那很有趣的是你會看到今天盤中就看到
[29:33] 資金明顯在卡位尾盤的拉升行情
[29:37] 所以今天這三檔股票都開一個小低盤之後
[29:39] 盤中都拉高
[29:40] PODCAST 推出的股價壓回,是否會導致股價壓回?
[30:10] 因為我們過去曾經有多次看到這種 MSCI 或負值指數尾盤的拉高
[30:16] 那如果是那種不正常的拉高 一下跟你拉到漲停板
[30:19] 那通常隔天都會回吐 你漲多少要吐多少回來
[30:23] 所以今天尾盤壓低回來 我覺得最回歸到記憶體的基本面有沒有問題
[30:28] 那剛剛提到嘛 就是說因為這三檔股票都是因為市值的表現
[30:32] 那產業的地位讓他這次被新增進去成分股
[30:36] 那Narco、Halton 本來是上一次的名單
[30:38] 上一次因為太熱被處置,所以他們就留到這次才進來。
[30:42] 也就代表記憶體在台股整體權重越佔越高,我覺得這是一件好事情。
[30:50] 第二件事情就是說,既然被納入MCI的成分股,那你要觀察不是今天股價的表現,
[30:56] 而是要看到接下來這段時間裡面到底被動式買盤外置的部分有沒有持續在回補記憶體的股票。
[31:03] 最近可以看到陸續都有群聯、納科、華邦電、法輪都有在買方。
[31:08] 指標股就看納亞科,因為納亞科今天是創下收盤的歷史新高,上個禮拜我是收盤的,盤中的歷史高到569塊,還是全球最強的記憶體。
[31:20] 因為你看到三星、海力士跟美光,其實股價都在極限以下,我們納亞科是創下歷史新高。
[31:29] 所以看起來我覺得納亞科還是有它的特殊性在,特殊性來自於說,現在大家如果看到記憶體,
[31:36] 其實在HBM或DDR5報價都還是沒有DDR4漂亮
[31:40] 那DDR4今天看到吉邦科技的現貨價
[31:43] 我記得已經到單顆大概是到92塊美元
[31:47] 幾乎要變形體型高
[31:49] 然後美銀在上禮拜也出了一個份報告
[31:52] 他說目前在傳統型的記憶體的報價持續上漲
[31:56] 那我覺得這持續上漲也是跟蘋果新機發表有關
[31:59] 因為蘋果要發新機了嘛
[32:01] 他也會擔心說如果我現在再不拉一些記憶體的貨
[32:04] 會不會新機真的賣得很好的話,可能就會有缺貨的問題。
[32:08] 所以這個代表短期來看,如果以美林的報告,他說9月份可以看到的是產能跟需求,還是需求明顯成長,尤其是在消費電子有些短線拉回的動能。
[32:20] 所以不管是在記憶體的現貨報價,或是他們看到整個記憶體在9月份相關的合約報價,都有機會在上漲10到20個百分點。
[32:29] 所以我覺得這就是所謂記憶體目前看起來有報價的加持。
[32:33] 這三個股價的加持,可惜一點在於國際大廠的股價比台廠弱太多了,所以你會發現台股的記憶體雖然慢慢在墊高,但漲勢不是非常整齊,變成是個股典範的態勢。
[32:47] 但我們剛剛講到那三檔被納入到MCI新生成分股的股票,其實同步都占到季線以上,連最弱的群聯他已經守穩季線三天了,
[32:57] 這代表整個記憶體族群剛好也撐了一個月,到了現在要到九月份了,九月份馬上公布八月份的營收。
[33:05] 如果現貨報價是漲的話,大家應該可以確定一件事情,記憶體的八月營收也還會再創新高。
[33:13] 所以應該是說在九月初的在營收公布的時候,他們應該都有機會因為營收創高而有股價反彈的空間。
[33:21] 所以今天我覺得第一個南亞科它能夠在收盤創造率提高,最少是吃下一顆定心丸。
[33:27] 那四個所謂的記憶體的製造大廠,你看到今天力積電還拉尾盤,所以力積電我覺得最近也可以特別的關注,因為聯電上禮拜是有大漲嘛,那只是說聯電今天是被新興拖累下來,所以股價有點拉回。
[33:42] 但力積電續漲代表成人製程這一塊,搭配記憶體,搭配可能接下來的矽電龍,我覺得都還是盤面上的熱點題材。
[33:50] 記憶體可以看到除了群聯佔到季線以上,上個禮拜像威剛、創建、實權,慢慢的線型也在轉強。
[33:59] 更強的是今天的記憶體的IC設計,金豪科盤中是到了296塊,我記得是再度創下歷史的新高。
[34:07] 這檔公司我以前買過,就是在疫情期間的時候,各個IC設計公司都因為晶圓在漲價跟著大漲,但是我萬萬沒有想到他會有逼近300塊的一天。
[34:19] 他那時候就幾十塊的公司而已
[34:21] 對 因為當時獲利真的沒有很好啦
[34:24] 那這次真的就是撿到槍
[34:26] 撿到槍 撿到槍 撿到槍 好有趣
[34:28] 他因為有 DDR3 DDR4 的庫存嘛
[34:31] 所以他真的交出這個業績非常強勁的成長
[34:34] 我記得上半年就賺了快要30塊
[34:37] 所以以30塊的單你不能這樣去算
[34:39] 但他畢竟還是歸在IC設計
[34:41] 好像評價就比較合理一些
[34:44] 所以今天的金豪科創意屬性高
[34:47] 愛普也慢慢要到900多塊以上。
[34:50] 然後,預創之前創高之後回到月線附近,我覺得今天有一點尾盤拉升上來。
[34:55] 那我覺得這三家公司應該是說,金豪跟預創,他們理論上8月營收也都能夠創立性高,也可以特別的關注。
[35:03] 所以我覺得整個記憶體族群目前來看,我覺得缺點還是在說,因為量能不集中,所以整個族群性並沒有特別的好。
[35:11] 所以還是回歸到你如果是比較喜歡記憶體製造的,那你就看納克、華邦電就好了。
[35:17] 如果你喜歡 IC 設計活潑的,也許金豪科、玉創、艾普你可以看。
[35:21] 模組場目前來看,我覺得群聯跟儀鼎畢竟業績比較好,他們可能是比較有後續想像空間的,其他我覺得都比較偏向,可能就是反應業績或致敬的輪動。
[35:33] 就像剛剛提到,如果大家有注意到這個基底模組當中有一檔叫青雲,青雲就是像剛剛講的星星的事件一樣,他之前就是因為這個轉賣輝達晶片去大陸。
[35:45] 對,然後因為那件事情從500多塊跌到200多塊。
[35:49] 是。
[35:49] 對,但後面大概這幾天跟著記憶體也出現了跌深的反彈,因為它業績還是非常好。
[35:54] 但你還是可以看到就是說這種所謂的洗產地呀,或說倒賣的事件,其實對公司的傷害我覺得還蠻大的,還是要提高警覺的。
